gadesja	(handv.) [da.,en.]
gasssveising	(tøkni)sveising við gassi[da.gassvejsning,en.flash welding]
gasstangaskip	(oljuv.)tangaskip serliga útgjørt til at flyta (flótandi) gass[da.gastanker]
gasstangi	(tøkni,oljuv.)tangi til at goyma (flótandi) gass í[da.gasbeholder,en.gas holder]
gasstendrari	(tøkni)amboð til at tendra blásilampu, skurðbrennarao.tíl.við[da.gastænder,en.striker]
gasstól	(tøkni)kókiamboð hitað við gassi[da.gasapparat,en.gas ring]
gassturbina	(tøkni,oljuv.)turbina drivin við gassi[da.gasturbine,en.gas turbine]
gassturbinukompressari	(tøkni,oljuv.)kompressari í P|el.| til gassturbinu[da.gasturbinkompressor,en.gas turbine compressor]
gassturkari	(tøkni,oljuv.)turkari drivin við gassi[da.gastørrer,en.gas dehydrator]
gassturking	(tøkni)turking við gassi[da.gastørring,en.gas dehydration]
gassúrskiljarapumpa	(tøkni)pumpa til at skilja gass burtur úr øðrum evnum[da.gasudskillerpumpe,en.degasser pump]
gassúrskiljari	(tøkni,oljuv.)tól ið skilur gass frá øðrum evnum[da.gasudskiller,en.degasser]
gassúrskiljing	(tøkni,oljuv.)tað at skilja gass burtur úr øðrum evnum[da.gasudskilning (?),en.degassing process]
gassútlát	(tøkni,oljuv.)útlát av gassi[da.gasudslip,en.gas outlet]
gassútsúgving	(tøkni,oljuv.)útsúgving av gassi[da.gasudsugning,en.gas aspiration]
gassútsúgvingareind	(tøkni,oljuv.)luteind í gassútsúgvingarútbúnaði[da.gasudsugningsenhed,en.gas aspirating unit]
gassvarnari	(tøkni)tól ið ger vart við gass (av lekao.tíl.)[da.gasdetektor,en.gas detector]
gassveiting	(oljuv.)gassleiðing[da.gasledning,en.gas line]
gassviðgerð	(tøkni,oljuv.)viðgerð av gassi at tað kann nýtast P|t.d.| sum brennievni[da.gasbehandling,en.gas treatment]
gassviðgerðarútbúnaður	(tøkni,oljuv.)útbúnaður til gassviðgerð[da.gasbehandlingsanlæg,en.gas treatment plant]
gassyvirskot	(tøkni,oljuv.)yvirskot av gassi, ov stór nøgd av gassi, avlopsgass[da.gasoverskud,en.gas spilloff]
gassyvirvakingarskipan	(tøkni,oljuv.)yvirvakingarskipan yvir gassútbúnaði(P|t.d.| gassleiðing)[da.gasovervågningssystem,en.gas monitoring system]
gátt	1(húsasm.)tvørtræ (við ánæmi) í neðra á durakarmi, hurðargátt(í summum osb. eis. allur durakarmurin)2(jarðfr.)grynna tvørtur um munnan á firði, sundio.tíl.
gáttarlisti	(handv.)listi oftast við tríkantaðum tvørskurði ið fjalir rivu ímillum fótlistael.karm og gólv[da.fejeliste]
geisla	(alisfr.)(um geislavirkin evni)geva frá sær geislar[da.stråle]
geisladepil	(alisfr.), ljósdepil[da.strålepunkt]
geislagevi	(alisfr.)kelda haðan geislar stava[da.strålekilde]
geislaleið	(alisfr.) [da.strålegang]
geislaloysing	(alisfr.)loysing av geislum[da.strålefrigørelse]
geislamegnaður	(alisfr.)geislavirkin, geislingarførur,geislamegnaðu evnini, uran, thorium og kalium[da.radioaktiv,en.radioactive]
geislan	(alisfr.)tað at geisla (2), geisling (2),jørðin missir varma við geislan og guvu[da.stråling,en.radiation]
geislaprentari	(teld.)prentari (2) sum prentar stavir og myndir við lasarageisla;sbr.nálaprentari[da.laserprinter,en.laser (beam) printer]
geislarás	(alisfr.)rás sum geislar ferðast í P|el.| eftir[da.strålebane]
geislaspjaðing	(alisfr.)spjaðing av geislum[da.strålespredning]
geislastevna	(alisfr.)stevna hjá strálum[da.stråleretning]
geislasveipur	(alisfr.) [da.stråleudslag]
geislavirkin	(alisfr.)(um evni)sum sendir frá sær geislar (ósjónligar bitlar) samstundis sum atombygnaðurin broytist, geislingarførur, geislamegnaður,geislavirkin evni[da.radioaktiv,en.radioactive]
geislavirkni	(alisfr.)geislavirkin geisling[da.radiokativitet,en.radioactivity]
geisli	(alisfr.)rørsla við sera høgari tídd,røntgengeislar[da.stråle]
geisling	(alisfr.)tað at geisla,vandamiklar geislingar[da.stråling,en.radiation]
geislingardepil	(alisfr.) [da.strålingspunkt]
geislingarførur	(alisfr.)sum er førur fyri at senda geislavirknar geislar, geislavirkin, geislamegnaður[da.radioaktiv,en.radioactive]
geislingarkervi	(tøkni) [da.strålingssystem (?)]
geislingarmegi	(alisfr.)styrki í geisling[da.strålingsstyrke]
geislingarmongd	(alisfr.)mongd í geisling[da.strålingsmængde]
geislingarskamtur	(alisfr.)skamtur av geisling[da.strålingsdosis]
geislingartrýst	(alisfr.)trýst í geisling[da.strålingstryk]
geislingarvandi	(alisfr.)vandi fyri skaðiligum P|serst. geislavirknum| strálum[da.strålingsfare,en.radiation danger]
gera	(evnafr.)1(um (lívrunnið) evni)broytast til aðrar sambindingar[da.gære,en.ferment]2(um sukurevni)fara sundur í alkohol og karbondioksid
gerð	1tað at gera e-t, e-t ið gjørt er, gerningur, verk, arbeiði,húsini standa í gerðhúsini verða smíðað;hava í gerðarbeiða við e-m, vera í holt við e-t2(tøkni)gummibátur av gerðini NN[da.fabrikat,en.make]
geri	1(alisfr.)maskina ið ger rørslu um til elektriska orku(P|t.d.| í sambandi við turbinu rikna við vatni),ljósmaskina[da.generator,en.generator unit]2(tøkni)(í bensinmotori)[da.generator,en.alternator]
gerikt	(handv.)listiel.karmur (1) umt.d.vindeyga, hurðo.tíl.(fjalir samankoming ímillum vegg og karm)[da.gerigt]
geril	(teld.)meginlutur í teldu ið stýrir forritum og innir dátuviðgerð[da.processor,en.processor]
gering	(evnafr.)(um deiggj, øl o.tíl.)tað at e-t gerar[da.gæring,en.fermentation]
gersoppur	(evnafr.)soppur ið fremur gering(ger sukurevni um til karbondioksid og alkohol)[da.gærsvamp,en.yeast fungus]
gervi	(tøkni)gir,skifta gervi[da.gear,en.gear]
gerviskassi	(tøkni)girkassi[da.gearkasse,en.gearbox]
gervisskifti	(tøkni)girskifti[da.gearskift]
gervisstong	(tøkni)girstong[da.gearstang,en.gearlever]
gildisskáli	(húsasm.)skáli har ið gildi (1) verða hildin, veitslusalur(ofta á loftiel.í kjallara)[da.gildesal]
gimsteinaskeri	(handv.)ein ið er serkønur at skera gimsteinar til[da.stenskærer,en.lapidary]
gips	(byggiv.)steinslag(av bleytum kalsiumsulfati)nýtt til avstoypingar, gipsbind, bygningsplátur, prýðislutiro.a.[da.gips,en.gypsum]
gipspláta	(húsasm.)pláta av gipsi við fínum pappi báðumegin(nýtt sum lofts- og veggjaklæðing)[da.gibsplade,en.gypsum tile]
gir	(tøkni)útbúnaður ið stýrir snúningsferð(á bili, súkklu, fari, maskinu o.s.fr.),gervi,skifta gir;seta í fyrsta, annað, triðja gir[da.gear,en.gear]
girhjól	(tøkni)hjól í girkassa P|el.| til girskifti[da.gearhjul,en.gear wheel]
girkassahús	(tøkni)hús uttan um girkassa[da.gearkassehus,en.gearbox house]
girkassi	(tøkni)kassi sum girútbúnaðurin er í(serst. á bili),gerviskassi[da.gearkasse,en.gearbox]
girkopling	(tøkni) [da.gearkobling,en.gear connection]
girolja	(tøkni)olja í girkassa til at smyrja girini við[da.gearolie,en.transmission oil]
girpedalur	(tøkni)(á motorsúkklu)pedalur til at skifta gir við[da.gearpedal,en.gearchange pedal]
girskifti	(tøkni)tað at skifta gir[da.gearskift]
girskiftiútbúnaður	(tøkni)útbúnaður til at skifta gir við[da.gearskiftemekanisme,en.transmission shifter linkage]
girstong	(tøkni)stong til at skifta gir við, gervisstong[da.gearstang,en.gear lever]
gittar	(alisfr.)glaspláta við álagdari metalhinnu við sera tøttum javnfjarum strikum í[da.optisk gitter]
gjøgnumførsla	(rørsm.)rørskoyti til at føra rør ígjøgnum vegg[da.gennemføring]
gjøgnumstreymingarketil	(tøkni)lítil ketilútbúnaður við gassi sum brennievni(eyðkent av at vatnið verður upphitað tá ið tað fer ígjøgnum ketilin)[da.gennemstrømningskedel]
gjørð	(tøkni)felga, hjólgjørð[da.fælg,en.rim]
glargrýti	(jarðfr.)glaskent gosgrótel.glarut grót[da.glasbjergart]
glarutur	(jarðfr.)(um gosgrýti)sum storknar so knappliga at krystall verður ikki úrskilt
glas	(húsasm.)hartoftabrotilt og gjøgnumskygt evni úr kisilsýruo.ø.(m.a. nýtt til vindeygu)[da.glas,en.glass) [gjøgnumlitað glaslitað glas ið minkar hitastrálingina[da.gennemfarvet glas]
glasfilmur	(húsasm.)álegging løgd á yvirflata á vindeygaglasi fyri at avmarka hitastráling[da.glasfilm]
glaskupul	(húsasm.)kúputur rútur í takvindeyga, kupul (2)
glaslisti	(húsasm.)træ-el.aluminiumslisti ið heldur vindeygarúti upp á pláss í vindeygarammuel.-karmi[da.glasliste]
glastóvi	(handv.)glastrevjutapet við sløttum yvirflata[da.glasfilt]
glastrevja	(ídn.)hárfínir glastræðrir(m.a. nýtt til at styrkja annað evni,t.d.plastevni)[da.glasfiber,en.fibre glass]
glastrevjubátur	(ídn.)bátur úr glastrevju[da.glasfiberbåd,en.fibre glass boat]
glasull	(húsasm.)bjálvingartilfar úr ovurtunnum glastræðrum[da.glasuld,en.glass wool]
glasvevklæðing	(handv.)glastrevjutapet við ójavnt vovnum yvirflata[da.glasvæv]
glámlampa	(ravm.)lampa nýtt sum báknel.ávaringarljós[da.glimlampe,en.neon lamp]
glerseta	(jarðfr.) [da.glaciere]
glerseting	(jarðfr.)tað at jøkulísur legst,móts.avglering[da.glaciation]
glisa	(handv.)ikki falla væl, gloppa eitt sindur í samankomingel.felling,tað glisar ímillum
glittibretti	(handv.)slag av ferhyrntari múrskeið[da.firkantet murske,en.square trowel]
glíðikontakt	(tøkni) [da.glidekontakt,en.sliding contact]
glíðimuffa	(tøkni) [da.glidemuffe,en.sliding sleeve]
glíðiringur	(handv.)gummiringur nýttur tá ið betongrør verða sett saman[da.glidering]
gloppknappur	(teld.)(á knappaborði)langur knappur 1(3) til at gera glopp í teksti við[en.enter key, return key]
glóðhitamálari	(tøkni)tól til at máta glóðheitan hita við[da.pyrometer,en.pyrometer]
gluggakarmur	(húsasm.)vindeygakarmur[da.vindueskarm,en.window frame]
gluggaskot	(tøkni) [da.vinduesfordybning,en.window recess]
gluggi	(teld.)avmarkaður lutur av skíggja[da.vindue,en.window]
glukosa	(evnafr.)drúvusukur[da.glukose,en.glucose]
glæra	(tøkni)gjøgnumskygt blað við teksti (og myndum) til at sýna við uppvørpu[da.transparent,en.transparency]
gløðihøvd	(gl.,tøkni)lutur á motori sum verður upphitaður og kveikir í brennievnið[da.?glødehoved]
gløðilampa	(alisfr.,ravm.)lampa við metaltráði ið gløðir av ravmagnsstreymi[da.glødelampe,en.incandenscent lamp, glow lamp]
gløðitráður	(alisfr.)metaltráður ið gløðir av ravmagnsstreymi(t.d.í ljósperu)[da.glødetråd,en.filament]
gneis	(jarðfr.)bandað, krystallað grótslag(ikki til her á landi)[da.gnejs,en.gneiss]
gníggilóg	(alisfr.)lóg um gnígging
gnígging	(alisfr.)mótstøða ið stendst av at tveir fastir lutir gníggja hvør ímóti øðrum, mótstøða móti rørslu í loftevniel.løgi[da.friktion,en.friction]
gníggingarhiti	(alisfr.)hiti ið stendst av gnígging[da.friktionsvarme]
gníggingarkopling	(tøkni)flutningur av kraft millum tveir akslar við plátum ið verða trýstar hvør móti aðrari[da.friktionskobling]
gníggital	(alisfr.)tal ið sigur hvussu stór gníggingin er[da.friktionstal]
Golfstreymur	(landafr.)flógvur streymur í Atlantshavi(tekur seg upp í Meksikoflógva)[da.Golfstrømmen,en.the Gulf Stream]
gong	(jarðfr.)grótbræðing skotin inn í loddrættael.eitt sindur halla rivu[en.dyke]
goseyrur	(jarðfr.)gosmolagrýti til støddar millum ertur og nøt(rundur og poknutur)[da.lapilli]
gosfjall	(jarðfr.)fjall við gosopi sum eldgos kann spríkja úr(hevur fingið skap av eldgosum),eldfjall[da.vulkan,en.volcano]
gosgrót	(jarðfr.)(nýtt í sementgerð)gráhvítt gosgrýti við pimpsteini[da.tras]
gosgrýti	(jarðfr.)storknað grótbræðing,grótbræðingar, sum við eldgosum koma upp innan úr jørðini, verða gosgrýti, tá ið tær storkna[da.magmatisk bjergart]
goshálsur	(jarðfr.)leivd av gosopi[da.kraterrør,en.vent]
gosilska	(jarðfr.)leyst, poknut og kokslíkt tilfar
goskelda	(jarðfr.)kelda ið bullar so harðliga at vatnið spríkir upp í loft,heit goskelda[da.gejser,ísl.goshver,en.geyser]
goskluft	(jarðfr.)kluft í jarðarskorpuni komin av eldgosi[da.udbrudsspalte, vulkanspalte]
goslegugrýti	(jarðfr.)legugrýti av gostilfari[da.vulkansk sediment,en.volcanic sediment]
gosmolagrýti	(jarðfr.)leyst gostilfar(t.d.gosbumbur, goseyrur og gosøska)[da.pyroklastisk bjergart]
gosmoli	(jarðfr.)moli av leysum gostilfari[da.pyroklast]
gosmyrja	(jarðfr.)blandingur av samantrunkaðum leysum gostilfari[da.agglomerat,en.agglomerate]
gosop	(jarðfr.)op sum eldgos kemur upp úr[da.krateråbning]
gosoyggj	(jarðfr.)oyggj vorðin til av eldgosi í havbotninum[da.vulkanø,en.volcanic island]
gosrøð	(jarðfr.)røð av gosopum á somu goskluft[da.kraterrække]
gostilfar	(jarðfr.)jarðartilfar innan úr gosi[da.udbrudsprodukt]
gostrom	(jarðfr.)trom uttan um gos[da.kraterrand]
gosvirksemi	(jarðfr.)virksemi frá eldgosi[da.vulkanisme]
gosøska	(jarðfr.)fínt tilfar úr gosopi,gosøska harðnar til royðugrót[da.vulkansk aske,en.volcanic ashes]
goymslueind	(teld.)minsta eind sum til ber at goyma á og fáa atgongd at[da.lagerenhed,en.storage cell, storage element]
goymslugrýti	(jarðfr.)poknut grótslag sum sýgur í seg og goymir olju og gass[da.magasinbjergart, reservoirbjergart]
goymsluhitafølari	(tøkni)hitafølari ið mátar goymsluhita[da.lagertemperaturføler,en.bearing temperature sensor]
goymsluhitaveitari	(tøkni)útbúnaður ið veitir hita til goymslu[da.lagertemperaturgiver,en.bearing temperature transmitter]
goymsluhiti	(tøkni)hiti inni á eini goymslu[da.lagertemperatur,en.bearing temperature]
goymslustýring	(tøkni)stýriskipan ið heldur skil á hvussu stór goymslan av einhvørji vøru er[da.lagerstyring,en.memory management]
goymslutangi	(tøkni)tangi nýttur sum goymsla[da.lagertank,en.storage pit]
goymsluútbúnaður	(tøkni)útbúnaður nýttur til goymslu[da.lagringsanlæg,en.storage plant]
góðska1	tað hvussu gott e-t er(serst. um framleiðslu),(góður) eginleiki, dygd,góð/vánalig góðska;góðskan á vøruni[da.kvalitet,en.quality]
góðska2	virka rávøruel.hálvlidna vøru til lidna vøru,góðskaðar vørur(fullvirkaðar)
góðsking	tað at góðska 2
góðskubetring	tað at bøtt verður um góðsku[da.kvalitetsforbedringer,en.quality improvement]
góðskuhandbók	handbók um góðsku P|el.| hvussu góðskað verður[da.kvalitetshåndbog,en.quality manual]
góðskukervi	kervi til at tryggja góðsku í eini vøru P|el.| framleiðslu[da.kvalitetsstyringssystem,en.quality system]
góðskukostnaður	kostnaður ið stendst av at fáa góða góðsku[da.kvalitetsrelaterede omkostninger,en.quality-related costs]
góðskukrav	krav til góðsku[da.kvalitetskrav,en.quality requirement]
góðskuleiðsla	góðskustýring[da.kvalitetsstyring,en.quality management]
góðskumeting	meting av góðsku[da.evaluering vedr. kvalitet,en.quality evaluation]
góðskuparametur	(tøkni)stødd ið kann nýtast til at máta góðsku í e-m[da.kvalitetsparameter,en.quality parameter]
góðskuráðlegging	ráðlegging viðv. góðsku[da.planlægning af kvalitet,en.quality planning]
góðskuringrás	hugtakamyndil av sínámillum ávirkandi aktivitetum ið ávirka góðskuna í teimum ymisku stigunum frá staðfesting av tørvum til meting av um hesir tørvir eru nøktaðir[da.kvalitetssløjfe,en.quality loop]
góðskuskoðan	reglubundin og óheft kanning ið skal gera av um góðskuaktivitetir og tilhoyrandi úrslit samsvara við ætlaðar fyriskipanir og um hesar fyriskipanir eru settar í verk á munadyggan hátt og eru hóskandi til tess at náa málum[da.kvalitetsaudit,en.quality audit]
góðskuskoðari	ein ið (gjølla) kannar góðsku(P|t.d.| á fiski)[da.auditor (kvalitet),en.quality auditor]
góðskustevna	stevna P|el.| leið ið miðar eftir at hava góðsku í hásæti[da.kvalitetsmålsætning, kvalitetspolitik,en.quality policy]
góðskustýring	skipan fyri hvussu góðskan verður stýrd[da.(operationel) kvalitetsstyring,en.quality control, quality management]
góðskustýringarskipan	(tøkni)skipan ið miðar eftir at fáa bestu góðsku burturúr[da.kvalitetsstyringssystem,en.quality management system]
góðskutap	tap P|el.| missur í góðsku(á eini vøru P|t.d.|)[da.kvalitetstab,en.quality losses]
góðskutrygging	tað hvussu góðska verður tryggjað í P|t.d.| eini vøru[da.kvalitetssikring,en.quality assurance]
góðskutryggingarhandbók	(tøkni)handbók um góðskutrygging[da.kvalitetssikringshåndbog,en.quality assurance manual]
góðskutryggingarkrav	(tøkni)krav um góðskutrygging[da.kvalitetssikringskrav,en.quality assurance requirement]
góðskutryggingarmyndil	(tøkni)myndil hvussu góðskan best verður tryggjað í P|t.d.| eini vøru[da.kravmodel vedr. kvalitetsstyring,en.model for quality assurance]
góðskutryggingarskipan	(tøkni)skipan fyri góðskutrygging[da.kvalitetssikringssystem,en.quality assurance system]
góðskutryggingarætlan	(tøkni)ætlan fyri góðskutrygging[da.kvalitetssikringsplan,en.quality assurance plan]
góðskuyvirvøka	yvirvøka yvir góðsku í eini vøru[da.kvalitetsovervågning,en.quality surveillance]
góðskuætlan	ætlan hvussu góðska verður framd í eini vøru[da.kvalitetsaktivitetsplan,en.quality plan]
gólv	(húsasm.)grundflati (úr ymiskum evni) í húsiel.rúmi sum gingið verður á[da.gulv,en.floor) [flótandi gólvgólv lagt út uttan at vera fest í gólvið niðriundir[da.flydende gulv]
gólválegging	(handv.)tað at leggja gólv á[da.gulvbelægning,en.flooring]
gólvbjálki	(húsasm.)berandi bjálki í einum "bjælkelag"[da.gulvbjælke,en.floor joist]
gólvhiti	(byggiv.)hitaveitandi slangur í gólvkonstruktión(annaðhvørt slangur við heitum vatni rennandi ígjøgnum sum hitar gólviðel.ravmagnsleidningar við streymi sum gevur hita av mótstøðuni í leidningunum)[da.gulvvarme]
gólvklædningur	(handv.)klædningur lagdur á gólv innandura[da.gulvbelægning,en.flooring]
gólvlisti	(húsasm.)fótlisti[da.fodpanel, gulvliste,en.skirting board]
gólvpapp	(húsasm.)papp lagt ímillum flótandi gólv og betong[da.gulvpap]
gólvspølur	(húsasm.) [da.gulvstrø]
grafikkur	1háttur at endurskapa tekst og tekningar í fleiri samlíkum eintøkum2serligur háttur at prenta myndirvanl.á pappír(t.d.træskurð, steinprento.tíl.)3(teld.)teknindi[da.grafik,en.grafics]
grafitt	(evnafr.)karbon bundið í seksliðaða ringskipan í fláum(nýttt.d.til blýantsstiftir)[da.grafit,en.graphite]
granitt	(jarðfr.)stórkornut djúpgrýti[da.granit,en.granite]
gransking	gjølligar kanningar av ávísum evni til at økja vitanina um tað, tað at granska, granskan, rannsókn[da.forskning,en.research]
granskingarráð	stovnur ið skal fremja og stimbra gransking(serst. við peningaveiting)[da.forskningsråd]
granskingarstovnur	stovnur ið fremur gransking[da.forskningsinstitution]
granskingarverkætlan	rannsóknarverkætlan[da.forskningsprojekt]
gravimaskina	(byggiv.)stórt motorrikið amboð við grabbum at grava og fylla mold, leir o.a. við, gravkúgv, grøva 1[da.gravemaskine,en.excavator]
gravimetriskur	viðv. tyngdarmegi[da.gravimetrisk]
gravkúgv	(byggiv.)gravimaskina[da.gravemaskine,en.excavator]
grágrýti	(jarðfr.)smákornut slag av basalti(ljósari enn blágrýti),grásteinur
grásteinur	(jarðfr.)grágrýti
grátinna	(jarðfr.)slag av tinnu, eldtinna[da.kalcedon]
greiðboð	(teld.)lítið tekn á telduskíggja um at maskinan bíðar eftir at brúkarin slær e-t inn[da.klarmelding, prompt,en.prompt]
greiðslumyndil	myndil sum greiða verður gjørd fyri e-m við[da.forklaringsmodel]
greiningarrør	(oljuv.)rør ið greinast sundur í fleiri greinar[da.forgreningsrør,en.branch line]
greiningartól	(tøkni)tól nýtt til tøkniligar greiningar[da.analysator,en.analyser]
greiningarventilur	(oljuv.) [da.forgreningsventil,en.branch connection valve]
grind	(húsasm.)grindarlag[da.stolpeværk]
grinda	(húsasm.)gera grind 2(1) á,grinda eini hús
grindarlag	(húsasm.)yvir- og undirsyllar og stólpar áðrenn sperrurnar eru ákomnar, grindarverk, grind 2(1), stavlag[da.stolpeværk]
grindil	(teld.)merki av javnfjarum strikum át.d.vøru við upplýsingum um príso.a.(ber til at ljóslesa),strikukota[da.stregkode,en.bar code]
grovfíl	(handv.)fíl til grovari arbeiði við fíl[da.grovfil,en.rough file]
groypa	(húsasm.)(serst. um træsmíð)festa viðel.seta í groyping, fella e-t niður í e-t annað, kneppa 2(5),bjálkin er groyptur niður í syllina;groypa sperrur;borðskeytin er groyptur ella sýldur inn í tollin[da.afbinde, indtappe, skarre,en.set]
groyping	(húsasm.)(um træsmíð)samankoming har sumt.d.bjálkar eru samangroyptir(og festir hvør í annant.d.við seymum)[da.afbinding]
groyti	(jarðfr.)grótbræðing djúpt niðri í jørðini[da.magma,en.magma]
groytisgrýti	(jarðfr.)storknaðar grótbræðingar(bæði av daggrýti og djúpgrýti)[da.magmatisk bjergart]
grótborimaskina	(tøkni)borimaskina við bori ið bæði melur runt og høggur(kann nýtast til at bora í sera hart tilfar),amboð ið bæði borar og høggur, slagborimaskina[da.slagboremaskine]
