sagarbjálki	(handv.)langa stykkið á bogasag
sentrifuga	(tøkni)hvørviskilja 1, skilvinda, turrvinda 1[da.centrifuge,en.centrifuge]
sentrifugumotorur	(tøkni)motorur til/í sentrifugu[da.centrifugemotor,en.centrifuge motor]
serkervi	frárenslkervi har ið regn- og spillvatn verða veitt burtur í sundurgreindum kervum[da.separatsystem]
serloyvi	(tøkni)loyvi ið almennur myndugleiki letur til at reka ávíst virksemi av samfelagsligum týdningi[da.koncession,en.concession]
sermál	(løgfr.)(í heimastýrislógini frá 1948),máls(øki) ið beinanvegin kann verða yvirtikið undir føroyska fyrisiting[da.særanliggende,en.special matter];sbr.felagsmál
servomotorur	(tøkni) [da.servomotor,en.servo motor]
servoskipan	(tøkni) [da.servosystem,en.servo system]
servostillingarreiðlag	(tøkni) [da.servostillingsrelæ,en.servo positioner]
servostýring	(tøkni)stýring ið byggir á servotøkni(handastýringin hjá førara verður stuðlað við ískoytismegi frá servomotori)[da.servostyring, powerstyring,en.servo-controlled steering]
servotrýst	(tøkni)?(olju)trýst frá servomotori[da.servotryk,en.servo pressure]
servotøkni	(tøkni)tøkni við ávísum sjálvvirknum stillingar- og eftirlitsmekanismum(P|t.d.| í bremsu- og stýringarskipanum á tungum motorakførum)[da.servoteknik]
setthamari	(tøkni) [da.plathammer]
seyðagrót	(jarðfr.)árundir ísbrýndir kneysar og skøltar(roches moutonnées) [da.rundklippe]
seymhøgg	(gl.,handv.)meitil nýttur við seymasmíð(settur í stiðjan við eggini upp)
seymnavari	(handv.,stb.)tvari
seymrað	(húsasm.)rað av negldum seymi
seymur	(handv.)(jarn)nagli(at festa el. skoyta træ við)[da.søm,en.nail]
seyriveiting	(byggiv.)avveitingarskipan til at veita spillvatn burtur[da.sivedræn]
sigul	(alisfr.)magnet(ur)[da.magnet,en.magnet]
sigulmagn	(alisfr.)magnetisma[da.magnetisme,en.magnetism]
sigulmagna	(alisfr.)seta sigulmagn í, gera magnetiskan[da.magnetisere,en.magnetize) [sigulmagnaðurvið sigulmagni í, magnetiskur
sigulmagnan	(ravm.)tað at gera e-t magnetiskt, magnetisering[da.magnetisering,en.magnetization]
sikkring	(ravm.,tlm.)vartøppur[da.sikring,en.fuse]
sikkringarbrótari	(tøkni) [da.sikringsbryder,en.fused load breaker]
sikkringareind	(ravm.)luteind í sikkring[da.sikringsenhed,en.fuse cutout]
sikkringarfatningur	(ravm.)fatningur á sikkring[da.sikringsfatning,en.fuse holder]
sikkringarskáp	(tøkni)skáp har ið sikkringar eru[da.sikringsskab,en.fuse terminal]
silikat	(evnafr.)kisilsúrt salt[da.silikat,en.silicate]
silikon	(evnafr.)slag av evnasambandi millum kisil og ymisk lívrunnin evni[da.silikon,en.silicone]
silikonfuga	(rørsm.)fuga av silikoni
silikongummi	(evnafr.)gummi av silikoni[da.silikongummi,en.silicone rubber]
silvra	(handv.)leggja metal við silvuri, silvurleggja, silvurdraga[da.forsølve,en.silver-plate]
silvur	1(evnafr.)gráhvítt skyggjandi metal(frumevni, teknAg, t.e.argentum)2prýðislutur úr silvuri (1),vinnael.fáa silvur í ítróttakapping(heiðursmerki úr silvuri)
silvurdraga	(handv.)silvra[da.forsølve,en.silver-plate]
silvurlegging	(tøkni)tað at leggja við lag av silvuri[da.forsølvning,en.silver-plating]
silvurleggja	(handv.)silvra[da.forsølve,en.silver-plate]
silvurnitrat	(evnafr.)silvursalt av salpetursýru(teknAgNO3)[da.sølvnitrat]
silvurslípari	(handv.)ein ið gevur silvurlutum frá maskinum eftirviðgerð[da.sølvsliber]
silvursmiður	(handv.)handverkari ið evnar til, selur og vælir um lutir úr silvurio.tíl.[da.sølvsmed,en.silversmith]
silvursmíð	smíð úr silvuri
simulatorur	(tøkni,teld.)samláti[da.simulator,en.simulator]
sink	gráhvítt metal(frumevni, teknZnt.e.zincum)
sinka1	(handv.)fella saman borð, fjaliro.tíl.(við groyping el. knepping),sinka saman[da.sinke]
sinka2	(handv.)leggja eitt lag av sinki uttan á metal, galvanisera, sinkklæða[da.galvanisere, forzinke,en.electroplate]
sinkanoda	(tøkni)anoda úr sinki[da.zinkanode,en.zinc anode]
sinking	(handv.)tað at sinka 2el.vera sinkaður, galvanisering, sinkklæðing[da.galvanisering, forzinkning,en.electroplating]
sinkklæða	(handv.)sinka 2[da.galvanisere, forzinke,en.electroplate]
sinkklæðing	(handv.)sinking[da.galvanisering, forzinkning,en.electroplating]
sirkul	(støddfr.)kringur 1[da.cirkel,en.circle]
sirmil	(tøkni)ventilur í sprinklara[da.sprinklerventil]
sítrøtt	(húsasm.)við tøttum tróðri(tróðurtrøini sett kant í kant)
sjálvrin	(ravm.)rin í streymveitandi leidningi elvt av streymskifti[da.selvinduktion,en.self-induction]
sjálvseftirlit	eftirlit ið ein heldur sjálvur[da.selv-inspektion,en.self-inspection]
sjálvvirkin	(tøkni)(um tól)ið virkarel.ger ávíst arbeiði av sær sjálvum(stýrt av tøkniligum útbúnaði);sms.al-[da.automatisk,en.automatic]
sjálvvirkni	(tøkni)tað at vera sjálvvirkin[da.automation,en.automation]
sjóða	(handv.)festa saman metalstykki við at bræða eina metalstong í skoytið, sveisa,sjóða jarn[da.svejse,en.weld]
sjóðari	(handv.)ein ið arbeiðir við at sjóða, sveisari[da.svejser]
sjóðing	(handv.)tað at sjóða 2(4), sveising[da.svejsning,en.welding]
sjóðingarbrennari	(tøkni)sveisibrennari[da.svejsebrænder,en.welding torch]
sjóðingarlogi	(handv.)logi ið sjóðað 2(4) verður við[da.svejseflamme,en.welding flame]
sjóðingarmetal	(tøkni)sveisimetal[da.svejsemetal,en.weld metal]
sjókagi	(tøkni)(sjónvarps)tól til at hyggja niður í sjógv við
sjónarhorn	1(alisfr.)horn (14) millum sjónarlinjur til tveir deplar á sjónarringinum2(bókm.)staðurinel.støðan haðan høvundurel.frásøgufólk skoðart.d.tilburðir í skaldaverki[da.synsvinkel]
sjónarlinja	(alisfr.)bein linja úr eyga á tað ið skoðað verður
sjóneyka1	(alisfr.)(kanningar)tól ið gevur størkaða mynd av ørsmáum lutum(sum síggjast ikki við berum eygum)[da.mikroskop,en.microscope]
sjóneyka2	(alisfr.)kanna við sjóneyku[da.mikroskopere,en.microscope]
sjónfløga	(teld.)fløga 1(3) við (livandi) myndatilfari[da.video-cd,en.video-cd]
sjónglas	(alisfr.)kúpa (2) ið gevur størkaða mynd av smáum lutum, sjóneykiglas, størkingarglas[da.forstørrelsesglas,en.magnifying glass]
sjónmiðil	(tøkni)miðil ið varpar ljóð og myndir(t.d. sjónvarp);sbr.ljóðmiðil
sjónvarpsrás	(tøkni)ávís bylgjulongd har ið sjónvarpssendingar verða útvarpaðar[da.fjernsynskanal,en.television channel]
sjónvørpa	(tøkni)tól ið varpar mynd á stórt lørift frá sjónbandstóli[da.videokanon,en.video projector]
sjuntur	(tøkni)tól til at stilla hita við[da.shunt]
sjuntventilur	(tøkni)ventilur á sjunti[da.shuntventil]
sjúnki	(jarðfr.)jarðlendi ið sjúnkar tá ið kálkgrundin undir loysist upp av kolsýruríkum vatni[da.jordfoldshul]
skammbiti	(húsasm.)1biti (5) ið bindur saman tvær sperrur 1(1), hanabiti, hanabjálki, hanaband[da.stikbjælke, hanebjælke,en.tie beam]2(í roykstovu)stuttur biti (5) millum tveir bitar (5),í summum roykstovum kallaðist bitin, sum krovini vórðu hongd á, skammbitin3(ným.,húsasm.)stuttur biti millum bitar(at seta í staðin har ið hol verður gjørt fyrit.d.trappuel.skorsteini)
skammleypa	(ravm.)gerast skammlop[da.kortslutte,en.short-circuit]
skammlop	(ravm.)tað at streymur loypur millum tvær (løstaðar) ravmagnsleiðingar stytsta vegin[da.kortslutning,en.short circuit]
skammlopsmotorur	(tøkni) [da.kortslutningsmotor,en.squirrel cage induction motor]
skammlopssamband	(tøkni) [da.kortslutningsforbindelse,en.shorting link]
skammlopsstreymur	(tøkni,ravm.)?streymur ið stendst av skammlopi[da.kortslutningsstrøm,en.short circuit current]
skammlopsverja	(tøkni,ravm.)verja fyri skammlopi[da.kortslutningsværn,en.short circuit protection]
skamtanareind	(oljuv.) [da.doseringsenhed,en.dosing unit]
skamtanarevni	(oljuv.) [da.doseringsmiddel,en.dosing medium]
skamtanarnøgd	(oljuv.) [da.doseringsmængde,en.dosing flow rate]
skamtanarpumpa	(oljuv.) [da.doseringspumpe,en.dosing pump]
skamtanarstilling	(oljuv.) [da.doseringsregulering,en.dosage regulation control]
skamtanartangi	(oljuv.) [da.doseringstank,en.dosing tank]
skamtanarútgerð	(oljuv.) [da.doseringsudstyr,en.dosing equipment]
skamtanarventilur	(oljuv.) [da.doseringsventil,en.dosing valve]
skanna	1(tøkni)kanna við skannara (1)2(teld.)ljóslesa[da.skanne,en.scan]
skannari	1(tøkni)kanningartól við evstaljóði til at kanna sjúklingar við(til at finna innvortis brek)2(teld.)ljóslesari[da.skanner,en.scanner]
skap	(støddfr.)rúmfrøðiligur formur(P|t.d.| tríkantur, fýrakantur P|el.| kringur)[da.figur]
skapleysur	1uttan líkinda skapel.form2(evnafr.)ið ikki hevur krystallskap,flest steinsløg hava krystallskap, hava tey ikki tað, eru tey skapleys
skarnvatn	(tøkni)vatn ið inniheldur ótørv, skitvatn[da.spildevand,en.waste water]
skarnvatnsskipan	(tøkni)skipan sum skarnvatn verður leitt burtur ígjøgnum[da.spildvandssystem,en.open drain system]
skarøks	(handv.)øks við bognum blaði tvørt á skaftið
skattingargrundarlag	(oljuv.)grundarlag sum skattað verður á[da.beskatningsgrundlag,en.taxation basis]
skavari	1(tøkni)slættari[da.siklinge]2(handv.)amboð til at skavat.d.máling av við[da.skraber,en.scraper]
skavijarn	(handv.)amboð til at skrava við(t.d.máling)[da.skraber,en.scraper]
skavingarstempul	(tøkni) [da.skrabestempel]
skák	(teld.)skákstrika 1(2)[en.slash]
skákhyrningur	(støddfr.)ferhyrningur við tveimum síðum javnfjarum, trapets[da.trapez,en.trapezium]
skákskoyti	(húsasm.)skoyti har ið tveir skákskornir, avsagaðir listar koma saman(P|t.d.| í horni á durarkarmi)[da.gering]
skákskoytingartól	(húsasm.)tól til at halda sag í føstum vinkli tá ið listar verða skornir[da.geringsanlæg]
skálkafjøl	(húsasm.)fjølel.bretti fest upp á endan á skálkunum 2(2)[da.sternbræt]
skálkalág	(húsasm.)lægd niðast á tekju har ið skálkarnir 2(2) eru festir á sperrurnar
skálkur	(húsasm.)viggvaksið træ fest á niðara enda á taksperru(sum vatnborð og torvhald liggja á),sperran hevur leysan skálk[da.skalk]
skeljabrot	(jarðfr.) [da.skalfragment]
skeljutur	(jarðfr.)(um brotben)við boygdum ruflum,skeljut nevna vit brot, har ið brotbenið sýnir boygdar ruflur
skerikassi	(handv.)kassi at skera listar í[da.skærekasse,en.mitre box]
skeristál	(tøkni)slag av knívi[da.skærestål]
skeritappur	(tøkni)skurðtøppur[da.snittap]
skeritól	skurðtól[da.skæreapparat]
skermur	(tøkni)útbúnaður til vernd uttan um e-t(t.d.bilhjól, ljósperuo.tíl.)[da.skærm,en.mudguard]
skiftiborð	(tøkni)telefonútbúnaður til at skifta ímillum fleiri linjur[da.vekslerbord,en.exchanger]
skiftil	(teld.)?útbúnaður sum broytir eina framseting av dátum í aðra javngilda, formbroyti[da.omskifter,en.(data) converter]
skiftileidningur	(tøkni)leidningur sum greinar størri leidning sundur í fleiri nýggjar greinar[da.fordelingsledning,en.distribution line]
skiftilykil	(handv.)skrúvulykil við kjafti (6) ið kann minkastel.gerast størri eftir tørvi[da.skiftenøgle, universalnøgle,en.adjustable spanner, spanner wrench]
skiftinet	(tøkni,ravm.)net sum P|t.d.| ravmagn verður veitt út um[da.fordelingsnet,en.distribution network]
skiftirás	(tøkni,ravm.)rás har ið skift verður út á aðrar rásir[da.fordelingskanal,en.distribution duct]
skiftirør	(tøkni)rør ið fer sundur í fleiri greinar[da.fordelingsrør,en.distribution header]
skiftirørskoyti	(rørsm.)rørskoyti millum tvær rørvíddir[da.reduktion]
skiftistreymsgeri	(ravm.)geri til skiftistreym, vendistreymsgeri[da.vekselstrømsgenerator,en.alternator]
skiftistreymsmotorur	(ravm.)?motorur rikin við skiftistreymi[da.vekselstrømsmotor,en.alternating-current motor]
skiftistreymur	(ravm.)vendistreymur[da.vekselstrøm,en.alternating current]
skiftitalva	(ravm.)streymtalva[da.strøm(fordelings)tavle,en.switchboard, distribution board]
skifur	(jarðfr.)fløgugrót, talvusteinur
skikkaður	førur fyri e-m,væl skikkaður[da.kvalificeret,en.qualified]
skilagólv	(húsasm.)gólv ímillum hæddir (3)[da.etageadskillelse,en.horizontal division]
skilarúm	(húsasm.)veggur millum tvey rúm, skilaveggur[da.skillevæg,en.partition]
skilarúmssyll	(húsasm.)syll í skilarúmi
skilaveggur	(húsasm.)skilarúm[da.skillevæg,en.partition]
skiljivatn	(evnafr.)salpetursýra(nýtt (áður) til at skilja gull frá silvri)
skimi	(tøkni)kavbátskikari ið snýst í allar ættir[da.periskop,en.periscope]
skinnaralikam	(tøkni
skinnari	1(tøkni)mjá stongel.teinur sum e-t kann glíðael.flytast eftir2(tøkni)stálteinur (tveir í tali) til tok og onnur jarnbreytarfør,tokini koyra á skinnarum;sbr.jarnbreyt[da.skinne,en.rail]
skipanareind	(oljuv.)eind í eini skipan[da.organisationsenhed,en.organizational unit]
skipanarhandbók	(oljuv.)handbók ið lýsir hvussu e-t er skipað(P|t.d.| felagsskapur)[da.organisationshåndbog,en.organization manual]
skipasmiðja	(handv.)smiðja har ið skip verða smíðað og umvæld[da.skibsværft,en.shipyard, shipbuilding yard]
skipasmiður	(handv.)handverksmaður ið arbeiðir við at smíða skip[da.skibstømrer, skibsbygger,en.ship's carpenter, shipwright]
skipasmíð	(handv.)tað at smíða skip[da.skibsbyggeri,en.shipbuilding]
skitvatn	(tøkni)skarnvatn[da.spildevand]
skiva	(tøkni)tunt, flatt stykki(t.d. at leggja undir møtrik)[da.skive,en.washer]
skivubremsa	(tøkni)slag av bremsuútbúnaði í akførum[da.skivebremse,en.disc brake]
skíggi	(teld.,tøkni)glasflati á sjónvarpi, telduo.tíl.(sum tekstur og myndir koma til sjóndar á),skermur (2)[da.skærm,en.screen];sms. t.d.sjónvarps-,teldu-
skíggjadepil	(teld.)myndeind á skíggja(minsta eind ið víst verður)[da.skærmterminal, pixel,en.pixel]
skíggjamynd	(teld.)mynd á telduskíggja[da.skærmbillede,en.visual display unit picture]
skíggjastøð	(teld.)telda ið hevur beinleiðis samband við stórteldu[da.skærmterminal]
skjalgoyma	goyma sum skjal[da.arkivere]
skjálvtamiðdepil	(jarðfr.)miðdepil í jarðskjálvta(niðri í jarðarskorpuni)[da.fokus]
skjálvtauppistøða	(jarðfr.) [da.epicentrum]
skjótilæra	(handv.)amboð til at máta tjúkt og vídd við[da.skydelære,en.sliding gauge]
skjótiventilur	(tøkni) [da.skydeventil (?)]
skjótventilur	(tøkni) [da.hurtigventil,en.slam shut valve]
skjøldrastólpi	(húsasm.) [da.gavlstolpe,en.gable stud]
skjøldraveggur	(húsasm.
skjøldur	1(húsasm.)tríhyrningurin ovast á húsagalvi(vanl. av viði),snibbi, snibbaskjøldur2(húsasm.)galvur,undir skjøldrinum[da.gavl,en.house end]
skoðanareind	) [da.organisation der bliver auditeret,en.auditee]
skoðanarmeistari	(handv.)handverkari tilnevndur at meta um sveinastykki(og hava eftirlit við arbeiðinum)[da.skuemester]
skoðanarviðmerking	) [da.observation ved kvalitetsaudit,en.quality audit observation]
skolikrani	(rørsm.
skorputur	(jarðfr.)við skorpu[da.skorpet]
skorputæring	(jarðfr.)tað at grót tærist soleiðis at skorpur losna uttanav[da.exfoliation]
skorsteinur	(rørsm.)ræsi sum leiðir royk frá eldstaði(vanl. laðaður av tigulgróti el. stoyptur);sbr.kamin[da.skorsten,en.chimney]
skotasyll	(húsasm.)(á gomlum húsum)syll ið lá á grótveggi sum skálkarnir 2(2) liggja á
skothurð	(húsasm.)hurð ið gongur á skinnara og verður latin upp og aftur við at skjóta hana til viks, rennihurð;sbr.draguhurð[da.skydedør,en.sliding door]
skotlæra	(handv.)tól at mála tjúkt og op innan á røri[da.skydelære,en.slide gauge]
skotrenna	(húsasm.)renna 1 millum tveir takflatar(har ið høvuðsbygningur og útbygningur koma saman)
skotvindeyga	(húsasm.)vindeyga ið kann latast upp og aftur loddrætt[da.hejsevindue,en.sash window]
skoyti	1(handv.)stað har ið tvey stykki eru skoytt saman2(handv.)stykki ið er skoytt upp í e-t annað[da.fittings,en.fittings]
skoytilutur	(handv.)lutur at skoyta rør saman við, muffa (2)[da.muffe,en.muff, socket]
skósmiðja	smiðja har ið skógvar verða gjørdir og umvældir
skrá	) [da.registrering,en.record]
skráband	(húsasm.)band (1) á skrá millum takbjálka og høvuðssperru[da.skråbånd,en.strut]
skrábretti	(húsasm.)skrástillað bretti oman fyri vindeyga
skrálekt	(húsasm.)lekt sett á skrá[da.skrålægte,en.brace]
skráskera	(húsasm.)skera lista yvir í ein vinkul á skák[da.gere]
skrásneiða	(byggil.)taka burtur kant á brettumel.fjalum til at fáa sneiddan kant[da.affase]
skrástívari	(húsasm.)sniðband (1)[da.skråbjælke]
skrátekja	(byggiv.)tekja ið hellir P|el.| er á skrá[da.skråtag,en.cone roof]
skreljuborur	(tøkni) [da.skraldebor]
skreytlisti	(húsasm.)prýðislisti við s-skapaðum profili[da.karnis]
skriðjøkul	(jarðfr.)jøkul ið otar seg oman gjøgnum dalir og út gjøgnum firðir,niður úr teimum stóru jøklunum ganga skriðjøklar, sum føra bæði grót og sand við sær[da.gletscher]
skrovbein	(sj.,húsasm.)grindarverk á húsi
skrubbhøvil	(handv.)grovur høvil,móts.slætthøvil[da.skrubhøvl,en.roughing plane, rough-plane]
skruv	(jarðfr.)sandut og eyrkent lendi, sundurmolnaðel.morknað grót;sms. t.d.eyr-,sand-
skrúva1	1nagli við skrúvugangi og høvdi við foyru á tvøranel.á kross(gongur við snúning inn í við o.a.)2(skip.,flogm.)útbúnaður við skáksettum bløðum (7) ið við snúning drívur far fram,fáa um skrúvunafáa e-t upp á skrúvuna meðan siglt verður;sms. t.d.bakk-,bóg-,fram-,hol-,síðu-,spenni-,stjørnu-
skrúva2	1(handv.)festa skrúvu 1(1)el.festa við skrúvu2(handv.)snara(serst. e-m ið hevur skrúvugang),skrúva lokið fast;skrúva avloysa við at snara(vanl. til vinstru);skrúva áfesta við at snara(vanl. til høgru),skrúva fráopna,skrúva kranan frá;skrúva fyriloka,skrúva útvarpið fyri;skrúva fyri vatninum;skrúva niðurminka(t.d. ljóð el. ljós),skrúva lampuna niður(minka logið)3(ítr.)(um bólt)(fáa at) snúðrael.snara (í bug) gjøgnum luftina,hann skrúvaði bóltin í netið;bólturin skrúvaði í málið
skrúvilykil	(handv.)lykil (2) við (kantutum) kjafti (6) at skrúva møtrikar, boltaro.tíl.við[da.skruenøgle,en.spanner, wrench]
skrúvuanoda	(tøkni,ravm.) [da.skrueanode,en.threaded anode]
skrúvubakki	(handv.,rørsm.)amboð til at skera skrúvugang við, skrúvugangsskeri[da.gevindskærer, klup,en.pipe threader]
skrúvublað	1(handv.)amboð av stáli við blaði at skrúva við(gongur niður í foyru á skrúvuhøvdi)[da.skruetrækker,en.screwdriver]2(skip.)blað (7) á skrúvu 1(2)
