úrborur	(tøkni), úrsnarari[da.rømmejern]
útstoyt	(tøkni)1tað sum blást verður út gjøgnum útstoytsrør frá motori[da.udstød,en.exhaust]2útstoytsrør,útstoytið og innsúgvingin vóru ikki í lagi[da.udstødningsrør,en.exhaust pipe]
útstoytsgreinrør	(tøkni)(í bensinmotori)[da.udstødningsmanifold,en.exhaust manifold]
útstoytshiti	(tøkni)hiti á tí gassi sum kemur út úr motori[da.udstødningstemperatur,en.exhaust temperature]
útstoytsketil	(tøkni) [da.udstødskedel,en.exhaust boiler]
útstoytsrør	(tøkni)(á akfari)rør sum útstoytið (1) fer út ígjøgnum[da.udstødsrør, udstødningsrør,en.exhaust pipe, exhaust stack]
útstoytsskipan	(tøkni) [da.udstødningssystem,en.exhaust system]
útstoytsventilur	(tøkni)?ventilur til útstoytsgass[da.udstødsventil,en.exhaust valve]
útstrekki	(støddfr.)x-virði hjá punkti í krossskipan[da.abscisse,en.abscissa];sbr.uppstrekki
útstreymingardýsa	(tøkni)frárenningarstrútur[da.udstrømningsdyse]
útstreymingarrør	(tøkni)útrenslrør[da.udstrømningsrør]
útstykking	tað at stykkja út(til húsagrundir)
útsúgving	(byggiv.)tað at súgva út(t.d. luft)[da.udsugning,en.exhaustion]
útsúgvingarop	(rørsm.)?op har ið sogið verður út úr e-m
útsúgvingarskipan	(tøkni,rørsm.)skipan ið sýgur luft út[da.udsugningsanlæg]
útsúgvingarventilur	(tøkni)luftnýggjanarventilur til útsúgvingar[da.udsugningsventil]
útsøgn	1e-t sum erel.verður sagt, framsøgn (1),eftir útsøgn hansara at døma2(støddfr.)útsøgn (1) ið er sonn ella ósonn,12 er eitt staktal(ósonn útsøgn)[da.udsagn (?),en.statement (?)]
úttak	1(teld.)úrslit av dátuviðgerð(t.d. sum útprent)[da.output,en.output]2(ravm.)wattvirkt/watteffekt sum gongur út úr styrkjara til hátalara[da.udgangseffekt]
úttrin	(húsasm.)ovasta trapputrin(smalari enn hini og sett saman við gólvinum)[da.udtrin]
úttøkuportur	(tøkni) [da.udtagsport,en.pressure port]
útundirgerð	(húsasm.)útbygningur á síðuni á gomlum húsum, útúrgerð;sbr.kovareising
útúrgerð	(jarðfr.)greinel.angi 2(1) út úr gosgrýti í fláirnar uttanum[da.apofyse]
útvarpsrás	(tøkni)ávís bylgjulongd hjá útvarpsstøð
útvegarafelag	(oljuv.)felag sum útvegar olju og gass (við útvinning)[da.leverandørselskab]
útvegari	(oljuv.)felag ið útvegar olju, gass P|el.tíl.|[da.leverandør,en.supplier]
útvinna	(oljuv.)fáa til vegar úr náttúruniel.øðrum evnum,útvinna kopar og annan metal;útvinna olju[da.udvinde,en.extract]
útvinning	(oljuv.)tað at útvinna, úrvinning[da.udvinding,en.extraction(?), depletion(?), recovery (?)]
útvinningareind	(tøkni)?partur av útbúnaði sum er við í at vinna út olju, gass P|el.tíl.|[da.udvindingsenhed,en.recovery unit]
útvinningarloyvi	loyvi ið almennur myndugleiki letur e-m (P|t.d.| felag) at reka ávíst virksemi av samfelagsligum týdningi[da.koncession,en.concession]
útvinningarrættur	(oljuv.)rættur at vinna út olju, gass P|el.tíl.|[da.?udvindingsrettighed]
