Sakarias	(Sakarias, Sakariasi, Sakariasar*)
Steinar	(Steinar, Steinari, Steinars)
Steinbjarta	(Steinbjartu, Steinbjartu, Steinbjartu)
Steinbjørn	(Steinbjørn, Steinbjørn/Steinbirni, Steinbjarnar/Steinbjørns)
Steinfinnur	(Steinfinn, Steinfinni, Steinfins)
Steingerð	(Steingerð, Steingerð, Steingerðar)
Steingrímur	(Steingrím, Steingrími, Steingríms)
Steinmundur	(Steinmund, Steinmundi, Steinmundar/Steinmunds)
Steinoddur	(Steinodd, Steinoddi, Steinods)
Steinolvur	(Steinolv, Steinolvi, Steinolvs)
Steintór	(Steintór, Steintóri, Steintórs)
Steintóra	(Steintóru, Steintóru, Steintóru)
Steinunn	(Steinunn, Steinunn, Steinunnar)
Steinur	(Stein, Steini, Steins)
Steinvør	(Steinvør, Steinvør, Steinvarar)
Stella	(Stellu, Stellu, Stellu)
Stina	(Stinu, Stinu, Stinu)
Stígur	(Stíg, Stígi, Stígs)
Suffía	(Suffíu, Suffíu, Suffíu)
Summaldur	(Summald, Summaldi, Summalds)
Summarliði	(Summarliða, Summarliða, Summarliða)
Suni	(Suna, Suna, Suna)
Sunnbjørg	(Sunnbjørg, Sunnbjørg, Sunnbjargar)
Sunnfríð	(Sunnfríð, Sunnfríð, Sunnfríðar)
Sunnfríða	(Sunnfríðu, Sunnfríðu, Sunnfríðu)
Sunnhild	(Sunnhild, Sunnhild, Sunnhildar)
Sunniva	(Sunnivu, Sunnivu, Sunnivu)
Sunnleivur	(Sunnleiv, Sunnleivi, Sunnleivs)
Sunnleyg	(Sunnleyg, Sunnleyg, Sunnleygar)
Sunnrið	(Sunnrið, Sunnrið, Sunnriðar)
Sunnvar	(Sunnvar, Sunnvari, Sunnvars)
Sunnvá	(Sunnvá, Sunnvá, Sunnváar)
Sunnvør	(Sunnvør, Sunnvør, Sunnvarar)
Súna	(Súnu, Súnu, Súnu)
Súnbjørt	(Súnbjørt, Súnbjørt, Súnbjartar)
Súnfríð	(Súnfríð, Súnfríð, Súnfríðar)
Súnfríða	(Súnfríðu, Súnfríðu, Súnfríðu)
Súnhild	(Súnhild, Súnhild, Súnhildar)
Súni	(Súna, Súna, Súna)
Súnmundur	(Súnmund, Súnmundi, Súnmundar/Súnmunds)
Súsanna	(Súsonnu/Súsannu, Súsonnu/Súsannu, Súsonnu/Súsannu)
Svanbjørg	(Svanbjørg, Svanbjørg, Svanbjargar)
Svanfríð	(Svanfríð, Svanfríð, Svanfríðar)
Svanhild	(Svanhild, Svanhild, Svanhildar)
Svanleyg	(Svanleyg, Svanleyg, Svanleygar)
Svanna	(Svannu, Svannu, Svannu)
Sváva	(Svávu, Svávu, Svávu)
Svávar	(Svávar, Svávari, Svávars)
Sveinbjørn	(Sveinbjørn, Sveinbjørn/Sveinbirni, Sveinbjarnar/Sveinbjørns)
Sveinungur	(Sveinung, Sveinungi, Sveinungs)
Sveinur	(Svein, Sveini, Sveins)
Svenningur	(Svenning, Svenningi, Svennings)
Sverri	(Sverra, Sverra, Sverra) [Í eftirnøvnum við-son, -dóttirkann gamla hvørsfalssniðiðSverris-verða nýtt]
Syftun	(Syftun, Syftuni, Syftuns)
Sylvia	(Sylviu, Sylviu, Sylviu)
Sæbjørg	(Sæbjørg, Sæbjørg, Sæbjargar)
Sæbjørn	(Sæbjørn, Sæbjørn/Sæbirni, Sæbjarnar/Sæbjørns)
Sædis	(Sædis, Sædis, Sædisar)
Sæfinnur	(Sæfinn, Sæfinni, Sæfins)
Sæfríð	(Sæfríð, Sæfríð, Sæfríðar)
Sæmundur	(Sæmund, Sæmundi, Sæmundar/Sæmunds)
Sæunn	(Sæunn, Sæunn, Sæunnar)
Sævar	(Sævar, Sævari, Sævars)
Sølmundur	(Sølmund, Sølmundi, Sølmundar/Sølmunds)
Sølva	(Sølvu, Sølvu, Sølvu)
Sølvar	(Sølvar, Sølvari, Sølvars)
Sølvá	(Sølvá, Sølvá, Sølváar)
Sølvi	(Sølva, Sølva, Sølva)
Sølvør	(Sølvør, Sølvør, Sølvarar)
Sørin	(Sørin, Sørini, Sørinar)
Sørkvi	(Sørkva, Sørkva, Sørkva)
Sørli	(Sørla, Sørla, Sørla)
