o1	(málfr.)sjálvljóðsstavur (nevndur[o:])
ohm	(ravm.)máteind fyri ravmagnsmótstøðu(eftir týska alisfrøðinginum G.S. Ohm 1787-1854)
ok	1tvørtræ sum akteymar á dráttardýrum eru festir í2tvørtræ at leggja um herðarnar(at bera t.d. vatn við)3(flutt m.)tung byrði, kúgan;sms. t.d.træla-
oka	ota(Sv)
okara	(Sa.,Skú.)okkara
okari	(sj.,stb.)oki
oki	(húsasm.)træ neglt tvørtur um fjalir(til at halda teimum saman, t.d. á hurð),klampi, tvørtræ,hillarnar liggja niður á okarnar;oki er undir endunum á skríninum, so at botnurin skal ikki standa á gólvinum
okkara1	sívit 2
okkara2	1(viðv. tí ið hoyrir 1. pers. flt til)okkara hús;óvanligur gestur um okkara leiðir;málið er lívæðrin í okkara fólki;kvæðaskaldskapur okkara2(viðv. skyldskapi)foreldur okkara;børn okkara;døtur okkara3(í atfinningarsamari tiltalu)okkara býttlingar!4(í staðin fyri navnorð)eg fari niðan til okkara;sbr.vár 3
okkum	sívit 2
okkur	(jarðfr.)samnevni (1) fyri ávísar blandingar av jarðmálmi við gulum, brúnumel.reyðum liti í(nýtt t.d. í máling)
okkurgulur	gulur sum okkur, brúngulur, illgulur
okkurlittur	okkurgulur,við okkurlittum framfaksi
okkurt	síonkur
okkut	síonkur
okn	(fugl.)1svanur(Cygnus cygnus),hin fannhvíta oknin2(kvæð.)slag av fugli(óvist hvør),eg sá fljúgva oknir sjey, rann teim blóð at veingi
oknagras	(plfr.)slekt í oknagrasætt(Isoetes),mjúkt oknagras(I. echinospora);sms.vatna-
oknagrasætt	(plfr.)ætt av leggstreingjagróplantum(Isoetaceae)
okra1	taka ov høga rentuel.ov høgt gjald, selja alt ov dýrt
okra2	(Suð.)okkara
okrari	ein ið okrar, okurkallur
oksa	rósa av øvund, halda at e-t er størri og betri hjá øðrum(Sv)
oksabásur	básur til oksa
oksaeyga	(plfr.)slektir í kurvablómuætt(lík baldursbrá)(Chrysanthemum, Leucanthemum),gult oksaeyga(C. segetum),hvítt oksaeyga(L. vulgare)
oksafall	h10eí osb.geva e-m oksafallsyfta e-n niður
oksafarmur	bátsfarmur av oksum,teir róðu altíð av makt við oksafarmi
oksafjórðingur	fjórðingur (1) av oksa,kokkurin hevði ein oksafjórðing við sær
oksafrælsi	frælsi (2) undir ein oksa,Høvdin skuldi vera tólv oksafrælsi
oksahald	tað at haldael.hava oksar
oksakálvur	tarvkálvur(Sv)
oksakjøt	kjøt av oksa
oksakroppur	(kvæð.)kroppur av oksa,oksakroppin át hann upp
oksaleggur	(kvæð.)leggur av oksa,Kolbein tók upp oksalegg
oksalær	(kvæð.)tjógv av oksa,tey bóru honum fram oksalær
oksasíða	(kvæð.)síða (2) av oksa,hon legði fram eina oksasíðu
oksasteik	steik av oksakjøti,hava oksasteik til døgurða
oksatjógv	tjógv av oksa
oksavetringur	veturgamal oksi
oksi	1tarvur geldur ungur2(gl.)tarvur,(kvæð.)oksan ein og geitir fimm;(spæl)átta beinel.føtur á oksa(spæl við bandi um og millum fingrarnar);sbr.krákufótur;sms. t.d.hólm-,urðar-
oktan	(evnafr.)slag av kolvetni í bensini
oktober	10. mánaður í árinum, oktobermánaður
oktobermánaður	oktober
oktobur	oktober
okum	(Sa.,Suð.)okkum
okur1	tað at okra 1, órímiliga dýr søla,bót fyri okur
okur2	(Suð.)vit
okurkallur	okrari
okurprísur	órímiliga høgur prísur, ovurprísur,teir krevja ein okurprís fyri kistuna
okurrenta	órímiliga høg renta, ovurrenta
okursprísur	(ov) høgur prísur(goldin fyri e-t),atgongumerki verða seld fyri okursprís
OL	(ítr.)stytting fyriolympiuleikir
oldabbi	(stb.)oldurabbi
oldingi	gamalmenni, ellimenni
oldomma	(stb.)olduromma
oldurabbi	abbi abbael.ommu
olduromma	omma ommuel.abba
olivinolja	olja vunnin úr fruktum av oljutrænum
olja1	1flótandi fitievni vunnið úr oljuberjum, ymsum øðrum ávøkstum, urtum og dýrum,steikja í olju;seinasta oljan(fyri deyða)(sakramenti í katólsku kirkjuni),fáa seinastu oljuna2flótandi brennievni av plantu- og dýraleivdum(vunnið djúpt úr jørðini),bora eftir olju;(flutt m.)oysa olju á báliðel.eldingera ilt verri, gera meira skaða enn gagn;sms. t.d.brenni-,jarð-,lín-,rá-,stein-
olja2	1smyrja við olju,(flutt m.,stb.)fara oljandi(serst. um skip og bátar)(stimandi)2(stb.)í osb.olja niðursláa, fella,hann oljaði grasið niður
oljuber	(plfr.)ber 1 av oljutræ[da.oliven]
oljubilur	tangabilur til oljuflutnings
oljublað	blað av oljutræ,dúgvan hevði oljublað í nevinum
oljublettur	blettur av olju(t.d.á sjónum)
oljuboring	tað at bora eftir olju
oljubrendur	(sjóm.)(um skip og bátar)í uppisetri við olju,vit mugu aftur at landi, annars verða vit oljubrendir
oljubrøkur	(sj.)oljubuksur
oljubuksur	(sjóm.)vatntættar buksur(úr olju-el.plastbornum dúkiel.klæði)
oljudansur	vatntætt sítt yvirklæði hjá sjómonnum(heilt frammantil),dansur 2
oljudálkaður	dálkaður av olju, ið olja er komin at, oljutur,oljudálkaður fuglur
oljudálking	dálking av olju(t.d.í náttúruni)
oljudunkur	dunkur til olju
oljufarmur	skipsfarmur av olju
oljufelag	felag ið vinnur útel.selur olju 1(2)
oljufella	(jarðfr.)poknutar fláir har ið olja setur útí og savnast
oljuframleiðsla	tað at framleiða olju
oljufyrisiting	almenn fyrisiting fyri virksemi í sambandi við oljuídnað,Oljufyrisiting Føroya
oljufýr	oljufýring
oljufýrdur	oljukyndur,oljufýrdur ketil
oljufýring	ovnur ið kynt verður í við brenniolju(til miðstøðarhita),oljufýr(ur), oljukynding,ein stór broyting var, at trolararnir skiftu frá at vera kolfýrdir til oljufýring
oljufýrur	oljufýring
oljugjald	avgjald á olju(til tað almenna),tann størsti parturin av inntøkunum stavar frá serliga oljugjaldinum og innflutningsgjaldinum á blýfríum bensini
oljuglas	glas við olju og veiki, anari,oljuglasið brann sum yvir einum sjúklingi
oljugoymsla	goymsla til olju 1(2),har standa nú saltbing og stórar oljugoymslur
oljuhavn	havn har ið olja verður tikin í land, reinsað og avskipað
oljuhosa	(gl.)hosa úr toyi smurd við fernisi(at hon skuldi vera tøtt at nýta á sjónum),teir høvdu oljuhosur innan undir skølingunum
oljuhúsi	(tøkni)ílatel.húsi við smyrjiolju í(á motori)
oljuídnaður	ídnaður ið arbeiðir við at finna, vinna út og framleiða olju, oljuvinna
oljukanna	kanna 1(1) til (smyrji)olju
oljukelda	staður har olja vellir uppel.verður pumpað úr jørðini
oljukendur	sum hevur olju í sær, oljutur
oljuklæddur	í oljuklæðum,skiparin var oljuklæddur
oljuklæði(r)	vatntøtt yvirklæði(ið serst. sjómenn nýta),síðani vóru tað oljuklæðini: troyggja, brøkur og útsynningur;oljuklæði(r) av plasti
oljukynding	oljufýring
oljukyndur	kyndur við oljuel.oljukynding
oljukøka	tunn køka gjørd úr tí sum eftir er tá ið olja er vunnin úr berjum, urtumo.tíl.(serst. nýtt sum fóður til kríatúr)
oljulampa	(gl.)lampa ið brennir olju,elsta náttljós man hava verið oljulampan ella kolan
oljuleiðing	rør(skipan) til at flyta oljuel.gass langan veg
oljuleiting	leiting eftir olju
oljuleki	tað at olja lekur út
oljulitur	litur blandaður við línoljuel.fernisi(nýttur í málningalist);sbr.vatnlitur
oljulomvigi	oljudálkaður lomvigi;sbr.lýsilomvigi
oljulygna	lygna 1(1) av olju (á sjónum), oljublettur
oljumáling	máling blandað við línoljuel.fernisi
oljumálningur	málningur málaður við oljulitum
oljuneyð	oljutrot
oljuovnur	ovnur ið brennir olju
oljupálmi	(plfr.)pálmi ið pálmaolja verður vunnin úr(Elaeis guineensis)
oljureinsiverk	verk ið reinsar jarðolju
oljusteinur	steinur at brýna afturumaftur við(til at fáa eggina mjúka)
oljustivli	1(gl.)roðhosa smurd við fernisi og olju(at hava innan undir skølingum),vit nýttu ikki stivlar sum nú á døgum, men oljustivlar og skølingar2vatntættur stivli úr oljubornum lørifti;sbr.hanaskógvur
oljusvinta	svinta úr oljubornum evni
oljutangi	tangi 2 til olju
oljutrot	tað at trot er á olju
oljutroyggja	vatntøtt troyggja úr olju-el.plastbornum evni,hann hevði smoygt sær úr oljutroyggjuni, áðrenn farið var at rógva
oljutrýst	trýst sum ávís oljunøgd fremur í rørskipan
oljutræ	(bíbl.,plfr.)slag av træ í ættiniOleaceae;vanl.træ ið ber fruktir sum ymisk oljusløg verða vunnin úr(Olea europaea)
oljutunna	1tunna við olju2(rúmmál)158,76 l av reinsaðari olju(nýtt í oljuídnaði)
oljutur	oljudálkaður
oljuvánir	vánirel.møguleikar at finna olju
oljuviður	(bíbl.)oljutræ
oljuvinna	tað at vinna olju úr jørðini, oljuídnaður
oljuævintýr	oljuvinna við stórum búskaparligum avleiðingum(ið at kalla virka óveruligar),tá oljuævintýrið einaferð er liðugt(tá ið oljan er uppi)
olmussa	1gáva til neyðstaddan, fátækrahjálp,fáa (e-t) í olmussu;biddarar biðja ferðamannin um eina olmussu;(í vanda staddur)lova burtur (í) olmussulova e-m(t.d. fátækum, kirkjuo.tíl.)gávuel.góðgerð fyri at sleppa úr vanda2hjolmussuneyðar, neyðars,tær olmussu konur
olmussubeist	(sj.)olmussudýr
olmussudrongur	1neyðarsligur og fátækur drongur, olmussudýr2(spæl)skíra olmussudrong,sbr.munkaprestur
olmussudýr	1armingi, fátækadýr, neyðardýr, stakkal2olmussudýrið(blíðm.)(at sýna várkunnel.harm)søti mín, lukka(n),far aftur og legg teg, olmussudýrið;hann man eingi sunnudagsklæði eiga, olmussudýrið(stakkalin)
olmussugenta	neyðarslig og fátæk genta, olmussudýr,tá ið faðirin doyði, varð hann kongur og olmussugentan drotning
olmussuheiðar	torvheiðar latnar ognarloysingum
olmussukirkja	(søg.)kirkja sum lovað varð burtur í olmussu til,gamla kirkja í Vági var okkara einasta olmussukirkja
olmussulamb	lamb lovað burtur í olmussu
olmussuligur	1ússaligurel.neyðarsligur til útsjóndar, illa dæmdur2ið vekur várkunn
olmussumaður	neyðarsligur maður, olmussudýr (1), vesalavætti
olympiskur	1(gudal.)viðv. grikska fjallinum Olympos,teir olympisku gudarnirgriksku gudarnir(ið búðu á Olympos)2viðv. olympiuleikum,olympisku leikirnir
olympiuleikir	1millumtjóða ítróttastevna hildin fjórða hvørt ár ymsastaðni í heiminum2(søg.)ítróttastevna í forna Grikkalandi ið allir frælsir grikkar høvdu atgongd at(hildin fjórða hvørt ár frá 776 f. Kr. til 394 e. Kr.)
oman	1úr erva og niður, niðureftir, omaneftir(ofta um hallandi, lækkandi rørslu),móts.niðan,farael.ganga oman(niður);detta omanfara fyri bakka,sídetta oman;kastael.stoyta omanbeina fyri við at koyra út av har ið bratt er(t.d.hundar, kettlingar);kasta sær omanbeina fyri sær við at leypa útav;oman og niðan1hornrætt á halla(í ávísa ætt),húsini standa oman og niðan2omaneftir og niðaneftir,nú fóru neytini at ganga oman og niðan(niðan í hagan á morgni og oman aftur til hús á kvøldi)3allastaðni, allar staðir,sólin skínurel.sær bæði oman og niðan(av tí fagrasta)2(saman við fs)oman at:oman at húsum;oman at flóðarmálanum;tvey fremmand komu gangandi oman at bøgarðinum;oman av:oman av landi(burtur),hvørt ár fara fleiri og fleiri ungdómar oman av landi til skips;taka móðu oman av potti(burtur av);oman á1niður á,oman á bakkan2upp áel.yvir,rómi legst oman á mjólk3(um mat)eftir høvuðsmáltíð, sum afturíkast,oman á døgurða fingu teir kaffi;oman fyriel.fyri omanlongri uppi(enn e-t annað),oman fyri húsini,móts.niðan fyri;flogfør surraðu oman fyri teir(uppi yvir teimum);raskur oman fyri hálsvølin,síhálsvølur,hevur aldri verið til uttan oman fyri hálsvølin(ongantíð verið annað enn tóm orð);oman í:oman í brýrniður at eygnabrúm;oman ígjøgnum:teir gingu oman ígjøgnum hagan;oman til:oman til strandar;oman úr:koma oman úr fjalli;oman við:oman við ánniniður og fram við ánni;oman við Strondfsviðhvnf3niður eftir, oman eftir,sum eitt fok oman brekkunaniður brekkuna, undan brekkuni;hann rann oman trappurnar(niður ígjøgnum)4hægri enn (e-t annað), oman fyri, fyri oman,svimur sum oftast við høvur sínum oman vatnið;førur oman belti;oman Hoydalar;oman Viðarlund5vera oman stokk(uppi, vakin),er hann so frægur, at hann er oman stokk?(sí eis.omanat,omanav,omanáo.s.fr.)
omanat	oman á lendingina,hann fór omanat móti manninum
omanav	(burtur) av, úrel.frá yvirflata,taka omanavtaka róma av mjólk;grava omanav;har brotnaði alt bæði omanav og niðanav(av skipi í ódnarveðri)
omanavtikin	ið rómi er tikin omanav,omanavtikin mjólk(skúmað)
omaná	1oman á e-m,liggja omaná(t.d.í bardaga)2á lívi, livandi,tað skal ikki henda so leingi hann er omaná3í osb. sumetael.hava e-t omaná(dessert eftir høvuðsmáltíð, afturíkast)
omanávatn	vatn savnað oman á jørðini,móts.grundvatn,ofta er lítið salt í omanávatninum
omanbergs	hj(bjarg.)í osb. sumfarael.síga omanbergs(úr erva niður í bergið);teir tóku omanbergs(frá eggini);ólukksáligt brimsummar, sluppu ikki undir landið, fóru omanbergs at fleyga,móts.niðanbergs
omanbergsfuglur	(serst. um lomviga)fuglur ið av vindi slær upp um eggina og dettur niður í hagan(og ikki sleppur á flog aftur),omanbergsfuglurin er vanliga ikki fyrr enn um summarið
omanbering	(um torv)tað at bera torv av heiðini oman til hús,omanberingin fall í bestu summarmánaðum
omandeks	uppi á dekki,aftur at tí skaða, vit fingu omandeks, kom eisini hol á skipið
omandottin	1fallin(í brattlendi)2í osb.hann var omandottin eitt dansikvøld(komin fyri barn við eini gentu);sbr.detta oman
omandøttur	tað at e-t dettur oman, fall,av omandøttri og ringari hagreiðing var seyðatalið minkað
omaneftir	(um veg)(úr erva og) oman, niður, niðureftir
omaneggja	hj(bjarg.)í osb.ræna omaneggjaræna við at síga av eggini
omanfleyg	1(á báti)tað at fleyga fugl ið flýgur niður úr bergi(serst.lomviga),taka (í) omanfleyg;nógvir dugdu væl at taka omanfleyg2(flutt m.,sjóm.,speis.)taka omanfleyglifra fyri yvirmonnum;sbr.gera hvítt
omanfleyggj	omanfleyg
omanfrá	1[-'f-]longri niðri, longri oman(enn e-t annað),húsini stóðu nakað omanfrá(niðanfyri);hann gekk nakað omanfrá2úr erva, omanífrá,(bíbl.)tit eru niðanfrá, eg eri omanfrá, tit eru av hesum heimi, eg eri ikki av hesum heimi
omanfyri	1í erva, omaná, uppiáel.-yvir,høg fjøll omanfyri og smalt sund niðanfyri2longri uppi, hægri, ovari3(um seyðaskinn)spretta omanfyri[-ˈf-]skera upp aftanífrá og frameftir undir búkinum(tá ið tummað er);síspretta (2)14(Mikld.)fara omanfyri[-ˈf-]fara á flot;sbr.niðrifyri
omangongd	staður har gingið verðurel.gongt er oman, niðurgongd,tað er klettur norðanvert við omangongdina
omanhallur	ið hellir omaneftir
omanífrá	úr erva
omankast	leyst grót ið dettur niður úr bergiel.fjalli,akvegurin liggur illa fyri omankasti;hann fór av omankasti(ein steinur datt á hann)
omankavað	l hí osb.nú er nógv omankavaðkavin kemur langt oman;tað er ikki omankavað enn, so seyðurin gongur høgt
omankavi	(sj.,stb.)kavi ið kemur av luftini, kavaavfall,móts.jarðrok
omankoyring	vegur ið koyrandi er oman eftir,tá ið vit komu til omankoyringina, brotnaði bremsan
omanleið	leið ið hildin verður oman, ferð omaneftir(t.d. úr fjøllum),mestan møttu tit kendum fólki, sum var á omanleið?
omanljós	ljós íel.úr erva, ervaljós,í omanljósi
omanlop	1tað at grót, moldo.a.loypur (úr fjalliel.líð), skriða 1(1), skriðulop, grótlop,menn vóru bangnir fyri omanlopi2tað ið omanlopið er(t.d. eyrur, moldo.tíl.);sbr.berglop;omanlopið liggur framman fyri munnan enn;(flutt m.)síggja út sum eitt omanlopvera grimur á at líta, lúnast, gronast;sbr.skriðuskortur
omanlopin	lopinel.ruddur oman, niðurdottin,hitt omanlopna grótið er hvasskent;torvan er nú omanlopin
omannevndur	nevndur omanfyriel.frammanundan,omannevnda uppskot varð sett í gildi
omanrakstur	tað at reka seyð oman úr haga, seyðarakstur (í rætt) oman úr haga;sbr.bakkarakstur
omanrák	suðurrákel.vestfall í Nólsoyarfirði
omanreiðing	tað at reiða 3serst.torv oman av heiðini,síðan varð farið at leita eftir rossum til omanreiðingina
omanrent	(um stað í t.d. bakka, hamriel.bjørgum)ið seyður lættliga kemst oman í men illael.als ikki upp úr,teir mega vita, hvar ið tað er omanrent, og hvar ið tað er niðanrent hjá seyði;sbr.niðanrent
omanristing	(um gerð og úrslit)tað at rista oman,hann ristir oman, til tað kemur saman við fyrru omanristingina framman fyri bringuna
omanrok	nógv kavaavfall í stormi,var ættin ímóti, hevði eg ikki funnið, tí so nógv var jarðrokið og omanrokið
omanrudd	omanruddur eyrur, gróto.tíl., skriða 1(2),víkingagravirnar eru grivnar niður í mølheyggjar, sum liggja fleiri hundrað metrar undir omanruddi
