L	rómv. taltekn fyri 50
lagdur1	1ullarlagdur, tógvi,loysa, taka úr lagdivirka klæði úr ull(sjálv(ur) nappa, karða, spinna o.s.fr.);ullin lá í lagdi(óviðgjørd)2ullarlagdur bundin upp á seyð,knýta lagd á veðurlamb, ið er uppgjørt til brunds;knýta lagd á gimburlamb, sum verður út aftur slept, um óvissa er um, hvør ið eigur tað3roykuro.tíl.sum líkist ullarlagdi,lagdir av royki
lagdur2	síleggja
lagfastur	við føstum ljóðfalli, stigbundin, stigjavnur;sbr.lagbundin
lagga1	1(um vætu)renna eitt lítið sindur, dryppa, lagra,tað er ikki meira enn, tað laggar úr tunnuni;tað eru bert tær stóru áirnar, ið lagga eftir í summarturkinum2koma laggandi aftanákoma darlandiel.larrandi aftaná
lagga2	gera løggt.e.fals í stavirnar á stavaílati at fella botnin í,lagga dyllur;lagga upp
laggajarn	amboð at gera løgg í stavaílat við
laggardropi	lítil dropi, sopi, løggur,eg eigi ein laggardropa av brennivíni;hon stoytir laggardropan úr biðinum(teir síðstu droparnar)
laggardryppur	(sj.)laggardropi
laggarkerald	(sj.)stavakerald
laggarsíður	í buksum sum hanga niður aftantil, løggutur, brókasíður
laggartár	(sj.)laggardropi
laggdropi	(stb.)laggardropi
lagghallur	1(um fólk)sum hellir á aðra liðina, skeivur, lavhallur,lagghallur maður2(um tunnuo.tíl.)hallandi, kalur 2,lagghalt kerald
laggir	síløgg
laggjarn	(stb.)laggajarn
laggongdur	góður, lættur at ganga,ein laggongd gøta;tað er laggongt í frosti, tá ið turrligt er og eingin kavi;nú er so laggongt, tað sum eftir er til bygdina(lættgongt)
laggoyra	h1(stb.,sj.)í osb.gongur sum eitt laggoyra(um barn sum altíð verður sent ørindi)
lagin	(sj.)1fallin e-m í lut, lagað,henni var lítil eydna lagin;tað var ikki honum lagið at verða gamal2hóskandi, skikkaður,hetta hevði verið lagið til sornhellu
-lagin	sífjar-,kar-,sjó-,út-
lagkaka	lagkøka
lagkakubotnur	lagkøkubotnur
lagkleyv	(á jóturdýrum o.ø.)lítil kleyv (tvær í tali) oman fyri og aftanvert við hinar kleyvarnar;(fólktr.)tá ið kúgv sleikir sær um lagkleyvarnar, kemur grind
lagkøka	stór rund køka av tveimumel.fleiri lagkøkubotnum við fyllu(budingi, kremi, súltutoyi o.tíl.)ímillum, lagkaka
lagkøkubotnur	tunn køka til lag í lagkøku
lagligur1	lagaligur (1), hóskandi, nýtiligur,moldin er ikki laglig sum gróðrarlendi fyri búplantur;hj-liga
lagligur2	(um veður)stillur, við ongum vindi,har er so lagligt;sbr.læligur
lagna	tað sum er avgjørt fyri e-n (av hægri máttum), forløg, skepna (3)(hendingar og tilburðir ið e-m eru fyri á lívsleiðini),eingin fer undan lagnuni;eingin kennir lagnuna;lagnan var ikki blíð(um e-n ið hevur mótgongd í lívinum);hann mátti bera ta tungu lagnu at verða sendur burtur
lagnadur	(sj.)lagnaður
lagnaður	lagna
lagni	(sj.)lagna
lagnudagur	lagnutungur dagur
lagnuløddur	lagnutungur
lagnuløta	1lagnutung løta, døpur løta, lagnustund,henni varð ikki lív lagað, virkaði bara í skamma stund, fram til lagnuløtuna, tá ið hon varð týnd2løta tá ið stór avgerð verður tikin,orðaskifti verður í Fólkatinginum í dag, og landsstýrið vil rudda misskiljingar av vegnum undan lagnuløtuni hjá fullveldinum
lagnumikil	lagnutungur
lagnustund	lagnuløta
lagnutrúgv	trúgv á at lagnan hjá e-m er avgjørd frammanundan og broytist ikki
lagnutungur	ið er (avgerandi) orsøk til afturgongdel.vanlukku, forlagatungur, lagnuløddur,hesa lagnutungu skaðanátt
lagorðaður	orðkringur
lagra	1(um vatn)renna eitt lítið sindur, dryppa,tað er ikki meir enn, tað lagrar úr krananum;tað var ikki meira enn, keldan lagraði(seyraði)2pissa,tað lagrar altíð(um drong ið ikki fær hildið vatninum);lagra avlata renna liðugt,tú mást geva tær stundir at lagra av(pissa liðugt)
lagsbróðir	felagi, starvsbróðir, vinur
lagskipaður	(jarðfr.)skipaður í løgel.lindir,legugrót botnsett í vatni er vanliga væl lagskipað;lagskipað legugrót
lagsmaður	1maður sum ein er saman við, felagi, lagsbróðir,hann øvundar sínar lagsmenn, sum hava frívakt2(gl.)bólari, alskari
lagsmansbyrði	legsmansbyrði
lagstubbi	lítið brot (3) úr einum lag (9),syngja ein lagstubba
lagstur	síleggja
lagvakur	(um song)við vøkrum, reinum lag (9),mál hansara var lítið lagvakurt
lak1	klæði at breiða út yvir madrassu í song,leggja lak á (song)
lak2	síleka
laka	lata laka á (t.d.sildatunnur),tunnurnar vórðu lakaðar fleiri ferðir
lakaankar	lakaílat
lakafrysta	(sjóm.,gl.)frystat.d.agnsild við blanding av kavael.ísi og salti
lakaílat	ílat (tunna, kaggio.tíl.) við saltlaka at goyma mat í
lakasalta	salta (sild, grind, spiko.tíl.) við laka,lakasaltað spik;sbr.turrsalta
lakasild	lakasaltað sild
lakaspik	spik goymt í saltlaka
lakatunna	tunna við saltlaka(at goyma mat í)
lakbleikur	(sj.)líkbleikur, nábleikur
laki	(kryddað) upploysing av salti, sukrio.tíl.í vatni at goyma mat í;sms. t.d.grinda-,krydd-,salt-,silda-,spik-
lakk1	evni at smyrja upp á træ, metalo.tíl.(at gera tað sterkt, hart og blankt)
lakk2	(ítr.)tað at lakka 2,gera eitt lakk
lakka1	1smyrja við lakki2(gl.)innsigla við lakki
lakka2	1gangael.hoppa á einum beini2(barnaspæl)hoppa eftir ávísum reglum í uppmerktum fýrkantum,eis.lakka paradís(barnaspæl);lakka løgirrenna undan alduni og elta hana út aftur3(stb.)lappa (1),lakka steinar eftir sjónum
-lakki	sírukku-
lakking	1tað at lakka 1(1)2skónel.lag av lakki(t.d.á bili)[da.lakering]
lakkisteinur	lakkusteinur
lakkskinn	lakkborið skinn,stivlar úr lakkskinni
lakkskógvur	skógvur við lakkaðum 1(1) yvirleðri
lakksoppur	(plfr.)slekt av soppi (2)(Laccaria),reyður lakksoppur(L. laccata),snúin lakksoppur(L. tortilis),stórur lakksoppur(L. proxima)
lakktøkuevni	evni til at taka lakk burtur við
lakkuleika	lakkusteinur
-lakkur	síá-,gor-
lakkusteinur	lítil flatur steinur at lakka 2(2) við, lakkuleika, lukka (2)
lakmál	(sj.)heldur lítiðel.knapt 2(1) mál
lakmus	(evnafr.)evni ið er blátt í lúti og reytt í sýru(úr skóninilichen rocella)
lakmuspappír	(evnafr.)pappír við lakmusliti
lakress	svart og seigt slag av søtmeti
laks	(kvæð.)laksur,laksið rennur so strítt í streymi eftir hvøssum gróti;(Suð.)har eru so nógv laks í Grønlandi
laksalína	lína (1) til at veiða laks við
laksalús	(dj.)krabbadýr ið livir sum sníkur á laksi(Salmincola)
laksastíggjur	manngjørdur vegur til laks og síl upp um fossaro.tíl.(tá ið hann fer niðan í áirnar),Sílaveiðifelagið gjørdi laksastíggjar um fossarnar í Leynará
laksastyrja	(fisk.)stórur djúphavsfiskur við skyggjandi prikkum(Lampris guttatus)
laksaveiða	1tað at veiða laks, laksafiskiskapur2veiddur laksur,laksaveiðan varð løgd upp í Klaksvík
laksayngul	yngul hjá laksi
lakslittur	við liti sum fiskurin á laksi, ljósareyður
laksur	(fisk.)fiskur av laksaætt ið livir bæði í sjógvi og vatni(Salmo salar),laksur av kallkyni hevur krókutan undirkjaft í gýtingartíðini;sms. t.d.gull-,sting-
lakur	1(um vekt, mát o.s.fr.)eitt vet minni enn, heldur minni enn, knappur 2, slakur,lakan tumma til tjúktar;lakar fýra merkur í tálg;tað eru løk hundrað ár síðan;í lakara lagií minna lagi2vánaligur, ússaligur, ringur 2(1),heilsurøktin var lakari;ofta hevur lakur maður átt so væna konu
lall	1lærel.rumpa á barni2(slang)kvennskøp
lallandi	út av lagi, fullkomiliga,tey halda teg vera ein lallandi svakan nørd;hann var so lallandi(dýrandi fullur)
lallasligur	(stb.)seinur, deydligur
lama	(dj.)slag av kleyvdýri í Suðuramerika(við longum oyrum og stuttum hala)(Lama)
lamb	1avkom hjá seyði(til várið eftir),sum lambiðlagaligur, eftirlátligur;(tilt.)er lambið hvítt, verður árið blítt, er lambið svart, verður árið hart(um fyrsta lambið ein sær um várið)2(kortsp.)(í stýrivolti)sjeyu(r) í velt(um);sms. t.d.aktingar-,erva-,fjall-,gimbrar-,gimbur-,gjólings-,haga-,heima-,heyst-,sleppingar-,smá-,veður-
lambaár	ár 2 (gottel.ringt) til lambing,gott/ringt lambaár
lambadeyði	tað at lomb doyggja(í stórum tali)
lambadrongur	1drongur ið ansar eftir seyði ið skal kyrrast2drongur úr Lamba
lambaður	l6:væl/illa lambaðurið hevur nógv/fá lomb,teir hagarnir eru væl lambaðir;hvussu er lambað hjá tær?hevur tú fingið nógv lomb?;væl/illa er lambaðnógv/fá lomb eru lembd
lambafelli	lambadeyði
lambafylgi	(stb.)seyðafylgi sum lembir væl,tað var eitt gott lambafylgi
lambagoymsla	(kvæð.)tað at goyma atel.ansa eftir seyði
lambaheiði	(kvæð.)beiti hjá lombum á heiði
lambakjøt	lambskjøt
lambakrubba	krubba (2) til lomb at standa í
lambamaður	maður íel.úr Lamba
lambamarking	(sj.)tað at marka lomb,fara í lambamarkingfara á fjall at marka lomb
lambamæ	(barn.)lamb
lambarær	(stb.)lambær
lambaskinn	lambsskinn
lambasparl	sparl undan lambi
lambaspræna	lambaspræni(Sv)
lambaspræni	1ilsligt veður (kavi, regn, vindur) um várið tá ið lembingin er fyri(so at lomb doyggja),lambasprænin hevði verið av tí ringasta um náttina við áarføri og vindi2tíðin tá ið lambasprænin (1) er
lambasprænur	lambaspræni,lambasprænurin hevur ikki verið enn
lambasteik	stokt lambskjøt, steik (1) av lambskjøti
lambatal	tal á lombum,tá ið gjólingar og gimbrar ikki lemba, verður lambatalið eitt sindur minni;gott ár til lambatal
lambatøð	tøð undan lombum(sum hava staðið inni)
lambgeld	(um ær)ið hevur mist lambið, hevur kastað burtur,ær er lambgeld, tá ið hon hevur mist lambið
lambgelding	(óregl.)->lamgelding
lambgimbri	(stb.)gimbri sum hevur lamb
lambhús	(stb.)hús at hava heimaseyð í,lombini vórðu slept út um morgunin og rikin inn um kvøldið í lambhús
Lambi	(stn.)bygd í Eysturoynni,í/úr Lamba,til Lamba
lambing	tað hvussu lambað er,lambingin er góð/ringvæl/illa er lambað
lambsbløðra	landbløðra úr lambi
lambsbógvur	bógvur (1) av dripnum lambi
lambsdrunnur	drunnur av lambi,fegin verður muður mín at smakka feskan lambsdrunn fyrsta páskamorgun(í skjaldri)
lambseyður	1lomb um heystið,lambseyðurin skarst væl,móts.ærseyður2(sj.)lamb um heystið
lambsførur	(um ær)førur fyri at kvidnast,kemur ikki stórkavi aftur, vænti eg allan áseyðin verða lambsføran
lambsgeld	(sj.)lambgeld
lambsgelding	(sj.)lamgelding
lambsgjólingur	gjólingur ið lembir fyrsta árið
lambshálsur	hálsur av dripnum lambi,fríggjari skuldi kunna bróta lambshálsur millum hendurnar, annars fekk hann ikki gentuna
lambshorn	horn av veðurlambi
lambsjúkur	1lambsjúk(um ær)komin at lemba2(kortsp.)(í stýrivolti)hava ilt við at lemba (2)
lambskjøt	kjøt av lambi, lambakjøt
lambskotin	(um ær)ið hevur lembt ov tíðliga(so at lambið ikki kann liva),lambskotin ær;sbr.mistaka
lambskrov	krov av lambi
lambskurður	tey lomb ið verða flett um heystið,ikki plagar lambskurðurin at roynast í sovorðnum árum
lambskøkja	(Suð.)tvey lomb samankøkt, køkja av tveimum lombum
lambslivur	livur av lambi
lambsmóðir	lívmóðir á seyði
lambsótt	verkur hjá ær ið lembir, lambsverkur,konur mugu ikki eta av seyði, sum doyr av lambsótt
lambsprongd	(sj.)(um ær)lambtung,maður hevur verið av húsi at bjarga teim neyðar lombum og lambsprongdu óm
lambsroð	roð av lambsskinni
lambsskinn	skinn av lambi
lambssperra	sperra 1(2) av lambi
lambssteik	steik av lambskjøti
lambssveiti	sveiti (1) úr svævdum lambi,ærsveitin er vanliga væl størri enn ein lambssveiti
lambstálg	tálg úr lambi;sbr.ærtálg
lambstjógv	tjógv av lambi;sbr.ærtjógv
lambstonn	fyrru tenninar á seyði,eingin hevði lambstonn í heysinum(eingin yngri enn trý, fýra ár);tað stendur so illa til, at einki er, sum hevur lambstonn
lambsverkur	lambsótt
lambtung	(um ær)sum er frammi undir lembing, nær við at lemba, lambsprongd,ærnar eru lambtungar
lambær	ær sum hevur lamb,móts.geldær
lamdi	sílemja
lamdoyva	gera linan og máttleysan,undir lamdoyvandi sól
lamgelding	kv6í osb.leggja (upp) í lamgeldingbinda fram- og afturbein á seyði saman øðrumeginel.á kross(at darva gongd),lombini, ið spekjast skuldu, vórðu løgd í lamgelding[ísl.langhelda]
lamgeldingur	(stb.)lamb ið er lagt í lamgelding,lamgeldingur er eitt hoylamb við aftur- og frambeinunum samanbundnum, so tað ikki skuldi fara ov langt
lamin	1(um kropslim)viknaður so nógv at hann er ónýtur, við ongari megi, máttleysur2haltur,lamin í báðum beinunum3í ólagi, óvirkin, óhjálpin,skipið var lamið og lá og rakst undir bjørgunum4lamsligin, stívur,lamin av ræðslu;sms. t.d.av-,deyð-,kar-
-lamis	síav-
lamisligur	(stb.)heldur lamin,hon er nakað lamislig
lamleggja	leggja, gera lamnan, lemja,hitin er lamleggjandi;hetta lamlagda fólkið
lamløsta	løsta álvarsliga, meiðsla, meinsla
lamma1	sláa hart og dygt,lamma til av allari makt;hann lammaði til sýslumannin
lamma2	s30í osb.lamma seg1(um fuglar)lemja seg2(sj.)(um fólk)gremja seg,hann fór at lamma seg
lammast	(um kropslim)fáa lamning
lammilsi	lamningur
lammitera	(tlm.)halda gang, garta
lammiterilsi	(tlm.)tað at lammitera, gartan, gartalagangur
lamningur	(lækn.)tað at verael.gerast lamin (1);sms. t.d.av-,barna-
lampa	útbúnaður ið gevur ljós frá ravmagni, gassi, oljuo.ø.,tendra lampuna;lampan er sløkt;sms. t.d.borð-,gløði-,olju-,standi-
lampufótur	fótur (3) undir lampu
lampuglas	glasrør um log í oljulampu
lampuljós	ljós frá lampu(m),móts.dagsljós
lampulogi	logi í oljulampu
lampuosi	lampuslím
lampupípa	(sj.)pípan sum veikurin situr í
lampuskermur	skermur (1) uttan um peruna á lampu
lampuskíggi	(stb.)lampuskermur
lampuslím	slím (3), osi frá oljulampu, lampuosi
lampuspritt	sprittt.d.til at heita primusar við
lampustað	(ravm.)stað har ið lampa er knýtt at ravmagnskervinum(serst. undir lofti)
lamsa	klamsa, smella, bresta,hann lamsaði hurðina aftur;fuglurin fór lamsandi fram eftir sjónum(brestandi við veingjunum)
lamskerja	skerja (e-n) so hann gerst lamin (3)el.ónýtur,(flutt m.)teir lamskerdu skúlan í Føroyum við at bannlýsa móðurmálið
lamskjóta	gera lamnan við skoti,lamskotin fuglur;lamskotin hara
lamsláa	sláa (e-n) lamnan, lamløsta (við slagi),hann hevði lamsligið lomvigan;vit vóru sum lamslignir(sum lundi sligin á nevið, sum kánus)
land1	1partur av jarðaryvirflatanum ið ikki er undir vatni,móts.hav,sjógvur,taka land1koma at landi,súlan tekur land á pálsmessu2(sjóm.)fáa landkenning,vit tóku land á Kallinum;leggja at landi(um far)leggja at (bryggju);koma/fara aftur at landi(heim aftur av útróðri);fara av landi(num)rýma til annað land;hann var av landinum og las til prest;langt av landi skotinstaddur langt burtur;hon er sunnan av landi(sunnaneftir);land av leið (stb.leni)1langan veg, langt,ganga land av leið2langt av leið, langt burturi,hann er land av leið skotin;renna (sigla) á land;fuglur er á landi(í bjørgunum);leggja frá landi1fara frá landi(við bát)2(flutt m.)fara avstað aftur(t.d. aftan á vitjan);fara í landfara av skipi;til landsheim aftur av útróðri;rógva til lands;(gl.)vera til landsrógva út í Íslandi við opnum báti;undir landivið land;ófriðarskip vóru undir landinum;koma (upp) undir land1koma tætt inn at landi, fáa lívd av landi2(flutt m.)nærkast endaliga málinumel.úrslitinum,nú var komið undir land við samráðingum;nógvur fiskur kemur upp á land(er at fáa, verður avreiddur);liggja uppi á landivera heima, ikki vera til fiskiskap;leggjast upp á landikki fara til skips aftur,hann hevði verið til sjós fyrr, men so legðist hann upp á land;skipið lá tríggjar fjórðingar úr landi;fram við landiframvið tætt í landi;teir sigldu suður (eysturo.s.fr.) við landi(framvið suðureftiro.s.fr.);yvir landeftir landi;ferðast yvir land;hildið var á við ferðunum yvir land, til motorbátarnir fóru at sigla2strond(fram við firði el. sundi),streymrákið rekur inn við øðrum og út aftur við hinum landinum;nú rívur í inni á Hovslandinum;yvir á landum fjørðin(t.d.úr Skopun til Kirkjubøarel.Velbastaðar);undir Streymoyarlandinum, Argjalandinum;sundið millum Sumbiarhólm og landið3heimstaður hjá eini tjóð, fosturland,her á landi4jørð (5)(við lunnindum),fara til landiðognast teimum ið sita við jørðini;triðingur av lunda varð lagdur til landið(lutaður jørðini);landið helt bjargalínurnar og fekk tá triðingin(teir sum jørðina áttu);hann hevur nógv/einki á landinum(eigur nógva/onga jørð)5landiðhitt almenna, landskassin,landið rindar ein triðing av útreiðslunum;sms. t.d.ferðamanna-,fostur-,fugla-,føði-,heim-,hjá-,lomviga-,lunda-,megin-,móður-,oyði-,skatt-
land2	(lívfr.)væta við ótørvi úrskild úr nýrunum hjá menniskjum og dýrum, vatn (3)
