ø	(málfr.)sjálvljóðsstavur (nevndur[ø:])
øðuagn	agn av øðu
øðudregg	dregg at dreggja eftir øðu við
øðudýr	(dj.)skeldýr, skelfiskur
øðugarður	garður (4) úti í sjónum at goyma livandi øðu í
øðujarn	amboð at taka øðu upp av botni við(træstong við jarnklógv á endanum)
øðukelv	(dj.)kelv (1) hjá øðu
øðuker	(sj.,stb.)igulker
øðukongur	(stb.)1ein ið er dúgligur at fáa øðu;sbr.fiskikongur2ein ið heldur seg vera, høvuðkambur,skiparin er ringur at vera saman við, hann er ein øðukongur og vanvirðir hvønn mann
øðukrabbi	(stb.)slag av øðudreggi,øðukrabbi hevur 8 tindar og tog fest í ovara enda
øðulingur	(dj.)slag av skeldýri(áður hildin vera ungi hjá øðu)(Modiolaria nigra)
øðuskel	skel av øðu
øðutjóvur	(stb.,fisk.)lítil berggylta, berggyltumurtur
øðutongul	(plfr.)tongul við øðu millum røturnar
øga	ræða, hvøkkja, kløkka,øga e-n;(kvæð.)Valindur tokar í herin fram, øgir Haralds menn;(gl.)meg øgdi tað fyri eygunumeg var hálvræddur at síggja tað;øgastgerast kløkkur,mongum øgdist at síggjanógv ógvaðust við av at síggja (tað);sbr.øða 2
øgil	1nógv áarføri í toybili,nú var øgil í vatninum, og fossurin stoytti sær útav, so landið skalv;øgil er komin í ánna(er gruggut av vatnføriel.full av krapa)2skitið gruggut vatn í á(í áarføri),øgilvatn3blot í kava4áarlop,einaferð kom øgil úr Hovsegg og tók ein hjall av grund og førdi hann oman á sjógv5í osb. sumhann er ein øgilel.hann leikar í sum ein øgil(sum eitt ið ótt er);hann er ein øgil og ein bøðil(hevur einki fyrilit, er harðrendur)
øgiligur	1við øði, ræðuligur, øtiligur,so øgilig var sjónin2nógvur, sterkur, ógvisligur,tað var ein øgilig ferð;ein øgiligur vindur;hj-liga1á øgiligan hátt, ræðuliga2ógvuliga, ótrúliga,tað var øgiliga stuttligt;eftir øgiliga stuttari tíð var drápið endað;ein øgiliga hørð kapping
øgilsvatn	øgilvatn
øgilvatn	(gruggut) vatn í á, øgil (2),øgilvatn kemur sturtandi oman á slætt gjøgnum hvørt gil;tað dunandi øgilvatnið
øgn1	1(plfr.)lítið skalkent blað í blómuskipanini hjá grøsum, mýrigrøsum og lutvíst sevi(varð skilt frá tá ið treskt varð)(palea)2(plfr.)hvassur broddur á blómuel.blað(serst. á kornaksi)(arista),(gl.)tá ið gróðurin nældi og øgn sást3blettur við øðrum liti(serst. í ull á seyði),ærin var eyðkend av eini svartari øgn, sum hon hevði aftan fyri oyrað;hon hevði eina øgn niður á drunnin4eitt sindur, eitt vet,ein øgn av kámum norðlýsi hekk í útnorðri;sms. t.d.aks-,blómu-,glit-,hvønndags-,nær-
øgn2	í osb.vera væl (illa) í øgn við e-nsemjast væl (illa) við e-n, sita væl (illa) um sátt við e-n
øgn3	síagn
øgnutur	1(um kornaks)við øgnum 1(2)2(seyðal.)við øgnum 1(3), droplittur,dimmur seyður kann vera øgnutur(við hvítum blettumel.støkum hvítum hárum);hvítur seyður við smáum svørtum blettum er øgnutur
øgul	(Suð.)1øgil (1),øgul er í ánni2blot í kava, øgil (3),øgul er í kavanum;øgul er í hvørjum spori(ringt geingi, tøssut)3áarlop, øgil (4)
øguligur	(stb.)øgiligur,brimið er so øguligt;eg tori ikki út á eggina, har er so øguligt
øka	skrá breyt til at akael.skreiða á[da.rutschebane]
-øka	(av-vøka)síbartals-,bótals-,halvarðs-,jóans-,ólavs-,pæturs-,syftuns-
øki	1avmarkað leið(á sjógvel.landi),rúm, rúmd, pláss,hjá tykkum er so lítið øki at hava nakran afturat;har er so lítið øki, at tann ovari maðurin ger hinum niðara ónáðir(á fleyg);friðað øki;øki til handilsvirksemi2(flutt m.)partur av størri heild,ábyrgdarøki;dagstovnaøkið;útlendingaøkið;sms. t.d.arbeiðs-,eldra-,frí-,grinda-,havnar-,land-,magn-,máls-,mál-,sjó-,starvs-,útbúgvingar-,vanda-,verk-,virkis-
økil	(lívfr.)partur á fótleggi millum fót og kálva(um fótliðin),økul,um øklarnar og niðan á fótleggin;stivlarnir ganga upp á økilin;upp um øklar:ganga upp um øklar í runu
øking	tað at økjastel.leggjast afturat, uppískoyti, ískoyti, eyki, vøkstur (1);sms.við-
økisfriða	1(um landaøki)lata fáa frið, varðveita óbroytt,Mentamálaráðið ætlar at økisfriða Tinganes2banna fiskiskapi(á ávísum øki ávíst tíðarskeið)
økisfriðing	tað at friða ávíst øki(á sjógviel.landi),økisfriðingarnar verða ásettar fyri at minka um veiðuna av smáum upsa
økismenning	(politisk) tiltøk sum hava til endamáls at menna útjaðaran
økismissur	(málfr.)tað at móðurmálið verður trokað burtur sum samskiftismál á ávísum nýtsluøki samstundis sum annað mál kemur inn í tess stað,vit uppliva økismiss á tann hátt, at enskt verður nýtt sum vísindamál
økja	gera størri, leggja aftur at, skoyta upp í, eyka til,tað var ikki óvanligt, at roðskógvur varð øktur;økja umgera størri, vaksa um, nøra um,økja um ferðina;økja upp ískoyta upp í,var eitt skøði ov stutt, varð petti økt upp í hælin;útreiðslurnar økjast
øklabein	(lívfr.)fimm smá bein aftan fyri fótablaðið(ossa tarsi)
øklahosa	hosa ið røkkur upp á økilin
øklakavi	kavi upp á øklar
øklaknúta	(sj.)øklaknútur
øklaknútur	(lívfr.)árunt bein á øklinum
øklaskeivur	við skeivum øklum
øklasokkur	sokkur ið røkkur upp á økilin
økrast	(stb.)ønskrast,økrast við
økruligur	(stb.)ønskriligur,tað er økruligt at hoyra
økrum	síakur
øks1	1amboð at høgga (serst.timbur) við,føroysk øks hevði beina egg2øksinávíst bein í grunningshøvdi, svørðið(Varð. 29230);sms. t.d.fall-,skar-,skegg-,spjót-,stav-,stein-,stríðs-,viðar-
øks2	síaks
øksa	(stb.)øks 1(1)
øksarbit	merki í viði eftir øks;sbr.bithøgg,høggbit
øksarblað	blað (5) á øks
øksareyga	holið fyri skeftinum
øksarhamar	tjúkki endin á øksarblaði(ofta nýttur sum hamari 1(2))
øksarhyrna	horn (eggjarmegin) á øksarblaði
øksarhøgg	høgg við øks
øksarkjaftur	egg á øks,hann skuldi verja seg, so leingi sum øksarkjafturin helt;(kvæð.)tungt var høgg av øksarkjafti
øksarskaft	skaft á øks,(tilt.)eg eri turrur sum eitt øksarskaft(ódrukkin (2), edrúur sum ein fótalunnur)
øksarstavur	(gl.)fjallstavur við øksarblaði(FFÆ140)
øksi	(gl.)øks,hann hevði øksi standandi í uttasta roykstovubitanum;(kvæð.)Álvur reiggjaði øksi hátt
øksl1	1(lívfr.)partur av yvirkroppinum millum háls og akslarlið;sbr.herðar;mjáur um akslar;líta um øksllíta aftur um seg, líta seg aftur um bak,eg leit ikki um øksl(lætst ikki um vón);eg kann ikki líta um øksl fyri hasum, tí hatta leggur alt til merkis(fái ikki vent mær fyri hasum);yppael.kippa økslel.akslirhveppa akslirnar(at vísa iva);skjóta akslirhveppa akslarnar, akslaskjótast;hann royndi at skjóta seg eftir øksl út aftur(við økslini fyri, eftir liðini);(tilt.)skeggið situr so nær høkuni og økslin so nær høvdinum,sískegg2(á hakafóti)hornið millum blað og skaft3fltfløskubarmur, barmur (4),fløskan var um akslarnar(um barmin)4(stn.)landslag líkt øksl (1),Middagsøksl;Økslin5(ným.)vegøksl,tað er ikki loyvt at seta bil á gongubreyt ella øksl;sms. t.d.blað-,veg-
øksl2	1(á kúgv)gult arr í lívmóðrini(ið kemur tá ið kúgv verður kviðin)(Corpus luteum)2(á seyði)harður klumpur í lívmóðrini(so at hann kvidnast ikki)3(á seyði)knykilel.vøkstur í innvølunum
øksli	øksl 2
øksna-	sbr.yksna-
øksul	(gl.)ásur á hvørvisteini
økt	tíðarskeið á 3 tímar (1/8 av samdøgrinum),hálva økt hann klæddi seg(í tátti)
økul	(stb.)økil
økusól	mánamánaður eftir summarsól (2),økusól byrjaði 24. juni og vardi ein mánað
øl	1h3erúsløgur av vatni, malti, humlu og ger, bjór 1,(orðt.)tá ið ølið fer inn, fer vitið út;(orðt.)øl er annar maðursanna muran kemur til sjóndar hjá tí ið drukkin er2kv2fløska við øli (1), ølfløska, bjór 1,tvær øl;sms. t.d.bars-,festar-,hvít-,jóla-,malt-,pilsnar-,sjónar-
øl-	sms. t.d.-bilur,-dunkur,-kassi,-krúss,-tunna
ølaður	við stívari kenning, drukkin
ølbjølgur	1ølkíkur2ølbúkur
ølbryggihús	bryggihús har ið øl verður bryggjað
ølbrygging	tað at bryggja øl
ølbryggjari	ein ið starvast við at bryggja øl
ølbúkur	stórur búkur (tambaður av øldrekking)
ølbøli	(niðr.)(vánalig) ølstova
øld	1langt tíðarskeið, tíð 1(7),fornøld,miðøld2100 ára tíðarskeið,tjúgunda øld;øld eftir øld;farna øldin;sms. t.d.atom-,bronsu-,forn-,gull-,hálv-,ís-,jarn-,kol-,krit-,mið-,ný-,rúmdar-,stein-,strá-,søgu-,upphavs-,víkinga-
øldeymur	deymur av øli,drykkjustovan var full av tubbaksroyki og øldeymi
øldós	dós við øli
ølfløska	fløska við øliel.til øl
ølger	(plfr.)gersoppur av ættiniSaccharomyces cerevisiae(nýttur til ølbrygging)
ølgerð	tað at gerael.bryggja øl, ølbrygging
ølgøgn	(søg.)ílat til ølbryggingar
øljarn	fløskuopnari
ølkanna	(gl.)(træ)kanna til at skeinkja øl úr
ølkíkur	1ein ið drekkur (nógv) øl2ølbúkur
ølklubbi	klubbi við tí endamáli at skeinkja fyri limunum
ølkonubúð	(kvæð.)ølstova,eg var mær í ølkonubúð, sum ríkir keypmenn áttu
øll	síallur
øllumegin	á øllum síðum, allar vegir,oyggin er brøtt niður í sjógvin øllumegin
ølluminni	(tlm.)øllumegin,hiðani er langt til bygdar ølluminni(allar vegir hiðani)
ølmunnur	ein munnurel.ein dropi av øli,tú skuldi fingið tær ein ølmunn
ølóður	óður í fyllskapi
ølsjúka	tað at vera ølsjúkur, hundasjúka
ølsjúkur	ringur eftir seg, hundasjúkur
ølstova	drykkjustova, skeinkistova
øltos	(gl.,sj.)ørvitistos
ølv	síalv
ølva	(stb.)álva, huldugenta,í kvøld kunnu ølvurnar dansa á fjøllunum(mánalýsi og klárt veður)
ølvís	(stb.)í osb.til ølvísøllum at hyggja atel.lesa, fyri hvørs mans eygu
ølværur	(stb.)við kenning,vera ølværur
øn	ódn 1(1), ódning
øna1	1sláa eina øn, ódna 1,øna breitt;øna langt;hann stóð og ønaði niður(um e-n ið slær við væl brýndum líggja);(skaldsk.)hondin hin køna væl orkar at øna og stýra sítt stál2fara (líðandi),pínan ønir niðan eftir beininum;hann øndi norðureftir(fór so smátt, fór so við og við);øna niðaneftir(t.d. í velting)byrja í neðra og arbeiða niðaneftir3fara (við skundi), renna,tey fóru ønandi gjøgnum bøin(í flokki);øna umstrúka um, slanka(Sv)
øna2	svara (stutt), ønta,hvørki ønir um tað;hann var firtin og ætlaði at øna afturímóti;hon ønti mær ikki aftur(hirdi ikki at svara, kleyv ikki í tvey);hann ønti ikki sendiboðunum;eingin ønti eitt orð;hann ønti mær ikki eitt orð, hvaðna minni eina tøkk
øna3	vera dølskur,sitael.standa og øna(burtur í øðrum heimi, bína);sbr.ønutur
ønari	raskur slóttumaður,har skalt tú síggja ønara;sbr.snubbulókur
øni	1seyðafylgi, seyðøni,har var øni av seyði(nógvur seyður);hvørt øni grasar á sínum egna øningi;(flutt m.)alt ønið er komið saman her(alt fólkið)2ódn 1(1)
øning	1øn, ódn 1(1)2fora,eg fekk ikki meira enn eina øning í dag
øningur	1ódn 1(1),hann hevði breiðan øning2ódn 1(2),hagin er býttur sundur í øningar frá ovast til niðast
ønnur	(Suð.)síannar
ønskrast	skjálvtael.kulsa (av angist, óhugna), øtast,eg ønskrist viðtað fer mær gjøgnum mønu og merg, meg nøtrar í holdið;sbr.øskra
ønskriligur	ið fær ein at ønskrast, óhugnaligur, ræðuligur, syndarligur,eitt ønskriligt deyðaskríggj frá heimamúsini
ønskurligur	ønskriligur
ønta	øna,ikki ønta (aftur);hann øntir ikki;tað ønti ikki aftur(kendist ikki)(um fisk)
ønur	1ódn 1(1), sveipur (1),hann sló ein breiðan øn2ódn 1(2),Óli kjósti sær ønin fram við Fjallavatni
ønutur	dølskur, burtur í øðrum heimi;sbr.øna 3
øpa	(kvæð.)rópa,út kom fagra risans móðir, tekur so sárt at øpa;sbr.epa
ør	arr 1, err,drongurin hevði eitt stórt ør á kjálkanum;(kvæð.)eg beri her ør í vanga
øra	kennast so tað melur fyri e-m, svimbla,meg ørarel.tað ørar fyri mær;hesi tíðindi vóru so stór og so góð, at tað næstan øraði fyri honum;tað næstan øraði fyri honum av andstygd og ræðslu;meg ørar í høvdið;ørastfáa ørilsi, svimbul;alt ørast fyri henni;tað næstan øraðist fyri honum;ørandisum fær tað at ørast fyri e-m,útheimurin var líka so glæsiligur og ørandi, sum hon hevði fyrigyklað sær hann;so ørandi høgt uppi
Øravík	(stn.)bygd í Suðuroy,í/úr Øravík,til Øravíkar
ørbrattur	ógvuliga bratturel.reystur, steyrrættur
ørbýttur	steinbýttur, kúbýttur
ørdeyði	fullkomin oyðing(Sv)
ørdrepa	drepa fullkomiliga,ørdrepa fugl (í bergi);teir ørdrupu øll sílini
ørdømi	úrdømi,tað er ørdømi(óvanligt)
ørðugur	brattur,gøtan er smøl og ørðug at ganga;ørðugt at hyggja útav;(bát.)hatta borðið er nóg so ørðugt(reyst)
ørðutur	ørðugur
ørfáir	sera fáir (í tali)
ørfátækur	sera fátækur, blóðfátækur, vesalligur, armóðsligur
ørfenaður	k12(stb.)í osb.farin í ørfenað(um jørð)farin í órøkt(við ongum seyði el. neytum)
ørfiskað	fiskað so at oyðið er,tað er ørfiskað;sbr.uppfiskaður
ørfiski	fiskaoyði, steinoyða, fiskaloysi,tað er ørfiski(oyðið við fisk, ikki livandi til)
ørfínur	sera fínur, erfínur
ørfleyga	(bjarg.)fleyga so at einki er eftir;sbr.ørdrepa
ørg	síargur
ørga	turt grýtut og bratt lendi(nógvur eyrur og smágrót),ørgurnar hava lítið gras í ár;(stn.)Ørgan;Ørgudalur
ørgrynna	ørgrynni,ein ørgrynna av fiski;ørgrynna av flúrum, flesjum og drongum
ørgrynni	stórt tal, stór nøgd,tað var ørgrynni av fiski(ógvuliga nógv);tá var ørgrynni av longu at fáa
ørgutur	óslættur og grýtutur,har er so ørgut at ganga(skjørslut, kløtrut)
ørhendis	hj(stb.)draga ørhendistaka niður á snørið í drátti (1)
ørhentur	(stb.)ið tekur vinstru hond upp undir og høgru niður á snørið í drátti (1)
ørilsi	tað at tað ørar (fyri e-m), svimbul,ein feril av ørilsi;ørilsi kom á hann;av tosta og máttloysi var ørilsi komið á teir flestu;ei undur í, at ørilsi kemur á menn, sum her skulu kløtrast í bili upp og niður
ørin	(stb.)við ørilsi,eg eri so ørin
ørindadrongur	drongur ið gongur ørindi (fyri e-n), pílikur
ørindaferð	(gl.)ferð burtur í bygd í ørindum(ofta við báti),ørindaferð í keypstaðin
ørindagenta	genta ið gongur ørindi (fyri e-n), pílika
ørindaleysur	við ongum ørindum,tú kemur ikki ørindaleysur(ikki uttan ørindi av týdningi)(sagt við e-n ið kemur inn);ferðast bygd úr bygd ørindaleysur(um rekavætti)
ørindasmiður	ein ið yrkir av handahógvi
ørindasveinur	ein ið gongur ørindi(t.d. fyri útlendskt vald)
ørindi	1tað at fara at avrika e-t mál (fyri sjálvan seg el. sendur av øðrum),fara eitt ørindi;gera sær ørindi;ganga ørindi;reka ørindifremja ørindi (fyri onnur);hvat ørindi el. hvørji ørindi hevði hann?;hvat hevur tú í ørindumel.hvat eru ørindi tíni?;hann sigur nú fram ørindi sítt og ber upp bønarorð;(orðt.)hundar reka annans ørindi(um undirbrotligt fólk),(kvæð.)burt skal eg ørindi ríða;(kvæð.)mong eru ørindi smá2bólkur av ørindisreglum ið hoyra saman (í kvæði, vísu, songiel.sálmi),siður var, at tann, ið kom uppí í seinasta ørindi av einum kvæði, hevði skyldu at byrja;sbr.vers;sms. t.d.enda-,framíhjá-,ganda-,handils-,hissini-,hunds-,hvala-,kappa-,kvæða-,lestrar-,lækna-,neysynjar-,sálma-,smá-,sneisa-,tarva-,tátta-
ørindisfótur	(bókm.)minsta ljóðfalseind í ørindisreglu
ørindislag	(bókm.)snið og bygnaður á ørindisregluel.yrking
ørindisleysur	ørindaleysur,hann er ikki ørindisleysur, ið úti gongur í dag í hesum ovurveðrinum;tygum munnu ikki vera ørindisleysur
ørindisregla	(bókm.)regla í ørindi (2)
ørindreki	ein ið rekur ørindi (fyri e-n)
ørk1	(bíbl.)skip Nóa, ark 2;sms.sáttmála-
ørk2	síark
ørkelma	(stb.)ørkymla
ørkvisin	(sj.)erkvisin
ørkymbla	ørkymla(Sv)
ørkymla	1órógva,ikki loysir seg at ørkymla fuglin;so vist fór óeydna at leggjast á húsið, um hann ørkymlaði dvørgin;úthurðina hevði hann læst, nú vildi hann ikki verða ørkymlaður av nøkrum;ymisk brot vórðu koyrd burturúr, uttan at søgan varð ørkymlað;ørkymlaðurið veit sær eingi ráð, ráðaleysur, ivandi(við eini kenslu av máttloysi),hetta eygnakastið gjørdi hann púra ørkymlaðan(í ørviti);eg eri so ørkymlaður, at eg einki veit til mín(heilavillur)2erta, arga,heppin var hann at venda sær við einum ørindi, um nakar ørkymlaði hann3elva sviðael.skriða,ikki ørkymla sáriðpilka ikki við;eitt sandkorn kundi koma inn í øðurnar og ørkymla kjøtið
ørkymra	(stb.)ørkymla
ørlamin	púra lamin, erlamin
ørligur	1eitt sindur ørur, ikki rættsiktaður2ringur at fáast við, ólátaður,ørligur við brennivíni;kúgvin er nakað ørlig
ørlítil	evarska lítil
ørlívis	í osb. sumtil ørlívistil ólívis,sláa (skera, stinga) seg til ørlívis
ørlættur	ógvuliga lættur, fonlættur, dúnlættur
ørm	síarmur 2
ørmaktast	maktast burtur, leggjast fyri, lúgvast,hann ørmaktaðist, linkaði og fór at ræðast;vera um at ørmaktast av iva og ótta
ørmegin	máttloysi, magnloysi,ørmegin er á honum
ørminnast	minnast kámt, hóma (2),ørminnast um e-t
ørminni	kámt minni
ørminning	kámt minni, ørminni,hava eina ørminning um e-t
ørmum	síarmur 1
ørmundarhús	h11eí osb. sumeta e-n út á ørmundarhúsel.út av ørmundarhúsigera e-n søran við mat, eta alt sum er,tey hava etið seg út á ørmundarhús(hava søplað ognir sínar burtur);fara á ørmundarhúsgerast fátækur, missa alt,bygdir, ið avoyddar vóru, tí tær vóru farnar á ørmundarhúsið;at selja jørð ella at veðseta hana var tað sama sum at fara á ørmundarhúsið;ein verður stolin á ørmundarhúsið, áðrenn hann veit av
ørmøri	(Sa.)ermøri,ørmøri er í fylginum
ørn	1(fugl.)stórur ránfuglur av heykaættAquila,serst.havørn,tey gomlu plagdu at ræða børnini við tí, at ein ørn kom at taka tey, um tey spældu í kirkjutíð;(tilt.)yngjast sum ørnin(eldast væl)(Sálm.103, 5)2(niðr.)illkvendi, brita, groyggj,Beinta hevur als ikki verið tann ørnin, ið hon hevur verið søgd at vera;sms. t.d.fiska-,fiski-,hav-,land-,konga-
ørnar-	(óregl.)->arnar-
ørnut	sum ein ørn (2), groyggjalig, groyggjut,hon er so ørnut
øroygdur	ið rennir eyguni ymsar vegir(av ræðslu),hundurin stóð púra øroygdur av toruni
ørróð	l kv(stb.)(á báti)árin er ørróð(fer skeiv og hevur lyndi til at leypa upp úr sjónum)(blaðið ov beint upp og niður)
ørræddur	ógvuliga ræddur, forfardur, hjartkiptur
ørrødd	(stb.)ørróð
ørs	(kvæð.)ross,settist á ørsið stinna;eg bjóði fyri hann ørsini sjey
ørska	sansaloysi, vitloysi,tala í ørsku;(skaldsk.)eyguni leita í ørsku;í ørsku segði hann henni tað, ið lá honum á hjarta;sms. t.d.stórmennis-
ørskapur	tað at vera ørur,hann bar ótta fyri, at hin ørskapur, sum var hennara ættarbregði, skuldi goysa út í ljósan loga;hatta er ørskapur(óðamannaverk);sms. t.d.stórlætis-
ørskera	(um torvskurð)skera á botn,tað varð illa umtókt at ørskera(nakað skuldi standa eftir so at mógvurin skuldi vaksa aftur)
ørskjóta	skjóta so nógv at oyðið verður(av t.d. haru),har er ikki ørskotið
ørskrast	ønskrast,ørskrast við
ørskusæla	ørandi sæla
ørskusælur	ørandi sælur[da.ekstatisk]
ørskutala	ørvitistos
ørsmáur	ógvuliga smáur, ersmáur
ørstjala	stjala so at einki er eftir
ørstuttur	ógvuliga stuttur
ørtystur	deyðatystur
ørur	1svakligur (2), ørligur, ríggin,tú manst vera ørur!(ikki rættsiktaður);tá ið tað øra lagið er á honum2óður í høvdinum, svakligur (1), sinnisveikur,ørur í høvdinum;hann hevði feril av at vera ørur í høvdinum upp ímillum;hann var ørur í høvdinum, meðan sjúkan stóð við;presturin, ið leyp í Gimbrarók, varð ørur av hesum lopi og læði altíð og stund síðani;hann vasaði sum eitt ørt3skilaleysur, býttisligur(um t.d. gerð),at finna upp á slíkt er ørt(burtur úr vón og viti)4(sj.)við ørilsi, høvuðlættur,eg gerist ørur av hesum ganginum;hon gjørdist ør av hesum levnaðinum5ikki vatnrættur, skeivur,árin lá so ør;steinurin erel.liggur so ørur(hellir úteftir);sms. t.d.frat-,hálv-,pill-,stein-
ørv	teinur við oddi og veli til at skjóta av boga, pílur 2, ørvur
ørvadriv	(kvæð.)skotríð av ørvum,hann hoyrir ørvadriv
ørvagarpur	(skaldsk.)bogamaður
ørvahúsi	húsi at hava ørvar í
ørval	ørvald,ørval av fugli
ørvald	stór mongd, ørgrynni,ørvald av fiski;ørvald av fugli;ørvald í briminógv brim, avilt í brimi;ørvald í kavanógvur kavi, stórkavi
ørvali	ørvald
ørvarendi	k1(stb.)í osb. sumkomin á ørvarenda1illa staddur2í uppisetri við e-m
ørvaroddur	1oddur á ørv,hvassur ørvaroddur2píkur á stavi, stavpíkur(Sv)
ørvarsterkur	(gl.)óføra sterkur
ørvekraður	ovvekraður(Sv)
ørvillur	frá sær sjálvum, hugsprongdur,hon var yvirtikin av ræðslu, eini ørvillari angist
ørvingur	fólk íel.úr Øravík
ørviti	andligt ólag, ørskapur,nú er rætta ørvitið á bróður;í ørviti av náttarvekri og overving;vera í ørviti1(gingin av vitinum, óður í høvdinum),tú ert í ørviti!(ikki rættsiktaður)(við e-n ið ger e-t skilaleyst)2(um gomul fólk)hava mist samlingina,ganga í ørviti1ganga uppi og mala sovandi2ganga fullur;tosa í ørvititosa (ørvitistos) meðan ein svevur;drekka seg í ørviti;leita seg í ørviti eftir e-m(um e-t ið er ringt at finna);eg verði í ørviti av tær(verði til frens, verði heilavillur);hon gjørdi hann næstan í ørviti
ørvitigur	ørur, ørligur
ørvitisfiskur	1(í grindadrápi)sansaleysur (særdur) hvalur2ørvitisknokkur,tín ørvitisfiskur!
ørvitiskleppur	(stb.)ørvitisknokkur,hatta gongur og melur sum ein ørvitiskleppur
ørvitisknokkur	ein ið er ørvitisligur, ørvitisskøltur, ørvitisskalli
ørvitislag	(stb.)svimbul, ørilsi,tað kom eitt sovorðið ørvitislag á meg
ørvitisligur	sum er eitt sindur í ørviti(minnist skeivt o.tíl.),við lítlum skiliel.høpi,hann er ein ørvitisligur og órøkjutur maður;hj-ligavið lítlum skili, skilaleyst
ørvitisskalli	ørvitisknokkur
ørvitisskapur	tað at vera í ørviti, vitloysi, høpisloysi
ørvitisskøltur	ørvitisknokkur
ørvitistos	ørvitisligt tos, skilaleyst tos
ørvitistvætl	ørvitistos
ørvitisverk	verk gjørt í ørviti
ørvitri	í osb.í ørvitrií ørviti
ørvitugur	ørvitigur
ørvur	ørv
ørvvaksin	l26(plfr.)ørvvaksið blaðblað við bløðku ið er innskorin við grundina í tveir niðurhorvandi blaðflippar
øs	(stb.)øsi,undir øsini;upp undir øsina
øsa1	gera illanel.óðan,øsa (e-n) upp1reita upp2fáa at túsna upp,regnið østi áirnar upp;(skaldsk.)stormurin øsir brimið hátt á lógv;øsa seg uppgerast østurel.óður,hann østi seg upp um tað;øsast upp;hann øsist upp, tí teir argaðu hann so illa;sjógvurin østist upphann øtlaði sjógvin;øsandispennandi
øsa2	s30í osb.øsa eftir leysablóði(í fletting)renna leysablóð
øsablóð	leysablóð,takael.bløða øsablóðrenna leysablóð;gamalt er, at er øsablóðið nógv, er seyðurin ikki tálgarfeitur
øsaklútur	(stb.)bringuklútur
øsband	band at binda undir øsið,loysa øsbandið
øsbein	(óregl.)->óstbein
øshvítur	(seyðal.)við hvítum øsi, ósturhvítur,svartur (gráur, morreyður) øshvítur
øsi	(lívfr.)hálsurin framman (frá høkuni niður á óstbeinið),undir øsi(num):hann hevði einki mein uttan eitt arr undir øsinum;hann streyk sær undir øsi;gronin er neyðarsliga tunn aftur ímóti tí tjúkka undirkjaftinum og síða øsinum(á táknahvali)
øsihvítur	(seyðal.)øshvítur
øsing	tað at øsast, sinnismunur, øði,tað var øsing manna millum;alt var í øsing í bygdini;til øsingin fór at leggja segtil alt sissaðist;politisk øsing;loypa øsing í fólk(øsa upp);hon vakti ikki øsing og girndir í honum;sms. t.d.upp-
