H	rómv. taltekn fyri 200
halasnetur	(sj.,stb.)(á seyði),halasnippur
halasnippur	tað ytsta á hala
halastjørna	(stjfr.)himinkroppur við lýsandi hala(reikar um sólina í víðari avlangari rás)(cometa)
halastuttur	við stuttum hala,(flutt m.)vestfallið á morgni er ofta so halastutt(liggur stutt)
halastykki	partur av neytakroppi(símynd)
halastýrari	(stb.)drumbur, eftirbátur (2)
halasvartur	(seyðal.)við svørtum hala
halatagl	1halafaks2haladoddur át.d.neytiel.seyði,eg fekk drunn við halatagli;ikki síggja aftur í halataglið á e-mikki síggja aftur í halaferðina á e-m
halatógvi	(á týggjum)ullartógvi vavdur um halabandið(so at rossið ikki tekur av undir halanum)
halatóvi	halatógvi
hald	1tað at halda, tak,fáa hald á e-mfáa fatur á e-m;(løgfr.)leggja hald átaka (í varðveitslu)(til úrskurður er gjørdur),(kortsp.)hava hald í einum litikunna steðga mótpartinum í sama liti so at hann verður ikki fríur2álit,hon var haldið í bygdini;hann var haldið í felagnum3tað at halda e-m uppi(t.d. garði, húsum),umsita4tað at halda (3), hátíðarhald,t.d.jólahald5inntøka fyrrv. bónda av festi(vanl. fimtingur av tí ið garðurin gevur av sær),hava hald í garði;sita við haldi;tey áttu fimting í haldi av øllum tí, sum seyðurin gav6tamarhald,hon misti hald á sær sjálvari;fiskaprísinum hava vit einki hald á7haldgóðska, seiggi,tað er gott/einki hald í hasumhatta heldur væl/als ikki;tað er einki hald í skónum(einki slit);tað heldur ikki hálvt hald(um plagg)tað er uppslitið fyri tíð;(um tíðindi, tos)tað er einki hald í hasumtað er ikki eftirfarandi8stingur, pína(leingi í sama stað),hava hald undir síðuni;taka hald á segfáa hald av tungum taki9honk, handfang(á t.d. krússi)10bukt á tvøstlykkju,stararnir pikkaðu so dúgliga av haldinum, at lykkjan datt niður11listi á veggi til knívar, skeiðiro.tíl.;sbr.felli 212kós, leið (á sjónum), stavnhald,stýrt verður eftir haldi inn á víkina;teir høvdu tað haldið;vit eru (beinir) á haldinum13(í seyðarakstri)leið sum hildin verður;skifta haldreka annan veg14lítil rætt í skorel.bergi, tøka (4), keksi (1),reka seyð í hald15strát, plinkur16tað at haldat.d.blaðel.tíðarrit(við at rinda frammanundan fyri t.d. eitt ár),blaðhald[da.abonnement]17í osb.við gott haldí frið og náðum;ganga væl í haldeydnast væl;koma væl/illa í hald hjá e-mganga væl/illa, eydnast væl/illa hjá e-m;sms. t.d.aftur-,agn-,av-,bak-,blað-,borð-,bønar-,drag-,fram-,frá-,føstu-,húsar-,hús-,høsna-,í-,jóla-,kostar-,neyta-,presta-,rossa-,saman-,stavn-,svína-,tamar-,tangar-,tarva-,til-,torv-,upp-,uppi-,varð-,veð-,við-
