S	rómv. taltekn fyri 70
salt	hvítt evni við sterkum smakki(reinsað nýtt til matgerð og matgoymslu, teknNaCl),grovt salt;fínt salt;(tilt.)salt bøtir alt uttan mjøð og malt;svart saltsvartasalt;brenna salt(um skarv og hipling)flagsa við veingjunum, breiða veingirnar út;(spæl)viga salt(um tvey)standa bak móti baki og kneppa armarnar í albogaliðunum og skiftast um at bukka seg framyvir og lyfta hitt upp á bakið;sms. t.d.av-,borð-,matar-,rípu-,sjó-,svarta-
salta	leggja í salt, stroya salt á,salta í flógv;salta í tunnu;salta niður;(flutt m.)alt saltaðist niðurel.alt lá saltað niðuralt fólkið (í einum húsi) gjørdistel.lá sjúkt;(slang)saltaður(ov) dýrur, bótaður (2),handa vøran er saltað;(sjóm.)salta jarnganga fyri einki, letast;sms. t.d.laka-,rund-,turr-
saltarabók	(kvæð.)bók við Dávidssálmum, sálmabók,hon svór tað á saltarabók[mlat.psalterium]
saltbing	bing (2) at goyma salt í
saltfiskur	flaktur og saltaður (men ikki turrur) fiskur (toskur)
saltfuglur	saltaður fuglurserst.lomvigi
saltgrind	saltað grind
salthella	hella at berja sundur grovt salt á(tá ið tørvur var á fínum salti)
salthús	hús til saltfiskaarbeiði
salting	tað at salta
saltílat	1ílat til saltmat,saltíløtini stóðu tóm2lítið ílat til (fínt) salt(at seta á borðið)
saltkar	saltílat (1)
saltkendur	sum salt gongur at,saltkent vatn
saltkjallari	kjallari har ið fiskur verður saltaður
saltkjøt	saltað kjøt
saltkorn	korn av (grovum) salti, salttinna
saltkrubba	(skip.)krubba (4) til at goyma salt í
saltlaki	saltur laki(at goyma mat í)
saltleiki	tað at vera saltur, saltinnihald
saltlundi	saltaður lundi
saltmatur	saltaður matur (fiskur, kjøt, grindo.tíl.),saltmatur og turrur matur til døgurða
Saltnes	(stn.)bygd í Eysturoynni,í/úr Saltnesi,(inn/út) í Saltnes
saltnesmaður	maður íel.úr Saltnesi
saltposaleggur	tjúkkur óskaffiligur leggur (2)
saltseiður	saltaður seiður
saltsild	saltað sild
saltskeið	lítil skeið til saltílat (2)
saltskerpa	(gl.)kjøt ið er lætt saltað áðrenn tað verður upphongt til turkingar(Sv Indb.432);sbr.søltukjøt
saltskerpikjøt	(gl.)saltskerpa
saltspik	saltað spik
saltspreingja	salta lætt, saltstroya
saltstólpi	(bíbl.)stólpi (standmynd) av salti,men kona hans (t.e.Lots) leit seg aftur um bak og varð at saltstólpa
saltstroya	stroya við salti, stroya salt á,havhesturin er frálíkur at saltstroya eina nátt ella so;grindin er saltstroydd
saltsýra	(evnafr.)sterk sýra(loysing av vetniskloridi í vatni, teknHCl)
salttálg	saltað tálg
salttinna	saltkorn,ikki varð heim farið, fyrr enn hvør salttinna var uppbrúkt
salttvøst	saltað tvøst
saltur	við salti í, sum salt gongur at, saltaður,hann græt síni søltu tár;eg havi so mangan saltan og brattan farið(verið í so mongum vanda á sjónum);sms. t.d.brim-,eld-,ram-
saltutur	saltdálkaður,í saltutari húgvu
saltvatn	salt vatn, saltur løgur
salur	stórt rúm, stór stova, høll
salva1	(lækn.)grøðandi smyrsl, sálva 1, grøðisálva;sms. t.d.lúsa-
salva2	(bíbl.)víga (prestel.kong) við at hella salvu á høvdið, sálva,(bíbl.)Harrin salvar teg til at vera kong yvir fólki sínum;(bíbl.)hin salvaði HarransKristus
salving	tað at salva
sama	1hjá sama hátt, somuleiðis,tað hendi seg, at onkur sáta og sama korn var ikki tikið til høldar2sbuttan mun til, hóast,sama hvat hann segði, fór hon kortini
samal	hvør og ein,allir samlir;øll somul húsini
samaleiðis	somuleiðis
saman	í hópi við øðrum, ikki einsamallur;til samansvið øllum, alt íroknað, samantalt;upp í samanuppaftur og uppaftur, uttan íhald;vera saman við (e-m);koma saman við (e-n)hitta javnan;kasta saman,koma saman,leggja saman,renna saman,taka samano.s.fr.(sísagnorð)
samaná	hjí osb.gera samanáenda kirningina(Sv)
samanballaður	síballa
samanbera	bera saman,samanbera e-t við annað
samanbering	samanburður
samanbersla	samanbering
samanbland	samanblanding
samanblanding	tað at blanda saman
samanbrestur	tað at bresta saman, samanstoytur
samanbræðing	(alisfr.)tað at tveir lættir atomkjarnar renna saman í ein tungan og loysa orku[da.fusion]
samanbundin	síbinda saman
samanburðarnavn	(málfr.)staðarnavn íkomið av líkskapi við lut, skapningo.s.fr.(sbr.t.d.at oyggin Hestur er átøk rossi)
samanburður	tað at bera e-t saman við e-t annað, kanna hvussu e-t er líktel.ólíkt øðrum, samanbering, samburður
samanbygdur	síbyggja saman
samandráttur	tað at draga saman, stutt endurgáva, stutt yvirlit, úrtak
samandrigin	1samdrigin,samandrigin luft2(um vaðvøtt)tódnaður(av drátti (1)),samandrigin vøttur var góður at skera upp til vattarbak
samanfløktur	sífløkja saman
samanfokin	sífúka saman
samangift	lh tát h flt5í osb. sumhar eru tey so nógv samangift(mong nær skyld ið eru gift)
samangifta	hjúnaband millum nær skyld, innanættargifting
samangingin	1samantrýstur,kavin var fast samangingin2tódnaður,hitt gamla samangingna kotið;síganga saman
samangivin	(um tvey)vígd (í hjúnalag), gift;sígeva saman
samangreipaður	greipaður saman,samangreipaður fiskur
samangrógvin	sígrógva saman
samanhald	tað at halda saman, samhald,Føringafelag skuldi styrkja samanhald millum føroyingar
samanhang	1samanhangur (1),týðandi fyri tað almenna er m.a at skapa hetta samanhang, sum ikki bara skal vera á einum politiskum øki, t.d. tí vinnupolitiska2samanhangur (2),tað var einki samanhang í fyrilestrinum
samanhangandi	ið hongur saman, óbrotin, samfeldur, høpin,samanhangandi vindurjavnur, tráur vindur
samanhangur	1tað at ymisk viðurskifti eru knýtt hvørt at øðrum, samanhang, samband,flokkurin meinar, at tað er ein samanhangur millum rúsevni og harðskap2greiður hugsanarháttur, greidleiki, høpi,heild og samanhangur og kenslan av meining hevur við okkum sjálv at gera, tá ið vit missa ein, ið stendur okkum nær
samanheingi	samanhang, samheingi
samanhokin	sum av sjúku, møðio.tíl.orkar ikki at standa uppi, samankropin,tey sótu samanhokin, sorgarbundin og tigandi
samanjavnaður	l6í osb.alt samanjavnaðtá ið samanum kemur, samanumtikið
samankasting	tað at kasta saman (t.d.ganga saman í felagsskap),hagin liggur undir samankasting
samanknoðaður	síknoða
samankomin	síkoma saman
samankoming	1mót(millum tveir partar),skoyti,jarnpláturnar eru loddaðar í samankomingunum;samankomingin millum basalt og legugrýti2tað at koma samanel.hittast, samkoma (1),gildi og samankomingar;stór samankoming av fólki3(sj.)gifting
samankronglaður	síkrongla saman
samankropin	samanhokin,gentan lá samankropin á fótalagnum
samankroystur	síkroysta saman
samanlagdur	sum er lagdur saman, samantaldur,við samanløgdum hondum;mangt eygað var samanlagt frá tí degi(mangur deyður);tá ið alt var samanlagt(samanumtikið);síleggja saman
samanlatin	lh tát26í osb. sumvið samanlatnum hondum(samanløgdum)
samanlegging	1tað at leggja samanel.ganga saman í felagsskap,samanlegging og sundurbýti av jørð2(støddfr.)tað at leggja saman tøl, samanteljing
samanlíkning	tað at líkna (e-t) saman (við e-t annað), samanburður
samanlop	(bíbl.)mannatrongd,har varð samanlop av fólki
samanlæstur	sílæsa saman
samanløga	samløga (2)(Sv)
samanpentaður	sípenta saman
samanrenning	1tað at renna saman, sameining,samanrenning millum báðar flokkarnar2innrið,heilivágur til lomb fyri samanrenning
samanrikin	1(um flokko.tíl.)saman savnaður,samanrikið fólk2tættbygdur, tættur (3), samanstungin (1),hann man vera nakað sterkur, hann er so samanrikin
samanringaður	samanringdur
samanringdur	1lagdur í ringar, niðurringdur, kveylaður2samankropin,hann lá samanringdur sum eitt knýti;síringja seg saman
samanringing	(kirkj.)tað at ringja saman
samanrullaður	sírulla saman
samanrunnin	runnin saman í eitt, tódnaður,ullin er samanrunnin í ein harðan og tjúkkan tógva;sírenna saman
samanseting	1tað at seta saman, tað at vera samansettur, e-t samansett2(málfr.)samansett orð
samansetingartráður	togtráður spunnin á handsnældu(t.d. at seyma klæði saman við)
samansettur	1sum er settur saman(av fleiri pørtum),móts.ósamansettur;(málfr.)samansett orðorð sett saman av fleiri,"húsaleiga" er samansett orð av "hús" og "leiga";samansett tíðsagnliður við høvuðs- og hjálparsagnorði2torgreiddur, fløkjaligur3(um fólk)samanstúvaður, tætt(bygd)ur,lítil, men samansettur maður
samansigin	samansokkin,samansignar veitir;sísíga saman
samansjóðaður	sísjóða 2(4)
samansjóðing	tað at sjóða fólk saman
samanskot	samankasting
samanskotin	(um eplaveltu)við slokkum sum bera saman(so at ikki sæst niður millum teirra),veltan er samanskotin;nú er samanskotið;eplini eru samanskotin
samanskotsgildi	gildi sum hvør einstakur letur sín part av útreiðslunum tilel.hevur við sær mat og drekka til
samanskrift	heil orð, samanhangandi skrift,barnið er so stórt, at tað er farið at skriva samanskrift
samanskryktur	sískrykkja saman
samansokkin	1(t.d. um grøvel.veit)niðurfallin, niðursmokkaður,grøvin er samansokkin2(um gamalt fólk)bogin, samanhokin,hann sat samansokkin í stólinum
samanspardur	síspara saman
samansparing	tað at spara pening saman, samanspardur peningur
samanspæl	1tað at spæla saman, samspæl, samleikur,samanspæl millum leikarar2(flutt m.)tað at fleiri viðurskifti virka saman,samanspæl millum náttúru og sál
samanstoytur	(um (ak)før)tað at stoytael.renna saman, samanbrestur
samanstungin	1(um fólk)tættur (3), tættvaksin, samanrikin2samankropin, krýkin, bogin,hann gongur so samanstungin
samanstúgvaður	samanstúvaður,sístúgva saman
samanstúvaður	1ógvuliga tætt saman,fólkini stóðu samanstúvað á bryggjuni2(um fólk)tættur (3), samanstungin (1), samanrikin (2)
samansvollin	(t.d. um grøvel.veit)samansokkin, niðurfallin, útyvirgrógvin,bøurin liggur samansvollin
samansvorin	við í samansvørjing
samansvørjing	(loyniligt) samtak um at fremja (ill)gerð(álop, kollvelting o.tíl.)
samantaldur	sítelja saman
samanteljing	(støddfr.)tað at telja saman, samanlegging (2)
samantikin	samanumtikin,samantikið vóru hetta stuttligir og hugnaligir dagar
samantrunkaður	sítrunka saman
samantyrptur	sítyrpa saman
samantøkutrýst	(lækn.)blóðtrýst á lívæðraveggirnar tá ið hjartað tekur seg saman[da.systolisk blodtryk];sbr.útgevingartrýst
samantøvdur	nógv tøvdur,bundið plagg, sum var væl samantøvt og lívdi tí væl
samanum	hjí osb.tá ið samanum kemuralt samanlagt, samanumtikið;taka samanumgera samandráttel.niðurstøðu
samanumtikin	lh tát26:samanumtikiðí fáum orðum sagt, sum niðurstøðu,samanumtikið kunnu vit siga, at ...
samanvaksin	sívaksa saman
samanvarðaður	sívarða saman
samanvavdur	sívevja saman
samanvavstur	tað at vevja saman, e-t samanvavt
samanvinding	tað at vinda saman
samarbeiða	arbeiða saman við e-mel.í felag við e-n, samstarva
samarbeiði	tað at samarbeiða, samstarv, samvinna
samarvingi	(løgfr.)ein sum arvar saman við øðrum
samastaðni	á sama stað
samábyrgd	(løgfr.)ábyrgd sum ein hevur saman við øðrum, felags ábyrgd
samábyrgur	(løgfr.)við samábyrgd
samáriubúgvi	(bíbl.)maður íel.úr Samáriu,hin miskunnsami samáriubúgvin
samband	1tað at vera bundin samanel.sameind, samskifti,vera í sambandi við e-n;sambandið millum fólkini var gott;fáa samband við e-n um telefon;sambandið vestur í Vágar(ferðasambandið)2e-t ið er partur av størri heild, høpi, samanhang,orð bendast ymiskt eftir tí, í hvørjum sambandi tey standa;skipa fyri veitslu í sambandi við 100 ára dagin;í hesum sambandi kann verða nevnt, at ...3(stjm.)sambandsflokkur, sambandspolitikkur,velja sambandið,móts.loysing4felagsskapur, samskipan,Ítróttasamband Føroya (ÍSF);sms. t.d.ástar-,bræva-,ríkja-,telefon-
sambandsflokkur	(stjm.)flokkur ið vil hava stjórnarsamband við annað (størri) land,Sambandsflokkurinflokkur ið vil varðveita Føroyar sum part í danska ríkinum
sambandsmaður	maður ið tekur undir við stevnuskrá Sambandsfloksins
sambandsríki	(stjm.)ríki samansett av fleiri ríkjum(sum hvørt hevur ávíst sjálvræði í innanlandsmálum);sbr.samveldi
sambera	bera saman,sambera e-t við e-t annað
sambiðil	ein ið roynir eftir sama konufólki sum ein annar, biðil ið kappast við annan um konufólk
sambinda	binda saman, seta saman, sameina
sambinding	1tað at sambinda, e-t ið er samanbundið2(evnafr.)samband av evnum (5),tá ið tvey ella fleiri frumevni ganga saman og nýtt evni verður til, fáa vit eina evnafrøðiliga sambinding
sambindingareykasetningur	(málfr.)eykasetningur ið byrjar við sambindingarorði,t.d. eru orsakar- og treytareykasetningar sambindingareykasetningar
sambindingarliður	liður (3) ið bindur saman einstakar partar í heild
sambindingarorð	(málfr.)smáorð ið bindur saman setningarel.setningslutir,"og", "men", "sum",o.s.fr.eru sambindingarorð
sambit	tað at fylgi úr tveimum hagapørtum liggja saman,tað hevur sambit;nú stika allir, nú er einki sambit
samblaðaður	(plfr.)við (lutvíst) samanvaksnum bløðum,samblaðað krúna
samborgari	borgari í sama landiel.býi sum onnur
samborin	við somu foreldrum,samborin systkin
sambreiða	(um taðing)breiða javnt samanhangandi,um heystið, tá ið tari kom, sambreiddu teir so tjúkt út yvir veltuna
sambrot	tað at óløgi bróta saman,sambrotini av Skansaboðunum og Norðmansskerinum
sambróðir	bróðir ið hevur bæði foreldur saman við hinum systkjum sínum,sambróðir mín;teir eru sambrøður;sbr.hálvbróðir
sambrýntur	við samanvaksnum eygnabrúm
sambræðing	samanbræðing
sambundin	samanbundin,sambundnir geislar
samburðarmálfrøði	(málfr.)málfrøðigrein sum við samanburði roynir at greina ávís fyribrigdiel.uppruna
samburður	samanburður
sambúgv	1tað at búgva saman,hava sambúgv við konu2(løgfr.)felags búgv(millum tveir partar),gera upp sambúgvið
sambúgvi	1ein ið býr saman við øðrum2annað av tveimum ið búgva saman í óvígdum parlagi,sambúgvi mín
sambygdarmaður	maður úr somu bygd (sum annar), bygdarmaður (2)
sambygt	bygt samanhangandi, bygt áfast,nú er sambygt úr Húsi oman á Bakka
sambýli	býli har ið fleiri búgva saman
sambýlisplanta	(plfr.)einbýlisplanta,móts.tvíbýlisplanta
sambæri	samsvar, samlag, samljóð,sambæri millum menniskju og umheimin
sambæriligur	1í sambæriel.í samsvari við,sjónleikurin er ikki sambæriligur við bókina2rímiligur, sannlíkur, trúligur,umstøðurnar gera tað sambæriligt, at ...;hj-liga
sambærligur	sambæriligur;hj-liga
sambært	í sambæri við, svarandi til(styttsbrt.),sambært viðtøkunum
samdi	sísemja
samdómsmaður	(løgfr.,gl.)leikmaður ið dømir saman við lærdum dómara
samdráttur	1samandráttur2vinskapur millum tvey,tað hevði leingi verið samdráttur millum tey bæði3í samdrátti(um arbeiði)í felagsskapi, í sátt og semju
samdrigin	(um himmalin)javnt skýggjutur, skýtungur, tjúkkur, bundin,samdrigin luft,sídraga saman
samdur	sum hevur somu meining, á einum máli, samsintur,vera samdur við e-n (um e-t);vit eru samdir
samdøgur	tíðarbil upp á ein dag og eina nátt, 24 tímar, sólarringur (1), døgn
samdøgurshandil	handil ið er opin alt samdøgrið
samdøgurslag	(tónl.)lætt (4) lag (9) sum er frammi eina tíð
samdøgursstovnur	almennur stovnur har ið børn og ung kunnu búgva í styttriel.longri tíð(t.d.vegna trupulleikar heima),barnaheimið er tann einasti samdøgursstovnurin, sum kann taka børn og ung inn bráðfeingis
samdømi	e-t sambæriligt, samsvarandi dømi,hann lýsti málið við dømum og samdømum[da.parallel]
sameigari	ein ið eigur part uppi í samogn
sameina	leggja saman (til eina heild), binda saman,Sameindu tjóðir (ST);sameinastgerast sáttir, semjast,hjúnini sameintust illa
sameindir	sísameina
sameining	1tað at sameina(st)el.renna saman,sameining millum fíggindar2felagsskapur,sameining um uppdyrkingarmál
samevni	felags evni (3), evni ið fleiri hava í felag,tað var hon, sum var samevni í huga teirra
samfall	tað at falla saman
samfalsljóð	(skaldsk.)samljóð, samlag (2)
samfalsregn	(stb.)samregn
samfangi	ein ið situr fangi saman við øðrum fangael.øðrum fangum,hann flýddi saman við einum samfanga
samfastur	sum hongur samanel.ikki slitnar sundur, áfastur (1),samfast regnsamregn;ísurin lá samfastur um landið
samfelag	1stórurel.lítil bólkur av fólki sum livir saman samstundis, á sama staðiel.í ríki(við felags stovnum, lógum, siðum, siðvenju o.tíl.)2felagsskapur, savnaður, kirkjulið,samfelag teirra heilagu;trúarsamfelag;sms. t.d.bónda-,manna-,mál-,smá-,vælferðar-
samfelagsbúskapur	(búsk.)tjóðarbúskapur
