M	rómv. taltekn fyri 1000
maður	1vaksið fólk av kallkyni, mannfólk, kallur (1), kallmaður (1),móts.kona,kvinna,ungur maður;gamal maður;rættur maðurfrágerðarmaður;flykrurnar eru sum menn(stórar);tríggir mans;lítli maðursøti mín(sagt við barn);lítið (einki) til manna(r)skroypiligur, ússaligur, veikur;koma til mansmennast;tað er til mans at leita at koma til míntað mátti verið frægari maður at biðið(sagt í sjálvspeii),ikki maður fyri (e-m)ikki førur fyri (e-m),maður var hann fyri báðumhann vann báðar;Mikkjal var annar maðurin(raskari);eg verði valla maður aftur(ikki fullførur);vera minni maður(in)vera við undirlutan;hann er maður fyri seg(letur sær ikki lynda);onkuntíð verður tú maður(sagt við smádrong ið hevur gjørt e-t roysni);hann gongur fyri mann í Arnfinsstovu(á fjall);(speis.)tú ert tann maðurin, ið er!(ein ónytta, ódugnakroppur)2giftur maður, ektamaður, maki 1,móts.drongur,maður mín;vera maður og konavera hjún3menniskja, fólk,mann á manniein og ein, ein fyri og annar eftir;fyrstur av (á) mannifyrstur av øllum;síðstur av (á) mannisíðstur av øllum;mann undan manniætt eftir ætt;vit eru ikki langt frá monnum(eru skyld, í ætt);tað fór maður av húsi at leita(fjølmentir);(orðt.)eingin kennirel.sær mannin longri enn at tonnunumeingin veit hvat í huganum býr;(orðt.)maður kemur í mans staðtá ið ein fellur frá tekur annar við;í manna (mans) minnitað nakar minnist;millum mannamillum fólk;tað er manna søgntað sigst;(orðt.)maður er mans gamantað er fragd at vera saman við øðrum;vit fingu eina vørðu til mans(eina vørðu hvør);sum ein maður(samdir);hann er okkara maður(í parti við okkum)1(nýtt í fleirtali)tað veit menntað vita øll, tað er so vist og satt;er hon ikki inni? jú menn, var hon beint nú her2(nýtt sum fornavn)ein (3), onkur,sum maðurin segðisum sagt varð;tað verður, sum maður metirtað kann metast um4(á skipi)vanligur sjómaður, deksmaður, skipsmaður, matrósur,móts.yvirmaður,hann fór sum maður við skipinum51ættarlið,hon er 11. maður frá Heina havreka2(um skyldskap)ikki vera langt frá monnumikki bregða úr ætt, vera nærskyldur;tjúgundi maður úrel.í ættfjarskyldur6(talv)fólk (6), talvfólk (uttan finnur),taka mann av (el.úr) borðidrepa við riddaranum alt talvfólkið ið savnað er í øðrum endanum á talvborðinum7(barnaspæl)lakka mannlakka paradís81(sum seinni liður í sms. til at eyðkenna mann við starv sítt)t.d.fiski-,fjall-,keyp-,land-,seyða-,umgongu-2(til at eyðkenna eginleika, lyndiseyðkenni, evni, gávur, o.s.fr.)t.d.avreks-,brots-,dygdar-,eydnu-,heiðurs-,hegnis-,kvøld-,merkis-3(til at eyðkenna upprunael.heimstað)t.d.eystan-,havnar-,norð-;sms. t.d.biðla-,brúð-,dóttur-,einkju-,festar-,hjá-,konu-,skyld-,ættar-
mafia	1loyniligur brotsmannafelagsskapur(serst. í Italia)2(flutt m.)bólkur ið røkir egin áhugamál(uttan fyrilit fyri teimum ið uttanfyri standa)
magabeita	beita 1(1)(av fiski),agnið var aloftast bara magabeita
magabløðing	(lækn.)bløðing í maganum
magabruni	(lækn.)bruni í maganum
magadraga	draga maga og innvøl úr(t.d.havhestaunga og sild),tá ið vit magadraga havhest, kippa vit fuglin og hála varliga í høvdið, til garnar og innvølur losna, og til seinast slitnar høvdið omanav, og innvølurin hongur tá uppi í høvdinum;tá ið sild verður magadrigin, verður skorið á skák niður á nakkan, og togað verður spakuliga í høvdið, so tað skrædnar frá kroppinum, garnarnar og magin fylgja tá við høvdinum
magafetting	(spæl,gl.)tað at lata seg detta á búkin niður á gólv uttan at meiða seg,magafetting var, at dreingirnir løgdu seg á knøini, so var roysnið at kasta seg á búkin, uttan at høkan tók(Sv)
magaflot	(lívfr.)súr kveikarík meltingarvæta,í magavegginum er ørgrynni av smáum kertlum, sum gera magaflotið
magagulur	(seyðal.)gulmøgutur
magahvítur	(seyðal.)hvítur um búkin(upp undir øsið),búkhvítur
magailska	búkilska
magakrymp	ógvislig magailska, snerringar, tjørugangur,hann fekk magakrymp og mátti verða borin til songar
magalykt	(Gj.)trælykt við longumaga til rútar(magarnir skáldaðir og skavaðir tunnir í flógvum vatni)
magamál	sbr.matmið
magamunni	(lívfr.)opið millum vælindi og maga
magaportur	(lívfr.)opið millum maga og buggørn
magasár	(lækn.)sár í magavegginumel.ovast í buggørnini
magasjúka	(lækn.)búksjúka
magasnertir	magakrymp, snerringar
magasýra	(lívfr.)sýra í magaflotinum
maggutur	(um fólk og plagg)ið ikki fylgir mótanum, ótíðarhóskandi, giggutur, gimmutur,hon er altíð so maggut;ein maggutur kjóli
magi	1posavaksið yrkisgagn í búkholuni(har ið maturin verður eltur saman við magaflotinum),hava ringan magahava búkilsku;(orðt.)alt sodnar í sveins maga;(orðt.)frótt er høvur áel.av fullum magatá ið ein er mettur gongur prátið væl;draga magan upp í kjaftinel.hálsindraga fisk so skjótt at magin vendist við;(flutt m.)magin er uppi í kjafti(um e-n ið er útlúgvaður)2búkur (2),stórur magi;hava ein undir magahava vunnið á e-m(Sv);sms. t.d.fjaðra-,kalva-,kjaft-,kópa-,kveika-,livur-,longu-,sund-,súlu-
magn	1styrki, megi, máttur, kraft, alvi,av magniav øllum alvi2hædd (2), hæddarstig, hámark,sbr.vetrarmagn;sms. t.d.fossa-,gróðrar-,handa-,rav-,sólar-
magna	1styrkja, menna, stimbra,magnið tey knø, sum riða;(skaldsk.)hátíðin magni í megi2vera mentur, orka, megna,tú ert so sterk, tú magnar so nógv;eldurin magnar einki av hesum torvinum;sólin magnar einki3elva, valda, íbirta,slíkt man ófrið magna;magnandimáttmikil, sterkur, megnarligur, íðin,í sínum magnandi veldi
magnari	(ravm.)styrkjari (2)
magnesium	(evnafr.)silvurhvítt lættmetal ið brennur við bjørtum ljósi(frumevni, teknMg)
magnet	(alisfr.)metallutur ið kann draga jarn at sær(og annað metal),sigulmagnaður lutur, sigul, magnetur
magnetiskur	(alisfr.)viðv. magnetum og magnetismu, sigulmagnaður,tann magnetiski norðpólurin,sínorðpólur
magnetisma	(alisfr.)eginleiki hjá (jarn)luti til at draga aðrar (jarn)lutir at sær, sigulmagn
magnetnál	(alisfr.)magnetisk nál, sigulnál;sbr.kumpasnál
magnetur	(alisfr.)magnet,(skaldsk.)tú dregur meg sum ein magnetur
magnfullur	máttmikil, ramligur, óførur, magnmikil,magnfull tala;magnfult ljóð
magnkelda	(alisfr.)orkukelda, máttarlind, orkulind
magnleysur	við ongari megi, máttleysur, máttlítil, óhjálpin,hendur okkara eru magnleysar
magnloysi	tað at vera magnleysur, máttloysi, ørmegin
magnmikil	við miklari megi, máttmikil, magnandi, ómetaligur,magnmikil songur;magnmikil stremban
magnstjala	1taka máttin, veikja, mergsúgva,vónloysi nívir og magnstjelur føroyskan ungdóm2gera ovfarnan, bergtaka (2), hugtaka,hon hevði magnstolið hansara hjarta
magnyl	(lækn.)heilivágur fyri pínu
magnøki	(alisfr.)øki har ið kraft (2) virkar
magur	(Sa.,sj.)rak, soltin, mjáur,hann er so magur í andliti
mai	5. mánaður í árinum, maimánaður
maiifís	í osb. sumlokka e-n maiifíssenda ørindi til einkis, lokka e-n 1. mai;sbr.summarsnarr,apríl
maikúgv	(stb.)kúgv ið kálvar í maimánaði
maimánaðarsmør	summarsmør(RKR Heimaráð97)
maimánaður	mai
mairót	(plfr.)hvítarót
mais	(plfr.)slag av stórvaksnum korni(Zea mays)
maisardrýlur	drýlur av maisarmjøli
maisarkorn	korn av mais
maisarmjøl	mjøl av mais, maismjøl
maisflykra	kv1:maisflykrurflykrur av snerktum maisi;súpa maisflykrur við mjólk og sukri[da.cornflake]
maismjøl	maisarmjøl
majorur	(herm.)høgur yvirmaður í heri
mak	ró 1, friður, hvíld,(kvæð.)í so fullgott mak;geitin gekk í mak og gnagaði uttan fyri garðin;sbr.makur,møkum
maka1	1(um vind)blíðka (1), lina 1(1), linka (3), linna 2(1),nú er makað(minni vindur);hann makar (vindin)(minkar, linkar)2maka sær ásinna seg, summa seg, umráða seg,eg rann undan honum og hugdi, hvussu eg skuldi maka mær á
maka2	gera, inna, fremja,mangar hendur maka lætt verk(gongur lættari tá ið mong eru við);maka ferð á segtaka dik á seg
makabrá	(stb.,sj.)í osb.tað er ikki makabrá til taðtað líknar ikki til
makaður	sum hevur maka (4), paraður,skógvarnir eru ikki makaðir(ómakaðir);(støddfr.)makað talóstakt tal,sbr.stakur
makafinnutur	sbr.stakfinnutur
makaleysa	óføra, sera, avbæra,makaleysa gestablíður
makaleysur	1góður at heita á, góður í ávikum, beinasamur, ávíkiligur,hann hevur verið so makaleysur og tikið hondina í2uttan líka, einskilaður,(kvæð.)høvur sat á hansara kroppi, tað var so makaleyst
makaloysi	dugnaður, hjálp, stuðul, beini,takka honum fyri hansara makaloysi
-makari	síklokku-,potta-,segl-,skó-
makaronni	mjølmatur sum smá rør av hveitideiggi
makaskifta	(um jørð)skifta um, óðalsbýta
makaskifti	tað at makaskifta, umskifti (av jørð), óðalsbýti
makaskjal	orðarætt avrit av skjali, tvítak, endurrit
makast	(um fuglar og dýr)hava kynsamband, para seg;sbr. t.d.áleggja (2),látrast,nurra,takast,troðast
maki1	1líkamaður, líki, javnlíki, javningi,hon er mans maki(sterk sum maður)2annað hjúnið,(kvæð.)harvið bygdist heimurin, at kvendi fekk sín maka3(um dýr)annað av dýra-el.fuglapari,ontin hevði mist sín maka4annar av makaðum lutum5(Suð.)rætti makin varrættast hevði verið;rætti makin var at sorlað hanntað rætta at gjørt við hann var ...;sms. t.d.mans-,ó-,revs-,ær-
maki2	(Suð.)1(um veður)skái (1), íhald (2), linni (1),vindurin var so nógvur útiá, so vit fóru inn á makan at leggja okkum2(um sjógv)rákfríttel.sjóslætt øki,teir lótu deysa inn á makan(inn av streyminum);teir leggja seg inn á makan at bíða;maki er millum streingirnar
making	tað at makast
makingarførur	(dj.)(um kalldýr)førur fyri at makast,sbr.graður (1)
makingarhol	(á fiski og hvali)got (2), gothol
makingartíð	tíð tá ið dýr makast
makkari	(kortsp.)ein ið er í parti við e-m, partamaður (2);sbr.skák 1
makliga	við eirindum, hóvliga, var(is)liga,hon kom makliga svimjandi móti skipinum
makligur	(um veður)heldur makur, hóvligur (2),makligt veðurmøkuveður;nú er makligt(hóvligt)
makrelur	(fisk.)feitur fiskur(vanl. nýttur til agns)(Scomber scombrus);sbr.rossa-
makróna	lítil køka av mandlu-el.kokusdeiggi
maks	tað at maksa, krutl, klór
maksa	skriva óvandaliga, klóra 2(5), krutla (1), rísla
maksamur	(um veður og vind)heldur makur, makligur, hóvligur,maksamur vindur;maksamt er
makt	1styrki, máttur, megi, kropsstyrki, alv,av makttað ein er mentur;av dýrastu maktav øllum alvi;maktin liggur á (tí)tað liggur sektinel.vertin á2vald, veldi, ræði;sms. t.d.handa-,lívs-
makta	1hava styrki, krafta, orka,jarnbrotini vildu ikki makta meira2meta høgt, hámeta, gíggja 2(1), rósa,makta e-nel.e-t3taka máttin frá, magnstjala,maktastleggjast fyri, lúgvast, mógvast, pøsast, ørmaktast;hóast hann var frammi hvønn dag, sást, at hann maktaðist burtur;eldurin maktaðist burtur(fánaði);maktaðurfyrilagstur, útlúgvaður, avmaktaður, givin, ørmaktaður, útmaktaður
maktarleysur	máttleysur
maktarlítil	veikur, máttlítil
maktarloysi	bráðkomið máttloysi(av overvan,t.d.harðari gongu),fáa maktarloysi(RKR Heimaráð77);sbr.smørsina,máttloysi
maktarloysisbiti	(Nóls.)smørsina
maktarmaður	sterkur maður,kundi hann bróta sperruna, var hann maktarmaður
maktgirnd	hugur at ráða, høvuðkambalótir, ráðaríki
maktgreði	(óvand.)valdgirnd, maktgirnd
maktgreðingur	ein ið vil ráða, ein ið tráðar eftir valdi
makur1	sbr.maki 1 (5)
makur2	hóvligur, stillur, róligur, makligur, maksamur,ein møk á;nú er hann so makur í vindinum(lítil vindur);makur eldur(lítil),móts.bráður (5);sbr.møku,møkum
mal	h3e:eitt maleitt ið gongur og melur
mala1	1mola smátt sundur, mylgra, mylja(á t.d kvørn),mala korn,sbr.skryðja;mala kaffi;(orðt.)tveir harðir steinar mala ikki væl,síharður;(flutt m.)mala grovtikki vanda sær um orðini;(stb.)hann melur niður, tað melur úr honumtað kavar, tað mylur úr honum;endarnir á rekatrænum eru malnir(nutaðir)2(fáa at) snara, snúgva,mala e-nel.e-t í klingur3snara, snúgvast,rokkahjólið melur á ásinum;hann mól í klingursnaraði sær runt;(bjarga)línan vildi mala;(um ætt)hann mól og mólvindurin leyp ætt úr ætt;mala aftur á blóðið,síblóð (1.1);mala ásnara sær á,skipið mól á;hann fór at mala á í ættini;(flutt m.)mala í høvdinum á e-mel.í e-m(um hugsanir)koma í heilum fram fyri e-n;tað melur fyriel.undir mærtað ørar fyri mær;mala runt(umt.d.fyritøku)standa upp og niður fíggjarliga,hallarleigan kom í sínari tíð fyri at høllin kundi mala runt fíggjarliga4strúka, sveima, flakka, vála,ganga og malaganga og dreiva;mala seg burtur av leiðvillast av leið5tala nógv, sussa, meyla,hann hevur gingið og malið um tað(tosað uttan íhald, meylað)
mala2	(sj.)leggja grót á,mal posarnar so væl, at teir ikki fara eftir ánni;hann maldi ullina undir við grót
maladíggilsi	(stb.,gl.)banning, forbannilsi,hann fór av húsum við ve og maladíggilsi
maladíggj	(stb.,gl.)maladíggj í kroppin(eiður, illbøn)
malaisiskur	íel.úr Malaisia
malarbrúgv	(stb.)høg møl,kópahvølpurin slapp ikki oman um malarbrúnna;sbr.tarabrúgv
malargrót	árunt brimbrýnt grót íel.úr møl,Harrans malargrót (og flag)(linur eiður)
malargrótssteinur	(sj.)malarsteinur
malaria	(lækn.)ring hitabeltissjúka (við nógvum fepri), kaldsótt
malarsteinur	árundur brimbrýndur steinur íel.úr møl,malarsteinurin er heilt rundmýltur
maldra	meyla, jabba, júka, mala (5),maldra um e-t(møsna)(Sv)
malin	símala
malingur	k6e:malingur er í veðrinumhann melur og melur, vindurin loypur ætt úr ætt,sbr.ættarligur
malisjønskur	(sj.)malsjønskur
malisjøskur	(sj.)malsjøskur
malja	(á føroyskum konufólkaklæðum)lítil ringur(sumt.d.stimi verður tikin útí),lykkja 1(2), malla
maljuformur	formur(úr viði ella steini)at stoypa maljur í
malkusoyra	1(stb.,sj.)lítil lepi ovast á livrini(lobus accessorius)2(stb.,sj.)ólisoyra
malla	malja
malsjønskur	malsjøskur
malsjøskur	1óbeinasamur, óvilligur, meinskur, tvørur2óreinur (2), meinfýsin
malt	turkað spírað bygg(til ølgerðar)
maltadrýlur	(gl.)drýlur úr malta
malti	(gl.)mjøl av malti,arbeiðskonan knoðaði malta
maltukrossur	krossur við javnlongum ørmum breiðkandi úteftir
maltøl	1h3eøl bryggjað úr malti2kv2fløska við maltøli (1)
malurt	(plfr.)slag av nýtsluplantu(Artemisia absinthium)(rýkur stakið og hevur beiskan smakk)
malustreymur	meldurstreymur(Sv)
malørur	(tlm.)gangur (1), rok (4), rumbul,gera malørleika í
mamma	1móðir (1),mamma mín;mamma hansara2eplamamma;sms. t.d.barna-,brúdleyps-,epla-,fostur-,ljós-,stjúk-,tíkar-,unga-
mammasta	(barn.)á Gud!,áh, mammasta!;mammasta eg var bangin
mammba	(barn.)mammubeiggi
mammon	persóngerð av ríkidømi, gudur peningsins,(bíbl.)tit kunnu ikki tæna Gudi og mammon
mammonstrælur	ein sum er ringur eftir verðini
mammubeiggi	móðurbróðir
mammubeiggjakona	kona mammubeiggja e-s
mammubólkur	bólkur av mammum sum hava átt børn nøkulunda samstundis og sum koma saman at tosa um børnini,ganga í mammubólk
mammudrongur	drongur ið (altíð) hongur uppi í mammu síni, mammunuggur, mammureyv
mammulig	sum sermerkir eina mammu(serst.alskin, hjartagóð, umhyggino.tíl.)
mammulókur	(stb.)mammunuggur
mammumussur	mussur á kjálkan
mammunuggur	eitt sum er gott við mammu sína og altíð vil vera hjá henni, mammudrongur, mammureyv
mammureyv	(skemt.)barn ið altíð hongur uppi í mammu síni
mammusystir	systir mammu, mostir
mammutur	(dj.)útdeytt stórvaksið fílaslag, loðfílur(Elephas primigenius)
man1	símunna
man2	mann
mana	1skora á, eggja, studla, reka, mána,mana brúðarpar í song;mana fram eina sjón(fáa fram);buktin á eini línu var løgd fram um stevnið og manað undir kjølin2fremja við gandi, mána,(kvæð.)manaði hann teir tríggjar upp, tann gandakallur sterki;prestur manaði hann í jørðina;mana niður;mana upp;teir, ið fingust við at mana og ganda, vóru riknir av landinum
manari	(bíbl.)ein ið manart.d.andar framel.rekur út andar
manda	s30(stb.)manda særleggja inn undir seg,allan fiskin manda keypmenninir sær, ið turkast skal til klippfisk
mandarin	(plfr.)frukt av trænumCitrus nobilis
mandarinur	(søg.)høgur kinverskur embætismaður
mandát	(gl.,Gásad.,Myk.)nátturði fyri langafríggjadag(hvør fekk sín lítla drýl sum hann át liggjandi fram á ein leysan stein)
mandigur	(stb.,tlm.)mansligur, menniligur,hann hevði altíð verið heldur mandigur maður
mandla	1(plfr.)frukt av trænumPrunus amygdanus2nøtlíkur kjarni í fruktini av mandlu (1)3(lívfr.)svølgmandla
mandlugáva	(lítil) gáva til tann ið fær mandlu í jólagreyti
mandlugrýti	(jarðfr.)steinsløg(t.d.kvarts, kálkspattel.soðsteinar)úrskild í poknur
mandlusteinur	(jarðfr.)steinur av mandlugrýti
mandlutræ	(bíbl.)træ ið ber mandlur(Prunus amygdalus)
mandluviður	(bíbl.)mandlutræ
mandolin	(tónl.)serstakt lítið streingjaljóðføri
manella	(kortsp.)níggjuni(næsthægsti trumfur í grevjassi),manellan telur 14 eygu
manerer	(tlm.)tað at manererael.fanglast (við e-t),tað er eitt øgiligt manerer av honum
manerera	1stýra rørslum hját.d.skipi við at nýta stýriamboðini,teir royna at manerera og venda skútuni2(tlm.)fáast við e-t (smá)arbeiði, putlast, fjasast,hann manererar altíð við okkurt;gjaldskortini gera tað nógv lættari, tí tá sleppur man frá at veksla og manerera við smápengum;hvat manererast tú við?hvat tekst tú við?;tveir dreingir doyðu av tí orsøk, at teir manereraðu við eina bumbu
mangan1	ofta, tíðum,mangan dvaldi eg við strond
mangan2	(evnafr.)hart gráligt metal(frumevni, teknMn)
mangastaðni	nógvastaðni
mangla1	rulla klæði við manglifjøl og manglikelvi
mangla2	vanta, skorta, tróta,mær manglar;(tlm.)eg mangli
manglifjøl	(gl.)fjøl at mangla 1 klæði við
manglikelvi	(gl.)kelvi at leggja klæði um tá ið manglað 1 verður
manglistokkur	(stb.)manglikelvi
mangul	(tlm.)tað at e-t manglar 2, trot
mangur	nógvur,mangur maður;mangur og einfleiri enn ein, fólk yvirhøvur;summi kundu vera so illa fyrikomin, at mangur og ein rópti tey rekavætti;mangt og hvatnógv ymist,hann spyr um mangt og hvat;mangt og margt,símargur;mangt slíktmangar ferðir so nógv;mangt hvarv úr hjallinum;manga[manga]takk(takkarorð fyri mat);(orðt.)mangt er í neyðini nýtt (sum ikki er í armóðini gitið),síneyð;sms.al-,fjøl-
manilla	slag av togverki
mann	(verður nýtt at vísa til fólk yvirhøvur),ein (3), tú, tey, vito.a.,hon er ein mamma, mann kann vera errin av;sbr.maður (3)
manna1	1(bíbl.)breyð sum sbrt. 2. Mósebók fell niður av himni til gýðingar á ferð um oyðimørkina2(plfr.)søt plantusevjat.d.av mannaask3(plfr.)frukt á álmi
manna2	1útvega manning, skipa 2(2) við fólk,manna (út) bát;teir mannaðu skarðið;manna avgera manngarð um (og síðan taka á hondum), avmanna;teir mannaðu hann av;manna útgera út;hann mannaði út allar sínar vápnaføru menn;manna (e-n)gera manngarð(til tess at forða onkrum í at sleppa undan),teir mannaðu seg uttan um hann;manna seg uttan um borðið(setast fjølmentir);tey mannaðu seg ímóti honum(fóru í part ímóti honum);manna seg (upp)erra seg upp, taka sær um reiggj;(um fólk)manna seg sundurtaka seg sundur, spjaðast;Nornagestur biður nú síni fólk manna seg sundur at halda ímóti(FFÆ258);sbr.menna2reka (1),tíggju menn vóru komnir at verja og manna gonguna oman av fjalli;har var ikki mannað um aftur
mannaask	(plfr.)slag av asktræ(Fraxinus ornus)
mannaát	tað at eta mannakjøt[da.kannibalisme]
mannaátari	ein sum etur mannakjøt[da.kannibal]
mannaávum	hvmf fltí osb.av mannaávumav manna orsøkumel.atvoldum, av fólki,sbr.ávum,fólkavold
mannabarn	mansbarn
mannabein	bein av deyðum menniskja, deydningabein, fólkabein,(gáta)hoppar og skroppar, ber mannabein í maga(bátur, skip)
mannabit	1í osb.hann kennir (følir) sær ikki mannabit(er altíð frískur, kennir sær ikki mein)2hava mannabitkenna á sær at (fremmanda)fólk kemur at vitja(og tí gerast illa heitin),mannbit
mannablóð	blóð úr fólki, mannadroyri
mannabúkar	(kvæð.)lík, bein (5), (deyður) kroppur (2)
mannabygd	staður har ið fólk býr
mannadeyði	tað at fólk doyggja(t.d.av vanlukku, sóttel.hungri),mannafelli,eystan er mannadeyði
mannadroyri	(kvæð.)mannablóð
mannaður	við manning,mannaður bátur;vælel.illa mannaður1(um bát)full-el.ómannaður2(um fólk)við nógvumel.lítlum fólki til hjálpar(eitt nú á fjalli);sms. t.d.full-,hálv-,ov-,ó-,undir-
mannaeyga	eyga á fólki,í mannaeygumí fólkaeygum
mannafelli	mannadeyði,svartideyði sigst hava gjørt óføra stórt mannafelli í Føroyum
mannafívil	fívil
mannaflokkur	fjøld av fólki, mannfjøld, mannamúgva,mannaflokkurin gavst at elta hann
mannafótur	mansfótur,allastaðni har hevur mannafótur verið
mannafundur	fundur, samkoma, samankoming,(bíbl.)á mannafundi vil eg tær lova
mannaføði	matur til fólk, fólkamatur, fólkaføði
mannagangur	1mannagongd (1)2(talv)mannagongd (2),kunnael.duga mannagangin
mannageyl	málan, málageip
mannagongd	1háttur ið nýttur verður tá ið e-t arbeiði skal gerast, háttalag, framferðarháttur, framferð, háttur, máti,hann nevndi tílíka mannagongd sum hina einastu beinu2(talv)reglur fyri hvussu talvfólk verða flutt, mannagangur (2)3fólk á gongd, fólkagonga,mannagongd er niðan brekkuna;(skaldsk.)so mikil á breytum er mannagongd
mannagras	(plfr.)slekt av vátlendisplantum í grasætt(Glyceria),stórt mannagras(G. maxima);sms.flota-
mannagøta	trodd rás millum bygdir, mannavegur, gøta (1), manngøta,móts.neytagøta,rossagøta,seyðagøta,her verður mannagøta nýtt enn, tí eingin vegur er komin so langt;sbr. t.d.bygdagøta,fjall(a)gøta,hagagøta
mannaheimur	1heimur, verøld,í mannaheimi2mannaættin
mannahjarta	1hjarta í fólki2(skap)lyndi, sinnalag, hjarta (6)
mannahjálp	(bíbl.)hjálp frá fólki,bert eitt eiti er mannahjálp
mannahond	hond á fólki, manshond,gjørdur av mannahondum;doyggja fyri mannahond;tað er farið í mannahendur(stolið)
mannahugsan	vanlig hugsan,sbr.almannahugsan
mannajagstran	jagstran eftir fólki(til tess at drepael.taka fanga)
mannakjøt	kjøt av fólki, fólkakjøt
mannakor	kor hjá fólki
mannakorn	1(bíbl.)korn av manna 12(átr.)lítil seðil við skriftorði til umrøðu á bønafundi(tilvildarliga valdur burtur úr rúgvuni í ílati)
mannakroppur	kroppur á fólki, fólkakroppur, likam
mannakunnleiki	kunnleiki um fólk
mannakærleiki	kærleiki til menniskju, manngóðska,fólkið sýndi okkum serstakan mannakærleika
mannalagna	lagna hjá fólki
mannalív	lív og lívskor menniskjans, fólkalív
mannamál	talael.tos hjá fólki, mannatala, fólkamál,her hoyrist ikki mannamál(t.d. fyri gangi)
mannaminni	tað sum fólk minnist, mansaldur, mansævi,slíkt var ikki sæðel.hoyrt í mannaminni(alleingi);eitt mannaminni herfyri;í nøkur mannaminni
mannamuður	mannamunnur
mannamunnur	munnur á fólki, fólkamunnur,áel.í mannamunnií talu millum manna;enn livir tað orðtakið á (el.í) mannamunnií munnligari varðveitslu;av mannamunni havi eg einki annað hoyrt um hann;(bókm.)skaldskapur av mannamunniarvmentir (kvæði, sagnir, ævintýro.tíl.)
mannamunur	tað at gera mun á fólki, mismunur,gera mannamun
mannamúgva	múgva (1) av fólki, mannfjøld, mannaskari, fólkamúgva
mannamúgvi	(kvæð.)mannamúgva
mannannanýtt	l h(N-Ey.)í osb.ikki mannannanýttónýtiligt
mannaoyra	oyra á fólki,tað ljóðar væl í mannaoyrum
mannaótti	(bíbl.)tað at óttast menniskju;sbr.gudsótti
mannapa	(dj.)apa átøk fólki(Pongidae),gorilla er mannapa
mannargiligur	(Suð.)argandi, tennandi, leiðiligur, keðiligur,tað er so mannargiligt, at seyður gongur í eplini;hj-liga
mannarippa	(sj.)mannfólkarippa
mannaroynd	mannroynd,tá ið nøkur er mannaroynd
mannaróp	fólkatos, slatur, sleyg,verða fyri mannarópi(num)el.-rópum;(fólktr.)um tú hoyrir tjaldur, áðrenn tú sært tað (fyrstu ferð um várið), verður tú fyri mannarópum alt árið;tað kom út í mannaróp(út í orð);(tilt.)alt mannaróp erel.gongur ikki líka háttalt er ikki satt ið sagt verður um fólk
mannarættindadómstólur	(løgfr.)dómstólur ið er evsti myndugleiki í mannarættindaspurningum,Mannarættindadómstólurin í Strassburg
mannarættindasáttmáli	sáttmáli ið ásetur hvørji mannarættindi eru galdandi
mannarættindi	(løgfr.)rættindi til frælsi og javnað hjá øllum fólki uttan mun til húðarlit, kyn, málel.trúgv,brot á mannarættindi
mannasamfelag	samfelag (1)
mannasál	sál í fólki
mannaskaði	mannskaði
mannaskari	(kvæð.)mannamúgva
mannaskipan	(sj.)skipsmanning,mannaskipanin varð bjargað(FFÆ96)
mannaskjal	rómur av mannamáli, málan(Sv)
mannaskøltur	skøltur av fólki
mannaspor	h3í osb. sumhar einki mannaspor var fyrihar ið eingin hevði gingið áður
mannasøga	søgan um mannaættina, heimssøga,í mannasøguni
mannasøgn	munnborin søgn, munnsøgn,tað er mannasøgn
