n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
naglabust	lítil bust serst. til at reinsa negl og hendur
naglabyrsa	(stb.)seyðabyrsa við píki í staðin fyri kúlu
naglafastur	festur við naglum, fastnegldur,naglaføst song
naglahol	naglamerki,naglaholini í hondum Jesusar
naglahøvd	høvd 2(4) á nagla, seymhøvd
naglajarn	seymløð
naglaklippari	amboð at klippa negl við
naglakuldi	kuldi í fingursnippum,hava naglakulda;vera ringur av naglakulda
naglalag	amboð til at beina bognaðan naglael.seym;sbr.onglalag,tindalag
naglalakk	lakk til at smyrja á negl til fríðkanar
naglamerki	merkiel.hol eftir nagla(helst um merkini í hondum og á fótum á hinum krossfesta Kristusi)
naglareinsari	amboð til at reinsa undan neglum við
naglarót	innasti partur av nagli(fjaldur av húðini),naglsrót,blóð sprakk undan naglarót
naglaskøta	(fisk.)skøtuslag(við tindum líkum naglum)(Raja clavata)
naglasoppur	(lækn.)soppur í neglum
naglavatn	vatn ið dryppar av fingrunum(tá ið ein tekur hendurnar upp úr vatni),at sletta naglavatn eftir fólki var vanvirðing
nagli	1klænt metalstykki spískt í niðara enda og við høvdi í ovara(til at festa og skoyta træ o.tíl. við at negla við hamri),seymur (2),(tilt.)nú stendur á gomlum nøglumnú má røkkael.støkka, tað er nú tað ræður um;vera (so trúgvur) sum naglin í trænum(sera trúfastur, trúgvur sum trøllið);hann svarar ikki heldur enn naglin í trænum(svarar ongantíð);tá ið vit komu á Høvdasund, stóð tað sum naglin í trænum(gekk ikki fram);(tilt.)fara millum naglan og træið(um treiskt fólk el. ólýðið barn)2trænagli;sms. t.d.báts-,húna-,klinku-,rokka-
naglreka	(gl.)(um skotvápn)ónýta við at sláa nagla niður í holið sum fest verður í krútið ígjøgnum,kanónirnar vóru naglriknar
naglsband	(lívfr.)húðarrond uttan um naglsrótina(sinus unguis)
naglskongur	ytsti kongur 3(2) á fingri,kongarnir á fingri eru naglskongur, knúskongur og handkongur
naglsrót	naglarót
naglur	1negl,hann gevur ikki tað svarta undan naglinum(er ógvuliga natin);eta seg undan naglieta so at uppi verður fyri tíðina;hann etur seg ikki undan nagli(letur ikki tað síðsta hann eigur, nóg so sparinel.pírin);vaska sær um neglinar2(plfr.)niðasti mjái parturin á krúnublaði;sms. t.d.kart-
nailon	slag av silkilíkum gjørdum evni(m.a. nýtt í klæði)[en.nylon]
nailonsokkur	sokkur av nailoni
nakar	1onkur (tilvildarligurel.ikki nærri tilskilaður),er nakar inni?;kann nakar siga mær, hvat klokkan er?;er nøkur mjólk, nakað breyð?;nakrir menn;vart tú nakar maður, so hevði tú vermt meg eitt sindur(vart tú rættur maður);nakrar konur;tey sóu nakað, sum tey seint fóru at gloyma;nakrir og tjúgu mans(onkustaðni millum 20 og 30)2nakað(nýtt sum lýsingarorð)toluliga nógv í støddel.tali,nakað av fiski var at síggja;vit fingu nakað av fiski;breyð við nakað av smøri uppiá;millum nakað og einkiat kalla einki, ógvuliga lítið;tað kostar millum nakað og einki3hj:nakaðeitt sindur, heldur, rættiliga;nakað nær landi;nakað leingi;eg gekk nakað undan honum;teir eru nakað javnir(til styrki, alduro.tíl.);komnir nakað út(út frá landi);tá ið líður nakað út á dagin;hon verður nakað glað, tá ið hon sær teg aftur(ógvuliga glað);nakað leitaði eg eftir tí knappi(leingi og væl);hann er nakað so fittur!(hendinga fittur);nakað situr hatta og gorrar og gorrar(alla tíðina)4hj:nakaðá leið, umleið 2;hann er nakað sum eg til støddar;tað er nakað tað sama;nakað soum tað lagið
nakin	1í ongum klæðum, við ongum uttan á sær, berur (1),eitt nakið barn;eg dragi naknar húkar(við ongum fiski);tá ið onkur hevði lænt nál, skuldi hon ikki latast nakin aftur(við ongum tráði)2(plfr.)(um blómu)við hvørki bikar-el.krúnubløðum;sms. t.d.hálv-,spil-
nakinleiki	tað at vera nakin, nakinskapur, nakni, nekt
nakinskapur	nakinleiki
nakisligur	(stb.)heldur nakin, berligur,her sær so nakisligt út
nakka	1leggja nakka (2) undir og lyftael.førka við jarnbroti,nakka ein stein2geva e-m nakkaslag,nakka e-n;eg skal nakka teg3í osb. sumærin fór spakuliga nakkandi niðan um rásina(við nikkandi gongulag)
nakkaagn	agn skorið av nakkanum á fiski
nakkabein	(lívfr.)bein aftast á skallanum(os occipitale)
nakkabrestur	stoyturel.snuddur í nakkan,sum óviti fekk eg ein sovorðnan nakkabrest, at eg fekk mein av tí fyri lívið
nakkafattur	1við føttum nakkael.afturábendum høvdi, spelkin,har stóð lógvin so nakkaføtt á eini túgvu2brettin, treiskur, stívrendur (2),(bíbl.)verið ikki so nakkafattir í talu
nakkafiskur	(á fiski)fiskur (3) av nakkanum,høvdið verður skorið leyst, soleiðis at uggarnir ikki losna frá nakkafiskinum
nakkafjøður	1(fugl.)fjøður (1) í nakka á fugli,nakkafjaðrar á vípu2nakkafjaðrarnakkahár,lat meg fáa í nakkafjaðrarnar á tær(knokkroyta teg)
nakkagráur	(seyðal.)gráur um nakkan,ein nakkagrá gimbur
nakkahár	hár í nakkanum(á fólki),nakkahárini eru farin at grána
nakkahvítur	(seyðal.)hvítur um nakkan
nakkakast	tað at kasta upp á nakka,eitt firtið nakkakast
nakkakrappur	nakkafattur
nakkakulla	(lívfr.)avlong kulla í nakkanum(millum spengurnar)
nakkalangur	1skammfullur, nipin, snópin, nasalangur,vit fóru at keypa atgongumerki, men máttu so nakkalangir til hús aftur(eingi eftir, komu aftur sum av torvheiðum)2nakkalanga(sj.)álka
nakkalittur	(seyðal.)við liti 1(2) um nakkan, krúnulittur
nakkareyður	(seyðal.)reyður um nakkan,hetta var seyður av reinum føroyskum slagi, ljósur og nakkareyður
nakkaskalli	nakki (1)(Sv)
nakkaskinn	(um fólk og dýr)húðin í nakkanum
nakkaskot	skot (3) í nakkan(við avrætting)
nakkaslag	slag á nakkan,hann hevði gott av at fingið nakkaslag, so tað munti
nakkaspik	1tað feita í nakkanum á seyðarhøvdi2(skemt.)fiti í nakkanum
nakkastuðul	slag av kodda ovast á bakinum á bilsetri(til verju fyri nakkastoyti)
nakkatak	tað at lyfta (t.d.stóran stein) við at leggja nakka (2) undir jarnbrotið, nakkavekt
nakkaull	ull í nakkanum(á seyði)
nakkavekt	nakkatak
nakkhyrntur	1(um seyð)við hornum bendum inn móti høvdinum og nakað nær aftur við hálsinum,ofta seta teir klemmu á hornini á nakkhyrntum seyði2(stb.)(um fólk)við spískum nakka3erpin, errin,hon gongur so nakkhyrnt;sbr.nærhyrntur
nakki	1aftasti partur á høvdinum og ovasti partur á hálsinum aftantil(á fólki og dýri),klóra sær í nakkanum;hann datt, og nakkin tók;detta aftur eftir nakka;fara eftir nakkanumdetta aftureftir;hann tók leypin á nakkan(fór undir leypin);kasta upp á nakkasýna hugmóðel.vanvirðing, vera hástórurel.ansaligur (1),tú hevur bara kastað upp á nakka, tá ið eg havi talað við teg;gera e-t upp á nakkan á e-mgera e-t í navninum á e-m uttan at hann veit av;traðka upp í nakkaslíta upp í einki, traðka á holel.uppum;skógvarnir vóru traðkaðir upp í nakka;hosurnar eru slitnar upp í nakka;úr hæl í nakka,síhælur2steinurel.tíl.lagdur undir fremra enda át.d.jarnbroti til at lætta um tá ið lyft verður(við at benda niður á aftara enda),legg ein nakka undir jarnbrotið;ein steinur liggur so meint fyri, so at hann grevur eitt hol inn undir steinin, leggur sær nakka, setur spírendan á og bendir steinin upp;sbr.nakkatak3flati endi át.d.hamarshøvdi4ovari (flati) endi á grótbori(sum sligið verður á)5(bát.)aftara horn á tolli6rundi parturin á kleppi (1),kleppurin hevði nakka7(skemt.)hava nakkakenna til, hava kenning
nakkleysur	(sj.)ið ikki hevur mót til at gera nakað, viljaveikur,hann var so nakkleysur
nakkur	(stn.)høgt (for)berg(ofta slætt omaná og bratt niðurfyri),Kunoyarnakkur
nakni	nakinleiki
nakrantíð	á nøkrum sinni, onkuntíð (1)(ofta noktandi el. spyrjandi),hann hevði hvørki givið ella vildi nakrantíð geva olmussu;hevur tú nakrantíð verið har?
nakrastaðni	á e-mel.til e-t stað,tað sæst har so væl sum nakrastaðni;hevur tú verið nakrastaðni?;fert tú nakrastaðni í summar?;tað er ikki nakrastaðni at finna(ongastaðni)
nakrastaðnis	(tlm.)nakrastaðni
naldra	s30(stb.)í osb. sumnaldra burtur av e-mpilkael.nartla burtur av e-m
nalvabind	bind (1) at leggja um nalvan á nýføðingi(fyri nalvalopi)
nalvagras	(plfr.)slekt í sýruætt(Koenigia),íslendskt nalvagras(K. islandica)
nalvaleið	(lívfr.)øki um nalvan,um nalvaleiðina
nalvalop	(lækn.)brokk í nalvanum,nalvalop hjá pinkubørnum
nalvaskoðan	tað bert at hava áhuga fyri sær sjálvum og sínum egnu áhugamálum, sjálvgleði, sjálvgóðska
nalvaskoðari	ein ið bert hevur áhuga fyri sær sjálvum og sínum egnu áhugamálum
nalvasoppur	(plfr.)slekt av soppi (2)(Omphalina),legghærdur nalvasoppur(O. velutipes);sms. t.d.lyng-
nalvastrongur	(lívfr.)strongur millum fostur og fitilók
nalvi	1(lívfr.)kulla á búkinum, arr eftir nalvastreingi,hevur tú ikki hugt at nalvanum í morgun?(sagt við ein ið t.d. er illa hýrdur)2(dj.)(á kræklingi)sandnalvi(Sv)
nalvungi	1(fugl.)ungi komin úr egginum áðrenn reyðin er uppi2lítið og ússaligt (smá)barn,hatta er tann nalvungin, ið er3(niðr.)bløka (2), bloyta 1(2), hvølpur (5),tú skalt ikki koma at læra meg nakað, tín nalvungi
nam	sínema
namm	mðlv(barn.)(sagt um e-t ið e-m dámar væl),namm, namm
namma	(barn.)eta, fáa sær
nana	1nina,tað yngsta var farið at sjarra, og mamman sat og nanaði tí og royndi at fáa tað at tiga;hon sat hálvsovnað og nanaði stundum aftur og fram, stundum frá síðu til síðu2í osb. sumtað nanaði viðtað var so tað gekk framel.kvinkaði(í róðri)3syngjael.njóra fyri styggum seyði til at spekjael.kyrra hann,nana uppi yvirel.fyri seyði
naning	tað at nana
napoleonshattur	køka lík tríhyrntum hatti(av marsipanio.ø.)
nappa	royta broddin av ull(áðrenn hon verður virkað til tógv),nappa ull;broddurin verður nappaður av;sms. t.d.dún-,fín-
napping	tað at nappa,fingu tey ónappaða ull at spinna, so áttu tey broddin fyri nappingina
nappingargø	gø av at nappa,ofta fekk eg nappingargø í fremstafingur og spongina upp frá honum
nappull	nappað ull
nappur	1nipil,tá ið ullint troyggja niplar, koma nappir á hana2lógv 3(á ullintum plaggi)3pu,nappur kann liggja á gólvinum4(stb.)skeyti 1(1) at seta í opið sár, tvørri 2
nardus	(plfr.)væl angandi planta(at gera salvu úr)(Nardostachys jatamansi)
narðarvøttur	njarðarvøttur(Sv)
narkomanur	misnýtari sum er bundin av narkotika
narkotika	doyvandi, linnandiel.rúsandi evni(t.d.heroin, lsd og hassj)
narr	1spott,gera narr (at e-m)halda (e-n) fyri gjøldur2býttlingur,lokka gamalt fólk at renna sum eitt narr inn í Bø(sum eitt býtt)
narra1	1gera (trúloving) til einkis við (e-ael.e-n), gera tað liðugt við,narra einel.eina;hann fekk fríggjaran til at narra hana2lumpa, snýta,(orðt.)gamal ravnur er ikki góður at narra3narrasthalda fyri spott, skemtast, glantrast;tú narrasttú kanst ikki meina tað í álvara;nei, nú narrast tú(sagt tá ið ein ikki trýr tí ið annar sigur)
narra2	1gníggja,narra eyguni;narra hendurnar;narra sær í hendurnar;hann stóð og narraði seg upp at henni;narra blett úr klæðum2tøva eitt lítið sindur(helst millum hendurnar),narra hosurnar;narra einar vøttir
narrarí	skemt,tað var ikki annað enn narrarí;í narraríí skemti;hetta er ikki narrarítað er álvara
narravøttur	(sj.)njarðarvøttur
narribót	narripengar
narribræv	bræv um at trúloving verður gjørt til einkis, krakkabræv
narripengar	(stb.,gl.)peningabót fyri at gera trúloving til einkis, narribót,hagin var latin í narripengar
narrivøttur	(stb.)njarðarvøttur
nart	sínerta
nartl	1eitt lítið sindur (av e-m), eitt (lítið) petti, nørtur,nartl av royðugróti2prus,hvørjum nartli undir ilini máttu vit geva gætur3ein ið etur lítið4(plfr.)slekt í fransagrasætt(Anagallis);sbr.neyðarnartl;sms. t.d.matar-,smør-
nartla	1bítael.gnaga (av e-m) í smáum, naldra,seiðurin bara nartlar í beituna(nippar í);kongafiskarnir nartlaðu agnið burturav;hann nartlar burtur av rótini;seiðurin nartlast uppi í beituni, men tekur ikki2skava (í), pilka (í),hann fór at nartla í tað við knívinum;tú situr og nartlar uttan av hasum breyðendanum3nartla á handsnældu(spinna seinliga)(Sv)
nartlingur	(stb.)1nartl (1)2lítið lamb
narvast	(stb.,sj.)deilast, klandrast,hatta er einki at narvast um
nasa	1(um fólk og dýr)detta omanel.útav og doyggja,eg sá, tá ið ærin nasaði2gera firtnan, misbjóða(Sv)
nasabein	(lívfr.)annað av tveimum beinum ovast í nasarygginum(os nasale)
nasablóð	blóð úr nøsini,bløða nasablóð
nasadirvi	tað at vera nasadjarvur
nasadjarvur	framførur, nasvísur,(orðt.)neyð ger nasadjarvanneyð ger fólk nærgeingið og naskt
nasadropi	rakdropi,tá ið ein verður kaldur, fer nasadropin at hanga
-nasaður	síbreið-,djarv-,flat-,há-,hjar-,kjarr-,reyð-,skeiv-
nasagluggi	annað av tveimum opum í nøsini, gluggi (5)
nasahár	hárvøkstur í nøsini
nasahjól	(flogm.)framhjól á flogfari, nevhjól
nasahola	(lívfr.)hola inni í nøsini(sum andað verður ígjøgnum)(cavitas nasi)
nasaklemmari	brillur (við ongum stongum) at klemma um nasaryggin[da.lorgnet]
nasaklútur	lummaklútur
nasalangur	1illa við, nipin, smoykin, nakkalangur,hann fór so nasalangur heim aftur2(sj.)nasadjarvur, framligur,hann var alt ov nasalangur
nasaljóð	1(málfr.)ljóð 1(2) gjørt við at lata luft fara út gjøgnum nøsina,"m" og "n" t.d. eru nasaljóð2ljóð 1(2) borið fram lutvíst gjøgnum nøsina,hon stingur seg at mær við alskmiklum nasaljóði
nasaljótur	við ljótari nøs
nasaloft	(lívfr.)tað ovasta í nasaholuni
nasalortur	(stb.)snorklumpur, kráka (4)
nasanabbi	nasasnippur
nasanebbi	nasasnippur
nasar	sínøs
nasareari	(bíbl.)nasareingur
nasareið	kv(stb.)í osb. sumgeva e-m eina nasareið(eina skortfleingju);tað var honum ein nasareiðhann varð illa deildur, varð teptur
nasareingur	(bíbl.)fólk íel.úr Nasaret
nasaringur	1ringur 1 í nøsini á tarvi,tað eydnaðist honum at fáa fatur í nasaringin á tarvinum2lítil ringur 1 í nøsini(til prýðis serst. hjá konufólki)
nasarót	ovasti partur á nøsini(samankoming millum nøs og enni (1))
nasaryggur	kantur oman á nøsini, røð á nøsini
nasasjógvur	(stb.)brotasjógvur beint frammaná(á bát el. skip)
nasasnippur	tað fremsta á nøsini, nasanabbi, nasanebbi
nasaspískur	við spískari nøs
nasastórur	við stórari nøs
nasasøtur	angasøtur,nasasøtur roykur
nasavegin	(lækn.)gjøgnum nøsina;sbr.munnvegin
nashvítur	(seyðal.)við hvítum bletti á nøsini(á dimmum seyði),gráur nashvítur;morreyður nashvítur;svartur nashvítur
nashyrningur	(dj.)slag av stórum kleyvdýri(við hornlíkum vøkstri á nøsini)(Rhinoceros)
nasi	(stórur) kneysi(fram úr bergi, kletti el.tíl. líkur nøs),knabbi (1),hann fór fram við bergstromini og út á hvønn nasa;komnir undir oynna løgdu teir at einum nasa;á einum nasa í fjallinum situr ein fuglur;sbr.nøs (2)
nasisma	(stjm.)fasistisk politisk rørsla ið leggur dent á tjóðskap og lítilsvirðir onnur fólkasløgserst.jødar(kom upp í Týsklandi eftir fyrra heimsbardaga)
nasistiskur	ið tekur undir við nasismu
nasistur	ein ið tekur undir við nasismu
naskast	vera (ov) nærgeinginel.naskur, nærkast, nálgast,naskast uppi áel.uppi í e-mel.upp á e-n;hundarnir naskaðust uppi í teimum;hann hevur lyndi til at naskast upp á fólk;nú var tað sýslumaðurin, sum hon naskaðist uppiá;ikki visti hann, at hesir fuglar stjólu og naskaðust í grannahøgunum;naskast við e-t:fer onkur at naskast við holu hansara, herjar hann á
naskliga	nasvíst, naskt
naskur	ið gongur e-m (ov) nær, nærgeingin, framligur, frekur (4), nasadjarvur, nasvísur (2), grammur, frekur (1),so naskur var kópurin, at ofta vóru hálvir toskar á, tá ið komið var á borð;(tilt.)naskur sum nykur;naskir spurningar;naskt at spyrja...;henni dámdi at siga søgur, sum kundu vera eitt sindur naskar við hana sjálva
naslittur	(seyðal.)við liti 1(2) á nøsini
nasmæltur	ið tosar við nasaljóði (2), ið kjánkar
naspa	taka frá (e-m), stjala (e-t smátt), smástjala, nápa, píska 1(4)
-nasutur	reyst-
nasvísur	1illa við, snópin, foyur, skammfullur,eg var so nasvísur2nasadjarvur,ein framligur og nasvísur drongur
natigur	1natin (1), gírigur,hann var so natigur, unti ongum nakað2øvundsjúkur(Sv)
natin	1kargur (1)2(sj.)naskur3tjóvskur(Sv);sms. t.d.ill-
natinskapur	natni
natni	tað at vera natin, pírni, natinskapur
NATO,Nato	stytting fyriNorth Atlantic Treaty Organization(t.e. verjusamgonga millum lond í Vesturevropa og USA);sms. t.d.-land,-samgonga
natrium	(evnafr.)lætt silvurhvítt og mjúkt frumevni(finst ofta í sambondum við onnur evni, teknNa)
natron	(evnafr.)sambinding av natriumi og øðrum evni(m.a. nýtt í bakipulvuri og sum heilivágur fyri ov nógva magasýru, teknNaHCO3)
natur	lítil (harður) drýlur(av deiggi ið loypur av),eg skal baka tær eitt natur;breyðið turt og tunt sum natur(ógvuliga tunt);sbr.pinka (2)
naturalisma	lista- og bókmentastevna sum lýsir menniskju sum tey eru sbrt. teimum vísindaliga prógvaðu náttúrulógunum(og soleiðis sigur sannleikan um mannalívið),naturalisman kyknaði í Fraklandi í 19. øld;í skaldsøguni "Bábelstorninum" eru dømi um ávirkan frá naturalismuni;sbr.realisma
naturskursl	e-t ógvuliga lítiðel.tunt, skursl (3), naturskvirsl,tað, sum hann fær sær at eta, er ikki annað enn naturskursl;tað var ikki naturskursl, tá ið hon tók til, nei stórtøkin var hon;hatta er sum eitt naturskursl(t.d. um tunna breyðflís),sovorðin naturskursl(um smáar kleynur)
naturskvirsl	(sj.)naturskursl
naturtunnur	ógvuliga tunnur
natúr	1náttúra (1),natúrin er vøkur2náttúra (2),tað er ímóti natúrini3íbornir grundeginleikar, eyðkenni, lyndi, lyndiseyðkenni(hjá fólki, luti el. fyribrigdi),hann var glaður av natúr;hesin dúkur hevur ta natúr, at ...;vera bangin av natúr;hann er soleiðis av natúr;sjónatúr4kynslig evni,hann hevur onga natúr
natúra	náttúra, natúr
natúrligur	1sum hoyrir tilel.er í samsvari við natúrina, sum hendirel.er til staðar uttan nakra uppílegging,doyggja ein natúrligan deyða2sum ein hevur í sær, viðføddur, íborin,ein natúrlig trongd til fyrst at hugsa um seg og síni;tað er natúrligt, at e-m leingist heim3ótilgjørdur (2), ektaður,hann er so natúrligur, tá ið hann tosar
natúrsterkur	ið hevur góða heilsu, frískur,móts.natúrveikur
natúrveikur	(stb.)ið hevur ringa heilsu, sjúkligur,móts.natúrsterkur
nava	(stb.)bora hol við navara
navar	1navari,fara á navarin1(um kúgv)verða dripin2fara av knóranum2for navarin!(linur eiður)
navaraskegg	(stb.)bithorn
navargeisli	navarsgeisli
navari	1handamboð at borael.víðka hol við(serst. í træ),navar2stelling (4) á navarsgeisla;sms. t.d.báts-,lunda-,seym-
navarsgeisli	(lívfr.)næstfremsti geisli í hálsi(Epistropheus),hin næstfremsti geislin í hálsastykki rópast navarsgeislin, og á honum er navarin
navigatión	(sjóm.)siglingarfrøði
navigatørur	ein ið hevur útbúgving frá sjómansskúla(sum stýrimaðurel.skipari)
navir	sínøv
navn	1orð ið er heiti á e-m(t.d. fólki, djóri, stað, fari, fyritøku),eiti, nevni,spyrja e-n at navnispyrja hvussu ein eitur;tað kundi ikki við navni nevnast(ikki takast upp á tungunael.ikki sigast bart út);tey høvdu alt, sum kundi nevnast við navni av gomlum tingum;eg kenni ikki hansara kristna navn(skírnarnavn);hon komst við navnið;(tilt.)navnið spillir (el.skemmir) ongan;Haraldur nevndur atel.á navni;tað hevur navnið hjá særnavnið sigur seg sjálvt;Flatnadalur hevur navnið hjá sær ... her vóru fløtur;pápin átti navniðpápin skuldi velja navnið á barninum;ganga eftir navninumkoma í dreymar fyri kvinnu sum er við barn til at fáa hana at kalla seg upp;í sama navnel.navniá sama hátt, tað sama, eins;dagin eftir gekk í sama navn;tað gekk í sama navni, og sátan fór aftur um koll2tittul, navnbót,geva e-m kongsnavn;sms. t.d.bygdar-,dóps-,dreingja-,eftir-,eyka-,felags-,for-,fólka-,gentu-,góðvara-,gøtu-,hjá-,keli-,kongs-,konufólka-,mannfólka-,ser-,sam-,staða(r)-,ættar-
navna	gentael.kona við sama (for)navni sum ein onnur,vit eru navnur báðar(eita tað sama);hon er navna mín
navnabók	bók við nøvnumserst.fólkanøvnum
navnabretti	(bát.)brettiel.fjøl við navni á, navnafjøl
navnabroyting	tað at broyta navnið
navnabræv	skjal ið váttar navn á fólki;sbr.dópsseðil
navnafjøl	(sj.)navnabretti
navnagáva	1tað at geva navn, navngáva2dópsgáva,fáa e-t í navnagávu;hann fekk tað í navnagávu
navnagávuseyður	seyður givin í navnagávu
navnagransking	(málfr.)frøðigrein um nøvn, uppruna og merking teirra,t.d.staða- og fólkanøvn
navnakall	(stjm.)tað at nevna navnið á fólki(t.d. við atkvøðugreiðslu),atkvøtt varð við navnakalli
navnaklútur	læriskeyti
navnakort	kort við navni, yrki og bústaðio.ø.[da.visitkort]
navnalisti	listi við nøvnum, navnaskrá,aftast í bókini er ein navnalisti
navnalóg	lóg um nøvnserst.fólkanøvn
navnamerki	frámerkiel.eyðkenni við forbókstøvumel.tíl.,hann setur sítt navnamerki á viðarbularnar
navnanevnd	nevnd(sett av tí almenna)ið er hægsti myndugleiki í (fólka)navnaspurningum
navnaprógv	kort(ofta við mynd, navni, føðingarári og -degi og persónstali)ið sýnir at ein er tann ið hann sigur seg vera,vísa navnaprógv;sbr.samleikaprógv
navnaseðil	váttanarbræv um navn
navnasiður	siður viðv. navnagávu (1),navnasiðirnir eru nógv broyttir gjøgnum tíðirnar
navnaskelti	skelti við navni á,navnaskelti við gøtunavni
navnaskifti	tað at skifta navn
navnaskrá	navnalisti
navnberi	(málfr.)fólk ið ber eitt (ávíst) navn
navnblað	tittulblað(í bók)
navnbót	heiðrandi heitiel.navn á starviel.tignarstigi,doktaranavnbót
navnfestur	navnnevndur,maðurin er ikki navnfestur
navnframi	tað at vera navnframur, giti (1)
navnframur	1víðagitin, væl kendur, frægur (1), navnfrægur,ein navnframur málari2(stb.)dugnaligur, dygdargóður, skilagóður,ein navnframur maðurskilamaður;eitt navnframt ár(gott)
navnfremi	(bíbl.)navnframi
navnfremstur	kendastur,Platon, navnfremstur av næmingum hans
navnfrægd	tað at vera navnfrægur, navnframi
navnfrægur	navnframur,hin víðagitni og navnfrægi Sverri kongur
navngáva	tað at navngeva, navnagáva (1),í føroyskari navngávu
navngeva	1nevna við navni,tygum skulu ikki leggja í at navngeva meg(í útvarpinum)2geva navn, seta navn á barn,tey hava navngivið dóttur sína
navngitin	1navnframur,ein navngitin sangari;tað, hann var mest navngitin fyri, var hin stóri urtagarðurin2navnnevndur,ein ungur ikki navngitin drongur
navngreina	(plfr.)greina navn og slag á plantuel.dýri,navngreina eina plantu
navnháttarmerki	(málfr.)smáorð (í føroyskumat) framman fyri sagnorð í navnhátti,"at" í "at lesa" og "at skriva" er navnháttarmerki
navnháttur	(málfr.)óbendur sagnorðsformur, høvuðssniðel.grundsnið hjá sagnorði(í føroyskum vanliga eftir navnháttarmerkið "at" og settur sum leitorð í orðabókum),"gera", "selja", "taka" standa í navnhátti(infinitivus)
navnheild	(málfr.)orðalagsheild við einum navnorði sum yvirliði,"ein stórur bátur" er ein navnheild
navni	ein ið ber sama navn sum ein annar,navni mín;vit eru navnar
navnkendur	(stb.)víðagitin
navnkenna	nevna við navni fyri øðrum, kunna 2,navnkenna e-n við e-n
navnkristin	sum eitist at vera kristin, kristin av navni,tey, sum av sonnum eru trúgvandi, og hin stóri hópurin av navnkristnum
navnkunnur	navnframur
navnleysur	við ongum navni
navnliður	(málfr.)setningsliður við navnorði sum yvirliði,í setninginum "hann átti ein reyðan bil" er "ein reyðan bil" navnliður[da.substantivisk led]
navnloysi	tað at vera navnleysur
navnnevndur	nevndur við navni,navnnevndur maður
navnorð	(málfr.)orð sum vísir til lut, gerð, fyribrigdio.tíl.(bendist í føroyskum í tali og føllum og er bundið/óbundið)(nomen substantivum),"hús" er ítøkiligt navnorð;"kærleiki" er óítøkiligt navnorð;orðalagsliga standa navnorð ofta sum grundliður ella ávirki
navnorðabending	(málfr.)tað at benda (3) navnorð
navnseðil	seðil við navni(á vøru, fløsku o.tíl.)
navnskelti	navnaskelti
navnvinur	ein ið sigur seg vera vin (við ein) men ikki er tað í royndum,mangir vilja navnvinir vera
navnvirði	(búsk.)virði (upphædd) ið stendur át.d.virðisbrævi
ná1	(kvæð.)náa
