R	rómv. taltekn fyri 80
rakkalína	(bát.)lína at flyta rakka upp og niður við;sbr.rakki 1
rakkendur	klantrasligur, rak 3
rakki1	(bát.)hálv held smoygd á mastur til at halda ránni inn at mastrini
rakki2	(dj.)(ungur) hundur,(kvæð.)ofta hava vaksið ungum rakka hvassar tenn í munni
rakkroppur	fólkel.dýr ið er rak
rakkrókur	1stikul á veðrahorni ið horvir inná2klænhyrnt veðurlamb við stikli ið horvir inná
rakkúgv	kúgv ið er rak
rakland	(sj.)ringt og fátækt land
rakleingja	fallkomin seyður
rakleittur	rak í andliti, skarpleittur
raklendi	lendi har ið lítið veksur, kørg jørð, vánajørð
rakligur	(um fugl, seyðo.tíl.)heldur rak,seyðurin er heldur rakligur
raklús	(Suð.)1soltin lús,raklúsin bítur fast;sbr.sárt bítur soltin lús2(flutt m.)ein ið hevur lítið at liva av(og tí tekur stórt gjald fyri t.d. veitta tænastu)
rakløn	vánalig løn(ið illa livst av)
rakmurtur	(niðr.)rak smáfiskur,(roynt) eftir upsum og lúsa rakmurtum
rakna	1losna (sundur), loysast upp, detta sundur, travna(serst. um bundin pløgg),raknael.rakna upp;sbr.rekja2rakna viðfáa vitið aftur, vita til sín aftur, vakna(eftir svímilsiel.úr svøvni),(flutt m.)menniskjuni raknaðu við aftur aftan á veturin, sum farin var(komu fyri seg aftur);tá ið hann raknaði við aftur, var maðurin horvin;hann er raknaður eitt sindur(um sjúkan mann)hann er batnaður nakað3(stb.)(um heitan mat)kólna,fiskurin er ikki raknaður enn;set út at rakna4gerast beinurel.beinari, rætna,húkurin raknaði upp
rakneyt	neyt ið er rak
rakpláss	fátækt pláss, kargur (2) staður,hasin hagin er rakpláss hjá seyði
rakreyv	(niðr.)ein ið er fátækur og óhjálpin, fátækadýr,hatta er ein rakreyv
rakross	ross ið er rak
rakrot	1(um kríatúr)tað at ullin losnarel.dettur av(t.d. av raki, sjúkuo.tíl.),ærin hevur fingið rakrot2(sj.,stb.)tað at missa hár(so at berir blettir verða ymsastaðni á høvdinum),rakrot er komið í
rakrota	missa ull(av rakroti),seyðurin rakrotar;seyðurin er rakrotaður(eingin filing, ullin rotnað av)
rakrotin	rakskáldaður
rakrotna	s30í osb. sumtað rakrotnar burtur av seyðinumseyðurin kastar ullina(av rakio.tíl.)
rakrukka	rukka í skrámutumel.tunnleittum andliti,rakrukkurnar rylkjast saman, og andlitið stendur í einari skriðu
rakseyður	seyður ið er rak, avnor, píningur (1),ravnur nemur ikki rakseyð
rakskarvur	rakdirðil
rakskálda	(Suð.)(um seyð)missa ullina (um snáðina)(av raki og armóð),lambið er rakskáldað
rakskrokkur	ein ið er diddarak, máhamur (1)
rakslánur	1(fisk.)rak fiskur, slánur,upsin er vorðin ein rættur rakslánur2(flutt m.)langt og (sera) rak fólk
raksmakkur	smakkur eyðkendur fyri óvanliga soltið kjøt,raksmakkur gongur at kjøtinum
rakstraravlop	(búsk.)tað ið er til avlops í rakstri(t.d. í fyritøku, virki, handlio.tíl.)
rakstrarár	(búsk.)tíðarskeið(upp á eitt ár)ið roknskapur hjá virki verður førdur eftir, roknskaparár
rakstrarbátur	bátur ið er við í grindarakstri, bátur ið rekur grind
rakstrarboð	(stb.)fjallboð,hann hevði verið við rakstrarboðum
rakstrarbúskapur	(búsk.)1búskapur (1) hjá einstøkum virkjum2frøðigrein(el.lærugrein)um rakstur (6) í einstøkum virki, virkisbúskapur,móts.tjóðarbúskapur
rakstrardagur	(stb.)fjalldagur,ringur rakstrardagur
rakstrarfígging	(búsk.)tað at fíggja 1 rakstur (6)
rakstrarformaður	grindaformaður(Sv Indb.951)
rakstrargøgn	gøgn ið eru neyðug fyri at reka virkiel.fyritøku
rakstrarhall	(búsk.)hall 1(4) í rakstri (6)
rakstrarhoyggj	hoyggj ið kemur undir óterra og spillist,í óterraárum verður nógv rakstrarhoyggj
rakstrarhundur	hundur havdur í seyðarakstri,fyrr høvdu teir her um leiðir bæði rakstrarhundar, tøkuhundar og aktingarhundar;sbr.tøkuhundur
rakstrarjáttan	(stjm.)peningajáttan frá tí almenna at reka stovn undir landinum fyri,tá ið talan er um rakstrarjáttan, er í høvuðsheitum talan um stovnar, sum verða fíggjaðir av landinum
rakstrarkostnaður	(búsk.)tað ið raksturin (6) kostar(t.d. í lønum, leigu, flutningio.tíl.)
rakstrarlag	háttur at reka(t.d. grind),ringt rakstrarlag
rakstrarlán	lán til rakstur (6)
rakstrarleiðari	ein ið hevur ábyrgd av rakstri av (deild í) fyritøku
rakstrarlið	(stb.)(á rætt)lið sum rikið verður um
rakstrarlíkindi(r)	líkindi (4) at reka(seyðel.grind),ring rakstrarlíkindi(r);góð rakstrarlíkindi(r)
rakstrarlýsi	tað at nóg ljóstel.klárt er at farast kann at reka seyð, fjalllýsi
rakstrarmaður	1maður ið er við í seyðarakstri, fjallmaður,ikki so sjáldan áttu rakstrarmenninir ein lut2maður ið er við í grindarakstri
rakstrarmáttur	(alisfr.)tað hvussu lutir røra seg við ávirkan frá kreftum sínámillum, elvi (2), rekmáttur (1)[da.dynamik]
rakstrarpeningur	(búsk.)peningur nýttur at reka virki við,tørvur er á rakstrarpeningi
rakstrarroknskapur	(búsk.)roknskapur fyri rakstur (6);sbr.fíggjarstøða
rakstrarróp	1tað staðiliga at tala fyri e-m(t.d. ávísari læruel.hugsjón),tileggjan[da.propaganda]2eggjandi rópt.d.á mótmælisfundi,rópa rakstrarróp
rakstrarstað	(búsk.)konta ið rakstur (6) hjá (almennum) stovni (3) verður bókaður eftir
rakstrarstjóri	(búsk.)ein ið situr fyri og hevur ábyrgd av rakstri (6)(t.d. í virkiel.fyritøku)
rakstrarstudningur	(búsk.)studningur frá tí almenna til at rinda rentur og avdráttir av láni,landið letur 60 % í rakstrarstudningi til góðkent bygdarsavn
rakstrartíð	1fjalltíð2(búsk.)tíðarskeið rakstur (6) verður uppgjørdur í
rakstrarútreiðslur	útreiðslur til rakstrarkostnað
rakstrarveður	veður at reka seyð, fjallveður,vána rakstrarveður
rakstrarverdur	í osb. sumí rakstrarverdum nøgdumel.mongdum(í oljuleiting)sum finst í nóg stórari mongd til at tað lønar seg at fara undir framleiðslu,enn er ikki greitt, hvussu nógv olja er í feltinum og um tað er í rakstrarverdum mongdum
rakstur	1tað at reka (1) stað úr stað, tað at reka (1) flokk av dýrum ávísan veg(serst. seyð og grind),ikki fáa rakstur á seyðel.grindikki fáa rikið seyð í rættel.grind á hvalvág;vera á rakstrireka seyð (í rætt);hetta var ein harður rakstur;hann hevði brotið beinið á rakstri;nú kom betri rakstur á grindina(gekk betur at reka);sbr.seyðarakstur,grindarakstur2strekki iðt.d.grindel.seyður verður rikin3teinur (8)el.strekki 1(1) bátur rekur av miði(og til siglt verður afturá aftur),leggja ein raksturlata bátin reka við streyminum meðan kennið er;hava ein góðan raksturfiska væl á einum rakstri;teir drógu áttamannaførini full við ein rakstur;teir komu snórabeinir fyrsta rakstur, og allir kendu4seyðafylgi sum saman verður rikið úr haga í rætt,slapp veðurlamb úr rakstrinum, mátti tað verða hundtikið5(stb.)øki millum viðtøkugarðarnar(við rætt),seyðurin liggur í rakstrinum um veturin;teir lótu fyrru gongu vera í rakstrinum, meðan teir fóru eftir seinnu gongu6(búsk.)tað at reka (5)(t.d.virki, fyritøkuo.tíl.),lærdi at taka sær av rakstrinum og tí fíggjarliga í jarðarbrúkinum;raksturin sýnir hall7(búsk.)partur av (árs)roknskapi;sms. t.d.bakka-,grinda-,haftseyða-,hval-,inn-,neyta-,oman-,seyða-,út-,van-,vár-
rakti	sírekja,raka
raktíð	fátækslig tíð, vánalig ár,tað var mongum hollur stuðul í raktíðini
raktrýningur	mjáur trantur á húðarskógvi(Sv)
rala	geva veikt ljóð frá sær, græla (1),tað var, so tað ralaði í honum(so at eg hoyrdi málið í honum);tað ralar í hálsinum(á e-m ið liggur at doyggja)(Sv)
-rall	sísvøvn-
-rama	síhár-
raman	ramliga,hann tók so raman til
ramaróp	ramaskríggj
ramaskríggj	harmabundið skríggj, harðligt mótmæli(sbr.Matt.2,18)
ramdanskur	danskur út í odd og egg, heilt og fult danskur, aldanskur
ramføroyskur	føroyskur út í odd og egg, heilt og fult føroyskur, rótføroyskur, alføroyskur,yrkingin er bæði í anda og í máli ramføroysk
rami	1ramur roykur, rámi2atsmakkur;sms. t.d.blóð-,sjó-,svidna-
-rami	síhár-
ramjútskur	jútskur út í odd og egg, heilt og fult jútskur
ramligur	sterkur, kraftamikil, máttmikil, treystur, menniligur (á at líta), reystur,ein ramligur óviti;hann gav roysninginum eitt ramligt høgg í heysin;hann gav honum eitt ramligt slag(dygt);hj-ligasterkliga, harðliga,høgga ramliga til;taka ramliga til (orðanna);teir tóku so ramliga undir, sum galt tað lív og deyða(dyggiliga);svara ramliga aftur(treystliga);neytið er ramliga vaksið(prúdliga)
ramma1	umgerðt.d. úr træel.jarniuttan umt.d.mynd, rúto.tíl.(at styðja e-t, halda e-m uppiel.saman),grind 2(1), rammi 1,ramma er sett um myndina;(flutt m.)framsýningin hevur víðar rammur og er fyri fólk úr fleiri londum;felagið hevur fingið glæsiligar rammur at virka í;sbr.karmur
ramma2	sláa harðliga, lamma 1,hann rammaði nevan í grótveggin
rammi1	ramma 1
rammi2	sírommum
rammulóg	(løgfr.)lóg ið ásetur almennar (leið)reglur og sum fyrisitingin ger nærri ásetingar um,lógaruppskotið er skipað sum ein rammulóg, og tær neyvaru ásetingarnar um drekkivatn verða ásettar í kunngerð, sum landsstýrismaðurin ger
rammur	kí osb.fram eftir rommum,sírommum
rams	ramsi;í osb.drekka íel.við ramsi;(stb.)á ramsi;síramsi
ramsa1	uppreksan av orðumel.setningum við duldumel.ongum samanhangandi innihaldi(framborin títt og av handahógvi uttan umhugsan t.d. til at minnast e-t ávíst úr lærubókel.tíl.),reksa 1;við einari ramsuí einum andarhaldi;læra síðu eftir síðu upp á ramsu(uttanat);hon dugdi alla ramsuna
ramsa2	siga røð av orðum (uttanat) títt og av handahógvi(uttan umhugsan),siga ramsu, reksa upp,her galt mest um at læra uttanat og ramsa
ramsaltur	við romum søltum smakki, sera saltur, sjósaltur,hann fekk sjórokið so ramsalt oman yvir seg
ramsi	sbr.rams
ramur	1sterkur, máttmikil, treystur, dygdargóður,hann var ramur í øllum verki og av ítastu dugnamonnum;hann er ramur til alt(dugir alt, er kringur í øllum);tíkin er ramast í tonnunum(sterkast);ramar rúnir(sterkar, ið gera stóran mun);(kvæð.)ramar risti hann rúnirnar;ramur á málinumgrovmæltur;ramasta álvara;ramur í gandisterkur í gandi,hon var rom í gandi;ramur illgerningursterkur gandur;har var ramt1har búðu huldufólk2har spøkti;Rami(hundanavn);Rama(tíkarnavn)2raskur, fermur,blótan og bannan vóru tey ramari í enn í bókalestri(stinnari)3(sera) eyðsýndur, herviligur,ramur tjóvur;tað rama hungur;tað rama tvætl4illramur, illsvørmutur, beiskur, herskin, stakin,ramur roykur;ramur smakkur;luftin inni var tung og rom av tjøruroyki og gomlum togverki;sms. t.d.ill-
rand	1(stb.)ryggur (5) í moldveltu2(kvæð.)rond
randa	1gera rondel.ring um e-t, kransa (2),(skaldsk.)tá randa rósur roðandi vín2(stb.)randa uppryggja upp (eplaveltu)
randar	sírond
randarformur	slag av bakiformi, randformur
randargný	(kvæð.)í osb.í randargnýí bardaga,reið hann tá í randargný
randarhús	raðhús ið standa sum ein rond eftir útjaðara á býlingi
randarný	(kvæð.)randargný
randblóma	(plfr.)uttasti blómukransur í blómuskipan av kurvablómuætt
randformur	rundur formur (2)(til matgerð),stoyt deiggið í smurdan randform
randhvítur	(skaldsk.)við hvítari rond,á vetri so randhvítt;randhvítur av brimi
randhærdur	(plfr.)við longum hárum eftir rondini
randreyður	við reyðum rondumel.kantum, reyðrandaður,hann beindi síni randreyðu eygu móti loftinum
randseyma	(á skógvi)seyma sóla fastan fram við rondini
randseymur	(á skógvi)seymur (1) fram við rondini á sóla
ranfa	(plfr.)reinfann,har veksa ranfur
ranga	síðael.flati ið vendir inneftir, innsíða,troyggjan er á ranguni(vendir ranguna út),móts.rætta 1;sms. t.d.blað-
rangaborð	(bát.)bakborð
rangaeystur	(bát.)rangarúm,móts.rættaeystur
rangalær	(bát.)bakborðslær,á rangalæri
rangarendi	(bát.)breiðari endi (1) á rong,(skaldsk.)reisast brot um rangarenda
rangarensl	(stb.)tað at áirnar standa í andarisiel.fúka upp(í nógvum vindi)
rangarhol	(bát.)tríhyrnt hol ímillum rong og stevni
rangarnagli	(bát.)stórur trænagli gjøgnum rongina og út ígjøgnum síðuna(til at festa rongina),hvør rong hevur tveir rangarnaglar
rangarúm	(bát.)eysrúm í bakborðel.bakborðsmegin, rangeysrúm,ein róði í rangarúmi og ein í rættarúmi;sbr.rættarúm
rangasnúður	rangsnúður
rangastrúpi	(lækn.)barki 1,fáa e-t í rangastrúpan1fáa matel.drekka í barkan, maturel.drekka støkkur rangt,hann hostaði, eins og hann hevði fingið okkurt í rangastrúpan2eis.(flutt m.)misfata e-t
rangatoft	(bát.)rongutoft
rangblak	rong hvirla(úr aðrari ætt enn teirri ráðandi),frek rangbløk túta og ýla uppi yvir bygdini;sbr.rangur (6)
rangeyga	1(í binding)rangt eyga2(niðr.)ein ið er rangoygdur
rangeygutur	rangoygdur
rangeysrúm	(bát.)rangarúm(Sv);sbr.rætteysrúm
ranggerð	rong gerð, misgerð,vit mega vísa á ranggerðir teirra og prógva tær
ranghentur	vinstrhentur,hann var ranghentur;sbr.lámur
ranghugsan	(sálfr.)rong hugsan
rangla	ringla
ranglaðin	(bát.)rangt laðin, ov tungt laðin (framman), framsettur(so at báturin stendur framá og kjalarvatnið tí ikki rennur í eystrið)
rangleiki	tað at vera rangur, tað at e-t er rangt
rangliga	rangt, skeivt, av órættum,seta spurning rangliga fram;tit ganga her frá øllum tí, tit hava rangliga fingið
ranglisin	rangt lisin, mislisin,ranglisin orðformur
ranglýsing	rongel.skeiv lýsing, reinging,ranglýsingar og beinleiðis ósannindi rapla úr teimum
ranglæra	rongel.følsk læra
ranglæti	(bíbl.)órættvísi, svik,við ranglætivið svikum
rangmintur	ið minnist skeivt, ið misminnist
rangmynd	1mynd á filmio.tíl.har ið ljóst og dimt eru øvut av frummyndini(nýtt at framkalla eftir)[da.negativ]2(flutt m.)rongel.følsk mynd,frágreiðingin sýndi rangmynd av tí, sum veruliga fór fram
rangnýttur	skeivt nýttur
rangoygdur	ið skeitir,vera rangoygdurskeita
rangsali	(lækn.)rangastrúpi(Sv)
rangsettur	(bát.)sum kjalarvatn ikki setur at eystrinum á, rangstoyttur, ranglaðin
rangsinnaður	1(bíbl.)ólýðin, við rongum sinni,rangsinnaðir eru Harranum ein andstygd2illur, óður,konan mundi fara at verða rangsinnað, um eg ikki hevði fingið so frægt sum til knettafisk
rangsintur	(stb.)treiskur, tvørur, serur
rangskygdur	við rangari áskoðan, trongskygdur,hann bardist móti einari rangskygdari yvirvøld
rangsnúður	(í tvinning)øvutur snúður
rangsnúgva	venda (e-m) upp og niður, snúgva (e-m) øvutan veg, venda á ranguna,rangsnúgva gleðiboðskapinum
rangsnúgvin	ið vendir upp og niður, rangvørgur, avskeplaður, órættvorðin
rangsovari	fólk sum svevur út á dagin og situr uppi út á náttina
rangstaddur	(ítr.)(t.d. í fótbólti)í rangstøðu,málið varð ikki viðurkent, tí leikarin var rangstaddur[en.offside]
rangstoyttur	(bát.)rangsettur,torv og seiður vóru ringur farmur, tí báturin kundi skjótt verða rangstoyttur
rangstøða	(ítr.)(t.d. í fótbólti)tað at leikari á hálvuni hjá mótstøðuliðinum hevur ikki í minsta lagi tveir leikarar millum sín og baklinju tá ið viðleikari sendir honum bóltin
rangsvøvntur	við ólagi í svøvninum,barnið er rangsvøvnt, tá ið ólag er komið á vanligu svøvntíðirnar hjá tí;tey eru vorðin púra rangsvøvnt um jólini(vaka hálva náttina og sova út á dagin)
rangtrúgvin	(bíbl.)við rangari trúgv,rangtrúnan mann skalt tú vísa frá tær, tá ið tú hevur givið honum ávaring eina og tvær ferðir
rangtýða	týða rangtel.skeivt
rangtýðing	rong týðing
rangur	1(sj.)skeivur (2), óbeinur (1);(um mat)støkka rangt(í rangastrúpan),fáa bitan í ranga hálsin2rangvørgur, á ranguni,rangt eyga(í binding),binda rangt og rættføra tráðin fram um stokkin, taka øvut eyga;rangur kalvikalvi svartur vinstrumegin og hvítur høgrumegin3øvutur, skeivur, órættur 2,gjøgnum tann ranga endan á kikaranum4falskur, ósannur, órættvísur,rangur atburður;rangur siður;(kvæð.)níggju gjørdi hann rangar eiðir;gerael.svørja rangan eið;døma rangar dómar;fara við rongumsiga ósatt;sig mær, hvat er rangt og hvat er rætt5í bakborði,á ranga bøgi;sita rangursita í bakborði;(flutt m.)tað er farið langt á ranga borð(av leið, skeivan veg)6(um vind)úr aðrari ætt,rong hvirla;hann liggur rangur(tvørur);kastael.liggja rangt(afturundir);har kastar so rangt útav;hvirlurnar kasta seg rangar oman úr dalsbotninum;skjótt er at kollsigla í rangari glaðu;sms. t.d.kyn-
rangvenda	(stb.)venda á ranguna,hann rangvendi húgvuni
rangverdur	(stb.)rangvørgur,hann plagdi altíð at hava troyggjurnar rangverdar
rangviðaður	(um við)við viðing á tvøran (av fjøl), við skeivari viðing, illa viðaður, tvørviðaður, andviðaður,móts.beinviðaður;(flutt m.)hvør mundi tann rangviðaði krotusmiðurin vera?
rangviður	rangviðaður viður,rangviðurin var flusnaður upp
