P	rómv. taltekn fyri 400
peiggja	1raða uppundan, daga,eingir steyrar stóðu og peiggjaðu á sýnunum2peika, veipa,peiggja við stavinum;peiggja við byrsuni;hon gekk við eini hømiliu og peiggjaði;gakk ikki og peiggja við knívinum
peika	vísa á við (fremsta)fingri(el. e-m ið havt verður í hondini),peika á e-nel.e-t;peika e-m á
peikipinnur	(langur) pinnurel.sprita at vísa á við(t.d. hjá lærara)
peikustoyla	(gl.)genta ið gekk framman fyri brúðarpar í kirkjuna(peikaði við prukku el. sneis har brúðurin skuldi stíga og rak burtur tað illa)(Sv Indb.1143)
peila	1(skip.)miða2máta dýpdel.vætumongdt.d.í tanga3(skemt.)hyggja, skottast,vit fóru bara at peila
peilari	(skip.)tól at peila við
peiling	(skip.)tað at peila(eis. um úrslitið av henni),(flutt m.)hava peiling av e-m(hóming)
peis1	kví osb. sumá tann peis!á tað skil;tað var ein peistað var ein standur(sagt við barn ið t.d. er dottið el. fingið eitt lítið prus)
peis2	(múraður) opin eldstaður;sbr.árnur
peka	(bát.)bátur minni enn tristur, dúsi
peki	1skitið slitið plagg,tú mátti ikki farið í handa pekan2(sj.)peka
pelargonia	(plfr.)slekt av skreytplantum í eldurtarætt(Pelargonium)
peli	steyri
pelikanur	(fugl.)nevstórur suðurlendskur fitjufuglur skyldur súlu(við húðarposa undir nevinum)(Pelecanidae)
pell	(barn.)1ósannindi, lygn2ein ið pellar,eitt pell
pella	(barn.)lúgva, siga ósatt,eg pellaði fyri tær
pelsi	(stb.)leggald stungið við ullel.hoyggj ið neytakonur høvdu um lendarnar undir dyllum, neytaleggald;sbr.pilsi
pelur	peli
pempa	(stb.)1stíga títt og stutt, tita, tøtla, tritla2kradda inn undir seg
penalarhús	(skúl.)pennahúsi
pendul	(alisfr.)lutur sum sveiggjar um punktel.ás
penga-	sms. t.d.-fikka,-mongd,-leysur,-løn,-nýtsla,-rúgva,-skáp;sbr.peninga-
pengagrammur	grammur eftir pengum, peningagrammur, peningakærur
pengagras	(barn.,plfr.)avblómað snjallabjalla(ringlar í fræhylkinum)
pengakassi	kassi til pengarel.við pengum í(t.d. í handli)
pengamaður	ríkur maður, ríkmaður
pengaoyra	(barn.)oyra 3(2)
pengapungur	pungur til at hava pengar í
pengar	1myntir og seðlar nýtt sum virðismát og gjaldoyra (við keyp og sølu)2fltavpengi,30 silvurpengar;sbr.peningur;sms. t.d.brund-,narri-,tarva-
pengaseðil	seðil nýttur sum virðismát og gjaldoyra
pengaspæl	spæl um pengar
pengi	1einstakur myntur 1, peningur,gullpengar;silvurpengar2serst.fltmyntirel.seðlar sum virðismát og gjaldoyra,føroyskir pengar;fáa e-t fyri bíligan penga(fyri lítið og lætt);(ein) stórur pengi(ein) stór upphædd
peninga-	sms. t.d.-flutningur,-flyting,-gerð,-gjald,-grundarlag,-hall,-játtan,-kassi,-kistil,-mongd,-nøgd,-ogn,-rúgva,-sending,-skipan,-skrín,-skuffa,-skuld,-studningur,-stuðul,-stuldur,-støða,-svik,-trongd,-trot,-veiting,-vinningur
peningafalsan	tað at gera falskan pening
peningafalsari	ein ið fremur peningafalsan
peningagirnd	girnd eftir at vinna pening
peningagrammur	pengagrammur
peningagrískur	pengagrammur
peningahædd	(gl.)(peninga)upphædd
peningakærur	pengagrammur
peningaleysur	við ongum peningi, ið vantar pening
peningaligur	fíggjarligur,peningaligur stuðul;hj-liga,stuðla peningaliga
peningaloysi	tað ongan pening at hava, fátækt
peninganeyð	tað at hava ov lítið av peningi,vera í peninganeyð
peningarensl	(búsk.)tann peningur sum er í umfari í samfelagnum,arbeiðsloysið minkaði um búskaparliga peningarenslið, sum so aftur rakti inntøkur landskassans;peningarenslið millum Føroyar og Danmarkgjaldsjavnin millum Føroyar og Danmark(t.e.øll sløg av peningaviðskiftum millum londini)
peningarøkil	ein ið hevur ábyrgd av peningi(í felago.tíl.),kassameistari
peningasavning	tað at savna pening(t.d. til frama fyri hjálpararbeiði)
peningaspell	tað at spillael.oyðsla pening,tíðarspell og peningaspell
peningastovnur	felagsheiti fyri bankar og sparikassar
peningastyrkur	peningaligur styrkur, fíggjarlig hjálp
peningastøði	(búsk.)støðiel.grundarlag undir peningi lands(t.d. gull el. silvur)[da.møntfod]
peningaupphædd	upphædd
peningavirði	peningsvirði
peningseind	mynteind
peningsverk	h3í osb.ikki gera peningsverkgera púrt einki, einki gera til nyttu, letast
peningsvirði	virði í pengum, peningaligt virði,tað er ikki peningsvirði í hesum(púrt einki vert)
peningur	1(samt.)viðurkend virðiseind nýtt við keyp og sølu, pengar,nógvur peningur;hava (nógvan/lítlan) pening um hendur2(einstakur) pengi, myntur 1,gullpeningur;sms. t.d.dag-,egin-,ferða-,grund-,heiðurs-,keyps-,rakstrar-,reiðu-,sakar-,tiltøku-
penisillin	(lækn.)heilivágur vunnin úr serstøkum soppi(Penicillium notatum)
penligur	1(heldur) vakur,ein penligur býur2við góðum og siðiligum atburði, væl vandur,hann er ein penligur drongur;hj-liga,hann er so penliga vandur
pennahúsi	húsi til pennar og onnur skriviamboð
pennaskaft	skaft til at festa stálpenn í(til at dyppa í blekk)
pennasleikjari	(speis.)ein ið fæst við at skriva
pennatekning	(listar)tekning gjørd við penni
pennur	skriviamboð til blekk;Pennur(hundanavn);sms. t.d.fjaður-,fjøður-,fylli-,keldu-,kráku-,kúlu-,lunda-,stál-
pensil	kustur til at mála og smyrja við
pensilvaksin	l26(plfr.)pensilvaksið sáðfangtrevsut sáðfang
pensjonistur	eftirlønarfólk
pensjón	eftirløn
pensjónsaldur	aldur tá ið persónursbrt.lógel.sáttmála kann fáa eftirløn,hækka/lækka pensjónsaldurin
pensla	1smyrja við pensli2(lækn.)rýða heilivág á(t.d.sjúkan blett í hálsi)
pensling	(lækn.)tað at pensla (2)
penta1	tráðurel.stingur (2) at hefta e-t saman við(t.d. sár)
penta2	1hefta saman við pentu 12væla um leirílatel.postalín við at draga tráð ígjøgnum hol í brotunum(og tátta væl);sbr.stifta3seta saman, bjóra (2), spinna upp,penta eina rímu saman;penta lygnir samanpella, lúgva
penur	1vakur, snotiligur, nossligur,nú ert tú penur!(speis.)statt nú, fast taki tær2við góðum atburði, skikkiligur, góður,ver nú penur
pera	1(plfr.)frukt av perutræi2(ravm.)ljóspera;sms. t.d.úti-
pergament	(søg.)skinn til at skriva á, kálvskinn (2)
perik	(stb.)pering
perikum	(plfr.)pirikum
pering	(stb.)tað at mánin er næstur jørðini(og tí harður streymur)(perigæa),móts.ápok
peringarstreymur	(stb.)harðasti streymur, øskustreymur
peringur	pering
perkin	(stb.)pertin,troyggjan er so perkin
perkutórað	(Gj.)við púrasta ongum, oyðið,har var alt so perkutórað(alt avetið)(har ið ein ær hevði staðið undirkavað);nú er so perkutórað á Rákarmiði(steinoyðið, uppfiskað)
perl	(kvæð.)slag av fínum (silki)klæði
