T	rómv. taltekn fyri 160
teking	tað at tekja hús
tekingardagur	(gl.)dagur tá ið hús varð takt(serst. við flagi),tekingardagin vórðu nógvir menn bidnir at grava og bera flag;tekingardagur var ofta eins og hátíðardagur - tey dansaðu um kvøldið
tekingarhálmur	(gl.)hálmur at tekja hús við,har varð sett hólgasáta at hava at taka til tekingarhálm
tekinsveður	(sj.,stb.)herviligt ódnarveður
tekja1	tak 1,tekjan er nýggj, so nú er eingin vandi fyri ríving;sms. t.d.flag-,gras-,hálm(a)-,hjals-,hús(a)-,jarn-,nævur-,tigul-
tekja2	1(húsasm.)leggja tekjuel.tak á (hús),vit taktu við tjørupappi;tekja umleggja nýggja tekju á2breiða útyvir, tyrva,hann takti út yvir grøvina;(skaldsk.)um kavin tekir traðir;sbr.taktur
tekk	viður av tekktræi[en.teak]
tekkiligur	yndisligur, snotiligur,ein varð varur við ein tekkiligan hvítan háls;flogið er lætt og tekkiligt;(kvæð.)hon er so von og tekkilig;(kvæð.)tekkilig var moyggin blíð
tekkja	1varnast, hóma, kenna (langt burturífrá),einki land tektu teir aftur, fyrr enn stavnurin nærum bar í klettin;havið eystanfyri spegilsklárt, so langt eygað tekkir;hann tekkir ánna langt niðri;tey tektust ikki frá grótinum longur;fjórða dagin tektist skip í havinum2tekkjast (e-mel.e-n)kennast við, ikki smæðast(t.d. um barn),hann tekkist ikki mostrini;tað var skjótt, ravnurin tektist mannin;bólkar, ið ikki eru úr somu grind, tekkjast ikki hvør annan;hon fæst ikki at tekkjast í barnagarðinum(trívast)
tekktræ	(plfr.)træ ið veksur í hitalondum(Tectona grandis)
tekkur	1tekkiligur,(kvæð.)bæði er hon von og tekk2(kvæð.)kærur,hon er mær ikki tekk3ikki tekkurikki blíður, ikki dælur,hann var ikki tekkur, tá ið hann frætti tað
tekn	1ábending av e-m slag, bákn,teir skuldu koma eftir honum, tá ið teir fingu tekn2bókstavurel.(skrivað) tal3(málfr.)markatekn,seta tekn(t.e. komma, punktum, semikolon, spurnartekno.tíl.);sms. t.d.marka-,rópi-,spurnar-,spursmáls-,styttingar-,tal-
tekna	1draga upp mynd (við blýanti, penni, kritio.ø.), draga (4), strika 2(2),tekna uppskriva upp, skráseta2seta seg fyri, skriva undir, skráseta,tekna trygging;tekna seg:haldarar kunnu tekna seg hjá ritstjóranum3(gl.,sjóm.)telja lippur,teknað varð hvørja viku(talið uppskrivað)
teknar-	(kvæð.)tignar-
teknari	1ein ið teknar2(teld.)tól ið ger tekning av dátum á pappírel.annað tilfar[en.plotter]
tekniblokkur	blokkur (1) at tekna í
tekniblýantur	(lit)blýantur at tekna við
tekniborð	borð (við linjálum ið kunnu javnsetast allar vegir) til at tekna á
teknifilmur	teknaður filmur(ikki leiktur)
teknigøgn	amboð at tekna við
teknikari	tøkningur
teknikkur	1tøkni2hegnit.d.hjá listamanni, ítróttafólki,hava góðan teknikk
teknindi	(teld.)myndlig framseting av dátum[en.graphics]
tekning	1teknað mynd2tað at tekna (1)3litur (2),firvaldurin er ljósagráur við dimmgráari tekning4tað at tekna (seg), skráseta (seg)5(gl.,sjóm.)tað at telja lippur,vit gjørdu seks tekningar, og sjeyndu viku sigldu vit;sms. t.d.á-,blýants-,húsa-,kol-,penna-
tekningarfreist	freist fyri tekning (4)
tekningarlisti	listi at tekna seg á,tekningarlisti til ársveitsluna liggur frammi
teknirøð	teknisøga, myndasøga
tekniskur	tøkniligur, tøkni-,tekniskur skúli
teknistift	lítil stift við stórum fløtum høvdi(at festa pappír o.tíl. á t.d. undirlag)
teknistova	arbeiðsrúm hjá arkitekti, byggifrøðingio.tíl.
teknisøga	søga søgd í røð av teknaðum myndum(vanl. við teksti afturvið),myndasøga
teknmál	fingramál
teknseting	(málfr.)tað at seta (marka)tekn
teknvilla	(málfr.)skeivt sett tekn
tekoppur	koppur at drekka te úr(heldur víður í skapi)
tekrúss	krúss at drekka te úr
tekst	(sj.)tekstur
teksta	seta undirtekst á,teksta film
tekstabanki	(teld.)savn av teldutøkum tekstum
tekstagreining	(bókm.)tað at greina (2) tekstirserst.bókmentaliga og málsliga
tekstari	ein ið tekstar (film)
tekstarøð	(kirkj.)hvør av teimum báðum røðunum av epistlum, evangelium og kollektum til halgidagarnar í kirkjuárinum
tekstaslag	(bókm.)tekstslag,Sær er siður á landi hjá Rasmusi Rasmussen hoyrir til tekstaslagið, sum vit kalla siðsøgu
tekstbrigdi	avbrigdi av teksti
tekstfíla	(teld.)fíla ið goymir tekst
tekstra	harta, tykta, revsa, tikstra,tey búðu dyr um dyr, so hon mundi mangan hava tekstrað hann;konan tekstraði læraran, og lærarin hevndi seg so inn á børnini;tekstra e-n eftir e-m(biðja, bøna, júka)
tekstslag	(bókm.)slag (7) av teksti, tekstaslag,fagurbókmentir og yrkisbókmentir hoyra hvørjar til sítt tekstslag[da.genre]
tekstuppgáva	(skúl.)(bundin) stílur at skriva við støði í ávísum teksti (el.tekstum)
tekstur	1skrivligt samband av orðum, setningum og pørtum, samfelt ritað mál,ein yrking er tekstur í bundnum máli2(kirkj.)brot úr evangelii sum evni í prædiku;sms. t.d.frum-,prædiku-,sam-,song-
tekstvarp	(sjv.)útbúnaður í sjónvarpstóli ið tekur ímóti sjónvarpaðum teksti(t.d. tíðindum, skráum og lýsingum)
tekstviðgerð	(teld.)tað at skriva og viðgera tekst við teldu(rætta, broyta, flytao.s.fr.)
tekstviðgerðarforrit	(teld.)forrit til tekstviðgerð
tekt	(skaldsk.)sýni (1),gjøgnum toku og kámliga tekt
tel	leyv á korka,telið er tjúkt ljósagrátt og bálurnar nógvar
teld	(teld.)dátuviðgerð við teldu,skeið í teld[da.edb]
telda1	(teld.)ravindatól ið kann arbeiða dátur[en.computer];sms. t.d.egin-,far-,heima-,hús-,móður-,talv-
telda2	(teld.)viðgera við teldu
teldarfrøði	(teld.)teldufrøði
teldarfrøðingur	(teld.)teldufrøðingur, dátufrøðingur
teldil	(teld.)(lítil) tráðleys fartelda við fløtum nertiskíggja,á framsýningini kann ein síggja fartelefonir og teldlar, ið eru vatntættir og virka undir vatni[en.tablet computer]
teldubræv	(teld.)bræv sent við telduposti
teldufløga	(teld.)fløga 1(3) við lesiminni[en.CD-ROM]
telduforrit	(teld.)forrit (2) nýtt í teldum
teldufrøði	(teld.)frøðigrein um teldur og virki teirra, teldarfrøði, dátufrøði[en.computer science]
teldufrøðingur	(teld.)ein ið er lærdur í teldufrøði, teldarfrøðingur, dátufrøðingur
telduhvølpur	(skemt.)lítil roknimaskina at hava í lumma
teldulæra	(skúl.)læra um teldur og teld
teldunet	(teld.)teldur samanbundnar í net (2)(oftast við einum ambætara)
teldupostur	(teld.)postur sendur millum teldur[en.e-mail]
telduskeið	(skúl.)skeið 2(4) í at nýta teldu
telduskipan	(teld.)(stór) samanhangandi eind av tól- og ritbúnaði nýtt í dátuviðgerðt.d.í eini fyritøku
telduskíggi	(teld.)skíggi (2) á teldu
teldusníkur	(teld.)ein ið roynir á ólógligan hátt at fáa atgongd at teldukervi hjá øðrum[en.hacker]
telduspæl	(teld.)spæl spælt í teldu(t.d.ævintýrspæl, talvo.a.)
teldustýrdur	(teld.)stýrdur við teldu,teldustýrd snella
teldutøkni	(teld.)tøkni í sambandi við teldur og teld
teldutøkur	(teld.)(um tekst o.tíl.)ið beinleiðis kann nýtast í telduforriti(er t.d. lagdur inn í dátugrunn),teldutøk orðabók[da.maskinlæsbar]
telduútgáva	bókel.tíl.útgivið í teldutøkari útgávu,móts.pappírsútgáva
telduvirus	(teld.)fíla (el.forrit) ið skapar ólag í teldu(kann í ringasta føri tøma harðdiskin)
telduvørður	ein ið hevur umsjón við teldum á stovni (3)el.virki
telefaks	1skrivlig boðsending gjøgnum telefon,sendael.fáa telefaks2tól til at senda telefaks (1) við,telefaksið er í ólagi
telefaksa	senda telefaksel.við telefaksi
telefon	1tól til samtalur langvegis, røðil, fjarrøðil, máltráður2telefonsamtala,tað er telefon til tín
telefonboð	boð um telefonsamtalu(áðrenn telefon var í hvørjum húsi),fara við telefonboðum
telefonboks	lítið rúm við telefon(til at ringja frá á almennum støðum),telefonklivi
telefonbók	bók við yvirliti yvir telefonfelagar
telefonera	ringja 2(4)
telefonfelagi	fólkel.stovnur (3) ið hevur telefon, felagi (3)
telefonfundur	fundur (1)el.samrøða hildin ígjøgnum telefon millum fleiri enn tvey fólk
telefonkaðal	(jarð)kaðal til telefonsamband
telefonketa	skipan ið ger at boð kunnu berast fleiri fólkum eftir stuttari tíð(ein ringir til tvey sum so aftur ringja til tvey onnuro.s.fr.)
telefonklivi	telefonboks
telefonleidningur	leidningur til telefon
telefonlinja	metaltráður til telefonsamband
telefonnet	kervi av telefonum samanbundnum við kaðlumel.linjum
telefonnummar	nummar á telefon at sláael.snara til at fáa samband við felaga,skriva mær telefonnummarið upp
telefonsamband	samband gjøgnum telefon,tað er einki telefonsamband í dag
telefonsteyri	træsteyri sum ber telefonlinju
telefonstøð	miðstøð í telefonneti
telefonsvarari	sjálvvirkandi tól ið svarar í telefon(kann taka upp boð til felagan)
telefontíð	tíð tá iðt.d.avgreiðslael.viðtala fer fram í telefon
telefonuppboðssøla	fiskauppboðssøla gjøgnum telefon
telefonvakt	tað at telefonstøð vísir á aðra telefon um fólk er burturstatt
telefonverk	(almennur) stovnur (3) ið veitir telefontænastu,Telefonverk Føroya løgtings
telegrafera	fjarrita
telegrafistur	fjarritari
telegrafstøð	støð við telegrafi
telegrafur	1tól til fjarflutning av boðskapi við báknumel.kodum, fjarritil2kervi (2) við tóli, kaðalsneti og støðum til telegrafi
telegramm	fjarrit
telekort	gjaldkort at nýta til korttelefon
telgiknívur	knívur at telgja við,maðurin, sum markar, nýtir vanligan telgiknív at marka við
telgimuddur	(lítil) telgiknívur,Jóannes tekur sín telgimudd og stingur í kalvamønu(í tátti)
telgispónur	tunnur breiður spónur telgdur av viði,skipið varpaðist sum ein telgispónur millum aldubrotini
telgja	evna til við knívi(úr viði),skera burtur av,hann telgdi sær ein bát;tú kanst tynka eina fjøl við at telgja av henni;tá var seiðurin ikki bukaður, men petti fyri petti telgt burturav(turrur seiður etin sum marglæti);hann dugir ikki so frægt sum at telgja pylsupinn(um ein óhegnigan);(tilt.)vera (e-m) hart horn at telgjavera hart hoyggj at draga, vera torvunnin;telgja niður í seg (t.d.kjøt)skera stórar bitar og eta ófantaliga;(flutt m.)telgja tilsnøgga til,hann hjálpti honum at telgja táttin til;sbr.ótelgdur
telja	1finna nøgd av e-m(við at siga tøl á rað),telja pening;telja dagarnar til jóla;tað eru bert dagar at telja, til alt fer(á húsagang);tunt er at telja(lítið);manningin telur 20 mans(er 20 í tali);telja jólini,síjól2nevna tøl í raðfylgi(ofta hart),telja upp í tíggju;eg dugi at telja upp í hundrað3siga frá, fortelja,hon er von at telja søgur fyri børnunum;so er at telja frá, at Kjølur átti átta synir;(kvæð.)Gusti kemur á kvøldi heim, telur av sínum neyðum;(kvæð.)Sjúrður vaknar árla morgun, telur frá sínum dreymi4meta,verða taldur millum teir stóru;á 14 ára aldri vórðu vit taldir millum menn(roknaðir upp í)5rokna, reksa,frá teimum telur hon ættarliðini;telja ættgreina ættina,menn vistu gjølla at telja ætt sína;(kvæð.)frúgvin gat seg við barni ganga níggju mánar taldar(í fullar níggju mánaðir)6hava tal(virði),essið telur ellivu eygu;klokkarastikk er stikk, ið einki telurviðfs/hjtelja fráikki rokna uppí,tá ið einar tríggjar bygdir eru taldar frá;tá ið alt er frátalt;telja niðurtelja aftureftir (frá 10 sek. og niður í 0)(serst. fyri rúmdarferð);telja samanleggja tøl saman, rokna saman;telja uppgera upp tal á e-m(t.d. atkvøðum);sbr.uppteljing;telja upp írokna upp í,døglingur verður ov lítil at telja upp í stórhval;teljast:teir teljast, sum tað kunnu gera(eru fáir);teljandisum kann teljast,tað er ikki teljandi(óteljandi);taldur:honum eru dagarnir taldir har í húsinum(liggur fyri útrakstri);sms.for-
teljari	1(støddfr.)tal í broti (7) sum er oman fyri brotstrikuna(sýnir hvussu nógvar eindir ið nevnarin nevnir);sbr.nevnari2(tøkni)útbúnaður ið telur (1);sms. t.d.fylgis-
teljing	1tað at telja2(gl.,sjóm.)tað at tekna (3), lipputeljing,hann hevur verið bestur hvørja teljing;sms. t.d.fín-,fólka-,lippu-,mis-,saman-,upp-,vøru-
telpa	(sj.,stb.)smágenta,hvat nú, telpa, vil tú læra meg?
telva	1(talv)leika talv (el.sj.damm),vit plagdu at telva damm, men eisini skák;í okkara húsi varð nógv telvt;vit sótu og telvdu;(kvæð.)Magnus hevur við mangar telvt, kongar og so jallar2stríðast, dystast,telvað varð av øllum alvi, og tað er ikki ov nógv sagt, at Javnaðarflokkurin situr við buktini og báðum endum;tað skulu vit telvast um;sms. t.d.ber-,kapp-
telvari	(talv)ein ið telvir, talvleikari,hann er góður telvari
telvi	(lækn.)tablett
telving	1(talv)tað at telva (1)2tað at telva (2),sjálvsstýrisstríðið hevur verið og er ein telving ímillum føroyingar og danir
telvingarfelag	(talv)felag fyri telvarar, talvfelag
tema	1evni (3), umtalsevni,tað var vorðið tema í hansara neyð2(bókm.)úrtøkiligt høvuðsevni sum ein tekstur við øllum sínum motivum endurspeglar,tema er hugmynd, sum lesarin tulkar inn í tekstin við støði í teimum persónum, hann møtir har, lýsingum av teimum og tí, sum teimum er fyri3(tónl.)lagstubbi ið gongur ígjøgnum tónaverk(endurtikið aftur og aftur),selloin tónaði djúpan, temuni komu aftur og aftur
temba	1(bjarg.)draga slakan(so at línan verður tátt),temba á (línuna)2tamba, víðka
temiligur	góður at hava við at gera, lagaligur, spakur,tann seyðurin er so temiligur;temilig ryssa
temin	temiligur,lambið var ógvuliga temið við meg
temingur	(Sa.)tømingur
temja	gera taman, aga,temja villan hest;(kvæð.)so temji eg mín gangara góða;(tilt.)hin gráa temurverðin man brýna (tegel.tykkum)(sagt t.d. við ólátaðar unglingar);seta vit teir í konugildi, so skulu vit teir temja(í tátti);(skaldsk.)tá bát at temja gaman er við stýrisvøl;(ítr.)hann tamdi bóltin(fekk tamarhald á);temja segfáa tamarhald á sær, sissa seg, binda seg, byrgja seg,góðan hug hevði hann at brenna á kokkin, men hann temur seg
temjari	ein ið temur (kríatúr)
temjing	tað at temja (kríatúr)
tempil	tempul
tempra	hava undir aga, temja, stýra;tempra segtemja seg, stýra sær;eg tori ikki at vera einsamøll, men eg má tempra meg til tað;hann dugir at tempra seg, so hann ikki leggur hond á hin;tempraðurlítið framførur, afturhaldin, smæðin
tempul	1(átr.)hús til almenna gudsdýrkan, halgidómur,grikskt tempul;rómverskt tempul2(sjónavn)kirkja
temsa	1temstra2(stb.)temja (ross)
temstra	fáa tamarhald á, hava undir aga,nú var kanska ov seint at temstra dreingin;tú skuldi verið temstraður fyri hatta;hann (t.e.seyðamaðurin) hevði temstrað fylgið(spekt)
temuður	temunnur
temunnur	koppur av te 2(2), temuður, tedussur, munnur (2)
tendra	1fáa at brenna, festa í, kveikja,tendra kertiljós2(ravm.)seta ravmagnið til,tendra ljósið!3(tlm.)gerast illur (knappliga), øsa seg;hann tendraði við fyrsta orðið;hon meylar og meylar, inntil hon hevur fingið hann at tendra;tendra í botnverða í øðini4(stjfr.)(um nýmána)tendrastkoma til sjóndar eins og mjá sigd;sólin (mánin) tendrast
tendrari	eldføri(vanl. at festa sær í sigarett við)
tendring	1tað at tendra2ljósatendring3(stjfr.)tað at mánin tendrar, sólartendring,tá ið 13 tendringar eru í einum ári, skal tað verða illveðursár4(tøkni)útbúnaður til at tendra motor við5í osb.hava góða tendringgerast lætt í øðini, vera snarsinturel.snarpur (3);sms. t.d.leygardags-,ljósa-,mána-,sólar-
tendringardagur	(stjfr.)dagur tá ið mánin tendrar
tendriproppur	(tøkni)lutur (í motori) ið kveikir í brennievnið
tengur	sítong
tenja	1spíla, tamba,tenja jarndeingja jarn(so tað gerst tynri og longri);tenja roðmýkja roð;tenja skinnspenna skinn upp á vegg við seymi(t.d. kópaskinn, kálvsskinn);(skemt.)tenja gæruskinnel.rotuskinngeispa;tenja skriftprenta við lítlum gloppi millum stavirnar,prentaðar við tandum støvum;tenja song (kvæði)syngja song sera seigan, toyggja á,tenjið heldur seinasta tónan í niðurlagnum;tenja út:fitjurnar verða tandar út, tá ið dunnan flytur beinið aftur gjøgnum vatnið;tenjandikeðiligur, leiðiligur2(ítr.)strekkja vøddar eftir íðkan3ganga seigliga,hann tandi seg niðan brekkuna;tenjandi gongulagtað at ganga seint og stíga heldur langan
tenjing	tað at tenja
tenn	sítonn
tenna	arga, øsa,hann ger tað bara til at tenna okkum;tenna e-n uppfáa sinni í e-n, øsa e-n upp,tú tennir meg upp;tennandiargiligur, ótolandi, øsandi
tennast	fáa tenn,(tilt.)hann, ið seint tennist, hann seint mennist;(tilt.)(tann, sum) tíðliga tennist, (hann) tíðliga mennist
tennis	(ítr.)bóltleikur við lítlum bólti ið verður sligin við kettjara tvørtur um net(sum einmansleikurel.tvímansleikur)
tennis-	sms. t.d.-bóltur,-dystur,-kapping,-kettjari,-leikari,-vøllur
tennisalbogi	(lækn.)bruni í sinaslíðrum um albogan(kemur ofta fyri hjá tennisleikarum)
tenorur	(tónl.)1høg mansrødd2maður sum syngur tenor (1)
tentur	1við tonnum (á ávísan hátt),jagldýrini líkjast øll í tí, at tey eru so illa tent;rívan er ótætt tent2(plfr.)við smáum skørðum í blaðrondini;sms. t.d.fín-,grov-,hvass-,ó-,rund-,sag-,skeiv-,tví-
tenøs	ein nøs (5)el.dism av te 2(1),hon hevði eina tenøs í einum pappírslepa
teppa	s91geva (e-m) so fast at ein má tiga, seta (e-n) fastan í orðum, seta (e-n) á knappin, reingja (1.2), málbinda,teppa e-n;eg fekk tept hann;hann hevði munn sum ein rakiknívur og var ikki at teppa;hann varð illa útskeldaður, varð teptur2tippa 1(1),vit kunnu ikki teppa renningina hjá seyðinum
teppi	tjald (1), klæði (t.d.at hava oman yvir sær, á borðiel.gólvi), ábreiða, rekkjuváð;sms. t.d.borð-,ferða-,gólv-,klodda-,seingjar-,ull-
teppur	(Sa.,sj.)tøppur
tepra	1røkkael.nema nett,mánin stóð so stórur og rundur og tepraði á eggini;tað er ikki meir enn brúgvin teprar inn á hólmin;fingrarnir tepraðu júst inn um trepan;tærnar tepraðu í(bóru við);tá ið hann tók hondina um stokkin, tepraðu fingrarnir í sjógvin2knípa,mangastaðni í smábygdum man tepra við at manna eitt kortborð;tað kann tepra at fáa opinekruna pløgda um heystið
tepsast	(stb.)tevsast
tepur	1heldur lítil, knappur, slakur,fólk kendu seg hava teprari útkomu enn áður;málini vóru so tepur(einki út at geva);vit fingu so tepur boð(í seinna lagi)2trongur, terpin,skógvarnir eru ov teprir;hjtepurtuttarlaga,hon hevði lagt seymin so tepurt(við ov lítlum seymsmuni, ov námt);seyma tepurt(ov uttarlaga);standa tepurt(uttarlaga á, speilið, speiliga),set ikki ílatið so tepurt
tepursligur	heldur tepur
terga	(sj.)arga, erta,hann plagdi altíð at terga og pína hann
termokanna	væl bjálvað kanna ið heldur innihaldið heittel.kalt
termorútur	rútur við tveimumel.fleiri løgum av glasi sum eru sett saman við einum afturlatnum rúmi ímillum(sum bjálving)
terna1	(fugl.)hvítur strandfuglur við svørtum knokki(Sterna paradisaea),ternan er tykkin fuglur;(tilt.)sum terna skjýtst á egg(um t.d. stuttan steðg);steðgar ikki, heldur enn terna skjýtst niður á egg(ger stutt av, er skjótur avstað aftur);sbr.knokksvartur;sms. t.d.fransa-
terna2	1konufólk ið borðreiðir fyri fólki á skipiel.flogfari[da.stewardesse]2(kvæð.)tænastugenta,Margata sendi sína ternu á síns faðirs fund;sms. t.d.flog-
terningaspæl	(spæl)(eydnu)spæl við terningum (1)
terningur	1(spæl)ferhyrntur kubbi við javnstórum síðum og øllum hornum 90° og við eygum (12) frá 1 til 6(oftast nýttur til leik og lutakast),kasta terningar;(kvæð.)teir kastaðu terning á breiða borð2sukurterningur3(støddfr.)rúmmynd eins og terningur (1) í skapi
ternubøga	terna av kvennkyni
ternubøli	bøli (1) hjá ternu
ternudimmi	tann løtan um dimmið tá ið ternan tigur;(flutt m.)hatta klárar ikki at vaka eitt ternudimmi(stutt bil);at vera her eitt ternudimmi, tað skuldi eg kunnað
ternuegg	egg undan ternu
ternugøla	(stb.)ternusnertur,tað verður ikki frægari, fyrr enn ternugølan hevur verið
ternukrian	krian
ternumurtur	(fisk.)lítil seiðamurtur(føði hjá ternum)
ternupisa	(fugl.)pisa hjá ternu
ternureiður	reiður hjá ternu
ternusker	sker har ið terna vanl. situr
ternusnertur	illveður (við kulda) um tað mundið tá ið ternan kemur, ternugøla, halvarðsøkusnertur
ternuungi	ternupisa
ternuvarp	(sj.)ternubøli
terpa	1(skúl.)kýta seg til at nema lærdóm2tvinga, revsa(Sv)
terpin	trongligur, pertin, pretin (3), tepur,klædningurin er so terpin uppi á honum, sum hann er fitnaður;tá ið kúgv hevur gallsótt, verður húðin so terpin
terpintin	(evnafr.)sevja (av harpeisi og loftkvæmari olju) í viði á nálatrøum
terpintinolja	(evnafr.)loftkvæm olja vunnin úr terpintini
terra	liggja við terra,hann terrar enn;(flutt m.)hann terrar enn(heldur á hóast sjúku el. ellibrek)
terraár	ár 2 til terra,gott/ringt terraár
terrabrestur	1ljóðel.brestur í luftini ið boðar frá terra;sbr.fjørubrestur2(skemt.)fretur,hatta vóru terrabrestir3(skemt.)klamsandi mussur
terradagur	dagur við terra
terradropar	lítið ælel.stakir regndropar í terra,tað munnu vera terradropar
terragrómur	grómur 1(2) á luftini ið boða frá terra
terrakvistar	(stb.)terragrómur
terraluft	luft ið boðar frá terra
terraløta	løta við terra
terranóðrur	terragrómur
terrapláss	pláss ið er gott/vánaligt til terra,gott terraplásspláss har ið góður terri er(serst. til hoyggj og torv)
terrastund	terraløta
terraveður	veður við terra
terraætt	ætt til terra,norðan er góð terraætt í Nólsoy
terri	1turt veður (við sól)2líkindi at turka hoyggj, fisk, kjøtel.torv,bráður terri(tornar skjótt);linur terri(tornar seint);góður terrigóð líkindi at turka;heingjael.leggja til terra(til turkingar);heingja hosur til terra(t.d. við ovn);um krovið ikki nyttaði at heingja til terra, varð tað kókað og etið feskt;vera seinur fyri terranumtorna seint,hetta verður seint fyri terranum(t.d. um tøðugras);torvið er seint fyri terranum;vera skjótur fyri terra(num)torna skjótt,fiskurin verður við næstu turking skjótur fyri terra;klæðini eru skjót fyri terranum3turrur (og sárur) blettur í hálsinum,eg havi havt ein terra í hálsinum í nakrar dagar;sms. t.d.avlops-,bjarn(a)-,brenni-,fiska-,gása-,grýlu-,hoy-,kjøt-,klædna-,kópa-,ó-,stakkala-,torv-,veturnátta-
terribrestur	(stb.)1terrabrestur (1)2stutt løta við sól, terraløta,hetta verður bert ein terribrestur
terridagur	(stb.)terradagur,tað verður helst ein terridagur í dag
terridropar	(stb.)terradropar,(skemt.)kann eg fáa ein terridropa frá tær?(ein snaps, ein lítlan)
terrin	(stb.)terrutur,onnur ærin var meira terrin enn hin
terripláss	(stb.)terrapláss
terriætt	(stb.)terraætt,lágættirnar eru bestu terriættir har norðuri;útsynningur er besta terriætt í Norðuroyggjum
terrutur	1rak, skrámutur2snøggur um hálsin av tí at broddurin er tyntur (av elli), brendur um hálsin,tá ið ær varð terrut, var hon komin til avdeyðaár
tersur	(stb.)1ring reiggj 1(serst. av sjúku),strik 1,hatta var tær ein verri tersur, stakkalur;hann helt tersin út2stríð, toyggj,eg hevði sovorðnan ters av hasum
terta1	1botnur (av køkudeiggi) við frukt omaná2bakstur (av tertudeiggi) við fyllu av ymsum slag
terta2	tertur
tertl	(stb.)gørtur (1)
tertla	(Suð.)flogsut genta, flogsa, skóka
tertlingur	1gørtur (1), strøttlingur (1);sbr.tartl2lítil fiskur, grell, smáfiskur (av toskaslagi), strøttlingur (2),vit fingu bert nakrar fáar tertlingar3lítið neyðarsligt fólk, píningur4(stb.)lítið lamb, neisti (2)5lummafløska, pisa,hann tekur ein tertling niður undan troyggjuni og leskar seg afturvið
tertudeiggj	deiggj av mjøli, smøri og vatni(til tertu)
tertur	gørtur (1), tertlingur (1);sbr.tartl,tertlingur
terunnur	(plfr.)veturgrønur runnur(við bløðum ið verða turkað til te)(Thea sinensis)
terva	møða, pøsa, lúgva,nú mást tú ikki terva teg!;illa tervaðurtuskaður, úttervaður, útlúgvaður,teir vóru illa tervaðir, og svøvnurin tyngdi teir
tesíla	síla til at skeinkjael.trakta te 2(2) ígjøgnum
tesk1	tað at teska, tutl, teskan,hava tesk og flenn fyri;høvdu tey ikki hoyrt tesk um, at so var?
tesk2	sms.tadda-
teska	tosa ljódliga, tutla, lurta (2), lýða (3),kom! teskar hon bráðan;áarstreymurin, sum tutlandi og teskandi gleið ímóti honum;(skaldsk.)tungt teskar náttin
teskan	tað at teska, tesk,eg hoyrdi sovorðna teskan, tá ið eg kom inn til teirra;tutlan og teskan
teskari	(sjónl.)ein ið teskar til sjónleikarar (til at minna á gloymd orð í tilsvørum)[da.sufflør]
teskeið	1lítil skeið (til at røra í te-el.kaffikoppi við)2innihald í teskeið (1),ein teskeið av salti;ein hálv teskeið av kardamummu
teskvatl	veikt te, skvatl (2)
teslettur	lítil og hálvvánaligur temunnur
tespaður	(stb.)møddur, pøstur
tespiligur	sms.ó-
tespónur	teskeið
tess	sítann 2
tessa	(Sa.)lappa (1), stikla,tessa smásteinar
tessast	(stb.)(um bát)javnan vera á einari leið,ein bátur, ið rør altíð somu leið, tessast altíð har
tessámillum	ímeðan
tesslíka	á sama hátt, somuleiðis
tessvegna	av teirri orsøk,jarðarmóðir var eingin, og plagdi hon tessvegna at vera nærkona
testamenti	1(bíbl.)Gamla testamentibíbliubøkur frá tíðini fyri føðing Krists;Nýggja testamentibíblubøkur frá tíðini eftir føðing Krists2(løgfr.)arvaskjal, arvabræv
-tet	síill-
tett	tøtt!
tetta1	gera tættan, tætta,tetta lekataka leka burtur;tetta rivu;tetta borðrivu;teir hava tett við sementi;fyrr blandaðu teir øsku og mykju at tetta fjósveggir við
tetta2	tøtta,tetta tær!(sagt við kúgv til at fáa hana at standa stilla)
tev	tevur;sms. t.d.branda-,snodd-
tevatn	te 2(2)
tevgluggi	(fisk.)nasagluggi á fiski
tevgóður	sum rýkurel.luktar væl,roykurin kemur honum so tevgóður upp í nøsina
tevgøgn	(lívfr.)(yrkis)gøgn at tevja við
tevhundur	hundur ið er vandur at tevja slóð, sporhundur
tevi	(sj.)tevur,ein tevi av røstum kom honum fyri nasarnar
-tevin	síein-
tevja	nýta tevsansin, lukta (1), snodda,tarvurin reisti høvdið og tevjaði;hann(t.e. bóghvítuhvalurin)er farin at tevja mannakjøt;tevja land(í mjørka)kennat.d.tararoyk hóast land ikki sæst
tevkykna	(lívfr.)kykna í tevgøgnum(ovast í nasarovuni)
tevnerv	(lívfr.)nerv frá tevgøgnum til heilan, luktnerv, royknerv
tevsa	pøsa,hon fekk tevsað tarvin(lúgvað, tamt);tevsast1(um kríatúr)møðast (og spekjast),hann man skjótt fara at tevsast(um t.d. kálv, veðr);lombini vóru longu nakað tevsað2gerast meiri viðeiriligur, sissast,drongurin er tevsaður nakað;tey munnu fara at tevsast3fara at mettast,nú fer barnið brátt at tevsast;skjótt tevsaðust vit og løgdu frá okkum4(um veður)blíðka, batna,nú man hetta veðrið fara at tevsast
tevsamur	1við góðum tevsansi,tygum eru so tevsamur;kvígan er so tevsom;hundur er tevsamur2ið hevur ringan roykel.lukt,sum hatta er tevsamt3ið lættliga tekur lukt í seg, fær atsmakk,mjólk er so tevsom
tevsansur	evni at tevja, luktsansur
