u	(málfr.)sjálvljóðsstavur (nevndur[u:])
ullarklæði(r)	(sj.)ullint klæði, ullklæði,matmóðirin kom við fullum føvningi av ullarklæðum
ullarknýti	1knýti (1) við ull2samanvundnir karðavillar, knýti (2)
ullarkona	1(søg.)kona ið ferðaðist um at bidda ull2(plfr.)avblómað hagasólja, neytakona (3)(Taraxacum)3(plfr.)mýrifípa4(fugl.,stb.)lundapisa við dúni5(Hvlb.)mánasjúka,nú er ullarkonan komin upp á besøk
ullarlagdur	(lítil) doddur (3) av ull, digla (2), nispa, lagdur 1
ullarleypur	leypur til at bera ull í,tveir stórir leypar vóru at bera várullina í av rættini
ullarlíki	evni líkt ull(t.d.reion)
ullarmeis	meis (1) til at turka ull á,hárið er sum ein ullarmeis(tjúkt og ývið)
ullarnet	net(posi) at bera ull í av rættini(við rykkingarbandi um kjaftin),í royting høvdu menn ullarnet við sær at bera ullina heim í
ullarnevi	upp í nevan av ull,tey komu til handilsmannin við einum ullarneva í fyriklæðunum
ullarnipil	lítil ullarlagdur, ullardigla
ullarnippa	(sj.)ullarnispa
ullarnispa	lítil ullarlagdur
ullarnípa	lítil ullarlagdur, ullarnispa
ullarnót	nót gjørd úr ullintum tráði,ein ullarnót varð gjørd úr broddi og spunnin á handsnældu
ullarposi	posi við ull
ullarprísur	prísur á ull
ullarríkur	við nógvari og góðari ull,ullarríkur seyður
ullarrokkur	karðavilli (2),vit rokkaðu tað saman í ullarrokkar
ullarroyting	áseyðaroyting,í ullarroyting
ullarrúgva	rúgva av ull(á rættini)
ullarsaksur	stórur saksur at klippa ull av seyði við
ullarsekkur	sekkur við ull, ullarposi
ullarslag	slag av ull
ullarstrýggja	strýggja av grovari ull
ullarstúka	ullint stúka(Sv)
ullartagl	(stb.)ull á halanum á krovi;sbr.tagl
ullartálg	ullarfiti
ullartíggjund	(søg.)tíggjund av ull, ulltíggjund,ullartíggjundin varð avtikin í 1908
ullartjóvur	ein ið hentar lesull uttan loyvi
ullartoddi	(stb.)ullarlagdur, toddi (1)
ullartógvi	tógvi
ullartóvi	ullartógvi
ullartvigil	(stb.)stórur samanfløktur ullarlagdur
ullarvág	vág 2(1) (t.e.o.u.18 kg) av ull
ullarvøttur	ullintur vøttur
ullast	(um ullint klæði)gerast loðin (av ull ið kemur framúr), ulnast,at dúnnappa er at nappa so fínt, at plaggið ullast
ullband	1band av tvey-el.trítráðaðum tógvi at leiða seyð við, ullarband, ulltog2neytsband av ull
ullbrekkari	1serliga grovur karði nýttur í staðin fyri tókambar(at ríva tógvar sundur við)2beinkjarkarði
ullfakt	(Suð.)ullferð
ullferð	(um dýr)tað hvussu ullin er skikkað, ulling,neytaslag við lodnari ullferð
ullfríður	(um seyð)við vakrari ullferð, ullprúður,ullfríður seyður;eitt sera ullfrítt lamb
ullgarn	ullint garn
ullhærdur	(plfr.)við longum, mjúkum, purlutum og samanvavdum hárum
ulling	ullferð,ullingin er óføra tøtt
ullintur	(um klæði)av ull,ullint klæði;ullintar hosur
ullkarði	karði
ullklæði(r)	ullint klæði,lata seg í ullklæði(r)
ullmetta	metta 2 av ull
ullprúður	við góðari tjúkkari ull, ullfríður,ullprúður seyður;ullprútt lamb
ullrísin	(um seyð)við ljótari rísnari ull
ullsjal	ullint sjal,eitt lætt ullsjal hekk um herðarnar
ullsnøri	(gl.)heimagjørt snøri av ull,ullsnørini tognaðu illa og vardu ikki leingi
ullstøði	(Suð.)leivdir av ull ið liggja eftir deyðseyða,ullstøði av deyðseyða
ullteppi	ullint teppi
ulltíggjund	(søg.)ullartíggjund
ulltog	ullband, ullarband
ulltóvi	tóvi av ull
ulltráður	ullintur tráður
ulltroyggja	ullint undirtroyggja
ullvirki	spunavirki
ullvirkishús	(sj.)ullvirki
ulnast	ullast(Sv)
ulpa	tjúkkur væl fóðraður frakki við hettu, úlpa
ultraviolettur	(um ljós)sum hevur so stutta bylgjulongd at tað ikki sæst við berum eygum(liggur millum røntgengeislar og tann viólbláa endanum á teirri sjónligu litbráini)
um1	1uttan um, íkring, umkring, kring um, rundan um, runt um,dansa um jólatræið;hava reim um miðjuna;binda um fingurin;runt um borðið;takael.tríva um e-t2við leið ígjøgnum,nógv fólk ferðast um flogvøllin;leiðin lá um Fútaklett;inn/út um dyrnar3á ávísumel.avmarkaðum øki,ganga (runt) um gólvið(aftur og fram);um allar bygdir;fara vítt um landið4yvir um (hinumegin),sigla um nesið;rógva um tangan;fara um hornið;tað rekur um mánan5tvørtur um,um fjørðin;um ánna;detta um ein stein;detta um seg sjálvan(um e-n ið er klombrutur);komin um tað ringasta(t.d. í batning, vunnið á størsta vandanum)6í hópi, tætt samano.tíl.,hvør um annan;lið um lið;vit fylgdust borð um borð úteftir,síborð7(um tíð)ávísa tíð, so leingi sum e-t varirel.tá ið e-t fer fram,um náttina;um dagin;um kvøldið;um summarið;um jólini;um somu tíð;1000 kr. um mánaðin;eina ferð um dagin;tvær tablettir um dagin(dagliga);dag um daghvønn dag8(um tíð)eftir ávísa tíð,um ein mánað;um eina løtu;um nakrar dagar9(um tíð)longri enn, fram um,tað leið út um mikkjalsmessu;tað var farið um midnátt;hon var farin um 90 ár(vorðin eldri enn 90)10um leið, okkurt um,um hundrað mans;um tíggju ára aldur11við atliti at (e-m), viðvíkjandi (e-m),tosa um e-n;tað eru nógvar søgur um hann;dysturin um fyrsta plássið;teir atkvøddu um uppskotið;ótti kom á fólk um bátarnar;hvat veitst tú um tað?;teir vóru fleiri um arbeiðið;lata seg úr um beinini;tað var einki um hann(fáligur);vera óður um e-t12á, eftir(um t.d. likamspart),vaska sær um eyguni;kína e-m um ennið;hvítur um hálsin13(saman við hj)fram um,sífram;niðan umlongri niðan enn,niðan um bøgarðarnar;oman umlongri oman enn,oman um húsini;yvir um:hann fór yvir um ánna;yvir um fjørðhj141umkring, í kring, kring um,fara víða um;har er so ringt um(illgongt, brattlento.tíl.);tað er vátt umlendið er vátt2av nýggjum,skriva e-t um;gera e-t um aftur15(fs/hj saman við sagnorði)t.d.biðja um;brýggja seg um;bøta um;galda um;halda um;hálsa um;hugsa um;kenna um;leggja um;reika um;ríva um;røða um;spyrja um;tala um;vera um(sísagnorð)
um2	1við teirri treyt at,eg komi, um eg sleppi;um so er, at...er so, at...;(kvæð.)um ennumenn2hvørt, enn 3(sum inngangsorð í óbeinleiðis spurnarsetningum)spyr hann, um hann veit tað;vita, um tú sært nakað;hann spurdi, um eg tímdi3hóast, tó at,minnið livir, um maður doyr
umaftur-	eina ferð enn, av nýggjum,sms. t.d.-bygdur,-gjørdur,-skrivaður
umbera	1taka útyvir við (e-m), orsaka, fyrigeva,vit eiga at umbera næsta okkara2bera seg undan,teir umbóru seg ikki fyri øllum tí starvi, ið her var;teir tóku allir at umbera seg3hava sum undanførslu,umbera seg við e-m;vit kunnu ikki umbera okkum við tí, at...4[-ˈb-]í osb. sumtað umber seg ikkiel.tað umberst ikkitað slepst ikki undan;tað kundi ikki umberast, at hann fekk at hoyra allar hesar søgur;fuglurin umber seg ikki við teimum greiðum, teir hava núfuglurin fær ikki frið fyri byrsumonnum
umbering	tað at umbera, fyrigeving,biðja um umbering (fyri e-t)
umbermis	ummáls
umbersla	umbering
umbiðin	ið biðið er um,hann var so umbiðinnógv bóðu hann gera arbeiði fyri seg, hann var nógv eftirspurdur
umbiðing	tað at biðja um, umbøn
umbiðjari	(sj.)umsøkjari
umbind	(stb.)hoybendil snaraður um ovasta tráð á turkilag(at ikki skal fúka so illa burturúr og at forða vætu at seta niður ígjøgnum)
umbinding	1tað at binda um2ál av klæði at binda umt.d.sár, umvav, bind (1), bindi (2)
umbjálving	innpakking
umboð	1álitisstarv litið e-m til vegna annan, heimild, fulltrú,kongur gav honum umboð at koyra prestar úr embæti;hann fór, so sum umboð hansara var, út til fremmanda skipið at krevja akkerspening;hann fær honum í umboð at geva tí enska konginum skipið2ein ið er valdur at umboða annanel.onnur, umboðsmaður,felagið sendir eitt umboð á fundin;umboð fyri politisku flokkarnar;føroysku umboðini í Norðurlandaráðnum3rættur at selja ávísa vøru(í heilsølu),umboð fyri Ford í Føroyum4søluumboðsmaður
umboða	vera umboð fyri,umboða eina bilverksmiðju;sbr.umboð (3);hann umboðar flokkin í stýrinum;ríkisumboðsmaðurin umboðar donsku stjórnina í Føroyum
umboðari	ein ið umboðar (e-n/e-t), umboðsmaður
umboðsbræv	(søg.)brævel.skriv ið gevur e-m umboðel.heimild(at gera e-t vegna annan)
umboðsfulltrú	(búsk.)fulltrú til at gera e-t (t.d.skriva undir) vegna annanel.onnur[da.prokura]
umboðsfulltrúi	(búsk.)ein ið hevur umboðsfulltrú(einsamallurel.saman við øðrum)
umboðsjørð	jørð ið ein hevur í hondum fyri annan
umboðsmaður	1maður við umboði(at gera e-t vegna annan el. onnur),umboð (2), sendimaður, fulltrúi,felagið sendir ein umboðsmann á fundin;umboðsmaður fyri donsku stjórnina;ríkisumboðsmaður;løgtingsins umboðsmaðurløgfrøðingur ið hevur eftirlit við at tað almenna heldur galdandi lógir og reglur2maður ið hevur rætt at selja ávísa vøru3(gl.)maður ið hevur jørð í hondum fyri annan
umboðsmannafundur	fundur við umboðum fyrit.d.felagsskapir, partafeløg, bankaro.tíl.(sum millumliður millum limir (parteigarar o.s.fr.) og nevnd/stjórn)
umboðsmannating	(stjm.)onnur deildin í tjóðtingum í summum londum,umboðsmannatingið í USA;sbr.senat (2)
umboðsnevnd	umboðsráð
umboðsráð	ráð (2) við umboðum fyrit.d.felagsskapir, partafeløg, bankaro.tíl.(sum millumliður millum limir, parteigarar o.s.fr. og nevndel.stjórn)
umboðsstjórn	(gl.,stjm.)(lands)fyrisiting
umboðsstova	stovnur (3) ið umboðar eitt land uttanlendis
umboðsstovnur	1almennur stovnur ið hevur eftirlit við at tað almenna heldur galdandi lógir og reglur,ætlanin við einum umboðsstovni er, at hann skal vera ein trygd hjá vanliga borgaranum móti skeivum avgerðum í umsitingini2fólkavald umboð,tað er bara gjøgnum sín demokratiska umboðsstovn, Føroya Løgting, at Føroya fólk kann seta eina grundlóg í gildi fyri Føroyar
umboðssøla	søla hjá umboðsmanni (2), rættur hjá umboðsmanni (2) at selja vegna annan (t.d.fyri handilsfelag)
umboðsvald	(løgfr.)1vald sum umboð hava í hondum fyri onnur2útinnandi vald,lóg um umboðsvald Føroya(um landsstýri við løgmanni sum formanni og tveimum el. fleiri landsstýrismonnum)
umborð	áel.í skipi, bátiel.flogfari,vera umborð;fara umborð;umborð áel.í skipi
umbót	tað at bøta um, umvæling, ábót (1)
umbótamaður	ein ið fremur umbøtur
umbótastevna	stevna í verkamannarørsluni fyri líðandi umbótum í lívskorum og ikki kollvelting[da.reformisme]
umbrot	(prent.)tað at bróta um (tekst)
umbroyta	broyta, gera um
umbroyting	(bíbl.)broyting, umskifti
umbróting	(prent.)umbrot
umbundin	ið bundið er um,við umbundnum høvdi
umburðarlyndi	tað at vera umburðarsamur, umburðarsamt lyndi, tollyndi
umburðarsamur	ið fatar og góðtekur øðrvísi hugsandi, ið sýnir umbæri við øðrum, tollyntur, umbæriligur,hann er umburðarsamur og roynir at fata tey, ið hugsa øðrvísi enn tú sjálvur
umbúnaður	umbúni
umbúni	tað at hava í hyggju (at gera), ætlan, fyrireiking,tað er í umbúna;hava e-t í umbúna
umbúningur	fyrireiking
umbygdir	bygt økiel.bygdir uttan um bý,úr umbygdunum inn í býin
umbygging	tað at broyta hús, bygningel.tíl.
umbýti	tað at býta um, býti,eg fekk tað í umbýti;um ikki til støðugt brúk, so til umbýtis(at skifta við)
umbæri	tað at hava tol (við øðrum), tað at tola (onnur), tol, tolsemi,hann hevur ikki umbæri at sita longur(bindindi);eg havi ikki umbæri til at liggja í seingini longur;eg havi havt umbæri við tykkum til henda dag;Harrin hevur umbæri og mikla miskunn;sýna tol og umbæri
umbæriligur	ið sýnir umbæri(við øðrvísi hugsandi),umburðarsamur,hann var umbæriligur og manngóður kongur
umbærisleysur	ið ikki hevur umbæri við øðrum, ið ikki fatar øðrvísi hugsandi
umbøn	tað at biðja um (e-t), umsókn,hann hevði tveir bátar í umbøn í løtuni(um bátasmið ið biðin var at smíða tveir bátar)
umbøting	tað at bøta um, bati, bót, ábót, umbót, umvæling, viðbøting,bókin varð prentað við nøkrum umbøtingum
umdrag	(stb.,gl.)tol, umbæri,nú havi eg ikki umdrag við hatta longur(sagt við eitt ið var treiskt og ikki vildi gera sum tað var biðið)
umdystur	(ítr.)nýggjur dystur spældur eftir dyst iðt.d.er endaður við javnleiki
umdømi	1(avmarkað) starvsøki hját.d.embætismanni, fyrisitingarlig eind2tað at vera gitin fyri e-t, ágiti, ámæli (2),gott/vánaligt umdømi
umdømisvaldur	(stjm.)valdur á ting í fyrra umfari (í útrokningini) í valdømi, valdømisvaldur,nú eru 27 umdømisvaldir løgtingsmenn;sbr.eykavaldur
umenn	hóast, sjálvt um, um enn,(kvæð.)umenn hann siglir í fimtan vetur, skortar hann ei slíkt
umfar	jøvn røð kring um e-t1(í binding)røð av eygum (6) um alt plaggið2(bát.)røð av bátaborðum3røð av gróti í laðaðum veggi,tað niðasta umfarið var 20-24 tummar á breidd, tað ovasta 14 tummar4atløga (2), høvi,eg skuldi bent hann niður í fyrsta umfari;í fyrsta (øðrum) umfari;í fyrsta umfari vunnu teir sakina5umfarssjúka,hann fekk eitt umfar6umferð (3),silvur var tá eisini í umfari
umfarast	fara hvør fram við øðrum uttan at møtast,bátarnir høvdu umfarist á vegnum
umfarssjúka	(lækn.)sjúka ið gongur, smittandi sjúka, umfarssótt, farsótt
umfarsskriv	skriv sent út til fleiri fólk(t.d. frá nevnd til limir í felagsskapi)
umfarssótt	(lækn.)umfarssjúka
umfata	fata um, fevna um
umferð	1ferð (1) kring um e-t, ringrás, ringferð,umferð mánans um jørðina2tað at fara umt.d.ávíst øki,prestur var á umferð3tað at vera í nýtslu millum manna(t.d. um pening),falskur peningur er í umferð
umferðartíð	(stjfr.)tíðin sumt.d.jørðin gongur kring um sólina eina ferð
umferma	endurferma
umferming	endurferming
umfígging	(búsk.)tað at umfíggja
umfíggja	(búsk.)broyta afturgjaldstreytirnar fyri láni(gera tær lagaligari o.tíl.),umfíggja lán;sbr.endurfíggja
umflokka	flokka á ein nýggjan og øðrvísi hátt(serst.í smb. viðlønarflokking),tikið verður ikki undir við at umflokka starvið frá 36. til 37. lønarflokk
umfram	(sj.)umframt,bert tveir (risar) liva eftir umfram kellingina(FFÆ257)
umframt	1fsaftur at, í viðbót,umframt alt hetta;umframt maðkar etur hann mýs2hjframíhjá, harumframt,søkið fyrst Guds ríki, so skal alt hetta verða givið tykkum umframt
umgangast	1koma saman við,fólk, sum hann umgongst2sleppast undan,tað umgongst ikki3umfarast,vit umgingust4(stb.)fara illa við
umgangslærari	(gl.)ferðalærari
umgangsskúli	(skúl.,gl.)skúli sum ferðalærari røkti(í ávísum húsi í hvørjari bygd)
umgangur	1(tlm.)avsmurningur, skortfleingja,hann fekk ein ordans umgang2(gl.)tað at flyta (e-t) ímillum fleiri støð, tað at vera til skiftis hjá fleiri,skúlin varð hildin upp á umgang í teimum ymsu húsunum(til skiftis);summi fóru upp á umgang í kommununi3bjóða ein umgangkeypat.d.ølel.brennivín til øll(sum sita við sama borðel.eru inni á sama vertshúsi)
umgerð	1(húsasm.)e-t sum er uttan um e-t(t.d. vindeyga, skorstein o.tíl.),ramma 1, karmur (1),stór rundbogað vindeygu við gulari umgerð[da.inddækning]2umskifting, broyting,lívrunnin evni, sum eru í umgerð
umgirdur	girdur við e-m, við e-m uttanum,húsini vóru umgird við garði
umgjørð	(bíbl.)umgerð (1)
umgonga	1tað at ganga kring um e-t,hann gjørdi eina umgongu runt um alla oynna2tað at ganga um á fjalli3umgangur (3),hann gekk til umgongu(ómagi, var hjá ymsum til skiftis)
umgongumaður	maður sum gongur um á fjalli
umgrein	umhvarv,hann tekti í hálvamyrkrinum umgreinina av henni
umgreining	umgrein,umgreiningin av Sandoynni ók seg fram úr myrkrinum
umgyrdur	gyrdur við e-m
umhang	tjald (1) fyri koyggju
umheimur	heimurin kring e-n,samband Føroya við umheimin(við onnur lond);umheimurin fær ein myrkan og kargan dám(kringumstøðurnar)
umhildin	1avhildin, dámdur,nógv/lítið umhildin2(um fisk)ið hevur verið í kjaftinum á øðrum fiski, við sjónligum merki eftir tonnum,handa brosman er umhildin3(stb.)visaligur,hann sær so umhildin út4(sj.)við barn, upp á vegin
umhugi	(sj.)umhugsan,torvið hevði hann umhuga fyri at røkja og fáa til hús
umhugsan	tað at hugsa (seg) um, vandni, nærlagni, ansni, fyrilit,arbeiði, ið krevur góða umhugsan;hann hevði umhugsan fyri bátinum;velja við umhugsan;hava ein spurning til umhugsanar
umhugsin	ið hugsar seg væl um, ið hevur fyrilit, ansin,hon var so umhugsin við børnunum;hann var stórur og raskur, men umhugsin og røkjutur var hann ikki
umhugsni	tað at vera umhugsin
umhvarv	linja ið sýnir útmark á e-m(ímóti tí sum uttan um er),útlinja, grein 1(9), umgrein, sjónargrein,umhvarvið av húsum hómast í myrkrinum;umhvarvið á fjøllunum
umhvørvi	umstøður (t.d.samfelags- og náttúruviðurskifti) sum ein livir í, tað ið er kring um e-n, kringumstøður(serst. um ávirkan teirra á fólk, dýr el. plantur)[en.environment,da.miljø]
umhvørvis-	sms. t.d.-felagsskapur,-flokkur,-kanning,-lóg,-skip
umhvørvis	1ummáls,eitt hjól er umhvørvis 3 m2í umhvørvinum, uttanum,her umhvørvis3fsí útryðjuni á, uttan um,fáa jørð umhvørvis Havnina
umhvørvisdálking	dálking av náttúruni(frá ídnaði o.tíl.)
umhvørvisgjald	avgjald til tað almenna á tænastum og vørum ið skaða umhvørvið,eitt serligt umhvørvisgjald skal nú leggjast á alla smyrjiolju, ið verður innflutt til landið
umhvørvisgóður	góður fyri umhvørvið
umhvørvisligur	viðv. umhvørvinum,umráðandi er at hugsa um ta umhvørvisligu ávirkanina, sum nýggj vegagerð hevur á náttúruna;hj-liga
umhvørvismál	(stjm.)málel.viðurskifti viðv. umhvørvi
umhvørvismálaráð	(stjm.)stjórnardeild ið hevur umhvørvismál um hendur
umhvørvismálaráðharri	(stjm.)ráðharri ið situr fyri umhvørvismálum
umhvørvistiltak	tiltak til tess at verja umhvørvið og náttúruna,umhvørvistiltak verður á støðuplássinum á Skálatrøð, har ið kommunan fer at seta upp eina kvørn at mala greinar
umhvørvisvernd	tiltøk at verjael.(endur)bøta umhvørvi og náttúru fyrit.d.dálking(t.d. frá ídnaði),náttúruvernd
umhvørvisvinarligur	ið fer væl við umhvørvinum, ið ikki oyðileggurel.dálkar umhvøvið,umhvørvisvinarligur politikkur;skúlin skal brúka reina orku og vera so umhvørvisvinarligur sum gjørligt
umhyggin	ið hugsar (seg) um, ansin, varin, vandin, vandaligur,hann var umhyggin um tey fátæku;teir skulu vera umhygnir um handilsvørurnar
umhygni	tað at vera umhyggin
umkast	1(ítr.)nýtt kast í staðin fyri kolldømt innkast(ið mótparturin fær)2(málfr.)tað at tvey ljóð í orði býta um pláss,dømi um umkast er "høvla" til "hølva"(metatesis)
umkasting	(handarb.)tað at kasta um (1)
umkendur	(løgfr.)skuldsettur, lagdur undir (e-t)
umkenning	(løgfr.)tað at kenna e-m um, skuldseting
umkenningarsamur	(sj.)ið kennir øðrum um, ið skyldar upp á onnur,hon er so umkenningarsom
umkoma	(sj.)taka lívið av, drepa,umkoma e-m;umkomast1doyggja av vanlukku(serst. á sjónum),umkomast á sjónum;teir umkomust á Flesini;teir vóru allir umkomnir á Flesini2(sj.)vera við báti ið ferst men bjargast,teir umkomust við støðna, men allir bjargaðust
umkoyring	(bráðfeingis) koyring umvegist.d.vegna vegarbeiði
umkring	1fsí ring uttan um, runt um, kring um,sita umkring eitt borð2hjvíða um,strúka umkring;eg gekk umkring
umkringur	(stb.)1umkring,hygg, hvussu hatta gongur umkringur2um koll,koyra umkringur
umland	øki uttan um bý,har var einki umland
umlegging	tað at leggja um
umleið1	umvegur,eg gekk eina umleið fyri at sleppa frá
umleið2	um tað lagið, okkurt um,umleið 200 tons
umleiðis	umvegis
umlendi	umland
umlestur	tað at lesa um aftur(t.d. framman undan próvtøku)
umleypandi	(veðurfr.)av ymsum ættum, skiftandi, óstøðugur,veðrið var umleypandi;hann er so umleypandi í veðrinum
umliðin	farin, gingin, liðin, umlopin,tá ið ein løta er umliðin;tá ið árið var umliðið
umljóð	(málfr.)sjálvljóðsbroyting ávirkað av øðrum ljóði seinni í sama orði(og sum stundum kann vera horvið),"ø" í t.d. "gørðum" og "børn" er umljóð av "a";i-umljóð(umljóð í herðingarsterkum stavilsi volt av "i" í herðingarveikum stavilsi),u-umljóð(umljóð í herðingarsterkum stavilsi volt av "u" í herðingarveikum stavilsi);sbr.avljóð
umljóða	(málfr.)broyta sjálvljóð við umljóði,"e" í "menn" er eitt umljóðað sjálvljóð
umlopin	1latin liggja eftir, ikki tikin við, burturúrlagdur,eitt navn er umlopið á kortinum2umliðin,tá ið eitt ár var umlopið
umloysur	1inntøkur uttan um vegir, serstakar sømdirel.ágóði ið ein fær framíhjá í arbeiði sínum(t.d. avsláttur við at keypa frá felagnum, fríur bilur)2eyka (smá)útreiðslur,farmagjald og aðrar umloysur;alt fór í umloysur(hjá felagi ið fór á húsagang)3eykaarbeiði,hann hevur so nógvar umloysur at gera4(bjarg.,Skú.)tað ið hvør einstakur fær (av eggjum) fyri amboð hann hevur við(t.d. stjórar, bond, krókar, roð o.a.)5snøklar av jørð, ótøki (1),summi av hesum gerðum hava ligið innan fyri bøgarðin sum ótøki og umloysur6eyka (neyta)fóður(sátustaðir, bendlar, gras av snøklum, ótøkjum o.tíl.)7(stb.)langrøkjut og dreivut frágreiðing
umlætting	tað at lætta um hjá fólki viðt.d.at lata gomul og veik húsfólk vera eina tíð á umlættingarheimi
umlættingarheim	heim har sum gomul og veik kunnu vera eina tíð til at lætta um hjá næstingum
umma	úttala -um-ending(sagt um tey ið hildu longst á at siga -um í endingum),abbi ummar
ummari	ein ið ummar,á nevndu Føroyaferð síni var hann, t.e. Hammershaimb, komin á tal við teir seinastu ummararnar í Skálavík(í 1847-48)
ummast	um 2,(tlm.,Suð.)ummast tað vísir seg at...
ummál	(støddfr.)linjael.longd á linju ið avmarkar mynd, luto.tíl., stødd á e-m (t.d.mynd, luti) máld kringum,ummálið á rørinum var 16 sentimetrar og tvørmátið 5 sentimetrar
ummáls	hj:ummálsel.í ummálsí ummáli, í stødd, víddo.tíl., umbermis,trøðin var 600 metrar ummáls;bygdin er vaksin skjótt í ummáls;býlingurin er lítil í ummáls
ummynda	umskapa, broyta, gera um
ummyndan	tað at ummynda, umskapan, broyting
ummæla	gera ummæli av (t.d.bók, framsýningo.tíl.)
ummælari	ein ið ummælir (bøkur, fløgur, framsýningaro.tíl.)
ummæli	1tað at gera viðmerkingar tilel.siga sína hugsan um e-t(vanl. skrivliga),fáael.senda eitt mál til ummælis2umtalael.meting (av bók, filmi, framsýningo.tíl.), ritdómur3(skúl.)meting um kunnleikastøðu hjá næmingi4ámæli (2), giti (1),hann hevur eitt ringt ummæli;ymist hevur ummælið verið um hana í seinni tíð;í osb. sumhann hevur so ilt ummælieftir orðum hansara er lítið gott at vænta(Sv)
ummælisbók	(skúl.)bók ið sýnir kunnleikastøðuna hjá næmingi
ummæliseintak	eintak av nýútkomnari bók latiðt.d.tíðarriti til ummælis
