U,u1	1málljóð2bókstavur
uafvidende	óavvitandi;mig selv u.uttan at eg visti av tí, tað kom óvart á meg
uafviselig	sum ikki kveistrastel.rekst burtur, sum ikki slepst undan
uafværgelig	sum ein ikki fær vart seg fyri;en u. farevandi, ið ein ikki fær vart seg fyri
uagtet	ogsbhóast, tó at, sjálvt um, uttan mun til; (tað) sama, hvat ið gjørt verður;u. alleindvendinger må planen fremmessama, hvat mótstøðan verður, so skal ætlanin fremjast;u.besværet vil jeg gøre detsama, hvat so stendst av tí, fari eg gera tað
uagtsom	gáloysin, óskettin, óskoytin, óvarin, óansin, óvarur, ófaratøkin, sum ikki gevur sær far um, sum ikki gevur einum gætur; óviljaður, ikki ætlaður;(løgfr.) u. legemsbeskadigelselikamsløstur av ósketni;(løgfr.) uagtsomme handlingerósketnisverk;(løgfr.) uagtsomt manddrabmanndráp av ósketni, óviljað manndráp;det var uagtsomt af mig at standse hertað var gáloysið av mær at steðga her;u. personóansið fólk, gáloysingur
uagtsomhed	gáloysni, gáloysi, ósketni, óskoytni, óansni, misgáa;af u.av óvart, av misgáu, í gáloysni; (løgfr.)grov uagtsomhedgrovt óansni, mikið ósketni;simpel uagtsomhedlítið ósketni
uaktuel	sum ikki hevur áhuga í løtuni, sum er farið afturum(el.afturum farið), sum ikki er áleikandi, sum ikki leikar á
ualmindelig1	óvanliga, frálíka, óføra, sera, fráskila, einskila, burturúr (sterkur, góður, fitturosfr.); ualmindeligsmuk udsigtóvanliga vakurt útsýni
ualmindelig2	1óvanligur,(tlm.)óalmindiligur, sjáldsamur;en u.sommerfuglóvanligur(el.sjáldsamur) firvaldur2frálíkur, óførur;u. mandóvanligur maður; (rósandi) úrmælingur, avtakamaður
uamerikansk	(stjm., sø) l óamerikanskur;blive beskyldt for u. virksomhedverða ákærdur fyri óamerikanskt virksemi(serst.ísamb.við McCarthyismuna í USA fyrst í 50-árunum)
uamortisabel	(virðisbræviviðv.)sum verður afturgoldið í einum
uanbringelig	(postm.) uanbringeligt brev (brævið hevur) ófullfíggjað uttanáskrift
uanet	sum eingin dugir at hugsa særel.ímynda sær, ófatiligur, sum ongum kemur í hugael.til hugs, óvæntaður, ókendur
uanfægtelig	óvikandi, sum ikki er til at vika;en u. troóvikandi trúgv
uanfægtet	órørdur, ónervaður, róligur, sum ikki letur við seg koma, sum ikki letst við, sum ikki letst um vón;han fortsatte helt u.hann helt fram, sum einki var(el.sum einki var hent)
uangribelig	óvinnandi, sum ikki verður vunnin, sum ikki kann takast, óvikandi, sum vikast ikki; haldgóður, lýtaleysur, sum ikki rekst aftur, sum ikki kann lastast;(løgfr.) uangribeligt alibihaldgott fráveruprógv;fæstningen er u.skansin verður ikki tikin;det er hans uangribelige rettað er hansara fulli rættur;handle korrekt oguangribeligtbera seg rætt og lýtaleyst at
uanmeldt	sum ikki er fráboðaður; uttan at hava sagtel.boðað frá, óboðaður, óboðin;gæsterne kom u.gestirnir komu óbodnir(el.uttan at hava sagt frá frammanundan)
uanselig	(av útsjónd) visa(s)ligur, óásýniligur, lítið ásýniligur, óvættisligur, lítilsverdur, lítilsligur;nattergalen er en u. fuglnáttargalin er lítil fuglur;lille og u. mandnell, grísamenni, pinkur
uanset	hóast, tó at, sjálvt um; sama hvussu, hvat ið; uttan mun til;køn er stolen ikke u. dens andre fordelenakar vakur stólur er hetta ikki, um enn (hóastel.tó at) hann er góður í aðrar mátar
uanskuelig	sum er ringt at fáa skil á, ófatandi, ófatiligur, óskiljandi, sum ikki er at skilja
uanstændig	ósømiligur, ósiðiligur, ólíkligur, óhóskiligur, illavorðin, ónæri(s)ligur, óvandaligur, ljótur, (í orðum) óráðuligur;en u. påklædningósømilig klæði(r;)uanstændigt påklædtósømiliga ílatin;enu. prisósømiligur prísur
uansvarlig	1(løgfr.)sum ikki kann ábyrgjast (gerðir sínar);etspædbarn er uansvarligtbróstabarn kann ikki ábyrgjast2ábyrgdarleysur, sum ikki hevur ábyrgd, samvitskuleysur;det er ganske uansvarligt atlade børn lege med tændstikkertað líkist ongum(el.tað er ábyrgdarleyst) at lata børn sleppa at spæla við svávulpinnar(el.eld)
uantagelig	sum ikki kann takast við, sum ikki ber til at góðtakael.samtykkja, ónýtiligur, ógegnigur;forslaget er uantageligtuppskotið er ónýtiligt
uantastet	ótarnaður; óskalaður;spionen gik u. om på detmilitære områdenjósnarin gekk og sneytaði ótarnaður á hernaðarøkinum;hans politik stod u.tilbagepolitikkur hansara var óskalaður
uantændelig	sum ikki er eldfimurel.eldkvæmur, elddovin, sum ikki festir í, sum eldur ikki kemur í
uanvendelig	ónýtiligur, ónýtandi, ónýtur, ógegniligur;det er enu. båd, knivhetta er ikki líkinda bátur, knívur
uappetitlig	óátuligur, óhugaligur, ógóðsligur, ónossligur, fúlsligur, fúlur, ógagnsamur /ógansa-/, ólíkligur,(tlm.)ólekkur;en u. affæreónosslig hending, óhugaligur tilburður
uarbejdsdygtig	óarbeiðsførur;sygdom gjorde ham u.sjúka gjørdi hann óarbeiðsføran
uarbejdsdygtighed	óarbeiðsføri
uargumenteret	sum ikki er próvførdur, sum ikki er sannaður
uarmeret	óvápnaður, óbrynjaður;u. fragtskibóvápnað farmaskip;u. betonbetong, ið ikki er styrkt við jarni
uartig	forherðaður, óargaligur, ólátaður, óskikkiligur, sum skikkar sær illa, óflýggjaligur, ólýðin, óhoyriligur, ónæri(s)ligur, óviðeiriligur, illavorðin, stundarsettur;et uartigt barnóskikkiligt barn, óargabarn,u. drengkúllur, forherðingur, knevil, ribbaldur;en u. historie(ein) ónæri(s)lig søga,(skemt.)(ein) morreyð søga;jeg fik et uartigtsvareg fekk eitt ófólkaligt svar
uartighed	ólæti, óflýggjaskapur;børns u.ólæti hjá børnum;nu vil jeg ikke længere finde mig i dineuartighedereg vil ikki longur góðtaka (tola, finna meg íel.lata mær lynda), at tú gongur og tíggjar tær soleiðis (at tú ert so óflýggjaligurel.ódæl(l)ur)
uartikuleret	illa framborin, óskiljandi, óskilligur;han gav et u.grynt til svarokkurt óskiljandi kvøtti(el.kvatt) úr honum sum svar;u. skrigønskriligt róp
uassureret	(trygg.) ótryggjaður
uautoriseret	ikki góðkendur, sum onga heimild hevur; ikki skrásettur, ikki løggildur
ubalance	1ójavnvág, ikki í javnvágel.javnstøðu2(sálfr.)sálarlig ójavnvág, tað ikki at vera í sálarligari javnvág
ubalanceret	(sum vísir støðu, ið vantar bæði samsvar og partloysi) ójavnur, ójavnbýttur, órættvísur;EU og Japan mener, at forslaget er for u.ES og Japan eru á einum máli um, at uppskotið er ov ójavnbýtt
ubanet	ógingin, óruddur, óslóðaður, ótroddur, ógjørdur, har ikki er slóðað fyri;u. vejórudd (ótroddel.óslóðað) gøta
ubarberet	órakaður, ósnøggur, loðin, við stapum;u. påkindernevið órakaðum kjálkum, kjálkaloðin
ubarmhjertig	harðhjartaður, miskunnarleysur, kaldur, harður, grótharður, jarnharður, eirindaleysur, náðileysur
ubarmhjertighed	miskunnarloysi, eirindaloysi
ubearbejdet	ótilvirkaður, óviðgjørdur, ótilevnaður, ótillagaður, óbrýndur,(t.d.glas) óslípaður,(t.d.viður) óhølvaður, ótelgdur,(t.d.grót) ósligin
ubeboelig	óbyggjandi, ikki livandi (í), ikki byggjandi, ikki búgvandi
ubeboet	mannleysur, manntómur, fólkatómur, oyðin, óbygdur;på ubeboede stederí óbygdum
ubebygget	óbygdur
ubedragelig	ósvikaligur;det er ubedrageligttað ryggjast ikki, tað vikast ikki, tað svitast ikki
ubefaren	óroyndur, ókønur
ubefolket	manntómur, fólkatómur, oyðin, óbygdur
ubefrugtet	ógitin, (um egg) ótroðin;u. ægótroðið egg, skellegg
ubefærdet	við lítlari ferðslu; oyðin, tómur
ubefæstet	óvardur, óvíggirdur, ikki víggirdur;(bíbl.)ófestur;etu. militært områdeóvart(el.óvíggirt) hernaðarøki;en u. sjælófest sál (2. Pæt. 2, 14)
ubeføjet	1óheimilaður, við ongari heimild, heimildarleysur, sum er gjørt í heimildarloysi, óbiðin, ógrundaður, óneyðugur2et u. angrebógrundað álop
ubegavet	evnalítil, sum hevur ikki nógv til, sum hevur lítið til, sum nóg illa hevur gonguvit, smalur, toppasmalur, innantómur,(skemt.)har var lágt millum sylla;han er ikke u.hann er ikki býttur(el.eiðasørur)
ubegribelig	ófatandi, ófatiligur, ótrúligur, óskiljandi, sum ikki er at skilja;det er ubegribeligt, at han fikeksamentað er ikki at skilja(el.eingin skilur), at hann stóð royndina(el.fekk prógvið);en u. langafstandein ófatiliga langur teinur
ubegrundet	ógrundaður;en u. mistankeógrundaður illgruni;en ikke u. anklageikki ógrundað ákæra
ubegrædt	ósyrgdur, sum eingin grætur (um), óharmaður
ubegrænset	markleysur, óavmarkaður, við ongum marki, óendaligur, endaleysur, har einki mark er fyri, óskerdur;have ubegrænsede midler tilrådighedhava ov mikið til at taka, hava óavmarkaða peninganøgd til at taka
ubehag	stikni, andstygd, ófýsi, vaml, óhugi, mishugur, mótboð, leiði;føle u. ved nogethava andstygd fyri einum, vontrast við eitt;ikke give synligtudtryk for u.ikki brýnskast við
ubehagelig	ódámligur, ótespiligur, óheimligur, ófýsin, ófýsiligur, ófjálgur, ógóðsligur, ónossligur, ótýdligur, óhugaligur, ilsvíggin, illvikin, illramur(t.d.roykur), illur, leiður, ov(t.d.heitur);u. berørtilla við, hamskiftur;en u. lugtillramur roykur;at dække over den ubehageligesandhedat skava(el.fjala) út yvir ófjálga sannleikan;en u. overraskelseeitt, ið kemur einum dátt við;jeg blev u. overrasketeg varð illa við
ubehagelighed	ampi;sige én ubehagelighedersiga einum bart út, hvat ein heldur; stinga einum skør;han fårubehagelighedernehann fær av at vita, hann fær toyggið, hann kemur at kenna tað upp á sín kropp
ubehandlet	ótilgjørdur, óviðgjørdur, ótilevnaður, ótilvirkaður, ótelgdur; sí eis.ubearbejdet
ubeheftet	skuldaleysur, óheftur;ejendommen er u.eingin skuld er í ognini
ubehersket	ógvisligur, rokmikil, harðligur, óstiltur, sum eitt óløgi;en u. opførselólátað atferð;u. latterógvisligur látur
ubehjælpsom	klombrutur, lókutur, óhandaligur, handleysur, bulvirkisligur, ófimsligur, óhegnigur, ófittur (í hondunum); ráðaleysur
ubehæftet	síubeheftet
ubehændig	óstort(s)ligur, óhandaligur, óhegnigur, ófimur, lorkutur, lókutur, klombrutur, ófittur, ófimsligur /-fins-/;meget u.lavlorkutur;bære sigubehændigt ad med nogetbonglast(el.bronglast) við okkurt;hun er meget u.hon er ein skrumbla;u. og fremfusendeskumputur
ubehøvlet	grovur, ráur, ófólkaligur, óhøviskur, ósømiligur, óvandur, óvaskaður, óflongdur, frekur, nasadjarvur, nasvísur, ónæri(s)ligur, buffisligur, óforskammaður
ubekendt	ókendur, ókunnigur, ókunnur, fremmandur, sum ein einki veit um;han er mig ganske u.eg kenni hann ikki;jeg mødte igen denne skønneubekendte dameeg hitti aftur hasa vøkru, fremmandu konuna;(stfr.) x og y betegnerligningens ubekendtex og y eru teir ókendu í líkningini
ubekræftet	óváttaður, leysa-;en u. meddelelseóváttað fráboðan/frágreiðing
ubekvem	1ringur, óviðeiriligur, tvørligur, lorkutur, ringur;enu. stolstólur, ið er ringur at sita á(el.í);det varlidt ubekvemt, at man ikke kunne sætte signedtað var eitt sindur uttanhanda ikki at kunna seta seg niður2ólagaligur, óhøgligur, tvørligur, sum kemur tvørt við;u. tidótíð, ólagalig tíð;han kom på etmeget ubekvemt tidspunkttað kom tvørt fyri, at hann kom beint tá
ubekymret	tryggur, ekkaleysur, órørdur, ónervaður, trygdgóður, lætthugaður;en u. tilværelsetrygg(el.sorgleys) tilvera;være u. forikki kvíða fyri;trods advarslerfortsatte han u.hóast hann var ávaraður, helt hann fram, sum (um) einki var; hann legði ikki petti í ávaringarnar og helt fram, sum (um) einki var
ubelastet	(um bil)vægt i u. standvekt við ongari last(el.við ongum lassi)
ubelejlig	tvørligur, ólagaligur, óhøgligur, sum liggur illa fyri;han kom ubelejligthann kom til ónáðir (ólagaligael.í ótíð)
ubelæst	sum lítið hevur lisið
ubemandet	ómannaður;u. rumfartøjómannað rúmdarfar
ubemidlet	ómúgvandi, fátækur, fæleysur, ognarleysur, sum eigur lítið av pengum
ubemærket	óansaður, ógáaður, sum ein hevur ikki givið sær far um, sum ein hevur ikki givið gætur, sum ein hevur ikki varnast; fyri seg sjálvan;hanlevede stille og u.hann livdi friðarliga og fyri seg sjálvan
ubenyttet	ónýttur, óbrúktur, sum stendur tómur, sum ikki verður nýttur;(t.d.um fuglabjørg) ósøktur(t.d.bjørgini lógu ósøkt);lade en lejlighed stå u. henlata íbúð standa tóma;han lod lejligheden gå u.henhann nýtti ikki høvið
ubenævnt	ónevndur
uberegnelig	óútrokniligur, sum ikki er at rokna út, sum einki kann sigast um frammanundan;et uberegneligtantalnøgd, ið ikki kann roknast út;hendes humører aldeles uberegneligttú kanst ikki rokna út frammanundan, hvussu lagið á henni er; tú veitst ongantíð, hvussu nøsin á henni vendir
uberettiget	ógrundaður, við ongum rætti, av órøttum, óneyðugur, við ongari heimild, heimildarleysur;en u. kritikógrundað atfinning;være u. til nogetongan rætt at hava til eitt
uberygtet	ómerktur, ólýttur, sum hevur gott orð á sær, lýtaleysur
uberørt	heilur, órørdur, óskalaður, sakleysur, óspiltur; (um konufólk) rein, ónomin, ónortin, órørd; kaldur, kensluleysur, róligur, sum ikki letur við seg koma, sum ikki letst um vón;indbyggerne eruberørt af civilisationenmentanin hjá framkomna heiminum hevur ikki rinið við íbúgvarnar(el.fólkið á staðnum), íbúgvarnir eru púra óspiltir;han var u. af situationenhann læt ikki støðuna við seg koma
ubesat	leysur, ósettur;et u. embedeleyst starv
ubesejret	óvunnin, ósigraður, sum ikki er vunniðel.sigrað á, sum ikki hevur verið fyri ósigri, sum ikki hevur tapt
ubeset	ósæddur,(bú.)uttan at hava sæð (vøruna);tør dukøbe lampen u.?torir tú at keypa lampuna uttan at hava sæð hana?
ubesindig	óráðtøkin, busutur, fummisligur, ótonktur, sum er lopin framav, sum hevur ikki fyrilit, gáloysin, óskettin, óhyggin;være u.fara fram eftir fummum
ubesindighed	óráð, gáloysi, gáloysni, óhyggi(r)(t.d.tak eingi óhyggi(r)el.óráð fyri;hvk flt)
ubeskadiget	heilur, í heilum líki, óbrotin, óskaddur; óskalaður, sum er í góðum standi
ubeskeden	ósmæðin, framførur, framligur, óblúgvur, umripiligur, umripingarsamur;være u. nok til atforlange dobbelt salærditta(el.koma) sær(el.vera so framførur) at krevja tvífalda ómaksløn
ubeskedenhed	framføri, ósmædni
ubeskreven	1blankur, óskrivaður, sum ikki er skrivað á;et u.bladblankt blað; blað, ið ikki er skrivað á2(fl.m.) han er endnu et u. bladhann er púra óroyndur enn, hann er nýggjur í garði, hann er enn eitt óskrivað blað
ubeskrivelig	1øtiligur, ólýsandi, ótrúligur, sum ikki kann sigast frá, ósigandi, sum ikki sigstel.lýsist við orðum, sum ikki kann lýsast, ósigiligur, sum ikki ber til at lýsa2[sumhj]frálíka, øtiliga, ræðuliga
ubeskyttet	óvardur, verjuleysur, opin, berur, sum ikki fær lívd, ástætt (bara íh),ábært (bara íh),sum stendur í andgletti;huset lå u. mod vestenvindenhúsini stóðu óvard fyri vesturættini; (teld)ubeskyttet filóvard fíla
ubeskæftiget	arbeiðsleysur, gerðarleysur, yrkisleysur, sum einki hevur at gera, sum einki hevur at takast við, sum situr við tómum hondum;sidde u.sita fyri einki(el.hendur í favn)
ubeskåren	1óstyttur, heilur, óskerdur, allur sum hann er;enu. bogóstytt bók;indtægterne går u. tilu-landshjælpeninntøkan fer øll sum hon er(el.óskerd) til menningarlandahjálpina2(bókab.)óskorin
ubeslutsom	ivandi, vinglutur, ivingarsamur;være u.himprast, ivast, vera í iva, aftra segel.sær, draga á bæði, mala á hælinum, vera í tvískinningi, vera í døpurhuga
ubeslægtet	ikki skyldur, óskyldur
ubesmittet	óspiltur, reinur, lýtaleysur, ódálkaður, ósmuskaður, ósmittaður, sakleysur;(átr.) den ubesmittedeundfangelse(hjá Mariu moy) óspiltur gitnaður
ubesmykket	óprýddur, óskrýddur, sum ikki er prýddur, hampaður, snøggaðurel.noslaður; óhuldur, ófjaldur; barur;den ubesmykkede sandhedsannleikin, sum hann í royndum er
ubestandig	1óstøðugur, støðuleysur, svikaligur, skjótur hvønn vegin, vinglutur, sum ikki hevur bindindi2(evnafr.)óstøðugur, sum dettur sundur, sum syndrast lættligael.sum á annan hátt broytist lættliga; svikaligur
ubestemmelig	torlýstur, óvissur, ógreiniligur, sum er ringt at siga við vissu;en hund af u. racehundur av óvissum slagi
ubestemt	1ivandi; óvissur;orlov på u. tidfarloyvi í óvissa tíð;give et u. svarsvara óbindandi, svara gjánkasliga2(málfr.)óbundin;den ubestemte artikelhedder `en' eller `et'óbundna kenniorðið eitur `ein' ella `eitt'
ubestemthed	vingl, óstøðuleiki, óvissa, ivi
ubestemthedsinterval	(alisfr.) óvissurám
ubestemthedsrelation	(alisfr.) óvissulutfall
ubestigelig	ógongdur, óførur, sum ikki slepst upp á
ubestikkelig	heiðurligur, dyggur, ærligur, sum ikki tekur við mutri;en tro og u. tjenertrúgvur og heiðurligur(el.dyggur) tænari
ubestridelig	óreingiligur, sum noktast ikki, sum ryggjast ikki, sum svitast ikki, ivaleysur;en u. retóreingiligur rættur
ubestridt	avgjørdur, ivaleysur, óreingiligur, sum einki er at taka seg aftur í, sum skerst ikki burtur;han er u.den bedstetað skerst ikki burtur, at hann er tann besti, (av tveimum) tann betri (teirra)
ubesudlet	ódálkaður, reinur
ubesunget	sum ikki hevur verið lovprísaður, ósungin
ubesvaret	ósvaraður;lade et spørgsmål u.lata (ein) spurning standa eftir ósvaraðan;en u. kærlighedósvaraður kærleiki, hann/hon vildi einki hava við hana/hann at gera(t.d.ilt er at leggja ást við hann, ið ongar leggur ímóti)
ubesværet	lættur, sum einki stríð stendst av, ótarnaður, óhindraður, ódarvaður
ubesørgelig	(postm.) u. post postur, ið ikki kann avgreiðast(t.d.uttanáskriftin er ófullfíggjað)
ubesørget	óavgreiddur, sum ikki er fingið frá hondini, sum ikki er gjørt(t.d.ørindi), sum liggur á láni
ubetalelig	1u. kostbarheddýrgripurel.dýrdargripur, sum ikki kann rindast (gjaldast) við pengum2(fl.m.) u. morsomframúr stuttligur
ubetalt	ógoldin; lønarleysur(t.d.lønarleyst arbeiði);en u. regningógoldin rokning
ubetimelig	óhóskandi, sum ikki sømir seg;u. indblanding iandres sagerósømilig uppílegging í viðurskiftini hjá øðrum;hans ubetimelige dødhann var alt ov ungur at fara
ubetinget	treytaleysur, ótreytaður, avgjørdur;love u. lydighedlova (einum) treytaleyst lýdni;jeg holder u. mere af vin end af ølmær dámar nógv betur vín enn øl;(løgfr.) u. domótreytaður dómur
ubetonet	(málfr.) herðingarveikur, óherdur, við ongari herðing
ubetrådt	óruddur, ógingin, ótroðin, ótroddur, óslóðaður, har ikki er slóðað fyri
ubetvingelig	ósigrandi, ókúgandi, sum ikki heldst niðri, sum ikki kann kúgast, sum verður ikki vunnin, sum fær ikki barað særel.hildið sær;have en u. lysttil nogetvera óður eftir einum, brellast(el.munga) illa eftir einum
ubetvivlelig	ivaleysur, sum eingin ivi kann vera um
ubetydelig	týdningarleysur, lítilsverdur, lítilsmettur, einkisligur, sum er av lítlum týdningi, smávegis, lítil, smámunaligur; (um fólk) sjálvvættisligur, sum hevur lítið upp á seg;en u.fejlsmávegis brek (skeivleikiel.feilur);en u.personlítilsvert fólk, sjálvvætti, (andliga sæð) smámenni
ubetydelighed	okkurt hissini,el.smávegis, smáleiki; smálutur(t.d.fara út í smálutir), viðfáningur(t.d.arbeiði, ið lítlan og ongan týdning hevur)
ubetænksom	óhyggin, tankaleysur, gáloysin, óskettin, forsutur, forsin, fortur, óumhugsaður, sum ikki er umhugsin;en u. handlingóhyggin gerð(el.framferð);gøre noget ubetænksomtforfumma seg;u. og åbenmundetsíåbenmundet
ubetænksomhed	tankaloysi, gáloysi, óhyggja;begå en u.forfumma seg
ubevidst	ótilvitandi, óvitandi, óavvitandi, ótilvitaður, ómedvitaður, óvitvísur;(sálfr.)det ubevidsteótilvitskan, dulvitið
ubevis	sum ikki kann prógvast; sum ikki verður sannaður
ubeviselig,ubevislig	sum kann ikki prógvast, óprógvaður
ubevist	óprógvaður, sum ikki er prógvaður
ubevogtet	óvardur, eftirlitsleysur, við ongum varðhaldi;u.jernbaneoverskæringjarnbreytarmót við ongum varðhaldi;i et u. øjeblikmeðan ongan vardi
ubevokset	berur, gróðurleysur
ubevæbnet	óvápnaður, vápnaleysur, við ongum vápnum
ubevægelig	órørligur, óvikandi, ikki til at vika, púra kúrrur, kvirrurel.stillur, pinnastillur, pinnastívur, steinstívur, steinkvirrur, kyrrur, fastur, stirvin, sum ikki rørir(t.d.hvørki lið ella lim);u. og stiv(um fólk) tungur á sær, tungur á fótunum, stirvin, óbekvemmur
ubillig	órímiligur, óhóskandi, ólagaligur, órættvísur;etubilligt forlangendeórímiligt krav;behandle énubilligtvera órættvísur við ein, gera synd við ein;det er ubilligttað er ikki fyri mark, tað líkist ongum, tað er ikki rímiligt
ublandet	óblandaður, ótyntur, reinur, ektaður;med u.glædevið(el.av) sannari gleði
ubleget	óbleiktur
ublid	ómildur, harður, óblíður, harðligur, bonskur, ófýsin;en u. behandlinghørð viðferð;en u.skæbneómild lagna
ublodig	óblóðigur
ublu	óblúgvur, frekur, grovur, okur-, ovur-, ósømiligur;en u. prisokur(s)prísur;en u. rente,lejeovurrenta, ovurleiga, okur(s)renta, okur(s)leiga
ublufærdig	skammleysur, óblúgvur
ubodelig	óbøtiligur, óbøtandi, sum ikki bøtist (aftur);gøre u.skadegera óbótaligan(el.óbøtiligan) skaða; gera skaða, sum ikki bøtist aftur
uborgerlig	óborgar(a)ligur
ubrudt	óbrotin, óslitin, samanhangandi, sum ikki slitnar sundur;en u. række af mandligetronarvingeróslitið rað(el.óslitin røð) av trúnarvingum í kallkyni
ubrugbar	ónýtiligur, óbrúkiligur, ónýtur, ónýtandi, ógegniligur, sum onga nyttu ger
ubrugelig	ónýtandi, ónýtiligur, ónýtur, óbrúkiligur, ógegniligur, nyttuleysur, óskikkaður, ikki brúkandi, sum ikki kann nýtast, sum onga nyttu ger;han er u.hann nyttar einki, tað er eingin stirðil(el.einki veiggj) í honum, hann er ein ónytta
ubrugt	ónýttur, óbrúktur, sum stendur tómur;udnytteubrugte ressourcernýta ónýtt tilfeingi,u. tændstikóbrestur svávulpinnur,u. og fejlfriuttan lak og lýti
ubrydelig	óslítandi, sum ikki slitnar, sum ikki fer sundur, varandi, fastur, ósvitandi;han lovede u. tavshedhann lovaði einki at siga;et ubrydeligt venskabvarandi vinarlag
ubrændbar	óbrennandi, sum ikki brennur
ubrændt	óbrendur;u. soltørret murstenóbrendur múrsteinur, turkaður í sólini
ubrødelig	síubrydelig
ubuden	óboðin, óbiðin;u. gæstóboðin gestur
ubunden	óbundin, óheftur, frælsur, fríur, falur
ubundethed	frælsi, tað at vera óbundin, óhefturel.falur
ubændig	óvikandi, ótemjandi, óstýriligur, ókúgandi, villur, rokmikil;u. lystótemjandi hugur;have en u.lyst til nogetvera óður eftir einum;ubændigtraserispinnandi øði, tað vera rúkandi(el.fúkandi) óður, vera í luftini
ubærlig	nívandi, tungur, sárur;en u. sorgnívandi sorg
ubøjelig	óbendiligur, óvikandi, óboyggjandi, óboyggiligur, óbendandi, sum ikki bendistel.boyggist; strangur, harður, harðmøraður, sum ikki slakar,(málfr.)óbendandi;en u. viljeóbendiligur(el.óvikandi) vilji;et ubøjeligtadjektivlýsingarorð, ið ikki bendist(el.sum ikki verður bent), óbent lýsingarorð
