J,j	1málljóð2bókstavur3(st) Jod4(st) Joule
jage	1jaga, veiða, fara veiðiferð, (á veiðiferð) elta; fara eftir(t.d.havhesti), skjóta (fugl, haru), reka (fyri sær);jage én trætelta ein so hann pøsist;politiet jagede morderenløgreglan jagstraðiel.elti brotsmannin;jage efterstremba eftir;(fl.m.)jage efterliggja eftir;(fl.m.) han jager på mineenemærkerhann kemur inn á mítt heimabeiti, hann gongur mær ov nær2noyða;j. én på flugtreka ein burtur;j. bort(el.væk)siga upp, seta úr starvi, koyra;j. fra sigkveistra burtur, strúka burtur;j. på flugtreka fíggindan undan sær;j.(el.drive) ud afjagstra(el.reka) út úr;j. ud i verdenreka heimanífrá; (um seyð) firra3fúka avstað, tuska (rúsael.turna) avstað, strúka; skunda sær, tota(st);j. for at blive færdigtota við at gera seg lidnan;j. med arbejdetdíkja á;det jager ikketað hevur ongan skund;j. af stedfara tuskandi avstað;jag ikke livet af digleika ikki so í, gev tær stundir;han jager livet af sig meddet arbejdstempohann beinir fyri sær sjálvum sum hann leikar í;j. med énskunda undir ein;jeglader mig ikke j. medeingin skal hundvaða við mær;j. igennem(í skundi) trýsta ígjøgnum, skunda ígjøgnum;j. et lovforslag igennemhurla lógaruppskot gjøgnum tingið;j. hen over (áv.)sópa (strúka, skola) inn yvir; (um prís)j. optrýsta upp4(um spískan lut) dríva, hirða, renna ígjøgnum, stinga, trýsta, leggja;j. en kniv iryggen på énstinga knív í ryggin á einum;havejaget dem en skræk i livethava loypt hvøkk í tey;hun jog ham en skræk i livethon loypti hvøkk á hann5stinga, pína;det jager i mit bentað stingur í beininum6sumljagende skyerskjótur dráttur, skýferð, skýrák, rák á luftini;jagende(um pínu) stingandi, nívandi7sumljaget skibjagstrað skip;jaget vildtjagstrað veiðidýr
jager	1(herm.)oyðari, jagstrari,(tlm.)jagari2(flogm.)jagstrari, eltiflogfar;hurtiggående j. tilnærforsvarsnarjagstrari til nærverju3(sigl., sø)tríhyrnt segl framman fyri klyvara
jagerbomber	(herm.) bumbujagstrari
jagerfly	(herm.) jag(str)ari, eltiflogfar
jagerflyver	(herm.) jagstraraflogskipari, flogskipari á jagstrara
jageri	skundur, tuskan, tot;der er altid sådan et j., nårvi skal af sted om morgenentað er altíð sovorðin skundur tá ið vit skulu av húsum um morgunin
jagermaskine	jagaraflogfar, stríðsflogfar
jagt1	1veiði, veiða;være på j.vera á veiðiferð; vera úti og skjóta;drive ulovlig j.veiða ólógliga;tidhvor j. og fiskeri er tilladtveiðitíð;gå på j.fara á veiðiferð2gå på j. efterleita eftir, sóknast eftir, vera (úti) eftir; stremba eftir; stunda eftir;på j. efterseværdighedersóknast eftir kendum støðum3jagstran, jagstring, elting, eltan
jagt2	stuttleikabátur, skemtibátur
jagtbar	veiðibærur, sum kann verða skotin(t.d.um hjørt),sum kann verða veiddur
jagtbetjent	(gl) veiðivørður; fylgisneyti, veiðutænari
jagtbøsse	byrsa
jagtdistrikt	veiðiøki, veiðihagi
jagte	leita eftir, royna at fá samband við;jeg har jagtetham forgæves i telefonen hele dageneg havi til fánýtis ringt til hansara í allan dag; jagte damerrenna eftir konufólki
jagtekspedition	veiðiferð
jagtfalk	(dý.) veiðifalkur(Falco rusticolus)
jagtfører	veiðistjóri, veiðumaður
jagtgevær	byrsa
jagthest	veiðiross(serst.um enskan kynblending)
jagthund	veiðihundur, fuglahundur
jagthytte	veiðismátta
jagtkaptajn	(sigl.) skipsovasti (á kongsins skipi)
jagtkniv	veiðiknívur
jagtleder	veiðiformaður
jagtlov	veiðilóg
jagtmark	1veiðiøki2(fl.m.) de evige(el.lykkelige) jagtmarkerævigu veiðiøkini (himnaríkið hjá indiánum)3(eis. sk.) gå til de evige jagtmarkerleggja árarnar inn, doyggja
jagtområde	veiðiøki
jagtret	veiðirættindi, veiðirættur
jagtselskab	veiðilið
jagtstart	(ítr.)eltistartur
jagtstol	veiðistólur
jagtstøvler	veiðistivlar
jagtsæson	veiðitíð
jagttaske	veiðiskjátta
jagttegn	veiðiloyvi
jagttid	veiðitíð;det er j. for harertað er harutíð
jagttrofæ	veiðiminnisfongur
jagttur	veiðiferð
jagtudbytte	fongur, veiði, veiða, veiðifongur
jagtvogn	lættur ítrivsvognur (móts..arbejdsvogn)
jaguar	(dý.) jaguarur(Panthera onca)
jah	tja
Jahve	(bíbl.) Jahve (í Gamla testamenti heiti fyri Gud)
jakana	(dý.) blaðhønuættin(Jacanae)
jakaranda	(plfr.) palisandurtræ(Jacaranda)
Jakel	ísamb. Mester J.Jákup meistari (bara brúkt um leikdukku)
jaket	myrkur síðjakki (til konufólk); velafrakki (til menn)
jakke	jakki; kot;kort j.stuttur jakki;løsthængende j.víður jakki;den j. sidder fortræffeligt (dårligt)hasin jakkin situr sera væl (illa)
jakkelomme	jakkalummi
jakkesæt	klædningur
jakobiner	1(sø.)jakobinari (limur í týdningarmesta og víðgongdasta politiska felagsskapi í fronsku kollveltingini; stovnaður í 1789 og avtikin 1794)2(fl.m.)nú ofta nýtt um víðgongd kollveltingarsinnað fólk
jakobinerhue	jakobinarahúgva
jakobinsk	jakobinskur
jakobit	(sø.) jakobittur (viðhaldsfólk, einamest katolikkar, ið royndu at hjálpa stuartunum, Jákupi II og hansara ætt, aftur á trónuna, sum hann hevði mist 1688)
jakobitisk	jakobitiskur
Jakobshavn	Illulissat (í Grønlandi)
jakobskamp	1(bíbl.)glíma Jákups (1. Mós 32, 24- 28)2(fl.m.)ógvisligt sálarstríð; stríð at vinna á listarligum ella hugbornum evni
jakobslejder	(sigl.)jákupsstigi, leytari
jakobsstige	1(bíbl.)jákupsstigi (1. Mós 28, 12)2jólatræsprýði3(plfr.)almindelig j.fjallaflóki(Polemoniumcaeruleum)
jalousi1	øvundsjúka, øvund, svartsjúka, eljusjúka, ástarøvund
jalousi2	rimatjald, rullugardina, persienna
jalousidrama	(bókm.) svartsjúkuleikur
jalousidør	rimahurð
jalousiskab	rimaskáp
jalousispjæld	(fyri vindeyga) rim í rimatjaldi; (í lofti) rist
jaloux	øvundsjúkur, eljusjúkur (inn á)
Jamaica	Jamaika
jamaicaner	jamaikabúgvi
jamaicansk	frá Jamaika
jamaicarom	jamaikaromm
jambe	(bókm.) jamba (øvutur tvíliður);rimede 5-fodedejamberrímaðar fimmliðaðar jambur
jambisk	(bókm.) við øvutum tvíliði; jambiskur
jamboree	skótastevna (ofta altjóða)
jamborette	lítil skótastevna
jamen	íðan;j. var det så slemtíðan var tað so galið;j.jeg kunne ikke gøre for detíðan eg kundi ikki gera við tað
jamme	(tónl.) djamma, spæla til teitis;jamme løsdjamma upp á lívið
jammer	1vesaldømi; gremjan, eymkan, venan, harmur;det er den rene j.har er bara eymkan og knarr;der var en j. uden lige, alle fire børngrædtað hoyrdist ikki mannamál, øll fýra børnini grótu2(fl.m.) det er den rene j. at se ham bagetað er einki skilel.fantilsi á tá ið hann bakar
Jammerbugt	Jammerbugur
jammerdal	neyðardalur, táradalur(serst.ísamb.) denneverdens j.hesin heimsins neyðardalur
jammerhistorie	harmasøga, søga um vanlagnu
jammerklage	harmaljóð, eymkan; gremjan
jammerlig	syndarligur, syrgiligur, neyðarsligur, ússaligur, harmiligur, lítilsverdur, skirvisligur, vesaligur, vánaligur;være i en j. forfatningvera í syndarligum standi
jammersminde	harmaminni (eftir heiti á bók hjá Leonoru Christinu, dóttir Chr. IV, har hon lýsir fangilsi sítt í Blátorni frá 1663- 1685)
jamre	geva seg, vena seg, gremja seg, eymka seg, gráta og illa láta, lemja seg; gráta um ein, harmast um, syrgja; grenja, knarra, mjarra, rína, hvína;j. over dårlige tidergremja seg um ringar tíðir;j. over smertergeva seg av pínu;desårede jamrede sigtey særdu venaðu seg;j. ogklagegráta og illa láta
jamren	gremjan, venan, stunan, stynjan; grenj, knarr, mjarr, kvartan, rin, hvin
jamsession	(tónl.) djam-sessión (tónleikarasamkoma við ófyrireikaðum djass- og beattónleiki)
jan.	
jan	(í ymiskum spølum) tapari; gjaldið taparin skal rinda
janfri	(kortsp.) vera jannfríur (hava 31 stig í sjavsi)
janitschar	(tónl.) janitsjarur (tónleikari, ið leikar fleiri slátturljóðføri)
jante	1virðislítil blýknappur2(fl.m.)jeg har ikke en j.eg haviel.eigi ikki klovið oyra (uppi á mær)
jantelov	jantelóg (óskrivaði normurin um at eingin má vera betri enn ein annarel.daga upp um fjøldina; úr skaldsøgu hjá Aksel Sandemose frá 1933)
januar	januar;(st) jan.
janushoved	(gudal.) janusarhøvur (í rómverskari gudalæru gudurin ið vardi dyrnar til heimini og sum er gudur inngangs og byrjanar; ofta myndaður við tveimum andlitum, annað horvir frameftir, annað horvir aftureftir; smbjanuar)
Japan	(sern., landafr.)Japan
japaner	japanari
japanlak	japanlakk
japansandaler	japansandalur
japansk1	(í bundnum sniði)-en,einkifltjapanskt mál
japansk2	japanskur
jappe	babba, svassa, tvassa;Sreksa;j. et salmeversaf sigreksa sálmaørindi
jardiniere	blómuskál (við gataðum lokiel.við ongum loki)
jargon	serbólkamál
jarl	(sø.) jallur (í Norðurlondum í fornari tíð heiti á hægstu tign næstur kongi)
jas	ísamb.) gamle j.gamli jassurel.stavnur
jasiger	jabróðir (ein ið samtykkir við øllum tí ið onnur siga), sleikjari
jask	óvandaverk, skrum(b)l, rusp, skitið verk;hanssidste bog er noget j.seinasta bók hansara er bert skrumblel.óvandaverk
jaske	funsa, skrum(b)la, ruspa, skølma, gera arbeiði óvandaliga, ikki vanda sær um;j. afkrutla, rísla, klóra, ruspa;j. et stykke arbejde afhurra ígjøgnum arbeiði, fara skjótt um arbeiði;j. sitarbejde afgera arbeiði óvandaliga, ruspa;j. medsprogetikki vanda sær um málið;j. sammen(mad)vevja saman
jaskeri	skrum(b)l, rusp
jasket	ruspaður, skrumblaður, fesjutur; líkasælur;en j.skriftklór, krutl
jasmin	(plfr.) jasmin(Jasminum)
jasminparfume	jasminluktilsi
jaspis	(steinfr.) jaspis (brúktur sum prýðissteinur)
jaspisrød	jaspisreyður
jastemme	jaatkvøða
jaså	eija, íðan, eg meini tað;Jørgensen blev valgt! j.,det var noget nytJørgensen varð valdur, íðan tað vóru tíðindi
Java1	Java
java2	kaffi av oynni Java
javaner	javanesari, javamaður
javansk	javanskur
javel	eg meini tað, íðan, í lagi! ja, meðni;rejs Dem op!j.reisið tygum upp! í lagi
javist	víssuliga, sanniliga, jú so víst, tað er vist;har dulavet dine lektier? J. har jeg dethevur tú lisið uppá? Jú, tað er vist eg havi
jazz	(tónl.) djassur
jazzagtig	(tónl.) djasskendur
jazzballet	djassballett (í stevi og stíli sprottin úr afro-kubanskum dansi og tónleiki)
jazzband	(tónl.) djassbólkur
jazze	(tónl.) djassa
jazzentusiast	(tónl.) djassfjepp
jazzhus	djasshús (matstova og vertshús við djasstónleiki)
jazzinteresseret	(tónl.) djasshugaður
jazzmusiker	(tónl.) djasstónleikari
jazzorkester	(tónl.) djassorkestur
jazzrock	(tónl.) djassrokkur(samruni millum djass og rock)
jazzstil	(tónl.) djassstílur
jazztosset	hann er djassgalin
jeans	jeans; konufólkabuksur ið røkka niður á kálvan
jeep	jeppur, gipur
jeg1	eg; (sjálvs)menska;jegetmenskan;han er kunoptaget af sit eget j.hann melur bara (uttan) um seg sjálvan;man kan spalte sig selv op i flerejegerein kann kloyvast í fleiri menskur;mit bedrej. siger mig detsamvitskan sigur mær;ens andetj. (gl)sum líkjast í sinn og skinn; unnusti, unnusta, kærur vinur;ens bedre j.betri parturin av mær
jeg2	eg(hvønnfoghvørjf)mig; (hvørsf)min; j. ermedeg skilji;det synes j.tað haldi eg
jegbevidst	sjálvglaður
jegroman	,-er (bókm.)eg-skaldsøga (skaldsøga, sum er skrivað í fyrsta persóni)
jegstil	(bókm.) eg-frásøgusnið;en roman i jeg-stilskaldsøga í eg-frásøgusniði
Jehova	síJahve
jemini	áh (ísamb.viðherre j.harragud, harrans malagrót (og flag)
jens	1heiti á vanligum donskum hermanni2en pigernes j.konufólkarevur
jente	(norskt) genta
jer	av I) tykkum; (íhátíðmáli stundumhvørsf)tykkara
jeremiade	1gremjan;pessimistens evindelige jeremiaderendaleysa gremjanin hjá svartskygnisfólki2(bókm.)harmasøga, harmagrátur, syrgilig søga, søga um vanlagnu
Jeremias	(bíbl.) Jeremia, Jeremíggjas (ein av teimum stóru profetunum í Gamla testamenti)
jern1	1(metalið)beklæde med j.klæða við jarni;gammelt j.gamalt jarn, brotajarn, (av málmiosfr.)fras;skøjte med krumt j.(undir sletu, vøggu) gangari;skøjte med to j.(til børn) skoyta við tveimum gangarum;j. er uundværligt for denmoderne civilisationjarn er ómissiligt hjá nútíðar siðmenning;jern- og stålindu strijarn- og stálídnaður;af j.úr jarni2(lækn.)jarn (heilivágur);jerntabletterjarntablettir3(fl.m.) smede medens jernet er varmtsmíða meðan jarnið er heitt, hoyggja meðan terri er; (um fólk) eitt jarn, eitt grev, ein verkhestur; (um konufólk) konubrot;hun er et jernhon er eitt grev; hon er eingin bloyta
jern2	1(amboð og jarnlutir) ofta ísmst (t.d.)goderådsjern, krøllejern, strygejern, vaffeljerngóðaráðjarn, purlujarn, strúkijarn, vaflujarn; (um leinkju)lægge i j.leggja í bolt og jarn2(átr. og løgfr.) bære jernbera jarn (síjernbyrd)3(fl.m.) have mange j. i ildenhava nógv um at vera;have for mange j. i ildenhava ov nógv fyri í senn; hava ov nógv jørn í eldinum;jernet(jernindustriens fagforbund) har afsluttetforhandlingerneyrkisfelag jarnídnaðarins hevur lokið samráðingarnar
jernalder	(forsøguligt tíðarskeið eftir bronsuøld tá ið farið varð at vinna jarn úr jarnmálmi til vápn, amboðo.a.;í Norðurlondumo.u.500 f.Kr. tilo.u.1050 e.Kr.) jarnøld;den ældre jernaldereldra jarnøld;den yngre jernalderyngra jarnøld
jernanker	jarnakker
jernarbejde	jarnsmíð
jernbane	jarnbreyt;endepunkt for j.endaknútur(el.endi) á jarnbreyt;énskinnet j.einsporað jarnbreyt;anlægge jernbanerleggja jarnbreyt
jernbanearbejder	jarnbreytararbeiðsmaður
jernbanebillet	jarnbreytarseðil
jernbanebro	jarnbreytarbrúgv(flt-brýr, -brúgvar)
jernbanefløjl	(klæði) jarnbreytarfloyal (groft ruflut floyal)
jernbaneforbindelse	jarnbreytarsamband
jernbaneknudepunkt	jarnbreytamót, groyping, samband, sambinding
jernbanelinie	jarnbreyt, spor
jernbanenet	jarnbreytakervi
jernbaneoverskæring	jarnbreytarbrúgv
jernbanerestaurant	jarnbreytarmatstova
jernbaneskinne	jarnbreytarspor
jernbaneskråning	jarnbreytarskrái
jernbanespor	jarnbreyt
jernbanestation	jarnbreytarstøð
jernbanevogn	jarnbreytarvognur;halvkupé i enden af j.hálvklivi í endanum á jarnbreytarvogni
jernbeslag	jarnstyrking, jarnverja, (undir stivla) naddi, klubbi
jernbeslået	jarnstyrktur, jarnlagdur, jarnvardur, jarnsligin, jarnbúgvin
jernbeton	jarnbetong, jarnstyrkt betong
jernbryllup	(fl.m.) jarnbrúdleyp (70 ára brúdleypsdagur)
jernbyrd	(løgfr.) jarnburður (miðaldarlig próvførsla, tá ið ákærdi prógvaði sítt sakloysi við at bera gløðandi jarn níggju fet og hendurnar skaddust ikki, sígudsdom)
jerndisciplin	(fl.m.) jarnagi
jernerts	(jarðfr.) jarnmálmur
jernet	(fl.m.) Jernet (st) jern- og metalindustrien jarn- og metalídnaðurin
jernfilspån	jarnspón;jernfilspånerjarnsvarv, jarnspønir
jernflid	(fl.m.) ovurídni
jerngreb	(fl.m.) fastatøkur, tað at verða gøllhildin, tað at verða hildin sum í gølli;diktatoren havde et j. omfolketeinavaldsharrin helt fólkinum sum í gølli, einavaldsharrin hevði fastatøkur á fólkinum
jernhelbred	ógvuliga góð heilsa
jernholdig	jarnhavin, jarnkendur, jarnríkur
jernhæl	jarnhælur;diktatoren knuste nabostaterne medsin j.einaræðisharrin knúskaði grannaríkini undir sínum jarnhæli
jernhånd1	(sø.) jarnhond (eftirgjørd hond úr jarni)
jernhånd2	(fl.m.) hørð hond;regere med j.stýra við harðari hond;have en j. i en fløjlshandskehava jarnneva í einum floyalshandska
jernhård	jarnharður, grótharður, harður sum steinurin, miskunnarleysur
jernilte	(evnafr.) jarnsúrni
jerniltebelægning	jarnsúrnisskón
jernkerne	jarnkjarni
jernkis	(jarðfr.) brennisteinskis, pýritt
jernklo	jarnklógv(fltjarmkløur)
jernkrampe	jarnkrampi (at binda saman inn- og útvegg í múrsteinshúsum)
jernkrog	krókur, krampi;(tøkn.)klógv
jernlunge	1(lækn.)jarnlunga, andingartól2jarnlungu (um lungu í jarnarbeiðara ið hava andað nógv jarn í seg og hava fingið reydligan dám,Siderosis pulmonum)
jernlænke	jarnleinkja
jernmalm	(jarðfr.) jarnmálmur, jarngrýti
jernporcelæn	hábrent postalín
jernramme	jarngrind, jarnrammi, jarnramma
jernsav	jarnsag
jernspurv	(dý.) jarntítlingur(Prunella modularis)
jernspån	jarnspónur
jernsten	(jarðfr.) jarnsteinur
jernstøber	jarnstoypari
jernstøberi	jarnstoypivirki
jernsulfat	(evnafr.)jarnsulfat
jernsulfid	(evnafr.)jarnsulfid
jerntæppe	1(í leikhúsi) jarntjald (tjald, sum eldur ikki festir í, sum eftir leik verður drigið niður ímillum pall og sal2(fl.m.)forðing ið ikki slepst umel.ígjøgnum3(sø.) jerntæppetjarntjaldið (frá 1948 til 1989 um markið millum eystur og vestur í Evropa);bagjerntæppethandan jarntjaldið (í Sovjetsamveldinum og ríkjum knýtt at tí)
jernvinkeltrappe	jarnvinkultrappa, jarntrappa í L-sniði
jernvitriol	(evnafr.) jarnvitriol (jarnsulfat bundið við vatni, nýtt til litingaro.a.)
jernværk	jarnstoypivirki
jernværksejer	jarnvirkiseigari
jeronimus	knarrutur og íhaldin húsbóndi (eftir navninum á vanliga " faðirnum" í leikum Holbergs)
jersey	1jersey (felagsnavn fyri fastbundnar, maskinbundnar vørur)2troyggja úr hesum klæði (ið leggur seg tætt at kroppinum)3ísmstum neytaslag
jerseyko	(dý.) jerseykúgv
jerseykvæg	(dý.) jerseyneyt
jerseytrøje	jerseytroyggja
Jerusalem	1Jerusalem (býur í Ísrael og Palæstina)2(bíbl.) det nyel.himmelske J.(Áp. 21, 2) hitt nýggjael.himmalska Jerúsalem;Jerusalemsskomagerskómakari Jerúsalems3(fl.m.) Jerusalems forstyrrelseJerúsalems vanskil;`J. brænder'`Jerúsalem í loga' (veitsluspæl)
Jesabel	1(bíbl.)Jesabel (var gift við ísraelska konginum Akabi (1. Kongab. 16, 31)2(fl.m.)brita, groyggj
Jesaias	(bíbl.) Jesaja (profetur í GT)
jesuit	1(kat.)jesuitti, kristsmunkur (limur í munkaskipan, ið Ignatus Loyola stovnaði í 1534)2(fl.m.)ein ið nýtir allar snildir at fáa sítt
jesuitermunk	(kat.) jesuitamunkur, kristsmunkur
Jesuiterordenen	(kat.) Jesuitalagið, Kristsmunkalagið
jesuitisk	(kat.) ts jesuitiskur, jesuita-, kristmunka-; skinhalgur
jesuitisme	1(kat.)jesuitastevna, kristmunkastevna2kávalæti, lúnskur framferðarháttur;politiskjesuitismepolitiskt kávalæti
Jesus	Jesus, Jesuspápi;Vorherre J.Harrin Jesus
jesusbevægelsen	jesusrørsla (vekingarrørsla, stovnað í USAuml1970)
jet1	(jarðfr.) svart glitrandi brúnkol nýtt sum gersemi; gagat
jet2	ts. s.jetfly
jetalder	jettøld
jetfly	(flogm.) jettflogfarjetjager-en, -e (flogm.)jettjagari
jetmaskine	(flogm.) jettflogfar
jetmotor	(flogm.) jettmotorur
jeton	spælimerki
jetperle	(jarðfr.) jettperla, gagatperla
jetpilot	jagaraflogskipari
jetset	el.-sglæsilið (flokkur av samfelagsins ríkastu, ið fara millum frítíðarstaðirnar í jetflogførum; tey ríku ungu ið liva í gleimi)
jetstrømme	(veðurfr.) jettstreymur
jeunesse	ungdómur;j. d'oréeyvirstættarungdómur, gullrandaður ungdómur
jf	jævnførber saman
jiddisch1	(í bundnum sniði)-en,einkifltjiddiskt (mál hjá jødum í Mið- og Eysturevropa; blandingur av hebraiskum og týskumel.polskum; íkomin í 14. øld, verður skrivað við hebraiskari skrift)
jiddisch2	jiddiskur;den j. litteraturjiddisku bókmentirnar
jig	jigg (lívligur dansur og tónleikurin sum hoyrir við)
jigger	jiggari (víður konufólkajakki)
jitterbug	jitterbug (djassdansur við fáum einføldum grundstevum, sum improviserað verður eftir)
jiujitsu	(ítr.) japansk glíming (fevnir um serlig tøk og sløg á nervadeplar)
jive1	(tónl.) jive (djassdansur, djass-sermál, inniligurel.øsandi swing-tónleikur)
jive2	(tónl.) jiva (at tosa og skemta meðan djassur verður spældur)
j. nr.	skránummar
jo1	1(sum er eyðsæð)han er jo sygíðan, hann er sjúkur;men han havde jo også rejst megetmen ikki tær at siga, hann hevði fariðel.verið víða;nukan du jo tygge på deníðan tú kanst hugsa um tað;jo, ser du(inngangsorð) jú, veitst tú; jú, vita tygum2(at viðganga eitthvørt)jo, jojú tess;hun havdejo hørt detíðan, hon hevði hoyrt tað;det er joudmærkettað er frálíkt;jeg tænkte det jo nokeg hugsaði so3(óneyðugt í noktandi setningi)det aner du joikke spor omtú hevur ikki hóming av tí;der kanintet ske, uden han jo straks er på plettenikki stingst fingurin í øskuna, uttan at hann er har beinan vegin- B.sumsbísamb.við miðstig;jogalere jo bedreørari tess betri;jo mere hantjente jo mere brugte hanmeira hann vann meira hann nýtti;jo mindre man taler om sagenbest ikki at tala orðið; minni tú talar um málið, tess betri;jo før jo hellerejú skjótari tess betri
jo2	1sum svar til spurningar, ið hava nokting í sær;" kommer du ikke?" " jo!"" kemur tú ikki?" " jú!" ;" du har vel ikke en cigaret?" " jo"" tú hevur ikki eina sigarett?" " jú&quot2sum boðar frá at drigið verður á bæði;" forstårdu det nu?" " jo (men)"" skilur tú tað nú?" " jú (men)&quot3(speiskur el. argur málburður);jo, god morgen,det kan vi godt opgivejú takk, men hasum kunnu vit gott sleppa;har du fået havregrødnok? jo, ellers takhevur tú fingið nóg nógvan havragreyt? jú, annars takk
joansøster	jónusystir (limur í ráðgevarabólki fyri konufólk, ið hava verið fyri harðskapi)
job	1arbeiði, starv; verk, uppgáva;fedt j.vællønt starv, ynskistarv;have et hårdt j.hava hart arbeiði; hava hart hoyggj at draga;have to jobspå en gang (eis.)arbeiða `svart', hava framíhjáarbeiði(el.hjávinnu);befinde sig godtpå jobbettrívast væl í arbeiðinum2(fl.m.) det var et hårdt j. at få hende overtalttað gingu kossir á at fáa hana til tað
jobbe	1arbeiða2(bú.)handla við virðisbrøvum, handla við pengum;j. oppeysa upp (fáa virðisbrøv at hækka við at keypa og selja í røttum løtum)
jobber	1(bú.)virðisbrævahandlari, børsspekulantur (virðisbrævahandlari sum roynir at ávirka gangvirðið við at keypa og selja)2(niðr.)kritlari
jobberi	1okring, vøruokur2(bú.)virðisbrævahandil
jobbeskrivelse	starvslýsing
jobcafé	vinnustova, yrkisstova
jobkategori	starvsflokkur
jobprofil	starvsførleikar
jobrotation	starvsumferð
jobsamtale	starvssamrøða
jobskema	arbeiðsfremjandi ætlan/tiltak
jobspost	(bíbl.) ring tíðindi, sorgarboð (úr Jobsbók í GT)
jobtilbud	arbeiðstilboð
jobudvikling	starvsmenning
jockey	(ítr.) kappríðari
jod1	jodd (navnið á bókstavinum j)
jod2	(evnafr.) jod (frumevni)
jod3	(lækn.) jod upployst í spritti;behandle med j.jodviðgera
jodforbindelse	(evnafr.) jodsamband
jodforgiftning	(lækn.) jodeitran
jodholdig	(evnafr.) jodhavin, jodkendur
jodhpurs	reiðbuksur
jodkalium	jodkalium
jodle	(tónl.) jodla
jodlen	(tónl.) jodlan
jodnatrium	(evnafr.) natriumjodid
jodoform	(evnafr.) jodoform
jodsyre	(evnafr.) jodsýra
jogge	(ítr.) heilsurenna
jogging	(ítr.)heilsurenning
joggingsko	renniskógvar
jogning	ts. s.jogging
jogurt	ts. s.yoghurt
joh	mja (boðar frá at ein dregur á bæði);forstår dudet nu? j. men...skilur tú tað nú? jú, mja men....
johannesbrød	1(plfr.)jóhannesarbreyðtræ(Ceratonia siliqua)2turkaður bjølgur av jóhannesarbreyðtrænum (verður bæði nýtt til matna og dýraføði)
johanniterridder	(kat.) jóhannesriddari (munkur); (elsta kirkjuliga riddaraskipanin, stovnað í Jerusalem við tí endamáli at sameina sjúkrarøkt og hertænastu)
joint	marijuanasigarett
joint venture	samváði;joint venture selskab samváðafelag
joker	1(kortsp.)jokari; skemtari, fívil, íspegil, skemtingarsamur maður, kúllur, jassur, skálkur2(fl.m.)eitthvørt óvæntað
jokertegn	(teld.)algildistekn
jokke1	óhirja, ótriski, ófantaligt konufólk
jokke2	1hólka, hólpa, skjølka, trampa, traðka, pleyra, kleyra;lad være at j. mig over tæernegevst við at kleyra á tærnar á mær2(fl.m.)j. i det, j. i spinatenbongla, fesja, gera mistøk, krutla
jolle1	(sigl.) jolla, skipsbátur, árabátur
jolle2	tita, fipa;hun jollede af sted på sine korte benhon fór titandi á sínum stuttu beinum
jollebom	(sigl.) bátagálgi, daviður
