V,v1	1málljóð2bókstavur
valfart	1(átr.)vallaraferð, pílagrímsferð2(fl.m.)útferð (til søguligan stað)
valfarte	1fara vallaraferð, fara pílagrímsferðel.pálmaraferð2(fl.m.)fara útferð (til søguligan stað)
valfartssted	1pílagrímsstaður, vallarastaður2(fl.m.)útferðarstaður
valg	1val;frit v.(í handli) frítt val;han er ikki kræseni valget af sine midlerhann fírir ikki fyri nøkrum, tá ið hann hevur sett sær okkurt fyri;valget faldtpå migtað fall mær í lut, tað varð litið mær upp í hendur;give én valget mellem to tinggeva einum tvinnar kostir í at velja;jeg har intet v.eg havi einki í at velja;overlade valget til énlata ein sjálvan sleppa at velja, líta einum upp í hendi at velja sjálvur;træffe sit v.taka støðu, velja sjálvur2(stjm.)val;v. til bestyrelse, Folketingetstjórnarvalel.nevndarval, fólkatingsval;direkte,indirekte v.beinleiðis, óbeinleiðis val;søge v.bjóða seg fram sum valevni, stilla upp sum valevni fyri;gå til, skride til v.fara undir atkvøðugreiðslu
valgagitation	valstríð;deltage i v.vera við í valstríði
valganalyse	valgreining
valgavis	valblað
valgbar	valbærur;v. til Folketinget er enhver, der harvalgret til detteøll, ið hava valrætt til fólkatingið, eru eisini valbær
valgbarhed	valbæri
valgberettiget	sum hevur valrætt, valførur
valgbestyrelse	valstýri
valgbestyrer	formaður í valstýri, valstýrisformaður
valgbord	valborð
valgbrev	valbræv (bræv, ið valevni fær frá valstýri, at hann er valdur)
valgbureau	1valskrivstova (skrivstova undir valstýrinum, sum gevur veljarum vegleiðing)2valskrivstova (sum skipar fyri valstríðnum hjá flokki á valdegnum)
valgdag	valdagur
valgdeltagelse	valluttøka
valgdistrikt	valdømi
valgekspert	valserfrøðingur, serfrøðingur í valgreining
valgfag	vallærugrein
valgfeber	valfjáltur, valspenningur, valøsing
valgflæsk	valagn, veljaraagn, vallyfti, gjar, útgjar;bruge v.gjara út
valgforbund	listasamgonga
valgforsker	valgranskari
valgfri	1valfríur, sjálvboðin;fransk er valgfrit fag i 10. klassefranskt er vallærugrein í 10. flokki2(plfr., lívfr.) valbundin
valggeometri	valdømisbýti, ið miðar eftir, at valúrslitið verður ávísum flokki(el.flokkum) at gagni
valghandling	atkvøðing
valgkamp	valstríð
valgkampagne	valátak, valstríð, valherferð
valgkandidat	valevni
valgkort	valkort
valgkreds	valdømi
valgliste	vallisti;vælgeren må undersøge om han eroptaget på valglistenveljarin má (sjálvur) kanna eftir, um hann er á vallistanum
valglokale	valhøli
valglov	vallóg
valgløfte	vallyfti
valgmand	(sø.) valmaður;ved landstingsvalgene valgtevælgerne valgmænd, der atter valgtelandstingsmændeneveljararnir valdu valmenn til landstingsvalini, sum so aftur(el.í sínum lagi) valdu (sjálvar) landstingsmenninar
valgmandsforsamling	valmannaráð
valgmenighed	valkirkjulið
valgmenighedspræst	prestur fyri valkirkjuliði
valgmulighed	valmøguleiki
valgmøde	valfundur, veljarafundur
valgnummer	valnummar (tað nummar, ið veljari hevur á vallistanum)
valgperiode	valskeið, seta;den ordinære v. er 4 årregluliga valskeiðið er 4 ár
valgplakat	valuppslag, valplakat
valgprogram	politisk stevnuskrá, valskrá
valgprotokol	valbók
valgprøvelse	valkanning
valgresultat	valúrslit
valgret	valrættur
valgretsalder	valrættaraldur
valgrige	(sø.) valríki (har sum kongur verður valdur,móts.arvaríki)
valgsejr	valsigur
valgslag	hart valstríð
valgslægtskab	andligur skyldskapurel.felagsskapur, kensla av hoyra saman, hava eitthvørt í felag
valgsprog	leiðarorð, loysanarorð, slagorð
valgsted	valstaður
valgtryk	valtrýst
valgudsendelse	valsending
valgurne	atkvøðukassi;lægge sin stemmeseddel ivalgurnenleggja atkvøðuseðilin í atkvøðukassan
valgår	valár
Valhal	(gudal.) Valhøll (Óðins høll, hagar valkyrjur bóru stríðsmenn, ið fullu á vígvøllum)
validere	galda, hava gildi
validitet	gildi;(løgfr.)rættargildi
valium	valium (sissandi heilivágur)
valk	tóvi, tógvi (at hava undir háruppseting)
valke	tøva, leggja hondina á;v. med hændernetøva undir hond;v. med føddernetøva undir fót;hårdtvalkettøvdur í klett(el.í tó(g)va)
valkebræt	tóvarafjøl
valkejord	(jarðfr.) jarðfiti(Montmorillonit)
valker	tóvari
valkeri	tóvvirki
valkyrie	(gudal.) valkyrja (kvennskapningar, ið av Óðini høvdu fingið álagt at kjósa teir, ið fullu í bardaga og leiða teir til Valhallar)
vallak	hestur (geldur greðingur)
valle1	blonda (klárur løgur av loypingi), mysa (klárur løgur, sum setur úr osti í mjólk, tá ið hon verður upphitað)
valle2	smyrja við fitievni(t.d.skíðir)
vallon	valloni, vallonari /-ll-/ (belgiumaður, sum hevur franskt sum móðurmál)
vallonsk	vallonskur /-ll-/
valm	(byggl.) avroysnað tekja, gumpatak
valmtag	(byggl.)gumpatekja, gumpatak, tekja við gumpareising; tekja, ið er gumpað fyri endarnar
valmue	(plfr.) dreymsólja, valmúa (avPapaver);fjeld v.rótmikil-dreymsólja(Papaver radicatum)
valmuefrø	dreymsóljufræ
valmuekapsel	(plfr.) dreymsóljuhylki
valmuesaft	dreymsóljusevja
valnød	valnøt
valnøddekerne	valnøtarkjarni
valnøddesaft	valnøtarsevja
valnøddetræ1	(plfr.) valnøtartræ (vøksturin)(Juglans regia)
valnøddetræ2	(tilfarið) valnøtarviður
valorisation	(bú.) skipað og javnað vøruútboðel.vøruframboð(t.e.við at keypa uppel.leggja vørur á goymslu fyri at tryggja, at prísirnir ikki lækkael.at beina fyri teimum)
valorisere	1(bú.)skipa og javna vøruframboðel.vøruútboð2(bú.)(royna at) trýsta prísirnar upp
valplads	1valur, vígvøllur;beholde valpladsen (eis.ífl.m.)sigra, vera við yvirluta(n);forlade valpladsenflýggja, rýma2(fl.m.) forlade valpladsenkasta frá sær, gevast á hendur (á hondumel.á hendi), geva skarvin yvir, gevast, leggja árarnar inn
vals	1(dansur) valsur,engelsk v.enskur valsur;wienervalsvinarvalsur, wienarvalsur2(fl.m.)skortfleingja, toyggj, reiggj, broysa, ákoyring, nos;få en v.fáa av at vita;give én enordentlig v.hundskamma ein, hvessa í ein, geva einum av grovfílini(el.av tonnum)
valse1	1(tøkn.)kelvi, valsur, rulla;v. i en elektrisk rulle,på en skrivemaskinekelvi(el.valsur) á elektriskari rulluel.skrivimaskinu2(fl.m.) der er slinger i valsenher er ikki (alt) rættvorðið, her ruggar ikki alt rætt
valse2	(tøkn.) slætta, tynna, tenja, kelva;v. stål ud tilpladerkelva (valsael.tenja) stál til plátur
valse3	valsa (dansa vals);de havde valset sammenunder hele ballettey høvdu valsað saman alla veitsluna;af glæde gav hun sig til at v. rundt istuenhon dansaði runt í stovuni av berari gleði
valsen	(sø.) (bara í bundnum sniði og bara ísamb.við)gå, være på valsenhandverkari, ið ferðaðist um og hevði tilfallandi(el.fyrifallandi) arbeiði ymstastaðni í útlondunum
valsetakt	valsistev, valsitakt
valsetone	valsitóni;der lød valsetoner fra balsalenvalsitónar hoyrdust út úr veitsluhøllini
valsetrin	valsistig
valseværk	stálverksmiðja, tenjingarvirki
valte	(bara ísamb.við)skalte og v.sískalte
valuar	løggilt fastognarsølufólk
valuta	gjaldoyra;få fuld v. for pengenefáa fult virði fyri pengarnar;lige efter krigen var den svenske krone hård v.beint eftir kríggið var svenska krónan sterkt gjaldoyra;betale med udenlandsk v.gjalda við útlendskum gjaldoyra(el.pengum)
valutabørs	søluskáli, gjaldoyrabørs, gjaldoyramarknaður
valutacentral	gjaldoyramiðstøð
valutaforretninger	(handilsm.) gjaldoyrahandlar
valutahandel	gjaldoyrahandil
valutahandler	gjaldoyrahandilsfólk, gjaldoyrasølufólk
valutakontrol	gjaldoyraeftirlit
valutakrise	gjaldoyrakreppa
valutakurs	gjaldoyrakursur, gjaldoyrakostnaður;valutakurser pr...gjaldoyrakursur tann...
valutapukkel	stór skuld í útlendskum gjaldoyra, uttanlandsskuld ríkis
valutareserve	(hjá bankum) tiltaksgrunnur, gjaldoyragoymslael.áogn í útlendskum gjaldoyra
valutarisk	gjaldoyra-, gjaldoyra viðvíkjandi;v. uniongjaldoyrasamband
valutaskift	(handilsm.) gjaldoyraskifti
valutaslange	gjaldoyraslanga
valutaspekulant	gjaldoyraspekulantur
valutasystem	gjaldoyraskipan
valutaterminsforrentning	(handilsm.) gjaldoyraterminsrenta;registrering af valutaterminsforrentningskráseting av gjaldoyraterminsrentu;rulning af valutaterminsforrentningrulling av gjaldoyraterminsrentu;fuld lukning af valutaterminsforrentningfulllæsing av gjaldoyraterminsrentu;dellukning af valutaterminsforrentningpartlæsing av gjaldoyraterminsrentu;ordinær lukning af valutaterminsforrentningvanlig læsing av gjaldoyraterminsrentu;afvikling af valutaterminsforrentningavtøka av gjaldoyraterminsrentu
valutaunion	gjaldoyrasamband
valør	virði, gildi(t.d.á pengaseðlum, frímerkjum), merking, frámerki; stíldámur, litbrigdi; (ljós)styrki;ordene `nydelig' og `smart' harforskellig v.orðini`nydelig'og`smart'hava ymiskan stíldám
vammel	1vamlisligur, spýggiligur, sum býður ímóti, einum stendst við, kválmutur, sum er ov søtur2(fl.m.)ovurkenslusamur, kroystkendur
vammelsød	vamlisliga søtur, smikursøtur
vamp	sívampyr3.
vampyr	1blóðsúgvandi dýr, blóðsúgvari, vampýrur2(fl.m.)okurkallur3(fl.m.)vampýrur (konufólk, sum nýta kynið at eyðræna menn)
vams	tjúkk, heit troyggja; vampi
van	týskavon)
van-	niðrandi orðasamansetingarn,logs,t.d.vanskæbne, vanfør, vanhelligevanlagna, vanførur, vanhalga
vanartet	óargaligur, óarga-;et v. barnóargabarn, óargaungi, ótangi, illa vant barn
vand1	1vatn (sum løgur);blødt, hårdt v.bleytt, hart vatn (við nógvumel.lítlum kálki í);et glas v.eitt glas av vatni;ligne hinanden som to dråber v.vera meinlíkir;indlægge v. i en ejendomleggja vatn inn í hús;støvlerne kan holde v.stivlarnir leka ikki(el.eru tættir);båden trækker v.báturin lekur;kunne vise v.duga at finna vatn (finna vatnræsi);det øste v. nedtað oysti(el.stoytti) niður2(fl.m.) det alibi kan ikke holde v.hatta fráveruprógvið heldur ikki(el.er ikki haldgott);straffen var dengang 14 dages v. og brødrevsingin tá (á døgum) var 14 dagar við vatni og breyði;skuespilleren bærer ikke v. mod sinforgænger i rollensjónleikarin er ikki maður móti undanmanni sínum í leiklutinum;gå gennemild og v. for énvilja gera alt fyri ein, fara ígjøgnum eld og vatn fyri ein;slå koldt v. i blodetsissa seg, tempra seg, sláa hælin í vatn;som atslå v. på en gåstað er sum at sletta vatn á gás (einki rínur á);få en spand koldt v. overhovedetfáa sum vátan vøttin beint frammaná, falla í fátt, standa sum (lundi) sligin á nevið;det erv. på hans møllesímølle; deres villa er det renev. mod jereshúsini hjá teimum eru einki móti tykkara;en perle af førsteel.reneste, af andet,tredje v.fyrsta floks, annans floks, triðja floks perla;en fanatiker af reneste v.ein gjørdur(el.føddur) fanatikari;(fl.m.) synspunktet delte(el.skilte) vandenesjónarmiðið loypti splitt;da manpå generalforsamlingen nåede til det vigtigstepunkt, delte vandene sigtá ið aðalfundurin kom til týdningarmesta málið á skránni, tók ósemja seg upp;lægge v. mellem sig og en andenleggja sjógv millum seg og hin;der er løbet meget v. istranden siden den tidnógv vatn er runnið í ánni síðani tá, mangt er broytt(el.umskiplað) síðani tá;snyde én så vandet driver af hamlumpa ein, so tað stendur eftir3(um vatn í náttúruni);havets v.sjógvurin;destille og spejlblanke vandekyrt og spegilsslætt vatn;de bornholmske vandesjógvurin kring Borgundarhólm(el.Bornholm);stillestående v.,havvandstøðuvatn, støðusjógvur;v. medtemperatur omkring frysepunktetfrostvatn;vandene brød ind over digernebrimið breyt upp um flóðgarðarnar, tað legði inn yvir flóðgarðarnar;vandet falder, stigertað fjarar, fløðir;sejle vandet tyndtsigla havið upp í skúm, trásigla4(umymsløgir, ið líkjast vatni)tage til Ems forat drikke (mineralsk) v.fara til Ems fyri at drekka (mineralskt) kelduvatn;fostervandfosturvatn;lade vandetkasta sær av vatninum;have v. iknæethava vatn á knænum;vandet stod ham iøjnenehann táraði, eyguni á honum vættust(el.vatnaðust);vellugtende vandevatn, ið angar væl5[ísamb.viðfsel.hj]foråbne for vandetskrúva kranan frá;gå for lud og koldt v.ongan góðan eiga, vera sum fjarskotin fuglur, reka fyri vág og vind- ihave det som en fisk ivandettrívast væl, liva væl;sætte en båd ivandetdraga bát (á sjógv), flota (skjótael.skúgva) bát;gå i vandetfara at svimja, fara útí,(fl.m.)verða lumpaður;ligge i vandetvera útií;hans tænder løb i v.vatnið rann úr tonnunum á honum;springe i vandetleypa útí;fiske i rørtevandegera sær dælt av einum, síggja sær góðan leik- indbåden tager v. ind(um stokkin) báturin drekkur- ovenoven vandeuppiúr;holdehovedet o. vandethava høvdið upp undan;(fl.m.)royna sum best(el.frægast)- overchefensvæver over vandenestjórin er her og allastaðni, stjórin ansar eftir øllum;gå o. åen eftervandfara yvir um ánna eftir vatni- påvragetligger på 10 meter v.skipsrovini liggja (skipið liggur) á 10 metra dýpi- tilstridskræfterne tillands og til vandshermegin á sjógvi og landi;trække køerne til vandsfara at brynna neytunum-undersætte en lavtliggende eng under v.leggja láglendi undir í vatni;svømme under v.svimja undir vatni- vedbyen ligger ved vandetbýurin liggur oman móti sjóvarmálanum(el.úti við sjógvin)
vand2	sodavatn, miniralvatn;en dansk v.ein fløska av donskum vatni;en hvid (soda)vandein fløska av donskum vatni(el.tonikvatni)
vandafgift	vatngjald
vandafkøle	vatnkøla
vandafledning	vatnfrárensl, vatnfrárenning
vandafvisende	vatndyggur, sum tolir vatn, sum vatn ikki rínur á
vandagtig	vatnskendur, vatnlíkur
vandaks	(plfr.) tjarnaks, mýriblað, iglagras, vatnskøra(Potamogeton polygonifolius); aflangbladet v.avlangt tjarnaks(Potamogeton polygonifolius);hjertebladet v.hjarta-tjarnaks(Potamogetonperfoliatus)
vandal	1(sø.)vandálur (vandálar vóru eysturgermanskur tjóðflokkur í fólkaferðingartíðini; í 455 rændu teir Róm)2(fl.m.)vandálur, bølari, týnari, oyðari, barbarur, búrskálkur, búrskræðari, skemdarvargur; mentanarloysingur
vandalisere	gera herverk, oyðileggja
vandalisme	herverk, skemdarverk, oyðilegging, týning, vandalisma
vandanker	(sigl.) -ankre (sigl.) vatnkaggi
vandarve	(plfr.) vatnsarvi(Montia); stor v.grýtu-vatnsarvi(Montia lamprosperma)
vandbad	vatnbað
vandbakkelse	bakstur úr vatndeiggi
vandbassin	vatnbrunnur
vandbeholder	vatnbing, vatnílat, vatntangi, vatnbrunnur
vandbestøver	(plfr.) vatngitingur
vandblandet	vatnblandaður, har sum vatn er latið í;v. grødvatngreytur, gøtugrái
vandbold	svimjibóltur
vandbrok	(lækn.) vatnlop, vatnbrokk (í skólpinum)
vandbrug	1síhydrokultur12síhydrokultur2
vandbræt	(byggl.) vatnborð
vandbuk	(dý.) antilopuslag(Kobus ellipsiprymnus)
vandbygning	vatnvirkjafrøði (havnaløg, strandarverjugarðar, vatnveitingarosfr.sum verkfrøðigrein;eis.um einstøku byggingarnar);ingeniør med speciale iv.verkfrøðingur við sergrein í vatnvirkjafrøði
vandbygningsarbejde	havnargerð, vatnveitingargerð
vandbygningsvæsen	vatnvirkjaverkið (danskur ríkisstovnur, sum varar av havna-, vatnveitinga- og strandatryggingarmálum
vandbærer	1(stjfr.)vatnberin, vatndrongurin (stjørnumerki)2(súkkluítrótt) hjálparfólk (hjá súkklustjørnu)
vandbøffel	(dý.) vatnbúffil(Bubalus arnee)
vandbåren	(lækn.) vatnborin (sum verður fluttur við drekkingarvatni, um smittusjúku)
vandcykel	-cyklervatnsúkkla /vann-/
vanddamp	vatnguva
vanddrivende	vatndrívandi, vatnrekandi
vanddråbe	vatndropi /vann-/
vande1	(bara ísamb.viðt.d.) højvandeflóð;træde v.halda sær uppi;stedet er oversvømmet veddagligt v.lendið liggur undir í flóð
vande2	geva (einum) vatn, vatna, væta; brynna;v.blomsternevæta(el.vatna) blómurnar, geva blomstrunum vatn;v. kvægetbrynna neytunum;store strækninger vandes af Nilenstór landaøki fáa vatn úr Nilá;(skemt.) v. hønsgráta;v. saltetkød udvatna saltkjøt út
vandedderkop	(dý.) vatneiturkoppur(Argyroneta aquatica)
vandel	1(bú.)søluvirði;hvad er ejendommen værd ihandel og v.hvat fæst fyri húsini, um tey verða seld nú2atburður, lívsháttur, levnað, levnaður;hans v.har været ulastelighansara atferð er lýtaleys, øll bera honum gott(el.væl)
vandelsattest	levnaðarváttan
vandenergi	vatnorka
vandenergiområde	vatnorkuøki
vandet	1vatnutur, vatndeyvur /vann-/;grønsagerne ervandedegrønmetið er bleytt(el.vatnut);en v.smagvatndeyvur smakkur, tað smakkar av ongum, tað smakkar so vatndeyvt2(fl.m.) en v. vittighedfjákut(el.býttisligt) skemt
vandfad	vatnfat, vaskifat, vatnílat
vandfald	fossur;lille v.mækja;v., der i storm blæsesopadniðanfok, áarrok,(eis.)áin flettir upp um seg;larm af v.fossadun
vandfarve	vatnlitur;tegningen skal farvelægges med v.tekningin skal litast við vatnliti
vandfast	vatndyggur, vatnfastur, sum tolir vatn, sum vatn ikki rínur á
vandfattig	vatnlítil
vandflade	vatnskorpa, vatnflati;en spejlblank v.spegilsblankur(el.spegilsslættur) sjógvur
vandflod	vatnflóð;frygtelig v. hærgede marsklandethervilig flóð legði alt láglendið undir í vatni
vandflom	áarlop, áarvøkstur, øgil(t.d.øgil er í ánni, øgil kemur í ánna)
vandfly	sjóflogfar, vatnflogfar
vandflyvemaskine	sívandfly
vandflyver	1flogskipari á sjóflogfari2sjóflogfar
vandforbrug	vatnnýtsla
vandforsyning	vatnveiting
vandfri	(evnafr.) vatnsørur, vatnleysur
vandfyldningssted	vatnbøli; stað, har sum skip hála vatn
vandfyldt	fullur av vatni
vandførende	vatnhavin;jordens v. lagvatnhavnar lindir(el.fláir) í jørðini
