h. a.	el.hujus annií hesum ári
had	hatur; fíggindasinni, ilt blóð, agg, stikni, illnati, illvilji, meinhugi, meinfýsni, illvild;lægge én for h.kasta hatur á ein;fatte h. til énkasta hatur á ein;nære uforsonligt h. til énbera ósemiligt hatur til ein;han blev lagt for h.hann varð lagdur undir hatur
hade	hata, hava andstygd fyri, fjóna;h. én som pestenhata ein sum sum sjálvan hin versta;h. somarvesyndenhata sum arvasyndina;jeg hader atkomme for sent på arbejdeeg kann ikki torga at koma ov seint til arbeiðis
hadefuld	hatskur, hatafullur, ímintur, meinskur, óreinur, meinfýsin, illnatin, illviljaður, fíggindasinnaður;hansendte mig et hadefuldt blikeg sá hatur í eygum hansara; hann rendi eyguni eftir mær
hader	hatari;være h. af urettenhata órætt
Hades	(gudal.) Hades, undirheimur, helheimur (deyðsríkið og deyðsríkisgudurin í griksku gudalæruni)
had-kærlighedsforhold	hatur-kærleikssamband;kunstnerenshad-kærligheds forhold til sit publikumhatur-kærleikssambandið hjá listafólkinum til sínar áskoðararel.áhoyrarar
hadsk	hatskur, hatafullur, illviljaður, illnatin, meinhugaður, meinhugaður; ímintur
Hafnia	(gl) Keypmannahavn
Hafniensis	Keypmannahavnar, íel.úr Keypmannahavn
hage1	1krókur, haki(t.d.bátshaki); ongul; (á ongli) agnhald2(landafr.)bugurel.bend í á; tangi av sandi og malargróti á strond3(í lási) mein, meinjarn4(fl.m.)bági, meinbogi, trupulleiki, vandamál;derer en h. ved dettað hevur ein bága, ein bági er við tí
hage2	(likam.) høka;dikke én under hagenkitla ein undir høkuni;under hagenundir øsinum, undir óstrinum;dobbelt h.dupulthøka;få dun påhagenfáa dún á høkuna;(fl.m.) til hagenupp undir oyruni;stikke hagen fremrenna høkuna fram (úr sær) (sum tekin um dirvi ella treiskni)
hage3	krøkja;hage sig fast iel.tilkrøkja seg fastan í; taka fast íel.um; læsa seg (í);(fl.m.) h. sig fast iénkrøkja seg í ein
hagebøsse	(avelt, tøkn.)høkubyrsa (byrsa av eldri slag enn musketta)
hageformet	krókskapaður, krókbogin
hagekløft	(likam.) høkuskarð
hagekors	(sø.) hakakrossur (gomul (sólar)ímyndel.heilagt tekin; nasistarnir brúktu tað frá 1920 árunum til 1945; ts. s.svastika)
hagekød	lippa
hagel	akul;(átr.)bara ísmst messehagelmessuakul
hagelap	(dý.) silpa (á høsnafugli)
hageorm	(lækn.) húkmaðkur (í vilunum, gevur blóðtrot)
hagerem	høkureim
hageskæg	undirskegg, høkuskegg
hagesmæk	bringuklútur,(gl)slevuskeyti;den lille dreng fikh. på, da han skulle spiselítli smádrongurin var latin í bringuklút, tá ið hann fór at eta
hagevedhæng	(dý.) silpur (hjá høsnum); finnur, grunnnøs (á fiski)
hagio-	heilagur; halgi
hagiograf	halgisøguhøvundur
hagiografi	halgisøguskriving
hagiologi	halgimennisfrøði; halgisøgusavn; søgur um halgimenni
hagl	1hagl, høgl;få et skud h. i kroppenfáa eitt høglskot í kroppin, fáa eitt byrsuskot í kroppin, verða skotin við haglbyrsu2heglingur;haglene piskede på tagetheglingurin glumdi á tekjuna;haglen ødelagde meget kornpå markenheglingurin oyðilegði nógv korn, heglingurin oyðilegði nógvan akur, nógva grøði- 2.(fl.m.) replikkerne var et h. afvittighederorðaskiftið var ein floymur av skemti, orðaskiftið var tað bera skemt
haglbyge	heglingsæl, (ógvisligari) heglingsskúrur
haglbøsse	høglbyrsa, haglbyrsa
hagle	1hegla2(fl.m.) lade det h. medloysa av; lata floyma;sveden hagler ned ad ansigtet på hamsveittin lekur, rennur niður eftir andlitinum;skældsordenehaglede ned over demeiðirnir heglaðu niður yvir teir
hagleffekt	(útv.) driftingur (óstøðug móttøka)
haglgevær	høglbyrsa
haglskade	høglskaði
haglskadeforsikring	(trygg.) høglskaðatrygging
haglsky	heglingstjúkn
hagltårn	(gl) høgltorn (30­35 metra høgt torn sum smeltað blýggj verður stoytt niðurí; blýggið fellur í dropum og stadnar til høgl á veg niður)
haglvejr	heglingur
haiku	(bókm.) haiku (japanskt yrkingasnið; 3 reglur við 5, 7 og 5 stavilsum; ørindislagið verður nógv brúkt í evropeiskari modernismu)
haikudigt	haikuyrking; síhaiku
Haiti	Haiti
haitianer	haitibúgvi
haitiansk	haitiskur
haitisk	haitiskur
haj	1(dý.)hávur, háfiskur(Pleurotrematae)2(fl.m.)peningagrískur maður
hajtand	1(dý.)hávatonn2(bara íflt)hávatenn (í ferðslu)
hajtænder	(í ferðslu) hávatenn
hak	1lave h. iskara, gera skarð í, gera skoru í, skøva2(fl.m.) falde i h.koma í rættlag; hóska saman;gåi h.hóska saman, passa saman;han bryder sigikke et h. om dethann leggur ikki petti í tað; honum dámar tað als ikki3(teld.)valmerki, skarð;Sfå et h. i tudenfáa ein frammaná4sumlhakketskørutur (síII. hakke); hakketkødmalið kjøt;hakket oksekødhakkibúffur; hamborgari
hakke1	(tøkn.) hakkari, eyrhakkari, pikkari
hakke2	1hakka, høgga, saksa(t.d.mold), pikka(t.d.um fugl), bróta(t.d.grót);h. småtkarva;h. efterhøgga eftir;h. tændergrísla tenn, tenninar glinta;h. ophøgga upp;(fl.m.) den ene ravnhakker ikke øjet ud på den andenravnur pikkar ikki eyguni út av øðrum ravni, ravnur drepur ikki har sum hann eigur;(fl.m.) h. til plukfisksmildra sundur, gera enda á, gera bart2(fl.m.)stama, stanka, stankla;h. i detfimlast, draga á bæði; stanka; vera í iva; tvørballa;h. ogstammeballa og stama;h. på enhøgga í ein, verael.liggja eftir einum, prika ein, brigdael.brigða einum
hakkebræt	1skeribretti2(tónl.)hakkubretti (gamalt sitar-ljóðføri, sum sligið verður á við tveimum leðurkløddum hamarum)3(niðr.)gamalt klaver4(sigl.)lúnning tvørtur um hekkuna á skipi
hakkebøf	hakkubúffur, búffur úr malnum kjøti
hakkekød	hakkikjøt, malið kjøt
hakkelse	1(avelt til fenað) (sundur)karvaður hálmur2(fl.m.) noget værre h.nakað øgiligt hoyggj
hakkelsesmaskine	(avelt, tøkn.)hálmkarvingarmaskina
hakkemad	1hakkað kjøt, malið kjøt2(fl.m.) den tale var noget værre h.handa røðan var tað rama tvætl;Shan blev slået til h.hann varð sorlaður sundur
hakkemaskine	kjøtmaskina, kjøtkvørn
hakkeorden	høggingarrað (tignarskipan hjá hønum,eis.ífl.m.)
hakning	hakking, saksing, skurður
hal	høll, salur, skáli;(skaldsk.) borgensel.templetsh.borgarel.tempulshøll; núserst.í almennum bygningum;(t.d.) banegårdshal, rådhushal
halation	(lmynd.) yvirgeisling (ísjónv)
halcyon	(dý.) kyrrfuglur(Alcedo atthis)
hale1	1hali; (á fiski) sporlel.stertur; (á fugli) vel; (á hvali) stjølur, hamarstjølurel.sveiv; (á kópi) saks;(serst.um hund)stikke halen mellembenenestinga halan millum beinini;kuperet h.avskorin hali;med kuperet h.halastuttur, halaskorin, halaleysur;hest med kuperet h.avfaksað ross; ross við stývaðum tagli;hund medkuperet h.hundur við avskornum hala;stumpeth.stuttur hali;fra hoved til h.frá høvur til sporl2afturpartur, endi, rumpa;falde på halendetta á afturpartin;(fl.m.) gå på halen af forbavselsedetta á afturpartin av berum ovfarni3(fl.m.)riðil;lang h. af børnlangur riðil av børnum;fald på halenreyvarfall
hale2	1hála, toga, draga, dragsa;(gl)yppa;h. flagetnedtaka flaggið niður2(sigl.)hiva, sleipa;h. nedtaka niður, lora;h. opdraga upp, vinda upp, hiva;h. et sejl nedlora segl;h. noget indenbordsdraga okkurt innum3(fl.m.)toga, vinna inn á, taka aftur, víkja;h. denødvendige oplysninger ud af hamtoga neyðugu upplýsingarnar úr honum;h. ind påtaka aftur, vinna inn á;firmaet er ved at h. ind påkonkurrentenvirkið er um at taka kappingarneytan aftur;h. i landbakka, víkja undan, draga í land;h. en sag i landbjarga einum máli
haleben	(likam.) halabein
haledusk	(dý.) skúvur; (á rossi og neyti) tagl
halefinne	1(dý.)stertur, sir (á fiski), sveiv(ur) (á hvali)2(flogm.)halaróður
halefjer	(dý.) velfjøður
halefod	(dý.) svimjilimur á krabbadýrum, afturpartsfótur
halehvirvel	(likam.) halageisli
halehæng	(niðr.)[ein sum ósjálvstøðugt og treytaleyst eltir fyrimynd sína]
haleløs	(dý.) halaleysur;de haleløse padderhalaleysu paddurnar(Amphibia anura)
halemejse	(dý.) veltíta(Aegithalos caudatus)
haleparti	(flogm.) afturendi, hali, vel; sporl, stertur, sveivur, hamarstjølur
haleplan	(flogm.) velvongur, afturvongur
halespids	(dý.) halasnertur, halasnippur
halestykke	(dý.) sporl (á fiski); hárógva, drunnur (á seyði og neyti)
haletudse	(dý.) sporlapadda, ormvera hjá springpaddu(Anura)
halfback	(ítr.) (í fótbólti) miðverji
halfcaste	síhalvkaste
hall	høll, gong, forstova, stórur skáli
halleluja1	halleluja
halleluja2	Harrin veri lovaður
hallo1	halló;et skingrende h.eitt snjalt halló
hallo2	halló;råbe h.rópa halló
hallucination	(sálfr.) sansahvørving, hvørvisjón, yvirsjón; ovhoyrn, yvirhoyrn, kennisemivilling;stof derfremkalder hallucinationerevni ið elvir sansahvørvingar
hallucinatorisk	(lækn.) gyklingarkent;en h. oplevelsegyklsuppliving (í sjón, hoyrn ella kennisemi)
hallucinere	gyklast;lade sig h. til at seel.hørenogetlata seg gykla til at síggjael.hoyra eitthvørt
hallucinogen1	(lækn.) evni, ið elvir sanshvørving
hallucinogen2	(lækn.) sansahvørvingarligur
halløj1	gangur, rok, hávasták, teiti, glens, gamansleikur, kæti;lave h.fáa rok í;holde etvældigt h.halda ein øgiligan gang
halløj2	hey!, halló;h. hvem derhalló, hvør er har; (kann eisini boða frá, at ein er bilsinuml)píka sjey!
halm	hálmur;strø h. under hestenestroya hálm undir rossini
halma	(spæl)lopspæl
halmbundt	(landb.) hólgi, havur
halmfyr	(tøkn.) hálmbrennari, hálmovnur
halmfyring	(tøkn.) hálmfýring, hálmkynding
halmmadras	hálmmadrassa
halmpap	hálmpapp, strápapp
halmpresse	hálmfarg, hálmpressa
halmstak	(landb.) hólgasáta, hálmsáta, hálmades, hólgaskrúgvi, skrúgvi
halmstrå	1(landb.)hálmstrá2(fl.m.) gribe efter et h.krøkja seg í seinasta møguleikan; royna tað seinasta;ikke lægge et h.i vejen for énikki forða einum á nakran hátt
halmtag	hálmtak, hálmtekja
halmvisk	(landb.) hálmsoppur, hálmløgd, hálmviskur
halo	(stjfr.) veðurgarður (um sól ella mána)
haloeffekt	ljós (rundan um eitthvørt)
halogen	(evnafr.) halogen (grundevnini fluor, klor, brom, jod og astat)
halogenlampe	halogenlampa
halogenlygte	halogenlykt
halogenpære	halogenpera
hals	1hálsur, kvørkrar;brække halsenbróta hálsin;halsen på en flaskefløskuhálsur;knække halsenpå en flaskebróta fløskuháls;halsen på enviolinviolinhálsur;sweater med rund h.troyggja við rundum hálsi, kraga2(dý.)svíri (á tarvi); (á fugli) kriki; (um hund)giveh.goyggja3(sigl.)seglhálsur;ligge på bagbords halseliggja á bakborðshálsi;for styrbords h.um stýriborðsháls4(byggl.) halsen i en kældertrappa til kjallaradyr5(fl.m.) brække halsenbróta hálsin; fara av knóranum; ikki megna eitthvørt;strække h.gána, rætta hálsin;mager h.`kriki';han er en hård h.hann er ein harður hundur; hann er harður í horn at taka- B.ísamb.viðfs- afsynge affuld h.syngja av hjartans lyst, syngja tað ein er mentur;med tungen ud(e) af halsenvið hjartanum í hálsinum;(fl.m.) det hænger mig udaf halseneg eri móður og troyttur av hesum- ifånoget i den gale halsfáa eitt í rangastrúpan, støkka rangt, seta í hálsin;have ondt i halsenhava ilt í hálsinum;have en tudse i halsenvera hásur sum ein dunnusteggi;(fl.m.) få noget galt ihalsenmisskilja eitt;hjertet sidder mig i halseneg eri hjartkiptur;det er løgn i din halstú lýgur- medgå på med krum h.leggja lív og sál í; leggja í vaðið- omvære om en h.vera um ein háls;slåarmene om halsen på énleggja armarnar um hálsin á einum; (um fugl)dreje halsen om påkippa, krika;(óvand.)snara heysin á einum;lægge strikken om sin egen h.leggja(el.seta) fót fyri seg sjálvan- overløbe over h. og hovedrenna yvir háls og herðar; renna tað, ein er mentur; koma stórleypandi;skære halsen overpå énskera ein á barkan; skera ein á háls- påskaffe sig en uven på halsenfáa sær óvin- tilsidde i gæld til halsensita upp um oyruni í skuld
halsbarm	(sigl.) tog; hálsur (fremra niðara horn át.d.gaffilsegli)
halsbetændelse	(lækn.) hálsbruni, hálstak, hálsilska
halsbind	(gl) breitt hálsbindi (bindvanlhvítt, sum hoyrdi til mansbúna; bundið um hálsinel.bundið undir kraganum; broyttist seinni til slips)
halsblodåre	(likam.) hálsæðr
halsbrand	(lækn.)bróstsviði, brandsótt, kolan(pyrosis)
halsbrækkende	hálsvágin, hættiligur, hættisligur, lívshættisligur, vandafullur;et h. springhættiligt lop
halsbyld	(lækn.) hálssvølling, hálssvullur
halsbånd	1hálsband, helsi, hálsprýði2(dý.) med h.helsutur, hálsutur
halse	1goyggja2tuska;han kom halsende, da toget var ved atkørehann kom tuskandi, tá ið tokið var um at fara3(sigl.)gippa; leggja skipið á hin bógvin við at snara tí við vindinum
halsfjer	(dý.) hálsfjøður, nakkafjøður (á hana)
halsgrube	(dý.) øskriki
halshugge	hálshøgga; avhøvda
halshugning	hálshøgging; avhøvding
halshvirvel	(likam.) hálsgeisli
halskirtel	(lækn.) hálseitil, hálskertil
halskrave	1(sø.)hálskragi (á brynju); kragi2(gl)hálskragi (leysur, til prýðis);kruset h.prestakragi, pípukragi, rúðurkragi
halskæde	hálsketa, hálsband, ringafesti, hálsfesti
halslap	(dý.) (á høsnum) silpa; (á fiski) finnur, grunnnøs; ts. s.hagevedhæng
halsled	hálsliður
halslinning	hálslíning, hálskvarði
halslængde	hálslongd
halsløs	ísamb. h. gerningóðamannaverk
halsparti	hálsurin;h. foranøsi, øs, østur
halspulsåre	(likam.) hálslívæðr
halsring	(fornfr.) tvinnaður hálsringur
halssmerter	(lækn.) hálsilska, hava ilt í hálsinum
halssmykke	hálsprýði
halsstarrig	treiskur, stívrendur, harðvunnin, sjálvráðin, tvørur, forstokkaður, stokksettur
halsstarrighed	treiskni, tvørlyndi, harðlyndi
halssygdom	hálssjúka;(lækn.)hálssjúkdómur, hálstak, hálsmein, hálsilska
halstørklæde	hálsturriklæði, hálsklútur;uldent h.ullint hálsturriklæði
halsudskæring	(á kjóla) hálsur, hálsútskering, kjólin er niðurskorin
halsåbning	(op fyri hálsi ella ermum) hjóling
halt	haltur, lamin
halte	1halta, hinka, hólka, hilka, skjólka; stika á beininum2(fl.m.) sammenligningen haltersamanburðurin haltar, samanburðurin er veikur; samanburðurin heldur ikki
haltefanden	haltiveikin (í ævintýrum og í fólkatrúgv djevulin lýstur við rossahógvum og haltur)
halten	haltan
halunk	bartrog, forherðingur, skálkur, fimbulsvætti, óvætti, lókur, spók, gorlakkur, dirðil
halv-	
halv	hálvur;i h. størrelseí hálvari stødd;en h. gang tilså storhelvtina størri;ikke halvt så storikki til helvtar so stórur, ikki helvtina so stórur;godtbegyndt er halvt fuldendtvæl byrjað er hálvavegna fullført;halvt alvorligbæði láturligur og grátuligur;halvt bevidstløsvið lítlum og ongum viti;prygle én halvt ihjellemja ein hálvgum til deyða;slå(el.stå) h. skadebýta útreiðslurnar sínámillum;for mindre end en h.time sidenfyri sløkum hálvum tíma síðan(i);en h.kyllinghálvur høsnarungi;priserne er stegetmed det halveprísirnir eru farnir upp við einari helvt;han er så vigtig, at det halve kunnevære nokhann er so erpin, at tað hálva er nóg mikið;være på h. tidarbeiða hálva tíð; arbeiða hálvan dag; (um mánan)mellem h. og fuldvaksandi; (í glíming)h. nelsonhálvur nelson; (í ríðing)h. voltehálvsnúgving; (um flagg)på h.stangá hálvari stong;man kunne se det med ethalvt øjetað sást við einum hálvum eyga;halvestandpunkterhálvar støðutakanir;de halve varforan, de halve bagvedhelvtin var frammanfyri, og helvtin aftanfyri;et halvt hundredemenneskereini hálvthundrað fólk;klokken er h.nits. s.otte (og) en h.klokkan er hálvgum níggju;lukke døren op på h.lata dyrnar hálvavegna upp;vi er halvt om ejendommenvit býta ognina helvt um helvt, vit eru saman um ognina;hun var halvt barn endnuhon var hálvavegna barn enn;få h. beskedfáa hálv boð;rende med en h. vindbera hálva søgu;kende den halve bykenna hálvan býin;se nogetmed et halvt øjesíggja eitt við hálvum eyga;hverken hel eller halvhvørki hálvur ella heilur, hvørki so ella so;et halvt ordeitt hálvt orð;kendenogen halvt om halvtkenna ein hálvavegna;stopen h.bíðael.steðga eitt bil
halvabe	(dý.) hálvapa (makiar, aye-aye og lariar,Lemuroide)
halvan	(tlm.) ein til hitt beinið
halvanden	(grundtal) hálvurannar; h. gang så meget hálvaaðru ferð so nógv;i de halvandet år jeg vari byentað hálvtannað árið eg var í býnum;h. timehálvur annar tími
halvbagt	hálvbakaður
halvbefaren	(sigl.) hálvsigldur (ikki fullroyndur sjómaður)
halvbind	1(bókab.)hálvleðursbind, hálvbind2annað bindið;bogen udkommer i to h.bókin kemur út í tveimum hálvbindum
halvblind	hálvblindur, næstan blindur, hálvavegna blindur;hesten er h.rossið er hálvblint
halvblods	1kynblendingur, blendingur;hesten er h.rossið er kynblendingur2ættblendingur (um fólkserst.indiánar)
halvbrille	hálvbrillur (lestrarbrillur; niðara helvtin vanligt brilluglas so til ber at hyggja upp um tær)
halvbroder	hálvbróðir, hálvbeiggi;være halvbrødrevera hálvbrøður
halvbæltekøretøj	(herm.) hálvbeltisakfar
halvcirkel	hálvringur, hálvklingra, hálvsirkul;de sad i en halvcirkeltey sótu í einum hálvringi
halvdags-	hálvdags-
halvdagsbeskæftigelse	hálvdagsstarv, hálvt starv, arbeiða hálvan dag
halvdagsdame	kona í hálvum starvi
halvdagsstilling	hálvdagsstarv, halvt starv
halvdannet	hálvskúlaður, ófólkaligur, hálvgjørdur, hálvmentaður
halvdel	helmingur, helvt, hálvpartur;halvdelen afbestyrelsesmedlemmerne afgår hvert andet århelmingurin av nevndini fer frá annaðhvørt ár;næsten halvdelen af tidenat kalla helvtina av tíðini;(likam.) h. af storhjernenhálva av stórheilanum;min bedre h.betri parturin (makin)
halvdæk	(sigl.) hálvdekk (hækkað dekk frát.d.miðjum skipi og aftur á hekkuna)
halvdød	hálvdeyður
halvdøgn	døgur(t.e.hálvt samdøgur)
halvdør	hálvhurð, hálvdyr;nederste h.neðralúka;øversteh.ervalúka
halvere	býta í helvt, helvtarbýta, tvíbýta;h. en kyllingbýta ein høsnarunga í helvt;understøttelsen blevhalveretstuðulin var skorin niður í helvt;(stfr.)halvere en vinkelbýta vinkul í helvt, helvtarbýta vinkul;(tøkn.) halveret jernhálvtummahálvjarn(jarn sum er blandað hvítt og grátt rájarn)
halveringskonstant	(stfr.) helvtartal
halveringslinie	(stfr.) hálvbýtislinja
halveringstid	helvtartíð (í lívfrøði-, alisfrøði- og evnafrøðitilgongd tann tíð, tað tekur, áður enn helvtin at evninum er gjørt um)
halveskadrille	lítil flogdeild
halvfabrikat	hálvvirkað;råsukker er et h.rásukur er hálvvirkað vøra
halvfed	1smáfeitur2(prent.)hálvfeit skrift, hálvgrov skrift
halvfems	(grundtal) nitti, níti, hálvfems, níggjuti; h. af hundrede vil dele min opfattelse nitti av hundrað verða samd við mær
halvfemser	nittiárari, nítiárari;i halvfemserneí nittiárunum, í nítiárunum;én der er i halvfemserneein ið er í nittiárunum, ein ið er farin um tey níti, ein ið er eldri enn tey nitti
halvfemsindstyve	(grundtal) nitti, níti, hálvfems, níggjuti
halvfemsindstyvende	(raðtal) nittiundi, nítiundi
halvfemsindstyveårig	ein, sum er nittiel.níti
halvfemsindtyvendedel	nittiundapartur, nítiundapartur
halvfjerds	(grundtal) sjúti, sjeyti, hálvfjerðs
halvfjerdser	sjútiár;i halvfjerdserneí sjútiárunum
halvfjerdsindstyve	(grundtal) sjúti, sjeyti, hálvfjerðs
halvfjerdsindstyvende	(raðtal) sjútiundi, hálvfjerðsinstjúgundi
halvfjerdsindstyvendedel	sjútiandipartur, hálvfjerðsintapartur
halvfjerdsindstyveårig	ein, sum er sjúti
halvfjollet	hálvfjákutur
halvflaske	hálvfløska (sum tekur 3/8 litur)
halvflov	hálvlotur, hálvhamur, hálvsnópin, hálvnipin, hálvfoyur
halvfordøjet	1(lækn.)hálvsodnaður2(serst. fl.m.)ikki umhugsaður, ikki væl umhugsaður;h. lærdomófullførdur lærdómur
halvfuld	hálvfullur, høvurhallur (um druknan mann);væreh.vera hálvfullur; hava hálva føru
halvfærdig	hálvgjørdur, hálvliðugur, hálvbardur
halvfætter	trímenningur
halvgal	hálvørur, hálvsvakur
halvgammel	hálvgamal
halvgennemsigtig	hálvskygdur, hálvglærur, hálvskyggin
halvgjort	hálvgjørdur;(serst.) h. arbejdehálvgjørt verk
halvgræs	(plfr.) mýrigras
halvgræsfamilien	(plfr.) mýrigrasættin(Cyperaceae)
halvgud	(gudal.) hálvgudur (lágtignargudur;serst.í grikskari gudalæru menniskja millum gudar)
halvhandske	(klæði) hálvhandski (konufólkahandski við avskornum fingrum)
halvhed	støðuloysi, vingl, linleiki, stimburloysi;man møderofte vankelmod og h.ofta sært tú dirvisloysi og vingl
halvhellig	hálvheilagur
halvhelligdag	hálvur halgidagur (dagur millum halgidagarel.eftir halgidag, tá ið fólk løgdu arbeiðið frá sær um middagsleitið; núserst.brúkt um dagarnar millum jóla og nýggjárs)
halvhjertet	treyðugur, ófúsur, av hálvum huga, líkasælur;et h.forsøgroynd av hálvum huga;halvhjertedereformforsøgbroytingarroyndir av hálvum huga
halvhundredårig	hálvthundrað ára gamal;en h. traditionhálvthundrað ára gamal siður
halvhøjt	ljódliga; spakuliga; hálvhart
halvjøde	hálvjødi (barn, har annað av foreldrunum er jødi)
halvkaste	kynblendingur(serst.millum evropeara og indara)
halvkatolik	(niðr.) hálvkatolikkur
halvkogt	hálvkókaður, loyptur
halvkreds	(stfr.) hálvkringur
halvkugle	(stjfr., landafr.) hálvkúla, hálvknøttur, knatthálva, hálva;den nordlige og sydlige h.norðara og sunnarael.syðra knatthálva
halvkugleformet	hálvkúluskapaður
halvkupé	hálvklivi
halvkusine	trímenningur
halvkvalt	hálvkvaldur, hálvkódnaður, um at kódna;h. afraserium at kódna í illsinni
halvkvædet	bara í smb. v.;forstå en h. viseskilja hálvkvødna vísu, skilja eina ábending, skilja hálvsagt orð
halvlang	hálvsíður;halvlange ærmerhálvlangar ermar;h.kjolehálvsíður kjóli
halvleder	hálvleiðari
halvleg	(ítr.) hálvleikur
halvlinie	hálvlinja
halvlinned	(klæði) hálvlín (klæði úr líni og bummull helvt um helvt)
halvllukket interval	hálvlokið talstrekki
halvlys1	hálvlýsi;hun sad og strikkede i halvlysethon sat og bant í hálvlýsinum
halvlys2	hálvljósur
halvlærred	(klæði) hálvlørift
halvmaske	hálvgríma
halvmos	(plfr.) hálvmosi
halvmørk	hálvaskýmdur, dimmur, hálvdimmur, hálvmyrkur;det er blevet halvmørktnú er hálvaskýmt
halvmørke	hálvaskýming, hálvmyrkur
halvmåne	1hálvmáni, hálvsól2(ímynd fyri Turkaland, islam);korset oghalvmånenkrossurin og hálvmánin (ímyndin av kristindómi og islam)
halvmåneformet	hálvmánaskapaður, eins og hálvmáni;h. pladshálvmánaskapað torg
halvnode	(tónl.) hálvnóti
halvofficiel	hálvalmennur
halvonkel	(systkinabarn við mammu ella pápa)han er minhalvonkelhann er systkinabarn pápael.mammu
halvpart	helmingur, helvt
halvpenny	hálvur penny
halvpension	hálvt kostarhaldel.vistarhald (móts.helpension); være i h. på hotelhava hálvt kostarhald á gistingarhúsi
halvrim	hálvrím, sjálvljóðsrím (rím, har annaðhvørt stavilsissjálvljóðini ella hjáljóðini eftir sjálvljóðini samsvara)
halvrundt	hálvrundaður;halvrundt vinduehálvrundað vindeyga (uppi yvir hurð)
halvrådden	hálvrotin, hálvfúgvin, hálvfúnaður
halvsidig	í aðrari helvtini;(lækn.)h. lammelselamin øðrumegin á kroppinum
halvskyet	hálvskýggjaður;det er halvskyethálvskýggjað luft
halvskygge	hálvskuggi
halvskærm	(plfr.) klasaskjól
halvskør	hálvørur, hálvtápuligur, hálvsvakur
halvsorg	hálvsorg (sorgarbúni, har ikki alt er svart, og sum verður nýttur, tá ið sorgartíðin fer at halla)
halvsove	syvja, lúra, hálvsyvja, durva, dúra, hálvsova
halvstegt	hálvsteiktur
halvstik	(sigl.) kampannaknútur;(sigl.) dobbelt h.dupult hálvstikk, stavnabregd
halvstuderet	hálvlærdur;(niðr.) h. røvereitt, ið spælir klókt
halvstøvle	hálvstivli
halvsving	(í ríðing) hálvsnúgving;foretage et h.(lata) snúgva hálvvegis á
halvsøskende	hálvsystkin
halvsøster	hálvsystir
halvsål	(á skógvi) leðurpláta sum er sett uppundir;forsynemed h.seta leðurplátu undir skógv
halvtag	hálvtak, lívdarskúrur, útundirgerð
halvtante	systkinabarn mammuna ella pápan
halvtid	hálv tíð;væreel.arbejde på h.arbeiða hálva tíð
halvtids-	hálvtíðar-
halvtidsansat	hálvtíðarsettur
halvtime	(sigl.) hálvur tími
halvtimeslag	hálvtímaslag;uret slår h.klokkan slær hálvtímaslag
halvtolv1	hálvgumtólv(eis.kortspæl)
halvtolv2	(grundtal) hálvgumtólv
halvtone	(tónl.) hálvtóni
halvtonetrin	(tónl.) hálvtónafet(t.d.mill. C og Dess)
halvtosset	hálvbýttur, tápuligur, fólskur, hálvvankaður,Sklikkaður
halvtreds	(grundtal) fimmti; h.-lys pære fimmti-ljós pera
halvtredser	fimmtiár;i halvtredserneí fimmtiárunum
halvtredsindstyve	(grundtal) fimmti, hálvtrýss
halvtredsindstyvende	nú sigi eg hetta fyri hálvtrýssinstjúgundu ferð
halvtredsindstyvendedel	fimmtiundapartur, hálvtrýssinstjúgundapartur
halvtredskroneseddel	fimmti krónuseðil, hálvtrýsskrónuseðil
halvtredsøre	fimmtioyra, hálvtrýssoyra
