Æ,æ	1málljóð2bókstavur
ædelmodig	hásinnaður, gøvigur, riddaraligur;han undlod ædelmodigt at gengælde krænkelsenhóast hetta gekk honum nær, var hann so hásinnaður, at hann lønti honum tað ikki aftur
ædelsind	hásinni, aðalsinni
ædelsten	gimsteinur,(tlm.)eðilsteinur, edilsteinur
ædelstensagtig	gimsteinskendur, líkur gimsteini, sum gimsteinur
ædelttænkende	hásinnaður, stórbærur (hugsanarháttur)
ædelyst	grammur matarlystur
æder	síædedolk
æderi	át;hans fedme skyldes simpelthen æ.at hann er so tjúkkur, kemur bart út/rætt og slætt av áti
ædetrug	(matar)trog
ædil	(sø.) eftirlitsmaður, umsjónarmaður, eidilur, edilur (embætismaður í Róm í fornøld, ið hevði eftirlit við almennu húsunum, gøtunum, handilsskapi og almennu veitslunum)
ædru	edrúur, ódrukkin;han blev æ.tað rann av honum;blive æ. efter en rusrenna avaftur;fortiden er han æ.hann hevur ikki tørn í løtuni;haner fuldstændig/pin lig æ.hann er turra edrúur;haner ikke helt æ.hann hevur eitt sindur í høvdinum/eina vóning/eina lítla kenning,(skemt.)hann er ikki einsamallur
ædruelig	1edrúiligur, sum er hóvsamur í brennivíni, sum kann/dugir sær hógv í brennivíni;han er enæ. personhann smakkar/leskar tað ikki, hann drekkur ikki2hyggin, hóvsamur, sum hevur fyrilit
ædruelighed	1hóvsemi í brennivíni2fyrilit
ædruelighedslov	rúsdrekkalóg
ædt	síæde
æg1	(á eggjarjarni) egg, (á klæði) jaðari;kniven har en skarp æ.knívurin er hvassur sum røkan;med nedslidt ægeggleysur (um eggjarn);æ. på et stykke tøjjaðari á klædnaplaggi
æg2	1egg;unormalt lille æ.neyðaregg(eis.ífl.m.um okkurt, ið hevur lítið upp á seg);æ. er de hunlige forplantningsceller hos mennesker, dyr og planteregg eru kvennnøringarkyknur hjá menniskjum, dýrum og plantum;fiskens æ.rogn (ein stakt egg, rognkorn);fuglene lægger æ.fuglar verpa (egg);hønen ligger på æ.hønan liggur, hønan liggur á (eggjunum);hønen skal snart l. æghønan rúmkast;kyl lingen er kommet ud af æggethøsnarungin er komin út (úr egginum), høsnarungin er útkomin;lusens æ.nitra (ofta ífltnitrur í høvdinum);ubefrugtet æ.ótroðið egg, skell egg;der er unge i æggetungi er í egginum, eggið er ungað;blødkogt æ.bleytkókað egg;sprukkent æ.brákegg;skidne æ.sískiden2Columbus' æ.síColumbusæg; skal ægget lære hønenskal eggið læra hønuna, hoyr loppu goyggja;behandle én som et råddent æ.fara við einum sum við óðum tarvi;ikke have salt til et æ.ikki eiga fyri lúsasalvu, ikki eiga sýru í vegg, ikki eiga undir tonnina, ikki eiga upp á stokkarnar;have det som blommen i et æ.hava tað/liva sum hønan í korninum,(tlm.)hava tað sum blomman í egginum
ægbakke	eggjabakki
ægcelle	eggkykna
ægdannelse	egggerð
ægdannet	eggvaksin, eggskapaður, eggmyndaður, eggdánaður, egglagaður, eggrundur, eggklingrutur, avlangur
ægdeler	egg(ja)skeri
ægdonation	egggáva
ægdonor	egggevi
ægeksport	eggjaútflutningur
ægformet	eggvaksin, eggskapaður, eggklingrutur, eggrundur, eggdánaður, eggmyndaður, egglagaður, avlangur;omvendt æ.øvut eggvaksin
ægge	1eggja (einum/ein), elva, halda einum til, stuðla einum til, purra uppundir;æ. én til nogeteggja ein/einum til eitt;æ. ens vredefáa sinni í ein, fáa ein at tendra;den påstand ægger tilmodsigelsehatta fær ein at muta ímóti, hatta sleppur ikki at standa ósvarað2[lh nútsuml]hendes optræden var bådeæggende og udfordrendeframferð hennara var bæði eggjandi og avbjóðandi
æggeblomme	eggjareyði
æggebæger	eggjabikar
æggedans	(fl.m.) danse æ. standa sum á brondum, sita/standa sum á nál um; mala á hælinum
æggedeler	eggjaskerari
æggegul	egggulur
æggehoved	flogvitugt fólk
æggehvide	eggjahvíti;bestryge med æ.smyrja við eggjahvíta,(lækn.) æ. i urineneggjahvíti í landinum
æggehvidestof	eggjahvítaevni
æggehvidestofholdig	eggjahvíta(evnis)havin
æggekage	eggjakaka, eggjakøka
æggekoger	eggjakókari
æggeleder	(likam.) egggørn(flt)
æggepulver	eggjapulvur, turregg
æggepunch	eggjapunsur
æggeskal	(í heilum líki) eggjakoppur, (brotið) eggjaskal;pikke hul på æggeskallen(um unga) bresta fyri nev(i)
æggesnaps	1rørtel.pískað egg (eggjareyði rørdur í sukri)2romm í rørdumel.pískaðum eggi við sukri
æggestand	(tlm.) eggjastandur (egg og mjólk rørt saman og stoytt á mat, har tað stendur og stadnar)
æggestok	(likam.) eggrøtur, eggbøllur, eggbølla
æggesyg	eggsjúkur
æggetoddy	eggjatoddi
æggeur	eggjaur
æggeøl	[heitt øl, latið í rørt egg við sukri]
ægide	1(gudal.)skjøldur, eigida (skjøldurin hjá Pallas Athenuel.Zeusi í forngriksku gudalæruni)2verja, vernd3leiðsla;forretningen har haft fremgangunder hans æ.handilin hevur havt framgongd, meðan hann hevur staðið fyri honum
ægkant	jaðari, jaðar, kvarði (rond á plaggi, ið er soleiðis vovin, at hon ikki raknar/travnar upp)
ægkapsel	(lívfr.) eggjahylki;konksnegls ægkapsellættisoppur, marsoppur (hjá gággu)
ægleder	(likam.) síæggeleder
æglæggende	sum verpur egg;fugle er æ.fuglar verpa (egg)
æglægger	handa hønan er góður eggfuglur, handa høn an verpur væl
æglægning	verping;antal æg ved en æglægningurpt
æglægningsbur	verpingarbúr
æglægningstid	verpingartíð
ægløsning	egglosning, eggbølsbresting
ægplante	(plfr.) síaubergine
ægstilling	(ítr.) skihopperen kom susende ned ad bakken i æ. skíðleyparin stytti seg saman, meðan hann við fúkandi ferð fór (skreiðandi) oman eftir brekkuni
ægstol	(plfr.) eggsæti
ægstreng	(lívfr.) eggjasekkur
ægte1	(hátíð.) tage én til æ. giftast við eini//einum
ægte2	reinur, sannur, ektaður, (um drykk) óblandaður, dýrur, (um lit) sum ikki litferst/kastar, haldgóður; rættur, rættiligur, reiðiligur, gjørdur;et æ. barnsíægtebarn; æ. guld//sølvreint/ektað gull//silvur;æ. tæppeektað teppi (handvovið eysturlendskt teppi);selvironi er en æ. britisk egenskabsjálvspei er íborin bretskur eginleiki;farven er æ.liturin kastar ikki;en æ. vensannur vinur;æ. følelsersannar kenslur;æ. nordiskrótnorðurlendskur/ramnorðurlendskur/fullnorður-lendskur;han er en æ. forbryderhann er ein gjørdur brotsmaður
ægte3	(hátíð.)æ. éngiftast/gifta seg við einum/einari
ægtebarn	hjúnabarn, skilgitið barn, hjúnalagsbarn
ægtefolk	(hátíð.)hjún;præsten har erklæret dem for rette æ. at væreprestur hevur lýst/sagt tey hjún at vera
ægtefælle	hjúnafelagi, hjúnamaki, kona, maður, ektamaður, ektakona;ægtefæller(eini) hjún
ægtefødt	(gl.) skilgitin; sí eis.ægtebarn
ægtehalvdel	(skemt) hjúnafelagi
ægtehustru	kona (eins), ektakona, eginkona
ægtemage	hjúnafelagi, maður (einar), kona (eins)
ægtemand	maður, ektamaður;god, dårlig æ.góður, ringur konumaður
ægtepagt	hjúnasáttmáli
ægtepar	(eini) hjún
ægteseng	hjúnasong
ægteskab	hjúnalag, hjúnaband, hjúnaskapur;ægteskabs indgåelsegifting;indgå æ. (med én)giftast við (einum//ein[ar]i),(hátíð.um konufólk) geva seg burtur;min søn af første æ.sonur mín í fyrru//fyrstu giftu;leve i et lykkeligt æ.liva í góðum hjúnalagi;(løgfr.) barnet er født uden for æ.barnið er føtt uttan hjúnalags, óskilgitið barn,(tlm.)leysingabarn;have et barn uden for æ.eiga barn uttan um vegir, eiga leysingabarn, eiga barn uttangarðs;lyse til æ. for N.N. og R.R.lýsa fyri N.N. og R.R.;(løgfr.) ægteskabets retsvirkningerrættarvirknaður hjúnalagsins;papirløst ægteskabpappírsleyst hjúnalag
ægteskabelig	hjúnalags-, hjúnabands-;æ. lykkeliva í góðum hjúnalagi, eydna í hjúnalagi;ægteskabeligt samlivliva sum hjún, hjúnasamlív,æ. stillinghjúnabandsstøða;have barn uden for ægteskabeteiga barn uttan um vegir, eiga barn uttangarðs,(tlm.)eiga leysingabarn
ægteskabsalder	giftingaraldur
ægteskabsannonce	(í blaði) hjúnalagslýsing
ægteskabsbrud	hjúnalagsbrot;begå æ.vera ótrúgvur;konen beskyldte manden for æ.konan legði mannin undir at hava verið sær ótrúgvur, konan legði mannin undir hjúnalagsbrot
ægteskabsbryder	ein ið fríggjar við aðrari konuel.øðrum konufólkum; maður ið fremur hjúnabandsbrot
ægteskabsbryderske	kona, ið fríggjar við øðrum; kona, ið fremur hjúnabandsbrot
ægteskabsbureau	hjúnalagsstova, hjúnabandsstova
ægteskabskontrakt	hjúnasáttmáli
ægteskabslignende	de lever i et ægteskabslignende forholdtey liva saman sum maður og kona, tey eru leysagift
ægteskabsløfte	(hátíð.) hjúnabandslyfti
ægteskabsrådgiver	hjúnaráðgevi
ægteskabsrådgivning	hjúnaráðgeving
ægteskabssag	(løgfr.) hjúnalagsmál
ægteskabstilbud	bønarorð, hjúnalagstilboð, hjúnabandstilboð
ægtestand	hjúnaskapur, hjúnalag;indtræde i den hellige æ.giftast
ægtevi	víga saman, víga, geva saman, lesa saman;par som lever sammen uden at være ægtevietpar/tvey ið er leysagift
ægteviv	(skemt) kona (eins), ektakona, eginkona
ægthed	rættleiki, sannindi, sanngildi, at eitt er rætt/beint/satt//ektað; reinleiki, dýrleiki
ægtransplantation	(lækn.) eggflutningur
ægur	eggjaur
ægvende	eggvenda(t.d.klippa lak eftir longdini og seyma kantarnar saman, soleiðis at slitni flatin verður í jaðarunum)
Ægypten	síEgypten
ægypter	síegypter
ægyptisk	síegyptisk
ægyptolog	síegyptolog
ægyptologi	síegyptologi
ægyptologisk	síegyptologisk
Ægæerhavet	(sern., landafr.) Egeahav
æh	æh, bæh, bollemælk!gott av tí!, har fekst tú tað!
ækel	andstyggiligur, ljótur, spýggjuligur, vamlisligur, ótespiligur, fúlur;en æ. slimet tudseein ljót, smeðin/sliput padda;en æ. luftfúl luft;være æ.ved madenvamlast við matin
ækelhed	andstygd, vaml, stikni
ækle	vamlast við, havael.fáa andstygd fyri;hanssleskhed æklede mighann var vamlisliga fólkaligur, hann var so sleiskur, at eg vamlaðist við;ækles ved nogetvamlast við eitt;æ.én udnoyða/kokra ein út//burtur
ækvator	miðkringur, ekvator;(sigl.) skibet har passeretæ.skipið er farið um linjuna;himmelens æ.javndøgurlinjan
ækvatorial	miðjarðar-
Ækvatorialafrika	Miðafrika
Ækvatorialguinea	(sern., landafr.)Ekvatorguinea (ríki í Miðafrika)
ækvatorialguineaner	fólk íel.úr Ekvatorguinea
ækvatorialguineansk	sum er íel.úr Ekvatorguinea, ekvatorguineanskur
ækvatorradie	(jarðfr.) miðbogageisli (jarðar)
ækvilibrist	línudansari
ækvilibristisk	línudansara-, línudansi viðvíkjandi
ækvinoktial	javndøgur-
ækvivalens	javngildi, javnvirði
ækvivalent1	javningi;et æ. af et stof er den mængde deraf, som kan erstatte//forene sig med et brintatomein javningi/ekvivalentur av evni er tann nøgd, ið skal til fyri antin at renna saman við vatnevnisatomiel.vera í staðin fyri tað
ækvivalent2	javngildur, javnverdur, sum hevur sama týdningel.virði;et iltatom er æ. med to brintatomereitt súrevnisatom er javngilt við tvey vatnevnisatom
ækvivalere	svara saman, samsvara við, hava sama virði, viga upp ímóti;29 sider i første udgaveækvivalerer med 22 sider i anden udgave afbogenblaðsíður í seinnu útgávu av bókini
ælde1	elli(kv//h); dø af æ.doyggja av elli;hvid/grå afældeelligráur;håndskriftet bærer præg af højæ.handritið er ellimerkt
ælde2	elda, eldast;ældeteldur;modgangen har ældetham stærkthann er nógv eldur/farin av mótgangi;ældeseldast, verða gamal, gerast gamal;i den famile ældes de hurtigthasi fólkini eldast ikki væl, tey eldast ikki væl í hasi familjuni;han er tidligt ældetaldur sást skjótt á honum
ældgammel	elligamal, avgamal /agg-/, ergamal, deyðgamal, fyrndargamal, eldgamal;æ. mand//kvindeelligamal maður//elligomul kona,ældgamle menneskerellifólk, elli gomul fólk;æ. skik og brugfyrndargomul siðvenja;at fejre jul er æ. skikat halda jól er fyrndargamal siður;det har været sådan fra æ. tidsoleiðis hevur verið frá fyrndartíð;fra æ. tidúr fyrndini, úr fyrndartíð;i ældgamle dageí fyrndini;efter æ. skikeftir fyrndar siði
ældning	tað at eldast
ældningsproces	tað at eldast, ellitilgongd
ældre	eldri;jeg har en æ. søstereg havi eina eldri systur;han er to år æ. end jeghann er tvey ár eldri enn eg;i æ. tid så man anderledes på sagenfyrr í tíðini sóu tey øðrvísi upp á slíkt;Alexander Dumas den Æ.Alexander Dumas eldri;en æ. dameein kona nakað við aldur, ein eldri kona;en bil af æ. modelein heldur gamal bilur;gøre æ.elda;blive æ.eldast;lade blive æ.elda(t.d.seyð)
ældrearbejde	tað at vera um tey gomlu
ældrebolig	eldrabústaður, vardur bústaður hjá gomlum fólkum
ældreforsorg	umsorgan fyri teimum gomlum (heimasjúkrasystra-el.heimasjúkrarøktarfrøðinga- og heimahjálparaskipan, ellis- og røktarheimo.tíl.)
ældreklub	pensiónistafelag
ældreomsorg	umsorgan fyri teim gomlu
ældreoprør	gamlamannauppreistur, gamlamannamótmæli
ældst	elstur, (av tveimum) eldri;hvem er æ. af jer?(av fleiri); hvør tykkara er elstur?; (av tveimum) hvør tykkara er eldri?;hvem er æ. af jer to?hvør tykkara er eldri?;Peter er den ældstePetur er elstur;den skik stammer fra de ældste tidersiðurin er fyrndargamal
ældste	elsti (um fyristøðumann, umsjónarmannel.samkomuleiðara)
ældsteråd	elstaráð
ælling	dunnuungi, høsnarungi, gásarungi,(barnam.)pippa
ællingemoder	ungamamma
ælte1	runudíki, krapi;efter regnen lå vejen i ét æ.eftir at tað hevði regnað, var vegurin eitt rúnudíki (allur sum hann var)
ælte2	1knoða,(serst.tálg) elta2(fl.m.) drengen æltede rundt i pløretdrongurin gekk og kleyvaði/tvassaði (uppi) í rununi//krapanum
æltekar	knoðingarfat, eltingarfat
æltemaskine	elti(ngar)maskina, knoðingarmaskina
æltetrug	eltingartrog
æltning	knoðing, elting
ænder	síand
ændre	1broyta, skifta;gjort gerning står ikke til at æ.gjørd gerð fær onga vend; nú verður, sum er; nú vendist ikki aftur, nú má svíða sum svøllur;æ.et lovfor slagbroyta lógaruppskot;æ. kursbroyta kós;æ. noget ved en kjolebroyta kjóla;det stårikke til at æ.hatta verður, sum tað er; tað er sum knívskorið;forholdene har ænd ret sigumstøðurnar eru broyttar, viðurskiftini eru broytt, umstøðurnar eru øðrvísi nú;tidspunktet erændret til kl. 12tíðin er broytt til kl.12;æ.fuldstændigtbroyta fullkom iliga, grundbroyta;æ.ordlyden afbroyta orðavalið/orðingina, orða øðrvísi, orða umaftur2(fl.m.) æ. signalerbroyta mannagongd/framferðarhátt; broyta støðu
ændring	broyting, umskifti;ret til ændringer iprogrammet forbeholdesvit skila okkum rætt til at broyta skránna/í skránni;hyppige ændringeraf vindret ningenmeldur í veðrinum
ændringsforslag	broytingaruppskot;stille æ.seta/leggja fram broytingaruppskot
Æneiden	Eineasarkvæði (Vergilusar rómverska hetjukvæði sum hevur Homerosar Ilionskvæði og Odysseusarkvæði sum fyrimynd; Vergilius
ængste	ræða, skelka, bera ótta fyri, ótta (ein), gera óttafullanel.bangnan, stúra fyri (einum);hansstadige udebliven ængster migtað, at hann ikki kemur fram, ger meg óttafullan;moderenængstedes for drengenmamman bar ótta/hevði ampa á sær fyri dronginum/dreinginum);ængstesfor fremtidenstúra fyri framtíðini, bera ótta fyri framtíðini
ængstelig	bangin, ræddur, stúrin, óróligur, óttafullur, bangafullur, sárur, fjálturstungin, fjáltraður, hjartkiptur, hjartkleptur, trongur (um ein/av einum), ekkasamur;du er så æ. af digtú ert so bangin av tær;moderen er æ. for drengenmamman er bangin um drongin/dreingin;være æ.hava ótta á sær;være æ. for fremtidenstúra fyri framtíðini, bera ótta fyri framtíðini;hun var så æ.for sin nye kjolehon var so sár um nýggja kjólan
ængstelse	ótti, ræðsla, bangilsi, bangni, angist, ekki, ampi, stúran, bangheit(t.d.bera bangheit fyri), kvíði;jegfølte stor æ.eg var ógvuliga bangin, tað stóð á mær
ænse	ansa (einum), leggja lag í (eitt), geva (einum) gætur, geva gætur eftir (einum), varnast, geva sær far um (eitt), leggja (eitt) til merkis;hanfortsatte uden at æ. hendes indvendingerhann helt á uttan at lurta eftir henni;han ænsede ikkemin hilsenhann gav sær ikki far um, at eg heilsaði
æoler	(sø.) aioli (aiolar vóru forngrikskur tjóðbólkur, sum búðu í Norðurgrikkalandi, á Lesbos og í Lítlaasia. Aiolos var vindanna gudur og ætt(ar)faðir aiola)
æolharpe	vindharpa
æolisk	1(sø.)aioliskur2(jarðfr.)vind-, vindborin(t.d.sandur, ið er lagstur í setløg)
æon	ævi, ævinleiki, óendaliga langt tíðarskeið
ær	(plfr.) lynur, ær, ahorn(Acer)
æra	tíðarskeið, skeið, tíðarbil, skifti (eftir tilburð, ið verið hevur av alstórum týdningi);med denfranske revolution begyndte en ny æ.við fronsku kollveltingini byrjaði nýggj tíð(el.nýtt tíðarskeið)
ærbar	(gl.) siðiligur, sámiligur, sømiligur;en æ. pigesiðilig/hampilig genta
ærbarhed	sómi, tukt
ærbødig	virðiligur, virðingarfullur, við virðing;være æ. modhava virðing fyri;han bukkede ærbødigt for den gamle herrehann bukkaði virðingarfult/virðiliga fyri (tí) gamla harranum/manninum; (í brævi)Deres ærbødigetygara;ærbødigstvið hávirðing, virðingarfylst, virðingarmest
ærbødighed	virðing, hávirðing;behandle med æ.virða, tígna, vísa (einum) virðing;have æ. for sin lærerhava virðing fyri læraranum;med æ.við hávirðing
ærbødighedsudtryk	orðing, ið vísir virðing; virðingarorðing
ære1	æra, heiður, sómi, sømd, tign, frami, prýði;æ.den, som æres børvísa tí heiður/æru, ið heiður/æru hevur uppiborið;æ. være hansmindeheiðr að/ærað veri minnið um hann;detgælder din æ.tað leikar æru tíni á;hans flid er alæ. værdhansara ágrýtni hevur virðing uppiborna;falde på ærens markfalla á vígvøllum;din flid gør dig æ.tú hevur rós uppiborið fyri títt ágrýtni;foreningen har hervedden æ., at indbyde Dem til festenvið hesum (skrivi) hevur felagið tann heiður at bjóða tygum á/til veitsluna;hvad skylder vi æren afDeres besøg?hvussu ber tað til, at tygum gera okkum tann heiður at vitja okkum?;give Gudærengeva Gudi heiðurin;gør mig den æ.sýnið mær tann heiður/ta sømd;vise én den sidste æ.fylgja einum (til gravar);en mand af æ.heiðursmaður, álitismaður;holde sandheden iæ.siga sannleikan, vera sannførur, virða sannleikan, siga sum er;fodboldholdet tabtemed æ.fótbóltsliðið var við undirlutan, men stríddist manniliga;på æ. (og samvittig hed)upp á æru og trúgv, Gud skal vera mítt vitni;festen blevholdt til hans æ./til æ. for hamveitslan varð hildin honum til heiðurs;den gamle vase er kommet tilæ. og værdighed igengamli vasin hevur fingið heiðursplássið aftur;han har æ. af sin sønsonurin er honum til heiðurs;Peter gjorde arbejdet, menErik fik æren for detPetur gjørdi arbeiðið, men Eirikur fekk heiðurin (av tí);Erik tog æren forarbejdetEirikur tók sær heiðurin/æruna av arbeiðinum;hun sætter en æ. i at være præcishon leggur stóran dent á at møta stundisliga;nårskidt kommer til æ., ved det ikke, hvordan detvil væretá ið vesalamaður/vesalavætti fær vald, kann/dugir hann//tað (sær) ikki afturhald; tá ið fátækur maður verður ríkur, verður hann fjandanum líkur
ære2	1heiðra, æra, virða,(bíbl.)tigna;ær din fader ogdin moderæra faðir tín og móður tína;æ.sandhedenvirða sannleikan;æret være hansmindeheiðrað veri minni hansara2[suml]æret; ærede lytteregóðu/háttvirdu áhoyrarar;det ærede medlemheiðraði/háttvirdi/æraði limur
ærefornærmelse	síæresfornærmelse
ærefrygt	virðingarótti, virðing,(tlm.)ærufrykt;nære æ. forGudóttast Gud
ærefrygtindgydende	virðiligur, virðingarverdur; sum vekir óttael.virðing
ærefuld	heiðurligur, ærumikil;et ærefuldt erhverværumikið starv
ærekrænke	ærumeiða, æruskemma
ærekrænkelse	ærumeiðing, æruskemming
ærekrænkende	æruskemmandi, ærumeiðandi
ærekær	ærukærur, vandin um heiður sín
æreløs	æruleysur, heiðurleysur;æ. personæruloysingur
æreløshed	æruloysi
ærende	síærinde
ærenpris	(plfr.)bládepla(Veronica); glat æ.mýribládepla(Veronica serpyllifolia); lægeæ.læknabládepla(Veronica officinalis); tykbladet æ.veitarbládepla(Veronica beccabunga)
ærerig	æruríkur, ærumikil
ærerørig	ærumeiðandi, æruskemmandi, æruspillandi
æresbanket	heiðursdøgurði (fyri kendum fólki)
æresbegreb	heiðurshugtak, hugsanel.hugtak um heiður og æru;han har andre æresbegreberend jeghann hevur heilt aðra hugsan um heiður og æru, enn eg havi
æresbevisning	heiðurstekin, heiður, heiðursprógv, heiðursløn;være genstand foræresbevisningerfáa heiðurstekin
æresbolig	heiðursbústaður
æresborger	heiðursborgari
æresdoktor	heiðursdoktari;blive udnævnt til æ.verða tilnevndur heiðursdoktari
æresdrab	ærudráp
æresfornærmelse	(løgfr.) æruspilling, ærumeiðing, æruskemming
æresfornærmende	ærumeiðandi, æruskemmandi, æruspillandi
æresforpligtet	heiðursbundin (at), moralskt bundin (at)
æresfølelse	heiðurskensla, ærukensla
æresgæld	heiðursskuld, trúnaðarskuld
æresgæst	heiðursgestur
æreshverv	heiðursstarv (ólønt)
æreskompagni	heiðursvakt, heiðursskari
æreskænde	ærumeiða, æruskemma, æruspilla
æreskænder	æruspillari, ærumeiðari, æruskemmari, spilliklútur, birtil, bakbítur, klaffari
æreskænderi	ærumeiðing, æruskemming, æruspilling, bakbit, útspilling, baktal, ámæli
æreslegion	franska heiðurslegiónin
æresmedlem	heiðurslimur
æresoprejsning	heiðursbót, heiðursuppreising;kræve æ. for enbeskyldningkrevja heiðursbót fyri skuldseting
æresord	heiðursorð;jeg giver dig mit æ. på at jeg intetrøbereg skal gera eið uppá/eg lovi einki at siga
æresport	heiðurslið, heiðursgrind, heiðursportur
ærespost	heiðursstarv, heiðursstøða
ærespræmie	heiðursløn, virðisløn
æresrunde	heiðursrundferð, heiðursumfar
æressabel	heiðurssvørð (givið heryvirmanni fyri avrik)
æressag	heiðursmál;det er en æ. for mig at betale dengældhjá mær er tað spurningur um æru at gjalda hasa skuldina
æressalut	heiðursskotkvøða, heiðursheilsa
ærestab	ærumissur, klikkur á æruna
ærestegn	heiðurstekin, heiðursmerki
ærestitel	tignarheiti, heiðurstittul
æresvagt	heiðursvakt, heiðursvørður
æresyg	ærusjúkur, ógvuliga framasøkin, sum strembar eftir æru
ærgerlig	forargiligur(t.d.tað er forargiligt, sum...), argur; harmiligur; keðiligur, sum er spell, sum er nógv fyri;det var ærgerligttað var spell, tað var nógv fyri, tað var illa;et ærgerligt uheldharmiligt óhapp;væreæ. på énvera argur inn á ein;være æ. overnogetharmast eitt, vera illur um eitt
ærgerrig	framsøkin, stórætlaður, sum hevur stórar ætlanir, sum fegin vil koma sær fram í samfelagnum; ærusjúkur
ærgerrighed	ærusjúka, sømdarvilji
ærgre	forsynda, arga, agga;æ. sigargast, forsyndast;det ærgrer mig, at han ligger og drivereg forsyndist(el.argist) inn á hann, at hann gongur og letast;æ. sig over énforsyndast/argast inn á ein, vera forsyndaður inn á ein;det er til at æ. sig ihjel overeg vil sálast av tí
ærgrelse	argilsi, argleiki, syndarhugska /-huska/, tvørleiki;en dag fuld af ærgrelserrókadagur;medslet dulgt æ.við ringum tannabiti
ærinde	1ørindi;barn, som går små og uvigtigeærinderspora barn;jeg skal et æ. i byeneg má fara eitt ørindi/eini ørindi í býin;æ. udenbetydningsneisaboð, sneisaørindi;vil du gå etæ. for mig?hevði tú viljað farið eitt ørindi/eini ørindi fyri meg?, vilt tú fara eitt ørindi/eini ørindi fyri meg?2(fl.m.) gå ens æ.gera arbeiði fyri ein, arbeiða fyri ein;hun gjorde sig et æ. i dagligstuenhon fekk sær eini ørindini innar í stovuna;det er ikkenoget vigtigt æ.tað eru hissini ørindi;du kommernok i et vigtigt æ.tú ert ikki ørindaleysur;forretteet æ.hjálpa sær sjálvum, hjálpa upp á seg sjálvan, fara (eini) smáørindi;komme tilbagemed halvudrettet æ.koma hálvur aftur;forfatterener ude i et bestemt æ.rithøvundurin hevur ein boðskap at bera fram;gå den ondes æ.ganga illamansørindi
ærindekørsel	at koyra vørur út, vøru koyring;æ. tilladtvørukoyring loyvd
ærindesvend	(gl.) ørindreki
ærke-	erki-, megin-, høvuðs-, hægst-, yvir-; rót-(t.d.rótføroyskur), ram-, ramur(t.d.ramur tjóvur)
ærkeamerikansk	rótamerikanskur, ramamerikanskur
ærkebiskop	erkibiskupur, erkibispur
ærkebispedømme	erkibiskupsdømi, erkibispadømi
ærkebispesæde	erkibiskupssetur
ærkedansk	ramdanskur, rótdanskur
ærkedum	steinbýttur, kúbýttur, steintápuligur, trøllbýttur,(óvand.)skítbýttur, pillbýttur, fratbýttur
ærkeengel	erkieingil, høvuðseingil
