y	1(málfr.)vowel, (called seinnael. sj.langa y /i:/)2(stfr.)y (unknown numerical quantity)
ymiskur	1(ólíkur) different(t.d.two different people of the same name; the two scientists used different methods); dissimilar(t.d.the intonation systems of the two languages are slightly dissimilar); unlike(t.d.they are so unlike [each other] that one would not suppose them to be sisters); differing(t.d.have differing tastes//views); diverse(t.d.people from diverse cultures);ymiskt innihalddifferent contents;hon hevur havt ymiskar dagarnarshe has experienced bad times;nú kundi tað koma at verða so ymiskt við tíit would be difficult to predict how things would go2(greidliga sundurskildur) distinct(t.d.there are two distinct species of this bird, besides various subspecies; Old English and Old Frisian are closely related, but perfectly distinct dialects)3(skiftandi) varying(t.d.with varying success)4several(t.d.they went back to their several jobs, they went their several ways)5various(t.dvarious people have said so; his various works); several(t.d.there are several objections to this); sundry(t.d.talk about sundry matters);ymiskar útreiðslursundry expenses6(gl.)doubtful, dubious, questionable;tað er ógvuliga ymisktit is questionable;teir verða ymiskir at fáait is doubtful whether we will get them;ymiskt var, hvør leikurin fórit was uncertain how things would go;hava ymiskar tankarsuspect, be suspicious
ymisleiki	1(ólíkleiki) dissimilarity(t.d.they cannot be grouped together because of their dissimilarity); heterogeneousness, heterogeneity2(fjølbroytni) diversity3síymiskur
ymisliga	differently, otherwise, in a different way;orðið er ymisliga stavaðthe word has different spellings;ymisliga staddurin different places;teir eru ymisliga staddir í skorinithey are in different places in theskor (=grass-covered projecting part of a steep mountain)
ymisligur	different, varied;ymislig er eydnan (skaldsk.)some are favoured by fortune, others are not
ymislitaður	of different colour(s);tú hoyrir nógv tungumál og sært ymislitað fólkyou hear many languages and see people of different colour(s)
ymislittur	of different colour(s);ymislitt tógvmixture yarn
ymissur	1á ymsan háttin various ways;ymsar leiðirin various directions;streingir, ið hava ymiss ljóðstrings of various sounds; síymiskur12alternate with, alternate between, alternating, in turn, by turn, in rotation;hann vindur togendan um ymsar hendurhe is winding the piece of rope first round one hand, then round the other;hann kysti hana á ymsar kjálkarhe kissed her on both cheeks;tríggir brøður skiftust um, ymsir at fara til útróðrar og ymsir at vera heimathree brothers went fishing by turn and stayed home by turn;hann ymsar litir fekk (kvæð.)he turned red and white;ymsir undir og ymsir áalternately on top and underneath (in wrestling)
ymisvirðin	ambivalent
ymisvorðin	síymisháttaður
ymja	rush, run;munnur og nasar umdu í blóði (kvæð.)blood gushed from/poured out of his mouth and nose
ymsastaðna	(stb.)in many places;bátar komu ymsastaðna fráboats came from different places; síymsastaðni
ymsastaðni	in different places, from here and there;børnini spæla ymsastaðnithe children are playing in different places
ymsumegin	now on one side, now on the other; ymsumeginveginalternately on one side of the street and the other
ynda	1fondle, caress, pet, cuddle;hon bispaði/bipaði einum barni, yndaði tað og tosaði við taðshe was lulling a child to sleep, fondling it and talking to it2love;hon yndar hann soshe loves him (very much);hann hevði ongantíð yndað dóttur sína nógvhe had never cared much for his daughter;yndastbe in love
yndi	1love(t.d.the love of one's country//of one's children//mate; his love of poetry); (ikki so avgjørt) affection(t.d.he had a great affection for his pupils);(bíbl.)love;fáa yndi til e-nfall in love with sby;hann fekk sterkt yndi til hennarahe fell hopelessly for her;ei fært tú nakað yndi av mær (kvæð.)don't come to me for love//to ask for a favour;elur teir upp við yndi (kvæð.)(she) brings them up lovingly2beauty, loveliness, charm, grace, gracefulness, prettiness;kvinnuligt yndifeminine grace
yndigur	lovely, delightful;hoyr tað, yndiga ríka frú
yndiligur	(kvæð.)lovely, sweet, charming, delightful, enchanting, ravishing, delicious;mítt yndiliga sprundmy lovely woman; síyndisligur
yndis-	favourite(t.d.my favourite colour//dish//drink//newspaper//opera//poet//study//subject),
yndisbarn	favourite, pet, darling;yndisbarnið (eis., tlm.)the blue-eyed boy
yndisblóma	favourite flower
yndisbrúður	(kvæð.)lovely, delightfulorsweet woman;tú yndisbrúður ver nú kátyou delightful woman be joyful
yndisdjór	síyndisdýr
yndisdýr	favourite animal,(serst.um smá dýr) pet;hesturin var yndisdýr teirrathe horse was their favourite animal
yndisfagur	(skaldsk.)of wonderful, exquisiteel.matchless beauty, divinely beautiful; síeis.yndisligur
yndisfullur	síyndisligur
yndislag	1charm, attractiveness2favourite tune
yndisleiki	charm, grace, beauty, loveliness;várið við sínum fríska yndisleikaspring with its fresh beauty
yndislestnaður	favourite reading
yndisligur	lovely(t.d.child//girl//flower//woman//landscape//scene//sight//tune); sweet(t.d.girl//old lady; a sweet little hat); charming(t.d.gown//house); delicious(t.d.flowers//garden); charming, delightful, enchanting, ravishing, delicious;summarsins yndisliga blídnithe loveliness of summer;har er yndisligt bæði á sumri og á vetriit is lovely there both in summer and in winter;hj
yndisnavn	favourite name
yndisorð	1loving, affectionateorfond words, term of endearment;tey teskaðu yndisorðthey were murmuring loving words to one another2favourite wordorexpression
yndissjónd	favourite sight
yndissongur	favourite song
yndisstikni	pet hate (t.d.students sponging off the state was her pet hate)
yndistokki	charm, grace, beauty, loveliness
yndisvænur	charming and beautiful
yndugur	her er yndugt sum í himmiríki this place is as delightful as heaven; síyndigur
yngd	youth, early years(móts.elli,oppto old age)
yngdur	1rejuvenated, restored to youth;tað tókti sum tað hevði yngd hann (eis.)it seemed to renew his youth; síyngja2fertilized, hatched out;eggini eru (nógv) yngdmost of the eggs have been fertilized
ynging	1rejuvenation; renewal, renovation2rearing, bringing up (serst.neyt,espcattle)
yngingarviðgerð	(lækn.)rejuvenation treatment
yngja	1make young, rejuvenate;hon er yngdur uppafturshe has been rejuvenated;tað knípir við at fáa yngt fólkahjálpina á garðinumit is difficult to get hold of new farmworkers;teir eru farnir at yngja tað uppaftur at halda veitslu súludaginthey have revived the custom of celebrating thesúludagur (q.v.); teir yngja uppaftur klandrið millum flokkarnarthey are resuming the party squabbles;(tilt.) yngjast sum ørnin,síørn;yngjast upp(aftur)be rejuvenated, become young again2breed, raiseel.rear(t.d.calves); (um seyð, of sheep) breed sheep3eggið er nógv yngtthe egg is almost hatched out
yngla	breed(t.d.rabbits breed in captivity); multiply(t.d.rats multiply rapidly)
yngliøki	(dý.) breeding ground
yngri	avungur
yngstur	avungur
yngul	1brood2(av fiski) fry, spawn; (av laksi, nýklaktur) alevin; (sum er farin at eta) fry; (av skeljadýrum,t.d.ostrum) spat; síeis.øðukelv,kelv,kelvingur
yngulkanning	(fisk., fakl.)O-group survey
-ynna	síav-
ynna1	like, be fond of, have affection for, favour, love;(orðt.) tá ið tvey ynnast, tey væl finnastel.tey, ið ynnast, tey finnastwhen two people are in love, they are sure to find each other (love will find a way)
ynna2	1(stb.)giveel.allow oneself sth(t.d.he did not allow himself a moment's rest);tey ynna sær ikki at livathey pinch and scrape; síeis.unna2(kvæð.) ynnastfeel pleasureorsatisfaction;aldri skalt tú ynnastyou'll never be satisfied
ynniligur	(kvæð.)lovable;tað ynniliga sprundthe loveable woman
ynnisligur	(skaldsk.)síynniligur
ynski	wish(t.d.his wish; the wishes of the population), desire;(handilsm., o.tíl.)want(t.d.your wants shall be promptly attended to);hon bar fram ynski síttshe expressed her wish, she made a request;hægsta ynski hennara var at sleppa út at ferðastshe had set her heart on going travelling; her greatest wish/the dream of her life was to go travelling;nú er mítt innasta ynski útintmy greatest wish has been fulfilled, my greatest my wish has been gratified;ynski um góða eydnuwish sby best of luck
ynskisdreymur	dream(GG:that project is only a pipe-dream of mine);ynskidreymar (fl.m., eis.)wishful thinking
ynskisháttur	(málfr.)the optative
ynskisseðil	list of suggestions for presents; present list(t.d.birthday//Christmas present list); Christmas list
ynskissetningur	(málfr.)optative clause
ynskja	wish, desire, want; ynskjasærwish/desire/want sth;eg ynski mær nógvar gávur til jólaI want/I would like many presents for Christmas;einar gleðiligar páskir ynski eg tygumI wish you a happy Easter(GG:verður vanliga ikki sagt í Bretlandi og USA);ynskja (e-m) gleðilig jólwish sby a merry Christmas;eg hevði ynskt/viljað, at hann kundi skikkað sær beturI wish he would behave better in future;ynskja eftir e-mwant sth;tú slapst í brúdleyp, sum tú ynskti eftiryou were allowed to attend the wedding festivities which was what you wanted;tað er ikki eftirynskjandiit is not to be desired; it is not advisable/desirable;ynskja e-t (oman) yvir e-n: konan ynskti ilt yvir hannhis wife wished him ill;hon hevði ongantíð ynskt nakað ringt oman yvir teyshe had never wished them ill
ynskur	(stb.)síynski
yppa	1raise up, hoist; yppaøksl/akslirshrug (one's shoulders);yppa kálv[kill a calf with a stab in the neckorthrough the throat and then when it has bled and its entrails have been taken out, hang it up by the hind legs with the skin on]2wring a bird's neck; yppafuglwring a bird's neck3yppa seg/sær (upp)draw oneself up, straighten oneself; swagger (about), boast, brag;hann ypti seg upp, og andlitið blíðkaðist í einum hálvum brosihe straightened himself up and his face softened up in a little smile;hann stóð eisini har og ypti særhe too straightened himself up4provoke, give rise to, arouse; yppaklandurpick a quarrel (with sby);ypp ikki!don't pick a quarrel!;teir gjørdu honum ónáðir, men hann yppaði altíð upp undir tað sjálvurthey harassed him but he was always responsible for it himself;yppastgive rise to;(kvæð.) yppist nú ráð av illari dáðthe consequences of evil scheming have now been exposed
-yrði	> t.d.hittin-,mein-,ný(ggj)-,sár-,van-
yrkadagur	weekday, workday;ganga í pussinum yrkadagarbe in one's Sunday best on normal days
yrkakvøld	weekday evening;at hon hvørt yrkakvøld sat við bókini, tað dámdi honum lítiðhe didn't approve of the fact that she sat reading weekday evenings
yrki	1work, job, employment;konufólkið fór til sítt dagliga yrki bæði inni og útiwomen did their daily work indoors and outdoors2occupation(t.d.what is your occupation?; he is an insurance agent by occupation; the full name, address, and occupation of the applicant); calling; (starvseting) appointment, position, post; opening(t.d.there are few openings for young men of his type);(tlm., serst.um heldur illa lønt starv) job(t.d.he is looking for a job; he has a job with Smith & Co.; he lost his job); (pláss,serst.húspláss) place(t.d.get a place as cook); situation3(sj.)poem;tað er eitt so vakurt yrkiit is such a beautiful poem
yrkigagnagevi	organ donor
yrking	1poem2the writing of poetry
yrkingabók	collection of poems
yrkingarførur	poetically talented, who has a poetic turn
yrkingargávur	poetic talent; sígáva2
yrkingarháttur	(bókm.)poetical treatment
yrkingarlag	(bókm.)poetical treatment;yrkingarlagið er einfalt, stundum eitt sindur turtthe poetical treatment is plain, sometimes rather dry;flestu yrkjarar eru ikki eintáttaðir í yrkingarlagithe poetical treatment is complex in the works of most poets
yrkingarlist	(bókm.)the art of poetry; eis.skaldskaparlist
yrkingarringur	(bókm.)cycle (of poems)
yrkingasavn	collection of poems
yrkis-	professional; sí -fótbóltur, -hermaður, -ítróttamaður
yrkisboksari	boxing professional, professional boxer
yrkisbókmentir	(bókm.)specialist literature; (á bókasavni) classed books; (handil og ídnaður) trade literature, technical literature; (vísindaligar) scientific literature; (lækna- og løgfrøðio.tíl.)professional literature;fagrar bókmentir og yrkisbókmentir (uml.)fiction and non-fiction
yrkisbólkur	trade group, occupational group; (fróðskaparseturslærarar í ávísari lærugrein) department(t.d.the English department); school(t.d.the school of social studies); (til próvtøku) group, combination
yrkisbróðir	colleague; (tíðum) brother officer, brother clergyman, brother artist(o.tíl.);(fólk í samsvarandi starvi,eis.)opposite number, counterpart;starvsbrøður okkara í Skotlandi (t.d.um embætismenn á sama stigi) our opposite numbers in Scotland
yrkisevni	1(gl.; serst. flt)tools, implements, instruments2(bókm.)subject matter (of a poem)
yrkisfelag	trade union;(am.)labor union;limur í yrkisfelagtrade unionist;(am.)union member;ein ið er ikki limur í yrkisfelaga non-unionist;(tlm., niðr.)scab;skipa yrkisfelagorganize in trade unions; form trade unions;rætturin at skipa yrkisfelagthe right to form trade unions; the right of combination
yrkisfelagi	colleague; (tíðum) brother officer, brother clergyman, brother artist(o.tíl.);(fólk í samsvarandi starvi aðrastaðniel.í øðrum landi,eis.)opposite number, counterpart;starvsbrøður okkara í Skotlandi (t.d.um embætismenn á sama stigi) our opposite numbers in Scotland
yrkisfelagsbók	(uml.)trade union card
yrkisfelagsformaður	secretary (of a trade union), general secretary, president (of a trade union), union president, union boss
yrkisfelagslimagjald	trade union subscription; trade union contribution, trade union membership fee;(am.)(labor) union dues(flt)
yrkisfelagslimur	(trade) unionist
yrkisfelagsrørsla	trade union movement, trade-unionism
yrkisfelagsskipaður	organized;yrkisfelagsskipað arbeiðsmegiorganized labour, union labour;arbeiðsmegi sum ikki er yrkisfelagsskipaðnon-union labour;yrkisfelagsskipaður verkamaður(trade) unionist
yrkisfelagsstýri	executive committee (of a trade union)
yrkisfótbóltsleikari	a football professional, professional footballerel.football player
yrkisfótbóltsspælari	a football professional, professional footballerel.football player
yrkisfótbóltur	professional football
yrkisgagn	1(likam.)vital organ (t.d.heart, liver, lung)2(plfr.)organ
yrkisgerðarrættur	(løgfr.)industrial arbitration
yrkisgrein	(branch of) industry, (branch of) trade
yrkisgreinaráðgevi	(skúlam.)(subject) adviser
yrkisheiti	technical term;(flt,tíðumniðr.)technical jargon; (nýtt fyri at gera seg uppeis., tlm.)buzz-words
yrkishermaður	professional soldier
yrkisherur	professional army
yrkisítróttarmaður	professional athlete
yrkisítrótt el.yrkisítróttur	professional athletics, professional athletic sportsel.sports
yrkiskunnleiki	special knowledge, expertise, technicalel.professionalel.expert knowledge
yrkiskønur	síyrkislærdur,serkønur
yrkislag	working method
yrkisleið	career;byggja sær yrkisleiðmake/carve out a career for oneself;hava góða yrkisleiðget on, make one's way in the world;framúr góð yrkisleiða brilliant career
yrkisleikari	1(sjónl.)professional actorel.actress2(ítr.)professional footballerel.professional football player;nógvir smádreingir droyma um at gerast yrkisleikarar í útlendskum fótbóltsfeløgummany boys dream of becoming professional footballers in foreign football clubs
yrkislestur	vocational study
yrkisleysur	unemployed; idle, without employment, occupationel.work; inactive;honum leiddist við hetta yrkisleysa arbeiði umborðthe inactive work on board bored him; workhann varð sitandi yrkisleysur tann líðilanga daghe sat all day long without having anything to do;hann gekk yrkisleysurhe had no job, he was idle
yrkisligur	1professional;hjyrkisliga2technical
yrkisloysi	idleness, inactivity
yrkislærdómur	vocational training
yrkislærdur	skilled(t.d.a skilled workman); trained;yrkislærdur verkamaðurskilled worker;ikki yrkislærdurunskilled;yrkislærd og ikki yrkislærd arbeiðsmegiskilled and unskilled labour
yrkismaður	skilled workman, craftsman
yrkismarksósemjur	demarcation disputes
yrkismál	technical language, technical jargon;(st.)LSP (language for special purposes)
yrkismørk	(á arbeiðsplássi) demarcations, subject boundaries
yrkisnalvaskoðan	(niðr.)professional self-centredness
yrkisnavn	job designation;" skraddari" og " smiður" eru yrkisnøvn"tailor" and "smith" are job designations
yrkisnám	vocational education, vocational training, vocational qualification
yrkisnevaleikari	professional boxer
yrkisorð	technical term
yrkisrættarligur	[pertaining to labour legislation];yrkisrættarlig viðgerðindustrial procedure;yrkisrættarligt stríðindustrial dispute
yrkissjónleikari	(sjónl.)professional actor
yrkissjónleikarinna	(sjónl.)professional actress
yrkissjúka	(lækn.)occupational disease, industrial disease, work related disorder
yrkisskúli	(skúlam.)vocational school; (tíðum) high school(t.d.the High School of Decorative Art)
yrkisstova	job café
yrkistakari	wageel.salary earner; (á før. eis.løntakari)
yrkisútbúgving	vocational education, vocational training, vocational qualification
yrkisvegleiðari	vocational guidance counsellorel.officer, (youth) employment officer, careers adviser; (í skúla) careers masterel.teacherel.adviser
yrkisvegleiðing	vocationalel.occupationalel.careers guidance, careers advise
yrkisøki	field, sphere, subject area; cluster of subjects
yrkja	1write poetry, compose, write; yrkjakvæði/táttwrite a ballad;yrkja um e-nmake a ballad/song about sby's escapades//deeds;(orðt.) tað, ið illa er yrkt, verður illa kvøðiðwhat is set badly to rhyme is badly sung,(fl.m.)what is poorly prepared is poorly executed2(kvæð.)addressorspeak to sby; yrkjaorði á e-naddress sby;yrkja (orðum)begin one's addressorspeech3(fl.m.)make up, fabricate;hann man sjálvur hava yrkt hattahe must have fabricated it himself
yrkjari	poet
yrkorð	(málfr.)síyrkisorð
yrkudagur	(gl.)síyrkadagur
yrkur	(um dag) weekday;yrkan dagweekday;teir stóðu hendur í hupp yrkan dagthey stood there doing nothing on a workday;heilagt sum yrktboth on weekdays and Sundays;tú vaskar við sama lag, antin tað er heilagt ella yrktyou are doing the washing in total disregard of it being weekdays or Sundays;lítið man hann hava sovið - situr uppi yrkar næturhe can't have slept much his sitting up (late) on weekdays
ysta	1curdle; ystamjólkcurdle milk2ysta/ystastcurdle, coagulate
ysting	the act of curdling
ystingur	(boiled) curdled milk
ystur	curdled, separated, coagulated;yst mjólkcurdled milk
ytri	1outer, outermost (of two);ytri máttur (jarðfr.)exogenous force2farther out
ytst	farthest out, offel.away, uttermost(t.d.to the uttermost ends of the earth); at the extremity(t.d.stand at the extremity of the line); near the edge, at the edge;húsini stóðu ytst á bakkanumthe house stood at the edge of the steep slope (towards the coastline);ytst á halanumon the tip of the tail
ytstifingur	(stb.)little finger
ytstur	farthest out, outermost;út á ytstu gáttto the front door;út í ytstu æsirin every respect, through and through, exhaustively(t.d.study a subject exhaustively); thoroughly;tað ytsta miðiðthe most outlying fishing ground
yvan	1(stb.)íosb. yvan fyrion the other side; yvanfyri vatniðon the other side of the lake2(stb.) yvan landthe southern side of the Vágsfjørður
yvir	1(viðhvnfum rørsluel.flyting á stað oghvmfum dvøl á stað);yvir havacross/over the sea;yvir dalar og fjøllacross the valleys and over the mountains;ferðast yvir landtravel over land (not by sea);posturin varð sendur yvir land, sum siður var táthe post was dispatched over land as was the custom then;yvir tann breiða fjørð (kvæð.)across the wide fiord;hava tak yvir høvdiðhave a roof over one's head;heingja pottin (upp) yvir eldinput/hang the pot over the fire;líta yvir landiðlook out over the land (from a mountain peak);áirnar floyma yvir áarbakkarnarrivers overflow/burst their banks;reiggja stavin yvir høvdiðbrandish one's stick over one's head;syfta (bóltin) yvir múrinthrow the ball over the wall;stíga yvir e-n (fl.m.)exceed/surpass/outdo sby;at Harrin vil halda hondina yvir soninumthat the Lord will protect his//her son;svørðið hekk yvir teirra høvdithe sword hung over their heads;tað liggur altíð ein sólarglæma yvir børnumit is as if children are always blessed with a gleam of sunlight2(um ljóð, of sound)sálmasongurin hoyrist yvir haviðhymn singing was heard over the sea;reyður hani skuldi gala yvir Neystagarð3(um plagg, of garment) over;jakka uttan yvir troyggjunaa coat over the jersey4(tlm.)for more than;í yvir fjøruti árfor more than forty years5which covers;talva er yvir grindirnarstatistical material covers all the school of pilot whales killed6under sby's rule;hava ein harðan yvir særbe ruled by a hard master;kongur setur at honum fyri, so lítið hann hevur yvir monnum sínumthe King reproaches him with being too lenient with his men;hann hevði ongan yvir særhe is independent;drotning yvir Atlants oyggjum (skaldsk.)the Queen of the Atlantic Islands;nú sigi eg, sum Gud er yvir mær,síGud7(í ymsum føstum sambondum, in various fixed phrases)biðja/ynskja ilt yvir e-nwish sby ill;duga/kunna yvir at stillabe able to hide one's feelings/control oneself; be able to restrain oneself/keep one's temper;fella dóm yvir e-njudge/deliver judg(e)ment/pass judg(e)ment;geva skarvin yvirthrow in the towel/sponge;eta seg yvir ryggovereat;keypa seg yvir ryggoverbuy (oneself);koma/reisa yvir høvurset on end(t.d.a stone);(ikki) taka vatn yvir høvur/høvdið,sívatn;svørja hevnd yvir e-nswear/vow revenge;tað er ikki yvir at dyljait is obvious, it is no secret;tað er ikki yvir at tiga (kvæð.)it is no secret that;yvir høvur og herðar/yvir háls og herðar,síherðar8[ísamb.viðs]bera yvir við (e-m)make allowances for, bear with, be indulgent towards;draga yvir (e-t)conceal/hide sth;grunda yvir (e-t)puzzle over/about sth, ponder sth; ponder over/on sth; speculate about sth, meditate on sth;ráða yvir (e-m)command, have at one's disposal; control;undrast/undra seg yvir (e-t)wonder at, be astonished at, be surprised at; be astounded at, marvel at;vaka (uppi) yvir (e-m)watch by, sit up with(t.d.a patient)9[ísamb.viðhj]afturyviron;leggja lok aftur yvir e-tput a lid on sth;skava aftur yvir (e-t)make an apologyorexcuse for sby, apologize to sby, intercede for sby;framyvirover and in front of;spjótið fleyg fram yvir hannthe spear flew over his head (and fell in front of him);omanyvir:koma oman yvir (e-n)become overwhelmed by;ótti kom oman yvir megI was overwhelmed by fear;uppiyvir1hjúkla uppi yvir e-mnurse/pamper/coddle/cosset sby;(serst.børn) spoil;vera fegin/gleða seg uppi yvir e-mbe glad of, be/feel glad about/because of sth; be happy about sth; be pleased with sth, be pleased about sth; be delighted with sth;Tummas er ovurfegin uppi yvir súkkluniTummas is pleased/delighted with his new bike;láta væl at uppi yvir e-mbe pleased with sth (and say so)2sita uppi yvir e-m,sísita;uttanyvirover;jakka uttan yvir troyggjunia coat over the jersey;útyvir:fjala út yvir e-tconceal/hide sth;skava út yvir e-tmake allowances for/bear with/be indulgent towards;leggja út yvir e-tput/spread sth on sth;langt út yvir havfar over the sea;út yvir landiðover the land;skoða út yvir e-tlook over sth;taka út yvir e-t,sítaka10[ísamb.viðs]t.d. flóta yviroverflow;ganga yvirpass(t.d.it'll pass);geva seg yvirsurrender;ríða yvirlose one's balance, overbalance11[ísamb.viðfs]yvirat:hann gongur yvir at seinginihe walked over/up to the bed;yviravin front of, opposite;hann sat yvir av mærhe sat opposite me;yvirá:hann kveitir yvir á Gunnhildhe casts a sidelong glance at Gunnhild;yvireftir:hon fór yvir eftir vegnumshe went along the road;bólturin fór sendandi yvir eftir vøllinumthe ball was kicked the length of the football field;yvirfráopposite;beint yvir frá grøvinijust opposite the grave;yvir í:e-m tykir yvir í,sítykja;yvirmóti:síðan varð farið í ein útnyrðing yvir móti Íslandiwe then sailed to the north-west towards Iceland;yvirum:hann fór yvir um ánnahe went over the stream, he crossed the stream;yvir um fjørðacross/over the fiord12[ísamb.við staðanøvno.tíl.,in connection with place namesetc] over (a mountain//a fiord, to another country);vit komu yvir í øllum góðumwe came safely (to Greenland);yvir á Strendurto (the village of) Strendur (from the village of Toftir);(kvæð.) yvir á Ferjubakkaover to Ferjubakki;yvir á landover/across the fiord;yvir til Havnarto Tórshavn (from the villages of Velbastaður and Kirkjubøur);yvir til Kvívíkarto (the village of) Kvívík (from the village of Vestmanna);yvir til Leynarto the village of Leynar (from the village of Kvívík);yvir til Sandavágsto the village of Sandavágur (from the village of Sørvágur)13[sumhj] over, across, up to;hon fór yvir at vindeyganumshe went over to the window;hann fór yvir til grannanhe went to see his neighbour;kemur tú yvir eina løtu?cant't you pay me a short visit?
yvir-	(um tignarstig) chief, senior, principal; supra-
yvirals	a pair of overallsel.dungarees
yviralsklæði	a pair of overallsel.dungarees
yviralsur	síyvirals
yvirarbeiði	overtime;rindaður fyri yvirarbeiðipaid (for) overtime;hava yvirarbeiðiwork overtime
yvirav	opposite(t.d.the house opposite; he lives opposite), on the other side;húsini stóðu yvirav (eis.)the house(s) on the opposite side of the road/streeto.tíl.
yviráls	síyvirals
yvirbit	overbite; (tíðum) protruding front teeth;(dýralfr.)overshot jaw;hava yvirbithave a overshot jaw
yvirbjóða	síbjóða(yvir)
yvirbjóðing	outbidding
yvirbjóðingarpolitikkur	[policy of always promising more than one's opponents]; policy of going one better
yvirboð	(hægri boð) higher bid;hava yvirboðmake a higher bid, raise the bidding
yvirborð	(jarðfr.) surface; yvirborðjarðarthe surface of the earth
yvirborin	round, plump, chubby,(serst.um mannfólk) portly;(serst.um konufólk) buxom, well-padded, who has put on flesh;sum lítil var hon heldur yvirborinas a child she was rather chubby
yvirbóka	overbook
yvirbókavørður	chief librarian
yvirbóking	overbooking
yvirbragd	1appearance, looks2feature; (formligt mál) lineament;yvirbragd hansara (eis.)the look on his face;skifta yvirbragdthe look on his face changes;eitt tunglynt yvirbragd breiðir seg um andlit hansarathe look on his face becomes gloomy3facial expression (in the eyes);yvirbragdið var flákrandi og óvísthis//her facial expression was wandering and unsteady
yvirbragð	síyvirbragd
yvirbrá	feature; appearance; expression;eitt barnsligt yvirbrá(ikkiniðr.)childlike appearance,(niðr.)childish appearance;eitt stolt yvirbráa haughty expression in the eyes(el.bearing);eitt so líðandi yvirbrá hevði hon onga tíð sæð fyrrshe had never before seen such a pained expression;hon hevði fingið eitt strangari yvirbráher appearance had become stricter;áin gevur bygdini yvirbrá (fl.m.)the river gives the village character
yvirbregði1	superior;tú fært hvørki líkamann ella yvirbregðayou won't meet your equal or your superior;hon heldur seg neyvan fáa sín líka ella yvirbregða við vevinshe thinks that she is better than anybody when it comes to weaving
yvirbregði2	expression in the eyes; yvirbregðiav sakloysian expression of innocence;hava gott yvirbregðilook people frankly into the eyes;hava ringt yvirbregðihave a furtive expression;hann hevur ringt yvirbregði, situr og kveitir útundanhe has a furtive expression and casts sidelong glances;(kvæð.) kvinnu hevur hon yvirbregði, kallmans hevur hon málshe has the look of a woman, but a man's voice
yvirbregðin	haughty, superior, self-important;stoltur og yvirbregðinhaughty
yvirbrigdi	síyvirbregði1
yvirbrigði	predominance, preponderance, advantage;hon hevur yvirbrigðanshe has the upper hand (of);í ídnaði og fíggjarmálaheimi hava stórfyritøkurnar yvirbrigðanthe large concerns are predominant in industry and in the world of finance
yvirbrøkur	trousers
yvirbuksur	trousers
yvirburður	brilliance, mastership;hava yvirburð yvir e-nbe superior to sby
yvirbygdur	(um skip, of vessel) spar-deckedel.awning-decked (vessel)
yvirbygningur	1superstructure2(bú.)superstructure
yvirbyrjaður	(stb.)síovbyrjaður
yvirdráttur	(bú.)overdraft;yvirdráttur hjá bretsku stjórnini í Bank of Englandthe deficiency bill
yvirdýna	(í song, in a bed) duvet
yvireftir	(walk) over, up, over to, towards;hann fór til gongu yvireftirhe walked in the direction of...
yvireg	(sálfr.)super-ego
yvireingil	(bíbl.)archangel
yvirerving	(sj.)síovervan,overving
yvirfalsrør	overflow pipe
yvirfalsventilur	overflow valve, relief valve
