d	(eis. tónl.)D, d
dagsskipan	sídagsskrá
dagsskrá	1(fundarskrá) agenda, (the) business of the day; order paper;fundur við hesari dagsskráa meeting to discuss the following agenda (um bert eittans mál: the following matter);fara til næsta mál á dagsskránnigo on to the next item on the agenda, move on to (the) next business;seta á dagsskránnaplace on the agenda;(fl.m.)bring up for discussion;vera á dagsskránnibe on the agenda;(fl.m.)have come up for decision;viðgera sum fyrsta mál á dagsskránniplace at the head of the agenda2(fundarsamtykt) resolution;seta fram uppskot um dagsskrámove a resolution
dagssýni	sídagræði
dagstevndur	1(um tíð) fixed, appointed,koma dagstevndan dagcome on the appointed day2hann kom dagstevnt á hvørjum árihe came on a fixed day every year
dagstíð	time of day
dagstjørna	(stjfr.)morning star
dagstovnur	day-care centre
dagstútt	sídagstøtt
dagstøtt	every day, daily
dagsverður	day's ration
dagsverk	(whole) day's work
dagsvirði	current(el.marketel.present) value;(tlm.)going rate
dagtilhald	day-care centre
dagtjóvur	idler, loafer
