y	1(málfr.)vowel, (called seinnael. sj.langa y /i:/)2(stfr.)y (unknown numerical quantity)
ymiskur	1(ólíkur) different(t.d.two different people of the same name; the two scientists used different methods); dissimilar(t.d.the intonation systems of the two languages are slightly dissimilar); unlike(t.d.they are so unlike [each other] that one would not suppose them to be sisters); differing(t.d.have differing tastes//views); diverse(t.d.people from diverse cultures);ymiskt innihalddifferent contents;hon hevur havt ymiskar dagarnarshe has experienced bad times;nú kundi tað koma at verða so ymiskt við tíit would be difficult to predict how things would go2(greidliga sundurskildur) distinct(t.d.there are two distinct species of this bird, besides various subspecies; Old English and Old Frisian are closely related, but perfectly distinct dialects)3(skiftandi) varying(t.d.with varying success)4several(t.d.they went back to their several jobs, they went their several ways)5various(t.dvarious people have said so; his various works); several(t.d.there are several objections to this); sundry(t.d.talk about sundry matters);ymiskar útreiðslursundry expenses6(gl.)doubtful, dubious, questionable;tað er ógvuliga ymisktit is questionable;teir verða ymiskir at fáait is doubtful whether we will get them;ymiskt var, hvør leikurin fórit was uncertain how things would go;hava ymiskar tankarsuspect, be suspicious
ymisleiki	1(ólíkleiki) dissimilarity(t.d.they cannot be grouped together because of their dissimilarity); heterogeneousness, heterogeneity2(fjølbroytni) diversity3síymiskur
ymisliga	differently, otherwise, in a different way;orðið er ymisliga stavaðthe word has different spellings;ymisliga staddurin different places;teir eru ymisliga staddir í skorinithey are in different places in theskor (=grass-covered projecting part of a steep mountain)
ymisligur	different, varied;ymislig er eydnan (skaldsk.)some are favoured by fortune, others are not
ymislitaður	of different colour(s);tú hoyrir nógv tungumál og sært ymislitað fólkyou hear many languages and see people of different colour(s)
ymislittur	of different colour(s);ymislitt tógvmixture yarn
ymissur	1á ymsan háttin various ways;ymsar leiðirin various directions;streingir, ið hava ymiss ljóðstrings of various sounds; síymiskur12alternate with, alternate between, alternating, in turn, by turn, in rotation;hann vindur togendan um ymsar hendurhe is winding the piece of rope first round one hand, then round the other;hann kysti hana á ymsar kjálkarhe kissed her on both cheeks;tríggir brøður skiftust um, ymsir at fara til útróðrar og ymsir at vera heimathree brothers went fishing by turn and stayed home by turn;hann ymsar litir fekk (kvæð.)he turned red and white;ymsir undir og ymsir áalternately on top and underneath (in wrestling)
ymisvirðin	ambivalent
ymisvorðin	síymisháttaður
ymja	rush, run;munnur og nasar umdu í blóði (kvæð.)blood gushed from/poured out of his mouth and nose
ymsastaðna	(stb.)in many places;bátar komu ymsastaðna fráboats came from different places; síymsastaðni
ymsastaðni	in different places, from here and there;børnini spæla ymsastaðnithe children are playing in different places
ymsumegin	now on one side, now on the other; ymsumeginveginalternately on one side of the street and the other
ynda	1fondle, caress, pet, cuddle;hon bispaði/bipaði einum barni, yndaði tað og tosaði við taðshe was lulling a child to sleep, fondling it and talking to it2love;hon yndar hann soshe loves him (very much);hann hevði ongantíð yndað dóttur sína nógvhe had never cared much for his daughter;yndastbe in love
yndi	1love(t.d.the love of one's country//of one's children//mate; his love of poetry); (ikki so avgjørt) affection(t.d.he had a great affection for his pupils);(bíbl.)love;fáa yndi til e-nfall in love with sby;hann fekk sterkt yndi til hennarahe fell hopelessly for her;ei fært tú nakað yndi av mær (kvæð.)don't come to me for love//to ask for a favour;elur teir upp við yndi (kvæð.)(she) brings them up lovingly2beauty, loveliness, charm, grace, gracefulness, prettiness;kvinnuligt yndifeminine grace
yndigur	lovely, delightful;hoyr tað, yndiga ríka frú
yndiligur	(kvæð.)lovely, sweet, charming, delightful, enchanting, ravishing, delicious;mítt yndiliga sprundmy lovely woman; síyndisligur
yndis-	favourite(t.d.my favourite colour//dish//drink//newspaper//opera//poet//study//subject),
yndisbarn	favourite, pet, darling;yndisbarnið (eis., tlm.)the blue-eyed boy
yndisblóma	favourite flower
yndisbrúður	(kvæð.)lovely, delightfulorsweet woman;tú yndisbrúður ver nú kátyou delightful woman be joyful
yndisdjór	síyndisdýr
yndisdýr	favourite animal,(serst.um smá dýr) pet;hesturin var yndisdýr teirrathe horse was their favourite animal
yndisfagur	(skaldsk.)of wonderful, exquisiteel.matchless beauty, divinely beautiful; síeis.yndisligur
yndisfullur	síyndisligur
yndislag	1charm, attractiveness2favourite tune
yndisleiki	charm, grace, beauty, loveliness;várið við sínum fríska yndisleikaspring with its fresh beauty
yndislestnaður	favourite reading
yndisligur	lovely(t.d.child//girl//flower//woman//landscape//scene//sight//tune); sweet(t.d.girl//old lady; a sweet little hat); charming(t.d.gown//house); delicious(t.d.flowers//garden); charming, delightful, enchanting, ravishing, delicious;summarsins yndisliga blídnithe loveliness of summer;har er yndisligt bæði á sumri og á vetriit is lovely there both in summer and in winter;hj
yndisnavn	favourite name
yndisorð	1loving, affectionateorfond words, term of endearment;tey teskaðu yndisorðthey were murmuring loving words to one another2favourite wordorexpression
yndissjónd	favourite sight
yndissongur	favourite song
yndisstikni	pet hate (t.d.students sponging off the state was her pet hate)
yndistokki	charm, grace, beauty, loveliness
yndisvænur	charming and beautiful
yndugur	her er yndugt sum í himmiríki this place is as delightful as heaven; síyndigur
yngd	youth, early years(móts.elli,oppto old age)
yngdur	1rejuvenated, restored to youth;tað tókti sum tað hevði yngd hann (eis.)it seemed to renew his youth; síyngja2fertilized, hatched out;eggini eru (nógv) yngdmost of the eggs have been fertilized
ynging	1rejuvenation; renewal, renovation2rearing, bringing up (serst.neyt,espcattle)
yngingarviðgerð	(lækn.)rejuvenation treatment
yngja	1make young, rejuvenate;hon er yngdur uppafturshe has been rejuvenated;tað knípir við at fáa yngt fólkahjálpina á garðinumit is difficult to get hold of new farmworkers;teir eru farnir at yngja tað uppaftur at halda veitslu súludaginthey have revived the custom of celebrating thesúludagur (q.v.); teir yngja uppaftur klandrið millum flokkarnarthey are resuming the party squabbles;(tilt.) yngjast sum ørnin,síørn;yngjast upp(aftur)be rejuvenated, become young again2breed, raiseel.rear(t.d.calves); (um seyð, of sheep) breed sheep3eggið er nógv yngtthe egg is almost hatched out
yngla	breed(t.d.rabbits breed in captivity); multiply(t.d.rats multiply rapidly)
yngliøki	(dý.) breeding ground
yngri	avungur
yngstur	avungur
yngul	1brood2(av fiski) fry, spawn; (av laksi, nýklaktur) alevin; (sum er farin at eta) fry; (av skeljadýrum,t.d.ostrum) spat; síeis.øðukelv,kelv,kelvingur
yngulkanning	(fisk., fakl.)O-group survey
-ynna	síav-
ynna1	like, be fond of, have affection for, favour, love;(orðt.) tá ið tvey ynnast, tey væl finnastel.tey, ið ynnast, tey finnastwhen two people are in love, they are sure to find each other (love will find a way)
ynna2	1(stb.)giveel.allow oneself sth(t.d.he did not allow himself a moment's rest);tey ynna sær ikki at livathey pinch and scrape; síeis.unna2(kvæð.) ynnastfeel pleasureorsatisfaction;aldri skalt tú ynnastyou'll never be satisfied
ynniligur	(kvæð.)lovable;tað ynniliga sprundthe loveable woman
ynnisligur	(skaldsk.)síynniligur
ynski	wish(t.d.his wish; the wishes of the population), desire;(handilsm., o.tíl.)want(t.d.your wants shall be promptly attended to);hon bar fram ynski síttshe expressed her wish, she made a request;hægsta ynski hennara var at sleppa út at ferðastshe had set her heart on going travelling; her greatest wish/the dream of her life was to go travelling;nú er mítt innasta ynski útintmy greatest wish has been fulfilled, my greatest my wish has been gratified;ynski um góða eydnuwish sby best of luck
ynskisdreymur	dream(GG:that project is only a pipe-dream of mine);ynskidreymar (fl.m., eis.)wishful thinking
ynskisháttur	(málfr.)the optative
ynskisseðil	list of suggestions for presents; present list(t.d.birthday//Christmas present list); Christmas list
ynskissetningur	(málfr.)optative clause
ynskja	wish, desire, want; ynskjasærwish/desire/want sth;eg ynski mær nógvar gávur til jólaI want/I would like many presents for Christmas;einar gleðiligar páskir ynski eg tygumI wish you a happy Easter(GG:verður vanliga ikki sagt í Bretlandi og USA);ynskja (e-m) gleðilig jólwish sby a merry Christmas;eg hevði ynskt/viljað, at hann kundi skikkað sær beturI wish he would behave better in future;ynskja eftir e-mwant sth;tú slapst í brúdleyp, sum tú ynskti eftiryou were allowed to attend the wedding festivities which was what you wanted;tað er ikki eftirynskjandiit is not to be desired; it is not advisable/desirable;ynskja e-t (oman) yvir e-n: konan ynskti ilt yvir hannhis wife wished him ill;hon hevði ongantíð ynskt nakað ringt oman yvir teyshe had never wished them ill
ynskur	(stb.)síynski
yppa	1raise up, hoist; yppaøksl/akslirshrug (one's shoulders);yppa kálv[kill a calf with a stab in the neckorthrough the throat and then when it has bled and its entrails have been taken out, hang it up by the hind legs with the skin on]2wring a bird's neck; yppafuglwring a bird's neck3yppa seg/sær (upp)draw oneself up, straighten oneself; swagger (about), boast, brag;hann ypti seg upp, og andlitið blíðkaðist í einum hálvum brosihe straightened himself up and his face softened up in a little smile;hann stóð eisini har og ypti særhe too straightened himself up4provoke, give rise to, arouse; yppaklandurpick a quarrel (with sby);ypp ikki!don't pick a quarrel!;teir gjørdu honum ónáðir, men hann yppaði altíð upp undir tað sjálvurthey harassed him but he was always responsible for it himself;yppastgive rise to;(kvæð.) yppist nú ráð av illari dáðthe consequences of evil scheming have now been exposed
-yrði	> t.d.hittin-,mein-,ný(ggj)-,sár-,van-
yrkadagur	weekday, workday;ganga í pussinum yrkadagarbe in one's Sunday best on normal days
yrkakvøld	weekday evening;at hon hvørt yrkakvøld sat við bókini, tað dámdi honum lítiðhe didn't approve of the fact that she sat reading weekday evenings
yrki	1work, job, employment;konufólkið fór til sítt dagliga yrki bæði inni og útiwomen did their daily work indoors and outdoors2occupation(t.d.what is your occupation?; he is an insurance agent by occupation; the full name, address, and occupation of the applicant); calling; (starvseting) appointment, position, post; opening(t.d.there are few openings for young men of his type);(tlm., serst.um heldur illa lønt starv) job(t.d.he is looking for a job; he has a job with Smith & Co.; he lost his job); (pláss,serst.húspláss) place(t.d.get a place as cook); situation3(sj.)poem;tað er eitt so vakurt yrkiit is such a beautiful poem
yrkigagnagevi	organ donor
yrking	1poem2the writing of poetry
yrkingabók	collection of poems
yrkingarførur	poetically talented, who has a poetic turn
yrkingargávur	poetic talent; sígáva2
yrkingarháttur	(bókm.)poetical treatment
yrkingarlag	(bókm.)poetical treatment;yrkingarlagið er einfalt, stundum eitt sindur turtthe poetical treatment is plain, sometimes rather dry;flestu yrkjarar eru ikki eintáttaðir í yrkingarlagithe poetical treatment is complex in the works of most poets
yrkingarlist	(bókm.)the art of poetry; eis.skaldskaparlist
yrkingarringur	(bókm.)cycle (of poems)
yrkingasavn	collection of poems
yrkis-	professional; sí -fótbóltur, -hermaður, -ítróttamaður
yrkisboksari	boxing professional, professional boxer
yrkisbókmentir	(bókm.)specialist literature; (á bókasavni) classed books; (handil og ídnaður) trade literature, technical literature; (vísindaligar) scientific literature; (lækna- og løgfrøðio.tíl.)professional literature;fagrar bókmentir og yrkisbókmentir (uml.)fiction and non-fiction
yrkisbólkur	trade group, occupational group; (fróðskaparseturslærarar í ávísari lærugrein) department(t.d.the English department); school(t.d.the school of social studies); (til próvtøku) group, combination
yrkisbróðir	colleague; (tíðum) brother officer, brother clergyman, brother artist(o.tíl.);(fólk í samsvarandi starvi,eis.)opposite number, counterpart;starvsbrøður okkara í Skotlandi (t.d.um embætismenn á sama stigi) our opposite numbers in Scotland
yrkisevni	1(gl.; serst. flt)tools, implements, instruments2(bókm.)subject matter (of a poem)
yrkisfelag	trade union;(am.)labor union;limur í yrkisfelagtrade unionist;(am.)union member;ein ið er ikki limur í yrkisfelaga non-unionist;(tlm., niðr.)scab;skipa yrkisfelagorganize in trade unions; form trade unions;rætturin at skipa yrkisfelagthe right to form trade unions; the right of combination
yrkisfelagi	colleague; (tíðum) brother officer, brother clergyman, brother artist(o.tíl.);(fólk í samsvarandi starvi aðrastaðniel.í øðrum landi,eis.)opposite number, counterpart;starvsbrøður okkara í Skotlandi (t.d.um embætismenn á sama stigi) our opposite numbers in Scotland
yrkisfelagsbók	(uml.)trade union card
yrkisfelagsformaður	secretary (of a trade union), general secretary, president (of a trade union), union president, union boss
