r	h (málfr.)consonant,/ær:/
rað	1row(t.d.a row of cars; houses; persons; tomato plants; statues; trees); line(t.d.a line of columns//soldiers//statues//trees); (bara um lutir) bank(t.d.a bank of computers); range(t.d.a range of buildings//columns//forts//islands//mountains); (hotellsvita) suite(t.d.a suite of rooms); (á rað aftureftir) line, file(t.d.they walked in a file down the street), string(t.d.a string of cars//barges//boats); (hali) queue; (uppi yvir hvør øðrum) tier(t.d.the tiers of an amphitheatre; tiers upon tiers of boxes); (í leikhúsi) row(t.d.sit in the front row);fólk stóðu í longum røðumpeople stood in long queues;á raðrunning(t.d.I won three times running); successive(t.d.three successive times; for three successive weeks; this is the fifth successive year that); in succession(t.d.three times in succession); on end(t.d.for several weeks on end); consecutive(t.d.for three consecutive weeks); together(t.d.write for hours together);trý ár á raðfor three consecutive years2skeleton
raða1	íosb.sumsigla beina raðusail dead before the wind;strongurin stevnir haðan í beina raðu móti Skælingithestrongur(narrow, strong tide race) then makes directly for the Skælingur (a mountain)
raða2	1(daga uppundanel.uppúr) project, rise, stand up, tower; (taka seg uppum) rise above, be taller than, overlook, look down upon, dominate(t.d.the castle looks down onel.dominates the village); (nógv hægri) tower above(t.d.the church towers above the houses);standa og raðastand up;byrsumúlin stendur og raðar upp í loftthe gun barrel is pointing upwards;bara mastrarnar og skorsteinurin raðaðu undanonly the masts and funnels were visible;hømiliurnar frá í fjør standa og raða upp millum steinarnarthe docks of last year cand be seen standing up among the stones2arrange in the proper orderel.in due succession, rank, prioritize;(teld.)sequence;ørindini eru raðað og skipað eftir frásøgnthe stanzas have been arranged in order in accordance with oral tradition3íosb.sumraða umconcern, regard, relate to, have reference to; bear upon; as to, as for, as regards, as far as... is concerned;tá ið tað raðar um taðas far as it is concerned;tað raðaði ikki um stavn millum bátarnar(í kappróðri, in boatrace) the boats crossed the finishing line at the same time;raða avall sails set, at/under full sail, full-sail, with every stitch of canvas spread, with crowded sails;teir raðaðu hana avthey sailed with crowded sails
raðan	sigla beina raðan sail dead before the wind; síraðfylgja2,raða1
raðbinda	(ravm., alisfr.)connect(t.d.cells) in series
raðbroyta	(stfr.)permute
raðbroyting	(stfr.)permutation
raðbygging	(byggifr.)aligned buildings;raðbygging fram við vegiribbon development(t.d.ribbon development along the roads of approach)
raðdráp	(eitt av mongum) serial killing; (mong raðdráp) serial killings
raðdrápsmaður	(verður vanliga lýstur sum persónur, ið drepur trý ella fleiri fólk eftir einum mánaði ella so, síðan er steðgur, og so byrjar hann aftur) serial killer; síhópdrápsmaður
raðfesta	prioritize, fix an order of priority; determine, establishel.set priorities for;raðfesta arbeiðidecide work priority, put the tasks into order of priority;raðfesta íløgurfix an order of priority concerning investments
raðfesting	prioritization, putting in order of priority(GG:it is a question of priorities), fixing an order of priorities
raðfestingarlisti	list of priorities
raðfylgi	síraðfylgja
raðfylgja	order(t.d.in alphabetical order; in chronological order); (order of) succession;(jarðfr:av løgum) succession; seriatim(t.d.he tackled his problems seriatim);í raðfylgjuin succession, consecutively;í søguligari raðfylgjuchronologically;í skjótari raðfylgjuin rapid succession;í øvutari raðfylgjuin reverse order
raðhald	(á brúgv, skipio.tíl.)rail, hand rail, guard rail, railing; (til trappu) banisters(flt);síeis.rekkverk
raðhalt	íosb. saga raðhaltsaw along the line but out of the square
raðhús	(uml.)terrace house; (stór, nútíðarlig) (non-detached) town house;(serst. am.)rowhouse
raðið	fluently, with fluency, without stopping;lesa raðiðread fluently;tala fremmandamál raðiðspeak a foreign language fluently;kunna/duga e-t raðiðknow sth word for word;tað lá raðið fyri hjá hennishe had no problem doing it
raðsamanbinding	(ravm.)series connection;skipan/kervivið raðsamanbinding series system of distribution
raðsáa	(landb.)drill
raðsáing	(landb.)drilling
raðsáingarmaskina	(landb.)(seed) drill
raðsending	(útv.)serial (story);(sjónv.)serial;(teld.)serial transmission
raðseta	arrange in the proper orderel.in due succession, rank, prioritize;(teld.)sequence
raðskipan	order; síeis.rað1,røð3
raðtal	ordinal (number);raðtøl eru fyrsti, annar, triði o.s.fr.ordinals are the first, the second, the thirdetc
rafsast	sírefsast,ressast
raft	long, thin wooden stick
ragg	roughness in the sea;fitt ragg í sjónum, tó at tað er toluliga kyrt inni á gjónniit was fairly calm in thegjógv(bay with rocks on both sides of it) in spite of the fact that the sea was rough outside
ragga1	goel.walk slowly, walk step by step; raggasær aftur at húsumwalk slowly back to the house;øll, ið ragga kundu, komu á støðnaevery man Jackel.every living thing went down to the landing place
ragga2	1(um eggjarn, of cutting edge) become blunt;knívurin er raggaðurthe knife is blunted;illa raggaðurvery blunt;líggin fer at raggastthe scythe is becoming blunt2make an oblique incision (acting as barbs in bolt, nail or the like)
raggari	(stb.)seal's tail; sísaks
raggutur	(of sea) fairly rough; raggutursjógvurfairly rough sea;raggut í sjónumthe sea is fairly rough
ragla	stagger, reel
raglan1	stagger(ing), reeling
raglan2	raglan (bindat.d.troyggjur við raglan)
ragna	swear, curse;blóta og ragnacurse and swear
ragnarøk	1(gudal.)the Twilight of the Gods2(fl.m.)ruin, destruction, Armageddon;ótálmað vápnadubbing elvir til ragnarøkthe unrestrained arms race will result in Armageddon
raion	rayon
rak1	(gl.)wick (of a train-oil lamp);kolan brann við tveimum rakum íthe train-oil lamp was burning with two wicks
