J	(st.)joule
jagstra	hunt, chase(t.d.a person, an aeroplane, a ship);hundurin jagstarði kettuna út úr garðinumthe dog chased the cat out of the garden; pursue, hunt(t.d.a hunted fugitive; like some hunted animal);jagstra ein flýggjaðanpursue a runaway, hunt a fugitive;jagstra ein brotsmannhunt a criminal; (elta leingi) pursue a criminal;fara undir at jagstra (eis.)give chase(t.d.the dogs saw the fox and gave chase; one of our fighters saw the enemy and immediately gave chase)
jagstran	hunt, chase, pursuit
jagstur	(sj.)síjagstran
jagt1	hunting, shooting;síannarsveiði
jagt2	(bát.)lighter
jagta	1hunt2(Suð.)(um brundseyð) be in rut
jaguarur	(dýr.)jaguar(Panthera onca)©iStock
jakkaklæddur	in suit jacket, in a lounge suit
jakkaklædningur	suit, lounge suit
jakkakot	(niðr., skemt.)(shabby) jacket
jakkalummi	coat pocket(t.d.my left-hand coat pocket)
jakkaskorin	(gl.)cut like (, in the style of) a jacket
jakkatræ	(coat-) hanger
jakkavel	coat-tails
jakki	coat, jacket
jakobinarahúgva	Phrygian cap, liberty cap
jakobinari	(sø.)Jacobin
jakobinskur	Jacobin
jakobitiskur	Jacobite
jakobittur	Jacobite
jaksil	(tlm.)síjakslur
jaksla	chew with the back teeth (, with the gums)
jakslan	chewing with the back teeth
jaksli	(stb.)síjakslur
jakslur	(lívfr.)back tooth, molar
jaksul	(tlm.)síjakslur
jakt	síjagt
jakta	síjagta
jaligur	positive(t.d.reply); appreciatory(t.d.book review); sympathetic(t.d.reception of a proposal); constructive(t.d.we welcome constructive proposals); favourable(t.d.reply, attitude);hann var jaligurhe took up a sympathetic attitude; he was in favour of the proposal(o.s.fr.) (GG: (tlm.)he was all for it)
jall	(kvæð.)síjallur
jalladømi	(sø.)síjalldømi
jalldømi	(sø.)earldom
jallríki	(sø.)síjalldømi
jallur	1(sø.og ensk viðurskifti) earl;Hákun jallurEarl Hakon2(talv., stb.)bishop
jalov	1(loyvi) consent(t.d.he proposed to her and her parents gave their consent);biðja um jalov frá e-mask sby's consent;fáa jalov frá e-mobtain sby's consent(tilto);geva sítt jalovconsent, assent(tilto);(tlm. eis.)give one's nod, give sby the nod;nokta at geva sítt jalov (eis.)withhold one's consent;hava fingið jalov frá e-mhave obtained sby's consent, (undirtøku) approval, approbation; sanction2(váttan)jalov upp á flytingconfirmation of transfer;jalov upp á sáttmálaconfirmation (, affirmation) of contract
jalsdóttir	daughter of an earl
jalssonur	son of an earl
jalyfti	(sj.)síjalov
jamaikarom	Jamaica rum
jamba	(bókm.)iamb; iambus(flt. iambi);fimmfóta jambaiambic pentameter; (ofta =) blank verse
jambiskur	(bókm.)iambic
jamboree	sískótastevna
jammur	misery, wretchedness;tað var eitt jammurs lagit was a sad state of affairs;hann er tann beri jammurhe is in a miserable plight
jammurdalur	vale of tears(el.woe)
jamra	í osb: jamra seglament, wail; (gremja seg) complain, grumble;(niðr.)whine;jamra umlament, wail (over), bewail, bemoan; (gremja seg um) complain of;(niðr.)whine about;jamra seg um sína lagnu(, síni óhapp) bewail(el.bemoan) one's lot (, one's misfortunes)
janga	(e-n)janga á scold continually
jangl	(Suð.)nonsense, rubbish, twaddle, stuff and nonsense;(am.Seis.)garbage;(tlm.)rot, tommyrot, codswallop, guff, drivel, gas
jangla	(Suð.)síjagla
jann	(kortsp.)vera jann not all square;(fl.m.) tað var kalda jannit was void of fish
jannfríur	(kortsp.)all square
jantilóg	jantilógin[the principle of "just who do you think you are?"]; (kann verða endurgivið) the who-do-you think-you-are-attitude; (stundum) The tall poppy syndrome
januar	January
januarmánaður	January
Janus	(sern.) í osb: hvør Hanus og Janusevery Tom, Dick and Harry
janusarhøvur	Janus head;við JanusarhøvuriJanus-faced
jaorð	geva sítt jaorðconsent; (tá ið biðið verður um gentu) accept the proposal
Japan	Japan
japanari	síjapani
japani	Japanese;(tlm.)Jap;japanarnirthe Japanese;(tlm.)the Japs
Japanshav	(sern., landafr.)the Sea of Japan
japanskur	Japanese,japanskt(málið) Japanese;japanskt pappírJapanese paper
japansmaður	síjapani
japsa	gabble, jabber;japsa upp í samanrepeat over and over again;dugir tú ikki hatta, tú hevur sitið og japsað tað ígjøgnum allan dagdon't you know that yet? you have been repeating it over and over again all day
jarða	(um lík) bury, inter; (fylgja) bury(t.d.he has just buried his father);deyður og jarðaðurdead and gone(el.buried);(fl.m. eis.)as dead as a doornail, as dead as mutton;(bíbl.) lat tey deyðu jarða síni deyðulet the dead bury their dead
jarðaldursfrøði	(jarðfr.) geochronology
jarðalisfrøði	geophysics
jarðalisfrøðiligur	geophysical
jarðalisfrøðingur	geophysicist
jarðan	síjarðarferð
jarðar	síjørð
jarðarásur	axis of the earth
jarðarbotnur	soil;(fl.m.) góður jarðarbotnura friendly(el.favourable) soil;(fl.m.) velta jarðarbotnin fyriprepare the ground for; pave the way for
jarðarbók	(løgfr.)cadastre; (svarar í Ongl. til) (manorial) court roll;jarðarbók Viljálms sigurvegaraDomesday Book
jarðarbrúk	agriculture, farming; (stakt brúk) farm, holding, plot
jarðarbræv	(løgfr.)deed (of conveyance)
jarðarbundin	earthbound, stolid, materialistic, prosaic; of the earth; down-to-earth
jarðarbúgvi	inhabitant of the earth, terrestrial earth-dweller
jarðarbygd	agricultural village
jarðarbýti	1(sj.)rotation of land; exchange of land2partition of land
jarðareigari	landowner; landed proprietor
jarðarferð	funeral, obsequies, interment
jarðarferðarkostnaður	burial(el.funeral) expenses
jarðarfiti	(jarðfr.)fuller's earth(Montmorillonit)
jarðarfólk	landowner
jarðarfundur	(fornfr.)earth find
jarðargeisli	jarðargeislar fltearth rays
jarðargóðs	landed property
jarðargrund	síjarðarbotnur
jarðarhiti	(jarðfr.)ground heat, terrestrial heat
jarðarhús	landowner's house
jarðarhvalur	(sø.)[the part of a school of pilot whales which was allotted to the owner of the land where the catch took place]
jarðarkápa	(jarðfr.) jarðarkápanthe earth's mantle, the earth mantle
jarðarkjarni	(jarðfr.) jarðarkjarninthe earth's core
jarðarklandur	dispute about land
jarðarklóta	síjarðarknøttur
jarðarklæði(r)	(stb.)burial clothes, shroud
jarðarknøttur	jarðarknøtturinthe globe
jarðarkoma	(átr.)return, reappearance,jarðarkoma Jesusarthe Second Coming
jarðarkona	(fugl.)water rail(Rallus aquaticus)(Linnaeus, 1758),beinini sum á jarðarkonulong and thin legs©iStock
jarðarkonuleggir	long and thin legs
jarðarkringur	(bíbl.) tað er hann, ið situr hátt yvir jarðarkringinumit is he that sitteth upon the circle of the earth; it is he who sits above the circle of the earth
jarðarleiga	land rent
jarðarleysur	landless,jarðarleysir mennlandless men
jarðarligur	síjarðligur
jarðarlittur	earthy, earth-coloured
jarðarlív	jarðarlíviðthe(el.this) present life, our life on earth
jarðarlóg	(løgfr.) jarðarlógir fltlandlaws
jarðarlógarbroyting	land reform
jarðarlóggáva	agricultural legislation
jarðarmaður	landowner, farmer, agriculturalist
jarðarmeldur	earth's rotation
jarðarmeting	(bún.)valuation, appraisement
jarðarmiðbogi	(sj.)the terrestrial equator, the Line
jarðarmóðir1	midwife
jarðarmóðir2	midwife, certified nurse-midwife; (á føðideild) staff midwife
jarðarmóðurarbeiði	midwifery
jarðarmóðurtaska	midwifery bag
jarðarmunni	(Suð.)surface of fracture, fractured surface
jarðarmunur	difference of height
jarðarnavn	place name
jarðarogn	1(góðso.tíl.)landed property2real property;(am.)real estate3the possession of land, land-ownership, ownership of land;jarðarognirlanded property, land, (land)holding;stórar jarðarognirlarge holdings
jarðarognari	(sj.)landowner
jarðarpartur	(sj.)sílandpartur
jarðarpetti	small plot of land
jarðarráð	board of agriculture
jarðarrás	(stjfr.) jarðarrásinthe earth's orbit
jarðarríki	(bíbl. og skaldm.)the earth, the world
jarðarsipa	(plfr.)síjarðarsipan
jarðarsipan	(plfr.)a variety of lichen(Peltigera canina)
jarðarskattur	(bú.)land tax
jarðarskeki	(stb.)small plot of land
jarðarskifti	(bún.)exchange of property
jarðarskjálvti	(sj.)síjarðskjálvti
jarðarskorpa	(jarðfr.) jarðarskorpanthe earth's crust
jarðarskorpuvekt	(jarðfr.) the weight of the earth crust
jarðarsnøkil	small plot of land
jarðarstova	(í ævintýri) underground dwelling, subterranean dwelling; dugout
jarðarstykki	piece of land
jarðarsøgan	(jarðfr.)history of the earth
jarðartala	(stb.)síjarðtala
jarðarteigur	strip of field, small piece of land, lot, plot
jarðartrá	longing for death
jarðarútbúgving	midwifery training
jarðaryvirflati	surface of the earth(el.ground)
jarðákast	[ceremony of sprinkling earth on a coffin at a funeral];(ofta =)graveside ceremony(t.d.officiate at the graveside ceremony)
jarðbelti	zone(t.d.the torrid zone, the temperate zones, the frigid zones)
jarðber	(plfr.)strawberry(Fragaria)©iStock
jarðberjagreytur	(uml. =)strawberry soufflé(el.compote)
jarðberjasúltutoy	strawberry jam
jarðbik	(jarðfr.)asphalt, bitumen
jarðbika	asphalt
jarðblettur	liver spot
jarðbotnur	(sj.)síjarðarbotnur
jarðbók	(sj.)síjarðarbók
jarðbót	(bún.)soil improvement
jarðbundin	1earthbound, stolid, materialistic, prosaic; of the earth; down-to-earth2(ravm.)with earth connection, with earthing;(am.)with ground connection, with grounding
jarðbúgvi	inhabitant of the earth, terrestrial earth-dweller; earthling
jarðbylgja	(jarðfr.)earth wave;(útv.)ground wave
jarðdýpd	(Suð.)depth of soil
jarðeldur	síjarðareldur
jarðevnafrøði	(jarðfr.)geochemistry
jarðevnafrøði-,jarðevnafrøðiligur	(jarðfr.)geochemical
jarðevnafrøðiliga	geochemically
jarðevnafrøðingur	(jarðfr.)geochemist
jarðfall	(the act of) felling someone to the ground,geva e-m jarðfallfell sby(t.d.a blow strong enough to fell an ox; he felled him with a single blow);fáa jarðfallfall
jarðfastur	fixed to the ground; earthfast,jarðfast fornminniin situ antiquities
Jarðfeingi	1(sern.) Faroese Geological Survey2geological and other exploitable terrestrial resources; sísjófeingi
jarðfesta	1make fast to the ground2inter,jarðfesta líkinter a body
jarðfiti	(jarðfr.)síjarðarfiti
jarðflati	surface of the earth(el.ground)
jarðfrost	hoar frost, white frost
jarðfrøði	geology
jarðfrøðiligur	geological,jarðfrøðiligt tíðarskeiðgeological epoch
jarðfrøðingur	geologist
jarðfunnin	(um fornlut) found in the earth
jarðfylgin	geostationary
jarðgass	(jarðfr.)natural gas
jarðgassløgur	natural gas liquid (NGL)
jarðgimbri	síjarðgimbur
jarðgimbur	í osb: ikki jarðgimburnot a single sheep
jarðgoymsla	reservoir
jarðgripur	treasure trove
jarðgrógvin	1rooted in the ground,nú liggur steinurin jarðgrógvinthe stone is rooted in the ground now2(um fólk) [fat in the lower part of the body]3(fl.m.)earthbound, stolid, materialistic, prosaic
jarðgrøni	(jarðfr.) celadonite; eis.grønjørð
jarðhitavøkstur	(jarðfr.) geothermal gradient
jarðhús	(sø.)underground dwelling, subterranean dwelling; dugout
jarðir	síjørð
jarðiskur	síjarðbundin
jarðkaðal	(ravm.)underground cable
jarðkava	(um kava) drift along the ground
jarðkavaguv	(sj.)síjarðkavi
jarðkavi	síjarðrok
jarðkendur	earthy
jarðklettur	the firm rock, rocky ground; large granite boulder
jarðknøttur	(sj.)síjarðarknøttur
jarðkrop	(jarðfr.) soil creep
jarðlag	(jarðfr.)stratum (of earth)(fltstrata);hart jarðlagpan
jarðleggja	1knock down;(eis. fl.m. tlm.)duff up; flatten, wipe the floor with2kill, put to death
jarðleggur	(plfr.)rhizome, rootstock; subterraneous shoot, sucker
jarðlendisfrøði	(jarðfr.) geomorphology
jarðlendisfrøðiligur	geomorphological
jarðlendisfrøðingur	geomorphologist
jarðleysur	landless
jarðligur	earthly, worldly, terrestrial; (átr.eis.)mortal;tað jarðligathe things of this world;jarðligir ágóðarthe good things of this world;jarðlig gleðiearthly joys;jarðligt hylkimortal frame;jarðligar leivdirmortal remains, dust;jarðligir lutirthe things of this world;eitt jarðligt paradísa paradise on earth; an earthly paradise
jarðlind	síflógv
jarðlittur	earth-coloured
jarðlurt	geophone
jarðmeting	valuation, appraisement
jarðnøt	(plfr.)groundnut, peanut(Arachis hypogaea)©Wikimedia Commons
jarðnøtuolja	(plfr.)groundnut oil
jarðnøtuplanta	(plfr.)groundnut(el.peanut) plant
jarðolja	crude petroleum, crude oil, oil, crude, mineral oil
jarðormur	(stb.)[man who is greedy for land]
jarðriv	soil erosion
jarðrok	snow drift, drifting snow
jarðroykur	ground mist
jarðruni	soil creep, solifluction
jarðrunnin	(jarðfr.) terrigenous;jarðrunnið legugrýtiterrigenous sediments
jarðsamband	1(ravm.)earth connection, earthing;(am.)ground connection, grounding2(fl.m.) hava jarðsambandbe down to earth;vanta jarðsambandwalk with one's head in the clouds;missa jarðsambandiðlose contact with reality
jarðsigulmagn	(jarðfr.) geomagnetism
jarðskjálvta-	(jarðfr.) seismic
jarðskjálvtafrøði	(jarðfr.)seismology
jarðskjálvtafrøðiligur	seismological
jarðskjálvtafrøðingur	(jarðfr.)seismologist
jarðskjálvtamátari	(jarðfr.)seismograph
jarðskjálvtamiðdepil	(jarðfr.)(omaná) epicentre; (undir jørð) focus
jarðskjálvtaraktur	earthquake-stricken
jarðskjálvtarit	seismogram
jarðskjálvtaritil	(jarðfr.) seismograph
jarðskjálvti	(jarðfr.)earthquake(t.d.he perished in an earthquake);(tlm.)quake;jarðskjálvtin í Lissabonthe earthquake of Lisbon
jarðskorpa	earth crust
jarðskorpurøringar	(jarðfr.) earth crust movements, tectonics
jarðskot	(um klæði) damp-stain
jarðskotin	(um klæði) damp-stained; (um lukt ogfl.m.)earthy, fusty; (um pappír) foxed, foxmarked
jarðsláa	strike to the ground,eg skuldi so jarðsligið tegI should have knocked you down
jarðslættur	leggja jarðslættanknock down, fell(t.d.a blow strong enough to fell an ox; he felled him with a single blow)
jarðtala	funeral oration
jarðtunga	(plfr.) geoglossum, earth tongue;norðurjarðtungastar earth tongue (Geoglossum starbaeckii)
jarðtøkni	geotechnics
jarðtøkniligur	geotechnical
jarðvaks	(jarðfr.) ozocerite; eis.jarðvoks
jarðvargur	(bíbl.)locust, caterpiller(t.d.caterpillarel.locusts new-sloughedel.fully grown)
jarðvarp	(gl.)(the act of) throwing a man to the ground
jarðvoks	(jarðfr.) ozocerite; eis.jarðvaks
jarðyrkismaður	agriculturist, farmer
jarkafinna	(stb.) í osb: ikki øðrvísi enn ein jarkafinnano more than a runt
jarki	1the outside of a hand (, foot)2(stb.)the inside edge of the foot
jarm	1(um seyð) bleat2(fl.m.)lamentation
jarma	1(um seyð) baa, bleat (t.d.the lamb was bleating weakly)2(fl.m.)bleat (t.d.it's no good just bleating on about the rising tide of crime);complain, grumble;(niðr.)whine
jarman	bleating (t.d.the plaintive bleating of sheep)
jarmari	(fugl., stb.) síhavskrápur
jarming	síjarman
jarn	1(evnafr.)iron;bleytt jarnsoft iron;gamalt jarnscrap iron;hart jarnhard iron;rátt jarnpig iron;taka jarn (lækn.)take iron;úr jarni(of) iron(t.d.an iron pole; I want some iron ones; the masts are (of) iron);jarn og metall(vinnan)(the) Iron and Metal Industriesflt2tool of iron3hook, fishhook;fiskur á hvørjum jarnithere was a fish on every hook4chains, fetters,í jarni(í leinkjum) in irons;leggja í jarnput in irons;vera í jarnibe in irons5(um fólk) hard worker,eitt jarn til arbeiðisa glutton for work, a hard worker,hon var eitt jarnshe was a glutton for work6í osb: (tilt.) hava jarnið á (e-m)reprimand sby,reprove sby,take (sby) to task;hava onnur jørn í eldinumhave other irons in the fire, have other fish to fry;hava (ov) nógv jørn í eldinumhave (too) many irons in the fire;salta jarnbe out of work, idle;smíða meðan jarnið er heittstrike while the iron is hot; make hay while the sun shines;(kortsp., stb.) nú hevur jarnið svikið meg el. nú er jarnið gingið frá mærDame Fortune has left me
jarnaldar-	iron-age(t.d.iron-age finds, tombs
jarnband	iron band, iron hoop, iron chain
jarnbera	(við strúkijarni) iron
jarnbetong	reinforced concrete, ferroconcrete
jarnbindi	(húsasm.)wall tie
jarnboltur	iron bolt
jarnbreyt	railway
jarnbreytarbummur	level-crossing gate
jarnbreytarfar	train
jarnbreytarfarmabræv	railway consignment note
jarnbreytarfarmur	carriage, freight, rail haulage charge(s)
jarnbreytarferðaseðil	railway ticket; (prísurin) railway fare(t.d.pay one's railway fare
jarnbreytarferja	(skip.)train ferry
jarnbreytarfloyal	corduroy
jarnbreytargarður	síjarnbreytarstøð
jarnbreytarhotell	railway hotel, station hotel
jarnbreytarkort	season ticket;(am.)commutation ticket
jarnbreytarskinnari	rail;(fltofta) metals
jarnbreytarstøð	railway station;(am. eis.)depot
jarnbreytartok	train
jarnbreytarvognur	railway carriage(el.coach);(am.)railroad car, railcar
jarnbrot	crowbar
jarnbrúdleyp	[70th wedding anniversary]
jarnburður	(sø.)ordeal by fire
jarngjørð	iron hoop
jarnharður	(eis. fl.m.)(as hard as) iron; rigid; (barafl.m.)steely(t.d.iron(el.steely) discipline; rigid discipline; the ground was as hard as iron)
jarnhavin	ferruginous,jarnhavið vatnferruginous water
jarnhælur	1(fl.m.)iron heel(t.d.crushed under the iron heel of tyranny)2iron wedge
jarnídnaður	iron industry
jarnkaldur	cold as ice, icy, ice-cold
jarnkendur	ferruginous,jarnkent vatnferruginous water
jarnketa	iron chain
jarnkongur	iron cramp, cramp iron
jarnkós	iron thimble
jarnlagdur	iron-mounted, iron-bound, iron-studded, iron-plated
jarnleistur	(hjá skósmiði) last
jarnmálmur	iron ore
jarnnagli	iron spike
jarnnám	iron mine
jarnnokki	(kvæð.)iron vessel
jarnpík	iron spike
jarnpíkur	iron spike; (á píkatráði) iron barb
jarnpláta	iron plate;jarnplátur (eis.)sheet iron
jarnsag	hack-saw
jarnseymur	iron nail
jarnskip	(skip.)iron vessel
jarnsmiðja	forge, smithy
jarnsmiður	smith; blacksmith
jarnsmíð	smith's work, forging
jarnspong	fastening, iron fitting, iron
jarnsteinur	ironstone
jarnstiði	anvil
jarnstong	iron bar
jarnstykki	(stb.)síjarnbrot
jarnstyrktur	reinforced with iron; iron-mounted, iron-bound, iron-studded, iron-plated
jarnsúrni	ferric oxide (F2O3)
jarnsørur	iron-free, free from iron; non-ferrous
jarntak	corrugated iron roof
jarnteinur	iron bar(t.d.iron-barred window)
jarntekja	síjarntak
jarntítlingur	(fugl.) dunnock(Prunella modularis)(Linnaeus, 1758)Prunella modularis ©iStock
jarntjald	1(í leikhúsi) safety curtain(t.d.the safety curtain came down)2(sø.)Iron Curtain
jarntráður	(iron) wire
jarntunna	drum(t.d.of oil)
jarnvegur	(sj.)railway;(am.)railroad
jarnverk	iron railings
jarnvirki	ironworks;eitt jarnvirkian ironworks
jarnvøra	hardware, ironmongery;(am.)hardware;(fl.m.)hardware(t.d.military hardware)
jarnøld	(fornfr.) jarnøldinthe Iron Age (uml.1200 til 600f.t.o.; í Norðurevropa 800 f.t.o til 46e.t.r)
jarpstólpa	black-eared wheatear
jarpur	brown, pale brown, fawn
jartekin	1(átr.)omen, portent, sign(umof)2miracle
jarvur	(dýr.)wolverine(Gulo gulo)Gulo gulo ©iStock
jasa	(sj.)say yes, give one's consent,hatta jasar til alt hegives his consent to everything;hatta skuldi ikki verið jasað tilyou shouldn't have said yes to that
jasagdur	síjaligur
jasmin	(plfr.)1(ektað:Jasminum)jasmine2(óektað:Philadelphus coronarius)mock orange, syringa, orange flower tree
jasminblóma	(plfr.)orange flower©iStock
jasminolja	jasmine
jaspis	(jarðfr.)jasper
jaspisspannari	(firv.)autumn green carpe(Chloroclysta miata)© Wikimedia Commons
jassa	jazz
jassballett	jazz ballet
jass-fjeppari	alligator
jasshús	jazz venue
jassi	(kortsp., Suð.) síjassur
jassljóðføri	jazz instrument
jassorkestur	jazz band; (stórt) big band
jasstíð	jasstíðinthe jazz age
jasstónleikari	jazz musician, jazzman
jasstónleikur	jazz (music)
jassur1	(tónl.)jazz
jassur2	1(um drong) lad, youngster;(niðr.)rascal, scgamal jassurold boy, old geezer2(kortsp.)knave, Jack
jasøgin	síjaligur
jatnir	síjøtun
javna	1(gera vatnrættan) level, (slætta) smooth out, smooth(t.d.a surface); flatten (out);javna við jørðinalevel with the ground; raze to the ground2distribute equally; equalize(t.d.wages, dividends); harmonize(t.d.the wage levels of two countries); adjust; cushion(t.d.price movements); reduce(t.d.the impact of a fall in prices); (neutralisera) neutralize(t.d.the effects of a crisis); counterbalance; level(t.d.level class distinctions)3(fáa í rættlag, laga, sætta, semja) smooth away(t.d.difficulties); straighten out, iron out(t.d.a difference, a disagreement;(eis.)pour oil on troubled waters); adjust, set right; settle(t.d.a dispute);tað man fara at javna segit will be(el.work out) all right; things will work themselves out4(gera eins, gera lík) make (, become) like, assimilate5straighten; (yvirflata) true (up)6(ítr.)equalize(t.d.he equalized with a hard shot); square, draw level7(fyri timburmenn) have a hair of the dog (that bit one)8(um sóso.s.fr.)thicken9javna segbecome level; be equalized; be harmonized; be neutralized; be(el.get) settled, be ironed out
javnaðarfelag	Social Democratic political club
javnaðarflokkur	(stjm.) Javnaðarflokkurinthe Social Democratic Party
javnaðarmaður	(stjm.)Social Democrat
javnaðarmerki	(stfr.)equal-sign, sign of equation;seta javnaðarmerki millum A og B (fl.m.)equate A with B.
javnaðarstevna	Social Democratic programme
javnaðarstjórn	(stjm.)Social Democratic government
javnaður	equality,frælsi, javnaður og brøðralagliberty, equality, fraternity
javnaglíma	(gl.) standa javnaglímurbe equal, be equally matched
javnaldra	woman (, girl) of the same age;eg møtti eini javnaldruI met a woman of my age
javnaldraður	of the same age(t.d.he and I are just about the same age; he has no friends of his own age)
javnaldri	person of the same age; (skotskt) yealing
javnaldur	1síjavnaldri 22(sk.) javnaldurinprick, dick
javnan	1often, frequently2steadily, regularly,hann reyt tungan og javnanhe snored steadily and regularly
javnarar	(oljuv.)compensators
javnari	a hair of the dog (that bit one)
javnatekn	(stfr., teld)equal-sign, sign of equation
javnatræ	(jarðfr.) scale tree, lepidondentron
javnbakaður	evenly baked
javnbeintur	(stfr.)isosceles;javnbeintur tríhyrningurisosceles triangle
javnbjóða	í osb: javnbjóða seg við compare with, compete with;ein skúli, sum kann javnbjóða seg við útlendskar skúlara school that compares with schools abroad
javnbjóðis	1on an equal footing; on a basis of equality with2fsbe on equal terms, be on a par (e-m with sby), be equal(s);eingin kann verða mettur javnbjóðis honumhe hasn't an equal
javnbrattur	slope gradually(el.gently)
javnbreidd	í javnbreidd við e-non equal terms with sby,on a par with sby
javnbreiður	evenly wide
javnbrótari	(ítr.)tie break, tie breaker
javnbýti	even(el.balanced) distribution
javnbýttur	evenly distributed, equally divided, in equal shares
javndimmur	(t.d.um fugl) evenly dark
javndjúpur	evenly deep
javndøgur	equinox
javndøgursstormur	equinoctial gale
javndømi	1analogy;sum javndømi viðby analogy with, on the analogy of;rangt javndømia false analogy2(málfr.) equivalence
javnfirringur	(stfr.)parallelogram(t.d.the parallelogram of forces)
javnfjarur	1equally far from2(umt.d.linjur) parallel;javnfjarar linjurparallel lines, parallels;gøta sum er javnfjar ánnistreet that runs parallel to(el.with) the river
javnflokkur	(skúlam.) javnflokkarparallel classes
javnflyta	(stfr.)displace parallel to sth
javnflyting	(stfr.)parallel displacement, parallel motion
javnføra	regulate; (stillaeis.)adjust(t.d.wages)
javngamal	of the same age,vit vóru javngomulwe were of the same age;hann er javngamal við meghe is my age, he is as old as I am
javngildi	equivalence, parity(viðwith)(t.d.the parity of the two currencies)
javngildur	equivalent
javngjald	annuity
javngjaldalán	annuity loan
javngjaldslán	annuity loan
javnglíma	match evenly
javngóður	1(just) as good, equally good, of the same quality; be equal to(t.d.he is equal to the best American boxers)2of uniform quality3(um lutireis.)equivalent;javngóður viðequal to, equivalent to
javnheitur	evenly warm
javnhvítur	evenly white
javnhyrntur	(stfr.)with equal angles
javnhøgur	of equal height; equally tall, just as tall as; level with, flush with; just as high as
javni	1sí(javn)líki 22equality(t.d.women are on a legal equality with men)3(bú.)balance(t.d.balance of trade, trade balance)4(plfr.)club moss (nýttar til at gula við)(Lycopodium, Huperzia, Diphasiastrum)
javnindi	(teld.)parity
javningi	síjavnlíki
javningur	1síjavnlíki 22(í matgerð) thickening
javnkornutur	(jarðfr.) evenly-grained
javnlangur	equally long;javnlangur og(just) as long as
javnleikur	(ítr.)draw, a drawn game, tie;javnleikur á heimavøllihome drawel.home draw
javnliga	1evenly2skrána (, hella) javnligaslope gradually(el.gently);minka javnligadecrease gradually(el.steadily)3often, frequently,hann vitjaði javnliga higarhe was frequently here on a visit
javnligur	fairly even, fairly regular
javnlíka	(kvæð.)in the same way, alike
javnlíkameting	peer review
