L1	rómv. taltekn fyri 50
lag	1layer,(t.d.a layer of stones); (sum fjalir flata) coat(t.d.a coat of paint); coating;(jarðfr. o.s.fr.)stratum(flt -a)2order;munkalagmonastic order, religous order;riddaralagorder of chivalry3order;av lagi:out of order;í lag:bera í lagbe arranged; succeed, prosper;tað vil ikki bera honum í lagnothing works for him; he never succeeds;fáa (e-t) í lagget brought into effect, bring about, effect, start,fáa innsavnan í lagstart a subscription, set a subscription on foot, set up a fund;tað er hann, ið hevur fingið hetta í laghe has arranged this;ganga í lagrealize, carry into effect, carry out, implement(t.d.a plan); bring into being;ganga, falla væl í laggo well, turn out well;koma í lagbe arranged(t.d.a compromise was finally arranged); be settled(t.d.when the matter is settled); come off(t.d.the agreement never came off); go through(t.d.when the new scheme goes through);(tlm.)be fixed up;í lagiin order, as it should be;(tlm.)OK;alt er í lagieverything is all right(el.OK);er alt í lagi?is everything in order?,(tlm. eis.)is everything under control?;tað er í lagi!that's alright!; right, suitable; suitable conditions (, way, manner),alt í lagiall right;tað er í lagi, at tú fert núit is all right that you go now;í besta, fagrasta, fínasta lagiin applepie order; all shipshape;ikki ordiliga í lagidodgy(t.d.the brake on my bike is a bit dodgy; my knee is still a bit dodgy after my fall last week);fáa eitt í lagiorder, put in order, get(el.put) right(t.d.we'll soon put that right); set(el.put) to rights; get straight(t.d.let's get this straight first);(tlm.)fix up;(am. eis.)fix(t.d.let me fix the furniture for you); ready(t.d.the skis had been readied the day before);fáa fíggjarviðurskiftini í lagiorganize the finances; get the finances into order; get the finances into shape;síggja til at fáa maskinuna í lagi aftursee that the machine is in order;fínt, so er tað í lagi núwell, that ties everything up now;í løgumin layers;í fleiri løgum (eis.)multi-level;til lagseingin kann gera øllum til lagsyou can't please everyone;um tað lagið1just about,tað er um tað lagið, at vit klára taðwe will just about make it2about the time when;upp í lag:fáa (upp) í lagget brought into effect, bring about, effect, start (something);eg fái ikki upp í lag at faraI can't pull myselft together to go;(tlm.)get around to doing sth,eg fekk ongantíð upp í lag at lesa hasa bókinaI never got around to reading that book;tosa e-n upp í lagel.tosa upp í lag við e-nwheedle (, cajole) somebody;úr lagiout of order;út av lagi1out of joint (, order)2unusually, exeptionally, frightfully, dreadfully, excessively,út av lagi ringurfrightfully bad;út av lagi illafrightfully badly;(út) av øllum lagiwithout head or tail, completely confused;hann er nú heilt út av øllum lagi óðurhe is stark staring mad;við hetta lagat this rate(t.d.at this rate we shall never get the work finished; at this rate we shall end by making an enemy of him);við sama lagin the same way (, manner); as usual(t.d.everything is going on as usual); still(t.d.I am still waiting for an explanation)4way, grasp, proficiency, skill,leggja e-m lag áteach someone a skill;hann hevur gott lag á tíhe has a good grasp of it;koma á lagiðget into one's stride, pick up the thread;tá ið tær vóru komnar á lagið, gekk alt sum spælas soon as they had picked up the thread it all went smoothly5system, method;arbeiðslagworking method; way, manner,tað er lagiðso it goes;eg skilji á lagnum, atI understand that;hvør í sínum lag(i)separately, each;tey sita og arbeiða hvørt í sínum lageach in their separate ways6importance, consequence, moment, urgency;í osb: tað liggur einki lag áthat is not important;tað liggur mær einki lag áit is none of my business, it is no business(el.concern) of mine;(ikki) leggja lag í(not) attach importance to, (not) pay attention to,hann legði ikki lag í taðhe did not care;eg leggi ikki lag íI couldn't care less;tú leggur ikki lag í hvussu mær gongst! (eis.)much(el.a fat lot) you care what happens to me!;eg leggi ikki lag í hanaI don't care about her(el.what happens to her);nú leggi eg ikki lag í hvat ið hendirI don't care what happens now;eg leggi ikki lag í um hon kemur ella eiI don't care(el.it is all the same to meel.it makes no difference to me) whether she comes or not;eg leggi ikki lag í nakaðI don't care a hang(el.a damnel.a hootel.two hootsel.a brass farthing)7condition, state, mood, temper, humour,í góðum/ringum lagin a good /bad mood (, temper, humour);tað er einki lag á honumhe is in a bad mood;tá ið tað treiska lagið kemur upp í hannwhen he gets really stubborn;tá ið tað lagið var á honumwhen the mood was (up)on him;tað býtta lagið kom á hannthe mood was (up)on him; he freaked out;tá ið tað góða lagið er á honumwhen he is in a cheerful mood8shape, form, design, look, appearance9(tónl.)tune, air; melody10(kirkj.)communicants11guild, company, circle; society, association; group of communications;bygdarlagvillage,í bygdarlagnumin the village;grannalagneighbourhood, vicinity;í grannalagnumneighbouring(t.d.a neighbouring farmer);alt grannalagið prátar um taðthe whole neighbourhood is talking about it;búgva í grannalagnumlive in the neighbourhood;vinalagcircle of friends;drykkjulagdrinking bout, bacchanal,(tlm.)binge12(stb.) í einum lagnumto take an example13(um lýsingarorð í mið- og hástigi í smb. við at lýsa tíð, nøgd, rað, vekto.tíl.),í fyrsta lagi1(um tíð) at the earliest, until, not till(t.d.he will not arrive until seven o'clock; not until after the war);í fyrra lagitoo early, premature(t.d.the premature disclosure of the secret);tað er í fyrra lagi atit is too early yet to(GG:it is still too soon to judge it);heldur sær í minsta lagi tilbest before;í seinna lagirather late;í seinasta lagiat the latest(t.d.we must be home by ten at the latest); not later than, on or before(t.d.the goods must be delivered on or before May 1st); by(t.d.I must have your reply by 1st May)2(um rað)í fyrsta lagiin the first place,í meira lagirather much, a bit too much;í meira, størra, styttra, dýrara lagirather much,í minsta lagiat least(t.d.it costs at least £100; you might at least be polite); at any rate, at all events(t.d.at any rate(el.at all events) he is politer than his father);í øðrum lagiin the second place14flt: løgstepping stones15tier(t.d. bjálkalagtier of beams)
laga1	(Suð.)síløga
laga2	1make, arrange, adjust, put in order hátt), skipa, bera so í bandi(ð), fáa at legnast,helst lagaði hann tað so, at hannhe preferred to arrange it so that he.2(stb.)(um vind) drop,hann lagaði vindinthe wind dropped3(um lagnuna) decide, determine; grant (oftast í tolsøgn),lívið var teimum lagaðthey were granted life; deree, will(t.d.fate had decreed that he should fail; fate willed it so);tað var teimum øðrvísi lagaðit was fated that, fate willed it that; fate had decreed (it) otherwise;tað var honum lagaðhe was fated(el.destinedel.doomed) to(t.d.he was doomed to cause mischief everywhere; he was destined to conquer half Europe)4laga segadjust itself(t.d.all this will adjust itself in (the course of) time); settle down(t.d.the financial situation is sure to settle down); turn out all right, come right, be all right, work out (right);tað lagaði seg av sær sjálvumit adjusted itself, it worked itself out;tað man fara at laga seg!that will be all right!, don't you worry!, it'll all work out!;laga seg eftir (e-m)adapt(eftirto)(t.d.adapt oneself to one's environment)(tilfor)(t.d.adapt a novel for the stage); adjust(t.d.adjust oneself to new conditions; adjust the parts of the machine); condition(t.d.conditioned to this mode of life); conform(t.d.one must conform to the customs of the country); fit in(t.d.she would fit in anywhere);tað lagar seg so væl fyri hennishe has the knack of it5(teld.) laga tilcustomize
laga3	1(um salt, sukur) become damp2(um kjarna í korni) vanish, crumble, disintegrate,maturin lagaði burtur úr aksinumthe grain vanished from the ear of corn
lagaboð	í osb: har el. tað var ikki lagaboð (it happened) without reflection
lagað	sílaga 2
lagaklókur	(gl.)(um fólk) wise, intelligent, sensible, practical
lagaligheit	complaisance, compliance, pliability, docility, tractability
lagaligur	1suitable, convenient(t.d.time, place); (um tíðeis.)opportune(t.d.at an opportune moment), seasonable, well-timed2((við)eiriligur) manageable(t.d.a meek and manageable child), tractable; compliant, accommodating; (um fólk) easy to get on with, amenable; easy-going; companionable3good,lagaligar gjaldstreytirgood terms (of payment); (høgligur,t.d.hagi) near at hand, in close proximity; comfortable, convenient; easy,seinni gjørdist alt hetta lagaligarilater on all this became easier4polite; (sterkari) courteous5lagaligur í hondunumgentle6(stb.)sensible;hj­liga
lagamaður	sensible (, intelligent, shrewed) man
lagamanna	(stb.)sílagamanni
lagamanni	excellent, really suitable, in perfect order;(tlm.)in applepie order, easy enough, all right;tað er lagamanni atit is in applepie order; it is easy (enough) to;tað er lagamanni hjá tær at siga at eg skal skunda mærit is easy enough(el.it is all right) for you to tell me to hurry up;tað er lagamanni at keypa, tá ið onnur gjaldait is easy enough to buy as long as other people pay
lagamannin	(sj.)sílagamanni
lagbundin	(um yrking) metrical;sílagfastur
lagdámur	1(í listarverkio.s.fr.)feeling(t.d.the general feeling of Grieg's music); tone(t.d.the tone of his pictures is morbid); mood; atmosphere(t.d.the gloomy atmosphere of the play)2(á einum stað, í eini støðuo.s.fr.)atmosphere(t.d.the uncanny atmosphere that broods over the place; there is sth exhilarating about the atmosphere of New York; the atmosphere of their home is depressing); spirit(t.d.the spirit of the place); feel(t.d.it takes some time to get used to the feel of the place); ambience(t.d.with an ambience of intimacy
lagdi	síleggja
lagdraga	(um snøriel.línu) [stretch in order to remove superfluous coils]
lagdur1	tuft, wad, wisp;ullin lá í lagdithe wool was in an unprocessed state;(fl.m.: um royk o.tíl. sum líkist ullarlagdi)lagdur av roykia wisp of smoke
lagdur2	síleggja
lagfastur	rhythmical, measured, regular
lagga1	1(um vætu) drip, drop, flow slowly, ooze, filter, seep;tað er ikki meira enn, tað laggar úr tunnuniit is not doing more than dripping from the barrel2lag behind,koma laggandi aftanálag behind, straggle behind
lagga2	chime
laggardropi	a small drop, the last drop,ein laggardropi av whiskyone last drop of whisky
laggardryppur	(sj.)sílaggardropi
laggarkerald	(sj.)vessel made from wooden staves
laggarsíður	with droopy drawersflt
laggartár	(sj.)sílaggardropi
laggdropi	(stb.)sílaggardropi
lagghallur	1(um fólk) leaning to one side, lopsided2(um tunnuo.tíl.)tilted
laggir	síløgg
laggongdur	pleasant to walk (along), easy to walk,tað er laggongt tá ið turrligt erit is pleasant to walk when it is fairly dry
lagin	1destined,henni var lítil eydna laginshe was destined for little success;tað var ikki honum lagið at verða gamalhe was not destined to become old2suitable for, fit for; andi, skikkaður,hetta hevði verið lagið til sornhellu
lagkaka	sílagkøka
lagkakubotnur	sílagkøkubotnur
lagkleyv	(á jóturdýrumo.ø.)cloven hoof
lagkøka	layer cake(GG:í farsum verður brúkt custard pie); (grafiskt) pie chart;ikki tann bera lagkakanot all jam; not a bed of roses, not just all fun and games, not all cakes and ale, not all a bowl of cherries;lívið er ikki bara lagkakalife is not all beer and skittles
lagligur1	suitable, convenient;hj-liga
lagligur2	(um veður) calm
laglíma	síflálíma
lagna	1(hægri makt) fate(t.d.fate had decreed that he should fail; fate willed it so); destiny(t.d.no one can fight against destiny); fortune(t.d.those favoured by fortune); (við denti á tilvild) chance(t.d.chance brought them together)2(lutur, lívslagna) lot(t.d.his lot has been a hard one; it is not the lot of everyone to do that); fate(t.d.his fate was already decided); fortune(t.d.it has been my fortune to visit many countries); fortunesflt (t.d.his life and fortunes);(serl.um stórar persónsmenskur) destiny(t.d.it was his destiny to conquer half the world; Napoleon believed in his destiny)3(ólukkuligur lutur) doom, (evil) fate4[ísamb. viðnogl]eydnusom lagnaa happy fate;hann hevur havt eydnusama lagnu (eis.)he was born under a lucky star;góð lagnaa kindly fate;miskunnsom lagnaa merciful fate;miskunnarleys lagnaan inexorable fate;ein óviss lagnaan uncertain future(el.fate);ring lagna(1) a hard(el.unkind) fate; (2) a hard(el.severe) fate, a hard lot;(tlm.)hard linesflt (t.d.hard lines on poor John!);lagnunar speisemithe irony of fate;lagnunnar ríggjurthe caprices(el.whims) of fortune;lagnunnar spælthe vicissitudes(el.whims) of fortune; the whims(el.freaks) of chance;eftir lagnunnar spælithrough a freak of chance(GG:as chance would have it, they met again under entirely different circumstances; fate threw them together again);tí lagnan var okkum til vildar eydnaðist okkum ata lucky fate permitted us to;lagnunnar tráðurthe thread of life;tung lagnaa hard(el.cruel) fate;lagnunar veldi(the force of) destiny;vilji lagnunnara dispensation of fate; (ólukka) an Act of God;vond lagnaa hard(el.cruelel.unkind) fate;lagnan var honum vondfate was against5[ísamb. viðs]avgeraavgera eins lagnudecide sby's fate;avgera lagnu hansaradecide (, fix, seal) his fate;bjóðabjóða lagnuni avcourt disaster; tempt fate;(uml. =)press one's luck;tað er at bjóða lagnuni av (eis.)that is asking for trouble; it is flying in the face of Providence;boyggja seg fyri lagnuniresign oneself to one's fate;fáafáa somu lagnu (sum)suffer the same fate (as); share the fate of;freista lagnunatempt Providence(el.fate);fara lagnu síni á møtigo to (meet) one's fate(t.d.he went to his fate with undaunted courage);gerastgerast hansara lagnadecide his future career(el.his fateel.the future course of his life); (oyðileggja hann) seal his fate; be his undoing(t.d.an action which was to prove his undoing);(tlm.)do for him;kvinnan ið gjørdist hansara lagnathe woman who was to determine the future course of his life(el.to be his fate);tað gjørdist mín lagnait was my fate;havahava lagnuna hjá e-m í síni hondbe arbiter of sby's fate(GG:my fate is in your hands);hava lagnu til felags viðshare sby's lot(el.fate);hava uppiborið betri lagnudeserve a better fate;lagasum lagnan lagar taðthe dispensations of fate; the vicissitudes of fortune; (ólukkur) the buffets of fortune;lagnan lagaði tað øðrvísifate had decided otherwise;lata lagnuna ráðaleave everything to chance; let things drift(el.take their own course);leggja lagnuna upp í hendurnar á e-mplace one's life(el.fate) in sby's hands;møtamøta lagnuni (eis.um e-n ein verður skotin í) meet one's fate;sleppaeingin sleppur undan lagnunione cannot run away from one's fate; there is no striving against fate;hann sleppur ikki undan lagnunihis fate is sealed; he is doomed;takataka lagnuna í egnar hendurtake charge of sby;viljalagnan vildi tað soleiðisfate willed it; it was written in the book of Fate; it was to be;lagnan er blindfortune is blind;lagnan vildi atit was fated that, fate willed it that;lagnan vildi tað øðrvísiit was not to be; fate had decreed (it) otherwise;verahatta er okkara alra lagnathat is the common lot; (um deyðan) we all have to go that way some day;lagna hansara er innsiglaðhis fate(el.his doom) is sealed;lagnan var honum góð (lagalig, til vildar)fortune favoured him; fate was kind to him;lagnan var honum ikki góð (til vildar)he was pursued by ill-luck(el.by fateel.by a cruel fate);tað var hansara lagna athe was fated(el.destinedel.doomed) to(t.d.he was doomed to cause mischief everywhere; he was destined to conquer half Europe)6[ísamb. viðfs]lagað av lagnuni at miseydnastdoomed to failure;eltur av lagnunipursued by fate; dogged by misfortune;verða innheintaður av lagnunibe overtaken by one's fate;finna seg í lagnuniresign oneself to the inevitable(el.to one's fate); submit to one's lot;(tlm.)take things as they come; make the best of a bad job;lata e-n upp í hendurnar á lagnunileave(el.abandon) sby to his fateat berjast móti lagnuni er til fánýtisthere is no striving against fate
lagnadur	(sj.)sílagnaður
lagnaður	sílagna
lagni	(sj.)sílagna
lagnuár	fateful year
lagnudagur	sílagnutungur
lagnugudinnur	the Fates, the Fatal Sisters, the Destinies
lagnukviðin	sílagnutungur
lagnulagaður	fated, decreed by fate, destined(t.d.destined to succeed (, fail)); doomed(t.d.to disappointment)
lagnulæra	fatalism
lagnuløddur	sílagnutungur
lagnuløta	hour of destiny, fateful hour
lagnumikil	sílagnutungur
lagnustund	sílagnutungur
lagnutrúgv	fatalism; belief in predestination
lagnutungur	1(oyðileggjandi, syndrandi) fatal(t.d.it was a fatal blow to him)2(avgerandi) fateful(t.d.word, moment); momentous(t.d.decision)3(vanlukkuligur) disastrous, ill-starred, ill-fated(t.d.offensive, scheme)
lagorðaður	síorðkringur
lagra	1(um vatn) trickle,tað er ikki meir enn, tað lagrar úr krananumthere was just a trickle from the tap2incontinent of urine
lagsbróðir	1fellow, companion, associate, friend, colleague2brother of an order
lagsbrøðraandi	collegiate spirit; (professional) loyalty, loyalty to one's colleagues
lagsbrøðrafyrilit	consideration for(el.loyalty to) one's colleague(s)
lagskipaður	(jarðfr.)stratified, striated
lagskipan	(jarðfr.)stratification; striation; (um tynnri flakar) lamination
lagskipanarfrøði	(jarðfr.) stratigraphy
lagsmaður	1friend, companion2(gl.)lover, paramour
lagsmansbyrði	sílegsmansbyrði
lagstur	síleggja
lagvakur	(um song) melodious, tuneful
lak1	sheet(t.d.white as a sheet(el.a ghost)
lak2	síleka
laka	put more brine (, pickle) into
lakaankar	sílakaílat
lakaílat	[container for storing food in brine]
lakasalta	preserve in brine
lakasild	pickled herring(s)
lakaspik	pickled blubber
lakatunna	kench; barrel for pickled food
lakbleikur	(sj.)white as a sheet(el.a ghost), deathly pale
laki	(kryddað) brine, pickle;liggja í lakabe in pickle;leggja í lakapickle, cure
lakk1	1(t.d.til bakkar, jarnvøru) lacquer, japan2(serl.til listgripir) lacquer;(t.d.til strúkiljóðføri) varnish; (litur) enamel) sealing wax3(máling,t.d.til bil) (cellulose) paint4(til súkkluro.s.fr.)enamel; enamel paint5(neglalakk) nail lacquer(el.varnishel.polishel.enamel)6(prent.)lac, varnish
lakk2	(ítr.)sílakka(2)
lakka1	1lacquer, japan(t.d.a tea tray); finish(t.d.finish the box in bright red)2(við fernis,t.d.strúkiljóføri) varnish3(við súkklulakkio.s.fr.)enamel4(við máling) enamel, paint(t.d.a window sill);lakka bilin umafturhave one's car repainted5(negl) varnish
lakka2	1hop on one leg (, foot)2(barnaspæl)lakka paradísplay hopscotch3(stb.) lakka steinar eftir sjónumplay ducks and drakes
lakking	1hopping on one leg (, foot)2(1) lacquering, japanning, finishing; (2) varnishing; (3) enamelling; (4) enamelling, painting; (fernis) lacquer;riva í lakkinginicrackle
lakkisteinur	sílakkusteinur
lakkskinn	patent leather
lakkskógvur	patent leather shoe;útringaður lakkskógvurpump
lakksoppur	(plfr.) laccaria;reyður lakksoppurwaxy laccaria (Laccaria laccata)slag: Laccaria laccata © Wikimedia Commons
lakktaska	patent leather bag
lakktøkuevni	lacquer remover, (cellulose) paint remover; nail varnish remover; stripper
lakkuleika	pebble
lakkusteinur	pebble
lakmál	(sj.)short measure
lakmus	(evnafr.)litmus
lakmuslitur	(evnafr.)litmus solution
lakmuspappír	(evnafr.)litmus paper
lakmusroynd	(evnafr.)litmus test
lakress	liquorice;(am.)licorice;eingilskt lakress (svarar til)stick liquorice
lakressbomm	liquorice lozenge
lakresskonfekt	liquorice allsortsflt
lakresslissur	liquorice lace
lakressplanta	(plfr.)liquorice (plant)(Glycyrrhiza glabra)
lakressstong	liquorice stick
laks	(kvæð.)sílaksur
laksaalari	salmon breeder
laksaaling	salmon breeding
laksafella	salmon trap; salmon weir
laksafiskari	salmon fisherman
laksafiskiskapur	salmon fishing; salmon fisheries
laksafiskur	salmonoid
laksafluga	salmon fly
laksagarn	salmon net
laksalína	salmon long-line
laksalús	sea louse,(flt.)sea lice
laksastíggjur	salmon ladder, salmon leap
laksastyrja	(fisk.)opak(Lampris guttatus)© Wikimedia Commons
laksaveiða	samon fishing
laksayngul	(ógvuliga lítið) alevin; (eitt sindur størri) salmon fry
laksaættin	the salmonids
lakslittur	salmon(-coloured), salmon-pink
lakssíl	(fisk.)salmon trout(Salmo trutta)
laksur	(fisk.)salmon;royktur laksursmoked salmon;laksur í majonesusalmon mayonnaise(Salmo salar)©Bakkafrost
lakur	1(um vekt, máto.s.fr.)scanty(t.d.rations, portions); scant(t.d.supplies); scarce(t.d.tobacco is getting scarce); short; meagre(t.d.ration)2bad, poor, wretched, miserable
lall	1child's thigh2(óvand.)cunt; box crack; fanny; (minni grovt) pussy, coney
lallasligur	(stb.)slow, tardy, dilatory;(tlm.)heel-dragging, foot-dragging
lama	(dýr.)llama(Lama glama); (eis.um klæði)©iStock
lamb	lamb,sum lambiðmeek, mild, gentle (as a lamb); compliant, accommodating;lamb Gudsthe Lamb of God;lamb fátækramansinsthe poor man's lamb;Shon lovar sum lambiðshe is an easy lay
lambaár	gott/ringt lambaár good / bad year for lambing
lambadeyði	death rate among lambs
lambadrongur	1shepherd boy2boy from the village of Lamba
lambaður	lambed;hvussu er lambað hjá tær?how has the lambing worked out for you?;væl/illa er lambaðthe lambing has been good/ bad
lambafelli	sílambadeyði
lambagoymsla	(kvæð.)the tending of lambs
lambakjøt	sílambskjøt
lambakrubba	lamb pen
lambamaður	person from the village í Lamba
lambamarking	(sj.)marking of a lamb's ear,fara í lambamarkingmark the lamb's ears
lambamæ	(barn.)lamb
lambaragout	lamb stew
lambarær	(stb.)ewe with lamb
lambaskinn	sílambsskinn
lambasparl	lamb droppings
lambaspræna	sílambaspræni
lambaspræni	1[bad weather with storm and rain in the lambing season]2[the time when the late spring snow falls and the lambing takes place]
lambasprænur	sílambaspræni
lambasteik	sílambssteik
lambatal	rate of lambs
lambatøð	lamb dung
lambgeld	lambgeld ærewe whose lamb has died
lambgelding	(óregl.)->lamgelding
lambing	lambing
lambsbløðra	lamb's bladder
lambsbógvur	shoulder of lamb
lambsbringa	breast of lamb
lambsdrunnur	lamb's rump
lambseyður	lamb(s) in the autumn
lambsfjórðingur	quarter of lamb
lambsførur	(um ær) which can be fecundated
lambsgeld	(sj.)sílambgeld
lambsgelding	(sj.)sílambgelding
lambsgjólingur	[ewe that lamb the first year]
lambshálsur	neck of lamb
lambshorn	horn of a male lamb
lambshøvd	lamb's head
lambsjúkur	(um ær)lambsjúkwhich is going to lamb
lambskjøt	lamb;malið lambskjøtlamb mince; minced lamb
lambskotelett	lamb chop
lambskotin	ewe which has lambed prematurely
lambskrov	carcass of lamb
lambskurður	(total number of) slaughtered lambs
lambslivur	lamb's liver
lambsmóðir	sheep's uterus
lambsnýra	lamb's kidney
lambsótt	sheep's labour pains
lambsprongd	(sj.)(um ær) just about to lamb
lambsryggur	saddle of lamb
lambsskinn	lambskin,(ofta =)sheepskin
lambsskins-	lambskin, sheepskin(t.d.coat)
lambsspað	lamb stew
lambssteik	roast lamb
lambstálg	tallow from a lamb
lambstjógv	leg of lamb
lambstonn	(fyrru tenninar á seyði) lamb's tooth
lambsull	lamb's wool
lambsverkur	sílambsótt
lambtung	(um ær) just about to lamb
lambær	ewe with lamb
lamdi	sílemja
lamdoyva	languish; stun,undir lamdoyvandi sólunder a stunning sun; overcome, overpower,hitin lamdoyvdi megthe heat overpowered me
lamin	1paralysed(t.d.his left arm is paralysed), lame, crippled2(um mekanismu) out of order, unfit for service;(fl.m.um fólk) helpless3(lamsligin)lamin av ræðsluparalysed with terror(, fear)
laminat	sílaglímað tilfar
laminera	sílaglíma,flálíma
laminering	síflálíming
lamisligur	(stb.)a little lame; somewhat crippled
lamleggja	paralyse,hitin er lamleggjandithe heat is paralysing
lamløsta	mutilate, maim;(fl.m.)dismember, mutilate(t.d.a state);(lækn.)mangle
lamma1	beat, strike, hit,lamma til av allari maktstrike with all one's might, for all one is worth
lamma2	í osb: lamma seg1(um fuglar)sílemja seg2(sj.)(um fólk) whine(t.d.he is always whining about (, over) something or other)
lammast	(tlm.)(um kropslim) become paralysed
lammilsi	(tlm.)sílamningur
lammitera	(tlm.)make a noise (, dino.tíl.);make a racket, kick up a racket
lammiterilsi	(tlm.)din(t.d.an infernal [infernalsk] din; noise(t.d.we were wakened by a terrible noise)
lamningur	(lækn. eis. fl.m.)paralysis;(lækn.)palsy, (ikki so ógvisligt) paresis;lamningur fyri ein partparesis;lamningur báðumeginparaplegia;fullkomin lamningurcomplete paralysis;(fl.m.) the strike caused a complete paralysis of economic life,lamningur øðrumeginhemiplegia
lampa	1lamp,gera lampurnar klárardo(el.trim) the lamps;skrúva lampuna niðurturn down the ltendra eina lampulight a landin í lampunithe genie of the l the slave of the lamp2(í útvarpslurti) valve(t.d.five-valve set);(am.)tube
lampett(a)	bracket lamp
lampuborð	lamp table
lampufótur	base(el.foot) of a lgera vasan um til lampufótfit the vase as a lamp
lampuglas	lamp chimney
lampukupul	globe
lampuljós	lamplight
lampuosi	lamp smoke
lampuskermur	lamp shade
lampuskíggi	(stb.)lamp shade
lampuskrúva	adjuster
lampuslím	lamp smoke, lamp black
lampustað	(ravm.)(lighting) point
lamsa	bang, slam,hann lamsaði hurðina afturhe slammed the door, he banged the door shut;fuglurin fór lamsandi fram eftir vatninumthe bird went flapping along the lake
lamskerja	paralyse(t.d.all economic activities were paralysed by the war); cripple(t.d.the army was crippled from lack of munitions); hamstring(t.d.the economy)
lamskjóta	wound, maim,lamskotin lamskjóta fuglurmaimed bird
lamsláa	strike (someone) paralysed, maim by a blow,hann hevði lamsligið lomviganhe had maimed the guillemot by a blow
lamsligin	thunderstruck; flabbergasted;lamsligin av undranstupefied, dumbfounded;lamsligin av óttastupefied; paralysed with fear;eg var fullkomiliga lamsligin (eis.)you could have knocked me down with a feather
