n	(málfr.)consonant
naglreka	(gl)um skotvápn) spike;kanónirnar vóru naglriknarthe guns were spiked
naglsband	(likam.)nail fold, cuticle;(lækn.)eponychium(sinus unguis)
naglskongur	the uttermost phalanx (of a finger);kongarnir á fingri eru naglskongur, knúskongur og handkongurthe phalanxes are callednaglskongur,knúskongurandhandkongur
naglsrót	sínaglarót
naglur	1nail;hann gevur ikki tað svarta undan naglinumhe is extremely stingy;eta seg undan nagliconsume one's provision too quickly;hann etur seg ikki undan naglihe is rather tight-fisted2(plfr.)claw, unguis
naiada	(gr. gudal.)naiad
nailon	nylon
nailonsokkur	nylon stocking
nailonstyrktur	nylon reinforced
nakar	t nakrir nakrar nøkur fn1anyone, someone, anbybody, somebody;er nakar inni?is anyone in?;kann nakar siga mær, hvat klokkan er?could anyone tell me what time it is;er nøkur mjólk//nakað breyð?is there any bread//milk?;nakrir mennsome men;nakrar konursome women;tey sóu nakað, sum tey seint fóru at gloymathey saw something which they would never forget;nakrir og tjúgu manssome twenty men2[l] nakaðacceptable sizeornumber;nakað av fiski var at síggjasome fish could be seen;vit fingu nakað av fiskiwe caught some fish;breyð við nakað av smøri uppiáa slice of bread with some butter;millum nakað og einkihardly anything, almost nothing, very little;tað kostar millum nakað og einkiit is very cheap3[sumhj]nakaðsomewhat, to some extent, rather, fairly;nakað nær landifairly close to the shore;nakað leingia fairly long time;eg gekk nakað undan honumI was some distance ahead of him;teir eru nakað javnirthey are fairly equal;komnir nakað úthaving come a certain distance from land;tá ið líður nakað út á daginwhen it gets somewhat later in the afternoon;hon verður nakað glað, tá ið hon sær teg afturshe will be terribly glad to se you again;nakað leitaði eg eftir tí knappiI looked everywhere for that button;hann er nakað so fittur!he is a brilliant fellow;nakað situr hatta og gorrar og gorrarhe//she is talking incessantly, I can imagine4[í øðrum merkingum sumhj]nakaðmore or less; approximately, about;hann er nakað sum eg til støddarhe is about the same height as I am (as me); he is (about) my height;tað er nakað tað samait is the same thing more or less;nakað soapproximately
nakin	1naked(t.d.body//branch//person//truth); (berur) bare(t.d.arms//feet//room/-/shoulders//tree//walls//landscape);(serst.ísamb.við list) nude; (við ongum hári) naked, bald, smooth; (við ongum fjarðum) bald, featherless; (um fuglaunga) callow; (við ongum klæðum) naked, stripped;nakið barna naked child;eg dragi naknar húkarI pull up bare hooks(i.e.with no fish);tá ið onkur hevði lænt nál, skuldi hon ikki latast nakin aftur(tradition had it that) when sby borrowed a needle, it was not to be returned bare (without thread);nakin leirbakkibare clay cliff2(plfr.;um blómu, of flower) naked,
nakinleiki	nakedness, nudity
nakinskapur	nakedness, nudity
nakka	1raise (sth) by putting a point of supportorfulcrum under the lever2geva e-m nakkaslaggive sby a blow on the back of the head3íosb.sumærin fór spakuliga nakkandi niðan um rásinathe ewe went slowly up from the track nodding its head
nakkabein	(likam.)occipital bone(os occipitale)
nakkabrestur	hurt the back of one's head;sum óviti fekk eg ein sovorðnan nakkabrest, at eg fekk mein av tí fyri líviðwhen I was a boy, I fell and hurt the back of my head so severely that I never fully recovered
nakkafattur	1holding one's head high; defiant, strut, swagger;har stóð lógvin so nakkaføtt á eini túgvuthe golden plover stood on a tussock with its head in the air2headstrong, stubborn, unbending, rigid; pigheadedel.mulish
nakkafiskur	flesh on the back of a fish's head
nakkafjøður	1(dýr.)hackles(flt); nakkafjaðrar á vípua lapwing's hackles2nakkafjaðrarback hair (á hundieis.)hackles;lat meg fáa í nakkafjaðrarnar á tærlet me get at your back hairs!
nakkagráur	(seyðal.)[grey at the back of the head] (of sheep);ein nakkagrá gimbura year-old ewe with grey at the back of its head
nakkahár	(of people) back hair;nakkahárini eru farin at gránathe back hair have begun to turn grey
nakkahvít kolont	(fugl.)surf scoter(Melanitta perspicillata)(Linnaeus, 1758)Melanitta perspicillata ©iStock
nakkahvítur	1(seyðal.)[white at the back of the head]2(fugl.)surf scotersínakkahvít kolont
nakkakambur	back comb, high comb
nakkakast	toss of the head;eitt firtið nakkakastan angry toss of the head
nakkakoddi	cushion for the back of the head
nakkakrappur	sínakkafattur
nakkakulla	(likam.)napeel.hollow of the neck
nakkalangur	1embarrassed, ashamed, shamefaced, sheepish;hann bleiv so nakkalangur, tá ið hann skilti avleiðingarnarhis face fell/his jaw dropped/he pulled a long face when he understood the implications;hann fór heimaftur so nakkalangurhe returned empty-handed and crestfallen2nakkalanga (sj.)razorbill (álka)
nakkalegd	neck fold, nuchal fold
nakkalegdarskanning	(lækn.) nuchal fold screening
nakkaliður	(likam.)atlanto-occipital articulation
nakkalittur	(seyðal.)[with diverging colour on the back of the head] (of sheep)
nakkareikur	parting at the back of the head
nakkareyður	(seyðal.)[red at the back of the head] (of sheep)
nakkaskalli	sínakki1
nakkaskinn	(of people and animals) scruff (of the neck)
nakkaskot	shot through the back of the head
nakkaslag	clout on the head
nakkaspegil	hand mirror
nakkaspik	1fat from the back of the head(espof a ram)2(skemt.)fat neck
nakkastívleiki	(lækn.)stiffness of the neck, a stiff neck; (skeivur) wryneck
nakkastívur	(lækn.)stiff-necked
nakkastuðul	headrest, head restraint
nakkaull	wool from the back of the head (of a sheep)
nakkhyrntur	1(um seyð, of sheep) with horns growing close to the head, the points down towards the neck2proud, strutting, swaggering, haughty, arrogant, overbearing;hon gongur so nakkhyrntshe walks with a swagger
nakki	1back of the head, napeel.back of the neck;(lækn.)occiput;klóra sær í nakkanumscratch (the back of) one's head;hann datt, og nakkin tókhe fell and hurt the back of his head;detta aftur eftir nakkafall backwards;fara eftir nakkanumfall backwards;hann tók leypin á nakkanhe shouldered theleypur; kasta upp á nakkatoss one's head(el.bridle);tú hevur bara kastað upp á nakka, tá ið eg havi talað við tegwhenever I have spoken to you, you have laughed contemptuously/scornfully/derisively/tauntingly;(eis. t.d.)you have been very contemptuous/scornful of the idea;gera e-t upp á nakkan á e-mdo sth at sby's expense;traðka upp í nakkawear holes in sth, wear sth into holes, wear out completely;skógvarnir vóru traðkaðir upp í nakkathe shoes had been worn into holes;úr hæl í nakka,síhælur 2point of supportorfulcrum for a lever2face of a hammer3flat top surface of a rock drill4(bát.)top part of a (Faroese) tholepin5the rounding of akleppur6(skemt.) hava nakkabe slightly intoxicated
nakkleysur	(sj.)weak-willed, (tíðum) weak, unresisting, passive disheartened, despondent, fainthearted;hann var so nakkleysurhe was so weak
nakkur	(stn.)high and steep promontoryel.headland
nakni	nakedness, nudity
nakrantíð	ever(t.d.did you ever hear anything like it?; the biggest fool I ever saw; the worst case ever);hann hevði hvørki givið ella vildi nakrantíð geva olmussuhe had never given alms nor would he ever give it;hevur tú nakrantíð verið har?have you ever been there?; síeis.onkuntíð
nakrastaðni	anywhere (at all);(am. eis.)any place, anyplace;tað sæst har so væl sum nakrastaðniit can be seen/watched/observed there as well as anywhere;hevur tú verið nakrastaðni?have you been away on holiday?;fert tú nakrastaðni í summar?are you going anywhere this summer?;tað er ikki nakrastaðni at finnait was not to be had anywhere, it was nowhere to be had
nakrastaðnis	(tlm.)sínakrastaðni
naldra	(stb.)íosb.sumnaldra burtur av e-mnibble at sth
nalva-	umbilical, navel
nalvabind	umbilical bandage
nalvabruni	(lækn.)omphalitis;(dýralfr.:sjúka hjá fyli) foal paralysis
nalvagras	(plfr.) íslendskt nalvagrasIceland-purselane(Koenigia islandica)
nalvakulla	umbilical orifice
nalvaleið	(likam.)navel (the navel surroundings)
nalvalop	(lækn.)umbilical hernia; nalvalophjá pinkubørnumumbilical hernias of babies
nalvaskoðan	narcissism; navel contemplation; self-absorption, self-centredness
nalvaskoðandi	narcissistic; self-centred;(eis.)navel-gazing
nalvaskoðari	navel contemplator, narcissist; self-centred person
nalvasoppaættin	(plfr.)Omphalia;legghærdur nalvasoppurno common name(Omphalina velutipes); lyngnalvasoppurheath navel(Omphalina ericetorum)
nalvasoppur	(plfr.)sínalvasoppaættin
nalvastrongur	(likam.)umbilical cord, navel string
nalvasvín	(dýr.)peccary© Wikimedia Commons
nalvaæðr	(likam.)umbilical veinel.artery
nalvi	1(likam.)navel, umbilicus;(tlm., óvand.)belly-button;heimsins nalvi (fl.m.)the hub of the Universe;hann heldur, at hann er heimsins nalvihe thinks he is the bee's knees2(dýr.)(large) adductor of common mussel
nalvungi	1(dýr.)[young bird which has broken through the shell without the yolk sac being quite empty and which is therefore unable to live]2delicateel.weakly infantel.child;hatta er tann nalvungin, ið erthat poor fish3(niðr.)greenhorn;tú skalt ikki koma at læra meg nakað, tín nalvungiyou can't teach me anything, you greenhorn
nam	sínema
Namibia	(sern., landafr.)Namibia
namibi el.namibiabúgvi	Namibian
namibiskur	Namibian
namm	(barnam.) namm, nammyum-yum
namma	(barnam.)eat
nana	1rock a child in one's lap;tað yngsta var farið at sjarra, og mamman sat og nanaði tí og royndi at fáa tað at tigathe youngest child had begun crying and the mother was (sitting) rocking it on her lap trying to make it stop crying;hon sat hálvsovnað og nanaði stundum aftur og fram, stundum frá síðu til síðuhalf asleep she sat rocking in her chair sometimes to and fro and sometimes from side to side2íosb.sumtað nanaði viðwe made extremely slow headway (in rowing)
naning	rocking a child in one's lap
napoleonshattur	1cocked hat; chapeau bras2[kind of pastry]
napoleonskaka el.napoleonskøka	napoleon
napoleonskríggini	the Napoleonic wars
Napoli	(sern., landafr.)Naples
Napolibúgvi	Neapolitan
nappa	pull; nappaullpull wool;broddurin verður nappaður avthe coarse outer hairs (of a sheep's fleece) are pulled off
napping	pulling wool
nappull	pulled wool;(stb., eis.á seyði, of sheep) undercoat
nappur	(á ullintum plaggi) nap, (á teppi) pile
nardus	(plfr.)spikenard, nard(Nardostachys jatamansi)
nardussalva	spikenard (ointment)
narkomanur	drug addict;Sjunkie, junky; (speed) freak
narkosa	(lækn.)anaesthesia;(serst.um søvingarmiðal) anaesthetic;geva narkosuanaesthetize;fara undir narkosuviðgerðinduce anaesthesia; síeis.søving
narkosálargreining	(sálfr.)narco-analysis
narkosufrøði	anaesthesiology
narkosugass	laughing gas, nitrous oxide
narkosulamningur	anaesthetic paralysis
narkosulækni	anaesthetist
narkosumaska	anaesthetic mask, inhaler
narkosumiðal	(lækn.)anaesthetic
narkosusjúkrarøktarfrøðingur	(nurse) anaesthetist
narkosuyvirlækni	consultant anaesthetist
narkotika	1narcotics; (hard) drugs; (tíðum) opiates;Sjunk, dope2(til doyvingar) anaesthetics;fallin til narkotika (tlm.)be a junky;selja narkotikatraffic in/peddle/Spush drugs/narcotics;hart narkotikahard drugs/narcotics(flt)
narkotikabarónur	drug baron, drug lord
narkotikadeyði	drug-induced death
narkotikahandil	drug-trafficking; (í smáum) pushing;(lækn.)drug peddling
narkotikahávur	(drug) pusher
narkotikahundur	sniffer, drug-detector dog
narkotikalógarbrot	drug crime, drug-related crime
narkotikaløgreglan	the narcotics police; the drugsel.narcotics squad
narkotikamál	(løgfr.)drug case
narkotikamisnýtari	drug addict
narkotikamisnýtsla	(lækn.)drug abuseel.misuse
narkotikaringur	drugs ring
narkotikaseljari	pusher
narkotikasendingur	drugel.narcotics courierel.smuggler, drug-runner
narkotikasmuglari	drugel.narcotics courierel.smuggler, drug-runner
narkotikasøla	drug-trafficking; (í smáum) pushing;(lækn.)drug peddling
narkotikasølumaður	drugel.dope peddlerel.dealer;(am.Seis.)bagman, candy man, fixer; (í stórum) drug trafficker; síeis.narkotikahávur
narkotikaumhvørvi	narcoticsel.drug(s) scene; (fólkini) the drug set
narkotikavrak	junker
narr	1mockery, ridicule, derision, sarcasm, sneers(flt),sneering; (ikki illa meint) banter, chaff, raillery;gera narr (at e-m)mock at (sby), scoff at (sby), deride (sby)2fool, idiot, half-wit, numskull, noodle, nitwit, mug, nincompoop, oaf, dolt, fathead, chump;lokka gamalt fólk at renna sum eitt narr inn í Bømake an old person like me run like a fool all the way to Bøur (in Klaksvík); síeis.fívil
narra1	1break off an engagement;hann fekk fríggjaran til at narra hanahe persuaded her fiancé to break off the engagement2(lumpa, svika, snýta) cheat(t.d.cheat at the examination, at cards); take in(t.d.he is easily taken in); impose upon, fool, dupe, deceive, double-cross, overreach;(tlm.)con, do(t.d.you have been done over that business); be had(t.d.you've been well and truly had); sell, bamboozle, fool(t.d.you can't fool me!); diddle(t.d.sby out of his money);(orðt.) gamal ravnur er ikki góður at narraan old raven is not easily taken in; sílumpa,snýta,svika3narrastbanter, chaff(t.d.they chaffed him withel.about) his success with the ladies); tease;(eis.)pull sby's leg(GG:you must be kidding!(am.S)you must be putting me on!);tú narrastyou can't be serious;nei, nú narrast túyou are pulling my leg, aren't you(el.no, you don't mean that!)
narra2	1rub; narraeygunirub one's eyes;narra hendurnarrub one's hands;narra sær í hendurnar (fl.m.)rub one's hands, congratulate oneself; (ógvisligari) hug oneself, gloat;hann stóð og narraði seg upp at hennihe rubbed himself against her;narra blett úr klæðumrub off a stain2full a little; narrahosurnarfull the stockings a little
narrarí	fun, lark, joke, horsing around;tað var ikki annað enn narraríit was only a joke;í narraríin fun;hetta er ikki narraríthis is not funny
narribræv	[letter with which one breaks off an engagement]
narsissisitiskur	narcissistic
narsissisma	narcissism
narsissistur	narcissist
nart	sínerta
nartl	1slight touch; grain, crumb, bit; nartlav royðugrótia grain of tuff2abrasion, excoriation, scratch(t.d.on the face, in the paint; my injury was nothing but a scratch);hvørjum nartli undir ilini máttu vit geva gæturevery scratch on the ball of the foot, however small, had to be watched carefully3a poor eater4(plfr.)pimpernels(Anagallis)
nartla	1pinch, gnawel.eat small pieces from sth, nibble;toskurin nartlaði agnið burturavthe cod nibbled at the bait2scratch, scrape, pick;hann fór at nartla í tað við knívinumhe began scratching it with his knife3nartla á handsnælduspin slowly on the spindle
nartlingur	1(stb.)slight touch; grain, crumb, bit; sínartl12small lamb
narvast	(stb., sj.)quarrel, wrangle
nasa	1(um fólk og dýr, of people and animals) tumble down and die (from a cliff);eg sá, tá ið ærin nasaðiI saw it when the ewe tumbled down (and died)2offend, insult
nasabein	(likam.)nasal bone(os nasale)
nasablóð	nose-bleeding;(lækn.)epistaxis;bløða nasablóðbleed at/from the nose
nasabrillur	sínasaklemmari
nasabrósk	(likam.)nasal cartilage
nasadirvi	impertinence, impudence; boldness, effrontery, forwardness
nasadjarvur	impertinent, impudent; bold, forward;(orðt.) neyð ger nasadjarvannecessity is the mother of invention
nasadropar	(lækn.)nosedrops
nasadropi	dribble (from the nose)
-nasaður	síbreið-,djarv-,flat-,há-,hjar-,kjarr-,reyð-,skeiv-
nasaflíggj	wing (of the nose)
nasaflot	(lækn.)chronic rhinitis, running nose, runny nose, rhinorrhoea
nasagluggi	nostril;innaru nasargluggarchoanae(flt),posterior nares;ytru nasagluggarnostrils, anterior nares(flt)
nasahálskanning	(lækn.)rhino-laryngeal examination
nasahár	vibrissae(flt)
nasahjáholur	paranasal air sinuses
nasahjáorð	(ljóðfr.)nasal consonant
nasahjól	(flogm.)nose wheel
nasahola	(likam.)nasal fossae(flt),nasal cavity
nasaholubruni	(lækn.)nasal sinusitis
nasakirtil	(dýr.)nasal gland
nasaklemmari	pince-nez; (brillur festar á stong) a lorgnette; (sum kunnu leggjast saman) a pair of folding spectacles
nasaklútur	handkerchief,(tlm.)hankie;Snose rag
nasalangur	1embarrassed, ashamed, shamefaced, sheepish;hann bleiv so nasalangur, tá ið hann skilti avleiðingarnarhis face fell/his jaw dropped/he pulled a long face when he understood the implications;hann fór so nasalangur heimafturhe returned empty-handed and crestfallen2(sj.)impertinent, impudent; bold, forward;hann var alt ov nasalangurhe was too forward(t.d.in his dealings)
nasaljóð	1(málfr.)nasal (sound);" m" og " n" t.d. eru nasaljóð`m' and `n' are for instance nasals;nasasjálvljóðnasalized vowel;nasahjáljóðnasalized consonants2nasal (sound)
nasaljótur	who has an ugly nose
nasaloft	(likam.)roof of the nasal cavity
nasanabbi	sínasasnippur
nasanebbi	sínasasnippur
nasapot	(lækn.)nasal smearel.swab
nasar	sínøs
nasareari	(bíbl.)person inel.from Nazarene
nasareið	(stb.)íosb.sumgeva e-m eina nasareiðhaul sby over the coals, reprimand sby; tell sby off, give sby a dressing-down;tað var honum ein nasareiðhe was severely criticized, he was rebuked
nasareingur	(bíbl.)person in//from Nazarene
nasaringur	1nose ring;tað eydnaðist honum at fáa fatur í nasaringin á tarvinumhe succeeded in getting hold of the bull's nose ring2(prýði) nose ring
nasarót	root of the nose
nasaryggur	bridge of the nose
nasasaksur	nose trimmer
nasasjálvljóð	(ljóðfr.)nasal(ized) vowel
nasasjógvur	(stb.; sigl.)head-sea
nasaskilarúm	(likam.)nasal septum
nasaslím	(likam.)nasal mucus
nasaslímhinna	(likam.)mucous membrane of the nose
nasasnippur	tip of the nose
nasaspegil	(lækn.)rhinoscope
nasaspískur	sharp-nosed
nasasproyta	(lækn.)nasal spray
nasastórur	with a large nose, large-nosed
nasastykki	(brúgv) bridge (á brillum)
nasasøtur	sweet-smelling, sweet-scented; nasasøturroykursweet-scented smell
nasatong	(lækn.)nasal forceps; (til tarv) bullholder
nasatorn	(flogm., herm)nose turret
nasatungur	síframtungur
nasavegin	(lækn.)through the nose, through nasal passage
nasaverja	(á hjálmi) nosepiece, nasal
nasavongur	wing (of the nose); síeis.tjóvaflíggj, tjóvalop
nashvítur	(seyðal.)with white on the nose (of dark sheep);gráur nashvíturgrey with a white nose;morreyður nashvíturdark-brown with white nose;svartur nashvíturblack with white nose
nashyrningsfuglur	(fugl.)hornbill© Wikimedia Commons
nashyrningsklukka	(dýr.)rhinoceros beetle(Orystes nasicornus)© Wikimedia Commons
nashyrningur	(dýr.)rhinoceros,(tlm.)rhino(Rhinoceros)Rhinoceros ©iStock
nasi	projection of rock, protruding piece of cliff;á einum nasa í fjallinum situr ein fuglura bird is sitting on a projection of a mountain rock
nasisma	(stjm.)Nazism
nasistaflokkur	Nazy Party
nasistagull	Nazi gold
nasistajagstran	Nazi-hunting
nasistakvøða	heilsa við nasistakvøðu Nazi-salute
nasistiskur	Nazi;nasistisk einvendingNazification;nýta nasistisku kvøðunaNazi-salute
nasistur	Nazi
naskast	be impertinentel.rude; cling to, stick to; naskastuppi á/uppi í e-m/upp á e-ncling to sby; be forward, be bold;hann hevur lyndi til at naskast upp á fólkhe is inclined to be too forward with people
naskliga	impudently, pertly, obtrusively
naskur	pert, impertinent, obtrusive; bold, forward; fresh, (kynsliga) naughty, provocative;so naskur var kópurin, at ofta vóru hálvir toskar á, tá ið komið var á borðseals were so bold that the cod were often half-eaten when handline had been pulled up;(tilt.) naskur sum nykurextremely impertinent;naskir spurningartactless/indiscreet questions;naskt at spyrja...beg your pardon for asking...;henni dámdi at siga søgur, sum kundu vera eitt sindur naskar við hana sjálvashe liked to tell stories which could sometimes be rather telling about herself
naslittur	(seyðal.)[with diverging colours on the nose] (of sheep)
nasmæla	nasalize
nasmæltur	speak through one's nose, snuffle, speak with a (nasal) twang, nasal
naspa	pinch, scrounge, pilfer, filch, snitch, nick, swipe, whip, knock off
nassa	sponge (t.d.they found they could earn a perfectly good living by sponging off others; she could not bear the thought of sponging on her parents);Sponce (t.d.I ponced a ciggie off her);scrounge (t.d.he had managed to scrounge a free meal; we didn't scrounge off the social security);cadge (t.d.can I cadge £5 off you?; I cadged a cigarette off him)
nassari	sponge(r), cadger, scrounger (t.d.welfare scroungers); (serl amr.)freeloader
-nasutur	síreyst-
nasvísur	1ashamed; (lotur) embarrassed, awkward, sheepish, shy; (illa við) embarrassing, awkward(t.d.that must have been very awkward for him);eg var so nasvísurI was extremely embarrassed2impertinent, impudent; bold, forward;ein framligur og nasvísur drongura forward and impertinent boy
natigur	1mean, stingy, miserly, niggardly, close-fisted, tight-fisted, avaricious;hann var so natigur, unti ongum nakaðhe was such a miser that he grudged a person the very food he ate2envious
natin	1mean, stingy, miserly, niggardly, close-fisted, tight-fisted, avaricious2(sj.)pert, impertinent, obtrusive; bold, forward; fresh, (kynsliga) naughty, provocative3thievish
natinskapur	sínatni
natni	avarice, stinginess, cheese-paring, meanness, penny-pinching, skimping, niggardliness, miserliness, lumpenhandedness
Natoland	NATO member countryel.state
NATO,Nato	(st.)North Atlantic Treaty Organization
Natoverjusamgonga	Natoverjusamgongan The North Atlantic Treaty Organization
natrium	(evnafr.)sodium,(st.)Na
natron	(evnafr.)soda; (matgerð) baking soda, bicarbonate of soda; bread soda;kolsúrt natronsodium carbonate;svávulsúrt natronsodium sulphate;tetraborsúrt natronsodium tetraborate, borax;tvíkolsúrt natronsodium bicarbonate, bicarbonate of soda, baking soda
natur	smallhard-bakeddrýlur(made of dough which is left over);breyðið turt og tunt sum naturthe loaf is as dry and thin asnatur
naturskursl	small bitel.scrap, particle, insignificant thing;hatta er sum eitt naturskursl(of a very thin slice of bread)
naturtunnur	extremely thin, thin as a nutshell
natúr	1nature; wildlife2(vakurt landslag) scenery(t.d.the wild scenery of the Highlands); landscape, country(side)3(andligir eginleikar) nature, disposition, character, temper, temperament(t.d.a fierce, generous, revengeful, stuborn nature/dispositionetc;intellectual make-up4(likamligir eginleikar) contitution(t.d.a strong constitution)5(íborin lyndiseyðkenni) character(t.d.romantic characters like Byron); nature(t.d.sensitive natures); type;(tlm.)soul(t.d.a sensitive soul, a simple soul);hann var glaður av natúrhe has a sunny disposition;hesin dúkur hevur ta natúr, at ...this (table-)cloth is of such a kind that...;vera bangin av natúrbe of a timid disposition6sexual instinctel.urge, sex drive;hann hevur onga natúrhe has little sex drive7(eginleikar hjá luti, náttúruskipan) nature, character, kind;tað er ímóti natúriniit is against nature; sínáttúra28(landafrøðiligir eginleikar) nature, geography(t.d.the geography of the country makes it easy to defend)
natúralistiskur	naturalist(ic)
natúralistur	naturalist
natúrátrúnaður	nature worship, nature religion
natúrfólk	primitive people
natúrheimspeki	philosophy of nature
natúrligur	1natural(t.d.childbirth//death//explanation//frontier//har-bour//inclination//number//wish);doyggja ein natúrligan deyðadie a natural death2(íborinel.viðføddur eginleiki) natural, innate, native(t.dhis native good sense); inborn, congenital;ein natúrlig trongd fyrst at hugsa um seg og sínian innate urge/impulse family;tað er natúrligt, at e-m leingist heimit is only natural that one is homesick, it is only natural that one longs/pines for home;tað er natúrligt at foreldur eru góð við børniniit is a natural thing for parents to love their children;natúrligt úrval (lívfr.)natural selection3natural, artless(t.d.manners), unaffected;hann er so natúrligur, tá ið hann tosarthere's nothing affected about him when he speaks
natúrralisma	naturalism
natúrsterkur	who has a strong constitution
natúrveikur	(stb.)who has a weak constitution
nauriskur	Nauruan
Nauru	(sern., landafr.)Nauru
naurubúgvi	Nauruan
nava	(stb.)drill with a gimlet
navar	1(handv.)gimlet, auger;fara á navarin1(um kúgv, of cow) be slaughtered2be ruined; be broke, (go) bust, busted; got to rack and ruin; go to the dogs2for navarin!oh, bother!, oh, hang it!; síeis.navari
navaraskegg	(stb.)síbithorn
navargeisli	sínavarsgeisli
navari	1(handv.)gimlet, auger2(likam.)proces on axis, síeis.navar
navarsgeisli	(likam.)axis(Epistropheus)
navir	sínøv
navn	1(um sernavn) name(t.d.my name is Jones; the name John is common; the name of the country//the river//the town); (á plaggi) mark(t.d.there were no marks on his linen);spyrja e-n at navniask sby his name;tað kundi ikki við navni nevnastit could not be mentioned by name;tey høvdu alt, sum kundi nevnast við navni av gomlum tingumthey had everything in antiques you could possibly care to mention;eg kenni ikki hansara kristna navnI don't know his Christian name;hon komst við navniðhis//her name rang a bell;Haraldur nevndur at/á navniHaraldur by name(el.. who is called H.);tað hevur navnið hjá særthe name itself says it all, the name describes the thing;Flatnadalur hevur navnið hjá sær ... her vóru fløturthe reason for Flatnadalur's name is implicit;pápin átti navniðthe father had the privilege of choosing this particular child's name;í sama navn/navniin the same way;dagin eftir gekk í sama navnthings were exactly the same the next day2(heiti) name(t.d.fish sold under the name of sole; plutonium is the name of an element); appellation, designation;(málfr.: orð)name(t.d.the name "horse")3(giti) name(t.d.the firm has a good name); reputation; character(t.d.he bears the character of an honest man)4(navnframi) name, reputation5(gitið fólk) name, celebrity, famous person;(tlm.)bigwig, big cheese6title;geva e-m kongsnavngive sby the Throne
navna	[female with the same first name as sby else]; (tíðum) namesake;vit eru navnur báðarshe's my namesake;hon er navna mínshe's my namesake
navnaband	(at seyma á klæði) nametape
navnabók	register of names
navnabretti	(sigl.)nameboard
navnabroyting	change of name;søkja um navnabroytingapply for permission to change one's name;broyta navniðchange one's name (íOngl., vanl.)change one's name by deed poll
