e	(eis. tónl.)E, e
eftir	1viðhvnf(um tíð) after(t.d.after his death; dinner, the war)2(aftan fyri) after, behind(t.d.he came walking after(el.behind) the rest of them)3(næst eftir) after, next to(t.d.next to music he loved poetry best)4(sum eftirfylgjari) after, in succession to(t.d.James II reigned after(el.in succession to) Charles II)5(sambært, í samsvari við) according to(t.d.dress according to the season; be paid according to the work one has done; according to my instructions); by(t.d.it is 6 o'clock by my watch; by request; by order); from(t.d.from what I have heard he is a scoundrel; repeat sth from memory)6(boðandi frá ætlan) for(t.d.send for a doctor; run for help; telephone for a taxi)7(roknað eftir, grundað á) by(t.d.sell sth by weight)8(hermandi, eftirgerandi) after(t.d.after a model); from(t.d.drawn from real life)9[ísamb.viðn]eftir hesi aðalregluaccording to this principle, on this principle;dag eftir dagday by(el.after) day;eftir evnumaccording to ability;eftir míni fatanin my opinion, to my mind, as I see it;benda eitt orð eftir fyrstu bendingdecline a word according to the first declension;senda boð eftir honumsend for him;eftir illveður kemur góðveðurafter rain comes sunshine;(fl.m.)every cloud has a silver lining;tekna eina striku eftir einari linjáldraw a line with a ruler, rule a line;eftir míni meiningin my opinion, to my mind, as I see it;eftir midnáttafter midnight;eftir tí mynstrinumafter that pattern;tekna eftir náttúrunidraw from nature;eftir hesi regluaccording to this rule;postverkið rindar endurgjald eftir teimum á síðu 8 nevndu reglum (eis.)the Postmaster General pays compensation subject to the rules stated on page 8;eftir skattpost-tax, after deduction of taxes;eftir eini skipanaccording to a system;húsini vórðu smíðað eftir hansara tekningumthe house was built to his design;eftir umstøðunumas the case may be; according to circumstances; according to the nature (, merits) of the case;gjørt eftir verki ið er tilbased on an existing work;gera eftir ynskimeet sby's wishes, be satisfactory10[ísamb.viðs]arvaeftirinherit from; be sby's heir;bukka seg eftir tístoop to pick it up;hann eitur Jónatan eftir pápabeiggjanumhe is called Jonathan after his uncle;havaeftirhave left (over)(t.d.I have twenty pence left);hann hevur tvey ár eftir (t.d.av tænastutíð) he has another two years to go(el.to serve);einasta vónin ið eftir er (eis.)our only (el. our one) remaining hope; the only(el.the one) hope still left to us;eftir havi eg bara at takka tærit only remains for me to thank you;hatta hevur hann eftir pápanhe got(el.inherited) that from his father, that is an inheritance from his father;lat hurðina aftur eftir tær!shut the door after you!;lurtaeftirlisten to sby;koma eftir(í raði) come next to, follow, succeed; (varnast) find out; (læra) pick up(t.d.I soon picked it up); (at heinta) come to fetch; come for(t.d.the book);eg komi eftir tær!I'll be after you!;læra eitt eftir eini bóklearn sth from a book, get sth out of a book;ripa hurðina í eftir e-nslam the door behind sby;rópaeftir honumshout after him(t.d.he shouted after him that; he had forgotten his hat);seta klokkuna eftirset the watch by;sig tað eftir mærrepeat(el.say) it after me;taka eftircatch at; grab at; (at biðja hann koma) shout for him;skjótaeftirshoot at, fire at;skifta eftirvary according to;sláa eftir e-maim a blow at sby;veraeftir; enn eru tíggju minuttir eftirthere are still ten minutes left; there are still ten minutes to go11[ísamb.viðhj]ein fyri og annar eftirone after the other;nú var eftir atnow it remained to.;hvørki fyrr ella eftirnever since; neither sooner nor later;dagin eftirthe next day;árið eftirthe year after;standa eftir á berumbe destitute, be left stranded;(tlm.)be high and dry12[íyms.samb.]ein eftir annanone after another(el.the other)(t.d.they came one after another(el.the other)); in succession(t.d.she had three admirers in succession);eftir atafter;alt eftiraccording to(t.d.the temperature varies according to the altitude); depending (up)on(t.d.depending upon the rate of exchange);alt eftir hvussuaccording as(el.depending on whether)(t.d.the temperature varies according as(el.depending on whether) you go up or down);eftir tí vit hava frætt hevur Týsklandwe learn that Germany has; according to information received Germany has;eftir tí eg frættifrom what I hear;eftir at hann var farinafter he had gone, after he went;eftir at eitt ár var umliðiðafter a year (had passed);frítt eftir NNafter NN; with apologies to NN;eftir honum! catch him!;hvør eftir annanone after another; in succession;3 dagar hvør eftir annan3 days running, 3 days in succession, on 3 successive days;eftir tí ið søgan siguraccording to a legend; legend has it that;eftir tí ið hann siguraccording to him;eftir at hava skrivað, eftir at hann hevði skrivaðafter writing, after he had written, having written;eftir tað ið hent erafter what has happened
eftir-	post
eftiransan	síumsjónogtilsjón
eftiransin	careful; watchful; thrifty
eftiransing	síeftiransan
eftiransni	care(fulness); watchfulness; thrift
eftiransur	superintendence, supervision, control
eftirapari	imitator; copy-cat;(tlm.)wannabe, wannabee(t.d.Madonna's appeal to wannabes rest)
eftiraping	aping, mimicking, imitation
eftirá	í osb: liggja eftirá succumb (to); be overcome (by);hann arbeiðir, so at hann liggur eftiráhe'll work himeself to death;(fl.m.)die, be left on the field of battle
eftirbati	(lækn.)convalescence(t.d.you need four to six weeks' convalescence), recuperation(t.d.it was a period of rest and recuperation)
eftirbátur	(fl.m.)vera eftirbátur lag (behind)
eftirblóman	second blossoming; reflorescence;(fl.m.)Indian summer, reflorescence, resurgence
eftirbløðing	(lækn.)secondary haemorrhage; (eftir føðing) post-partum haemorrhage; (eftir skurðviðgerð) post-operative bleeding
eftirbrestur	repercussion; backlash
eftirburðarskeið	(lækn.)placental period(el.stage)
eftirburður	afterbirth, placenta
eftirbúning	after-ripening; ripening in store
eftirbøtingur	(lækn.)convalescent
eftirdagfesta	postdate
eftirdagfesting	post-dating
eftirdømi	example, instance, precedent, illustration, model, pattern
eftirdøttur	1(sum kemur ov seint) late-comer2(sum ikki megnar at fylgja við) straggler, laggard, slowcoach, dawdler;(tlm.)trundler3(nógv yngri systkin) afterthought;(fl.m., tlm.)fallout(t.d.fallouts from the Pre-Raphaelite Brotherhood)
eftirepli	[potato dug up in a potato field from previous year's potato crop]
eftirfarandi	1reliable, truthful(t.d.person)2(um tíðindi) reliable, authentic, hard(t.d.hard news (, information))3(um endurgávu) faithful(t.d.rendering, translation);gera eina eftirfarandi mynd avgive a faithful picture of
eftirferð	síeftirburður
eftirfesti	(málfr.)suffix; eis.eftirskoyti
eftirfestur	(málfr.)suffixed
eftirfylgd	consistency(t.d.the book lacks consistency);trot upp á eftirfylgdinconsistency
eftirfylgi	síeftirfylgja
eftirfylging	imitation;Kristi eftirfylgingthe Imitation of Christ;dømi til eftirfylgingarexample (for imitation)
eftirfylgja	1consequence, result2(lækn.)sequela(t.d.scarlet fever often has deafness as one of its sequelae)
eftirfylgjandi	following(t.d.the following lines); ensuing(t.d.the ensuing battle); succeeding(t.d.the succeeding events)
eftirgangari	laggard
eftirgáað	sígáa eftir
eftirgáan	observation
eftirgáva	remission(t.d.of debt, of a penalty, of a sentence, of taxation)
eftirgera	ape, copy(t.d.he tried to copy Gainsborough's style); imitate, make imitations of, simulate; plagiarize; (við sviki í hyggju) fake, counterfeit;sígera eftir
eftirgerð	1aping, copying2imitation, replica, copy, counterfeit;(niðr.)fake; plagiarism; (av gimsteini) paste stone; (av málningi) copy; pastiche;(tónl.)imitation3(teld.)emulation
eftirgerðarorsøk	(handilsm.) (eis.)eftirgerðartilelvingbandwagon motivation
eftirgeva	sígeva eftir
eftirgeving	indulgence, yielding, compliance, permissiveness; remission(t.d.of debt, of a penalty, of a sentence, of taxation)
eftirgivin	sígeva eftir
eftirgjalding	additional(el.supplementary) payment; payment in arrears, back pay(ment); (ES) corrective payment
eftirgjørdur	counterfeit,eftirgjørdar vørurcounterfeit articles, imitations; imitation(t.d.an imitation pearl, imitation marble, imitation mahogany; a bad(el.poor) (, good) imitation of a Chippendale chair); artificial(t.d.flowers, legs, pearls); (um gimstein) paste(t.d.diamonds); (falsaður) fake, faked(t.d.a fake Rembrandt; fake(d) antiques); (brotsligt: um skjal, undirskrifto.s.fr.)forged(t.d.the signature is forged);eitt eftirgjørt eintak (eis.)a replica;(niðr.)sham(t.d.a sham antique); mock(t.d.mock Gothic); synthetic(t.d.synthetic indigo, rubber)
eftirgloyma	spinster, old maid
eftirgloymingur	old dodderer, poor old devil
eftirglóð	afterglow
eftirgrein	comment (sum ískoyti aftan á tekst)
eftirgróður	after-growth, aftergrass, aftercrop
eftirhald	1(um løn) stoppage2condition, precaution, restriction, exception;við tí eftirhaldi aton condition that
eftirhaldsrættur	(løgfr.)lien, right of retention;eftirhaldsrættur í samb. v. vørur(possessory) lien
eftirherming	aping, copying,imitation, mimicking
eftirhildin	síhalda eftir
eftirhyggin	(sj.)careful, conscientious
eftiri	left,hetta sum eftiri erwhat is left
eftirí	í osb: tað sang el. dundi eftirí it resounded, (echoed, rang);einki er eftiríthere is nothing left, it is empty
eftirístíð	(jarðfr.) post-glacial period
eftirístíðar-	(jarðfr.) alluvial-
eftirkannan	síeftirkanning
eftirkanning	(lækn.)check-up (examination)
eftirkembingar	(lækn.)after-effects
eftirkomari	1descendant, offspring, progeny;ein eftirkomari hjá NNa descendant of NN;hann doyði og hevði ongar eftirkomararhe died without leaving any descendants;(løgfr.)he died without issue;okkara eftirkomararour descendants; posterity2(í starvi) successor(t.d.his successor in the office; his successor in the chief command);hann er eftirkomari Smithshe is successor to Smith, he has succeeded Smith
eftirkrav	1(gjald tá ið vøra verður latin) cash on delivery;eftirkrav £1£1 COD(t.e.cash on delivery);senda vørur við efterkravisend goods COD(t.e.cash on delivery);upphæddin verður rindað við eftirkravithe amount will be collected on delivery;við eftirkravi av upphæddcharging the amount forward;eftirkrav av farmagjaldicarriage forward2(løgfr.:eyka krav) additional claim
eftirkravsavgjald	COD charge
eftirkravsseðil	COD note
eftirkravsupphædd	COD(el.trade) charge
eftirkrígs-	post-war(t.d.the post-war period, post-war prices)
eftirkrígstíðin	the post-war era
eftirkunning	debriefing; smb.fyrikunning
eftirlagan	adaptation(t.d.the adaptation of our school system to modern requirements); adjustment(t.d.the adjustment of wages to the price level); accommodation(t.d.arrange the accomodation of my plans to yours); readjustment;(lívfr. og sálarfr.) adaptation(t.d.to the environment); (ílending) acclimatization
eftirlagdur	síleggja eftir
eftirlátin	indulgent, yielding, accommodating; compliant;(serl.moralskt) permissive;eftirlátin pápian indulgent father;eftirlátin politikkurpolicy of concessions, (policy of) appeasement;eftirlátin taktikkuryielding tactics;vera eftirlátin mótvegis e-mindulge sby,be indulgent towards sby
eftirlátinskapur	síeftirlæti
eftirlátligur	síeftirlátin
eftirlátur	convulsive laughter
eftirleggin	eager (for sth; to do sth); anxious (to do sth); keen (on sth; on doing sth); ardent(t.d.admirer); zealous(t.d.admirer, imitator); sedulous(t.d.his sedulous imitation of the classics)
eftirleikur	epilogue;(fl.m.)sequel(t.d.the sequel to this event);(tónl.)postlude;men eftirleikurin kravdi sítt(kann verða endurgivið:) but the matter did not end there;søgan fær sín eftirleik í rættinum, eftirleikurin fer fram í rættinumthe matter will have a sequel in a court of law, the matter will have legal consequences
eftirleitan	search, searching; hunt(t.d.the hunt for the murderer);eftirleitanin var úrslitaleysthe search produced no result(el.was in vainel.turned up nothing)
eftirleivd	the remainder; residue(t.d.a small residue was all that remained of his heritage); remainsflt (t.d.the remains of a meal, a building); (lítil leivd) remnant(t.d.the remnants of an army, of a meal; a remnant of his former strength; a few remnants of an old building)
eftirliður	(málfr.)suffix
eftirlit	1inspection, examination, test;hava eftirlit við e-minspect(el.checkel.examineel.test) sth; inspect sth; overhaul sth;til eftirlitfor inspection, on view;við gjølligari eftirlition closer examination;gjølligari eftirlit avdúkaði (eis.)a closer inspection showed that;eftirlit við bremsunumexamination of the brakes; brakes test(el.check); (við pappíri) scrutiny, check2control, check; (seta kross við listao.s.fr.)checking, check;hava eftirlit viðsupervise, keep check on;(tlm.)keep tabs on; (um roknskapo.tíl. eis.)check;undir eftirlitiunder control(el.supervision), controlled, supervised, subject to control (, supervision);undir almennum eftirlitiunder(el.subject to) public control (, supervision);eftirlit við gjaldoyrahandliexchange control;eftirlit við kassanumchecking the cash;hava eftirlit við kassanumcheck the cash3(vitjan) inspection4(í samb v. umvæling) overhauling, overhaul,bilurin er til eftirlitthe car is being overhauled;eftirlit og ábøturoverhauling and reconditioning;(tlm., eis.)I'm having my car seen to;(tlm.)check-up5(framman undan uppboði) view(t.d.view at sale-room, 6th December 9.30-4.30)6(teld.)preventive maintenance7(umsjón) supervision(t.d.the supervision of dairies), superintendence, surveillance, inspection(t.d.factory inspection);undir eftirliti avunder the supervision of, supervised by, watched by;vera undir eftirliti av løgreglunibe under police supervision;tað er neyvt eftirlit viðthere is a rigorous supervision (, control) of8(umsjón við skrivligari próvtøku) invigilation
eftirlitaður	additionally coloured
eftirliting	síeftirlitur
eftirlitsbók	checkbook
eftirlitsbólkur	(í sambandi við royndir) control group
eftirlitseind	(teld.)proof total
eftirlitslisti	check list
eftirlitsmaður	supervisor, superintendent; inspector; (um myndugleika) supervisory authority;(í samb. v.gjaldssteðg) administrator;(í samb. v.tvingsilssakkord) supervisor; (til skrivliga próvtøku) invigilator;(am.)proctor;(herm.)officer on duty
eftirlitsmáting	eftirlitsmátingar repeat observations
eftirlitsmerki	check (mark); (ímynd) check symbol
eftirlitsnevnd	(t.d. í partafelag)board of control; (til roknskapo.tíl.)audit board
eftirlits- og ávaringarskipan	(flogm.)control and warning system
eftirlitsroynd	control experiment
eftirlitsrúm	(útv.)control room; (lítið) control cubicle
eftirlitsseðil	check
eftirlitsskipan	control measure
eftirlitsstaður	checkpoint, control point
eftirlitsstempul	(á silvurio.s.fr.)hallmark; (á pappírio.s.fr.)control stamp
eftirlitsstovnur	supervision department
eftirlitstal	(teld.)check cipher, check digit
eftirlitstiltak	control measure, control(t.d.abolish all controls);eftirlitstiltøk (eis.)safeguards
eftirlitstorn	(flogm.)control tower
eftirlitstól	monitor; monitoring device; monitoring equipment;sí eis.vakmyndatól
eftirlitsur	telltale (clock), time clock, control clock
eftirlitsútbúnaður	control facilities
eftirlitsútgerð	surveillance equipment, monitoring equipment
eftirlitsverji	(t.d. hjá einkjubarni)guardian; (hjá brotsligum ungdómum) probation officer; (hjá brotsligum ungum) children's officer
eftirlitsvitjan	(visit of) inspection, check
eftirlitur	additional colour
eftirlíka	give in to(t.d.he gave in to us); yield to, indulge;eftirlíka e-mcomply with sby's wishes, give in(el.yield) to sby; (um órímiligt fólk) humour;(løgfr.)acquiesce, agree tacitly;eftirlíka íacquiesce in, agree tacitly to, accept
eftirlíking	complaisance, compliance, pliability, docility, tractability
eftirlíkna	impose supplementary assessment
eftirlíkning	(um skattaálíkning) supplementary assessment
eftirljóð	echo, reverberation
eftirlótir	síeftirlæti
eftirlýsa	1advertise for(t.d.lost property)2(um løgreglu) institute a search for3(postmál) make inquiries about4(leita) look(el.hunt) for(t.d.a rare edition);eftirlýsa e-n horvnan mannissue a description of a missing person; (íútv.) broadcast an SOS for sby;løgreglan eftirlýsirthe police are interested in the whereabouts of
eftirlýsing	1inquiry, advertisement of loss2(løgregla) search(t.d.institute a search for)3(eftir fólki, í útvarpi) SOS (message)(t.d.broadcast an SOS for sby; there is an SOS message for John Smith)4(postm.)inquiry(t.d.make inquiries about)
eftirlýstur	missing; (av løgreglu) wanted (by the police)
eftirlæti	1indulgence, yielding, permissiveness, pliancy, compliance;geva e-m eftirlætigive in to sby,yield to sby,humour sby;sýna eftirlætibe compliant, be indulgent2concession, admission
eftirlætispolitikkur	policy of concessions, (policy of) appeasement
eftirløgu-	residual
eftirløn	early retirement pension(el.allowance); (fyritíðarpensjónering) early retirement, optional retirement, voluntary redundancy;fara frá við eftirlønretire early, accept early retirement; pension, superannuation (pay); (til yvirmenn) retired pay, half-pay;siga e-n upp við eftirlønpension sby off, dismiss sby with a pension;fara frá við eftirlønretire on(el.with) a pension; (um yvirmann) retire on half-pay
eftirlønaraldur	1(aldur tá ið eftirløn verður latin) pensionable age, pension age2(aldur haðan eftirløn verður roknað) [term of service on the basis of which a pension is calculated]
eftirlønarfólk	1(ein ið fær eftirløn) pensioner; (eldri ofta) senior citizen; (fólkapensionistureis.)(old-age) pensioner(stOAP)2(ein sum er farin frá við eftirløn) retired person; (embætismaður) retired official
eftirlønargrunnur	pension(el.superannuation) fund
eftirlønarískoyti	supplementary pension
eftirlønarmaður	pensioner
eftirlønartrygging	(trygg.)deferred annuity assurance; (fyriskipað av virki ella stovni) superannuation scheme
eftirløningur	pensioner
eftirløntur	pensioned off, superannuated;(ofta =)retired; (um yvirmann) on the retired list, retired, on half-pay
eftirmaður	1successor(t.d.his successor in the office; his successor in the chief command)2descendant, offspring, progen
eftirmálsmaður	(sø.)plaintiff in trial for homicide
eftirmeta	evaluate
eftirmeting	evaluation; (ESeis.)assessment report
eftirmiddagur	síseinnapartur
eftirmóður	tired (out);(tlm.)fagged (out)
eftirmynd	image
eftirmæli	1(posthumous) reputation;hansara eftirmæli (eis.)the name he left behind him;við hesum avriki setti hann sær eitt eftirmæli sumin this work he left a monument which;eitt ódeyðiligt eftirmæliundying fame2postscript; PS; (í bók) epilogue, afterword
eftirnavn	surname, family name, last name;(am.)second name
eftirnavnavernd	(the) protection of family names
eftirnølari	síeftirdøttur3
eftirprent	1reprint2reproduction;(ofta =)print(t.d.they had van Gogh prints on their walls)
eftirrationalisera	(sálarfr.)rationalize (afterwards), rationalize after the event
eftirrationalisering	síeftirráð
eftirráð	(subsequent) rationalization, rationalization after the fact;eftirráðini eru so mongit is easy to advise with the benefit of hindsight
eftirráðin	wise after the event
eftirrák	1(lækn.)sequela(t.d.scarlet fever often has deafness as one of its sequelae)2after effect, repercussions(t.d.the repercussions of the World War); reverberations(t.d.the reverberations of the statesman's speech)
eftirrit	copy, transcript;váttað eftirritcertified copy
eftirrættur	sweet, dessert; afters(t.d.we had figs for afters);(tlm.)pudding
eftirseta	detention
eftirseti	pupil given detention
eftirsetningur	(málfr.)[main clause following a subsidiary clause]; (eftir treytareykasetning) apodosis
eftirsettur	síseta eftir
eftirseturenta	survivorship annuity
eftirsitandi	surviving; bereaved
eftirsíðan(i)	since (then)(t.d.I have not seen him since (then); the house has since been rebuilt); since that time(t.d.and since that time it had slipped his memory); afterwards(t.d.I heard of it afterwards); later(t.d.I made his acquaintance later)
eftirsíður	síeftirsíðan(i)
eftirsíggin	scrupulous, particular
eftirsjón	need, loss,tað er eftirsjón í honumhe is sadly missed; he leaves a terrible void
eftirsjúka	(lækn.)sequela(t.d.scarlet fever often has deafness as one of its sequelae)
eftirskatta	impose a supplementary tax on
eftirskattur	supplementary taxation; additional assessment
eftirskettin	watchful, attentive
eftirskjálvti	(jarðfr.)aftershock
eftirskoðan	revision; inspection; (grannskoðan) audit(ing), examining(el.scrutiny) of accounts
eftirskoyti	(málfr.)suffix; eis.eftirfesti
eftirskoyttur	síeftirfestur
eftirskrift	postscript; E.S.; (til bóko.tl.) epilogue, afterword;hann skoytti uppí sum eftirskrifthe added by way of postscript;sí eis.eftirmæli
eftirskúli	(skúlam.)continuation school
eftirsleip	(skúlam.)deferred pay rise; (lønareftirsleip) loss of comparability; backlog(t.d.of orders, uncatalogued books)
eftirslóðari	imitative poet, imitator; epigon(e); (í gudalæru) Epigonus;hann er eftirslóðari (eis.)his work is derivative
eftirsløð	remainder, residue, remnant, residuum
eftirsmakkur	after-taste;tað hevur ein keðiligan eftirsmakkit leaves an unpleasant taste (in the mouth)
eftirsnarin	síeftirsnarur
eftirsnarur	wise after the event
eftirsókn	hunting, pursuing,eftirsókn eftir vindichasing the wind
eftirspurdur	1in demand, in request, popular;vera nógv eftirspurdurbe in great demand;nógv eftirspurd útgávaa much sought-after edition(GG:she was fast becoming hot property in the modelling world);eftirspurd nøgdquantity demanded2asked (permission)
eftirspurn	síeftirspurningur
eftirspurningsfarmynd	demand curve
eftirspurningsgreining	(handilsm.)demand analysis
eftirspurningsgyrði	demand elasticity
eftirspurningslóg	Law of Demand
eftirspurningsminking	reduction of demand
eftirspurningsstýring	demand management
eftirspurningstrýst	demand pull; pressure of demand
eftirspurningur	demand (eftir for);lítil (, vaksandi) eftirspurningursmall (, growing) demand;lívligur eftirspurningurbrisk demand;(lógin um) tilboð og eftirspurningur(the law of) supply and demand;stórur eftirspurningura great demand, an urgent demand;tað er størri útboð enn eftirspurningurthe supply exceeds the demand, there are more sellers than buyers;nøkta eftirspurninginmeet(el.supplyel.keep up with) the demand;tað er eingin eftirspurningur eftir hesi vørunithere is no demand for this article; this article is not in demand, there is no market for this article
eftirspæl	(tónl.)postlude;síannarseftirleikur
eftirstøða	1(avlop) left-overs, remains2(skuld) arrears (oftast íflt);vera í eftirstøðube in arrear(s);vera í eftirstøðu við gjaldingumbe in arrears(el.be behindhand) with the payment;eftirstøða av húsaleiguarrears of rent; (meiratlm.)back rent3(avleiðing) repercussions(t.d.the repercussions of the World War); reverberations(t.d.the reverberations of the statesman's speech)4(oljuv.)residue
eftirstøðuupphædd	arrear(s), outstanding amount
eftirtakkla	tackle late
eftirtakkling	(í fótbólti) late tackling
eftirtekt	attention,taka til eftirtektartake note of sth(t.d.the Government took note of the protest), note sth
eftirtíð	1future2arbeiða eftirtíðwork overtime
eftirtøka	1outcome, issue, result; gain, proceeds,tað man so lítið vera í eftirtøkuthe gain achieved may be small2síeftirgerð(1)
eftirútbúgving	(skúlam.)further(el.supplementary) training(el.education); continuing education; in-service training; post-school education;(am.,serl.um læknar) residency; (uppfrísking) refresher course
eftirútbúgvingarskeið	in-service (training) course; refresher course
eftirútrokning	(bú.)costing
eftirvagnur	síeftirvognur
eftirvalskanning	exit poll; eis.valstaðarkanning
eftirvatn	wash water
eftirveðhavi	subsequent mortgagee
eftirverandi	remaining
eftirverkir	1(eftir barnsburð) after-pains2(fl.m.)(painful) after-effects(t.d.suffer from the after-effects of); repercussions (of)
eftirviðgera	1give a finishing treatment, finish;(t.d.málning) put the finishing touches to2(lækn.)after-treat3(t.d.orðabók) revise
eftirviðgerð	1finishing treatment; putting the finishing touches to; revision2(tøkn.)dressing; finishing3(lækn.)after-treatment, aftercare, follow-up
eftirviðgerðarsjúkrahús	aftercare(el.post-treatment) hospital(el.clinic)
eftirynskjandi	advisable(t.d.it would be advisable to have a witness); well(t.d.it would be well if you were there); as well(t.d.it would be as well to bring your papers);halda eitt vera eftirynskjandithink(el.deem) sth advisable(el.desirable)
eftiryrking	(bókm.)imitation; derivative poetry
eftiryrkjari	(bókm.)imitative poet, imitator; epigon(e); (í gudalæru) Epigonus;hann er eftiryrkjari (eis.)his work is derivative
eftna	síaftna
EF-viðhaldsfólk	(gl.)Common) Marketeer, pro-Marketeer
eg	t vitfn(í staðin fyri 1. pers. eint) I;hann er eldri enn eghe is older than I;eg sjálvurI myself;eg sá tað sjálvurI saw it myself;stakkals eg!poor me!;tað haldi eg!I should say so!, I'll say!
egg1	1(á eggvákni) edge; (knívsblað) blade;(tøkn.:á skeristáli) cutting edge;rundað eggrounded(el.blunted) edge;ein hvøss egga sharp(el.keen) edge;seta egg á knívsblaðput an edge on a knife blade;við ongari eggedgeless(t.d.an edgeless sword)2edge (of a steep mountain wall)
egg2	1egg;(yrkism.: lívfr.)ovum(fltova);(flt.:um lýs) nits;blása eitt egg útblow an egg;bleyttkókað eggsoft-boiled egg;fara við e-m sum e-m brotnum eggihandle sby (, sth) with kid gloves;harðkókað egghard-boiled egg;flysa eggshell an egg;skallutur sum eitt flust egg(as) bald as a coot(el.an egg);klekja egghatch an egg; (tøkniliga) incubate eggs;koma úr egginumbe hatched, hatch out; emerge from the egg(GG:newly hatched chickens);kóka eitt eggboil an egg;liggja á eggumsit on eggs, sit, brood;nýtt eggnew-laid egg;nývorpið eggnew-laid egg;pískað eggwhipped egg;pocherað eggpoached egg;ræna egggather eggs; rotið eggbad(el.addledel.rotten) egg;hann er sum eitt rotið egghe is like a bear with a sore head;steikt eggfried eggs;stempla eggstamp eggs;tveita rotin egg eftiregg;verpa egglay eggs2[ísamb.viðorðatøk]so eggið ætlar at læra hønuna (svarar til)you can't teach your grandmother to suck eggs;eggið sum lærir hønuna (skemt.)(kann verða týtt) the tail that wags the dog;hvat var fyrri eggið ella hønan?(kann verða endurgivið) this is a chicken and egg situation(el.problem);hava tað sum blomman í egginumbe in clover, be on velvet
eggbølla	síeggbøllur
eggbøllur	(lívfr.)ovary; follicle
eggfuglur	(fugl., samn.)[birds which lay eggs]
egggørn	Fallopian tube, salpinx;(tlm.)egg tube;(lækn.) egggørnstøkasalpingectomy2(um fugl,serl.hønu) oviduct
egghvassur	sharp as a knife
eggja	1sharpen(t.d.a knife)2viðhvnfoghvmfincite, instigate(t.d.instigate him to commit a crime); urge on(t.d.the combatants); stimulate(t.d.he was stimulated by opposition); (talandi til dirvið) dare(t.d.they dared him to assault the policeman);eggja til eitt (eis.)instigate sth(t.d.instigate revolt);eggja e-m til eittincite(el.urgeel.instigateel.goad onel.egg on) sby to sth(t.d.to rebellion);eggja e-m at gera eittincite(el.exciteel.instigateel.goadel.urgeel.stimulate) sby to do sth; goad(el.egg) sby on to do sth;eggja e-m til at gera sítt bestarouse sby to do his best, put sby on his mettle;eggja eins forvitniexcite(el.stir upel.arouseel.awaken) sby's curiosity;eggja uppundirencourage; cheer up, enliven
eggjabikar	egg-cup
eggjablomma	síeggjareyði
eggjaður	edged, with an edge
eggjagrót	sharp-edged stone
eggjahvítaevni	(lívfr.,evnafr.)albumen, protein
eggjahvítahavin	albuminous
eggjahvítakendur	albuminoid
eggjahvíti	(the) white of an egg, egg white;(yrkism.)albumen;pískaðir eggjahvítarwhipped egg whites;tveir eggjahvítarthe whites of two eggs;(lækn.) eggjahvíti í vatninumalbuminuria
eggjahylki	(lívfr.) egg capsule
eggjajarn	síeggjarn
eggjakassi	egg case
eggjakoppur	empty eggshell
eggjakókari	egg-timer
eggjakøka	(svarar til)omelette
eggjaleiðari	síegggørn
eggjamál	í osb: tað var eggjamál it was only just; it was only with the greatest difficulty; it was a very close thing
eggjamjólk	(mjólk.) switched eggs
eggjan	incitement, instigation, urging (on), egging on; prompting, encouragement
eggjandi	inciting(t.d.speech); rousing; exciting; stimulating; (erotiskt) provocative(t.d.glance, smile); seductive; (um konufólk) bitchy; (kynsøsandi) aphrodisiac
eggjapískari	egg beater, egg whisk
eggjapulvur	egg powder;(ofta =)dried egg(s)
eggjareyði	(egg) yolk;ein eggjareyði (eis.)the yolk of an egg;flótandi(, turkaður) eggjareyðiliquid (, dried) yolk;ein rørdur (el. pískaður) eggjareyðithe yolk of an egg beaten up with sugar;egg við tveimum reyðuma double-yolked egg
eggjari	agitator, propagandist
eggjarjarn	síeggjarn
eggjarn	edged tool; cutting edge
eggjartrepi	síeggjartrom
eggjartrom	extreme edge of a cliff
eggjasekkur	(lívfr.) egg string
eggjaskal	eggshell
eggjaskeri	egg-slicer
eggjast	(um fugl) lay egg
eggjasteinur	sharp stone
eggjateinur	(kvæð., kenn.)sword
eggjatíð	1[season for collecting sea birds´eggs]2egg-laying season
