p	(málfr.)consonant, /pe:/
paraffinera	paraffin(e);(lækn.)seal with paraffin
paraffinolja	liquid paraffin;(am.)paraffin oil
paragraff	sígrein,lógargrein
Paraguai	(sern., landafr.)Paraguay
paraguaibúgvi	Paraguayan
paraguaiskur	Paraguayan
paralag	íosb.sumgeva seg í paralag/koma í paralag við (e-n)join/attach oneself to sby
paralig	(um mann og konu, of man and wife) who make a good pair;tey eru so paraligthey make such a good pair
parallellur	síjavnfjarur
paranøt	Brazil (nut); (træið) Brazil nut tree(Bertholletia excelsa)
paraply	síregnskjól
paratýfus	(lækn.)paratyphoid (fever)
paratýfusbasilla	(lækn.)paratyphoid bacillus
parábil	(stfr.)parabola; síeis.flogbugur
pardansur	couple dance; couple dancing
pardón	(gl., tlm.)forgiveness, pardon;eingin pardóndo as you are told!(eis.no quarter!)
parhosa	(gl.)long woollen stocking
paring	paring(t.d.of cards)
paringar-	símakingar-
parisari	(tlm.)condom, contraceptive sheath;(tlm.)French letter
parisarkunstur	íosb.sumtað er eingin parisarkunsturthat is very easy;tað er ikki tann parisarkunsturinthat isn't so difficult
París	(sern., landafr.)Paris
parísarbúgvi	Parisian
parísari	Parisian
parísískur	Parisian, Paris
park	(útlendsk) park
parka	síparkera
parkera	1park2(stutt,t.d.uttan fyri handil) wait, hold(t.d.I'll hold here for a minute while you run into the shop)3(óáv.)park(t.d.one's car)
parkering	parking; parkeringloyvdparking permitted;parkering bannaðNo Parking (Here); (stutt) No Waiting
parkeringar-	síeis.støðu-
parkeringarbann	parking ban
parkeringarbásur	parking bay;(serst. am.)parking slot
parkeringarbót	parking fineel.ticket
parkeringargjald	parking charge
parkeringarhús	multi-storey car park, off-street parking
parkeringarvørður	traffic warden
parking	síparkering
parlag	relationship(t.d.live in an unhappy//a stable relationship; the relationship did not work; he has had one relationship which has broken down); (tíðum) couplehood;(forml.)one-to-one relationship(t.d.they live in a one-to-one relationship);liva í føstum parlagihave a permanent relationship
parrag	1bad luck, ill luck; íosb. vera fyri parraginumbe a less fotunate fisherman than the others2overgrownel.lanky person, beanpole
parrak1	being in a difficult situation;vera fyri parrakinumbe mobbed, be bullied, be victimized
parrak2	(sj., gl.)emaciated, worn to a shadow, worn away, haggard, gaunt, skin and bone
parta	divide (up);teir hava partað jørðina sundurthey divided (up) the land between them
partabræv	1(bú., handilsm.)share;(am.)stock, stock certificate; (handhavapartabræv) share warrant; (við navni áprentaðum) share certificate; (um óáskrivað partabræv) street certificate; (um tilluting av teknaðum partabrøvum) letter of allotment, allotment letter, stock certificate;partabrævakeypbuying shares;partabrævasølaselling shares2[íyms.samb.]vanlig partabrøvordinary shares;gera partabrævaíløguplace shares;egin partabrævaogntreasury stock/shares;gjalda við partabrøvumpay in shares;børsnoterað partabrøvshares quoted on the stock exchange;egin partabrøv(one's) own shares;geva út partabrøvissue shares;keyp og søla av somu partabrøvum næstan samstundiswash sale;partabrøvini lækkaðu//hækkaðuthe shares fell//rose;nýggju partabrøvini hava somu rættindi sum tey gomluthe new shares (will) rank pari passu with the existing ones;partabrøvini geva 5% í rentuthe shares yield 5 per cent;upphæddir, ið framvegis resta í at gjalda fyri partabrøvmoneys unpaid on shares;gjalda fyri part av partabrøvunumpay calls on the shares;partabrøvini eru navnnevndthe shares/stocks are registered;partabrøvnini eru handhavanevndthese are bearer shares;noterað navnnevnd partabrøvnominal/nominative shares;vanligt partabrævordinary share;partabrøv í umferðshares in circulation;navnvirði partabrævsinsthe nominal value of the share;serstøk rættindi, sum eru tongd at partabrævinumspecial rights carried by the share;spekulera í partabrøvumspeculate in shares/stocks;tekna partabrøvsubscribe for shares/to a share issue;tekna seg fyri eitt partabrævtake/subscribe a share;tilluta partabrøvallot shares;tilluting av partabrøvumallocation of shares;bjóða út partabrøv til tekningaroffer shares for subscription;geva út nýggj partabrøvissue new shares;partabrøvini verða útgivin til handhavanbearer shares, share warrants;navnnevnd útgivin partabrøvshare certificates, registered stocks
partabrævaavhending	(handilsm.) share transfer
partabrævaánari	shareholder, (am.) stockholder; (í íløgufelagi) unitholder
partabrævabanki	joint-stock bank
partabrævabók	stock register, register of shareholders/members;(am.)transfer book;skriva e-n upp í partabrævabókinaenter sby's name in the register of shareholders(o.tíl.); strika e-n í partabrævabókinistrike/take sby's name off the register of shareholders(o.tíl.)
partabrævabørs	stock exchange
partabrævaeigari	shareholder, (am.) stockholder; (í íløgufelagi) unitholder
partabrævagreining	(handilsm.) share analysis
partabrævahandil	dealing in shares, shareel.stock trading
partabrævahavi	sípartabrævaeigari,partabrævaánari
partabrævaíløgumaður	share investor
partabrævakapitalur	(en.) share capital, (am.) capital stock
partabrævakritlari	(tlm.)share pusher
partabrævakursfall	fall in prices, (ógvisligt) slump
partabrævakurshækking	shareel.stock price rise, (líðandi) appreciation
partabrævakursur	price, quotation
partabrævakursvinningur	profit due to appreciation
partabrævalán	loan against shares
partabrævamarknaður	share market, stock market
partabrævameiriluti	majority of shares, share majority, controlling interest; the bulk of the shares;fáa/keypa partabrævameirilutanpurchase a majority holding/acquire a controlling interest;hann hevur partabrævameirilutan í virkinumhe holds a controlling interest in the company
partabrævameklari	stockbroker
partabrævaogn	(share) holding, stockholdings, portfolio of shares
partabrævapartur	shareholding
partabrævaprísur	(handilsm.) share price, share quotation;bjóða starvsfólkum partabrøv til lagaligan prísstock option
partabrævarættindi	(handilsm.) share right(s);umbýti av A-rætticonvertible share right;umbýti av T-rætticonv. subs. right
partabrævaspekulantur	speculator (on the stock exchange/market)
partabrævaspekulatión	speculation in shares
partabrævasvik	fraudulent dealing in shares,(tlm.)share pushing, share-hawking; (partabrævasøluviðv.)selling bogus stock
partabrævasvikari	(tlm.)share pusher
partabrævatal	number of shares
partabrævaútskriving	issue of shares, share issue; (at bjóða fram partabrøv hjá virki á partabrævamarknaðinum á fyrsta sinni) flotation; (virki bjóðar fram nýggj partabrøv til partaáarar ella onnur) allotment of shares
partabrævavinningur	return on shares, dividend, síeis.vinningsbýti
partabrævaøking	increase of share capital(t.d.við at økja um partabrævanøgdina)
partaeigari	síparteigari
partafelag	limited (liability) company; private (limited) company, (am.) joint-stock company; public (limited) company; joint-stock company, limited liability company;(am.)corporation;P/F/p/f Faroe Sea FoodFaroe Sea Food, Ltd,(am.)Faroe Sea Food, Inc
partafelagsásetingar	articles of association (of a company)
partafelagsfráboðan	application for registration of a company
partafelagslóg	Companies Act,(am.)Corporation law
partafelagsskattur	corporation tax,(am.)corporation (income) tax; taxes payables;burturlegging fyri partafelagsskattallowance for income tax;partafelagsskattur 20%company tax 20%
partafelagsskrásetari	registrar of companies
partafelagsskráseting	register of companies
partafelagsstjórn	board of directors
partaflokkur	(stjm.)political party
partagjald	(bú.)payment on account
partagrind	[whale meat and blubber divided among the inhabitants of a certain district]
partahvalur	[pilot whale divided among the inhabitants of a certain district]
partalag	1fellowship, company;honum dámdi einki at vera einsamallur, hann mátti altíð hava onkun uppi í partalagi við særhe did not like being alone he always had to have sby with him2(handilsm.)partnering3partnership
partalagsavtala	(handilsm.) partnering agreement
partamaður	1member of one's own party, fellow-partisan2(kortsp.)partner3(sj.)shareholder, stockholder
partaní	(niðr.)sípartaníggj
partaníggj	(niðr.)rabbleel.bad crowd;hatta er eitt verri partaníggjthey are a bad lot
partapeningur	share capital;hækka partapeningin viðincrease the share capital by;hækking//lækking av partapeninginumincrease//reduction of share capital;goldin partapeningur(fully) paid-up share capital;partapeningurin hjá leiðslunimanagement stock;partapeningur við atkvøðurættivoting stock
partapolitikari	party politician
partapolitikkur	(stjm.)party politics(flt)
partapolitiskur	party-political
partasvíkur	one who fails a community, associationel.society;partasvíkarnirbreakaway group/faction, splinter group
partálit	[section of a report published separately]; partial report; (ES) co-report
parteigari	part-owner, joint owner
partgjald	(handilsm.)on account(t.d.I'll give you £50 on account)
parthallur	partial(t.d.judge); biassed; unfair; one-sided; (tíðum) prejudiced
parthavari	shareholder, stockholder; parthavarií skipishareholder of a ship
partikulerur	partikulerur skaðiparticular average (havarí, har hvør ánariel.trygging hansara heftir fyri sínum skaða)
partingarfornavn	(málfr.)partitive pronoun
partingarkenniorð	(málfr.)partitive article
partisankríggj	partisan warfare
partisanrørsla	partisan movement
partisanseymur	caltrop, crowfoot
partisanur	partisan
partitur el.partiturur	(tónl.)score; síraddskrá
partískur	(tlm.)síparthallur;dómarin er ikki partískurthe referee//judge is not partial
partleysur	objective, neutral,(stjm. eis.)uninvolved; non-aligned(t.d.states); impartial, unprejudiced, unbiassed, disinterested, detached(t.d.a detached observer); eis.lutleysur
partloysi	objectiveness, objectivity, detachment
partmongd	(stfr.)subset;sonn partmongdproper subset
partna	í osb. á partnato oneself;hon helt seg á partnashe kept herself to herself
partrol	(sigl.)pair trawl (trawl used by to trawlers which are pair trawling)
partrola	(sigl.)pair trawl
partrolari	pair trawler
partroling	(sigl.)pair trawling
partsalmenni	(løgfr.)[the principle of either party to a case being present at the hearing and informed of any step in the action]
partsfrágreiðing	(løgfr.)evidence by one of the parties
partsfrágreiðsla	(løgfr.)evidence by one of the parties
partsføri	(løgfr.)capacity to sue and be sued
partsgegni	(løgfr.)capacity
partsreiðari	part owner
partsreiðarí	joint owned shipping firm
partssundurbýti	(løgfr.)pro rata distribution (of expenses)
partsteigari	(oljuv.)part block
partsútvegari	sub-supplier; (tíðum) sub-contractor
partsyvirhoyring	(løgfr.)examination of one of the parties (in court)
parttíð	part-time;arbeiða parttíðbe a part-timer, be employed part-time, work part-time
partur	1(av størri heild) part(t.d.the front part of the car); portion(t.d.a small portion of the whole); (brot, stykki) section(t.d.of a road; of the population);túsund krónur í partone thousand kroner to each of them;fyrra partinmorning, forenoon;seinna partinafternoon;hava tveir partar í føru,síføra12(av bók) part3(ognarlutur) share(t.d.your share of the expenses will be five pounds; pay one's share);eiga part í bátihave a share of/in a boat4(lutur) part(t.d.three parts of vinegar to one of oil)5party, side;partarnir á arbeiðsmarknaðinumthe two sides of industry;báðir partar eiga at viðurkenna taðboth parties should accept it;vera í parti við (e-m)side with, take the side of (sby);hann er í parti við honumhe sides with him;sleppa upp í partbe allowed to participate; (í spæli) be allowed to join in the game;fara/geva seg í part við (e-m)side with (sby);taka sær aðrar/betri partar fyriturn over a new leaf;taka sær góðar//ringar partar fyribehave well//badly;tað var betri parturinit was to his advantage;fyri ein partpartly, in part(t.d.it was in part his fault)6(sjónl.)act
partú	(tlm.)at all costs;hann skuldi so partú hava sín vilja ígjøgnumhe had to have his (own) way by hook or by crook
partvísur	1partial(t.d.payment), part-(t.d.part-payment); partvísurdagpeningurpartial unemployment benefit; (sjúkrapeningur) partial sickness benefit(s)2[sumhj]partvíst; in part, partly, partially, up to a point
parykkmakari	wigmaker
parykkur	wig;(gl.)periwig
pass	1passport;fáa sær passtake out a passport;passið fer úr gildi í 2012the passport expires in 20122(kortsp.)no bid, pass;melda passsay no bid, pass3(gl.)moment, time, date, hour;um tað passið/við tað passiðabout that time4small fishing-ground(espone beside a large one)5íosb. tað er pass í lagi fyri tegit serves you right
passa1	1be convenient(t.d.you can pay when it is convenient to you); suit(t.d.when will it suit you to start?; that arrangement will suit me very well; if the price suits me; he can be very amiable when it suits him); be acceptable(t.d.will that date//price be acceptable to you?);tað passar mær ikki at komait is not convenient for me to come2take care of, look after(t.d.the children; the horses; the cattle); mind(t.d.women with homes to mind); (um sjúk) nurse(GG:he was nursed back to health); (um motoro.tíl.)look after, tend; operate(t.d.a lift); (um handil) be in charge of(t.d.he is in charge of the shop while the owner is away); (í stutt skifti) look after, mind; (um starv) attend to(t.d.one's business); go about(t.d.one's lawful business); (hava ábyrgdina av) be in charge of;hon passaði abba sín til tað síðstashe nurse her grandfather until he died;passa upp á e-nlook after sby;passa uppá!watch out!3(um plagg, skógvaro.tíl.,of clothes, shoesetc)fit(t.d.the coat//the hat fits me; the coat//the hat fits perfectly); be a good fit; be one's fit(t.d.these shoes are just your fit);skógvarnir passa hennithe shoes fit her perfectly;eg passi ikki troyggjunathe sweater doesn't fit me4(um plagg, skógvaro.tíl.,of clothes, shoesetc)try on; passaeina troyggjutry on a sweater5apply(t.d.the argument does not apply in this case); be true(t.d.it is not true that he is married);tað passar, at so erit is true that is the way things are
passa2	(kortsp.)say no bid, pass
passaligur	1suitable, satisfactory, convenient, right2rather drunk;hjpassaliga
passar	í osb. vera væl til passar feel fit;vera illa til passarfeel ill/feel/seedy; feel/be out of sorts, (tlm.)feel rotten
passaraoddur	point of (a pair of) compasses
passari	(stfr.)pair of compasses, compass, (pair of) dividers/cal(l)pers; (til málingar) cal(l)ipers(flt); ein passaria pair of compasses/a pair of dividers;passari við blýantsstiftcompasses with pencil point
-passari	símotor-
passatur	trade (wind);landnyrðingspassaturinNE trade wind;landsynningspassaturinSE trade wind
passatvindur	trade (wind)
passatøki	trade wind region
passeftirlit	passport examinationel.control; (fólk) passport official(s); (íBretl.og USA) immigration officer(s), aliens officer(s)
passfrælsi	exemption from the requirement of a passport
passhavi	holder of a passport
passiónskonsert	(tónl.)passion concert
passiónssálmur	passion hymn
passiónstónleikur	passion music
passiv royking	passive smoking, second-hand smoking
passivur	passive; síeis.óvirkin;tolsøgn
passivur roykjari	passive smoker
passkort	(kortsp.)badel.poor hand
passmál	(tøkn.)fit(s)
passmynd	passport photograph
passstova	passport office
passuligur	sípassaligur
pasta1	paste
pasta2	(lækn.)paste
pastell	pastel;mála í pastellpaint in pastel
pastellkrit	pastel crayon
pastelllittur	pastel-coloured, in pastel shades
pastelllitur	pastel;í pastelllitumin pastel shades/tones
pastellmálari	pastellist
pastellmáling	pastel painting
pastellmálningur	pastel painting
pastelltøkni	pastel technique
pastuviðgerð	pasta treatment
patent	patent;søkja um patentapply for a patent
patentakker	(sigl.)stockless anchor
patentgjald	(til patenthavan) royalty; (fyri at fáa patent) patent fee
patenthavi	patentee
patentloysn	patentel.cure-all solution; (tíðum) arcanum; panacea(t.d.ivamáliviðv.)
patentlóggáva	patent legislation
patentlýsing	specification(t.d.the application must be accompanied by either a provisional or complete specification)
patentrættur	patent rights
patenttrygd	protection of a patented invention, patent protection
patentur	(tlm.)convenient, easy to handle, handy;tað er patentit is handy
patentvardur	patented
patriarkur	1patriarch2(katólsk tign) patriarch3(hægsti biskupur í griksku kirkjuni) patriarch
patriksmessa	(stb.)St Patrick's Day (17 March)
patrón	cartridge
patrónbelti	cartridge belt
patrónhylki	cartridge case
patt	(talv.)stalemate;seta pattstalemate;vera pattbe stalemated
pavnur	(sigl.)fish boxel.crate
pá1	(barnam.)sípa
pá2	síáogupp(á);(kvæð.) fellur pá síni knæfalls down on his//her knees
pábót	síábót
páfinning	síuppfinning
páfirvaldur	(firv.)Peacock butterfly(inachis io)© Wikimedia Commons
páfuglur	(fugl.)(common) peacock, peafowl(Pavo cristatus);(hanin) peacock; (hønan) peahenPavo cristatus ©iStock
páhangari	síleysamotorur
páhangsmotorur	síleysamotorur
Páll	Paul;(tilt.) tað er ikki oftari enn so, Páll fær røtur,sírót
pálmagarður	palm court
pálmagrein	palm branch
pálmaleygardagur	Saturday before Palm Sunday
pálmaolja	palm oil
pálmapílur	(plfr.)tea-leaved willow(Salix phylicifolia)©Wikimedia Commons
pálmari	pilgrim;hann var ein pálmari á ferð móti einum betri landihe was a pilgrim travelling towards a better country
pálmasunnudagur	Palm Sunday
