ø	(málfr.)vowel, /ø:/
øna1	1cut a swath; ønabreitt/ langtcut a wide/long swath (hay harvest);hann stóð og ønaði niður(said of sby who had been mowing with a sharp scythe)2creep slowly;pínan ønir niðan eftir beininumthe pain is creeping slowly up through one's leg;øna niðaneftirstart at the bottom and work one's way up(e.g.when tilling a sloping strip of field)3hurry, run quickly;tey fóru ønandi gjøgnum bøinthey ran quickly across the infield (in a body);øna umgad/knock about
øna2	vouchsafe sby sth(t.d.he vouchsafed me no answer); deignel.condescend to give sby sth;hvørki ønir um taðneither of them says a word about it;hann var firtin og ætlaði at øna afturímótihe was infuriated and felt like answering back;hon ønti mær ikki afturshe vouchsafed me no answer;eingin ønti eitt orðno one said one word, no one dropped a hint;hann ønti mær ikki eitt orð, hvaðna minni eina tøkkhe vouchsafed me no answer much less a thank you
øna3	be sluggish, be apathetic, be inert, be somnolent, be lethargic;sita/standa og ønabe staring vacantly/blankly
ønari	fast mower;har skalt tú síggja ønarahe's a fast mower
øni	1flock of sheep;har var øni av seyðimany sheep were there;alt ønið er komið saman her (fl.m.)the whole crowd has gathered here2swath; síódn11
øning	1síódn112eg fekk ikki meira enn eina øning í dagI tilled only one furrow today; sífora1
øningur	1hann hevði breiðan øninghe cut a wide swath; síódn112síódn12
ønnur	(stb.)síannar
ønskrast	shiver, shudder;eg ønskrist við tankan um taðI shudder at the thought of it (I shudder to think);fáa ein at ønskrastmake sby shudder
ønskriligur	dreadful, frightful, gruesome, horrible, appalling, who shuddersel.shivers with terror;eitt ønskriligt deyðaskríggj hoyrdista horrible cry of agony was heard
ønskurligur	síønskriligur
ønta	(aftur)> ikki ønta make no sound in reply;hann øntir ikkihe doesn't answer me;tað ønti ikki afturthere wasn't a bite (on the fishing ground); síøna2
ønur	1síódn11,sveipur12síódn12
ønutur	sluggish, apathetic, inert, somnolent, lethargic; be lost in one's own thoughts
øpa	(kvæð.)cry, shout
ør	scar;drongurin hevði eitt stórt ør á kjálkanumthe boy had a large scar on his cheek;(kvæð.) eg beri her ør í vangaI have a scar on my cheek; síerr,arr
øra	be, feel, turnel.become dizzyel.giddy;meg ørar/tað ørar fyri mærI am/feel dizzy/giddy; I feel faint;hesi tíðindi vóru so stór og so góð, at tað næstan øraði fyri honumthis piece of news was so fantastic that he almost felt faint;meg ørar í høvdiðmy head is (all) in a whirl;ørandidizzying;útheimurin var líka so glæsiligur og ørandi, sum hon hevði fyrigyklað sær hannthe world outside the Faroes was just as magnificient and fascinating as she had imagined;so ørandi høgt uppiat such dizzying heights
Øravík	(stn.)village on the island of Suðuroy;í//úr Øravíkat//from (the village of) Øravík;til Øravíkarto (the village of) Øravík
ørbrattur	extremely steep(t.d.steep climb//descent//hill//gradient//mountain path//rock//shore//slope); very bold(t.d.cliff; coast; headland; rock); bluff(t.d.cliff; coast; rock); sheer(t.d.cliff; coast); very sharp(t.d.slope); precipitous(t.d.cliff; rock); abrupt(t.d.ascent; slope)
ørbýttur	dense, thick, oafish, bone-headed, bloody moronic;hann er ørbýtturhe is as thick as two short planks
ørdeyði	depletion; annihilation
ørdrepa	do away with (sth//sby), kill off (sth//sby), unstock, deplete; ørdrepafuglthey have done away with the birds (living in the bird cliff);teir ørdrupu øll sílinithey have depleted all the river trout
ørdømi	sth quite exceptional, rare thing;tað er ørdømiit is quite exceptional
ørðugur	steep(t.d.climb; descent; hill; gradient; mountain path; rock; shore; slope); bold(t.d.cliff, coast; headland; rock); bluff(t.d.cliff; coast; rock); sheer(t.d.cliff; coast); sharp(t.d.slope), precipitous(t.d.cliff; rock); abrupt(t.d.ascent; slope);gøtan er smøl og ørðug at gangathe path is narrow and steep to walk;ørðugt at hyggja útavit looks very steep
ørðutur	síørðugur
ørfáir	very few (in number)
ørfátækur	very poor, destitute, poverty-stricken
ørfiskað	depleted;tað er ørfiskaðthe fisk have been depleted
ørfiski	fishing grounds without fish;tað er ørfiskithere is no fish
ørfínur	(um tráð, of thread) fine, very thin, very finely spun
ørfleyga	(bjarg.)catch (byfleyging)so many birds that there are no more left
ørg	síargur
ørga	1dry, stony and steep ground2(jarðfr.)weathered materials, detritus
ørgrynna	large number, great amount;ein ørgrynna av fiskimuch fish;ørgrynna av flúrum, flesjum og dronguma large number of sunken rocks, skerries and high projecting rocks/sea stacks
ørgrynni	large number, great amount;tað var ørgrynni av fiskithere was much fish;tá var ørgrynni av longu at fáain those days there was plentiful of ling to catch
ørgutur	steep and stony;har er so ørgut at gangawalking there is difficult because it is steep and stony
ørilsi	dizziness, giddiness;(serst. fakl.)vertigo; (av svongdo.tíl.)faintness;ein feril av ørilsibecome slightly dizzy/have a dizzy spell;ørilsi kom á hannhe felt dizzy;av tosta og máttloysi var ørilsi komið á teir flestumost of them were faint with thirst and exhaustion
ørin	(stb.)dizzy, giddy;eg eri so ørinI feel dizzy
ørindadrongur	errand boy, messenger boy
ørindaferð	(gl.)business trip; ørindaferðtil Havnara business trip to Tórshavn
ørindagenta	errand girl, messenger girl
ørindaleysur	without a (genuine) errand;tú kemur ikki ørindaleysurwhat brings you here?, what is your business?, what do you want?
ørindalæra	(málfr.)prosody
ørindasmiður	(niðr.)rhymester
ørindasveinur	(niðr.)henchman
ørindi	1(t.d.fara til handils) errand; (við serstøkum endamáli,eis.)business(t.d.what's your business here?);fara eitt ørindigo on an errand;gera sær ørindifeign an errand;ganga ørindirun errands (for sby);reka ørindirun errands;hvat ørindi/hvørji ørindi hevði hann?what did he want?;hvat hevur tú í ørindum/hvat eru ørindi tíni?what brings you here?, what is your business?, what do you want?;(orðt.) hundar reka annans ørindi(of servile, cringingel.obsequious persons);seta í ørindiput into verse, versify2(við boðum) message3(sum verður gjørt fyri annan) commission(t.d.I always have many commissions for my friends when I go to town);reka ørindihave commission for sby4stanza(t.d.the Spenserian stanza; a poem in three stanzas; a stanza of eight verses); verse(t.d.sing the first verse of a song)
ørindisfótur	(bókm.)(metrical) foot
ørindislag	(bókm.)metre
ørindisleysur	without a (genuine) errand;hann er ikki ørindisleysur, ið úti gongur í dag í hesum ovurveðrinumhe who is out today in such weather must be out on an urgent business;tygum munnu ikki vera ørindisleysurwhat brings you here, sir?
ørindisregla	(bókm.)line, verse;seksføtt ørindisreglahexameter
ørindreki	errand boy, messenger boy
ørk1	(bíbl.)Noah's Ark
ørk2	síark
ørkelma	(stb.)síørkymla
ørkvisin	(sj.)síerkvisin
ørkymbla	síørkymla
ørkymla	1disturb, alarm, frighten, scare;ikki loysir seg at ørkymla fuglinit would be wiser not to disturb the birds;so vist fór óeydna at leggjast á húsið, um hann ørkymlaði dvørginif he disturbed the dwarf, his house would for certain experience much misfortune;úthurðina hevði hann læst, nú vildi hann ikki verða ørkymlaður av nøkrumhe had locked the front door because he did not want to be disturbed by anyone;ymisk brot vórðu koyrd burturúr, uttan at søgan varð ørkymlaðsome passages had been cut out without disturbing the general impression of the story;eg eri so ørkymlaður, at eg einki veit til mínI am so confused that I feel completely at a loss2provoke, tease, annoy, irritate;heppin var hann at venda sær við einum ørindi, um nakar ørkymlaði hannhe was quick with repartee in rhyme if anyone provoked him3irritate;ikki ørkymla sáriðdon't irritate the wound;sandkorn kundi koma inn í øðurnar og ørkymla kjøtiðgrains of sand could find their way into horse mussels and thus irritate the flesh
ørkymlaður	flustered, confused; upset, perplexed, puzzled, irresolute, at a loss (as to what to do); bewildered; non plussed;hann var ørkymlaður (eis.)he could not make up his mind as to what to do
ørkymlingarálop	(herm.)harassing raid, nuisance raid
ørkymra	(stb.)síørkymla
ørlamin	lame
ørligur	1rather crazy, insaneel.mad; not be all there(t.d.he is not all there), not be (quite) right in the head(t.d.he is not [quite] right in the head)2refractory, unruly; intractable; fractious, unmanageable, ungovernable; naughty, difficult(t.d.a difficult temperament), awkward(t.d.an awkward temper); ørligurvið brennivíniangry when drunk;kúgvin er nakað ørligthe cow is refractory
ørlítil	extremely small, tiny, diminutive, tiny wee (little), minute,(niðr.)puny
ørlívis	íosb.sumtil ørlívisreceive a fatal/mortal(t.d.wound);sláa/skera/stinga seg til ørlívishurt//cut//jab oneself mortally
ørlættur	extremely light, fluffy
ørm	síarmur2
ørmaktast	become powerless, impotent, weakorfaint;hann ørmaktaðist, linkaði og fór at ræðasthe felt faint, his courage was failing and he began to be more and more apprehensive;vera um at ørmaktast av iva og óttafeel almost paralysed by misgivings and fear
ørmegin	powerlessness, impotence, helplessness; ørmeginer á honumhe feels impotent
ørminnast	remember vaguely, have a faint recollection of; ørminnastum e-thave a faint recollection of sth
ørminni	dim recollection
ørminning	dim recollection;hava eina ørminning um e-thave a faint recollection of sth
ørmum	síarmur1
ørmundarhús	íosb.sumeta e-n út á ørmundarhús/út av ørmundarhúsieat sby out of house and home;tey hava etið seg út á ørmundarhústhey have squandered/wasted/frittered away their money;fara á ørmundarhúsbe impoverish, lose everything
ørmøri	(stb.)síermøri
ørn	1(fugl.)eagle(Aquila); velbrún ørnbooted eagle(Hieraaetus pennatus); (tilt.) yngjast sum ørninnot show/look his//her age2(fl.m., niðr.)termagant, fury, harpy,(tlm.)crow, bitch, battleaxe;Beinta hevur als ikki verið tann ørnin, ið hon hevur verið søgd at veraBeinta has been stigmatized as a teermagant but much seems to show that she wasn't at all as bad as people sayHieraaetus pennatus ©Muchaxo
ørnar-	(óregl.)síarnar-
ørnut	like a fury, like a virago, bitchy;hon er so ørnutshe's bitchy/a bitch
øroygdur	rolling one's eyes;hundurin stóð púra øroygdur av torunithe dog was rolling its eyes in fear of the rumbling of thunder
ørræddur	scared stiff, dead scared, in a blue funk(t.d.he is in a blue funk at the prospect of being found out)
ørs	(kvæð.)horse;hann settist á ørsið stinnahe mounted his strong horse;eg bjóði fyri hann ørsini sjeyI offer seven horses for it
ørska	confusion, bewilderment; delirium, deliriousness; distraction;tala í ørskube delirious, be wandering in one's mind, be light-headed, rave;eyguni leita í ørsku (skaldsk.)his//her eyes look in bewilderment;í ørsku segði hann henni tað, ið lá honum á hjartain distraction he told her what he had on his mind
ørskapur	madness, insanity; wildness, savagery, savageness, ferocity;hatta er ørskapurit's an act of madness, it is sheer madness, it is the height of folly
ørskrast	síønskrast
ørskusæla	ecstasy, rapture
ørskusælur	ecstatic
ørskutala	confused talk
ørsmákrystallutur	(jarðfr.)microcrystalline
ørsmáur	1very small, tiny, diminutive2(jarðfr., lívfr.) microscopic(t.d.organism)
ørstjala	steal everything
ørstuttur	very short
ørtystur	extremely thirsty
ørur	1not quite right in the head; crazy;(tlm.)dotty, daft; nuts, crackers;tú manst vera ørur!you must be crazy!;tá ið tað øra lagið er á honumwhen he is in that crazy mood2mad, insane, out of one's mind, mentally deranged; ørurí høvdinumbe out of one's mind;hann hevði feril av at vera ørur í høvdinum upp ímillumhe was periodically insane;hann vasaði sum eitt ørthe was crashing about like a madman3foolish, stupid, imprudent, rash, injudicious; reckless;at finna upp á slíkt er ørtit is foolish/madness to do a thing like that4(sj.)dizzy; faint;eg gerist ørur av hesum ganginumthe noise makes me feel dizzy5not horizontal, slanting;steinurin er/liggur so ørurthe stone is slanting
ørv	arrow
ørvadriv	(kvæð.)shower of arrows(GG:arrows rained down on their heads)
ørvagarpur	(skaldsk.)archer, bowman
ørvahúsi	quiver
ørval	síørvald
ørvald	abundance, glut, large number, great amount; ørvaldav fiskia lot of fish;ørvald av fuglilarge number of birds;ørvald í brimimuch surf;ørvald í kavaa lot of snow
ørvali	síørvald
ørvarendi	(stb.)íosb.sumkomin á ørvarenda1in a bad way, poor, needy2run out of sth, out of stock, be empty, bare, lacking in, used up, consumed
ørvaroddur	1arrowhead;hvassur ørvaroddursharp arrowhead2spike on a staff
ørvarsterkur	(gl.)very strong
ørvekraður	síovvekraður
ørvillur	desperate, in despair;hon var yvirtikin av ræðslu, eini ørvillari angistshe was overwhelmed by terror, by a mortal fear
ørvingur	person at//from (the village of) Øravík (on Suðuroy)
ørviti	mental confusion, mental derangement;nú er rætta ørvitið á bróðurmy brother's behaviour is rather strange these days (at present);í ørviti av náttarvekri og overvingbe mentally confused from exhaustion;vera í ørviti1be confusedorderanged, be mentally deranged;tú ert í ørviti!you must be mad (having done such a silly thing)2(um gomul fólk, of old people) be confused;ganga í ørviti1walk in a confused way; walk in one's sleep, sleepwalk2be drunk for a (long) period of time, be on a binge;tosa í ørvitibe delirious, be wandering in one's mind, be light-headed, rave;drekka seg í ørvitidrink so much (alcohol) that one becomes fuddled;leita seg í ørviti eftir e-mlook high and low for sth without finding it;eg verði í ørviti av tæryou drive me mad/crazy, you drive me out of my senses;hon gjørdi hann næstan í ørviti (tlm.)she almost drove him round the bend
ørvitigur	disturbed, confused
ørvitisfiskur	1(during the killing of pilot whales) wounded and frantic pilot whale2disturbed, confused person; crank;tín ørvitisfiskur!you fool!
ørvitiskleppur	(stb.)síørvitisknokkur
ørvitisknokkur	disturbed, confused person; crank
ørvitisligur	1who is usually a little confused, whose memory is vague;hann er ein ørvitisligur og órøkjutur maðurhe's both confused and careless2[sumhj]ørvitisligameaninglessly, senselessly
ørvitispolitikkur	(stjm.)irresponsible policy
ørvitisskalli	síørvitisknokkur
ørvitisskapur	confusion, vagueness; folly
ørvitisskøltur	síørvitisknokkur
ørvitistos	confused talk, rambling
ørvitistvætl	confused talk, rambling
ørvitisverk	something done in madness, (piece of) folly, act of madness
ørvitri	íosb. í ørvitriconfused, deranged
ørvitugur	disturbed, confused
ørvur	síørv
ørvvaksin	(plfr.)sagittate;ørvvaksið blaðsagittate leaf
øs	(stb.)síøsi
øsa	stir up(t.d.the mob; public feeling against him); incite, incense, egg on; (kynsliga) excite; (arga) irritate, tease(t.d.a dog); (gera firtnan) exasperate, infuriate; øsa(e-n) upp1infuriate sby2make sth groworrise;regnið østi áirnar uppthe rain made the rivers grow;øsa seg upp/øsast uppwork oneself up, build up steam, get steamed up,(tlm.)take on;øsa seg upp í skúmwork oneself into a temper;hann østi seg upp um taðhe was incensed by it;sjógvurin østist uppthe sea became rough;øsandiexciting
øsaklútur	(stb.)síbringuklútur
øsband	1bonnet string;loysa øsbandiðuntie the bonnet string2(á ríðingarrossi) martingale
øsbein	(óregl.)síóstbein
øsgrá gjør	(fugl.)red-necked grebe(Podiceps grisegena)(Boddaert, 1783)© Andrew A. Reding
øsgulur riðispurvur	(fugl.)Ortolan bunting(Emberiza hortulana)(Linnaeus, 1758)©Sergey Pisarevskiy
øshvít gás	(fugl.)Canada Goose(Branta canadensis)(Linnaeus, 1758)© iStock
øshvítur	(seyðal.)with white throat;svartur//gráur//morreyður øshvítura black//grey//reddish-brown sheep with white throat;(fugl.)Canada Goosesíøshvít gás, white-throated sparrowsíøshvítur spurvur
øshvítur spurvur	(fugl.)white-throated sparrow(Zonotrichia albicollis)(Gmelin, JF, 1789)©Dave Inman
øsi	(likam.)part of the neck from chin to collarbone;undir øsi(num)under the chin
øsihvítur	(seyðal.)síøshvítur
øsing	agitation, incitement, stirring up; excitment, stimulation; resentment;tað var øsing manna millumpeople were agitated;alt var í øsing í bygdinithe villagers were stirred up;til øsingin fór at leggja seguntil the agitation died down;politisk øsingpolitical agitation;loypa øsing í fólkincite people;hon vakti ikki øsing og girndir í honumshe didn't arouse desire and lust in him
øsingarevni	irritant, stimulant; (kynsligt) aphrodisiac
øsingarfundur	tumultuousel.disorderlyel.rowdy meeting
øsingarmaður	agitator, demagogue; propagandist;hann er eingin øsingarmaðurhe's not a demagogue; eis.gessari
