ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
óbati	harm, detriment(t.d.to the detriment of sby//sth);tað var mær til óbatait was harmful to me
óbeinamaður	disobliging man; síeis.óbeinasamur
óbeinasamur	disobliging, unobliging, unhelpful, unaccomodating, uncooperative;óbeinasamir og tvørir vóru teirthey were disobliging and cross
óbeinleiðis	indirectly, in a roundabout way;beinleiðis og óbeinleiðis ávirkan á borgararnardirect and indirect influence on the citizens;tollur og nýtsluavgjøld eru óbeinleiðis skattircustoms duty and consumption tax are indirect taxes;óbeinleiðis talaindirect speech;óbeinleiðis lýsingindirect description;óbeinleiðis prógv (løgfr.)(piece of) circumstantial evidence
óbeinur	1winding, twisting; óbeinurvegura winding road2wrong(t.d.address; calculation; expression; opinion); incorrect(t.d.account; assertion; belief; description; expression; spelling; statement; translation); erroneous(t.d.belief; doctrine; opinion); false(t.d.belief; doctrine; news; interpretation); mistaken(t.d.idea; opinion); faulty(t.d.construction of a sentence; expression; reasoning); improper(t.d.put sth to (an) improper use; use a word in an improper sense)tað er óbeint at siga tað soleiðisit is incorrect to put it in that way;tað var óbeint gjørt móti føroyingumit was a wrong thing to do to Faroemen3(ósannur) untrue, untruthful, incorrect(t.d.account; statement)4tilted, sloping5[sumhj]óbeint; wrongly, incorrectly, erroneously, falsely;hann viðgongur, at hann hevur gjørt óbeinurhe admits that he has done wrong;(kvæð.) óbeinur hevur tú stevntyou have chosen the wrong path/way
óbekvemmur	(gl. tlm.)clumsy
óbendandi	1inflexible(t.d.determination); rigid(t.d.principles); intransigent, unbending(t.d.character); unyielding(t.d.unyielding in one's principles; unyielding will); unflinching, uncompromising(t.d.his uncompromising rectitude); adamant(t.d.I implored him to change his mind, but he was adamant); obdurate(t.d.his obdurate refusal to cooperate); stony(t.d.refusal);(tlm.)glassy(t.d.determination)2(málfr.)indeclinable, uninflected
óbendiligur	strong, unyielding, persevering; óbendiligurforvitinskapurinsatiable curiosity;ein óbendiligur viljiimmovable resolution; síeis.óbendandi1
óbendur	1unbent, uncurved, unbowed2(málfr.)uninflected
óbiðin	1uninvited2unasked, unsolicited(t.d.assistance, interference); volunteer, spontaneous3hjwithout being asked, spontaneously, of oneself, on one's own initiative;hann legði seg óbiðin upp í trætunahe interfered in the dispute unasked
óbindandi	non-committal(t.d.give a non-committal answer); not binding(t.d.the contract is not binding on us); without obligation; subject to confirmation;óbindandi(óformligar)samráðingarinformal talks;óbindandi tilboðthe offer is not binding, the offer is subject to confirmation
óbitin	(umt.d.haga, of pasture) on which sheep have not grazed;hvør bøkkur liggur óbitinevery sodel.bit of turf is untouched
óblandaður	unmixed, unblended; (reinur) pure, unadulterated; (um málm) unalloyed, pure
óblástur	not blown up;ballónin er óblástthe (toy) balloon is not blown up
óblendin	immicible
óblíðskapur	inhospitableness
óblíður	1unfriendly (towards)(t.d.an unfriendly tone); unkind(t.d.it is very unkind of you); ungracious(t.d.it was ungracious of him to refuse; an ungracious reception); brusque(t.d.tone); inhospitable;síðan skildust teir í óblíðumthey parted in anger2unpleasant, uninviting, forbidding;rúmið var kalt og óblíttthe room was cold and forbidding
óblóðgaður	(fisk.)síblóðgaður2
óblýggjaður	unleaded;óblýggjað bensinunleaded petrol
óboðin	1uninvited;hvar skal óboðin sita?where do you seat an uninvited guest?;niðarlaga skal óboðin sitaat the bottom of the table is the uninvited guest's place2unasked, unsolicited(t.d.assistance, interference); volunteer, spontaneous3[sumhj] without being asked, spontaneously, of oneself, on one's own initiative
óborgaraligur	unconventional
óborin	1unborn;óbornar ættirunborn generations, (tíðum) generations unborn, generations to come, future generations2too heavy to be carried;hasin steinurin verður óborinno one can carry that stone
óboyggiligur	indomitable(t.d.courage, energy, pride); unconquerable(t.d.courage, nation);hjóboyggiliga
óbótagerð	evil act(ion), misdeed, outrage, crime, misdeed, atrocity;her er gjørd ein óbótagerð, sum seint verður afturbøttan outrage has been done which will take a long time to remedy
óbótaligur	irreparable(t.d.damage; injury), irretrievable, irremediable, irreversible;hetta hevur volt óbótaligan skaða fyri fólk og landthis action has caused irreparable damage to the state and the people;hjóbótaliga
óbótamaður	criminal;(løgfr.:grovt brotsverk) felon; (illgerðarmaður) evildoer, malefactor
óbótaverk	outrage, crime, misdeed, illel.evil deed, atrocity, meanness, shabbiness, caddishness
óbreiddur	óbreidd song unmade bed
óbrigdil	(stfr.)constant
óbrigdiligur	unchangeable, unalterable;við óbrigdiligum trúskapiunfailing/undeviating/unswerving fidelity/loyalty; síóbroytiligur
óbrotin	síóslitin
óbroytandi	unchangeable; síóbroytiligur
óbroytiligur	1(sum kann ikki broytast) unchangeable, immutable, unalterable(t.d.the unalterable laws of the Universe)2(sum verður verandi óbroyttur) invariable, unchanging, unvarying, changeless, constant;óbroytilig regla (eis.)a hard and fast rule; unchanging human nature3(stfr.)invariant4[sumhj]óbroytiliga; immutably, unalterably, invariably; constantly
óbroyttur	unchanged(t.d.market; prices); unaltered(t.d.the building is unaltered);(stjm.)unamended(t.d.pass a Bill unamended), without amendment(s); (um valúrslit) no change(t.d.Oxford: no change);hesar reglur eru óbroyttarthese rules remain unaltered;vera óbroytturremain unchanged(etc); lata okkurt verða verandi óbroyttleave sth unaltered(el.in status quo);støðan er óbroyttthe situation is unaltered/shows no change;hjóbroytt
óbrúkiligur	unserviceable(t.d.rains have made the airfield unserviceable); unfit for use, useless(t.d.this hammer is quite useless);(tlm.)no good;Sclapped-out;gera óbrúkiliganrender unserviceable/unfit for use
óbrúktur	síónýttur
óbrynjaður	unarmoured(t.d.cruiser)
óbrýndur	unwhetted, unsharpened;(fl.m.)unpolished
óbræddur	untarred;tjøraðar innan, uttan vóru tær óbræddarthe inside was tarred the outside (was) untarred
óbundin	1free, independent; (of bird catcher) with no rope round one's waist,hann var farin óbundin niður í bøkkarnarhe had climbed down to the ledge with no rope around his waist;tosið var rættiliga óbundiðthe conversation was quite free/informal2(málfr.)indefinite;navnorð kunnu vera bundin el. óbundinnouns can be definite or indefinite;óbundin fornøvnindefinite pronouns3(bókm.) óbundið málprose;óbundin yrkingprose poem
óburður	abortive foetus
óburin	(bíbl.)(um konufólk) barren, sterile;konan var óburinthe woman was barren
óbúgvin	1not ripe for, not ready for(t.d.the plan is not ready for execution; the time is not ripe for action);málið er enn óbúgvið at leggja fyri fundin2(eis.um fólk) immature(t.d.mind; project; literary work);(serst.um plantur, dýr, fuglo.s.fr.)unripe(t.d.corn; fruit; mind; scheme); infantile
óbygd	uninhabited, unoccupiedel.uninhabitable place;í óbygdumin uninhabited places, in the wilderness, in the wilds
óbygdur	uninhabited, unoccupied, empty;so stór oyggj hevur ikki ligið óbygdit is inconceivable that such a large island has been uninhabited
óbýli	wilderness, waste(s), wilds(flt); flakka úti íóbýli roam/rove/ramble about in the wilderness
óbýttur	not divided into partsel.portions, undivided;drangurin er óbýttur og hoyrir tí til allar fjøruti merkurnarthe rock is not divided into portions and thus it belongs to all the 40merkur(símørk13) (of the village);hetta verður tikið av óbýttumthis portion is taken out before the division/partition takes place;eftir fugli í óbýttum bjørgumgo bird catching on bird cliffs which belong to the village(s) as joint property;mítt og títt er óbýttour property is joint property
óbægurt	íosb.sumtað hevði ikki verið óbægurtit would not have been undesirable, it would have been welcome;ikki óbægurtit is not inconceivable/unthinkable
óbøtandi	irreparable(t.d.damage; injury); irretrievable, irremediable, irreversible
óbøtiligur	irreparable(t.d.damage; injury); irretrievable, irremediable, irreversible;óbøtilig skommirreparable disgrace
ódagfestur	undated(t.d.letter)
ódagi	quarrel, disagreement, dispute, clash, controversy; ódagikom ímillum prestin og fútanthe clergyman and the sheriff were at loggerheads;har eru altíð ódagar millum bøndurnarthe farmers always quarrel/fall out in that place;teir vóru komnir til/í ódagarthey had fallen out/quarrelled with one another
ódagur	(sj.)síódagi;koma til ódag/ódagsfall out, quarrel
ódáð	crime, outrage, atrocity, misdeed
ódálkaður	unblemished, immaculate, spotless; unsullied, undefiled, pure
ódámaður	(of clothes) muddy;plaggið er ódámaðthe cloth looks muddy
ódámligur	unpleasant, objectionable, unlikeable, disagreeable, not nice; unsavoury(t.d.incident; reputation); ódámligurgestur varhe was an unpleasant guest//visitor;ódámlig hugsanunpleasant way of thinking/thought;ódámlig politisk stevnaobjectionable political ideology;ódámlig luftsky that betokens bad weather
ódámur	dirty colour
ódemokratiskur	undemocratic
ódeyði	1(um seyð, of sheep)fara í ódeyðadie by accident (not illness or undernourishment)2maður fer í ódeyðaa man falls/perishes/is killed from a fall (in the bird cliffs);líða/doyggja ódeyðafall (down) in the mountains (in the bird cliffs)
ódeyðileiki	immortality
