e	(eis. tónl.)E, e
eftir	1viðhvnf(um tíð) after(t.d.after his death; dinner, the war)2(aftan fyri) after, behind(t.d.he came walking after(el.behind) the rest of them)3(næst eftir) after, next to(t.d.next to music he loved poetry best)4(sum eftirfylgjari) after, in succession to(t.d.James II reigned after(el.in succession to) Charles II)5(sambært, í samsvari við) according to(t.d.dress according to the season; be paid according to the work one has done; according to my instructions); by(t.d.it is 6 o'clock by my watch; by request; by order); from(t.d.from what I have heard he is a scoundrel; repeat sth from memory)6(boðandi frá ætlan) for(t.d.send for a doctor; run for help; telephone for a taxi)7(roknað eftir, grundað á) by(t.d.sell sth by weight)8(hermandi, eftirgerandi) after(t.d.after a model); from(t.d.drawn from real life)9[ísamb.viðn]eftir hesi aðalregluaccording to this principle, on this principle;dag eftir dagday by(el.after) day;eftir evnumaccording to ability;eftir míni fatanin my opinion, to my mind, as I see it;benda eitt orð eftir fyrstu bendingdecline a word according to the first declension;senda boð eftir honumsend for him;eftir illveður kemur góðveðurafter rain comes sunshine;(fl.m.)every cloud has a silver lining;tekna eina striku eftir einari linjáldraw a line with a ruler, rule a line;eftir míni meiningin my opinion, to my mind, as I see it;eftir midnáttafter midnight;eftir tí mynstrinumafter that pattern;tekna eftir náttúrunidraw from nature;eftir hesi regluaccording to this rule;postverkið rindar endurgjald eftir teimum á síðu 8 nevndu reglum (eis.)the Postmaster General pays compensation subject to the rules stated on page 8;eftir skattpost-tax, after deduction of taxes;eftir eini skipanaccording to a system;húsini vórðu smíðað eftir hansara tekningumthe house was built to his design;eftir umstøðunumas the case may be; according to circumstances; according to the nature (, merits) of the case;gjørt eftir verki ið er tilbased on an existing work;gera eftir ynskimeet sby's wishes, be satisfactory10[ísamb.viðs]arvaeftirinherit from; be sby's heir;bukka seg eftir tístoop to pick it up;hann eitur Jónatan eftir pápabeiggjanumhe is called Jonathan after his uncle;havaeftirhave left (over)(t.d.I have twenty pence left);hann hevur tvey ár eftir (t.d.av tænastutíð) he has another two years to go(el.to serve);einasta vónin ið eftir er (eis.)our only (el. our one) remaining hope; the only(el.the one) hope still left to us;eftir havi eg bara at takka tærit only remains for me to thank you;hatta hevur hann eftir pápanhe got(el.inherited) that from his father, that is an inheritance from his father;lat hurðina aftur eftir tær!shut the door after you!;lurtaeftirlisten to sby;koma eftir(í raði) come next to, follow, succeed; (varnast) find out; (læra) pick up(t.d.I soon picked it up); (at heinta) come to fetch; come for(t.d.the book);eg komi eftir tær!I'll be after you!;læra eitt eftir eini bóklearn sth from a book, get sth out of a book;ripa hurðina í eftir e-nslam the door behind sby;rópaeftir honumshout after him(t.d.he shouted after him that; he had forgotten his hat);seta klokkuna eftirset the watch by;sig tað eftir mærrepeat(el.say) it after me;taka eftircatch at; grab at; (at biðja hann koma) shout for him;skjótaeftirshoot at, fire at;skifta eftirvary according to;sláa eftir e-maim a blow at sby;veraeftir; enn eru tíggju minuttir eftirthere are still ten minutes left; there are still ten minutes to go11[ísamb.viðhj]ein fyri og annar eftirone after the other;nú var eftir atnow it remained to.;hvørki fyrr ella eftirnever since; neither sooner nor later;dagin eftirthe next day;árið eftirthe year after;standa eftir á berumbe destitute, be left stranded;(tlm.)be high and dry12[íyms.samb.]ein eftir annanone after another(el.the other)(t.d.they came one after another(el.the other)); in succession(t.d.she had three admirers in succession);eftir atafter;alt eftiraccording to(t.d.the temperature varies according to the altitude); depending (up)on(t.d.depending upon the rate of exchange);alt eftir hvussuaccording as(el.depending on whether)(t.d.the temperature varies according as(el.depending on whether) you go up or down);eftir tí vit hava frætt hevur Týsklandwe learn that Germany has; according to information received Germany has;eftir tí eg frættifrom what I hear;eftir at hann var farinafter he had gone, after he went;eftir at eitt ár var umliðiðafter a year (had passed);frítt eftir NNafter NN; with apologies to NN;eftir honum! catch him!;hvør eftir annanone after another; in succession;3 dagar hvør eftir annan3 days running, 3 days in succession, on 3 successive days;eftir tí ið søgan siguraccording to a legend; legend has it that;eftir tí ið hann siguraccording to him;eftir at hava skrivað, eftir at hann hevði skrivaðafter writing, after he had written, having written;eftir tað ið hent erafter what has happened
eftir-	post
eftiransan	síumsjónogtilsjón
eftiransin	careful; watchful; thrifty
eftiransing	síeftiransan
eftiransni	care(fulness); watchfulness; thrift
eftiransur	superintendence, supervision, control
eftirapari	imitator; copy-cat;(tlm.)wannabe, wannabee(t.d.Madonna's appeal to wannabes rest)
eftiraping	aping, mimicking, imitation
eftirá	í osb: liggja eftirá succumb (to); be overcome (by);hann arbeiðir, so at hann liggur eftiráhe'll work himeself to death;(fl.m.)die, be left on the field of battle
eftirbati	(lækn.)convalescence(t.d.you need four to six weeks' convalescence), recuperation(t.d.it was a period of rest and recuperation)
eftirbátur	(fl.m.)vera eftirbátur lag (behind)
eftirblóman	second blossoming; reflorescence;(fl.m.)Indian summer, reflorescence, resurgence
eftirbløðing	(lækn.)secondary haemorrhage; (eftir føðing) post-partum haemorrhage; (eftir skurðviðgerð) post-operative bleeding
eftirbrestur	repercussion; backlash
eftirburðarskeið	(lækn.)placental period(el.stage)
eftirburður	afterbirth, placenta
eftirbúning	after-ripening; ripening in store
eftirbøtingur	(lækn.)convalescent
eftirdagfesta	postdate
eftirdagfesting	post-dating
eftirdømi	example, instance, precedent, illustration, model, pattern
eftirdøttur	1(sum kemur ov seint) late-comer2(sum ikki megnar at fylgja við) straggler, laggard, slowcoach, dawdler;(tlm.)trundler3(nógv yngri systkin) afterthought;(fl.m., tlm.)fallout(t.d.fallouts from the Pre-Raphaelite Brotherhood)
eftirepli	[potato dug up in a potato field from previous year's potato crop]
eftirfarandi	1reliable, truthful(t.d.person)2(um tíðindi) reliable, authentic, hard(t.d.hard news (, information))3(um endurgávu) faithful(t.d.rendering, translation);gera eina eftirfarandi mynd avgive a faithful picture of
eftirferð	síeftirburður
eftirfesti	(málfr.)suffix; eis.eftirskoyti
eftirfestur	(málfr.)suffixed
eftirfylgd	consistency(t.d.the book lacks consistency);trot upp á eftirfylgdinconsistency
eftirfylgi	síeftirfylgja
eftirfylging	imitation;Kristi eftirfylgingthe Imitation of Christ;dømi til eftirfylgingarexample (for imitation)
eftirfylgja	1consequence, result2(lækn.)sequela(t.d.scarlet fever often has deafness as one of its sequelae)
eftirfylgjandi	following(t.d.the following lines); ensuing(t.d.the ensuing battle); succeeding(t.d.the succeeding events)
eftirgangari	laggard
eftirgáað	sígáa eftir
eftirgáan	observation
eftirgáva	remission(t.d.of debt, of a penalty, of a sentence, of taxation)
eftirgera	ape, copy(t.d.he tried to copy Gainsborough's style); imitate, make imitations of, simulate; plagiarize; (við sviki í hyggju) fake, counterfeit;sígera eftir
eftirgerð	1aping, copying2imitation, replica, copy, counterfeit;(niðr.)fake; plagiarism; (av gimsteini) paste stone; (av málningi) copy; pastiche;(tónl.)imitation3(teld.)emulation
eftirgerðarorsøk	(handilsm.) (eis.)eftirgerðartilelvingbandwagon motivation
eftirgeva	sígeva eftir
eftirgeving	indulgence, yielding, compliance, permissiveness; remission(t.d.of debt, of a penalty, of a sentence, of taxation)
eftirgivin	sígeva eftir
eftirgjalding	additional(el.supplementary) payment; payment in arrears, back pay(ment); (ES) corrective payment
eftirgjørdur	counterfeit,eftirgjørdar vørurcounterfeit articles, imitations; imitation(t.d.an imitation pearl, imitation marble, imitation mahogany; a bad(el.poor) (, good) imitation of a Chippendale chair); artificial(t.d.flowers, legs, pearls); (um gimstein) paste(t.d.diamonds); (falsaður) fake, faked(t.d.a fake Rembrandt; fake(d) antiques); (brotsligt: um skjal, undirskrifto.s.fr.)forged(t.d.the signature is forged);eitt eftirgjørt eintak (eis.)a replica;(niðr.)sham(t.d.a sham antique); mock(t.d.mock Gothic); synthetic(t.d.synthetic indigo, rubber)
eftirgloyma	spinster, old maid
eftirgloymingur	old dodderer, poor old devil
eftirglóð	afterglow
eftirgrein	comment (sum ískoyti aftan á tekst)
eftirgróður	after-growth, aftergrass, aftercrop
eftirhald	1(um løn) stoppage2condition, precaution, restriction, exception;við tí eftirhaldi aton condition that
eftirhaldsrættur	(løgfr.)lien, right of retention;eftirhaldsrættur í samb. v. vørur(possessory) lien
eftirherming	aping, copying,imitation, mimicking
eftirhildin	síhalda eftir
eftirhyggin	(sj.)careful, conscientious
eftiri	left,hetta sum eftiri erwhat is left
eftirí	í osb: tað sang el. dundi eftirí it resounded, (echoed, rang);einki er eftiríthere is nothing left, it is empty
eftirístíð	(jarðfr.) post-glacial period
eftirístíðar-	(jarðfr.) alluvial-
eftirkannan	síeftirkanning
eftirkanning	(lækn.)check-up (examination)
eftirkembingar	(lækn.)after-effects
eftirkomari	1descendant, offspring, progeny;ein eftirkomari hjá NNa descendant of NN;hann doyði og hevði ongar eftirkomararhe died without leaving any descendants;(løgfr.)he died without issue;okkara eftirkomararour descendants; posterity2(í starvi) successor(t.d.his successor in the office; his successor in the chief command);hann er eftirkomari Smithshe is successor to Smith, he has succeeded Smith
eftirkrav	1(gjald tá ið vøra verður latin) cash on delivery;eftirkrav £1£1 COD(t.e.cash on delivery);senda vørur við efterkravisend goods COD(t.e.cash on delivery);upphæddin verður rindað við eftirkravithe amount will be collected on delivery;við eftirkravi av upphæddcharging the amount forward;eftirkrav av farmagjaldicarriage forward2(løgfr.:eyka krav) additional claim
eftirkravsavgjald	COD charge
eftirkravsseðil	COD note
eftirkravsupphædd	COD(el.trade) charge
eftirkrígs-	post-war(t.d.the post-war period, post-war prices)
eftirkrígstíðin	the post-war era
eftirkunning	debriefing; smb.fyrikunning
eftirlagan	adaptation(t.d.the adaptation of our school system to modern requirements); adjustment(t.d.the adjustment of wages to the price level); accommodation(t.d.arrange the accomodation of my plans to yours); readjustment;(lívfr. og sálarfr.) adaptation(t.d.to the environment); (ílending) acclimatization
eftirlagdur	síleggja eftir
eftirlátin	indulgent, yielding, accommodating; compliant;(serl.moralskt) permissive;eftirlátin pápian indulgent father;eftirlátin politikkurpolicy of concessions, (policy of) appeasement;eftirlátin taktikkuryielding tactics;vera eftirlátin mótvegis e-mindulge sby,be indulgent towards sby
eftirlátinskapur	síeftirlæti
eftirlátligur	síeftirlátin
eftirlátur	convulsive laughter
