d	(eis. tónl.)D, d
dagsskipan	sídagsskrá
dagsskrá	1(fundarskrá) agenda, (the) business of the day; order paper;fundur við hesari dagsskráa meeting to discuss the following agenda (um bert eittans mál: the following matter);fara til næsta mál á dagsskránnigo on to the next item on the agenda, move on to (the) next business;seta á dagsskránnaplace on the agenda;(fl.m.)bring up for discussion;vera á dagsskránnibe on the agenda;(fl.m.)have come up for decision;viðgera sum fyrsta mál á dagsskránniplace at the head of the agenda2(fundarsamtykt) resolution;seta fram uppskot um dagsskrámove a resolution
dagssýni	sídagræði
dagstevndur	1(um tíð) fixed, appointed,koma dagstevndan dagcome on the appointed day2hann kom dagstevnt á hvørjum árihe came on a fixed day every year
dagstíð	time of day
dagstjørna	(stjfr.)morning star
dagstovnur	day-care centre
dagstútt	sídagstøtt
dagstøtt	every day, daily
dagsverður	day's ration
dagsverk	(whole) day's work
dagsvirði	current(el.marketel.present) value;(tlm.)going rate
dagtilhald	day-care centre
dagtjóvur	idler, loafer
dagur	1day,ein daginone day; another day;nú ein daginthe other day;dag og dagliga sídagligur;allar dagaralways, ever;allan daginall day (long), the whole day;allan dagin í dagall (of) today;árla dagsearly in the day;fjúrtan dagara fortnight,(am. serl.)two weeks, fourteen days;fyrsta daginone of these days;hann er sum fyrsta daginhe is like a new man;góðan daghullo; good morning; good afternoon; (hátíðarligari) how do you do;biðja e-m góðan daggreet sby;seinna daginhardly ever2(ljós, lýsi; vit) daylight, light of day;dagurin fór fyri eygunumhe blacked out;fyrstu ferð eygu hansara sóu daginthe first time his eyes saw the light of day;halda e-m upp fyri daginhold something up to the light;fáa dagin afturcome round again3(lív, æviskeið) time,á døgum hansarain his time, while he was alive;í mínar dagarin my lifetime;eg havi aldri í mín dag hoyrt slíktI've never heard such nonsense;í gamlar dagarin the old days, in olden times;meðan hon var á døgumwhile she was alive;nú á døgumnowadays;hansara dagar eru taldirhis days are numbered;okkara dagur er ikki uppiour time has not come yet4[ísamb. viðfs]avfara av døgumdie;tað lýsir av degidawn is breaking;taka av døgumkill;taka seg av døgumcommit suicide, take one's own life, do away with oneself;mett(ur) av døgumfull of years;á1.á degiby day, by daylight, in the daytime;á hvørjum degievery day;á alljósum degiin broad daylight;hesa tíð á degnumat this time of (the) day;tað var liðið væl á dagday was far advanced;2.days, time(t.d.in Cromwell's days);á døgum hansara el. meðan hann var á døgumin his time;á okkara døgumnowadays;eftirdag eftir dagby day;dagin eftirthe following day;annan dagin eftiron the second day;fyrifyri dagbefore dawn;lýsa fyri degidawn, break (of day);nú tynnir fyri degidawn is breaking;koma fyri ein dagcome to light, turn up, be disclosed;fáa fyri ein dagbring to light, bring out, elicit;leggja fyri dagindisplay, manifest, show;frádag frá degiel.dag undan degiday by day;frá tí degiever since that day, ever since then;frá og við tí degifrom that day on;(løgfr.)on and after that day;frá degi til dagsfrom day to day, day by day, from one day to the next;frá e-m degi til annanovernight(t.d.public feeling changed overnight);liva bara frá e-m degi til annanlive from day to day, live from one day to the next; (fíggjarliga) live from hand to mouth;íí dagtoday;(skald.)this day; (nú á døgum) today, at the present time, nowadays;hvør dagur er í dag?what is today?;í dag er leygardagurtoday is Saturday;tann dag í dagto this very day, even today;eg skal gera tað tann dag í dagI will do it this very day;í dag fyri tjúgu árum síðantwenty years ago today;í dag fyri átta døgum síðana week ago today;til dagin í dagup to(el.till) this day, till(el.up to) the present, till now, until now;í dag um eitt ára year from today, this day twelvemonth;við postinum í dagby today's post;í døgunum frá fimta til tíggjunda maiduring the period from May 5 till May 10;í mínar dagarin my lifetime;í gomlum døgumin (the) days of old, in former times, in the old days, in olden times;í mínum ungu døgumwhen I was young(er), in my young days;í døgum sum komain the days to come;ímillumtaka dagar ímillumdiscriminate between(t.d.the Government does not discriminate between nationals and foreigners in this matter);tilfrá degi til dagsfrom day to day, day by day, from one day to the next;frá einum degi til annanovernight(t.d.public feeling changed overnight);umum daginby day, during the day, in the daytime;um dagina day(t.d.he drinks a bottle a day);eg arbeiði um dagin hesa vikuna og um náttina næstu viku (tlm.)I'm working days this week and nights next;um nakrar dagarin a few days;dag um dagday in, day out, day by(el.after) day;seinni um daginlater in the day;undandag undan degiday by day;út áút á daginlate in the morning;tað var liðið langt út á daginthe day was far advanced;viðvið deg(i)numat dawn; early in the morning;frá og við tí degifrom that day on;(løgfr.)on and after that day;til lukku við degnum!best wishes for the day!5[íyms.samb.]ein fagran dag(um fortíðina) one (fine) day; (um framtíðina) one of these days, some day;hvør dagur hevur nóg mikið í síni plágusufficient unto the day is the evil thereof;hava góðar dagarbe in clover;hann hevði ein av sínum stóru døgumhe had a field day;allan tann líðilanga dagall day long;(skaldsk.)the livelong day
dagvakt	day watch;(sjóm. morgunvakt) morning watch;hava dagvakt (t.d.um sjúkrasystur) be on day duty (, day watch)
dagverk	day's work
dala	1sink, go down, drop(t.d.the temperature (, the shares) dropped), descend, fall(t.d.prices are falling; his courage fell)2(vera í afturferð) decline(t.d.his power declined), come down, be on the wane(t.d.his fortune (, influence) is on the wane), fall off(t.d.attendances fell off); decrease;dala niðurdescend, alight;dala niður ádescend on, light on;dala skjóttfall rapidly
dalbotnur	(jarðfr.)valley floor
dalbúgvi	dalesman
dalda	1(um fólk) dawdle, idle, loaf, laze, slack2(um línu) stretch; swing(t.d.as he pushed her, she swung higher and higher)3wag,hundurin daldar við halanumthe dog wags its tail
dalfinna	(lívfr.)clitoris
daljøkul	(jarðfr.) glacial valley
dall	pealing, ringing, peal,tað síðsta dallið frá kirkjuklokkunithe last peal from the church bell
dalla	1ramble(t.d.what is she rambling on about now?)2chime(t.d.I heard the clock chime)
dalsaki	disarray(t.d.we're decorating, so everything's in complete disarray at home), tangle, mess, muddle(t.d.make a muddle of)
dalsbotnur	sídalbotnur
dalsifals	tomfoolery, fooling about(el.around), nonsense
dalsíður	laden(el.heavy) with rain
dalur	valley; (á nøkrum leiðum) dale;(skaldsk.)vale
dalverpi	small valley
dama	woman, girl
dambla	sídamla
daml	slow rowing
damla	row slowly
damm	(spæl) draughts,(am.)checkers;spæla dammplay draughts,(am.)play checkers
damma1	(gl.)lady; (í kortum) queen; (í dansit.d.)partner
damma2	play draughts,(am.)play checkers
dammborð	(spæl) draughtboard,(am.)checkerboard
dammskip	(gl., skip.)welled fishing vessel, wellboat
dammstilli	dead calm;(eis.) tað var dammstillithe sea was as smooth as a mill-pond
dammtalv	sídamm
dammur	1(demdur) pond;(am.: grunnur hylur) lagoon2(á skipi) dam
dampa	1steam(t.d.the kettle (, the wet clothes, the wet earth) began to steam)2(vera fyri dampi) steam; (urtag.) fumigate; (dampkóka) steam3(taka ráan úr)dampa klæði avair, give(t.d.the sheets) an airing4(gl.)smell, stink;síguva
dampari	(skip.)steamship, steamer, steamboat;damparin MacS/S "Mac";fara við damparago by steamer
dampjarn	(strúkijarn) steam iron
dampkamar	steam chest
dampkassi	steam box; (til bað) (Turkish) steam cabinet
dampkóka	steam, cook by steam
dampkókaður	steam-cooked
damplokomotiv	steam engine, (steam) locomotive
dampmaskina	steam engine
dampmongd	quantity of steam
dampreinsa	steam-clean
damprikin	steam-driven, steam-powered
damprúm	(í ketli) steam space, steam chest; (í baðihøll) steam room
dampskip	sídampari
dampskipasigling	steam navigation; (samband) steamship service
dampskorsteinur	(sigl.)funnel, smokestack
damptrolari	steam trawler
damptrýst	steam pressure
damptrýstmátari	manometer, steam (pressure) gauge
dampur1	1(alisfr.)vapour(t.d.condensed vapour; saturated vapour), (úr vatni serl.) steam(t.d.get up steam; at half steam);sum dampurin the form of vapour (, steam);síguva 22(sum máttur) steam3reek, smell, odour
dampur2	end of a line
dampventilur	steam valve
danadái	(plfr.)groundsel(Senecio)
danadrotning	Queen of Denmark
danakongur	King of Denmark
danastjórn	the Danish Government
Danaveldi	the Kingdom of Denmark
danda1	seesaw,(am. eis.)teeter
danda2	1swing; rock, bob up and down,(am. eis.)teeter, roll;(fl.m.) ganga dandandibe lost in thought2seesaw, play at seesaw,(am. eis.)teeter
dandakelda	síflotkelda
dandifjøl	seesaw,(am. eis.)teeter
dandisfrú	(gl.)honourable lady
dandiskur	fine, upright, honest, honourable, well-conducted, well-mannered,hann er ikki dandiskurhe conducts himself badly
dandisligur	ikki dandisligurunacceptable
dandist	(stb.)reasonable, acceptable,tað man vera so dandistit is quite acceptable;ikki so dandistnot worth while; unattractive
dandisvullur	quagmire
danditræ	sídandifjøl
danga1	(niðr., sjóm.)coffin ship, ballahoo;Sballyhoo of blazes
danga2	walk slowly
dangbukka1	sídanga
dangla	sídingla
danguldrív	í osb: ganga upp á danguldrív idle, loaf, lazeSskive, be on the skive;(am.)Slollygag
danguldríva	sídanguldrív
dangutur	1ineffective2inelegant, unsmart, not chic
dani	Dane,hon er danishe is Danish
danimaður	(gl.)man of honour,(ofta =)gentleman; (verjandi) worthy
dank	(tlm.)í osb: dríva dank sídanguldrív
dankalahov	sídankulhov
dankast	síavdankastdankast av
dankuldrív	sídanguldrív
dankuldrívari	idler, slacker, lazybones, lazyboots
dankulhov	(stb.)í osb: ganga upp á dankulhov sídanguldrív
Danmark	Denmark
Danmørk	Denmark
dansa	dance; (um ross) prance; cavort;dansa viðdance with;dansa væl (, illa)be a good (, a poor) dancer;skulu vit dansa ?shall we dance?;dansa valswaltz;dansa á línuwalk on a tight-rope;dansa á rósum(samsvarar við) lie on a bed of roses;tung(ur) at dansa við(trekur, seinur) cumbersome(t.d.bureaucracy); (trupul) hard to handle
dansandi	dancing;tey dansandithe dancers;í osb: dansandi óðurhopping mad
dansari	dancer
dansiferð	dancing tour
dansifólk	dancers
dansigólv	dance floor
dansilag	1dance tune2way of dancing
dansingarlag	way of dancing
dansióður	dancing-mad
dansiringur	circle of dancers
dansisalur	ballroom
dansistova	(public) dance hall, ballroom
dansiterandi	(tlm.)í osb: so dansiterandi óður hopping mad, off the handle
dansitíð	dancing-time
dansitónleikur	dance music
dansiveitsla	dance; (størri) ball
danska	1danicize2translate into Danish
danskari	Dane
danskklæddur	(um mann fyrr) in foreign clothes
danskleiki	Danish nationality, Danish national feeling, Danishness
danskligur	in Danish style (, manner); (pro-)Danish, Danish-minded, with Danish sympathies
danskmæltur	Danish-speaking
dansksinnaður	(pro-)Danish, Danish-minded, with Danish sympathies
dansksinni	Danishness
danskt	(málið) Danish
dansktalandi	Danish-speaking
danskur1	danskurin the Danes
danskur2	Danish
dansstova	sídansistova
dansur1	dance; (kynstrið at dansa) dancing;bjóða einari upp til dansask sby for a dance;kann eg fáa henda dansin?may I have this dance(el.this one)?dansurin gongurthe dance is on;ganga til danstake dancing lessons;ein dansur á rósum(samsvarar við) a bed of roses;treða dans (skaldsk.)tread a (stately) measure
dansur2	síoljudansur
dantalahóv	sídanguldrív
dantilára	(stb.)hang about, lounge about
dapa	squint;hann dapar eitt sindurhe has a slight squint(el.cast)
dapan	(stb.)squint, cast(t.d.she has a slight cast)
dapur	sad, joyless, melancholy, sorrowful; gloomy,eitt dapurt bragda gloomy air;framtíðarútlitini eru døpurthe future outlook is gloomy;dapur í hugamelancholy;eitt dapurt sinnia brooding disposition, a tendency to melancholy;tann dapri tónin í bókinithe gloomy tone of the book;døpur útlita bad outlook, poor prospects, a bad(el.poor) lookout(t.d.that's a poor lookout for us)
dapurhugaður	sad, distressing
dapurleiki	grief, distress, sorrow, sadness
dapurliga	sadly, joylessly
dapurlyndi	sadness, melancholy, depression, gloom
dapurskygdur	pessimistic
dapurskygni	pessimism
dardakoy	(stb.)skinny, bony, scraggy, scrawny
dardalatur	(stb.)bone lazy
darl	1dangler, appendage; gooseberry2(stb., barn.)dick, peter, Willy, WillieSdingle-dangle
darla	1dangle(t.d.his legs dangled over the side of the boat)2straggle(t.d.on the way the kids straggled behind us); lag behind(t.d.the little boy lagged behind his parents);koma darlandi aftanácome staggering up
darr	quiver(t.d.Jane couldn't help the quiver in her voice)
darra	1quiver,(t.d.her lip quivered and then she started to cry), vibrate2sídarla
darran	sídarr
darrarak	(stb.)skinny, bony, scraggy, scrawny
darrhentur	with shaky hands
darsum	(gl., tlm.)if
dart	(spæl) darts
darta1	1swing, wave, brandish,hann sat og dartaði við knívinumhe was brandishing his knife; reel,snælda dartarthe spindle reels2dash about(t.d.he kept dashing in and out of the room)
darta2	(ítr.)play darts
dartla1	sídarta
darva	1delay, detain2obstruct, hamper(t.d.our efforts were severely hampered by a lack of money; snow hampered traffic; my heavy boots hampered me; constant headaches may hamper the patient in his work), hinder(t.d.the snow hindered the movements of the troops; his talk hindered me in my work))
darvaður	1troubled2hampered; hindered3late, delayed
darvi	1hindrance, impediment(t.d.the level of inflation is a serious impediment to economic recovery)2delay
darviligur	1(stb.)laborious(t.d.digging his garden was a laborious task; this computation is very laborious); toilsome, difficult2hjwith difficulty, laboriously
darvsaki	sídassaki
dassaklæddur	dressed like a tramp
dassaklæði(r)	(sj.)í osb: ganga í dassaklæðum look like a tramp
dassi	í osb: ganga sum ein dassi look like a tramp
dassleittur	weather-beaten
dassvátur	sodden, dripping wet, sopping wet, wet to the skin, wet through;dassvátur av regni (, sveitta)drenched with rain (, sweat); rain-soaked
dast	1the best (av e-m), lustre(t.d.her hair had lost its lustre), gloss(t.d.this scandal has taken the gloss off the occasion)2the greater part(t.d.of the cargo (, of the goods, of the population)); the major part, the bulk(t.d.the bulk of the population (, of the imports)); the better(el.best) part(t.d.of his fortune)
dastin	sídestin
datt	sídetta
dauriskur	daurian;(dýr.) dauriskur staridaurian starling
davidur	(skip.)davit
dádýr	(dýr.)fallow deer(Dama dama)© Wikimedia Commons
dádýratjógv	[haunch of fallow deer]
dáð	1(avrik) achievement, exploit, feat (of valour)2(gerð) act, deed
dáðleysur	inactive, inert, idle
dáðloysi	inactivity
dáðríkur	active, glorious
dáhind	doe
dáhjørtur	fallow buck
dái	(plfr.)fýrstrentur dái hemp nettle(Galeopsis tetrahit)
-dái	sísummar-
dála	slice, cut into slices
dálamb	fawn
dálari	sídáli
dáli	1(peningur) rix-dollar2slice
-dáli	sísummar-
dálk	dirt; slush
dálka	1dirty, soil, foul, begrime, smudge(t.d.the mirror was smudged with fingerprints);(fl.m.)sully(t.d.sully one's hands with a crime), tarnish(t.d. one'sname), smudge2pollute(t.d.polluted water; to pollute a river, the atmosphere), cause (, spread) pollution; (ógvisligari,fl.m.)defile; contaminate(t.d.breathe contaminated air; contaminate an area with radioactivity); foul(t.d.few animals foul their own nests)
dálkaður	1dirty, smudged2polluted, sullied
dálkan	sídálking
dálkandi	polluting;dálkandi evnipollutant
dálkari	despoiler(t.d.despoilers of rivers and lakes), polluter, pollutant
dálking	1soiling, defiling, tarnishing2pollution, contamination, fouling; (ógvisligari,fl.m.)defilement; (um geislavirkni) contamination; (óreinskaeis.)impurity
dálkingarevni	pollutant
dálkingarfyribyrging	prevention of pollution
dálkingarkelda	pollutant
dálkingarlæra	environmental studiesflt.
dálkingarmátari	(í samb. v. geislavirkni) contamination meter
dálkingarmáting	pollution measurement
dálkingarskaði	pollution damage
dálkingarvandi	pollution risk
dáma1	like;mær dámar betur kaffi enn teI prefer coffee to tea; I like coffee better than tea;mær dámar betur perurI like pears better, I prefer pears;tað mær dámar best erwhat I like best is; what I prefer is(GG:the dog slept in my armchair for choice);hatta dámar mær!that's the spirit!,(ofta =)now you're talking!;dáma vælbe fond of;tað sum mær dámar væl við honumwhat I like about him;ikki dámanot like, dislike, object to, hate(t.d.I hate seeing(el.to see) you behave like that); resent(t.d.I resent his familiarities); not take to(GG:the Christmas rose does not take to transplanting); (høviskari) not care for(t.d.I don't care for his books (, Italian cooking));mær dámar hatta ikki rættiligaI'm not too keen on it
dáma2	get colour,dámast burtur í einkibe discoloured
dámaður	skjúrtan er illa dámað the shirt is discoloured
dámdur	regarded, popular,vera væl dámdurliked, popular;vera illa dámdurunpopular
dámligur	nice, kind, decent, pleasant, attractive;dámligur drongura decent chap, a good sort
dámur	1colour, hue(t.d.his face took on an unhealthy whitish hue); tinge(t.d.pink tinged her pale cheeks), tint2appearance, look, touch; atmosphere; air(t.d.the room had an air of luxury); sí eis.huglag
dána	faint, swoon, lose consciousness,(tlm.)pass out
dánaður	shaped, made, arranged,væl (illa) dánaðurwell (badly) shaped (made);(stb.) so dánaðonly just, barely, with great difficulty,tað var so dánað at vit slitu land uppwe only just made land
dánarfæ	treasure trove belonging to the Danish state
dáni	ei dáni íno wonder
dánilsi	fainting fit, swoon
dánt	sídánur
dánur1	(stb.)ei dánur í no wonder
dánur2	1tolerable, fairly good,húsini eru so dánthe house is in a fairly good condition;teir kunnu vera líka dánir báðir tveirthere is nothing (, not much, little) to choose between them; it is six of one and half a dozen of the other2hjdánt; tolerably, fairly, slightly;hann hevur verið sjúkur, men nú livir hann so dánthe has been very ill, but now he is slightly better;so dántonly just, barely;hann dugdi so dánt at lesa og skrivahe could barely read and write;eg sá hann so dánt í myrkrinumI only just saw him in the darkness;hann kláraði próvtøkuna so dánthe scraped through
dára	1charm, captivate, fascinate; (sterkari) infatuate2tempt(t.d.tempt sby beyond his power of resistance), seduce, beguile,(bíbl.) ormurin dáraði megthe serpent beguiled me;dárandicharming, tempting, seductive
dárabragð	sídáragerð
dáragerð	folly(t.d.giving up a secure job seems to be the height of folly; it would be folly to turn the offer down), thoughtless action
dáralop	sídáragerð
dáralæti	(eginleiki) folly; (gerð, útsøgn) gaffe, blunder
dáraverk	sídáragerð
dári	fool(t.d.fortune favours fools)
dárskapur	folly, thoughtlessness, rashness
dási	small candle
dáta	1data; facts;(teld.) viðgera dátaprocess data;hansara dátahis record, his curriculum vitae;dáta í málinumthe facts of the case;(teld.) vald dátasampled data2(gl., sj.)date, dating(t.d.from date, after date; of today's date)
dátarvur	fallow buck
dátt	henni var dátt viðit was a surprise to her, it found(el.caught) her unprepared, it caught her unawares; she had not expected it, she got a sudden fright, she was taken by surprise;varð honum dátt við daginhe was taken aback;tað kom teimum ikki dátt viðthey were not taken by surprise, they were not the least surprised;tíðindini komu dátt viðthe news was brought unexpectedly
dáttliga	suddenly, all of a sudden, abruptly, unexpectedly
dáttligur	sudden, abrupt, unexpected
dátuábyrgdari	(teld.)data controller
dátuberi	(teld.)data carrier
dátubygnaður	(teld.)data structure
dátufløga	(teld.)CD-ROM
dátufrøði	(teld.)datamatics, automatic data processing, computer science
dátufrøðingur	(teld.)graduate in computer science, computer scientist
dátugrind	(teld) data grid
dátugrunnur	(teld.)database
dátugrunsforrit	(teld.)database (management) system
dátuheilskapur	(teld.)data integrity
dátuheiti	(teld.)identifier
dáturøkjuskapur	(teld.)data discipline
dátusending	(teld.)data transmission
dátuskrá	(teld.)data dictionary
dátustovnur	(teld.)data bank, data base
dátutól	(teld.)data processing machine, data processor, computer
dátuviðgerð	(teld.)data (, computer) processing, computation; datamation
dB	: Perceived Noise Decibel
definera	síallýsa
definitión	síallýsing
degi	sídagur
-degis	síár-
degna	dawn, become day
-degnast	síav-
degning	dawn, daybreak,í degninginiat dawn
degningsæl	(eitt) dawn shower
degningur	dawn, daybreak,í degninginumat dawn, at break of day, at daybreak
deiga1	(gl.)maiden; (skotskt ogskald.)lass, lassie
deiga2	saunter, stroll, slouch,hann kom deigandi eftir vegnumhe came sauntering(el.slouching) along the street
deigbleytur	(um málm) soft, malleable; (um knívo.tíl.)dull, blunt
deigdirðil	1(um mannfólk) spineless man2blunt knife
deiggj	dough; (tunt) batter; (við smøri) paste;leggja deiggjprepare the dough
deiggja	daub(t.d.the walls of the building were daubed with red paint);deiggja samanknead; concoct(t.d.he concocted some elaborate story to explain her absence)
deiggjhøna	(niðr.,stb.)feminine man
deiggjutur	doughy
deigiligur	(skaldsk.)lovely(t.d.poem, voice); delightful(t.d.book, person, sight; it is delightful to live like this); beautiful, exquisite, charming(t.d.house);(tlm.)(frálíkur) wonderful, grand, splendid, excellent
deigna	(gl.)prepare the dough
deignari	(gl.)feminine man
deigur	1(um málm) soft, malleable2(um fólk) soft-hearted
deigutur	(stb.)slow, languid, sticky
deila1	1quarrel, dispute, disagreement, discord; strife2(átala) reprimand, rebuke, reproof; (skeld) wigging, dressing-down, ticking-off, telling-off
deila2	quarrel, dispute, fight;deila inn á e-nabuse sby, (tlm.)call sby names, give sby the sharp end of one's tongue;(am.)bawl sby out;hon deildi inn á hannshe hauled him over the coals; she ticked him off; she gave him a (real) straightening-out;deilastabuse each other, call each other names
deila3	1divide, share (out)2(stfr.)divide,deila y við xdivide y by x
deilan	deiling1
deilari	(stfr.)divisor
deild1	1part(t.d.this part of the room, another part of the building); division, section2(avmarkaður partur av flata) section, compartment;býta í deildirdivide into compartments(el.sections); (á pappírsarki) square off3(rúm) compartment4(í ráðharrastovu) division, (sub-)department;Deildin fyri arbeiðs- og almanna heilsuthe Department for Work and Public Health; (ES: av Dómstólinum) Chamber5(handilsm.) department; branch6(á sjúkrahúsi) ward(t.d.a maternity / surgical / psychiatric / children's ward);vera lagdur inn á eina deildbe admitted to a ward;læst deildclosed ward; clinic; department(t.d.psychiatric department)7(í fongsli) block8(herm.)battalion, unit(t.d.the lieutenant received orders to join his unit), detachment(t.d.a detachment of artillery); (serdeild) task force9(lið) section, batch(t.d.of recruits); gang(t.d.of workmen)10(ítr.)division; league11(úthandil, útbanki) branch(t.d.the Oxford branch of the bank)12(plfr.) section
deild2	piece of land, allotment
deildar-	(ofta =)senior, head, chief(t.d.nurse, consultant, architect)
deildarformaður	(í yrkisfelag) branch chairman
deildarleiðari	head of (a) department (, sectiono.tíl., sídeild); (á verksmiðjueis.)department(al) manager
deildarlækni	(uml. =)deputy superintendent, medical assistant
deildarroknskapur	divisional accounts
deildarsjúkrasystir	(fyrr) assistent matron, senior clinical nurse; (lægri stig) ward(el.charge) nurse
deildarskrivari	section secretary, department secretary
deildarskrivstova	branch office, area office
deildarstjóri	branch manager; (í banka) bank manager; head of a department; (á ráðharrastovu) head of (a) division, chief of a section; (svarar í Ongl. til) assistant secretary
deildfrukt	(plfr.)split fruit, mericarp
deildstovnur	(stfr.)dividend
deildtal	(stfr.)quotient
deiligur	1(tlm.)lovely, delightful2hj-liga;tað er so deiliga kyrtthe sea is so delightfully calm
deiling1	quarrel, dispute, disagreement, discord;sídeila1
deiling2	(stfr.)division
deilingarmerki	(stfr.)division sign
deilurit	controversial pamphlet, polemical pamphlet(el.treatise); squib
deingja	1beat, strike, hit2fling, throw, chuck, toss3lounge about, hang about
dekametur	decametre
dekan	(fríðk.)the deuce,dekan fari!confounded!, damnation!;dekan fari um hann ikkiI'll be damned if he didn't!;til dekans!damn!;dekans tíðhell, no!, don't talk rot!;hann er dekan og illa farinhe is in too bad shape;dekan og seinurtoo late
dekansligur	spiteful, malicious
dekanssettur	royn teg nú, dekanssettur well, come on you rogue;dekanssett!I'll be damned!
dekanssignaður	sídekanssettur
dekansskapur	nuisance, abomination
dekil	sídekan,dekilin dansi!oh hell!, oh blast!
dekin	sídekan
