æ	(málfr.)vowelordiphthong; (called seinna æ /æa/)
ætla	1have in mind, intend(t.d.I intend to go to France); mean(t.d.I mean to take my degree next year); plan(t.d.plan to do sth);eg ætli at roynaI intend to try;tú ætlar ikki einki, hin gamliyou are up to something, my friend;hann er farin at draga í reiður, so hann man ætla okkurthe has begun to nest (to build a nest) so I think he has plans (about marriage);ætla stórthave big plans;ætla særintend to, think of;eg ætli mær til útróðrarI intend to go fishing;hon ætlar sær (at fara) í dansshe intends to go out dancing;hann ætlaði sær til Fugloyarit was his intention to go to (the island of) Fugloy2intend (sby sth), propose(t.d.I propose to divide the money between you);eg ætlaði honum taðI intended him to get it;hatta hevði eg ætlað mærI had confidently expected to get it;hann ætlaði sær althe intended to get it all;hon ætlaði sær hannshe intended him for husband;einum varð tað ætlað, øðrum var tað lagaðit was intended for one, but fate decided it was for another;dvørgurin gav so stórt eitt høgg, Sjúrði ætlaði tað (kvæð.)the dwarf struck hard (with his sword) and it was meant for Sjúrður;hann ætlar frúnni deyða (kvæð.)he is planning the lady's death3calculate(t.d.calculate what it will cost), estimate(t.d.at an approximate estimate), make an assumption;skjótt var at ætla, hvussu vorðið varit didn't take long to form a broad/general idea of how things were;teir ætlaðu grindina minst til einar átta hundrað hvalirthey estimated the school of pilot whales to some eight hundred whales;eftir øllum at ætlaobviously;minstur av bátunum var tríbekkurin ætlaður til 2 ella 3 mennthe smallest of the boats was atríbekkurwhich was intended for two or three men;ætla tilcalculate how much of (sth) is to be used;lat meg gera út á pottin, tú dugir ikki at ætla tillet me do it I don't think you know how much is required for the dinner;ivaleyst var tilætlað av øllum sløgumit was liberally calculated how much of all kinds would be needed;ætla umestimate, judge;ilt var at ætla um, hvussu langt hetta varit was difficult to judge how great the distanceetcwas;eg havi hugsað at byggja mær eini hús, tú hevði kanska komið og ætlað mær umI intend to build a house you had best come and make me an estimate;ætlað stað (sigl.)dead reckoning position(st.D.R.)4mean, think, believe, suppose;eg ætli, at teir eru farnir núI believe they have left by now;hvat ætlar tú um hetta?what do you think of this?;eg ætli so viðI think so, I believe so too;tað skal/kann eg ætlaI thought as much, I would like to believe that;eg kann ætla, hvussu stuttligt tað man veraI can imagine how funny that is;eg kann lítið ætla, hvussu glaður hann verðurI can hardly imagine how pleased he will be;eg kann lítið ætlað, hvussu móðir teir eruI can imagine that they must be dead beat;eg kann ikki/lítið ætla! (speis.)if you say so;ætlast, Grímur Kamban ætlast at vera komin til Føroya um ár 825there is a strong presumption that Grímur Kamban settled in the Faroes in the year 825;sum ætlast kannwhich is likely5fix(t.d.the price); (um tíð og staðeis.)appoint(t.d.a time for the meeting); ætlaein dagfix a day;ætla til brúdleypsappoint/fix a day for the wedding
-ætlaður	sístór-,til-
ætlan	1intention, purpose, aim, plan;ætlanin var at sigla vestur um havthe plan was to sail west over the ocean;eftir ætlanaccording to plan;arbeiðið hevur higartil farið fram eftir ætlanup to now the work has been executed according to plan;hava í ætlanintend;fólk hevur havt í ætlan at búsetast harpeople have intended to settle there;hann hevði í ætlan at byggja turkihúshe had been planning to build a drying house;hava ætlan um e-tintend sth, plan sth;mongum brestur ætlan,síbresta2opinion, view, idea;geva eina ætlan um (e-t)give one's opinion of/on sth3estimate, appraisal, appraisement, valuation;eftir mínari ætlanmy estimate is
ætlanarbúskaparligur	(bú.)planned, of planned economy
ætlanarbúskapur	(bú.)centrally planned economy, command economy
ætlanareykasetningur	(málfr.)final clause, clause of intention
ætlanarkunngerð	síætlanaryvirlýsing
ætlanarsambindingarorð	(málfr.)final conjunction
ætlanarskriv	letter of intent
ætlanaryvirlýsing	(stjm.)declarationel.statement of intent, policy statement;(am. eis.)position paper
ætlandi	1ætlandi er, at ...it is possible/likely that;at Páll kann hava verið heldur illfýsin við sýslumenninar, er væl ætlandiit is conceivable that (Nólsoyar) Páll may have been cross in his dealings with the sheriffs2probably, quite likelyel.conceivably; ætlandikemur hann í morginhe is likely to come tomorrow
ætling	1intention, purpose, aim, plan;ætlingin var at giftast við hennihe intended to marry her2estimate(t.d.at an approximate estimate), calculation(t.d.at a rough calculation), assumption,(sigl.)dead reckoning;eftir ætlingat a rough calculation
ætlingur	intention, purpose, aim, plan;tann dagin var ætlingur hjá teimum at farathey intended to leave on that particular day;ætlingurin var at fara út á Bankanthe plan was to go fishing on the (Faroe Bank); sí ætlan1, ætling1
ætt1	1relations(flt) (t.d.his aunts are his nearest relations; I have no relations); relatives(flt),kindred(t.d.all his kindred are there);(serst. skaldsk.)kin(t.d.a gathering of all his kin), family(t.d.an old family; a disease that runs in the family); birth(t.d.she is of noble birth), descent, stock(t.d.be of good stock; he came of Sussex peasant stock); (av góðum fólki) lineage(t.d.his ancient lineage);sama ætt var á garðinum í fleiri hundrað árthe same family had had the farm for centuries;føroyingur av ætthe's of Faroese stock;hann kundi rokna eina grein av ættini niður í tjúgunda liðhe could trace one of his lines of decent back twenty generations; he could count one line of descent back for twenty generations;væl av ættum komin (gl.)he is well-born/well-connected, he's of good family;vera í ætt við e-nbelong to one's family, be related to one;vera nær í ætta near/close relative;hann var av bóndafólki í báðar ættirhe was of peasant stock on both his father's side and his mother's;vit eru systkinabørn í báðar ættirwe are cousins on both our fathers' side and on our mothers' side;bregða úr ætt;síbregða;hann er tjúgundi maður úr ætthe is a distant relation;vit eru ikki tjúgundu menn úr ættwe are fairly close relatives;nevndur/kallaður burtur úr ætt,sídugandi12generation;ættin ungathe young generation;ætt eftir ættgeneration after generation3(dý., plfr.)family;hvør hópur verður skipaður í ættireach order is divided into families4(málfr.)family of languages, language family;smst. t.d.aðals-,faðir-,hødinga-,lilju-,manna-,mál-,móður-,stór-
ætt2	1point of the compass;hvørt í sína ættdisperse in various directions;í allar ættirin all directions;úr øllum ættumfrom every quarter, from all quarters/directions, from all parts;vísa í somu ætt, at ...there is every indication that.../all the signs are that...; everything seems to show/indicate that...; everything points to(t.d.his being guilty)2wind direction;hvaðan(i) er ættin?from which direction is the wind blowing?;ættin er útsynningur vestanthe wind (direction) is NW by West;nú er eingin ættit is calm now;ættin er gomulit has blown from the same quarter for a long time;ættin liggur innáit's onshore wind, the wind is inshore;ættin stendur (inn) á landiðthere is an onshore wind;á øllum ættumfrom whichever direction the wind blows;her lívir á øllum ættumthis place is sheltered from whichever direction the wind blows;mala aftur á ættinathe wind has been changeable but is now once again blowing from the same direction as before;hann melur av ymsum ættumit is changeable weather;hann er komin at ættwe have had the same wind direction for some time;ganga frá ættinichange wind direction;hvussu er hann í ættini?from which direction is the wind blowing?;hann er høgur//lágur//eystano.s.fr.í ættinithe wind is northerly//southerly//easterlyetc; um náttina var hann komin høgt í ættiniduring the night the wind had changed and was now blowing from the north;hann stóð høgt í ættinithe wind was northerly;tað rekur í ættinathe current runs contrary to the wind direction;hann vendi í ættinithe wind is changing/shifting;rossini settu gumpin í ættinathe horses turned their haunches to the wind;undan ættiniwith the wind, in the direction of the wind, off the wind;upp í ættinahave the wind dead ahead, against the wind;draga upp í ættinablow from the same quarter;hann rísur upp undir ættina,sírísa2;vindurin loypur ætt úr ættthe wind is shifting/hanging constantly from one quarter to another
ætta1	be descended from, descend from, come of(t.d.good old stock); originate from(t.d.a common ancestor); be sprung from(t.d.a noble race); stem from; íosb.sumætta niður frá e-mbe descended from sby
ætta2	(sj.)orientateel.orient oneself(eis., t.d.við kortiel.kumpass); find/get/take one's bearings; get an idea of the lie of the land; íosb. ætta segorinentate oneself
ættaður1	related; descended from, come of(t.d.good old stock); originated from(t.d.a common ancestor); sprung from(t.d.a noble race); stemmed from;nær ættað viðjunum eru tey flestu leyvtrø í Norðurlondunummost leaf-bearing trees in Scandinavia are closely related to the ivy family;vera ættaður frábe descended from;frá sonum Nóa eru øll fólk á jørðini ættaðall humans are descended from the sons of Noah;tveir vóru ættaðir úr Tóravíkthey came from Tóravík
ættaður2	blowing from a particular quarter;hvussu er hann ættaður/hvussu er ættað?from where is the wind blowing?;hann er lægri ættaður í dag enn í gjárthe wind is more southerly today than it was yesterday;í morgin verður veðrið gott, sum hann stendur ættaðurthe weather is going to be fine tomorrow if the wind doesn't shift/change
ættalop	sudden shiftel.change of wind
ættaransur	family feeling; family sense
ættararvur	1hereditary characterel.feature2heirloom
ættarband	tie of kinship, family tie;fegin vildi eg, at ættarbandið kundi gjørst sterkari okkara millumI wish that the tie of kinship could grow stronger between us;ættarbondini, sum knýta tey norðurlendsku fólkini samanthe ties of kinship which connect the Scandianvian peoples
ættarborin	hereditary, inherited; (um sjúkueis.)congenital;hetta lyndið er ættarboriðthis disposition is hereditary
ættarbók	(bíbl.)genealogy
ættarbólkur	síættbólkur
ættarbragd	family characteristics, inherited featuresel.characteristic;við Lið høvdu verið ring ættarbrøgd fyri
ættarbragð	(stb.)síættarbregði
ættarbregði	1family characteristics, inherited features, traitsel.character(istic);tað lá í faðirfólkinum og kundi tí vera ættarbregðiit was on his//her father's side and could therefore be an inherited characteristic;sum tey vuksu til, sást skilliga, hvaðan tey høvdu síni ættarbregðias they grew older it became apparent from where they had their inherited characteristic;hon hevði tað við atburði sínum, sum sjáldan kann lærast, men verður givið summum í ættarbregðiher behaviour was such which is seldom learned but which some persons have as part of inherited characteristic2familialel.hereditary disease
ættarbregðiligur	hereditable, inheritable
ættarbundin	tied by kinship, tied by family connection
ættarbygd	nativeel.home village
ættarfaðir	síættfaðir
ættarfólk	family, relation, relations, relative, kin, kinsman, kinsmen;hetta kundi ganga aftur hjá ættarfólkithis characteristic could be an inherited feature
ættarfrændi	síættarfólk
ættargarður	familyel.ancestral farm
ættargranskari	genealogist
ættargransking	genealogy
ættargrein	1line of descent;eftir nøvnunum at døma er tað sama ættargreina comparison of the names seems to indicate that it is the same line of descent2(bíbl.)tribe
ættargrevstur	family burial-place
ættargul	breeze (which has a definite,i.e.not random direction);har var ikki ættargul(stilli) it was calm;sólskin var og nóg illa ættargulthe sun was shining and no wind was noticeable
ættarhugur	(skaldsk.)family feeling; (innilig) clannishness
ættarhøvdingi	chief, headman; chief (of a clan)
ættarjørð	familyel.ancestral land
ættarkensla	family feeling; (innilig) clannishness;ættarkenslan var ikki viknaðhis//her family feeling had not been weakened/diminished;hava sterka ættarkensluhave a strong family feeling
ættarkyn	descent, family, race, lineage; nation, people
ættarkærur	who has a strong family feeling, who loves his//her family
ættarlag	1(gl.)síættarbregði2nation, people; family, stock, lineage
ættarland	fatherland;ástin fjálg til ættarlandiða deep love for one's fatherland
ættarleggur	síættleggur
ættarleiði	family burial-place
ættarleysur	(sj.)without relatives, without familyorkin;(skaldsk.)without kith or kin
ættarlið	generation;trý ættarlið í sama húsithree generations under the same roof;okkara ættarliðour generation;yngra ættarliðiðthe younger generation;eldra ættarliðiðpeople of the older generation;nýggja ættarliðiðthe rising generation
ættarliðstíð	(frá einum ættarliði í annað,vanl.22-32 ár) generation time
ættarliður	síættarlið;bókin er ein ættsøga um tríggjar ættarliðirthe book is a family saga of three generations
ættarligur	íosb. hann er so ættarligurthe wind direction is not going to change for some time
ættarlot	light breeze from a certain direction;tað var ikki ættarlot á sjónum alt summariðthe winds were variable all through the summer
ættarmaður	(male) relation, relative, kinsman
ættarmóðir	síættmóðir
ættarmót	distant relationship;tað røkkur ikki longur í ættarmót enn til fermenningarrelationship includes cousins twice removed
ættarnavn	1family name, surname2(dý., plfr.)generic name
ættarrøkt	eugenics
ættarskifti1	change in wind direction; ættarskiftivið regni og stormi og brimgangithe change in wind direction brought along rain, storm, and much surf;tað var upp undir ættarskiftithe wind was changing
ættarskifti2	1(livfr.)alternation of generations2(í familjuo.tíl.)generational change(GG:a new generation will be needed before); (um mentan,o.tíl.)the advent of another generation
ættarskil	being weather-wise;hann hevur ikki ættarskilhe doesn't know the first thing about weather
ættarskrá	genealogical table, table of descent
ættarslag	descent, family, race, lineage; nation, people
ættarstríð	family quarrel;tað hevur verið almikið av ættarstríði og rættartrætum um jørðinaownership of land has caused many family quarrel and many legal disputes
ættarsøga	(family) saga;bókin er ein ættarsøgathe book is a family saga;munnsagnir, ættarsøgur og annað, ið hevur livað á mannatungutraditions, legends, family sagasetcwhich have been handed down orally
ættartal	síættartalva
ættartalva	genealogical table, genealogy, table of descent
ættartræ	genealogicalel.family tree, pedigree
ættavísi	compass
ættborin	born to (sth), entitled by birth (to sth); ættborinskuldi hann verið til løgmansembætiðhe was supposed to be entitled to the løgmanship by birth;sum alt fólkið var ættborið tilwhich all the people were born to/entitled to by birth
ættbólkur	tribe(t.d.the tribe of Judah); clan;ein ættbólkur av indiánuman Indian tribe;afrikonsk lond hava innan fyri síni landamørk fleiri ymiskar ættbólkarAfrican countries have within their boundaries several different tribes
ættbundin	hereditary, inherited; tradition-bound;bóndans ættbundni hugsanarhátturthe farmer's inherited/tradition-bound way of thinking
ættfaðir	(first known) ancestor, progenitor; patriarch
ættfaðirligur	patriarchal
ættflokkur	tribe;germanskir ættflokkarGermanic/Teutonic tribes
ættfólk	family, relation, relative, kin, kinsman
ættfrændi	kin, kinsman
ættfrøði	genealogy
ættfrøðiligur	genealogical
ættfrøðingur	genealogist
ættgóður	of good family, well-born, well-connected, of aristocratic birth;ættgóður greðingurthoroughbred stallion
ættgranskari	síættargranskari
ættgransking	síættargransking
ættgreina	trace family origins
ættgreining	tracing of family origins;orðini og ættgreining teirrawords and their origins
ættingi	relation, relative, kin, kinsman
ættkoma	origin;errin av ættkomu síniproud of one's origin, pride of birth
ættkomi	descendant, offspring, progeny
ættkyn	race
ættkærur	who loves his family, who has a strong feeling for his//her family;hon var ættkær og visti nógv um slektshe had a strong feeling for her family and was good at tracing kinship;ættkært er tað fólkiðthat (part of the) family has a strong family feeling, that family has a strong sense of family
ættkønur	who has a profound knowledge of family origins
ættleggur	line of descent;beinur ættleggurlineal descent from
ættleiddur	adopted;ættleidd barnadopted child
ættleiða	(løgfr.)adopt;ættleitt barnan adopted/adoptive child
ættleiðari	adopter
ættleiðing	(løgfr.)adoption
ættleiðingur	(løgfr.)adoptee, adoptedel.adoptive person
ættmaður	(male) relation, relative, kinsman;ein ættmaður móður mínaa male relation of my mother's
ættmóðir	(first) ancestress
ættnavn	síættarnavn
ættsavning	family reunification
ættstovnur	tribe
ættstórur	high-born, of noble lineage;teir vóru ikki hábornir og ættstórir mennthey were not high-born men;í Tróndar húsi fostraðust mangir ættstórir menn uppin Tróndur's house many men of noble lineage were brought up
ættsøga	(sj.)síættarsøga
ættvísi	síættfrøði
ævi	1life, lifetime;alla sína ævi/ævinaall one's life;livdi hon bæði væl og leingi alla sína ævishe lived a long and happy life;alla sína ævina syrgir hon Hermund illa (kvæð.)all her life she mourned Hermundur;eg skal tæna tær, Ólavur kongur, ævi og allan aldur (kvæð.)I'll serve you, King Olaf, for as long as I live;tað er ikki á tínari æviit won't happen while you live;hann skuldi hvørki geva ella tiggja olmussu á sínari ævihe was not to give nor ask for alms in his lifetime;har sleit hann sína ævi út (kvæð.)there he lived the days of his life;hvør skal sína ævi útinna;síútinna2long spell, very long time;aldri á ævininever as long as I live;aldur og alla ævi/ævi og allan aldureternally, for ever, for evermore3flteternity;í/um allar ævir/aldur og allar ævir/ævir allarfor ever and ever
æviblóma	(plfr.)everlasting (flower)(Gnaphalium); bogin æviblómaDwarf Cudweed(G. supina)
ævidagur	lifetime;allar ævidagar tínarall your life(time)
æviga	eternally, for ever, for evermore
ævigamal	(sj.)síelligamal
ævigur	1eternal(t.d.the eternal principles of justice)2(sum ongan enda fær) everlasting(t.d.complaints//reproaches), perpetual, unending, ceaseless, endless(t.d.toil) incessant, eternal(t.d.eternal bickerings), never-ending(t.d.worries);ævigt líveternal life, life everlasting;ævigu heimbýlini theeverlasting habitations3(sum slítist ikki) immortal, imperishable(t.d.glory), undying(t.d.fame)
ævilangur	1lifelong2eternal, endless, perpetual
ævileiki	síævinleiki
æviligur	síævinligur
ævilýsing	curriculum vitae, CV
ævinleika	(mála) portray; (avmynda) photograph
ævinleiki	eternity
ævinliga	eternally, for ever, for evermore;títt ríki skal vara ævinligaYour Kingdom shall last for ever and ever
ævinligur	eternal, perpetual;ævinligar tíðirfor a long, long time; síeis.ævigur
ævintýr	1fairy-tale, nursery-tale, story, tale; (tjóðævintýr) folktale, märchen2adventure
ævintýrakona	adventuress
ævintýraligur	síævintýrligur
