J	(st.)joule
jagstra	hunt, chase(t.d.a person, an aeroplane, a ship);hundurin jagstarði kettuna út úr garðinumthe dog chased the cat out of the garden; pursue, hunt(t.d.a hunted fugitive; like some hunted animal);jagstra ein flýggjaðanpursue a runaway, hunt a fugitive;jagstra ein brotsmannhunt a criminal; (elta leingi) pursue a criminal;fara undir at jagstra (eis.)give chase(t.d.the dogs saw the fox and gave chase; one of our fighters saw the enemy and immediately gave chase)
jagstran	hunt, chase, pursuit
jagstur	(sj.)síjagstran
jagt1	hunting, shooting;síannarsveiði
jagt2	(bát.)lighter
jagta	1hunt2(Suð.)(um brundseyð) be in rut
jaguarur	(dýr.)jaguar(Panthera onca)©iStock
jakkaklæddur	in suit jacket, in a lounge suit
jakkaklædningur	suit, lounge suit
jakkakot	(niðr., skemt.)(shabby) jacket
jakkalummi	coat pocket(t.d.my left-hand coat pocket)
jakkaskorin	(gl.)cut like (, in the style of) a jacket
jakkatræ	(coat-) hanger
jakkavel	coat-tails
jakki	coat, jacket
jakobinarahúgva	Phrygian cap, liberty cap
jakobinari	(sø.)Jacobin
jakobinskur	Jacobin
jakobitiskur	Jacobite
jakobittur	Jacobite
jaksil	(tlm.)síjakslur
jaksla	chew with the back teeth (, with the gums)
jakslan	chewing with the back teeth
jaksli	(stb.)síjakslur
jakslur	(lívfr.)back tooth, molar
jaksul	(tlm.)síjakslur
jakt	síjagt
jakta	síjagta
jaligur	positive(t.d.reply); appreciatory(t.d.book review); sympathetic(t.d.reception of a proposal); constructive(t.d.we welcome constructive proposals); favourable(t.d.reply, attitude);hann var jaligurhe took up a sympathetic attitude; he was in favour of the proposal(o.s.fr.) (GG: (tlm.)he was all for it)
jall	(kvæð.)síjallur
jalladømi	(sø.)síjalldømi
jalldømi	(sø.)earldom
jallríki	(sø.)síjalldømi
jallur	1(sø.og ensk viðurskifti) earl;Hákun jallurEarl Hakon2(talv., stb.)bishop
jalov	1(loyvi) consent(t.d.he proposed to her and her parents gave their consent);biðja um jalov frá e-mask sby's consent;fáa jalov frá e-mobtain sby's consent(tilto);geva sítt jalovconsent, assent(tilto);(tlm. eis.)give one's nod, give sby the nod;nokta at geva sítt jalov (eis.)withhold one's consent;hava fingið jalov frá e-mhave obtained sby's consent, (undirtøku) approval, approbation; sanction2(váttan)jalov upp á flytingconfirmation of transfer;jalov upp á sáttmálaconfirmation (, affirmation) of contract
jalsdóttir	daughter of an earl
jalssonur	son of an earl
jalyfti	(sj.)síjalov
jamaikarom	Jamaica rum
jamba	(bókm.)iamb; iambus(flt. iambi);fimmfóta jambaiambic pentameter; (ofta =) blank verse
jambiskur	(bókm.)iambic
jamboree	sískótastevna
jammur	misery, wretchedness;tað var eitt jammurs lagit was a sad state of affairs;hann er tann beri jammurhe is in a miserable plight
jammurdalur	vale of tears(el.woe)
jamra	í osb: jamra seglament, wail; (gremja seg) complain, grumble;(niðr.)whine;jamra umlament, wail (over), bewail, bemoan; (gremja seg um) complain of;(niðr.)whine about;jamra seg um sína lagnu(, síni óhapp) bewail(el.bemoan) one's lot (, one's misfortunes)
janga	(e-n)janga á scold continually
jangl	(Suð.)nonsense, rubbish, twaddle, stuff and nonsense;(am.Seis.)garbage;(tlm.)rot, tommyrot, codswallop, guff, drivel, gas
jangla	(Suð.)síjagla
jann	(kortsp.)vera jann not all square;(fl.m.) tað var kalda jannit was void of fish
jannfríur	(kortsp.)all square
jantilóg	jantilógin[the principle of "just who do you think you are?"]; (kann verða endurgivið) the who-do-you think-you-are-attitude; (stundum) The tall poppy syndrome
januar	January
januarmánaður	January
Janus	(sern.) í osb: hvør Hanus og Janusevery Tom, Dick and Harry
janusarhøvur	Janus head;við JanusarhøvuriJanus-faced
jaorð	geva sítt jaorðconsent; (tá ið biðið verður um gentu) accept the proposal
Japan	Japan
japanari	síjapani
japani	Japanese;(tlm.)Jap;japanarnirthe Japanese;(tlm.)the Japs
Japanshav	(sern., landafr.)the Sea of Japan
japanskur	Japanese,japanskt(málið) Japanese;japanskt pappírJapanese paper
japansmaður	síjapani
japsa	gabble, jabber;japsa upp í samanrepeat over and over again;dugir tú ikki hatta, tú hevur sitið og japsað tað ígjøgnum allan dagdon't you know that yet? you have been repeating it over and over again all day
jarða	(um lík) bury, inter; (fylgja) bury(t.d.he has just buried his father);deyður og jarðaðurdead and gone(el.buried);(fl.m. eis.)as dead as a doornail, as dead as mutton;(bíbl.) lat tey deyðu jarða síni deyðulet the dead bury their dead
jarðaldursfrøði	(jarðfr.) geochronology
jarðalisfrøði	geophysics
jarðalisfrøðiligur	geophysical
jarðalisfrøðingur	geophysicist
jarðan	síjarðarferð
jarðar	síjørð
jarðarásur	axis of the earth
jarðarbotnur	soil;(fl.m.) góður jarðarbotnura friendly(el.favourable) soil;(fl.m.) velta jarðarbotnin fyriprepare the ground for; pave the way for
jarðarbók	(løgfr.)cadastre; (svarar í Ongl. til) (manorial) court roll;jarðarbók Viljálms sigurvegaraDomesday Book
jarðarbrúk	agriculture, farming; (stakt brúk) farm, holding, plot
jarðarbræv	(løgfr.)deed (of conveyance)
