ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
óbati	harm, detriment(t.d.to the detriment of sby//sth);tað var mær til óbatait was harmful to me
óbeinamaður	disobliging man; síeis.óbeinasamur
óbeinasamur	disobliging, unobliging, unhelpful, unaccomodating, uncooperative;óbeinasamir og tvørir vóru teirthey were disobliging and cross
óbeinleiðis	indirectly, in a roundabout way;beinleiðis og óbeinleiðis ávirkan á borgararnardirect and indirect influence on the citizens;tollur og nýtsluavgjøld eru óbeinleiðis skattircustoms duty and consumption tax are indirect taxes;óbeinleiðis talaindirect speech;óbeinleiðis lýsingindirect description;óbeinleiðis prógv (løgfr.)(piece of) circumstantial evidence
óbeinur	1winding, twisting; óbeinurvegura winding road2wrong(t.d.address; calculation; expression; opinion); incorrect(t.d.account; assertion; belief; description; expression; spelling; statement; translation); erroneous(t.d.belief; doctrine; opinion); false(t.d.belief; doctrine; news; interpretation); mistaken(t.d.idea; opinion); faulty(t.d.construction of a sentence; expression; reasoning); improper(t.d.put sth to (an) improper use; use a word in an improper sense)tað er óbeint at siga tað soleiðisit is incorrect to put it in that way;tað var óbeint gjørt móti føroyingumit was a wrong thing to do to Faroemen3(ósannur) untrue, untruthful, incorrect(t.d.account; statement)4tilted, sloping5[sumhj]óbeint; wrongly, incorrectly, erroneously, falsely;hann viðgongur, at hann hevur gjørt óbeinurhe admits that he has done wrong;(kvæð.) óbeinur hevur tú stevntyou have chosen the wrong path/way
óbekvemmur	(gl. tlm.)clumsy
óbendandi	1inflexible(t.d.determination); rigid(t.d.principles); intransigent, unbending(t.d.character); unyielding(t.d.unyielding in one's principles; unyielding will); unflinching, uncompromising(t.d.his uncompromising rectitude); adamant(t.d.I implored him to change his mind, but he was adamant); obdurate(t.d.his obdurate refusal to cooperate); stony(t.d.refusal);(tlm.)glassy(t.d.determination)2(málfr.)indeclinable, uninflected
óbendiligur	strong, unyielding, persevering; óbendiligurforvitinskapurinsatiable curiosity;ein óbendiligur viljiimmovable resolution; síeis.óbendandi1
óbendur	1unbent, uncurved, unbowed2(málfr.)uninflected
óbiðin	1uninvited2unasked, unsolicited(t.d.assistance, interference); volunteer, spontaneous3hjwithout being asked, spontaneously, of oneself, on one's own initiative;hann legði seg óbiðin upp í trætunahe interfered in the dispute unasked
óbindandi	non-committal(t.d.give a non-committal answer); not binding(t.d.the contract is not binding on us); without obligation; subject to confirmation;óbindandi(óformligar)samráðingarinformal talks;óbindandi tilboðthe offer is not binding, the offer is subject to confirmation
óbitin	(umt.d.haga, of pasture) on which sheep have not grazed;hvør bøkkur liggur óbitinevery sodel.bit of turf is untouched
óblandaður	unmixed, unblended; (reinur) pure, unadulterated; (um málm) unalloyed, pure
óblástur	not blown up;ballónin er óblástthe (toy) balloon is not blown up
óblendin	immicible
óblíðskapur	inhospitableness
óblíður	1unfriendly (towards)(t.d.an unfriendly tone); unkind(t.d.it is very unkind of you); ungracious(t.d.it was ungracious of him to refuse; an ungracious reception); brusque(t.d.tone); inhospitable;síðan skildust teir í óblíðumthey parted in anger2unpleasant, uninviting, forbidding;rúmið var kalt og óblíttthe room was cold and forbidding
óblóðgaður	(fisk.)síblóðgaður2
óblýggjaður	unleaded;óblýggjað bensinunleaded petrol
óboðin	1uninvited;hvar skal óboðin sita?where do you seat an uninvited guest?;niðarlaga skal óboðin sitaat the bottom of the table is the uninvited guest's place2unasked, unsolicited(t.d.assistance, interference); volunteer, spontaneous3[sumhj] without being asked, spontaneously, of oneself, on one's own initiative
óborgaraligur	unconventional
óborin	1unborn;óbornar ættirunborn generations, (tíðum) generations unborn, generations to come, future generations2too heavy to be carried;hasin steinurin verður óborinno one can carry that stone
óboyggiligur	indomitable(t.d.courage, energy, pride); unconquerable(t.d.courage, nation);hjóboyggiliga
óbótagerð	evil act(ion), misdeed, outrage, crime, misdeed, atrocity;her er gjørd ein óbótagerð, sum seint verður afturbøttan outrage has been done which will take a long time to remedy
óbótaligur	irreparable(t.d.damage; injury), irretrievable, irremediable, irreversible;hetta hevur volt óbótaligan skaða fyri fólk og landthis action has caused irreparable damage to the state and the people;hjóbótaliga
óbótamaður	criminal;(løgfr.:grovt brotsverk) felon; (illgerðarmaður) evildoer, malefactor
óbótaverk	outrage, crime, misdeed, illel.evil deed, atrocity, meanness, shabbiness, caddishness
óbreiddur	óbreidd song unmade bed
óbrigdil	(stfr.)constant
óbrigdiligur	unchangeable, unalterable;við óbrigdiligum trúskapiunfailing/undeviating/unswerving fidelity/loyalty; síóbroytiligur
óbrotin	síóslitin
óbroytandi	unchangeable; síóbroytiligur
óbroytiligur	1(sum kann ikki broytast) unchangeable, immutable, unalterable(t.d.the unalterable laws of the Universe)2(sum verður verandi óbroyttur) invariable, unchanging, unvarying, changeless, constant;óbroytilig regla (eis.)a hard and fast rule; unchanging human nature3(stfr.)invariant4[sumhj]óbroytiliga; immutably, unalterably, invariably; constantly
óbroyttur	unchanged(t.d.market; prices); unaltered(t.d.the building is unaltered);(stjm.)unamended(t.d.pass a Bill unamended), without amendment(s); (um valúrslit) no change(t.d.Oxford: no change);hesar reglur eru óbroyttarthese rules remain unaltered;vera óbroytturremain unchanged(etc); lata okkurt verða verandi óbroyttleave sth unaltered(el.in status quo);støðan er óbroyttthe situation is unaltered/shows no change;hjóbroytt
óbrúkiligur	unserviceable(t.d.rains have made the airfield unserviceable); unfit for use, useless(t.d.this hammer is quite useless);(tlm.)no good;Sclapped-out;gera óbrúkiliganrender unserviceable/unfit for use
óbrúktur	síónýttur
óbrynjaður	unarmoured(t.d.cruiser)
óbrýndur	unwhetted, unsharpened;(fl.m.)unpolished
óbræddur	untarred;tjøraðar innan, uttan vóru tær óbræddarthe inside was tarred the outside (was) untarred
óbundin	1free, independent; (of bird catcher) with no rope round one's waist,hann var farin óbundin niður í bøkkarnarhe had climbed down to the ledge with no rope around his waist;tosið var rættiliga óbundiðthe conversation was quite free/informal2(málfr.)indefinite;navnorð kunnu vera bundin el. óbundinnouns can be definite or indefinite;óbundin fornøvnindefinite pronouns3(bókm.) óbundið málprose;óbundin yrkingprose poem
óburður	abortive foetus
óburin	(bíbl.)(um konufólk) barren, sterile;konan var óburinthe woman was barren
óbúgvin	1not ripe for, not ready for(t.d.the plan is not ready for execution; the time is not ripe for action);málið er enn óbúgvið at leggja fyri fundin2(eis.um fólk) immature(t.d.mind; project; literary work);(serst.um plantur, dýr, fuglo.s.fr.)unripe(t.d.corn; fruit; mind; scheme); infantile
óbygd	uninhabited, unoccupiedel.uninhabitable place;í óbygdumin uninhabited places, in the wilderness, in the wilds
óbygdur	uninhabited, unoccupied, empty;so stór oyggj hevur ikki ligið óbygdit is inconceivable that such a large island has been uninhabited
óbýli	wilderness, waste(s), wilds(flt); flakka úti íóbýli roam/rove/ramble about in the wilderness
óbýttur	not divided into partsel.portions, undivided;drangurin er óbýttur og hoyrir tí til allar fjøruti merkurnarthe rock is not divided into portions and thus it belongs to all the 40merkur(símørk13) (of the village);hetta verður tikið av óbýttumthis portion is taken out before the division/partition takes place;eftir fugli í óbýttum bjørgumgo bird catching on bird cliffs which belong to the village(s) as joint property;mítt og títt er óbýttour property is joint property
óbægurt	íosb.sumtað hevði ikki verið óbægurtit would not have been undesirable, it would have been welcome;ikki óbægurtit is not inconceivable/unthinkable
óbøtandi	irreparable(t.d.damage; injury); irretrievable, irremediable, irreversible
óbøtiligur	irreparable(t.d.damage; injury); irretrievable, irremediable, irreversible;óbøtilig skommirreparable disgrace
ódagfestur	undated(t.d.letter)
ódagi	quarrel, disagreement, dispute, clash, controversy; ódagikom ímillum prestin og fútanthe clergyman and the sheriff were at loggerheads;har eru altíð ódagar millum bøndurnarthe farmers always quarrel/fall out in that place;teir vóru komnir til/í ódagarthey had fallen out/quarrelled with one another
ódagur	(sj.)síódagi;koma til ódag/ódagsfall out, quarrel
ódáð	crime, outrage, atrocity, misdeed
ódálkaður	unblemished, immaculate, spotless; unsullied, undefiled, pure
ódámaður	(of clothes) muddy;plaggið er ódámaðthe cloth looks muddy
ódámligur	unpleasant, objectionable, unlikeable, disagreeable, not nice; unsavoury(t.d.incident; reputation); ódámligurgestur varhe was an unpleasant guest//visitor;ódámlig hugsanunpleasant way of thinking/thought;ódámlig politisk stevnaobjectionable political ideology;ódámlig luftsky that betokens bad weather
ódámur	dirty colour
ódemokratiskur	undemocratic
ódeyði	1(um seyð, of sheep)fara í ódeyðadie by accident (not illness or undernourishment)2maður fer í ódeyðaa man falls/perishes/is killed from a fall (in the bird cliffs);líða/doyggja ódeyðafall (down) in the mountains (in the bird cliffs)
ódeyðileiki	immortality
ódeyðiligleikalæra	doctrine of immortality
ódeyðiligleikatanki	conception of immortality
ódeyðiligleikatrúgv	belief in immortality
ódeyðiligleiki	immortality(t.d.the immortality of the soul)
ódeyðiligur	immortal(t.d.immortal gods; immortal fame; an immortal poem//poet; immortal soul); undying, imperishable(t.d.fame; glory); unfading(t.d.glory);gera ódeyðiliganimmortalize;ódeyðiligar bókmentirimmortal literature
ódirvi	depression, despondency, faint-heartedness
ódjarvur	timorous, timid
ódjór	brute, monster;Vakurleikin og ÓdjóriðBeauty and the Beast
ódlátaður	noisy, boisterous; síólátaður
ódligur	violent, vehement, furious, impetuous;menn vóru ódligir í grind tá í tíðiniat the time when men were hunting pilot whales they behaved like madmen;hjódliga
ódlingur	madman, crazy man;soleiðis tók hesin ódlingurin til orðannathis was the way he expressed himself while being in such a frenzied state
ódn1	1(við slóttur, in hay harvest) swath, the swing of the scythe (the part of a strip of field [teigur] which is mown at one time);hann hevur breiða ódnhis swath is broad2sheep driver's fixed postel.route when the flock is driven from the mountains to the fold;hvør fjallmaður hevur sína vissu ódn at gangaeach and every man has a certain fixed route to walk while driving the sheep;ungdómarnir fingu tær høgligastu ódnirnaryoungters were allocated the easiest routes;hann er komin í sína ódnhe has reached his fixed post3(veðurfr.)hurricane (> 32,7 m/sec.) (wind force 12 on Beaufort scale)
ódn2	1violent, dreadfulel.terrible storm;hann gjørdi ódn av landsynningi eystrian east-south-east storm was raging;ódn í sjónumterribly rough sea;ódn í vindi//brimiterribly strong wind, violent surf/violent breakers2rage, fury, frenzy;tá kom ódn í hannhe flew into a rage3swelling, inflammation, festering; ódnkom í sáriðthe wound became inflamed
ódna1	ódnaein teigmow at one time a strip as wide as one reaches with the scythe
ódna2	become fullel.full-blown storm
ódnarálop	storm, assault(GG:they were preparing to attempt the cityel.the fortress)
ódnarbardagi	hard struggle;(herm.)heavyel.bitter fighting(eis. t.d.)an embittered struggle
ódnarbrestur	stormy weather
ódnarbrim	violentel.rough surfel.breakers;brimið varð til ódnarbrimthe surf turned into violent breakers
ódnarbrot	the foamingel.roaringel.raging sea; violent breakers
ódnardagur	terribly stormy day;hin minniliga ódnardaginthat terribly stormy day never-to-be-forgotten
ódnardun	terrible roaring(t.d.of breakers)
ódnarferð	journey in a heavy stormel.in terrible weather;tað var ein ódnarferð, teir fingu eftir doktaranumthey encountered a terrible weather when they went (to another village) to fetch the doctor
ódnarhugi	violentel.intense passion
ódnarhugur	violentel.intense passion
ódnarhvirla	violent gust (of wind)
ódnarlátur	loud uncontrolled laughter
ódnarljóð	extremely loud noise
ódnarlop	mighty jumpel.leap
ódnarnátt	terribly stormy night, night of heavy stormel.terrible weather;eina slíka ódnarnátt er ljós í hvørjum húsion such stormy nights all the houses are lit up
ódnarregn	torrential rain
ódnarrið	short violent stormel.bad weather of short duration
ódnarróður	very hard rowing
ódnarróp	powerful shout;eg skal gera eitt ódnarrópI'll shout as loud as I can
ódnarsjógvur	1very rough sea;í teirri ringu ársins tíð við harðveðri og ódnarsjógviduring the worst time of the year with violent weather and very rough sea2breakers;út í íðuna, har ódnarsjógvarnir brutuout to the maelstrom where the waves were breaking
ódnarstormur	violentel.full storm, hurricane;helst er skipið gingið burtur í einum ódnarstormithe ship was no doubt lost in a violent storm
ódnartak	1exertion, (violent) effort, supreme effort;mangt ódnartakið varð tikið, og mangur sveittadropin rannthe work was extremely hard and we were streaming with perspiration2(fl.m.)a great achievementel.exploitel.feat;tað skuldi eitt ódnartak til at fáa alt aftur í rættlagit was a great achievement to set/put things to rights(eis. t.d.get the finances into shape)
ódnaruppgangur	violentel.rough surfel.breakers
ódnarveður	violent storm;tað var ikki illveður, tað var ódnarveðurit wasn't bad weather it was a full-blown storm
ódnarvetur	stormy winter
ódnarvindur	storm
ódning	(stb.)síódn11
ódnur	síódn1
ódoyggjandi	immortal(t.d.immortal gods; immortal fame; an immortal poem//poet; immortal soul); undying, imperishable(t.d.fame; glory); unfading(t.d.glory); everlasting
ódoyptur	unbaptized
ódrekkandi	undrinkable, not fit to drink
ódrevjaður	eta ódrevjaða hvonn eat angelica before the fibres have been removed from the stalk
ódrukkin	1not drunk2sober, not drunk
ódrúgvur	insubstantial, uneconomical (since it does not last long);skerpikjøt er ódrúgtwind-dried mutton is uneconomical
ódrýggiligur	(of food) uneconomical
ódrýggjaligur	síódrýggiligur
ódugnabjølgur	síódugnakroppur
ódugnadjór	síódugnadýr
ódugnadýr	incompetent, inefficientel.incapable person, useless person
ódugnakroppur	incompetent, inefficientel.incapable person, useless person; idler, slacker, lazybones, lazyboots;ódugnakroppar sita við nógva jørð uttan at gera gagn úr hennimany useless persons own much land which they do not cultivate
ódugnaligur	incompetent, inefficient, incapable, inept,(tlm.)useless
ódugnamaður	incompetent man; an incompetent, a good-for-nothing, a ne'er-do-well;(tlm.)a dud(t.d.the new headmaster is a dud)
ódugnaskapur	incompetence, inefficiency, incapability, incapacity, ineptness;(tlm.)uselessness
ódugnavætti	incompetent, inefficientel.incapable person, useless person; idler, slacker, lazybones, lazyboots;siður var at revsa ódugnavætti og ódugnaskap við at yrkja táttin days of old incompetent persons were castigate the way that satirical ballads were written about them
óduguligur	síódugnaligur
óduldur	open, clear, plain, obvious, patent, overt, unconcealed, undisguised;óduldur fíggindaskapuropen/overt hostility
ódygd	1defect, blemish;tað er eingin ódygd í títhat is not a defect2outrage, crime, misdeed, illel.evil deed, atrocity, meanness, shabbiness, caddishness;góð tíð var hjá hermonnunum til allar ódygdirsoldiers had a good opportunity to play out their depraved propensities3ein ódygdsordid, shabby, squalidel.mean person;(niðr.) hon hevur altíð verið ein ódygdshe has always conducted herself badly4(serst.um kríatúr,espof animals)gera sínar ódygdirshit and piss
ódyggur	1unreliable(t.d.he is unreliable in money matters); untrustworthy, undependable(t.d.undependable servant); unsafe(t.d.newspapers are unsafe guides to a student of public opinion); disloyal, faithless, false;ódyggir eru frændurone's own relatives are not always reliable2unsafe(t.d.bridge); unsolid(t.d.foundations); shaky(t.d.furniture; building; foundations; undertaking); draughty(t.d.draughty corridors);húsini vórðu ódygg, tá ið minurnar brustuthe house//houses was//were shaky when mines exploded;tað verður ikki heitt inni, húsini eru so mikið ódyggthe room cannot be heated the house is too draughty
ódyrkaður	(landb.)uncultivated, untilled
ódýr	síódjór
ódýrur	cheap(t.d.clothes; seats; tickets); inexpensive(t.d.hotel); low-priced(t.d.goods);bøkur eru ódýrari enn áðurbooks are cheaper now than they used to be
ódællur	nasty, unpleasant, disagreeable; spiteful, malicious, malignant, malevolent, vicious;teir vóru ógvuliga ódællir manganthey were nasty and often fought;hann var ráur og ódællurhe was rude and nasty;hann var ógvuliga ódællur í uppvøkstrinumhe was unmanageable during his adolescence/youth
ódælur	síódællur
ódæmsligur	dirty (colour)
ódømi	unwarrantableel.inexcusable action, senselessel.absurd state of affairs;tað er ódømi, at bøurin skal liggja so í órøktit is inexcusable that the infield is lying untended;ódømi at fara til skips longu á 14-15 ára aldriit is unwarrantable that boys of only 14 and 15 go out fishing;tað er ódømi, sum hann skikkar sær illait is scandalous the way he behaves
óðadøla	wild girl
óðal	allodium, freehold (land);jarlar høvdu oyggjarnar í len, men ongantíð sum óðalearls had the islands as fief, but never as allodium;til óðals og ognarwhich one has full rights of possession
óðalborin	(skaldsk.)síóðalsborin
óðalsborin	heir to allodiumel.freehold (land)
óðalsbóndi	yeoman, freeholder, owner of freehold land
óðalsbygd	village with (a predominance of) allodiumel.freehold land
óðalsbýta	(um jørð, of land) exchange property;hann óðalsbýtti hagan í Skálavíkhe exchanged his freehold in the outfield of the village of Skálavík (for...)
óðalsbýti	exchange of propertyel.real estate
óðalsbøur	allodial infield;hon bað fáa teimum eina kornveltu í óðalsbønumshe asked the owners to give them a corn field in the allodial infield
óðalsgarður	freehold farm
óðalsjørð	allodium, freehold (land);óðalsjørðin er so smábýtt, at ognarmenninir kunnu ikki liva av hennithe allodial land is divided into so small allotments that the owners cannot support themselves by tending the land
óðalsmaður	yeoman, owner of allodiumel.freehold land
óðalsrættur	(sø.)right of allodiumel.freehold land;Haraldur kongur tók ikki frá teim óðalsrættinKing Harold did not deprive them of the right of allodium/freehold land
óðamannahús	(sø.)(lunatic) asylum;hann hevur verið óður í høvdinum og sitið í óðamannahúsinumhe has been insane and has been institutionalized in an asylum
óðamannatos	madman's talk, totally irresponsible talk;nógvir hildu tað vera óðamannatosmany people found this to be totally irresponsible talk
óðamannaverk	act of madness;tað var óðamannaverk at vera á sjónum í slíkum ódnarveðriit was sheer madness to be at sea in such stormy weather
óðast	behave noisily, make a noise;ganga og óðastwalks about making a noise;tað er ræðuligt, sum tú óðastyou are making a frightful noise
óðinshani	(fugl.)redwing(Turdus iliacus)(Linnaeus, 1766)©iStock
óður	1(violently) angry, mad, furious, infuriated, in a rage,el.fury, in a tearingel.towering passionel.rage;hann var ikki illur, men dansandi óðurhe was not angry, he was furious;tá gjørdist maðurin spinnandi óðurthe man then became furious;óður inn á (e-n)angry with (sby);leika óðurbe furiousel.enraged;bæði óður og góðursometimes good-tempered and sometimes bad-tempered(eis. t.d.she has her ups and downs);tað fæst hvørki við óðum ella góðumyou cannot make it do it if it does not want to (of a stubborn animal)2mad, demented, lunatic, insane, mentally deranged, out of one's mindel.senses; óðurí høvdinuminsane/mad;sum eitt ótt(ein ið ørur er) like someone demented;(orðt.) hann er ikki óður, ið ilt ræðisthe who has a thought for the consequences does not lose his temper3very keen onel.about (sbyel.sth), mad about; greedy (for)(t.d.greedy for gold), covetous (of)(t.d.covetous of gain), avid (of/for);hon er óð eftir mannfólkishe is mad about men;hann er óður eftir verðinihe is covetous of worldly goods/possessions4with the wrong side out, inside out; turned the wrong way, wrong, the wrong way(t.d.I have got my shirt on the wrong way);hann nýtir eitt mál, sum er beint í øðrum førum, men ótt herhe uses a measure which is correct in some cases, but wrong here;fara upp í óðum verkumget up/out of bed at an unearthly hour(i.e.very early);tað var í óðum verkum gjørtit was a rash act,it was a hasty decision;taka óttmake the wrong choice, choose badly;lesa ótt(skeivt) read wrongly/incorrectly;ótt (upp) á fót/upp á beinwith shoes on the wrong feet;tað vendir óttit is turned the wrong way
óeginligur	figurative, metaphorical
óegndur	without bait
óeitur	(lækn.)anatoxin
óektaður	1(eftirgjørdur) artificial(t.d.pearl; stone); sham(t.d.jewel); imitation(t.d.gold; marble; silver; pearl); mock(t.d.tortoiseshell); (um falsan) false; spurious(t.d.a spurious Rembrandt); counterfeit2(sum letst sum um) sham(t.d.piety); spurious(t.d.sentiment); counterfeit(t.d.emotion); bogus, phoney(t.d.cordiality); insincere, disingenuous, feigned3(ónatúrligur, skaptutur) artificial(t.d.manner); affected(GG:his cordiality is merely put on)4(um listaverk, skrift) unauthentic, spurious(t.d.text); apocryphal5(tlm.óskilgitin) illegitimate(t.d.child)6(stfr.) óektað brotimproper fraction
óella	síógvella
óendaligur	1infinite(t.d.distance; number; power; time; space is infinite); (ógreiðari) limitless(t.d.desert); measureless(t.d.distance); boundless(t.d.the boundless desert//ocean)2(ómetaliga stóruro.tíl.)infinite(t.d.gratitude; kindness; of infinite importance; God's infinite mercy; take infinite pains); immense(t.d.quantity; distance); extreme(t.d.shyness; vanity; weakness)3(endaleysur) unending(t.d.complaints); endless(t.d.debates; difficulties; it gave us endless trouble); perpetual, interminable(t.d.interminable quarrels; an interminable journey); eternal(t.d.their eternal bickerings); everlasting(t.d.quarrels); ceaseless4[sumhj]óendaliga; infinitely(t.d.a line infinitely prolonged; I am infinitely indebted to you); immensely, extremely(t.d.weak); exceedingly
óerla	(stb.)síógvella
óetandi	1(bókstavliga) inedible2(óhóskandi sum mannaføði) unfit for human consumptionteir hildu kobban vera óetandithey were of the opinion that the seal was unfit for human consumption3(illa matgjørt) uneatable, inedible; (spýggiligur) revolting
óetin	not eaten;hetta verður óetiðthis is unfit for human consumption
óeydna	1(vantandi eydna) ill luck, bad luck2(sum hilnast illa) failure, miscarriage, ill-success(t.d.of our plans)3hava óeydnu við særbe unlucky(t.d.it is unlucky to walk under a ladder);sum gevur e-m óeydnuwhich brings sby bad luck;ein óeydnaa stroke/a piece of bad luck, a mishap, a mischance;(tlm.)a bad break(t.d.that was a bad break for you);(eis.)an accident;hann er óeydnumaðurhe is dogged by ill luck/misfortune
óeydnis-	síóeydnu-
óeydnu-	óeydnudagur, -ferð, -fuglur, -gerð, -ligur, -maður, -pláss, -samur
óeydnuboð	síófrættaboð
óeydnuboðari	síófrættaboðari
óeydnudagur	an evil day; an ill-starred day; a black day
óeydnuferð	ill-starred expeditionel.journey
óeydnufuglur	síófrættafuglur
óeydnumaður	accident-prone man
óeydnusamur	unlucky(t.d.an unlucky gambler); unsuccessful(t.d.candidate, competitor, speculator); ill-starred(t.d.the ill-starred expedition)
óeydnuspádómur	síófrættaspádómur
ófalur	1íosb. taka ófaltchoose sth one would not choose (under normal circumstances), choose sth less suitableel.convenient;hann tók ófalthe was pressed to take sth he did not really want to take2not available, not at disposal;eg skrivi við hond, maskinan er ófalI write by hand because the typewriter is not available
ófanta	(um veður, sjógv, of weatherorsea) nasty, rough;tað var ófanta veðurthe weather was rough
ófantaligur	1(um klædnaburð) disorderly, disarranged, slovenly, untidy;hví gongur tú so ófantaligur?why are you so untidily dressed?2slovenly, slapdash, skimped, botched;ófantaligt arbeiðibotched up piece of work;ófantaligur arbeiðsmaðuruntidy worker, a worker who does a botched-up piece of work3(um sjógv, of sea) rough; ófantaligursjógvurrough sea4(um fólk, of people) coarse, improper, unseemly, indecent; ófantaligurí orðumusing an obscene language
ófantaveður	bad weather, stormy weather
ófarandi	impassable(t.d.country lanes that are often impassable in winter; roads made impassable by fallen trees)
ófaratøkin	(stb.)negligent, incautious
ófarin	tað er nú betri ófarið it would have been more sensible not to go/leave (in such weather)
ófastur	diffuse; vague(t.d.a vague idea); blurred; rambling, impalpable, intangible;gav meg at droyma kámar og ófastar dreymaI began to dream vague and diffuse dreams;eitt so ófast, ja so lítið veruligt hugtaksuch a diffuse, indeed an impalpable concept
ófatandi	1inconceivable, incomprehensible2notel.hardly discernibleel.distinguishable(t.d.object; sound); extremely small
ófatiligur	inconceivable, incomprehensible;tað er púra ófatiligt, hvussuI can't conceive how, I am at a loss to understand how,(tlm.)it beats me how
ófegin	sad, joyless
ófeginsbrúgv	right eyebrow;meg skríður í/um ófeginsbrúgvmy right eye (eyebrow) is itching (so something unpleasant is in store for me); sífeginsbrúgv
ófeginsbrún	(gl.)síófeginsbrúgv
ófeigur	not destined for death, not ready to die;eingin doyr ófeigurno one dies who isn't destined to die
ófeingi	(lækn.)immunity; resistance(t.d.their resistance to tuberculosis is low); eis.mótstøðuføri, órin
ófeingin	(lækn.)immune(fyrifrom, against, to); resistant; eis.mótstøðuførur, órinin
ófellandi	irrefutable, unanswerable, incontrovertible; ófellandiprógvan incontrovertible proof
óferð	(sj.)misfortune, ill luck; óferðí hannbad luck/bad cess to him!
