kabarett	cabaret, show
kaldligur	1(um veður) chilly,ein kaldligan heystardagon a chilly day in autumn2(um verumáta) chilly, unfriendly;kaldligt var teirra millumthere was no good understanding (, friendship) between them3hj-ligain a chilly way, without friendliness,hann tók heldur kaldliga ímóti teimumhe welcomed them in a chilly way
kaldlyntur	insensitive, blunted, callous
kaldroyking	cold-smoke curing
kaldroykja	cold-smoke cure
kaldroyktur	kaldroykt sild bloater
kaldsmíða	(handv.)forge cold
kaldsótt	(lækn.)malaria;[malaria hæmoglobinurica]blackwater fever;[perniciøs malaria]pernicious malaria
kaldstoypa	(handv.)cast at a low temperature
kaldur	1cold(t.d.it is cold today; the tea is quite cold); (ógvuliga kaldur,eis.)frigid(t.d.the room was positively frigid);(landafr.)frigid(t.d.the frigid zones); (ótespiliga kaldur) chilly(t.d.a chilly room); (um verumáta) cold(t.d.his manner to me was extremely cold); frigid(t.d.with frigid politeness); (frískligt og kalt,t.d.um veður) nippy2(kenslukaldur) cool, calm; insensitive, unfeeling3(kynsliga kaldur) frigid4dead,sláa e-n kaldanbeat the life out of him;hann sat kaldur í látrihe was splitting his sides with laughter;tað verður kalt í bjørgunumthe birdcliffs will be deserted5(stb.)skinny6(sj.)unable to sing (in tune), unmusical7[ísamb.viðnogfn]kalt baðcold bath, cold tub; (stoytibað) cold shower;kalt bak (lækn.)cold compress;í køldum blóðiin cold blood(t.d.murder sby in cold blood);kalt borðcold buffet(el.collation);kaldi friðurin (polit.)the cold peace;eg havi kaldar føtur (, hendur)my feet (, hands) are cold;fáa (, hava) kaldar føtur (eis. fl.m.)get (, have) cold feet;Scrap out;kalt hjartacold heart;kaldur sum ísuricy (cold);(fl.m. eis.)glacial, frigid;køld jørðcold soil;kalt kríggjcold war;kaldur liturcold colour;køld roykingcuring in cold smoke;kaldur rætturcold dish;kaldur sveitticold sweat;kaldur tónifrigid tone;kaldur turkurcold turkey8[ísamb.viðs]halda høvdið kaltkeep a clear head; keep one's head; keep cool; keep one's lid on; keep one's nerve;sláa kalt vatn í blóðiðtake it easy, cool down;tað var sum at fáa ein spann av køldum vatni í høvdiðit was a dreadful come-down;vera kaldurbe(el.feel) cold9[ísamb.viðfs/hj]tað var kalt í veðrinumthe weather was cold;vera kaldur mótvegis e-mtreat sby with coldness;tað fór mær kalt niður eftir rygginumit chilled my spine, it sendt a cold shiver down my back;eg eri kaldur um hendurnarmy hands are cold
kaldvátur	wet and cold
kalendaraár	calendar year (t.d.use the calendar year as the income tax [fiscal] year
kalendari	1calendar(t.d.the Gregorian (, Julian) Calendar), almanac;skræða ein dag úr kalendaranumtake a day off; (at skriva í,t.d.avtalur) diary, appointment book, engagement book2(stjørnufr.) calendar3(árbók) annual, yearbook
kali	(evnafr.)potash;kolsúrnað kalicarbonate of potash;salpetersúrnað kalipotassium nitrate
kaliff	(stb.)(as) drunk as a lord(el.a billy goat);(óvand.)pissed as a newt
kaliffur	(sø.)caliph
kalikur	(kirkj.)chalice;(fl.m.)cup;ein beiskur kalikura bitter draught(el.cup), a cup of bitterness;tøma pínunnar kalikdrain the cup of woe(el.of bitterness)
kalin1	(a little) damp, (a little) clammy;lakið er kaliðthe sheet is clammy;veðrið er kaliðthe weather is chilly;her er so kalið inniit is cool in here
kalin2	leaning, inclining, slanting, sloping, tilting, tipping
kalium	(evnafr.)potassium
kalkun	(fugl.)turkey(Meleagris gallopavo)(Linnaeus, 1758)©iStock
kalkunur	síkalkun
kalkúnur	síkalkun
kall1	(kvæð.)síkallur
kall2	1(innari máttur) vocation,fylgja sínum kallifollow one's vocation call;(serl.átr.) call2(lívssetningur, gerningur) vocation, calling, mission (in life)3(prestakall) living4(róp, kallan) call5(teld.)call
kalla	1call, shout;(bíbl.) kalla eincall someone; ordaine someone a clergyman;skyldan kallarduty calls;tú kemur sum vart tú kallaðuryou are the very man (, womano.s.fr.)we want;at kallaso to say, so to speak(t.d.you are one of the family so to speak; you are so to speak one of the family); as you might say; in a manner of speaking; (meira skaldsl.) as it were;(t.e.næstan) practically(t.d.practically useless); almost, as good as(t.d.as good as new);nú er hann frískur at kallanow he is, so to say, restored to health2(radio, tlf.) call(t.d.London calling; calling all cars; call a number)3name, call, designate, call(t.d.that tool is called a jack; we call him Jim; he called me a fool);tey kalla fjallið Hestinthe mountain is called Hesturin; term(t.d.this is what logicians term "participation"); (fáa starvsheiti) style(t.d.he is styled "your Grace")4(halda, meta)hatta kalli eg (t.d. at dansa)!that's what I call(t.d.dancing)!hatta kanst tú kalla vinalag! (eis.)there is friendship for you!hatta kalli eg eina mynd! (eis:)this is some picture!5give name, give nickname,kallanickname(t.d.they nicknamed Edward VII "the Peace-Maker"); dub6[ísamb.viðfs/hj]kalla aftur1 call back, recall 2 (taka aftur) withdraw(t.d.an application, a proposal); retract(t.d.a statement); recall, revoke(t.d.an order, a permission);kalla aftur til lívs(skapa) bring(el.call) into being; (vekja frá deyðum) call (back) to life;kalla burturkalla (e-n) burtur úr ættgive a name which is foreign to the family;kalla heimverða kallaður heim (doyggja)be called home(GG:God has called him home);kalla samancall together, summon, convoke, convene; (til fundar) call a meeting;kalla uppcall after, name after,(t.d.they called him John after his father)7kallastbe called; called(t.d.a girl called Dimples); known as(t.d.a burglar known as Black Jim; the disease known as the flu)8kallaðurkenna seg kallaðan tilfeel called upon to(t.d.I don't feel called upon to criticize him); (átr.o.s.fr.)feel a call to;vera kallaður til at prædika evangeliiðbe called to preach the Gospel;(bíbl.) mangir eru kallaðir, men fáir útvaldirmany are called but few chosen
kallan	1síákallan 22nicknaming
kallari	(gl.)herald
kallavøttur	(stb.)síkallvøttur
kallblóma	(plfr.)staminate flower, male flower
kalldjór	(dýr.)male animal
kalldýr	(dýr.)síkalldjór
kallfiskur	(fisk.)male fish
kallhormon	(lívfr.)testosterone
kalligerðalisti	call log
kallihámark	max call limit,maximum call size
kallilinja	calling line
kallingartól	beeper, bleeper
kallinna	(bíbl.) hon skal eita kallinna, tí av kallinum er hon tikinshe shall be called Woman, because she was taken out of Man
kallitól	radio paging system
kalliyvirlit	call history
kallkendur	masculine, male; men's(t.d.men's concerns, attitudes); mannish
kallkyn	1male sex2(málfr.)the masculine, the masculine gender
kallkynsorð	(málfr.)masculine (word), word of masculine gender
kallleggur	male line (of descent);(GG:patrilinear inheritance)
kallmaður	1man, male person (ballad)2big, strong man3strong woman,hon er rættur kallmaður el. ein sannur kallmaðurshe is strong as a man
kallmansbragd	achievement, exploit, feat
kallmansligur	manly, masculine; mannish
kallmansnevi	large fist
kallmenni	síkallmaður
kallmøguleikar	dialling options
kallrím	(bókm.)masculine rhyme
kallskøp	male organ, male member
kallur	1man, male person,(skyldur) bæði til kals og konuboth on the male and the female side;Gud skapaði tey kall og konumale and female created he them2old man
kallvera	male
kallvøttur	(gl.)knob cosy
kalna	(sj.)í osb: kalna burtur die away
kaloria	(alisfr.)calorie, calory
kalsbók	record
kalsbræv	deed of institution
kalsdóttir	(í ævintýrum) stepdaughter
kalsium	(evnafr.)calcium
kalskampur	(plfr.)beech fern(Dryopteris)
kalsligur	masculine, male, men's(t.d.men's concerns, attitudes)
kalsmaður	district officer's assistant
kalsoyingur	person from the island of Kalsoy
kalsvagnur	(stjfr.)Kalsvagnurin the (Great) Bear, Charles's Wain, the Plough;(am.)the Dipper
kalt	seekaldur
kalur1	1strapping fellow2(stb., sj.)[big saithe]
kalur2	(serl. um stein)sharply sloping, shelving;yvirskriftin er prentað við kalum stavumthe headline is printed in italics
kalvaagn	halibut bait
kalvabak	back of a halibut;í osb: (hált) sum á kalvabakiextremely slippery;tað er sum á kalvabakiit is like the back of a halibut
kalvabeita	[strip of halibut's stomach used as bait]
kalvafiskur	flesh of halibut,hava kalvafisk til døgurðahave halibut for dinner
kalvaflundra	small halibut
kalvaheysur	síkalvahøvd
kalvahúkur	halibut hook
kalvahøvd	halibut's head
kalvaleið	[fishing ground where halibut are caught]
kalvalivur	liver of halibut
kalvalína	halibut line
kalvalús	(dýr.)parasite on halibut
kalvalýsi	halibut-liver oil
kalvamið	[fishing ground where halibut are caught]
kalvaongul	síkalvahúkur
kalvaravi	ravi of a halibut
kalvaróður	halibut fishing,tað er bara um summarið at kalvaróður erit is only in the summer that halibut fishing takes place
kalvasandflundra	(sj.)sísandflundra
kalvaspjaldur	síspjaldursísíspjaldur(2)
kalvaspragga	small halibut
kalvasprek	síkalvaspragga
kalvatíð	halibut season
kalvatíggjund	(sø.)tithe of halibut
kalvaveiða	halibutfishing, halibutfishery
kalvi	(fisk.)halibut(Hippoglossus hippoglossus)
kamar	1room; (lítið) small(-sized) room; single bedroom; (gestakamar) guestroom, spare bedroom; (gentukamar) maid's room;(sigl.)cabin; (fínari) stateroom2(í maskinu, skotvápni) chamber3(tingm.) chamber, house4(dómstólur) court;(sø.)chamber5(í gravheyggi) chamber
kamaradvokatur	(løgfr.: svarar umleið til)Junior Counsel to the Treasury
kamardúkur	(sj.)cambric; (tunt) lawn
kamarharri	chamberlain, Lord-in-Waiting, Lord of the Bedchamber; (ikki sum bara tittul í Ongl. og ikki framman fyri navni); kamarharri X Mr (, Lord, Sir John,o.s.fr.)X, Lord of the Bedchamber (etc.)
kamarjunkari	1(uml. =)Groom of the Chamber, Groom in Waiting; (ikki sum berur tittul í Ongl. og ikki framman fyri navnið)2(lítil karvingur, kann verða endurgivið) small rusk
kamarmoyggj	chambermaid; (privat) lady's maid
kamarsangari	[a Danish title]; "court singer"
kamarsdyr	doorway to a room
kamarstílur	chamber music style
kamarsveinur	valet(t.d.no man is a hero to his valet)
kamartóni	1(tónl.)concert pitch2(sk.)the (right) tone;seta kamartónanset the tone
kamartónleikur	(tónl.)chamber music
kamartænari	valet(t.d.no man is a hero to his valet)
kambalag	(gl.)[clamp which holds horn in combmaking]
kambari	(sø.)síkambasmiður
kambasmiður	comb maker
kambfjøður	(lækn.)wart (verruca)
kambrium	(jarðfr.; tíðarskeiðið frá 541 mill árum síðan til 485,4 mill ár síðan) the Cambrian Period, the Cambrian
kambsgjør	(fugl.)great crested grebe(Podiceps cristatus)(Linnaeus, 1758)© Daniel S.
kambskorin	(plfr.)pectinate(d)
kambur	1comb2(gl.: tókambur)einir kambara pair of woolen combs3(á viði) tongue4(á fjalli) crest, ridge5(á aldu) crest; comb6(tilt.) skera øll yvir ein kambapply the same yardstick to everybody; lump them all together;(tilt.) fáa kamb til háriðmeet(el.find) one's match, catch a tartar
kamelur	(dýr.)camel;eg varð noyddur at svølgja ein kamelI had to grin and bear it; I had to put up with it;hann hevur verið noyddur at svølgja nógvar kamelarhe has had to put up with a lot;(bíbl.) síla mýggjabitið frá, men gloypa kamelinumstrain at a gnat and swallow a camel; straining out a gnat and swallowing a camel; you strain off a midge yet gulp down a camel
kamfur	camphor,viðgera við kamfurcamphorate
kamfurdropar	camphorated spirits
kamfurhavin	camphoric
kamfurluktur	smell of camphor
kamfurolja	camphorated oil
kamfurtræ	camphor tree(Cinnamomum camphora);(viðurin) camphorwood
kamilla	(kryddurt) camomile
kamillute	camomile tea
kamin	(í húsum) chimney
kammirátligur	1hj.kammirátligain a friendly spirit, in a spirit of good fellowship2friendly; chummy(t.d.he was not very chummy); sporting(t.d.that was not very sporting of you)
kammirátur	companion(t.d.a companion of his youth); (retoriskt, kommunistur) comrade(t.d.comrade Stalin);(tlm.)mate(t.d.me and my mates had a few drinks at the local); pal, chum;(am. tlm.)buddy; compadre; (í tiltalu) old fellow
kampagrót	(jarðfr., samn.)granite boulders
kampaluft	(stb., sj.)dense cloud cover
kampannaknútur	half-hitch
kampasoppur	(plfr.)mushroom(Agaricus)
kampatorv	[type of turf: polytrichum-calluna turf]
kampingur	síkampatorv
kampsgras	(plfr.)crested dog's-tail(Cynosurus cristatus)
kampur1	1whiskers;(yrkism.)vibrissae,bíta á kampiclench one's teeth, grind one's teeth (in furyel.from pain)2kampar1insect's antenna2(skeggstubbar; "lúsaleytari") whiskers, stubble (a stubble of beard)3(útv.)aerial
kampur2	(tlm.)fight, contest;sí eis.dystur,stríð
kamputur	(sj.)síkomputur
kams	[dough of fish liver, flour and salt for stuffing cod]
kamsseiður	[boiled coalfish withkams]
kamsur	(stb.)síkams
Kanada	Canada
kanadamaður	Canadian;(tlm.)Canuck
kanadatrani	(fugl.)shandhill crane(Grus canadensis)(Linnaeus, 1758)© Diana Robinson
kanadiskur	Canadian
kananeari	Canaanite
kananeiskur	Canaanitic
kanariufuglur	canary (Serinus canarius)
kandidatur	1síumsøkjari;sívalevni2(próvtøkukandidatur) candidate, examinee; (sum hevur staðið prógv) graduate (of an institution of higher education)
kandis	rock (sugar) candy
kandisbiti	piece of (sugar) candy
kandismoli	síkandisbiti
kandissukur	sugar candy; barley sugar
kanel	cinnamon;heilt kanelstick of cinnamon;stoytt kanelpowdered cinnamon
kanin	(dýr.)rabbit(Oryctolagus cuniculus);(á barnamáli) bunny (rabbit)Oryctolagus cuniculus ©Wikimedia Commons
kanna1	1jug(t.d.a jug of milk); (stór keramikkkanna,t.d.fornfr.) pitcher;(am.)pitcher; (kaffikannao.s.fr.)pot; (servantekanna) ewer;sum kannanabsolutely watertight2(gl.mál) about 4 litres3(sum mát) jugful, pitcherful, potful
kanna2	be called the owner of sth;(serl.um børn) be considered the owner of a domestic animal,hann barkannuna av ærinihe was considered the owner of the ewe
kanna3	1(sýnao.s.fr.)examine(t.d.a document, a picture); inspect; go over, go through(t.d.an account); (eftirkannandi) check up on(t.d.an alleged theft; sby's alibi); monitor(t.d.air quality);(serl. am.)probe(t.d. sby'sofficial conduct); (gjølliga) overhaul(t.d.a machine); scrutinize(t.d.an account, a document); (um pass- og tollmyndugleika) examine, check(t.d.passports, luggage);(lækn.)analyze, assess2(granskao.s.fr.)examine(t.d.a statement, a theory); inquire into(t.d.a problem); check(t.d.figures); investigate, look into(t.d.this must be looked into), probe, study; explore(t.d.the possibilities); make a study of; (gjølliga) scrutinize3(royna) test(t.d.sby's qualifications);kannagjøllari (eis.)weigh (t.d. solutions, suppliers)4(leita, rannsaka) search(t.d.a house, sby's pockets); go through(t.d. sby'spockets, sby's papers); be through(t.d.somebody has been through my trunks);(lækn.)examine(t.d.be examined by a doctor); go over(t.d.the doctor went over me very carefully); (gjølliga) overhaul;(tlm.)vet(t.d.applicants are vetted by a doctor)5(løgfr.)investigate(t.d.a crime); examine(t.d.a case); inquire into(t.d.an accusation, a case, a scandal)6(viðgera) examine, discuss(t.d.a problem, a subject)7(vísindaliga) investigate, make researches into, inquire into, study, make a study of8kanna e-m e-tdeclare (, proclaim) someone to be the owner of sth; claim (, maintain) one's right to something,báðir partar kannaðusær haganboth parties claimed that the outfield belonged to them9give, allot,tey høvdu kannað honum eittlambthey had given him a lamb10(kvæð.) kanna lið(ballad) inspect the troops11(orðt.) eingin skal kanna sær bitan, fyrr enn hann er svølgdurthere is many a slip between cup and lip;don't count the chickens before they are hatched;(orðt.) leingiskal góðum kanna(st)good deed will be long remembered12[íyms.samb.]kanna eitt gjøllainvestigate(el.studyel.examineel.scrutinize) sth thoroughly(el.closelyel.carefully); go carefully into sth(t.d.the matter has been carefully gone into by our experts); make a close study of sth;kanna eitt gjølligarigo (more closely) into sth; examine sth more closely; scrutinize sth more closely;eg kundihavt hug at kannað tað gjølligariI should like to go a little more closely into it;(ofta =)I should like to have a good (, a second) look at it;kannakumpassirnaradjust the compasses;kanna máliðinquire(el.goel.look) into the matter, make inquiries; investigate the matter;kannamøguleikarnar fyriexplore(el.studyel.investigate) the possibilities of;kanna eitt sár(lækn.)explore(el.probe) a wound;kanna uminquire whether; (try to) find out whether;ikki kannaðút í æsirunplumbed(t.d.potential);kannaviðurskiftinimake investigations, investigate matters; (til tess at kunna seg) see how the land lies
kannan	examination, inspection;sí eis.kanning
kannari	examinor, investigator, research worker, (í stuðulsmálum) welfare officer
kannikur	(kirkj.)canon
kanning	1examination (of)(t.d.a close examination of the goods (, of the papers)); inspection (of); overhauling, overhaul (of)(t.d.a throrough overhaul of the engine); scrutiny (of); (eftirkannandi) checkup (on)(t.d.a checkup on the story);(tlm.)going-over(t.d.give it a good going-over);(serl. am.)probe(t.d.a probe was ordered into his conduct of the affair); (pass, ferðagóðs, viðføri) examination, check;(lækn.)exploration, investigation, study, survey, assessment, work-up2examination (of), investigation (into, of)(t.d.an investigation into(el.of) the incidence of tuberculosis); inquiry (into)(t.d.the Government ordered an inquiry into hours and wages); study(t.d.a study of conditions in the ghetto); scrutiny (of); study (of)3testing (of); test (of)4search (of)(t.d.a search of the room yielded no result)5examination(t.d.undergo a medical examination); overhaul(ing) (of); checkup;(tlm.)vetting6investigation (of)(t.d.order an investigation of a case); inquiry (into); examination (of)7examination (of); discussion ( of)8research (over on, into)(t.d.historical research, scientific research); investigation (of, into)(GG:investigations have been carried out on the nature of); inquiry (into); study(t.d.make a study of cancer in mice; clinical studies); (hagfrøðilig kanning) survey(t.d.of voters' attitude to the EU)9[íyms.samb. ]almennkanning public investigation;(serl. am.)probe;eftirdrúgvar og nágreiniligar kanningar kom nevndin til ta niðurstøðu at after prolonged and careful investigations(el.inquiries) the committee arrived at the conclusion that;fara undirrættarliga kanning institute a judicial(el.legal) inquiry(t.d.into sby's affairs);gerakanningar (2) make inquiries(t.d.we are making inquiries about the lost letter); carry out investigations; (8) carry out research(es);do research;gera eina kanninginstitute an inquiry(el.an investigation);gera gjøllari kanning avgo (more closely) into sth; examine(el.scrutinize) sth more closely;gera eina partleysa kanning av málinumsubmit a question to an impartial examination(el.inquiry);gjølligkanningthorough(el.careful) examination(el.investigationel.scrutiny);við gjølligari kanningon (closer) examination; on closer inspection;hetta hevur uppiborið gjølligari kanningit deserves(el.merits) closer examination(el.studyel.investigation); it would repay investigation; it ought to be looked into;teyhalda framvið sínum kanningumthey are still pursuing their investigations;leggja e-n inntil kanningar put sby under observation;mikroskopiskkanning microscopic examination(el.test), microscopy;rættarlig kanningjudicial(el.legal) inquiry;setakanning í verk institute an inquiry(el.an investigation); set an investigation on foot; (um myndugleikaeis.)order an inquiry(t.d.into an accident);úrslitið av mínum kanningumthe result of my inquiries;vera til kanningar;hann er til kanningar(hjá lækna) he is having a medical examination;málið er til kanningarthe matter is being inquired(el.looked) into; the matter is being studied(el.investigated);verða sendur til kanningar(1, 5) be submitted to an examination; (3) be submitted to a test;vísindalig(ar) kanning(ar)(scientific) research(es)
kanningararbeiði	investigationsflt
kanningarborð	(lækn.)examination table(el.couch)
kanningarboring	exploration drilling
kanningardómari	examining magistrate
kanningarferð	expedition(t.d.take part in an expedition; he is on an expedition in Greenland),(sigl.)voyage of discovery
kanningarflogfar	(herm.)reconnaissance aircraft
kanningarfráboðan	checking notification
kanningarháttur	(lækn.)diagnostic method, method of examination(el.of investigation)
kanningarlega	(lækn.)examination(el.examining) couch
kanningarnevnd	(sumt.d.skal greiða eitt mál) court(el.committeeel.commission) of inquiry; (sum skal útvega upplýsingar) fact-finding committee(GG:the Government appointed a committee to investigate the matter); working party; (óheft av, men knýtt at stjórn) quango
kanningarreiði	exploration rig
kanningarrættur	(løgfr.)police court, magistrate's court;(am.)city court
kanningarskip	survey ship
kanningarskylda	[duty to examine sth]; (keyparans: svarar til) caveat emptor
kanningarstjóri	exploration manager
kanningarstova	laboratory;(tlm.)lab
kanningartilfar	material (to be) investigated
kanningarær	(stb., sj.)[ewe of which one has permission to be considered the owner]
kannkolla	1close-crop,hann var kannkollaðurhis hair was close-cropped2(um rúm) transform (radically), turn upside down3pull down a house
kannkollutur	1bald, bald-headed, bald as a coot2close-cropped3humble; simple and plain; (um borð) frugal
kannubarabundi	sífavnabundi
kannubaradrýlur	[drýlurcontaining 1/6 of askeppa(= 17.39 litres) of flour]
kannubari	(gl. , rúmmál)[measure for dry goods]
kannubjølla	(plfr.)horsetail, paddock pipe(Equisetum)
kannubjøllustrá	(plfr.)horsetail(Equisetum)
kannubjøllutræ	(plfr.,jarðfr.) scale tree, lepidodendron
kannubjølluvísa	(plfr.)field horsetail(Equisetum arvense)©iStock
kannufat	[basin, bowl which contains akanna1(2)]
kannukúgv	[cow giving akanna1(2) at every milking]
kannupottur	[pot which holds akanna1(2)]
kannur2	(sj.)bera kannin av(e-m)síkanna
kannuskol	weak tea
kannustoypari	(gl.)pewterer;politiskur kannustoypariamateur politician, armchair politician; ,,Tann politiski kannustoyparin" "The Tinker Turned Politician"
