V1	1rómverskt taltekn fyri 52(st.)volt
vakur	1beautiful(t.d.a beautiful face//garden//statue//thought//voice//woman)(GG:beautiful verður vanliga ikki sagt um mannfólk); (við merkingini "óførur", ,,flottur"o.tíl.)fine(t.d.a fine specimen of Norman architecture; a fine result; what a fine dog you have there!; a fine building; a fine big apple tree; she has fine eyes; a fine figure); (um veðrið) beautiful(t.d.a beautiful day); fine(t.d.the weather is fine; what a fine day!); (á veðurglasi) Fair(t.d.the glass stands at Fair); (vænur, von) pretty(t.d.a pretty face//girl//ring); handsome(t.d.a handsome man//building); (vakur: um fólkeis.)good-looking; (sámuliguro.tíl.)nice(t.d.that is not a nice word to use); proper;vakrari(um fólk) better-looking; prettier;vakrastur(um fólk) best-looking; prettiest2[sumhj] beautifully(t.d.she dances beautifully; beautifully dressed//written); finely, prettily, handsomely(t.d.behave handsomely; he was handsomely rewarded)3[íyms.samb.]ein sjáldsama vakur daguran exceptionally fine day;eitt vakurt andlita pretty face;ein vøkur sjóna beautiful spectacle; a sight for sore eyes;hon er so vøkur á litishe has a clear complexion;vakur songura beautiful song;vøkur orðbeautiful words,(speis.)fine words;tað var pent gjørt av honumthat was handsome of him;Tað var pent gjørt av tær at komahow nice of you to come!;hatta var ikki pent gjørt av honumthat was pretty mean of him, that was not a very nice thing to do;Filip vakri(Fraklandskongur) Philip the Fair;vakra kyniðthe fair sex;eg mátti so pent verða verandi heimaI had to stay at home with as good (a) grace as I could muster
vakurleikaansur	sense of beauty
vakurleikablettur	1(viðføddur) beauty spot, mole2(gjørdur) beauty spot, patch
vakurleikadrotning	beauty queen(t.d. eis.she was Miss America in 2005)
vakurleikaevni	cosmetic, beauty preparation
vakurleikagudinna	goddess of beauty;(fl.m.)beauty queen
vakurleikakapping	beauty contest, beauty competition
vakurleikakensla	sense of beauty
vakurleikakrem	beauty cream
vakurleikakurur	beauty treatment
vakurleikamaska	faceel.facial mask
vakurleikamiðal	cosmetic, beauty preparation
vakurleikarøkt	beauty culture
vakurleikaserfrøðingur	beauty specialist;(am. eis.)beautician, cosmetician, cosmetologist
vakurleikaskurðviðgerð	cosmetic operation
vakurleikastova	beauty parlour
vakurleikaviðgerð	beauty treatment
vakurleiki	beauty(t.d.her beauty; the beauties of nature; she is a beauty), prettiness, handsomeness, comeliness, winsomeness
vakurliga	beautifully, prettily, handsomely, finely
vakurligani	(tlm.) hvussu vakurligani, hann málbar seghe put it so nicely; sívakurliga
vakuum	vacuum
vakuumbremsa	vacuum brake
vakuumketil	vacuum boiler
vakuumlampa	vacuum lamp
vakuummálari	vacuometer, vacuum gauge
vakuumpakkaður	vacuum-packed
vakuumpakki	vacuum pack
vakuumrør	vacuum tube
vakuumtangi	vacuum tank
vakuumventilur	vacuum valve
val-	-dagur, -høli,kunngerðetc
val1	1choice; (úrveljing) choice, selection(t.d.great care should be exercised in the choice/selection of lubricants); (valfrælsi) choice, option(t.d.pupils have the choice/option of taking English or French; buyer's or seller's option); (val millum tveir kostir) alternative;pápanum dámdi einki valið hjá dóttriniher father didn't like the man his daughter had chosen;hava í valichoose between(t.d.two evils); choose from(t.d.there are so many jobs to choose from);eg hevði einki valI had no choice/no option/no alternative;annað hevði hann einki valhe had no other option;tveir bátar stóðu teimum í valinumthey could choose between two boats2(stjm. o.tíl.)election(s)(GG: flt:verður bara nýtt, tá ið val er í øllum umdømum,eis.kallaðgeneral election; general election verður tó ikki sagt í USA); (atkvøðing) poll; (tað, at ein verður valdur) election, return(t.d.the return of Mr X. for Hull);fara á valtake part in an election; vote;stilla upp til valoffer oneself/stand as candidate for;(am.)run (as candidate) for(GG: am.:he may be persuaded to run for President);standa fyri valiseek re-election; accept renomination, offer oneself for re-election(t.d.the directors offered themselves for re-election);hava valhold an election, hold elections;valgeneral election, elections;(am.)elections;beinleiðis valdirect election;loyniligt valballot, secret voting;lóg um loyniligt valthe Ballot Act;óbeinleiðis valindirect voting/-election;skriva út valissue writs for an election; call a general election, appeal to the country, go to the country
val2	(upprfr.)sívæl3
vala-	outstanding, excellent, superior, wonderful, marvelous;t.d.-ár, -bygd, -fólk, -verketc
valagn	election promise(s), electioneering bribe, sop to the electors, bid for votes;(am. eis.)pie in the sky
valaks	six-rowed barley(Hordeum hexastichum)
valaksabundi	sheaf of six-rowed barley
valaldur	(stjm.)electoral age, voting age; age qualification (for voters);valaldurin í Føroyum er 18 árelectoral age is 18 years in the Faroes
valábót	electoral reform
valblað	election pamphlet
valborð	polling place, polling station;um atkvøtt skal verða við valborð ella við bræviwhether the election takes place at the polling place/the polling station or by election return;fara til valborðiðvote
valborgarmessa	Walpurgis Night (1 May)
valbók	1(gerðabók) [recordsfltof the election committee]2(handbók) election guide
valbólkur	(stjm.)coalition
valbræv	election return;kanning av valbrøvumscrutiny (of elections)
valbundin	(plfr., lívfr.)facultative;valbundin snultaria facultative parasite
valbæri	(stjm.)eligibility
valbærisaldur	(stjm.)age qualification (for eligibility), voting age
valbærur	eligible (for);ikki valbærurineligible;valbær eru øll tey, ið hava valrætt til løgtingivoters of the Løgting (the Faroese Parliament) are all eligible
vald	1power, authority, government; control(t.d.obtain control over the whole country); dominion(t.d.Rome held dominion over the whole of the civilized world); sway(t.d.King Egbert held sway over all England); (sambært lóg) authority(t.d.the authority of Parliament//of a president); (yvirræði) supremacy(t.d.he nearly gained the supremacy of Europe); hegemony, ascendancy2power(t.d.the power of love; military power; the power of the Crown; the struggle for power; he mustn't get too much power)3(nýta vald; vald, máttur) force(t.d.we had to use force; the force of the waves; the force of public opinion), (harðskap, vald) brute force(t.d.a rule based on brute force cannot last long), violence4(hjá ríki) power(t.d.the powers of Europe); (íløgfr.) dømandi vald1the judicial power2(hjá dómstólum) the judiciary; the courts(flt); lóggevandi vald(lóggávuvald)1the legislative power2(tingið) the legislature;útinnandi vald1the executive power2(myndugleikar) the excecutive5(sum hevur valdel.ávirkan) power, force(t.d.he soon became a power/a force in the country; religion is a powerful force; the power of the great trusts); hold(t.d.the hold Rasputin gained over the Empress); grip(t.d.his grip on her was total)6(hægri maktir, um yvirjarðligar verur, einglar) powers7[íyms.samb.]hava vald á e-mbe in control of sth/sby, get sby in one's power;(orðt.) tá ið vesalamaður fær vald, kann hann sær ikki afturhaldset a beggar on horseback and he will ride to the devil;taka sær valdseize control; seize power;taka (e-n//e-t) við valditake by (main) force(t.d.they took the document from him by (main) force); forcibly(t.d.the population was forcibly removed from their homes);troka/skotra seg inn í húsforce one's way into a house
valda1	have powerorcontrol over, rule, reign(t.d.peace should reign in our hearts); be(t.d.there was great confusion in the house; there was a shortage of food); be prevalent(t.d.malaria is prevalent in that country; disorder is prevalent in the country); prevail(t.d.famine still prevails in many districts);tøgn valdaði í stovunisilence reigned in the room;(orðt.) tey mugu gjalda, sum ikki valda/fáir valda, nógvir gjalda[uml.those in power rule whereas the humble members of society carry the burden]
valda2	1cause(t.d.damage; pain; trouble; confusion; a fire; losses), do(t.d.harm), be the cause of(t.d.sby's death); valdasorgcause distress, cause (sby) grief;valda deyðabe the cause of sby's death; be responsible for sby's death;valda skaðacause damage;tað veldur mær sorgit distresses me; it grieves me; it causes me distress;hann voldi aldri ófriðhe never sowed discord between people; he never made bad blood;eg mundi hetta valda (kvæð.)I was responsible for it, it was my doing2valdastdepend on;tað valdast/veldst umit depends on (circumstances);nú veldst um, hvat stirðil er í okkumnow things depend on whether we have the stamina that is required;tað skal valdastone must draw the line somewhere;vinir og vinir valdast/tað valdast vinirnot all friends are equally good
valdagur	polling day, election day
valdararáð	(stb.)íosb.sumhava einki til valdararáðhave nothing to stand treat with
valdbólkur	power group, group of powers, power block
valdfúsur	power-seeking, avid ofel.for power, power-hungry; (við meira denti) power-crazed
valdfýsni	lust for power
valdgirnd	lust for power
valdgraður	(óvand.)power-crazy, power-mad
valdgrammur	greedyel.avid of power, power-hungry, power-seeking
valdgreði	(óvand.)lustel.thirst for power; (tíðum) overweening ambition
valdharri	(sj.)sívaldsharri
valdhavi	ruler;valdhavarnir (eis.)those in power, the powers that be; (íOngl.tíðum) the Establishment
valdhorn	(tónl.)French horn;blása í valdhornblow/play the French horn
valdhornsspælari	French horn player
valdi	sívelja
valdkærur	ambitiousel.greedy of power, power-seeking;valdkært fólkpower seeker
valdmikil	powerful, mighty
valdrán	usurpation; seizure
valdræningi	usurpator
valdsamboð	machinery of power; síeis.valdstól
valdsboð	fiat(t.d.curb wages by an administrative fiat); dictate
valdsbýti	1(um stjórnarskipanarreglu) separation of powers (av lóggávuvaldi, útinnandi valdi og dømandi valdi)2sívaldsviðurskifti
valdsdepil	sívaldsmiðdepil
valdsgerð	actel.deed of violence, outrage
valdsharraboð	fiat, dictate
valdsharri	dictator, tyrant,(sø.í eysturlendskum landi) despot
valdshavi	ruler;valdshavarnir (eis.)those in power, the powers that be; (iOngl.tíðum) the Establishment
valdsjavnvág	(stjm.)balance of power, power balance
valdsjúka	thirst for power; overweening ambition
valdsjúkur	power-crazy, power-mad
valdsmaður	sívaldsharri
valdsmiðdepil	centre of power, power base
valdsmisnýtsla	abuse of power
valdspolitikkur	power politics
valdspolitiskur	of power politics, power-political
valdspæl	power game
valdsskifti	transfer of power
valdsstríð	struggle for power, power struggle;innanhýsis valdsstríðinternal power struggle
valdstól	forcible means; (tíðum) resource(t.d.we shall oppose it with all the resources at our disposal; the Government has other resources);(fl.m., tlm.)stick(t.d.give the Commission so large and painful a stick that it will never have to be used); club(t.d.this gave the Commission the club it needed to penetrate the bank's secrecy);nýta valdstóluse/employ force;sum ikki hevur valdstól atwithout powers/means to
valdstremban	personal ambition; power-seeking
valdstøða	position of power
valdstøka	rape; (í blaðstíli)hann valdstók hanahe committed an offence against her(t.d.í løgreglufrágreiðing)einki bendir á, at valdstøka varð framdthere was no sign of sexual assault
valdsviðurskifti	(relative) strength of the different powers; power structureel.configuration;valdsviðurskiftini avlagaðustthe balance of power was disturbed/upset
valdsøki	domain, sphere
valdtøka	assumptionel.seizure of power; takeover(t.d.the Communist takeover in China); (ríkiskvett) coup (d'etat); seizure
valdur1	(stfr.)factor;2 og 3 eru valdar av 62 and 3 are factors of 6;valdur ferðir vald gevur faldfactor multiplied with factor gives multiple
valdur2	picked, chosen;(kvæð.) valdra manna liða party of picked men, a party of outstanding men; sívelja
valdømi	(stjm.)constituency;(am.)district;(viðv.kommunuvalum) ward;umskipan av valdømumredistribution;skipa valdømini umredistribute the constituencies, redraw constituency boundaries
valevnalisti	list of candidates
valevni	candidate
valfelag	constituency organization; local party organization; (fyri stór økiel.alt landið) caucus
valfríur	optional(t.d.subject)
valfrælsi	liberty of choice
valfrøðingur	psephologist, voting expert
valfundur	electionel.electioneering meeting;hava valfundirhold electioneering meetings
valførur	entitled to vote;vera valførur (eis.)have a vote
valg	(tlm.)síval
valgrunnur	election fund(s); party funds(flt)
valhagtøl	electionel.electoral statistics(flt)
valhøli	polling place, polling station
Valhøll	(gudal.)Valhalla
valin1	1chosen, picked;valið pláss er Vestmanna - eingin bygd í Føroyum hevur betri skipahavn(the village of) Vestmanna is a picked place, no village in the Faroes has a better sheltered harbour than it2fastidious, particular(t.d.he is particular about his food);(tlm.)choosy; (tíðum) fussy
valin2	hermaphroditic, hermaphrodite
valkirkjulið	[kirkj.,congregation formed by the voluntary union of a certain number of members of the Established Church]
valkongadømi	elective monarchy
valkongur	(sø.)elective king
valkostnaður	electoralel.election expenses
valkostur	alternative
valkyrja	(gudal.)valkyrie
valla1	íosb.sumvalla aftur/vallast afturbecome covered with grass againorgrow grass again;har er nú afturvallaðthe plot is now grass-grown/grassy/grass-covered again
valla2	just appearorcome into sightorview (over an edgeortop);tað vallar á skerinumthe top of the skerry is just visible;so leingi ein klettur av Føroyalandi vallar undan kavifor as long as one single rock of the Faroes is visible;nú fer at fjara, so byrjar at valla undanthe tide is going out, so rocks (and the like) are visible again;á fjøru vallar á taraskógunum, men meginparturin er altíð undirat low water a part of the seaweed forest is visible, but the greater part of it is always submerged;teir gróvu Símun niður í saltið, so bara høvdið vallaði undanthey buried Símun in the pile of salt so that only his head was visible;mánin vallar á eini fjalltromthe moon is just visible over the rocky crest;tað vallar ikki upp úr rossasporitiny (of an unusually small child)
valla3	wander, roam; drift
valla4	scarcely(t.d.he had scarcely begun to speak/scarcely had he begun to speak when he was interrupted; there were scarcely 20 people there); hardly(t.d.he had hardly paid off the debt when/before he incurred a new one); barely(t.d.it is barely tolerable; we have barely enough for our own requirements); not quite(t.d.she is not quite 16); just under(t.d.it is just under 5 feet)
vallaður	grass-grown, grassy, grass-covered; vallaðurdalura grass-covered valley;vallað bergbird cliff with grassy ledges and terraces
vallalendi	grassy terrain;rottan gjørdi skil á lundanum í vallalendirats did away with the puffins which had holes in the grassy slope
vallar	sívøllur
vallaraferð	1pilgrimage2long walking tour, footslog
vallaragongd	pilgrimage;enn bíða vit eftir sálmabókini, sum fyri mongum árum síðani byrjaði sína vallaragongd ímillum føroyskar og danskar kirkjumyndugleikar (fl.m.)we are still waiting for the (Faroese) hymn book which many years ago began its weary journey between Faroese and Danish church authorities
vallaraheim	youth hostel
vallarastaður	place of pilgrimage; (tíðum) (holy) shrine
vallari	1pilgrim2backpacker, globe-trotter3tramp, vagabond, knight of the road,(am., eis.)hobo, bum
vallarland	grassy place on a rock face;lundin eigur í vallarlandipuffins have their nesting holes in grassy places on rock faces
vallbakki	grass-covered bird edgeorface
vallberg	[bird cliff with grassy ledges and terraces];í vallbergi grevur lundin sær holurpuffins dig (nesting) holes in grassy ledges and terraces
vallbjølluvísa	(plfr.)meadow horsetail(Equisetum pratense)©Oor Woolie
