t.	(st.)hour
tátt2	be quiet!; be silent!
tátta	tighten, haul tight;tátta íhaul sth tight;hann táttaði í, og dorgin slitnaðihe pulled the handline tight and it snapped;hann táttaði í snøriðhe pulled the handline tight;lambið leyp á føtur og rann á skeivan, til tað táttaði á bandið, og tað láthe lamb leapt to its feet, ran to one side until the rope was hauled tight and fell over;(fl.m.) útreiðslurnar vaksa, so tað táttar í hjá fyritøkuniexpenses climb so the firm has difficulty making both ends meet;tað táttaði í hálvan tímait took barely half an hour
-táttaður	síein-,fá-,fjøl-,marg-,trí-,tví-
táttayrking	writing of satirical ballads
táttayrkjari	(satirical) ballad poet
táttaørindi	ballad stanza
táttur1	1strand (one of the strands of which a ropeorline consists);tað stendur á/eftir øðrum tátti (t.e.a defect in ropemakingorspinning whereby one of the strands has become too tight or too slack, too thickortoo thin);(tilt.) har kemur at standa eftir øðrum tátti(of unevenly matched men of which one is capable and the other inexperienced or not worth his salt)2(bjarg.)[line for descendingorclimbing up the bird cliffs];lesa seg/fara eftir øðrum tátti(of a man on a line) help with hauling up or lowering down by grasping an extra rope secured to the edge of the mountain3(stb.)bit or piece of thin string or cord4division of a balladorsong;taka upp annan tátt1begin to sing another section in a ballad2start another stage (of a project), take the next step5short satirical ballad;yrkja táttwrite a satirical ballad;fáa tátthave a satirical ballad written about one;hann skuldi fingið tátt!he is such a fool that a satirical ballad ought to be written about him;og nú er táttur at endaand now we have reached the end of the ballad6section, part, division;vera fastur táttur íform an integral part of;týdningarmesti táttur í mentan okkarathe most important part of our culture;ein týðandi tátturan important factor;kornveltingin var týðandi táttur í landbúnaðinum í gomlum døgumin the past grain-growing was an important part of agriculture7(útv., sjónv.)regular programme8(sjónl.)act
táttur2	(sigl.)tight, stretched, taut;endin er ikki nóg tátturthe rope is not tight enough;tungt var at fáa spent línuna táttait was hard work tightening the rope;hála tátthaul taut
tátudansur	(gl.)[a certain game (hopping while squatting)]
tátufløska	feeding bottle
táur	without snow, snowless, bare, naked, from which the snow has thawed;fjørveturin var táur og kavaleysurlast winter was mild and snow-free;stíggjurin er nakað illgongdur, men í táum er hann góður at gangathe path is not easy to walk, but there is no problem when there is no snow;(tilt.) ikki skal lasta veturin, tað húsini standa, og steinurin er táurone should not blame a winter which is snow-free and the houses are intact;gamalt er, at kemur kavi í november, verður miðveturin táuras the saying goes: snowfall in November betokens a mild midwinter;nú er táttthe snow has thawed
táveður	thaw;táveður, bara ein fonn her og har í fjøllunumit is thaw, there are only snowdrifts here and there in the mountains
táverandi	1ofel.at that time, then;táverandi formaðurthe then chairman(eis.Sir John Cabbott, as he then was);sambært táverandi lóggávuthe legislation then in force;tann táverandi stjórninthe government then in power/in office2erstwhile (t.d.his erstwhile rivals)3sumhj. (avelt) (t.d.Mary Anderson, erstwhile the queen of America's stage)
távetur	snowless winter, winter without snow;gamalt er, at távetur er hungursveturtradition has it that a winter without snow betokens a winter of famine
T-beinssneið	T-bone steak
t.d.	til dømisfor instance, for example,(st.)e.g.
t.e.	(st.)tað er that is to say; in other words,(st.)i.e., viz.
te1	the name of the letter t
te2	tea;eitt dism av tea little bit of tea;sterkt testrong tea;teið er ov veiktthe tea is too weak
tebirkis	[bun sprinkled with poppy seeds]
teblað	tea leaf
teblikk	tea caddy
tebolli	(uml.)muffin
teborð	tea table; (á hjólum) tea trolley;(am.)tea wagon
tedism	a little bit of tea
tedós	tea caddy
tedussur	(stb., skemt.)a droporcup of tea;fáa sær ein tedusshave a (nice) cuppa
teg	sítú
teggj	(óregl.)síteyggj
teggja	(óregl.)síteyggja
tegi	sítiga
tegnland	(sø.)vassal state
tegnríki	vassal state
tegnskylda	civic duty;gera sína tegnskyldudo one's duty
tegnur	1(sø.)man in the service of a prince2citizen, (king's) subject;kongur gav tegnum sínum í Danmørk og Noregi fríar ræsur at sigla til Føroya og handla harthe King of Denmark gave his Danish and Norwegian subjects authorization to sail and trade in the Faroes
tehetta	tea cosy
teiga	1teiga sundurcultivate a strip of field (bounded by ditches);bøurin var teigaður sundurthe infield was parcelled out/divided into strips of field2walk with long strides;tú rennur frá mær, sum tú gongur og teigarI cannot keep pace with you the way you walk;hon gekk og teigaði gøtu upp og gøtu niður í bygdinishe was pacing the streets of the village;hann fór teigandi gjøgnum bøinhe walked with long strides across the infield3seta fót á teig[a game in which the players run across a series ofteigarand must step only once on each]4(ným.)tabulate
teigabreidd	(stb.)breadthorwidth of a strip of field;eg meti tað til eina teigabreiddI estimate it at having the width of one strip of field
teigabøur	infield divided into teigar (strips of field);tað er velt og liggur sum góður teigabøurit has been tilled and is an excellent infield divided into strips of field
-teigaður	sítví-,tvør-
teigalangur	occupying a whole column, column-long;teigalangar greinircolumn-long articles
teigalendi	piece of the infield consisting of teigar (síteigur);bøurin liggur í teigalendithe infield is divided into strips of field
teigalop	(gl., ítr.)[a game in which the players run across a series ofteigarand must step only once on each]
teigarastýring	(teld)tab control
teigari	tabulator
teigarættlestur	(prent.)slip proof(s), proof in slips, galley proof(s)
teigayvirskrift	column heading
teigsbreidd	1width of strip of field (as measure)2width of column
teigsendi	end of a a strip of land; síteigur1
teigsstubbi	short strip of land;síteigur1
teigsyvirskrift	(prent.)headline, catchword
teigur	1strip of field (bounded by ditches)2(spæl) seta fót á teig;síteigalop3bed(t.d. flowerbed)4column(t.d.a page of two columns)5column (sets of figures);teigur í rokniarkispreadsheet column6space(t.d. state name and occupation in the space on the right); blank(t.d.he omitted to fill the blank); box7(oljuv.)block8(teld)tab
Teiland	síTailand
teim	síhann,tann2
teimum	síhann,tann2
tein	(evnafr.)theine
teina1	1walk (slowly) with long strides;hann kemur teinandi suður eftir gøtuni2pull in a handline with long tugs
teina2	weave striped cloth
teinabogi	(stb.)crossbow
teinafótur	(plfr.)stylopodium
teinaskjúrt	skirt of striped material
teingja	connect, linkorknit together, attach;teingja samanconnect, linkel.knit together, attach;tongdur at e-mattached to sby
teinkiligur	conceivable, imaginable, possible, not unlikely;tað er teinkiligtit is conceivable (possible)
-teinkin	sískjót-
teinkja	think; síhugsa
teinkjari	thinker
teinur	1thin, narrow bar, rodorpole2(at steikja dýrel.stóra steik á) spit; (á steikiristo.tíl.)skewer3metal spreader in fishing tacle (handline)4iron bar, rail post, grating5(kvæð.)sword, spear;hann heldur á gyltum teinihe has a golden sword in his hand6thin stripe (lengthwise,espin clothes);skák og teinur[a particular Faroese knitting pattern]7(long) stretch of road, distance; stage; phase; lap(t.d.it took three hours to complete the first lap of the journey); (í frælsari ítrótt, súkklukoyringo.tíl.)lap;langur teinura long distance;tað er ein teinur at gangait takes some time to walk the distance8(plfr.)style9(plfr.)cutting, slip;seta teinar í sandput root cuttings in sand;teir turru teinarnir grønkaðust og skutu leyvthe dry cuttings (began to) burst into leaf10(dý.,á fjøður á fiski) ray; (á fugli) barb
teinutur	with stripes lengthwise
teinæringur	(gl., bát.)boat with 10 pairs of oars (with 12or9 pairs of oars according to other sources)
teipa	1(sj.)take in(t.d.he is easily taken in), cheat, deceive, trick2wear out, tire, fatigue, exhaust;hann teipaði meghe wore me out;teipa særtoil, drudge, plod, slog, struggle (with), sweat (over), slave away, exert oneself;(illa) teipaðurexhausted, tired out, worn-out, be all in(t.d.I am all in), dog-tired, dead tired, tired to death, dead beat;tá var eg teipaðurI was worn out;tú kemur teipaður afturyou look worn out;bátin vóru vit ikki førir fyri at fáa upp, so illa teipaðir vóru vitwe were so dead tired that we were not able to pull the boat upp from the sea
-teipaður	síav-,for-,út-
teir	síhann,tann2
teirra1	síhann,hon1, tann2
teirra2	1(gen. of teir, tær and tey);teirra hústheir house;hatta er teirra báturthat is their boat;minningardagur teirra sjólátnuRemembrance Day For Those Lost At Sea;tað var ímóti teirra viljait was against their will, they did not approve of it2(of family connections)børn teirratheir children;foreldur teirratheir parents;so tóku konur teirra og øll bygdin undir3(scornfully);teirra býttlingar!those fools4(instead of a noun)hon fór niðan til teirrashe went up to them
teirri	sítann2
teirrimegin	(stb.)sítímegin
teisma	theism
teistafótur	black guillemot's foot;hann var sum ein teistafótur so reyður í andlitihis face was as red as a lobster
teistahola	nesting hole of a black guillemot
teistapisa	(dýr.)a young one of black guillemot;teir gomlu tóku teistapisuna um ólavsøkunaformerly young of black guillemots were caught on St Olaf's Day
teisti	(fugl.)black guillemot(Cepphus grylle)(Brehm, CL, 1831)© Brian Gratwicke
teistiskur	theistic
teistur	theist
teita	walk slowly with long strides;teita um túniniwalk aimlessly about without having anything to do
teiti	1fun, amusement, pleasure, gaiety, merriment, cheerfulness;nógv teiti er í summum søgum, og nógv verður gjørt avsome stories are extremely funny and full of exaggeration;alt gekk við gleði og teiti við miklum teitipeople were in high spirits and enjoyed themselves;í góðum teitiin high spirits;gera teiti burtur úr (e-m)make sby (look) ridiculous, make sby look a fool, make sby a laughing stock, make a fool of sby;hann sær á øllum brøgdum, at hin ætlar at gera teiti burtur úr særit was obvious to him that the other man intended to make him a laughing stock;hava teiti av/í (e-m) amuse oneself with sth;eg hevði teiti av at síggja tykkum bæði fara inneftirI had pleasure in watching the two of you walk (in a certain direction);hann hevði teiti av at arga hann við hennihe found pleausure in teasing him about being gone on/stuck on her;hava e-t til teiti(s)amuse oneself with sth;hava e-n til teiti(s)make sby a laughing stock;halda sær at teitihave a good time, enjoy oneself;grindamenninir hildu sær at teiti alla náttinathe pilot whale hunters had a great time all night (long)/throughout the night2jesting, jocularel.comic ballad;nú skal eg lata tykkum hoyra eitt teiti
teitur	(kvæð.)happy, pleased, glad, cheerful, merry,kongsins dóttir mæt og teit talar til dreingir teitarthe worthy and merry princess addressed the merry young men
Teivan	síTaivan
teka	(dýr.)tick (Heteroptera)
tekanna	tea pot
tekassi	(gl.)tea chest (of plywood)
tekin	1sign(umof;um atthat;t.d.there was no sign of life; it is a sign of age; it is a sign that he is improving; a good//bad sign); (linligari orðað) indication(umof;um atthat;t.d.there is every indication that things are improving);tekin um lívsign of life;tekin um sjúkusymptom;geva e-m tekin (til)make a sign/signs to sby; motion to sby(t.d. he motioned to the waiter); signal sby(t.d.the policeman signalled me to stop);tað er gott tekin í einum haga, tá ið avdeyði er góðurall the signs/indications are that the pasture is good when old sheep are in good shape;tílík ólæti eru tekin um mentanarloysisuch behaviour is a sign of lack of culture;reytt ljós í ferðslu er tekin um at steðga ella standa stillurred traffic light indicates that one has to stoporstand still2wonder, sign(t.d.signs and wonders);(bíbl.) meistari, vit vilja fegin síggja eitt tekin frá tær3(stb.)shame, disgrace;hann er eitt satt tekinhe is a disgrace
teking	roofing, thatching
tekingarhálmur	(gl.)straw (for thatching), thatch;har varð sett hólgasáta at hava at taka til tekingarhálma straw stack/stack of straw was put/set aside for thatching purposes if it should prove necessary; síhólgur
tekinsveður	(sj., stb.)tempest
tekja1	roof
tekja2	1(húsasm.)roof, put onel.cover a roof;vit taktu við tjørupappiwe put on (tarred) roofing felt;tekja umput on a new roof2cover,hann takti út yvir grøvinahe covered the grave up with earth;(skaldsk.) um kavin tekir traðirif the snow blankets the fields
tekk	teak (viður, wood)
tekkiligur	comely, agreeable, winsome, charming, elegant, lovely; neat, nice, carefully madeorprepared;ein varð varur við ein tekkiligan hvítan hálsone noticed a white comely neck;flogið er lætt og tekkiligtthe flight was light and elegant;hon er so von og tekkilig (kvæð.)she is pretty and charming;tekkilig var moyggin blíð (kvæð.)the maid was comely and friendly
tekkja	1see, become aware of, perceive, recognize,make outel. discern, see dimly, faintlyel. vaguely, catch a glimpse of;einki land tektu teir aftur, fyrr enn stavnurin nærum bar í klettinthey did not see land again until the stem almost touched land again;havið eystanfyri spegilsklárt, so langt eygað tektithe sea to the east was mirror-like as far as was visible to the naked eye;hann tekti ánna langt niðrihe saw the river far below him;tey tektust ikki frá grótinum longurthey could no longer be discerned among the rocks;fjórða dagin tektist skip í havinumon the fourth day they could discern the outlines of a ship2recognize, no be shy;tekkjast e-m/e-nrecognize sby//sth, not be shy(t.d.of a child);hann tekkist ikki mostrinihe does not recognize his aunt;tað var skjótt, ravnurin tektist manninafter a short time the raven recognized the man;bólkar, ið ikki eru úr somu grind, tekkjast ikki hvør annanpilot whales from different schools do not recognize one another;hon fæst ikki at tekkjast í barnagarðinumshe does not feel happy in the kindergarten
tekktræ	(plfr.)teak (tree)(Tectona grandis)
tekkur	1comely, winsome;(kvæð.) bæði er hon von og tekkshe is both pretty and comely2(kvæð.)dear, beloved;hon er mær ikki tekkshe is not dear to me3ikki tekkurnot agreeable, unpleasant, unfriendly, unkind;hann var ikki tekkur, tá ið hann frætti taðhe was not pleasant when he heard it
tekn	1signal, call, motion;geva e-m teknmake a sign to sby, motion sby, signal sby;teir skuldu koma eftir honum, tá ið teir fingu teknthey were to pick him up when he called2letterel.(written) figureornumber3(málfr.)punctuation;seta teknpunctuate
tekna	1draw (a picture), outline, delineate (t.d. he delineated the state of Texas on the map with a red pencil), picture, sketch; teknauppsketch; register2take out (an insurance/a policy), effect (an insurancefyrion,t.d. the goods,hjáwitht.d.a company); (um virki) write insurance;tekna tryggingtake out an insurance;tekna seg: haldarar kunnu tekna seg hjá ritstjóranumsubscriptions are received by the editor3(gl., sjóm.)countlippur; teknað varð hvørja viku lippurwere counted and registered on a weekly basis; sílippa1
teknar-	(kvæð.)sítignar-
teknari	1listateknariblack and-white artist, draughtsman;lýsingateknariartist;grafiskur teknaridesigner;skemtiteknaricartoonist;mótateknaridesigner;uppskots-el. uppkaststeknaridesigner; (á verkfrøðinga-el. arkitektastovu) tracer;tekniskur teknaridraughtsman;teknifilmsteknarianimator2(teld.)plotter
teknfrøði	semiotics, semiology
teknfrøðingur	semiotician, semiologist
tekniblokkur	pad, drawing block
tekniblýantur	drawing pencil
tekniborð	drawing table
teknifilmur	animated film; (til undirhaldseis.)(animated) cartoon
teknigøgn	drawing tools
teknihefti	drawing book
teknikari	technician; (tíðum) engineer(t.d.refrigeration service engineer);(útv.)programme engineer
teknikkur	1(mannagongd) technique(t.d.the technique of violin playing; a new technique; Cézanne's early technique)2(praktiskar royndir) technique, technical skill3(uppfinningar ið verða gagnnýttar) technology4(maskintøkni) engineering5(sum lærugrein) technical science, technology;tøknilig framstigtechnological advances; the progress of mechanical inventions;ídnaðartøkniindustrial engineering/technology; sítøkni
teknikrit	drawing chalk, crayon
teknilærari	drawing master
teknindi	(teld.;endurgerðarháttur) graphic arts (flt), (myndir) graphics (flt)
tekning	1drawing2(at tekna) drawing3dark spot;firvaldurin er ljósagráur við dimmgráari tekningthe butterfly is pale grey with dark grey spots4subscription5(gl., sjóm.)the counting of lippur, sílippa2;vit gjørdu seks tekningar, og sjeyndu viku sigldu vitwe counted the lippur (sílippa)six times and on the seventh week we set sail6(leyslig tekning til møplar, húso.tíl.)rough design (for); (til verkætlano.tíl.)(rough) outline(tilof);gera leysliga tekningmake a rough sketch/draft
tekningarfreist	subscription period
tekningarinnbjóðing	(løgfr.)prospectus;senda út tekningarinnbjóðingissue a prospectus, invite subscriptions
tekningarlisti	subscription list, guest list;tekningarlisti til ársveitsluna liggur frammithe guest list for the anniversary is on display
tekningarreglur	(handilsm.)subscription right
tekningarrættur	(handilsm.) subscription right, right of subscription;avmarkaður tekningarrætturwarrant
teknipappír	drawing paper
tekniraðarteknari	creator of a comic strip
teknirøð	comic strip, strip cartoon;teknirøðir (eis., serst. am.)comics
tekniskur	technical(t.d.difficulty; education; skill); technological(t.d.advances);tekniskur stjóritechnical manager/director;teknisk deild(hjá kommunu) the Highways Department;tekniskur skúlitechnical school;tekniskt óhapptechnical hitch, technical fault
teknistift	drawing pin;(am.)thumbtack
teknistova	drawing office; drafting room; (teknideild) drawing department; (lýsingadeild) art department
teknisøga	strip (cartoon), (skemtilig teknisøga) comic strip;(flt, eis.)funnies, comics; (ræðuteknisøgur) horror comics
teknitími	drawing lesson
teknlýsing	(til kort, talvuro.tíl.)key to the signatures
teknmarka	(teld.)tokenize
teknmarking	(teld.)tokenization
teknmál	sign language, symbol language, manual communication;tulkur í teknmálisign language interpreter
teknseting	(málfr.)punctuation
teknvilla	(málfr.)error in punctuation
tekoppur	teacup;tekoppur og skálcup and saucer
tekrúss	tea mug
tekst	(sj.)sítekstur
teksta	subtitle;teksta filmsubtitle a film
tekstabanki	(teld.)data bank, data base
tekstagreining	(bókm.)text analysis, textual analysis
tekstarannsókn	textual criticism
tekstari	(film) subtitler
tekstarøð	(kirkj.)series of (biblical) texts,1. (, 2) tekstarøðseries 1 (, 2) texts
tekstbrigdi	textual variant
tekstfíla	(teld.)text file
teksting	(kvikm.)subtitling
tekstingarbúnaður	subtitling work station
tekstkassaspurningur	(teld)text box question
tekstra	reprimand, reprove, tell off, take to task;tey búðu dyr um dyr, so hon mundi mangan hava tekstrað hannhe was her next-door neighbour so she had, no doubt, often told him off;konan tekstraði læraran, og lærarin hevndi seg so inn á børninithe woman reprimanded the teacher and he revenged himself on the children;tekstra e-n eftir e-m(biðja, bøna, júka) go on asking sby for sth
tekstrithøvundur	scriptwriter
tekstslag	(bókm.)genre(t.d.a literary genre);fagurbókmentir og yrkisbókmentir hoyra hvørjar til sítt tekstslagimaginative literature and specialist literature/fiction and non-fiction are different genres
tekstuppgáva	(skúlam.)problem
tekstur	1text;ein yrking er tekstur í bundnum mália poem is a poetic text2(kirkj.)biblical text;dagsins teksturthe text for the day
tekstvarp	(sjónv.)teletext
tekstviðgerð	(teld.)word-processing
tekstviðgerðarforrit	(teld.)word processing program
tekstviðgerðarskipan	(teld.)word-processing package
tekt	1(skaldsk.) visibility;gjøgnum toku og kámliga tektthrough fog and poor visibility2point, contact point
tel	leaf ofkorki(a species of lichen;Lecanora tartarea); telið er tjúkt ljósagrátt og bálurnar nógvarthe leafage is thick and pale grey and there are many fruit buds
teld	(teld)data/computer processing, computation; datamation;skeið í teldcourse in computer technology
telda1	(teld.)computer
telda2	(teld.)compute
teldarfrøði	síteldufrøði
teldarfrøðingur	computer scientist
teldil	tablet computer (stytttablet)
teldubrek	computer defect
teldubræv	(teld.)e-mail
teldueind	(teld)computing node
telduendurvinning	circular computing (endurframleiðsla úr burturtveittum farteldum)
teldufalsan	computer mischief
teldufløga	(teld.)CD-ROM
telduforrit	computer program
telduforritari	(teld)computer programmer
teldufrøði	(teld)computer science
teldufrøðiligur	computer scientific
teldufrøðingur	(teld)computer scientist
teldugrafikkur	computer graphics; síeis.telduteknindi
telduhvølpur	(skemt.)pocket calculator
teldukønur	computer literate
teldulæra	(skúlam.)education in computer technology
teldumál	1(teld.)computer language2(niðr.,S)computerese
teldunet	(teld.)data communications network
telduóheftur	(teld.)telduóheft mál computer-independent language
teldupostadressa	email address
teldupostur	(teld.)e-mail(st. fyrielectronic mail);(st.) t-postur,e-mail
telduprent	(teld.)desk-top publishing
telduprentgerð	(teld.)desk-top publishing
teldurúmd	cyberspace
telduseting	(prent.)computer typesetting
telduskeið	(skúlam.)course in computer technology
telduskipan	computer system
telduskíggi	computer screen
teldusníkur	(teld)hacker
telduspæl	(teld.)computer game
teldustova	(teld)internet café, computer café
teldustuðlaður	teldustuðlað týðingmachine-aided translation
teldustýra	(teld.)computerize
teldustýrdur	(teld.)computerized, computer-controlled; computer-directed;teldustýrd snellacomputerized fishing tackle
telduteggja	(teld.)computer cluster
telduteknindi	(teld.)computer graphics
telduteyggja	computer cluster
teldutøkni	computer technology
teldutøkur	(teld)machine readable;teldutøk orðabókelectronic dictionary
telduútbúnaður	(teld.)[computer]
telduútrokning	computation
telduútskrift	computer printout
telduveiting	(teld) support
telduviðgjørdur	computerized
telduvirus	(teld.)(computer) virus
telduvit	(teld.)eftirgjørt telduvit artificial intellingence
telduvørður	computer manager
telduøld	computer age
telefaks	1fax;senda//fáa telefakssend//receive a fax2fax(machine);telefaksið er í ólagithe fax(machine) is out of order
telefon	1telephone2telehone call,tað er telefon til tínthere is a call for you, you are wanted on the phone
telefonavgreiðslufólk	operator
telefonboð	telephone message (formerly when having a telephone was not common);fara við telefonboðumgo and tell sby that he is wanted on the phone
telefonboks	sítelefonklivi
telefonbók	telephone directory,name directory,phone book;hon stendur í telefonbókinishe is in the phone book
telefonbumba	(telephoned) bomb threat, hoax bomb call, bomb hoax
telefonera	telephone, phone;telefonera eftir e-mtelephone for sth;telefonera til eintelephone sby(t.d. telephone John and tell him); ring sby up; call sby (up); (á automatiskari telefoneis.)dial sby;eg skal telefonera til tygara (eis.)I'll give you a ring/a call
telefonfelag	telephone company
telefonfelagi	telephone subscriber
telefonfundur	conference call, link-up
telefongaffil	1cradle(t.d.she smashed the phone down in the cradle); rest2(á veggtelefon) (receiver) hook
telefongenta	(telephone) operator
telefonhald	telephone subscription
telefonhorn	(telephone) receiver
telefonkaðal	telephone cable;styrktur//óstyrktur telefonkaðalarmoured//unarmoured telephone cable
telefonketa	telephone chain
telefonklivi	call box, telephone box, public telephone, phone box;(am.)telephone booth, public telephone, phone booth
telefonleidningur	telephone wire
telefonlinja	telephone line
telefonlurting	telephone tapping, wire-tapping; (í einstøkum føri) wiretap
telefonnet	telephone network
telefonnummar	telephone number;skriva mær telefonnummarið uppdo me the favourandwrite down the telephone number, will you
telefonsamband	telephone connection;tað er einki telefonsamband í dagthe telephone is out of order, the telephone is disconnected;eg havi havt telefonsamband við hanaI have been on the line to her
telefonsex	telephone sex
telefonsnórur	telephone cord
telefonsteyri	telephone pole
telefonstikk	point (for a telephone)
telefonstormur	a deluge of calls;Útvarp Føroya var fyri telefonstormi eftir sendinginathe telephone lines were blocked at the Faroese Broadcasting Service by listeners protesting against the programme
telefonstøð	(telephone) exchange
telefonsvarari	(telephone-)answering machine, automatic answering set, answerphone, Ansaphone ®
telefontíð	[time when sby receives telephone calls]
telefonuppboðssøla	telephone auction, (auction) sale over the telehone
telefonvakt	1watch at the telephone(t.d.we were ordered to keep a constant watch at the telephone)2(á telefonstøð) interception service
telefonveking	alarm call;biðja um telefonvekingbook an alarm call
telefonverk	telephone company;Telefonverk Føroya løgtingsnúFøroyaTele;sítelefonfelag
telegrafboð	telegraph messenger
telegrafera	telegraph, wire; (handanhavs) cable;tráðleyst telegraferawireless;telegrafera tygum áheitan umat request you by wire/cable to;telegrafera e-m tíðindi umwire/cable the news to sby;telegrafera e-m £ 100wire/cable sby £100;telegrafera til Londonwire/cable (to) London
telegraffelag	telegraph company
telegrafiskur	telegraphic
telegrafistur	telegraphist; síeis.fjarritari
telegrafkaðal	telegraph cable
telegrafleidningur	telegraph wire
telegraflinja	telegraph line
telegraflykil	telegraph key
telegrafmastur	telegraph pole
telegrafsteyri	telegraph pole
telegrafstjóri	telegraph manager
telegrafstøð	telegraph stationel.office
telegraftráður	telegraph wire
telegrafur	telegraph
telegramm	telegram, wire; (handanhavs) cable, cablegram; sífjarrit
telegrammadressa	telegraphic address, cable address
telegrammávísing	telegraph money order
telekort	telephone card, phonecard; telecard
telgiknívur	sheath knife;maðurin, sum markar, nýtir vanligan telgiknív at marka við
telgimuddur	(small) sheath knife
telgispónur	chip, shaving;skipið varpaðist sum ein telgispónur millum aldubrotinithe waves tossed the ship like a shellorlimpet
telgja	cut, carve, whittle(serst.við, espwood);hann telgdi sær ein báthe carved a boat out of wood;tú kanst tynka eina fjøl við at telgja av henniyou can make a board thinner by planing it with a knife;tá var seiðurin ikki bukaður, men petti fyri petti telgt burturavin such cases the (dried) coalfish was not beaten, but small pieces were carved off one by one (as titbits);hann dugir ikki so frægt sum at telgja pylsupinn(he is a good-for-nothing);(tilt.) vera (e-m) hart horn at telgjabe a difficult task to accomplish;telgja niður í segcarve large lumps and eat ravenously(t.d.dried mutton);(fl.m.) telgja til(snøgga til);hann hjálpti honum at telgja táttin tilhe helped him to give the finishing touch to the ballad
telja	1count (up), enumerate;telja peningincount up the money;telja dagarnar til jólacount the days to Christmas;tað eru bert dagar at telja, til alt ferit is a matter of days until (the firm) goes bankruptorfails;tunt er at teljait is not much;manningin telur 20 mansthe crew numbers 20 men;telja jólini,síjól2telja upp í tíggjucount (up) to ten;eg dugi at telja upp í hundraðI can count (up) to one hundred3tell, relate, narrate, recount;hon er von at telja søgur fyri børnunumshe is used to telling the children stories;so er at telja frá, at Kjølur átti átta synirnow remains to say that Kjølur had nine sons;Gusti kemur á kvøldi heim, telur av sínum neyðum (kvæð.)Gusti returns home in the evening and tells them about his plight;Sjúrður vaknar árla morgun, telur frá sínum dreymi (kvæð.)Sjúrður awakes early one morning and tells them of his dream4be considered to be (one of);verða taldur millum teir stórube considered one of the mighty (the bigwigs);á 14 ára aldri vórðu vit taldir millum mennwhen we reached/were5trace back to;frá teimum telur hon ættarliðinibeginning with them she traces back her ancestry;telja ætttrace back one's family/one's ancestry;menn vistu gjølla at telja ætt sína6have numerical value;essið telur ellivu eyguthe ace is eleven points;klokkarastikk er stikk, ið einki teluraklokkarastikkis a trick without points7[ísamb.viðfs/hj]telja frádeduct, not include;tá ið einar tríggjar bygdir eru taldar fráwith the exception of approximately three villages;tá ið alt er frátaltwhen everything has been deducted;telja niðurcount down;telja samanadd up;telja uppcount (up)(t.d.the votes);telja upp íinclude, count in, reckon among;døglingur verður ov lítil at telja upp í stórhvalthe bottle-nosed whale is too small to be reckoned among the large whales;teljast:teir teljast, sum tað kunnu gerathey are few who can do that;teljandiwhich can be counted, countable, numerable;tað er ikki teljandiit is uncountable;taldur:honum eru dagarnir taldir har í húsinumhis days there are numbered (he is going to be thrown out)
teljari	1(stfr.)numerator2(tøkn.)adding machine, (ísamb.við inngongd) turnstile
teljing	1counting2(gl., sjóm.)counting of lippur (sílippa);hann var bestur hvørja teljinghe was the best fisherman on every counting
tellur	(evnafr., steinfr.)tellurium
telpa	(sj., stb.)little girl
telt	sítjald3
telva	1(talv.)play chess;vit plagdu at telva damm, men eisini skákwe used to play draughts but we played chess too;í okkara húsi varð nógv telvtin my childhood home we played chess frequently;vit sótu og telvduwe were playing chess;Magnus hevur við mangar telvt, kongar og so jallar (kvæð.)Magnus played chess with many men, both kings and earls;telva (eitt spæl)play a game of chess; síeis.skák,skákaogtalv2(fl.m.) telvastfight, compete;tað skulu vit telvast umlet us compete/fight/contend for it;teir telvdust so í orðum, inntil teir vóru rúkandi óðirthey discussed it so hotly that they were both eventually fuming (with rage)
telvari	(talv.)chessplayer,hann er góður telvarihe is a fine chessplayer
telvi	(lækn.)tablet
telving	(talv.)chessplaying
telvingarfelag	(talv.)chess club
tema	1subject, theme, topic;tað var vorðið tema í hansara neyðit had become the subject in his misery2(bókm.)subject matter (í stuttsøguel.skaldsøgu); síeis.evni3(tónl.)theme;selloin tónaði djúpan, temuni komu aftur og afturthe cello had a deep and melodious sound and the themes were repeated again and again
temavika	(skúlam.)project week; síeis.evnisvika
temba	1(bjarg.)pull tight (a climbing rope);temba á (línuna)pull the rope tight2stretch (to distentionorout of shape); extend
temiligur	affable, kind, obliging, easy to get on with; meek, not shy, unresisting; (of animals) tame, manageable, willing (to obey), easy to train;tann seyðurin er so temiligurthe sheep there are not shy;temilig ryssatame mare
temin	lambið var ógvuliga temið við meg the lamb was not shy at all; sítemiligur
temingur	(stb.)sítømingur
temja	tame, make tame;temja villan hesttame a wild horse;so temji eg mín gangara góða (kvæð.)I tame my good steed;(tilt.) hin gráa temurlife tames one (said to wild young men);seta vit teir í konugildi, so skulu vit teir temja(í tátti, in a ballad) bring them to a women's party, and you'll see how tame they become;hann tamdi bóltin (ítr.)he got the ball under control;temja segcurb(t.d.one's anger//impatience//passions//tongue); restrain(t.d.one's anger//impatience//mirth//passions);góðan hug hevði hann at brenna á kokkin, men hann tamdi seghe felt like flying at the cook but he restrained his anger
temjari	tamer(t.d.of wild beasts); (í sirkuso.tíl.)animal trainer
temjing	taming
tempera	(málingarháttur) tempera
tempil	sítempul
