ú	(málfr.)a vowelordiphthong
úr	1(from, out of, out from)drekka úr fløskudrink out of/from the bottle;fara úr felagresign membership of a society, resign from a society, discontinue one's membership of a society, leave a society;missa úr hondunumdrop(t.d.a ball; a purse);ganga hús úr húsigo from one house to another;skifta borð úr borðigo from one gunwale to the other/one ship's side to the other;úr kirkjufrom church;lata seg/fara úr klæðunumundress, take off one's clothes;draga bát úr neystipull a boat down to the sea from the boathouse;teir royndu at fáa tarvin úr neytunumthey tried to separate the bull from the cows;hann slapp úr oynnihe succeeded in leaving the island (the weather was bad);fiskur úr sjónumfish from the sea;koma úr skúlareturn from school;stað úr staðfrom one place to another;úr øllum ættumfrom all corners of the earth, from everywhere;úr útlondumfrom abroad2(in connection with certain geographic[al] names)úr Kollafirði; úr Havn; úr Suðuroy; úr Svínoy; úr Føroyum; úr Danmørk; úr Svøríki; úr Filipsoyggjumfrom Kollafjørður, from Tórshavnetc3(um uppruna, of origin);ein úr hvørjum flokkione from each class (form);umsett úr norskumtranslated from Norwegian4(um støðu, of position);í ein útsynning úr Mykinesi(to the) southwest of Mykines;suður úr Hagaleitisouth of Hagaleiti;kúgvin hevði ligið burtur úr hinum neytunumthe cow had grazed alone;stutt úr landiclose to the shore;hann var burtur úr bygdinihe had left the village5(from, of, out of, of a particular material); úrjarni//viði//gulliof iron//wood//gold6(umtíð, of time);úr tíðat the wrong momentortime, inopportunely7[sumhj]hava úr at gerahave much to do;verða úrresult in, happen, occur;ilt verður okkum úr, um vit ikki finna onkur góð ráðif we don't find a way out, we'll be in a tight spot;tað verður vanlukka úrsomething bad is going to happen;illa varð honum úr henda dagthis was an unfortunate day for him;tað varð so úr, at hann doyðihe finished up dying8[íyms.samb.] íosb. nú er tikið væl úr honumthe sea has become calmer;hava frí úr skúla(num)have a day off from school;tað kennist úr honumit is drizzling;komin úr versta vandahaving escaped alive, having escaped with one's life;loysa úr lagdimake cltohes from wool;tikin úr leikumincomparable/unsurpassed/unrivalled/unbeaten/unexampled/unequalled/second to none;úr enda í annanfrom one end to the other;seta úr gildirepeal(t.d.the Corn Laws), revoke(t.d.an edict; the regulations)9[ísamb.viðhj]burturúr:ull at gera hosur burtur úrwool for stockings;sleppa sær burtur úr e-mstop doing sth;hin djarvasti burtur úr flokkinumthe bravest among them;hann er farin burtur úrhe has pulled out of the game, he has withdrawed, he has backed out/drawn back;bregða (burtur) úr ætt,síbregða;fáa (e-t) burtur úr e-mcoax a reply from sby;hvat fekst tú burtur úr tí?did it do you any good?;framúr:fram úr seinginiout of bed;fram úr flokkinumtake the lead;fáa (e-t) fram úr særutter sth with difficulty;omanúr:oman úr fjallinumdown from the mountain;uppúr:upp úr jørðiniup from the earth;roykur kom upp úrchimney;upp úr svøvnifrom sleep, wake up;útúr:út úr húsunumfrom the house;hann var komin út úr briminumhe had passed the surf10[fs/hjsaman viðs] t.d.anda úr; binda úr; drekka úr; fáa úr; skipa úr; taka úr(sísagnorðinisumleitorð)
úra	(barnam.)úra seg undress, take off one's clothes
úrbeina	bone, fillet(t.d.herrings);úrbeinað neytakjøtboned beef
úrbeinaður	boned, boneless
úrbregði	(lívfr.)mutation;tey frábrigdini, ið upp eru komin tey seinnu árini av úrbregðivarieties which have sprung up lately due to mutation
úrbregðingur	(dý.)mutant
úrbundin	> úrbundin seyður untethered sheep; síbinda(úr)
úrdrag	1extract(t.d.from books//documents//letters), summary; excerpt, abstract(t.d.of an account); selection;úrdrag úr skipsdagbók (sigl.)extract of the log;gera úrdrag úrmake an extract from(t.d.a book); úrdragúr teimum elstu orðabókahandritunumextracts from the oldest manuscripts2(sj.)incompetentoruseless person, person of no account3(sj.)sítrevja1,drevja1
úrdráttur	1extract(t.d.malt extract); (í kókandi vatni) infusion(t.d.an infusion of camomile); úrdrátturúr plantumextracts from plants2abstract, extract;sumt í úrdrátti og sumt í heildsome of which as extracts and some of which in toto/in full3product, produce;úrdráttir úr mjólkdairy produce
úrdømi	(stb.)sth quite exceptional, rare thing(t.d.it was a rare thing for him to smile);tað var úrdømi, at tað kom fyrisuch an occurrence was exceedingly/extremely rare
úreitra	detoxicate, detoxify
úrfarin	sífara(úr)
úrfáningur	conclusion; eis.niðurstøða, niðurløga
úrfelling	síbotnseting
úrfornur	[of infield which has not been cultivated/tilled for a very long time]; úrfornurbøuran infield which has not been tilled/cultivated for many years
úrgamal	exceedingly old; (ikki um fólk) immemorial(t.d.immemorial oaks; their immemorial privileges; immemorial customs; immemorial usage); age-old(t.d.problem); (sum hoyrir gamlari tíð til) ancient(t.d.an ancient city);tað er úrgamalt (eis.)it's as old as the hills;frá úrgamlari tíð (eis.)from time immemorial
úrgeingiligur	(veðurfr.)íosb.sumhann er ikki úrgeingiligurthere is no sign of a change in the weather
úrgerðar-	excellent(t.d.an excellent scholar//cigar//dinner); capital(t.d.a capital cigar//dinner//fellow//speech); first-rate(t.d.a first-rate firm); superior(t.d.a very superior wine)
úrgerðargóður	excellentlyel.eminently good
úrgerðarmaður	an excellent man
úrgildisfulnaður	(trygg.)run-off cover
úrgildissetanarregla	(løgfr.)(í avtalu) condition subsequent; (í sáttmála) denunciation clause
úrgildissetan el.úrgildisseting	(løgfr.) úrgildissetan av fútarættarúrskurðireplevin
úrgildistrygging	(trygg.)run-off insurance
úrgonga	1precipitation, rainfall, fall of rain2change of wind direction
úrgonguligur	[no sign of change in the weather];tað sær ikki úrgonguligt út (fl.m.)poor prospects for a change for the better; síeis.úrgeingiligur
úrgonguveður	(stb.)downpour
úrgrynni	(sj.)síørgrynni
úrhenditøka	(løgfr.)eviction
úrkálka	(um vatn, of water) soften
úrkálking	(lækn.)decalcification
úrkleiv	(alisfr.)anode
úrklipp	cutting, clipping;(am.)clipping; (blaðúrklipp: av ummælio.tíl.)press cutting;(am.)(newspaper) clipping
úrklænur	(stb., sj.)extremely thin
úrkynjaður	degenerate;úrkynjað fólka degenerate;úrkynjaðar bókmentir (fl.m.)degenerate literature
úrkynjan	1degeneration (is the process of generating), degeneration process, becoming degenerate2(úrslitið av tilgongdini) degeneracy
úrkynjast	degenerate
úrlagi	unusually, exceptionally, extremely, frightfully; úrlagifátækur//ringur//seinurextremely poor//bad//late;tað er so úrlagi, sum vit eru seinir at gerast klókir av skaðawe are exceptionally slow to learn from our mistakes
úrlatin	sílata(úr)
úrleiða	deduce
úrleiðsla	deduction
úrlima	resign (membership)(t.d.resign from a party); take one's name off the books; cancel one's subscription(t.d.to a society)
úrliman	withdrawal, resignation
úrlíka	(stb.)exceptionally;hon var so úrlíka vøkurshe was exceptionally beautiful
úrlíkur	(stb.)excellent, outstanding, superb, capital; first-rate; superior;við síni úrlíku málberingwith his//her superb command of language;hon hevur úrlíkt minnishe has a photographic memory
úrlop	(stb.)loose stool; looseness of the bowels, diarrhoea, diarrhea;eg eri so ússalig av hasum úrlopinumI feel weak after that bout of diarrhoea
úrlopin	grown up;teir ungu koma aftur úrlopnir og trivaligirthe youngsters return fully developed and strong; síleypa(úr)
úrløða	(ravm.)discharge(t.d.a battery)
úrløðing	(ravm.)discharging, discharge
úrmaktaður	exhausted, tired out, worn-out,(tlm.)dog-tired, dead tired, tired to death, dead beat, fagged, done up
úrmenninngarskaldsøga	(bókm.) negative bildungsroman, negative novel of formation
úrmergjaður	weak, spineless, bland;ein úrmergjaður føroyskur dansura spineless Faroese folk dance
úrmæli	(stb.)síúrmælingur
úrmælingur	1outstanding, exceptionalorbrilliant person;ein sannur úrmælingurhe's an exceptional man2excellentorfirst-class animal or article
úrmæltur	superior, exceptional, excellent, brilliant;hansara úrmæltu gávurhe's an exceptionally gifted person
úrmørast	síavmaktast
úrmøri	(sj.)síermøri
úrnýta	exploit(t.d.he allowed himself to be exploited by his poor relations; exploit the natives); take (an unfair) advantage of; trade upon(t.d.sby's ignorance); make capital out of(t.d.one's family connexions); use(t.d.other people; he used his position); make use of(t.d.don't let him make use of you); (fáa sær ikki uppbornan frimun av) capitalize on(t.d.he tried to capitalize on his acquaintance with the President);(tlm.)cash in on(t.d.the favourable situation//others' misfortunes)
úrnýtsla	exploitation, utilization
úrreivast	mature;ætlanin má fáa loyvi (til) at úrreivastthe plan must be allowed to mature
úrreiving	evolution, development; eis.lívmenning, framtøka
úrreivingarlæran	evolution
úrroyttur	(sj.)(um seyð, of sheep) with all the wool removed
úrsaki	íosb.sumnú gjørdi eg úrsakan(of someone who feels absolutely worn out by walkingorthe like) it was beyond my strength, I won't do that again
úrsalting	(oljuv.)desalting
úrsálaður	(nýggjy.; málfr.) inanimate
úrseta	[water which seeps out of fish]
úrskarandi	outstanding; síframúrskarandi
úrskepast	(lívfr.)síúrkynjast
úrskeping	(lívfr.)degeneration; eis.úrkynjan, illbregði
úrskilja	(lívfr.)secrete;brisið úrskilur insulinpancreas secretes insulin; sí eis.skilja (úr)
úrskiljing	1secretion, excretion2(evnafr.) evnafrøðilig úrskiljingflocculation
úrskorin	excluded from (doing) sth;hvat skulu vit liva við, eg havi mann, sum er úrskorin av landi og sjógvhow are we going to subsist, my husband is too old to work
úrskrift	transcript, copy;(teld.)printout
úrskurðargreining	(løgfr.)case analysis
úrskurður	1(avgerð hjá dómara ella dómstóli) decision(t.d.the decision of this Court can be appealed)2(rættaravgerð í serstøkum málum) (judge's) order, Court order, order of the Court(t.d.forced sale by order of the Court)3(úrslit av rættarkanning) finding4(viðv.einstøkum ivamáli,serst.ísamb.við munnligan úrskurð) ruling; (hjá fundarstjóra) ruling5(hjá nevningum) verdict6(hjá gerðarrætti) award
úrslit	1result, outcome, upshot;úrslitið av samráðingunumthe outcome of the negotiations;teir komu aftur við fullum skipi, so úrslitið var gottthe ship was full when they returned so the result was good (it was profitable);hvat úrslit skal kunna væntast av skúlagongdini?what is to be expected from the schooling?;hon fekk gott úrslit til próvtøkunashe got a good degree, she got a good class;(am.)she graduated with high honours;hvat praktiskt úrslit fæst burturúr, um vit nýta hesa mannagongd?what practical result/objective is achieved by this procedure?2(niðurstøða) conclusion(t.d.he arrived at the conclusion that it was hopeless)3(virknaður) effect(t.d.one effect of the war was that)4(avrik,o.tíl.)achievement(t.d.the achievements of modern science)5(vinningur, fongur) profit(s), return;virkið hevði vánaligt úrslitthe company had poor return; úrslitáðrenn rentur og skatt (handilsm.)profit before interest and taxes;úrslit áðrenn óvanligt og skattprofit before extraordinary and taxes6(góðar) fruit(t.d.the fruits of a busy life)7(valúrslit) returns, result;úrslitið av valinumthe election result8(greinskingarúrslit, nevndarniðurstøðao.tíl. eis.)findings(t.d.the findings of agricultural research workers)
úrslitagóður	effective; (heppin) successful; profitable; úrslitagóðurvetura profitable winter season
úrslitaleysur	vain(t.d.efforts), fruitless; unavailing, futile, ineffectual, ineffective(t.d.treatment); inconclusive(t.d.negotiations);vera úrslitaleysur (eis.)be without result, result in nothing, be in vain, fail
úrslitamongd	(stfr.)sample space (set of all outcomes)
úrslitssøkin	result(s)-orientated
úrslitsuppgerð	(handilsm.) profit and loss account
úrstandur	confusion, bewilderment;á, tann úrstandur av tær!you cause us an awful lot of trouble
úrstokkin	(um børn, of children) grown suddenlyorrapidly;hon er so úrstokkin hesa seinastu tíðinashe has grown rapidly lately
úrsýndur	(stb.)extremely, exceptionally, outstandingly, excellentlyel.eminently good;úrsýndar í vakurleika eru tær ikkito say that they are extremely pretty would be to put it rather strongly;úrsýnd vælvildoutstanding kindness
úrsýnt	1unusual, unnatural;tað er úrsýnt, sum veðurlagið er ringtit isn't natural the way the weather behaves2extremely badorpoor;tað er so úrsýnt, sum studentarnir møta uppthe students' non-attendance is outrageous(t.d.at the lectures)3extremely, excellentlyel.eminently good
úrsýnur	(stb.)extremely badorpoor, who doesn't know a thingel.the first thing about (sth);hann er úrsýnur at lesahe doesn't know the first thing about reading;hann er úrsýnur til at siga fráhe is a miserable story-teller;hann er úrsýnur til tað arbeiðiðhe is extremely bad at that (particular) job
úrsøgn	resignation (membership)(t.d.resignation from a party)
úrtak	1(at gera samandrátt) summing up, recapitulation2(stutt úrtak) summary, resumé, epitome, précis, digest, excerpt, abstract(t.d.of a chapter in a book); synopsis(t.d.of a story); conspectus; round-up(t.d.an evening round-up of the day's parliamentary business)3(sum er ein heild) synthesis4(ravm.)tap (stað, haðant.d.streymur, hitiel.luft verður tikin)
úrtakandi	(um fisk) íosb. ryggurin er ikki úrtakandithe fish is so small that it is not worth splitting it for salting;ryggurin var ikki úrtakandi nøkrum av teimum (fl.m.)they were all incompetent persons
úrtikin	1removed;livurin varð úrtikinthe liver was removed2abstract; úrtikinhugsanabstract reasoning
úrtíð	1too late, at a wrong momentortime;hann kom ikki fyrr enn í úrtíðhe arrived too late;eta døgurða í úrtíðhave dinner at the wrong time;hann ger alt arbeiðið í úrtíðhe never does the work until at the last moment;ofta verður klagað um, at blaðið antin ikki kemur fram ella kemur fram í úrtíðthere are many complaints that the paper either doesn't come to hand or arrives much too late2prematurely, too soon;val í úrtíðcall a general election;nú kemur tú í úrtíðyou are here too soon;eiga í úrtíðbe delivered prematurely; give premature birth to a child;í tíð og úrtíðin and out of season; in season and out of season;hann kom malandi í tíð og úrtíðhe came at all odd times of the day;fara frá í úrtíðresign prematurely;hon tosaði um tað í tíð og úrtíðshe was always going on about it
úrtíðarpensiónistur	[person who has taken early retirement];hann er úrtíðarpensiónistur (uml.)he has taken early retirement; eis.úrtíðarpensjónistur
úrtøk	expenses, expenditure
úrtøka	1profit, return; result, outcome, upshot;úrtøka íreturn in;úrtøka í %(TWR) return in % (TWR);teir høvdu væl í úrtøkuthey earned good money (by); they made a good profit (by/out of);tað royndist ikki í úrtøkuit did not prove profitable;hatta var so lítið í úrtøkuit did not come up to/fulfil our expectations;úrtøka býtt á...return divided into...2(ravm.)work, (work) output
úrtøkiligur	abstract;úrtøkiligt hugtakabstraction;úrtøkilig listabstract art;`vakurleiki' er úrtøkiligt navnorðbeatuty is an abstraction;hann hugsar so úrtøkiliga, tí er hann ringur at skiljahe has an abstract way of thinking that is why he is so difficult to understand; síeis.hugtoygdur,hugsaður,ímyndaðuroghugsannavn
úrtøkudystur	(ítr.)trial (game), trials(flt);qualifying match
úrtøkufrágreiðing	(handilsm.) yield report;við hesum senda vit tær/tygum úrtøkufrágreiðingina fyri tíðarskeiðið...we hereby have the pleasure of submitting your yield report for the period...
úrtøkuføri	(bú.)economic prospects for the future
úrtøkugóður	profitable
úrtøkukapping	(ítr.)trial (game), trials(flt)
úrtøkulítil	unprofitable
úrtøkumannagongd	selection procedure
úrtøkumikil	profitable
úrtøkunevnd	(ítr.)committee, selectors(flt)
úrtøkupartar	(handilsm.) yield
úrtøkur	síúrtøkiligur
úrtøkuroynd	(sálfr.)screening test
úrtøkusamanburður	(handilsm.) performance comparison
úrtøkuuppgerð	(handilsm.) statement of return;úrtøkuuppgerð fyri tíðarskeiðið...performance statement for the period...;útgreinað uppgerðdetailed statement of return
úrval	1(at velja úr) choice, selection2(vørur, lutiro.tíl.)selection(t.d.a large selection of wines; that shop has no selection; make a selection of his works); assortment, collection, range(t.d.we sell a wide range of tweeds);stórt//lítið úrval (av vørum)large//small assortment (of goods);úrvalið av bókum er stórtthe collection of books is large3(av yrkingumo.tíl.)selection; (úrvalsrit) anthology;yrkingar í úrvalia selection of poems;bókin hevur eitt úrval av greinumthe book contains an anthology of articles
úrvalalamb	a very good lamb
úrvaldur	1selected, select, chosen; (lýtaleysur) picked(t.d.goods; personnel);(tlm., serst. speis. el. niðr.)handpicked(t.d.the Government had the matter examined by a few handpicked experts);(átr.)elect(t.d.God's elect)2extremely, excellentlyel.eminently good
úrvalingur	síúrmælingur2
úrvals-	picked(t.d.troops); select(t.d.a select audience//public); crack(t.d.a crack regiment);úrvalsfótbóltsliða picked football team
úrvalsbók	anthology, selected writings, selection(t.d.of poems)
úrvalsbrúkari	(teld) superuser
úrvalsframleiðsla	lean production/manufacturing, special production; eis.serframleiðslaogómaksframleiðsla
úrvalsherflokkur	(herm.)crack regiment
úrvalshermenn	élite troops
úrvalsítrott	elitist sports(flt)
úrvalslið	(ítr.)picked team
úrvalsmanning	picked men, picked crew
úrvalsrit	(bókm.)anthology, selected writings, selection(t.d.of poems)
úrvalsvørur	(handilsm.)shopping goods
úrvatning	(oljuv.)dehydration
úrveljandi	selective
úrvinding	evolution
úrvinning	extraction, winning; (av kolieis.)working, mining;skattur á úrvinning av náttúrutilfeingiseverance tax
úrvóning	sívónbrot
úsaligur	(stb.)síússaligur
úss	(skemt.) hon var so ússshe was poorly; síússaligur
ússaligheit	(tlm.)weakliness, infirmity, delicate (state of) health
ússaligur	poor, wretched, miserable, pitiful, infirm, pitiable, sorry, poorly, weak, delicate;hann var ússaligur sum barnhe was delicate as a child;frambeinini eru kløn og ússaligits forelegs are thin and weak;eitt ússaligt úrslita lamentable/very poor/miserable result;hann er so ússaligurhe is ill;hjússaliga
ússj	pooh
út	1out (as opposed toinn); bera líggja út,sílíggi;bróta útbreak out;ganga út og innwalk in and out;út úr húsinumout of the house;fara út um dyrnargo out of the house;høsnarungarnir koma útthe chickens are hatched;fara út í túngo out into the yard;út á veginout on the road;leka útleak out(t.d.the news was leaked to the Press)2(fartherorfurther away from a central point);nesið stingur út í sjógvinthe promontory protrudes out into the sea;greinirnar vaksa út frá bulinumthe branches grow out from the trunk;út um markout beyond the fishery limit(s);sum út kemurthe farther out one comes;senda út neyðarkallsend out distress signal (SOS, mayday);sparka útkick out3(from the central part of the country); úttil Fugloyarto (the island of) Fugloy;út til Mykinesto (the island of) Mykines;rógva útgo fishing (from a boat);út móti sjónumtowards the sea4(kortsp.) eiga útlead(t.d.lead the ace of trumps)5út og innat right angles to sth;tríggir bilar fáa staðið út og innthere's parking space for three cars at right angles to the pavement6(until nothing is left);brenna útburn down;doyggja útdie out(t.d.the family died out); die off, become extinct;drekka útempty the glass;lesa útfinish reading;ikki liva árið útdie before the end of the year;hon hevði verið tíðina útshe had been there the appointed time;kólna útgo out(t.d.the fire//the light went out)7(out of one's possessions);bjóða út(arbeiði) invite tenders for a piece of work; (lán) invite subscriptions for a loan; (til sølu) offer/put up sth for sale;geva útpublish;leiga úthire out(t.d.hire out cars by the hour); let out on hire(t.d.bicycles let out on hire); let out(t.d.cars//horses); (hús, jørð) let (out)(t.d.he let his house to Colonel Brown); rent(t.d.he rented his house at £10, 000 a year)(GG:a flat which rents for £200 a week)8(úr stórari mongdel.tilfeingi, picked from a large numberel.amount);leita útpick out, select, choose;skera útcut out;taka útwithdraw money;velja útpick out, select, choose9out (when spreading or stretching out);breiða útspread out;toyggja útstretch out10(um tíð, of time);tað dró útit took a long time;tá ið leið út á náttinain the small hours of the morning11(inexp. like):dálka seg útget dirty, dirty oneself;spilla útslander, speak ill of;svína seg útmake oneself dirty, get dirty;teir smurdu hann út í runuthey smeared him with mud12(prepare, make preparations for, rig, equip; get ready);búgva út skiprig a ship;búgva út herequip an army;gera útequip;gera seg út til bardagaprepare oneself for the fight//for a battle13(concerning appearance, looks);síggja út: hetta sær væl útthis looks good;tað sær út til at fara at regnait looks like rain;tað sær so árligt út,síárligur14[ísamb.viðfs]útav:detta út av hamrinumfall down from the mountain wall;koma væl út av tí (tlm.)they get along well;teir báðir koma væl út av títhey get on like a house on fire; they get on well (together);útámake thickening;gera út ámake thickening;úteftir:báturin sigldi út eftir firðinumthe boat sailed out through the fiord;útfyriclose to the shore; útfyri dyroutside the house;báturin lá út fyri støðnithe boat was lying close to the landing place;útí:biðja sær ein mjólksopa út í drekkaask for a drop of milk for the tea//coffee;útímótiabout, getting on for;hann var nú út ímóti hundrað ára gamalhe was nudging hundred;útum:hann rann út um garðinhe ran out of the garden;útúr:steinurin stendur út úr berginumthe stone protrudes from the cliff;útyvir:taka út yvir við e-mforgive, make allowances for15[ísamb. viðs] t.d.flýggja út; fløða út; ganga út; gera út; halda út; skriva út; spæla út(sísagnorðinisumleitorð)
útaftur-	-komin; -loystur; -sloppin; -vaksin
útafturkomin	bókin er útafturkomin í broyttum líki a new edition of the book is available/has appeared
útanding	exhalation, expiration
útarmaður	impoverished, worn-out, exhausted, bled white;Evropa var útarmaðEurope was impoverished
útarvaður	(løgfr.)gone to the heirs, distributed into shares of inheritance;meginparturin av ognini var útarvaðurthe bulk of the inheritance had gone to the heirs;ein útarvaður gyllinan inheritedgyllin;sígyllin
útarvingi	(løgfr.)[heir other than issue and spouse]
útasaður	exhausted, fatigued, tired, worn out
útav	1out over an edge;bilurin fór útavthe car went over the edge;falla//fúka útavfall/be blown over the edge;ganga seg útavwalk out over the edge;taka eyga útavmake a (knitting) stitch, knit a stitch2(veðurfr.)offshore wind;hann kom útav; hann lotar útav3completely, in full;eg veit uppi í fleiri søgum, men kann rættiliga onga útav at forteljaI know many stories but can tell none in its entirety;børnini eru útav í skúla teir dagar, tey eru, og hava so frí tveir dagar;on the days the children attend school they are there all day long, and then they have two days off;hon er so útav bleikshe is extremely pale
útá1	1out on an edge2over the fire;seta ketilin útáput the kettle over the fire3gera útámix flour in meat gruel, make thickening
útá2	outwards, out;stíga útáturn one's toes outwards (when walking)
útágerð	(matgerð) thickening
útágjørdur	útágjørd súpan soup made with thickening; sígera(útá)
útás	(stfr.)axis of abscissasel.abscissae, x-axis
útbanki	branch of a bank, bank branch
útbering	carrying out,(postm.)delivery
útbjóðing	invitation to tender; invitation to submit tenders; síbjóða(út)
útbjóðingarlóg	(oljuv.)Act on the First (Second) Licensing Round
útbjóðingarumfar	licensing round
útblakaður	thrownel.chucked out, kicked out, expelled(t.d.from [the] school,(tlm.)he was kicked out of [the] school)
útblástur	inflated, blown up;útblást ballónblown up (toy) balloon; síuppblástur
útbláur	(alisfr.)ultra-violet
útbloyttur	(of wind-dried fish, salted fishormeat) put in soak
útblóðgaður	smeared in blood,(serst. am.)bloody, stained with blood, blood-stained(t.d.hands//handkerchief), soiled with blood
útbløddur	drained of blood, whoorwhich has lost all hisorits blood;kúgvin var nú útbløddthe cow had been drained of blood
útboð	1offer(ing) (of sth) for sale2articles of commerce offered for sale;tað, sum ásetur natúrligar vøruprísir er útboð og eftirspurningurwhat determines the natural commodity prices is (the law of) supply and demand
útboðin	síbjóða(út)
útborin	1carried out (of the house to others);var nakað fiskað, so var útborið, so at nógv skuldu smakkaif the catch had been satisfactory then fish was carried out to other households that they should taste it too2buried, laid to rest;gloymdur var hann, so skjótt hann var útborinhe was forgotten as soon as he had been buried3[íyms.samb.]illa útborinin low spirits, indisposed(t.d.I felt a little indisposed); out of sorts, not very well, not up to one's usual form;væl útborinin high spirits;hann var ikki so væl útborin at yrkja í løtunihe was not in the mood to write poetry at the time;sálarliga er menniskjan so illa útborin ennmankind is not mentally mature yet;hann var ikki rætt útborinhe was not normal
útbragd	vent, outlet;vreiði hansara fekk útbragd í ógvisligum álopum á landsfyrisitinginahis anger vented itself in violent denunciations of the central administration;útbragd fyri ágrýtni hansaraan outlet for his energy;fáa útbragd fyri kenslunumfind an outlet for one's feelings, vent one's feelings, give vent to one's feelings; let off steam;hann fekk útbragd fyri vreiðini (eis.)he worked off his anger(t.d.by kicking his dog); he blew off steam
útbreiddur	1spread (out); útbreiddurdúkura spread out (table-)cloth2outspread;við útbreiddum ørmumwith outspread arms
útbreiðsla	1(at breiða seg út) spreading(t.dof the news//of a disease//of ideas); spread(t.d.of Communism//of a disease); dissemination(t.d.of the Gospel//of knowledge//of the truth); diffusion(t.d.the wider diffusion of information//of foreign language teaching); prevalence(t.d.of radios); propagation(t.d.the propagation of false news//of a doctrine)2(at vera útbreiddur) extension(t.d.the present extension of Buddhism); spread(t.d.the present spread of a disease); (um tíðarrit) circulation(t.d.a newspaper with a wide circulation)3(fyrikoming) extension, distribution(t.d.the distribution of an animal//of a plant//of a sound in English); (av dýrum, plantumeis.)range(t.d.this animal had a considerable range); (tíðleikio.tíl.)incidence(t.d.the incidence of tuberculosis among the different age groups)4(øki har eitt er útbreitt) area of distribution
útbreiðslufrøði	(plfr., dý.)distribution
útbreiðsluøki	(dýr.)area of distribution, range(GG:nightingales range from x to y)
útbrendur	burned down;kertiljósið var útbrentthe candle was burned down
útbrot	rash, skin eruption;(fakl.)exanthema
útbrotin	broken out (with), in a rash;hon er útbrotinshe has a rash; síeis.bróta(út)
útbugaður	convex;húsið hevði útbugaðar langsíðurthe house has convex long sides (víkingahús, of a viking house)
útburður	1carrying out,(t.d.post) delivery2(sø.)exposure a newborn child
útbúgva	train(t.d.airmen; hospital nurses; soldiers; troops);(serst. viðv.bókligari útbúgving) educate(t.d.she was educated at Eton and Oxford);útbúgva seg í máli//vísindumstudy a language//a science;útbúgva seg í eini lærugreinlearn a subject//a trade;útbúgva sumqualify as(t.d.an interpreter);útbúgva seg tilqualify (oneself) for(t.d.a job; a post);fáa útbúgva til handilsmannreceive/get a business training
útbúgvin	1qualified(t.d.in this school there is no qualified history master; a qualified radio operator); trained(t.d.nurse; soldier);útbúgvin (eis.)fully trained/qualified2(gl.)prepared, ready
útbúgving	training(t.d.military training; practicalel.hands-on training; the training of teachers);(serst.um bókliga útbúgving) education;útbúgving á arbeiðsplássinumon-the-job/in-house training;faklig útbúgvingvocational training;fáa útbúgvingreceive a training//an education;fáa sína útbúgvingbe trained//educated
útbúgvingar-	-ár; -tilboð, -grunnur; -møguleiki; -politikkur; -skipanetc
útbúgvingarár	educational year
útbúgvingargjógv	educational gap
útbúgvingargrunnur	The Young People's Education Fund
útbúgvingarlega	training camp
útbúgvingarleiðari	programme director
útbúgvingarløn	student wage
útbúgvingarmiðstøð	education centre
útbúgvingarmøguleiki	educational opportunities(flt)
útbúgvingarpolitikkur	educational policy
útbúgvingarsamfelag	education-conscious society
útbúgvingarskipan	educational planning
útbúgvingarstaður	place of education
útbúgvingarstig	level of education
útbúgvingarstovnur	educational establishment, institute of education
útbúgvingarstuðul	[educational aid from public funds]; studyel.student grant, educational grant
Útbúgvingar-, Vísinda- og Mentanarstovnur	
útbúgvingarætlan	education programmeel.scheme
