o1	(málfr.)vowel, /o:/
offurgáva	(votive) offerings, sacrifice
offurgerð	sacrifice, offering
offurknívur	(bíbl.)sacrificial knife
offurlamb	sacrificial lamb;(fl.m.)innocent victim(t.d.the bride was led to the altar like a lamb to the slaughter)
offurpar	[two persons who as a pair participate in a wedding procession]
offurpengar	(kirkj.)offerings (to clergyman, parish clerk and the bell ringer)
offurprestur	sacrificial priest
offursfólk	síoffurfólk
offurvilji	spirit of self-sacrifice, selflessness
o.fl.	(st.)og fleiri and others
ofra	1sacrifice, offer up; ofratil skurðgudarsacrifice to idols/false gods2give offerings (to the clergyman, the parish clerk and the bell ringer)3give up, sacrifice(t.d.sacrifice one's comfort for that of sby else; sacrifice sby to save oneself; sacrifice one's happiness on the altar of humanity);bæði rík og fátæk hava víst vilja til at ofra bæði tíð og peningrich and poor alike have shown selflessness in offering both money and time (for the enterprise);ofra seg fyri e-tsacrifice oneself for sth4(talv.)sacrifice pawn(s) or an officer for a more advantageous position5(skemt.)be sick;Sfeed the fishes
ofring	1sacrifice, offering2(kirkj.)offerings;meðan ofringin var fyriwhile the offerings were given (in connection with a wedding ceremony)
ofsin	síopsin
ofta	often, frequently; oftaog tíðumoften;ofta og stundfrequently;tað er ikki oftari enn soit does not happen too often, it is not an everyday occurrence;fyri tað oftastausually
oftani	often, frequently
oftum	(gl.)often, frequently; oftumlýtst happ av hundidogs often cause damage;(kvæð.) tað er enn, sum oftum erthings are still very much the way they used to be
og	1and;himmal og jørðheaven and earth;svartur og hvíturblack and white;aftur og framto and fro, round trip;av og ánow and then, now and again, occasionally, off and on, at intervals, from time to time;ungur og óstilturyoung and untamed;væl og virðiligathoroughly, painstakingly, carefully, meticulously;stórur og sterkurtall and strong;kom og hjálp mærcome and help me;ein fór, og annar komone person left and another came;virtur og so vínsweet unfermented beer and wine;fagran og so fríðanfair and handsome;so við og viðgradually, by degrees; little by little, bit by bit;hvussu víkur og vendirat all costs, whatever happens; look at it whichever way you like; no matter how you look at it, at any price;tað stendur upp og niðurreceipts and expenditure balance (out);við bit og slitit was hard work, it was a job(t.d.it was a job getting the trunk upstairs); we//theyo.tílwere hard put to it(t.d.we were hard put to it to get away); we//theyo.tíl.had our//theiro.tíl.work cut out(t.d.to remove the stone);líkjast í brún og brábe the (spitting) image of (one's mother//father), be the dead spit of (one's father);leka í eyri og seyrileak;halda e-n fyri háð og spottpoke fun at sby, make fun of sby, hold up sby to ridicule, ridicule sby; make a fool/monkey of sby, take the mickey out of sby;hava jól og góðar dagarbe in clover;sorg og sútdeep grief;líkt og ólíktthings(t.d.we talked about football and things); (every) Tom, Dick and Harry2(í herðingarlættari støðu at sýna hendingagongd; in unstressedel.weak position to describe a sequence of events);sit og tigbe quiet;hann sat og royktihe was smoking;gev uppat og roykstop smoking;kom og dansacome and dance3(vanligt millum tveir teir síðstu liðirnar í upprokning; normally between the two last parts of an enumeration);tær fýra høvuðsættirnar eru norður, suður, eystur og vesturthe four main wind directions are north, south, east and west;børn, ung og gomulchildren, young people and old people4(partur av samsettari sambinding, as part of complex junction),bæði ogboth and;hon er bæði stór og sterkshe is both tall and strong;eins ogjust as;henda myndin er eins vøkur og hinthis picture is as pretty as the other (one)5(bókm., bíbl.)(fremst í setningi uttan samband við tað sum frammanfyri stendur; having initial sentence position with no connection with preceding message); ogJesus kom fram at teimumand Jesus came up to them6just as, the way, like;listansur føroyinga er hin sami og hjá øðrum tjóðumthe Faroese artistic taste is the same as that of other nations;hon líkist ikki støðin nú og hon varthe landing place is not the way it used to be
ogn	1property, possession, landed property, property in freehold land;ogn tilsamans (handilsm.)total assets;ogn í umferð tilsamans (handilsm.)total current assets;føst ogn(real) property;(am.)real estate, realty;veðhald í fastari ognmortgage on real property;(am.)mortgage on real estate;ogn og skuldpossessions and debts;fáa e-t til ognaracquire (the possession of) sth;mín dýrasta ognmy dearest possession, my most expensive possession;føra til ognarcredit/place/carry to the credit of;tað er ikki hvørs mans ognfew people can claim ownership of such a precious thing;tað er ogn í tíit is worth having, it is valuable;tykja(st) ogn í e-mfind it worth having;móður tykir ogn í unga sínuma mother loves her baby2freehold land3(bú.) ognir fltassets
ogna	give, allot, assign; ognasær/ognast (e-t)acquire (the possession of) sth;summum ognaðist eitt lambsome were alloted a lamb;ogna e-m e-tdedicate sth to sby;bókin er ognað honumthe book is dedicated to him;(eis.)To X. X. in Gratitude and Friendshipel.To/For my Old Friend T.S. in Admiration and Gratitude
ognan	1acquisition, acquirement2dedication
ognanarbók	courtesy copy, inscribed copy; presentation copy
ognaravgjald	capital levy
ognarbinda	(løgfr.)tie up(t.d.most of his money is tied up in various undertakings);ognarbinda konuni peningsettle money on one's wife; create/set up a trust for the benefit of one's wife
ognarbinding	(løgfr.)creation of a trust, tying up; settlement(t.d.make a settlement upon one's wife)
ognarbóndi	(sj.)yeoman, freeholder;hann er handilsmaður og ognarbóndihe's a trader and freeholder
ognarbrotsverk	(løgfr.)offence against property
ognarbræv	(løgfr.)deed;fáa ognarbræv upp á húsreceive the deed(s) of a house;geva ognarbræv uppágrant a deed of;tinglýsa ognarbrævrecord/register a deed;flýggja út ognarbrævtransfer a deed (to sby)
ognarbrævanavn	(handilsm.) security name
ognarbygd	[village where the land is predominantly in private ownership (allodiumel.freehold land)]
ognarbýti	(handilsm.)ognarbýti tann 11. januar 2018asset allocation per January 11, 2018
ognarbøur	privately owned infield;toftin liggur í ognarbønumthe ruin is situated in the privately owned part of the infield
ognardómur	(løgfr.)judgment to determine ownership
ognarfelagsskapur	(hjá mongum) community of property; (hjá øllum) publicel.communal ownership
ognarfornavn	(málfr.)possessive (pronoun);mín, tín og sín eru ognarfornøvnmy, your and his//her are possessive pronouns
ognarfólk	(bíbl.)people of/for His own possession
ognarfyrivarni	(løgfr.)[retention of ownership until payment is made,e.g.in a hire purchase agreement];(uml.)retention of title
ognargenta	unmarried girl with landed property;trúlovaður við ognargentuengaged to a girl with landed property
ognargóði	benefit
ognarhagi	outfield belonging to allodium/freehold land
ognarhandil	deal in real property; house deal;(am.)real estate deal
ognarheimild	(løgfr.)document of title; (skeytio.tíl.)title deed
ognarhevd	prescriptive title
ognarhús	house with allodiumel.freehold land;størsta ognarhúsið í bygdinithe largest house with landed property in the village
ognari	1owner, proprietor;hann var ognari til tríggjar merkur í óðalsjørðhe was the owner of three merkur (símørk13) of privately owned/freehold land2creditor
ognaríbúð	owner-occupied flat; freehold flat;(am.)condominium,(tlm.)condo; síleiguíbúð
ognaríløgur	sífastognaríløga
ognarítak	easement
ognarjørð	allodium, freehold (land)
ognarleysur	poor, without property, unpropertied, propertyless;tey ognarleysu (eis.)the have-nots
ognarloysi	the state of having no property, poverty, indigence, destitution, penury
ognarloysingur	person without property, person who is propertyless, proletarian;summir ognarloysingar gjørdust niðursetumenn hjá óðalsmonnumsome persons who had no property became settlers on the land of yeomen/freeholders
ognarlutir	capital assets
ognarlutur	property, piece of property, asset, possessions(flt),effects(flt),belongings(flt);(um annað enn fastogn) chattel;hann kom heim at fáa skil á ognarlutum sínumhe returned home to get his property straight
ognarmaður	ownerel.possessor of freehold land;stórur ognarmaðurgreat landowner;óðalsjørðin er so smábýtt, at ognarmenn liva ikki av hennifreehold land is divided into so small portions that freeholders cannot make a living by working their land
ognarmeting	tax assessment of real estate; assessment (of property), valuation (of property)
ognarmiðlan	estate agent's services
ognarmiðlari	estate agent
ognarmyndil	ownership model
ognarmørk	amørkof freehold land, símørk13;í Vágshaga er ein ognarmørkin the outfield of (the village of) Vágur there is onemørkof freehold land
ognarnøgd	(løgfr.)gross estate; corpus
ognarrættur	1right of property, ownership; concept of property2(løgfr.)the title (to), proprietary right(t.d.no proprietary rights are claimed in this product); property right
ognarseyður	sheep belonging to a freeholder; síkongsseyður
ognarsíða	(bú.)credit side
ognarskattur	property tax, real-estate tax, land tax;ognarskattur grundaður á ognarvirðiproperty rateable tax
ognarskuld	mortgage debt
ognarsteyp	(ítr.)trophy awarded for winning a sports contest
ognartaka	expropriate, acquire property under compulsory powers; ognartakajørð til vegagerðexpropriate land set aside for roadmaking
ognarteigur	strip of (infield) freehold land;her er bara kongs og ikki ein ognarteigurall the land here is in public ownership there is not one single strip of freehold land
ognartøka	expropriation; (íOngl.)compulsory purchase; (í Skotlandi) compulsory surrender;(am. eis.)condemnation
ognartøkuheimild	eminent domain
ognaruppgerð	property statement; ognaruppgerðskal latast inn saman við sjálvuppgávuproperty statement is to be sent in with one's income tax form
ognarviðurskifti	property conditions;ógreið ognarviðurskiftiproperty conditions are unclear
ognarvirði	(virði sambært almennari meting) taxable value (of the property); value according to (the) public land assessment; (virði á húsum/bygningi) value of a/the building; (assessed) value of property; rateable value; annual value;(am.)assessed valuation
ognarvirðisøking	increase in the value of property; unearned increment
ogningartiltøk	(løgfr.)profit à prendre
ognir	(handilsm.)assets(flt),funds, fortune;ognir undir serstøkum stýritrust
ognskriva	(bú.)credit (sby with), placeel.carry to the credit of (sby);ognskriva e-m eina upphæddcredit sby with an amount, credit an amount to sby; enter/book/carry an amount to sby's credit;ognskriva kontucredit an account
ohm	(ravm.)ohm;Ohms lógOhm's law
ok	1(partur av neytatýggjum) yoke2(t.d.at bera vatn við) yoke3(fl.m.)subjugation; heavy load;skaka okið av særthrow off the yoke;vera undir okinumbe under the yoke;leggja undir okiðsubjugate;ganga undir okiðpass under the yoke;lata her ganga undir okiðsend an army under the yoke
oka	síota
okari	(sj., stb.)síoki
oki	(húsasm.)crossbar, batten, ledge
okkara1	sívit2
okkara2	1our; (tá ið tað stendur einsamalt) ours(t.d.the house is ours);okkara húsour house;óvanligur gestur um okkara leiðir(the bird is) an infrequent/rare visitor;málið er lívæðrin í okkara fólkithe language is our most vital possession;kvæðaskaldskapur okkaraour oral literature, our literary ballads2(viðv.skyldskapi, concerning ties of kinship)foreldur okkaraour parents;børn okkaraour children;døtur okkaraour daughters3(í atfinningarsamari tiltalu)okkara býttlingar!we fools!4(í staðin fyri navnorð)eg fari niðan til okkaraI'm going up to our house
okkum	sívit2
okkur	(jarðfr.)ochre, ocher;brent okkurburnt ochre;gult/ljóst okkuryellow ochre;myrkt/brúnt okkurbrown ochre;reytt okkurred ochre
okkurbrúnur	ochreous
okkurgulur	ochre yellow
okkurkendur	ochreous
okkurlittur	ochreous, ochre-coloured;við okkurlittum framfaksiwith ochre-coloured mane
okkurlitur	ochre colour
okkurmálaður	painted with ochre, ochred
okkurreyður	ochre red
okkurt	síonkur
okkut	síonkur
okn	(fugl.)swan(Cygnus cygnus); hin fannhvíta okninthe snow-white swan;sísvanurCygnus cygnus ©iStock
oknagras	(plfr.)quillwort(Isoetes); mjúkt oknagrasspring quillwort(I. echinospora)
oknagrasætt	(plfr.)quillwort(Isoetaceae)
okra1	practise usury, be a usurer
okra2	(stb.)síokkara
okrari	usurer, money lender;(tlm.)Shylock, gouger, loan shark;(am.S)juiceman
oksa	praise enviously, praise because one is envious of sth
oksaafturfjórðingur	hindquarter
oksabásur	stall (for oxen, bullocks or steers)
oksaeyga	(plfr.) gult oksaeygacorn marigold(Chrysanthemum segetum); hvítt oksaeygaoxeye daisy(Leucanthemum vulgare)
oksafall	íosb. geva e-m oksafallthrow sby down on to the ground
oksafjórðingur	quarter of an ox
oksaframfjórðingur	forequarter
oksafrælsi	[right to graze an ox, a bullockel.a steer];Høvdin skuldi vera tólv oksafrælsitheHøvdinwas supposed to provide pasture for 12 oxen/bullocks/steers
oksahald	keeping of oxen
oksakálvur	bull calf; young bullock
oksakerra	oxcart
oksakjøt	meet of bullockel.steer(s), beef
oksakroppur	(kvæð.)beef carcass
oksalsýra	(evnafr.)oxalic acid
oksalær	(kvæð.)síoksatjógv
oksasíða	(kvæð.)side of an ox, bullockel.steer
oksasteik	roast beef, (heil steik) joint of beef;hava oksasteik til døgurðahave a joint of beef for dinner
oksatjógv	leg of beef
oksatoymi	team of oxen
oksavetringur	year-old bullockel.steer
oksi	1castrated bull, bullock, steer2(gl.)bull;(kvæð.) oksan ein og geitir fimmone bull and five goats
oksoppur	(dý.)zygotemycota
oktan	(evnafr.)octane
oktantal	octane ratingel.number;bensin við høgum oktantalihigh-octane petrol,(am.)high-octane gasoline
oktavstigi	(tónl.)octave scale
oktavur	(tónl.)octave
oktett	(tónl.)octet
oktober	October
oktobermánaður	October, the month of October
oktobur	October
okum	[o:g--n](stb.)síokkum
okur1	usury, (vøruokur) profiteering;reka okurhandilpractise usury, be a usurer; (vøruokur) be a profiteer;bót fyri okurbe fined for profiteeringel.for practising usury
okur2	og hvmf okum el. okur hvsf okra el.okara)f (stb.) sívit
okurkallur	síokrari
okurprísur	exorbitant price;taka okurprís fyri (eis.)charge hustlers' prices for;teir krevja ein okurprís fyri kistunathey charge a hustler's price for the sea-chest/lockerel. eis.coffin
okurrenta	usury, extortionateel.usurious rate of interest;(am.S)juice
OL	(ítr., st.)the Olympic Gamesel.the Olympics
oldabbi	(stb.)síoldurabbi
oldingi	(very) old man;(niðr.)dotard
oldomma	(stb.)síolduromma
oldurabbi	great-great-grandfather
olduromma	great-great-grandmother
oligosenøld el.oligosentíð	(jarðfr.)Oligocene, Oligocene Epoch
olivin	(jarðfr.)olivine
olivinbasalt	(jarðfr.)olivine basalt
olivinolja	olive oil
olivinsteinur	(jarðfr.)peridotite
olja1	1oil;steikja e-t í oljufry sth in oil2oil;bora eftir oljubore for oil;endurvunnin oljarecovered oil;(fl.m.) oysa olju á bálið/eldinadd fuel to the fire;3(átr.) seinasta oljanExtreme Unction;fáa seinastu oljunareceive Extreme Unction
olja2	1oil, coat with oil;(fl.m., stb.) fara oljandi(serst.um skip og bátar) sail2(stb.)íosb. olja niðurmow(t.d.the grass, the lawn), cut(t.d.the grass, the hay);hann oljaði grasið niðurhe cut the grass
oljuavlating	(tøkn.)oil drain
oljuavlatingarproppur	(tøkn.)oil drain plug
oljuavleiðsla	(oljuv.)oil derivative
oljuáfyllingarrør	(tøkn.)oil filler (pipe)
oljubað	oil bath
oljubakki	(tøkn.)oil trough, sump tray
oljuber	(plfr.)olive©iStock
oljubilur	(road) tanker;(am.)tank truck
oljubitil	(oljuv.)oil particle
oljublað	1olive leaf2(sum friðarímynd) oilel.olive branch;dúgvan hevði oljublað í nevinumthe dove carried an oil branch in its beak
oljublettur	oil stain; (á sjógvi) oil slick
oljublika	síoljulygni
oljuboring	oil drilling
oljuboringarloyvi	oil concession
oljuboripallur	oil drilling rig
oljuboritorn	oil rig
oljubrá	layer/film of oil
oljubrendur	(sigl., um skip og bátar, of ships and boats)being short of fuel;vit mugu aftur at landi, annars verða vit oljubrendirwe must return to port or we'll be short of fuel
oljubrunnur	oil well
oljubrøkur	(sj.)síoljubuksur
oljubuksur	(sigl.)oilskin trousers
oljubúskapur	(oljuv.)petroleum economics
oljubærur	containing petroleum
oljudansur	seaman's oilskin (coat)
oljudálkaður	oil polluted; oljudálkaðurfugluroil polluted birds
oljudálking	oil pollution;ásetingar viðvíkjandi forðing av oljudálking (sigl.)anti-oil pollution regulations;tiltøk móti oljudálking (sigl.)anti-oil pollution drive
oljudollarar	petrodollars
oljudunkur	oil tin;(am.)oil can
oljuendurvinning	(oljuv.)oil reclamation
oljuevja	oil sludge
oljufarmur	oil cargo
oljufat	oil drum
oljufelag	petroleum company
oljufella	(jarðfr., oljuv.)petroleum trap
oljufernis	oil varnish
oljufiltur	oil filter
Oljufjallið	(sern., bíbl.)the Mount of Olives
oljuflutningur	petroleum transportation
oljufløgugrót	oil shale
oljuframleiðari	oil producer
oljuframleiðsla	oil production, oil-making
oljufundur	oil strike, oil discovery, oil findings(flt)
oljufyrisiting	petroleum administration;Oljufyrisiting FøroyaThe Faroese Petroleum Administration
oljufýr	oil burner; (miðstovuoljukynding) oil-fired central heating
oljufýring	oil-firing, oil-burning; oil heating;trolari við oljufýringoil-burning trawler
oljufýrur	oil-fired central heating; síeis.oljukynding
oljugass	oil gas
oljugassgerð	(oljuv.)oil gasification
oljugoymsla	oil tank(s), oil depot; oil stock
oljugrein	olive branch
oljuhavin	oil-containing, oily, oleaginous;oljuhavið fræoilseed, oil-containing seed
oljuhavn	oil terminal
oljuhavni	oiliness
oljuherða	oil harden, oil-temper
oljuherðing	oil hardening, oil tempering
oljuhinna	oil film
oljuhúsi	(tøkn.)oil cup, oiler
oljuídnaðarligur	oil industrial
oljuídnaður	oil industry, oil and gas industry, petroleum industry
oljujarðfrøði	petroleum geology
oljujarðfrøðiligur	petroleum geological
oljujarðfrøðingur	petroleum geologist
oljukaka	(landb.)oilcake, cattle cake
oljukanna	oil can
oljukelda	oil well, oil spring
oljukendur	oily, oleaginous; síeis.oljuhavin
oljukitt	putty
oljuklukka	(dýr.)blister beetle(Meloidæ)
oljuklæddur	(clad) in oilskins;skiparin var oljuklæddurthe skipper was in oilskins
oljuklæði	oilskins
oljukríggj	oil war
oljukynding	oil-fired central heating
oljukyndur	oil-fired(t.d.kiln); oil-burning(t.d.boiler); oil-heated(t.d.houses)
oljukøka	oilcake
oljulakk	oil varnish
oljulampa	(gl.)oil lamp
oljuleið	oil field
oljuleiðing	(í motori) oil (feeder) pipe; (frá oljukeldu) (oil) pipeline, oil line, oil duct
oljuleiting	petroleum exploration
oljuleivd	(oljuv.)oil residue
oljuleki	oil slip, oil leak, oil spill
oljulind	vein of oil, oil-bearing stratum(fltveins of oil, oil-bearing strata)
oljulitkrit	wax crayon; oil crayon
oljulitur	oil colour;mála við oljulitumpaint in oil(s)
oljulomvigi	oil-polluted guillemot
oljulygna	oil slick
oljumarknaður	oil market
oljumáling	oil paint
oljumálningur	oil painting(GG:a portrait in oils)
oljumiðstøð	oil terminal
oljumjøl	oil meal
oljumotorur	oil engine
oljumóttøkustøð	(oljuv.)landing installation
oljumylna	oil mill
oljuneyð	shortage of oil, oil shortage
oljunýtsla	consumption of oil
oljuovnur	oil furnace
oljupakking el.oljupakningur	(tøkn.)oil seal; oil treatment; oil packing
oljupappír	oil paper
oljupálmi	(plfr.)oil palm(Elaeis guineensis)© Marco Schmidt
oljuprísur	oil prices(flt)
oljupumpa	oil pump
oljuráðleggingarnevnd	Hydrocarbon Planning Commission
oljureinsiverk	oil refinery
oljurikin	oil-driven
oljurør	oil pipe
oljurørleiðing	petroleum pipeline
oljusamtak	petroleum consortium
oljusjeikur	oil sheik(h)
oljuskatting	petroleum taxation
oljusteinur	1(námsv.)elaeolite2(brýni) oilstone
oljustongsil	oil embargo
oljustøða	oil level
oljustøðuvísi	oil gauge, oil level indicator
oljusvinta	oilskin apron (used by fishermen)
oljusýra	oleic acid
oljutangabilur	(road) tanker;(am.)tank truck; síeis.oljubilur
oljutangaskip	(oil) tanker
oljutangi	oil tank
oljutetting	oil seal
oljutilfeingi	oil reserves(flt)
oljutrot	shortage of oil, oil shortage, lack of oil
oljutrýst	oil pressure
oljutræ	(bíbl., plfr.)olive tree(Olea europaea)
oljutunna	1oil barrel; oil drum2(rúmmál, measure of capacity) 158.76 l of refined oil
oljutur	oily, oil polluted
oljuúrskiljari	oil separator
oljuútbúnaður	oil installation
oljuútmylking	(oljuv.)oil emulsion
oljuútvinsla	petroleum recovery
oljuvánir	petroleum potential, prospects of finding oil
oljuverkfrøðingur	petroleum engineer
oljuverkætlan	oil project
oljuviðgera	oil
oljuviður	(bíbl.)olive tree
oljuvinna	oil industry
oljuøki	oil field
olmussa	1charitable gift, alms;(samn.)charity;biðja um olmussuask sby for alms, ask an alms of sby;geva olmussugive alms;geva nógv í olmussugive a great deal to charity;liva av olmussulive on charity;lova burtur (í) olmussu(in an emergency) promise a gift (to an indigent personorto the Churchetcin the hope of being rescued or obtaining salvation thereby)2[l]olmussu;poor;tær olmussu konurthe poor women
olmussubeist	(sj.)síolmussudýr
olmussudrongur	poor boyel.lad
olmussudýr	1poor fellowel.creature2olmussudýrið (blíðm.)(at sýna várkunnel.harm; as term of endearment expressing pity, sympathyorregret) `poor wee thing';far aftur og legg teg, olmussudýriðgo back to sleep you poor little thing
olmussugenta	poor girl
olmussukirkja	(sø.)votive church;gamla kirkja í Vági var okkara einasta olmussukirkjathe old church in (the town of) Vágur was our only votive church
olmussuligur	1poor, wretchedel.miserable (in appearance)2pitiful, pathetic
olympiskur	1(gudal.)Olympian;olympiskir gudarOlympian gods(el.Olympians)2Olympic;olympisku leikirnir/olympiuleikirnirthe Olympics, the Olympic Games;(sø.)Olympian games
olympiuleikir	1the Olympic Games, the Olympics2(sø.)Olympian games
Oman1	(sern., landafr.)Oman
oman2	1(from above) down, downward(s);fara/ganga omanwalk downwards, descend;detta omanperish/be killed by a fall on a mountain/a cliff;kasta/stoyta omanthrow/push down into the sea from an elevated position;kasta sær omancommit suicide by jumping from an elevated position;oman og niðan1stand at right angles to a slope, up and down;húsini standa oman og niðanthe houses stand at right angles to the slope, the gable ends of the house face the slope2upwards and downwards;nú fóru neytini at ganga oman og niðanthe cows had begun to walk upwards in the morning and downwards (towards the houses) in the evening3everywhere, in all places;sólin skínur/sær bæði oman og niðanthe sun is beating down2[ísamb.viðfs]oman at:oman at húsumdown to the houses;oman at flóðarmálanumdown to the high water mark;tvey fremmand komu gangandi oman at bøgarðinumtwo strangers were approaching the infield fence;oman av:oman av landi(burtur) down (on the sea) from the land;hvørt ár fara fleiri og fleiri ungdómar oman av landi til skipsevery year an increasing number of young men go fishing;taka móðu oman av pottiremove froth from a potel.saucepan;oman á 1down to; omaná bakkandown to the turfed ledge (just above the foreshore)2above, on top;rómi legst oman á mjólkcream3(um mat, of food) after, afters(t.d.we had figs for afters); omaná døgurða fingu teir kafficoffee was served after dinner, they had coffee after dinner;oman fyri/fyri omanabove; omanfyri húsiniabove the house(s);flogfør surraðu oman fyri teiraeroplanes were heard droning above them;raskur oman fyri hálsvølin,síhálsvølur;hevur aldri verið til uttan oman fyri hálsvølinempty words that is what it is;oman í:oman í brýrdown to the eyebrows;oman ígjøgnum:teir gingu oman ígjøgnum haganthey walked down through the outfield;oman til:oman til strandardown to the beach;oman úr:koma oman úr fjalliwalk down from the mountain;oman við:oman við ánnidown along the stream3[ísamb. viðfsviðhvnf; prep.withacc.] down (through);sum eitt fok oman brekkunawith lightning speed down the slope;hann rann oman trappurnarhe ran down the stairs; above;svimur sum oftast við høvdinum oman vatniðhe/it swims usually with his/its head above the water;førur oman beltihaving a stout upper body;vera oman stokk(vera uppi, vakin) be up, be awake;er hann so frægur, at hann er oman stokk?is he so well that he's up?
omanat	down to the landing place;hann fór omanat móti manninumhe went down to the landing place to receive the man
omanav	off, from the surface;taka omanavskim the cream off the milk;grava omanavremove the topsoil;har brotnaði alt bæði omanav og niðanavbreakers washed away the bulwark
omanavtikin	skimmed; omanavtikinmjólkskimmed milk
omaná	1above, on top of sby;liggja omanábe on top in a fight2alive;tað skal ikki henda so leingi hann er omanáthat's not going to happen while he's alive3íosb.sumetael.hava e-t omanáhave sth for dessert
omanáprent	(prentað oman á okkurt annað) overprint; (á frímerki sum broytir virðið) surcharge; (áprent) overprint
omanávatn	surface water;ofta er lítið salt í omanávatninumnormally there is little salt in surface water
omanbering	act of carrying peat home from akrógv11
omanbúgvi	Omani
omandeks	above deck,aftur at tí skaða, vit fingu omandeks, kom eisini hol á skipiðin addition to the damage the ship suffered above deck, she sprang a leak
omandottin	fallen(t.d.from a bird cliff)
omandøttur	fall;av omandøttri og ringari hagreiðing var seyðatalið minkaðthe number of sheep had decreased/had been reduced by falls and bad handling
omaneftir	down the roadel.way
omanfleyg	(á báti, from a boat) catching (with pole) guillemots which fly down from the bird cliff
omanfleyggj	síomanfleyg
