o1	(málfr.)vowel, /o:/
offurgáva	(votive) offerings, sacrifice
offurgerð	sacrifice, offering
offurknívur	(bíbl.)sacrificial knife
offurlamb	sacrificial lamb;(fl.m.)innocent victim(t.d.the bride was led to the altar like a lamb to the slaughter)
offurpar	[two persons who as a pair participate in a wedding procession]
offurpengar	(kirkj.)offerings (to clergyman, parish clerk and the bell ringer)
offurprestur	sacrificial priest
offursfólk	síoffurfólk
offurvilji	spirit of self-sacrifice, selflessness
o.fl.	(st.)og fleiri and others
ofra	1sacrifice, offer up; ofratil skurðgudarsacrifice to idols/false gods2give offerings (to the clergyman, the parish clerk and the bell ringer)3give up, sacrifice(t.d.sacrifice one's comfort for that of sby else; sacrifice sby to save oneself; sacrifice one's happiness on the altar of humanity);bæði rík og fátæk hava víst vilja til at ofra bæði tíð og peningrich and poor alike have shown selflessness in offering both money and time (for the enterprise);ofra seg fyri e-tsacrifice oneself for sth4(talv.)sacrifice pawn(s) or an officer for a more advantageous position5(skemt.)be sick;Sfeed the fishes
ofring	1sacrifice, offering2(kirkj.)offerings;meðan ofringin var fyriwhile the offerings were given (in connection with a wedding ceremony)
ofsin	síopsin
ofta	often, frequently; oftaog tíðumoften;ofta og stundfrequently;tað er ikki oftari enn soit does not happen too often, it is not an everyday occurrence;fyri tað oftastausually
oftani	often, frequently
oftum	(gl.)often, frequently; oftumlýtst happ av hundidogs often cause damage;(kvæð.) tað er enn, sum oftum erthings are still very much the way they used to be
og	1and;himmal og jørðheaven and earth;svartur og hvíturblack and white;aftur og framto and fro, round trip;av og ánow and then, now and again, occasionally, off and on, at intervals, from time to time;ungur og óstilturyoung and untamed;væl og virðiligathoroughly, painstakingly, carefully, meticulously;stórur og sterkurtall and strong;kom og hjálp mærcome and help me;ein fór, og annar komone person left and another came;virtur og so vínsweet unfermented beer and wine;fagran og so fríðanfair and handsome;so við og viðgradually, by degrees; little by little, bit by bit;hvussu víkur og vendirat all costs, whatever happens; look at it whichever way you like; no matter how you look at it, at any price;tað stendur upp og niðurreceipts and expenditure balance (out);við bit og slitit was hard work, it was a job(t.d.it was a job getting the trunk upstairs); we//theyo.tílwere hard put to it(t.d.we were hard put to it to get away); we//theyo.tíl.had our//theiro.tíl.work cut out(t.d.to remove the stone);líkjast í brún og brábe the (spitting) image of (one's mother//father), be the dead spit of (one's father);leka í eyri og seyrileak;halda e-n fyri háð og spottpoke fun at sby, make fun of sby, hold up sby to ridicule, ridicule sby; make a fool/monkey of sby, take the mickey out of sby;hava jól og góðar dagarbe in clover;sorg og sútdeep grief;líkt og ólíktthings(t.d.we talked about football and things); (every) Tom, Dick and Harry2(í herðingarlættari støðu at sýna hendingagongd; in unstressedel.weak position to describe a sequence of events);sit og tigbe quiet;hann sat og royktihe was smoking;gev uppat og roykstop smoking;kom og dansacome and dance3(vanligt millum tveir teir síðstu liðirnar í upprokning; normally between the two last parts of an enumeration);tær fýra høvuðsættirnar eru norður, suður, eystur og vesturthe four main wind directions are north, south, east and west;børn, ung og gomulchildren, young people and old people4(partur av samsettari sambinding, as part of complex junction),bæði ogboth and;hon er bæði stór og sterkshe is both tall and strong;eins ogjust as;henda myndin er eins vøkur og hinthis picture is as pretty as the other (one)5(bókm., bíbl.)(fremst í setningi uttan samband við tað sum frammanfyri stendur; having initial sentence position with no connection with preceding message); ogJesus kom fram at teimumand Jesus came up to them6just as, the way, like;listansur føroyinga er hin sami og hjá øðrum tjóðumthe Faroese artistic taste is the same as that of other nations;hon líkist ikki støðin nú og hon varthe landing place is not the way it used to be
ogn	1property, possession, landed property, property in freehold land;ogn tilsamans (handilsm.)total assets;ogn í umferð tilsamans (handilsm.)total current assets;føst ogn(real) property;(am.)real estate, realty;veðhald í fastari ognmortgage on real property;(am.)mortgage on real estate;ogn og skuldpossessions and debts;fáa e-t til ognaracquire (the possession of) sth;mín dýrasta ognmy dearest possession, my most expensive possession;føra til ognarcredit/place/carry to the credit of;tað er ikki hvørs mans ognfew people can claim ownership of such a precious thing;tað er ogn í tíit is worth having, it is valuable;tykja(st) ogn í e-mfind it worth having;móður tykir ogn í unga sínuma mother loves her baby2freehold land3(bú.) ognir fltassets
ogna	give, allot, assign; ognasær/ognast (e-t)acquire (the possession of) sth;summum ognaðist eitt lambsome were alloted a lamb;ogna e-m e-tdedicate sth to sby;bókin er ognað honumthe book is dedicated to him;(eis.)To X. X. in Gratitude and Friendshipel.To/For my Old Friend T.S. in Admiration and Gratitude
ognan	1acquisition, acquirement2dedication
ognanarbók	courtesy copy, inscribed copy; presentation copy
ognaravgjald	capital levy
ognarbinda	(løgfr.)tie up(t.d.most of his money is tied up in various undertakings);ognarbinda konuni peningsettle money on one's wife; create/set up a trust for the benefit of one's wife
ognarbinding	(løgfr.)creation of a trust, tying up; settlement(t.d.make a settlement upon one's wife)
ognarbóndi	(sj.)yeoman, freeholder;hann er handilsmaður og ognarbóndihe's a trader and freeholder
ognarbrotsverk	(løgfr.)offence against property
ognarbræv	(løgfr.)deed;fáa ognarbræv upp á húsreceive the deed(s) of a house;geva ognarbræv uppágrant a deed of;tinglýsa ognarbrævrecord/register a deed;flýggja út ognarbrævtransfer a deed (to sby)
ognarbrævanavn	(handilsm.) security name
ognarbygd	[village where the land is predominantly in private ownership (allodiumel.freehold land)]
ognarbýti	(handilsm.)ognarbýti tann 11. januar 2018asset allocation per January 11, 2018
ognarbøur	privately owned infield;toftin liggur í ognarbønumthe ruin is situated in the privately owned part of the infield
ognardómur	(løgfr.)judgment to determine ownership
ognarfelagsskapur	(hjá mongum) community of property; (hjá øllum) publicel.communal ownership
ognarfornavn	(málfr.)possessive (pronoun);mín, tín og sín eru ognarfornøvnmy, your and his//her are possessive pronouns
ognarfólk	(bíbl.)people of/for His own possession
ognarfyrivarni	(løgfr.)[retention of ownership until payment is made,e.g.in a hire purchase agreement];(uml.)retention of title
ognargenta	unmarried girl with landed property;trúlovaður við ognargentuengaged to a girl with landed property
ognargóði	benefit
ognarhagi	outfield belonging to allodium/freehold land
ognarhandil	deal in real property; house deal;(am.)real estate deal
ognarheimild	(løgfr.)document of title; (skeytio.tíl.)title deed
ognarhevd	prescriptive title
ognarhús	house with allodiumel.freehold land;størsta ognarhúsið í bygdinithe largest house with landed property in the village
ognari	1owner, proprietor;hann var ognari til tríggjar merkur í óðalsjørðhe was the owner of three merkur (símørk13) of privately owned/freehold land2creditor
ognaríbúð	owner-occupied flat; freehold flat;(am.)condominium,(tlm.)condo; síleiguíbúð
ognaríløgur	sífastognaríløga
ognarítak	easement
ognarjørð	allodium, freehold (land)
ognarleysur	poor, without property, unpropertied, propertyless;tey ognarleysu (eis.)the have-nots
ognarloysi	the state of having no property, poverty, indigence, destitution, penury
