r	h (málfr.)consonant,/ær:/
rað	1row(t.d.a row of cars; houses; persons; tomato plants; statues; trees); line(t.d.a line of columns//soldiers//statues//trees); (bara um lutir) bank(t.d.a bank of computers); range(t.d.a range of buildings//columns//forts//islands//mountains); (hotellsvita) suite(t.d.a suite of rooms); (á rað aftureftir) line, file(t.d.they walked in a file down the street), string(t.d.a string of cars//barges//boats); (hali) queue; (uppi yvir hvør øðrum) tier(t.d.the tiers of an amphitheatre; tiers upon tiers of boxes); (í leikhúsi) row(t.d.sit in the front row);fólk stóðu í longum røðumpeople stood in long queues;á raðrunning(t.d.I won three times running); successive(t.d.three successive times; for three successive weeks; this is the fifth successive year that); in succession(t.d.three times in succession); on end(t.d.for several weeks on end); consecutive(t.d.for three consecutive weeks); together(t.d.write for hours together);trý ár á raðfor three consecutive years2skeleton
raða1	íosb.sumsigla beina raðusail dead before the wind;strongurin stevnir haðan í beina raðu móti Skælingithestrongur(narrow, strong tide race) then makes directly for the Skælingur (a mountain)
raða2	1(daga uppundanel.uppúr) project, rise, stand up, tower; (taka seg uppum) rise above, be taller than, overlook, look down upon, dominate(t.d.the castle looks down onel.dominates the village); (nógv hægri) tower above(t.d.the church towers above the houses);standa og raðastand up;byrsumúlin stendur og raðar upp í loftthe gun barrel is pointing upwards;bara mastrarnar og skorsteinurin raðaðu undanonly the masts and funnels were visible;hømiliurnar frá í fjør standa og raða upp millum steinarnarthe docks of last year cand be seen standing up among the stones2arrange in the proper orderel.in due succession, rank, prioritize;(teld.)sequence;ørindini eru raðað og skipað eftir frásøgnthe stanzas have been arranged in order in accordance with oral tradition3íosb.sumraða umconcern, regard, relate to, have reference to; bear upon; as to, as for, as regards, as far as... is concerned;tá ið tað raðar um taðas far as it is concerned;tað raðaði ikki um stavn millum bátarnar(í kappróðri, in boatrace) the boats crossed the finishing line at the same time;raða avall sails set, at/under full sail, full-sail, with every stitch of canvas spread, with crowded sails;teir raðaðu hana avthey sailed with crowded sails
raðan	sigla beina raðan sail dead before the wind; síraðfylgja2,raða1
raðbinda	(ravm., alisfr.)connect(t.d.cells) in series
raðbroyta	(stfr.)permute
raðbroyting	(stfr.)permutation
raðbygging	(byggifr.)aligned buildings;raðbygging fram við vegiribbon development(t.d.ribbon development along the roads of approach)
raðdráp	(eitt av mongum) serial killing; (mong raðdráp) serial killings
raðdrápsmaður	(verður vanliga lýstur sum persónur, ið drepur trý ella fleiri fólk eftir einum mánaði ella so, síðan er steðgur, og so byrjar hann aftur) serial killer; síhópdrápsmaður
raðfesta	prioritize, fix an order of priority; determine, establishel.set priorities for;raðfesta arbeiðidecide work priority, put the tasks into order of priority;raðfesta íløgurfix an order of priority concerning investments
raðfesting	prioritization, putting in order of priority(GG:it is a question of priorities), fixing an order of priorities
raðfestingarlisti	list of priorities
raðfylgi	síraðfylgja
raðfylgja	order(t.d.in alphabetical order; in chronological order); (order of) succession;(jarðfr:av løgum) succession; seriatim(t.d.he tackled his problems seriatim);í raðfylgjuin succession, consecutively;í søguligari raðfylgjuchronologically;í skjótari raðfylgjuin rapid succession;í øvutari raðfylgjuin reverse order
raðhald	(á brúgv, skipio.tíl.)rail, hand rail, guard rail, railing; (til trappu) banisters(flt);síeis.rekkverk
raðhalt	íosb. saga raðhaltsaw along the line but out of the square
raðhús	(uml.)terrace house; (stór, nútíðarlig) (non-detached) town house;(serst. am.)rowhouse
raðið	fluently, with fluency, without stopping;lesa raðiðread fluently;tala fremmandamál raðiðspeak a foreign language fluently;kunna/duga e-t raðiðknow sth word for word;tað lá raðið fyri hjá hennishe had no problem doing it
raðsamanbinding	(ravm.)series connection;skipan/kervivið raðsamanbinding series system of distribution
raðsáa	(landb.)drill
raðsáing	(landb.)drilling
raðsáingarmaskina	(landb.)(seed) drill
raðsending	(útv.)serial (story);(sjónv.)serial;(teld.)serial transmission
raðseta	arrange in the proper orderel.in due succession, rank, prioritize;(teld.)sequence
raðskipan	order; síeis.rað1,røð3
raðtal	ordinal (number);raðtøl eru fyrsti, annar, triði o.s.fr.ordinals are the first, the second, the thirdetc
rafsast	sírefsast,ressast
raft	long, thin wooden stick
ragg	roughness in the sea;fitt ragg í sjónum, tó at tað er toluliga kyrt inni á gjónniit was fairly calm in thegjógv(bay with rocks on both sides of it) in spite of the fact that the sea was rough outside
ragga1	goel.walk slowly, walk step by step; raggasær aftur at húsumwalk slowly back to the house;øll, ið ragga kundu, komu á støðnaevery man Jackel.every living thing went down to the landing place
ragga2	1(um eggjarn, of cutting edge) become blunt;knívurin er raggaðurthe knife is blunted;illa raggaðurvery blunt;líggin fer at raggastthe scythe is becoming blunt2make an oblique incision (acting as barbs in bolt, nail or the like)
raggari	(stb.)seal's tail; sísaks
raggutur	(of sea) fairly rough; raggutursjógvurfairly rough sea;raggut í sjónumthe sea is fairly rough
ragla	stagger, reel
raglan1	stagger(ing), reeling
raglan2	raglan (bindat.d.troyggjur við raglan)
ragna	swear, curse;blóta og ragnacurse and swear
ragnarøk	1(gudal.)the Twilight of the Gods2(fl.m.)ruin, destruction, Armageddon;ótálmað vápnadubbing elvir til ragnarøkthe unrestrained arms race will result in Armageddon
raion	rayon
rak1	(gl.)wick (of a train-oil lamp);kolan brann við tveimum rakum íthe train-oil lamp was burning with two wicks
rak2	emaciation, wasting away, haggardness, gauntness;koma upp í rakwaste away, become extremely skinny;bláur í rakiextremely gaunt, as thin as a rake/lath;tað bláa rakultimate degree of emaciation;fáa raksírossa-;doyggja í rakidie of hunger;gløða í rakibe extremely gaunt
rak3	very lean
rak4	síreka
raka1	1hit(t.d.the ball; the target; he was hit in the leg); (um ljós) fall on(t.d.the light fell on the armchair)(GG: eis.:the light caught his face); rakae-n//e-thit sby//sth;blakið rakti hann á hálsinthe throw hit him on the neck;hann rakti í hvørjum kastieach throw was a hit;raka beinthit the target,(fl.m.hit the nail on the head), hit the bull's eye/score a bull;raka áhit the right spot;2hit, affected;meinast raktur(t.d. areas around the state capital were among the worst hit; everywhere, the worst affected are children, women and the elderly)3vit rakaðu at koma beint í Heygsstøðwe succeeded in reachingHeygsstøðspot on;4rakavið(e-t)1meet, encounter, run into, chance upon (sth)2see, become aware of, catch/get sight of, discover
raka2	1rake together;raka/raka hoyggjrake hay;raka saman(hoyggj) rake hay together (for stacking);raka upp (stb.)turn grass for the first time after it has been shaken; rakaí øskunirake the ashes;raka hógv,síhógvur22rummage, grope3shave (beard); rakasærshave;raka skinnscrape the hair off a skinel.hide, unhair, depilate4(fl.m.)hoard up money, possess oneself of, seize (upon), lay hands on, feather one's (own) nest; rakatil sínfeather one's own nest;raka inn undir seghoard up money
rakan	telling-off, scolding, beating;tað verður ein rakan, tú fært, tá ið pápi tín kemur afturyou'll get a sound beating when your father returns
rakarastova	barber's shop, hairdressing saloon, hairdresser's
rakari	hairdresser, hair stylist,(tlm.)barber
rakaroð	sheepskin from which the wool has been shaven
rakár	lean year;(orðt.) ravnur er feitastur rakárthe worse the year the fatter the raven
rakbeist	(óvand.)poor and incompetent person (term of abuse)
rakbendil	1very thin person2poor and incompetent person
rakbóndi	poor farmer;ikki hevur tað verið rakbóndi, ið her hevur búðthe farmer who lived here wasn't poor
rakbýlingur	(í stórbýi, of big city) slum, poor quarter; eis.fátækrabýlingur
rakdeyði	(um seyð, of sheep) dying of hunger;einki er eftir av gróðri, og rakdeyði spyrst tí víða hvarthe growth has all gone and the sheep are dying of hunger all over the country;tá ið rakdeyði kemur í seyð, man tað koma av yvirskipanwhen sheep die of hunger the reason is most often that the (particular part of the) outfield is pasture for too large flocks of sheep
rakdirðil	(niðr.)very thin person
rakdoyggja	die of hunger
rakdropi	drip from the nose
rakdýr	1leanel.thin animal2(um fólk, of people) very thin person, poor and incompetent person;tit fara ikki til sovorðin rakdýr at fáa tykkum nakaðyou are not going to such poor people for anything, are you?
rakdæmi	complexion which betrays poverty
rakett	1rocket2(herm.)missile3(fýrverk) rocket
rakettbilur	rocket car
rakettbing	silo (for a missile)
rakettbumba	rocket bomb
rakettflogfar	rocket plane
rakettfráferð	lift-off
rakettgjógv	missile gap
rakettkanningarfar	space probe; sounding rocket
rakettkanón	rocket-firing gun
rakettmotorur	rocket engine
rakettoddur	nose cone; (við stríðsløðing) missile warhead
rakettrikin	rocket-propelled, rocketed(t.d.missile)
rakettstig	rocket stage
rakettstøð	launching base; missile base
rakettundandrag	missile gap
rakettútskjóting	rocket launching
rakettútskjótingarpallur	missile launch(er)
rakettvápn	rocket, missile;(samn.)rocket weaponry, missilery
rakettverja	anti-missile system
rakfallin	(stb.)utterly emaciated, weakel.feeble on account of extreme thinness
rakfuglur	starving bird; rakfuglurer loftskotina starving bird's tail is turned upwards
rakføddur	(serst.um neyt,espof cows) underfed, badly nourished
rakhagi	poor pasture
rakhola	poor cottageel.cabin
rakhosa	1discarded stocking2(fl.m.)person who is rejected;eg skilji á lagnum, at tað er ætlanin, at Rannvá skal koma heim aftur til okkara sum ein rakhosaI understand that you harbour sinister designs of returning Rannvá to us as a rejected person
rakhundur	(skemt.)thin person
rakhøna	lean and poor hen
rakiblað	razor blade
rakigreiður	shaving thingsel.tackleel.kit
rakijarn	(stb.)razor;hava munn sum eitt rakijarnhave a tongue as sharp as a razor
rakiknívur	razor;(fl.m.) hava munn sum ein rakiknívurhave a tongue as sharp as a razor;seta upp rakiknívsharpen a razor
rakikrem	shaving cream
rakikustur	shaving brush
rakimaskina	electric shaver
-rakin	síbein-,skeiv-
raking	shave, (tað at) shaving
rakingarblað	sírakiblað
rakingarkustur	sírakikustur
rakingarmaskina	sírakimaskina
rakingartól	sírakitól
rakireim	(razor) strop
rakisápa	shaving soap
rakiskúm	shaving foam
rakispegil	shaving mirror
rakispritt	after-shave (lotion)
rakistova	barber's shop, hairdressing saloon, hairdresser's
rakitól	shaving thingsel.tackleel.kit
rakivatn	shaving water
rakjørð	barren landel.ground; poor soil
rakk	sírøkka
rakkaband	(bát.)parrel rope
rakkahorn	(sigl.)truss hoop
rakkali	seal's penis
rakkalína	(sigl.)parrel rope
rakkendur	leanel.very thin
rakki1	(sigl.)parrel, truss; (til gaffil) jaw rope, gaff parrel
rakki2	(dýr.)young dog;ofta hava vaksið ungum rakka hvassar tenn í munnieven a young dog (person) can be dangerous
rakkroppur	lean personel.animal
rakkrókur	1[inward bent point of a ram's horn] (sign of leanness)2[male lamb with inward bent horns]
rakkúgv	lean cow
rakland	(sj.)poor country
rakleingja	[a sheep (almost) too emaciated to walk]
rakleittur	hann er rakleittur he has a hatchet-faced
raklendi	wasteland, poor soil
rakligur	(um fugl, seyðo.tíl.)rather thin;seyðurin er heldur rakligurthe sheep are rather thin
rakløn	poor wages
rakmurtur	(spei.)lean small fish (cod)
rakna	1come loose, dissolve, unweave, become unravelled(espof knitted material); rakna/rakna uppunweave sth2rakna viðregain consciousness, come to;fáa e-n at rakna við (aftur)restore sby to consciousness, bring sby to/round;(fl.m.) menniskjuni raknaðu við aftur aftan á veturin, sum farin varpeople began to stir after the long winter,(eis.)people began to recover after the long winter;tá ið hon raknaði við aftur, var maðurin horvinwhen she regained consciousness, the man had disappeared;hann er raknaður eitt sindurhe has somewhat improved3(stb.um heitan mat, of warm food) cool sth (off), become cool;fiskurin er ikki raknaður ennthe fish has not yet cooled off;set út at raknalet it cool (off) a bit4be straightened (out);húkurin raknaði uppthe hook straighened out
rakneyt	lean cattle
rakpláss	poor placeel.spot; poor pasture;hasin hagin er rakpláss hjá seyðithat part of the outfield is poor pasture for the sheep
rakreyv	(speis.)poor fellow, creatureel.wretch who is unable to provide for himself;hatta er ein rakreyvhe is a miserable wretch who cannot provide for himself
rakross	lean horse
rakseyður	lean sheep;ravnur nemur ikki rakseyðravens don't attack lean sheep
rakskarvur	sírakdirðil
rakskrokkur	very thin person
rakslánur	1(fisk.)lean fish;upsin er vorðin ein rættur rakslánurthe large coalfish have become extremely lean2(fl.m.)tall and very leanel.thin person
raksmakkur	[flavour characteristic of abnormally lean meat]; raksmakkurgongur at kjøtinumthe meat has the characteristic flavour of abnormally lean meat
rakstraravkast	(handilsm.)profit ratio
rakstraravlop	(handilsm.)working profits, operating surplus
rakstrarár	(handilsm.)workingel.business year
rakstrarásetingar	(handilsm.)working regulations
rakstrarbátur	[one of the boats which drives a school of pilot whales]
rakstrarboð	(stb.)sífjallboð
rakstrarbókføring	(handilsm.)cost accounting
rakstrarbókhaldari	(handilsm.)cost accountant
rakstrarbúskapur	1business economics2(lærugrein) business economics3(sparing) (operating) economy
rakstrardagur	(stb.)sífjalldagur
rakstrareftirlit	production control; service supervision
rakstrareginleikar	(tøkn.)operatingel.operational characteristics
rakstrarfígging	(handilsm.)financing of operations, financing of the day-to-day running of the firm
rakstrarfíggjarætlan	(handilsm.)operating budget, budget for operational expenses
rakstrarformaður	sígrindaformaður
rakstrarfrágreiðing	(handilsm.)statement of profit and loss, annual report
rakstrarfrælsi	(handilsm.)freedom of operation
rakstrargjald	(bú.)overhead
rakstrargreining	(handilsm.)operation analysis
rakstrargøgn	(handilsm.)equipment; operatingel.working equipment
rakstrarhall	(handilsm.)(working) deficit; deficit(t.d.the accounts show a deficit of £20,000); shortfall
rakstrarhoyggj	[hay which lies in the field exposed to rain and mist so long that it loses the greater part of its nutritive value (year when the weather is bad for drying hay)]
rakstrarhundur	sheepdog(espused for driving the sheep into the sheepfold); sítøkuhundur
rakstrarhættir	(sigl.)operating techniques
rakstrarkonta	(handilsm.)trading account
rakstrarkostnaður	(handilsm.)workingel.running expenses, runningel.operating costsel.expenses, cost of working;annar rakstrarkostnaðurother operating expenses
rakstrarkredittur	(handilsm.)operating credit
rakstrarlag	method of driving (sheep; whales);ringt rakstrarlagpoor method of driving
rakstrarlán	(handilsm.)short-term loan (for operation(al) purposes)
rakstrarlíkindi	conditions for driving (pilot whalesel.sheep);ring//góð rakstrarlíkindipoor//good conditions for...
rakstrarlýsi	[sufficient lightel.visibility for sheep drive]
rakstrarmaður	1[man who takes part in a sheep drive from the mountains to the sheep fold (fjallgonga)]2[man who takes part in huntingel.driving a school of pilot whales]
rakstrarmáttur	(alisfr.)dynamics
rakstrarmiðstøð	operation centre
rakstrarpeningur	(handilsm.)working capital, operating asset
rakstrarroknskapur	(handilsm.)profit and loss account, statement of operations,(am.)income statement;í rakstrarroknskapinumin the profit and loss account
rakstrarróp	1propaganda(GG:á almennum máli verður heldur sagt:) informationel.public relations2propagandist(ic) slogan
rakstrarskeið	(handilsm.)working period
rakstrarsparing	(handilsm.)operational cut; (tað ið er sparað) operational saving(s)
rakstrarstað	(handilsm.)permanent establishment
rakstrarstjóri	(handilsm.)works manager
rakstrartíð	1sífjalltíð2(handilsm.)working period;rakstrartíð, ið er eitt árbusiness year
rakstrartøl	(handilsm.)operational account;rakstrartøl fyri Sjónvarp Føroyaoperational account for the Faroese Television
rakstrarúrslit	(handilsm.)operating income, operating result;rakstrarúrslit (flt, eis.)(working) results
rakstrarútreiðslur	working expenses; operational expenditure;(sigl.)operating expenses
rakstrarveður	weather for sheep driving;vána rakstrarveðurpoor weather for sheep driving
rakstrarverdur	(oljuv.)rakstrarverd leið commercial field
rakstrarviðurskifti	(sigl.)operating conditions
rakstrarvinningur	working profits
rakstrarætlan	operating budget
rakstur	1driving (serst.seyð og grind;espdriving together sheeporpilot whales);ikki fáa rakstur á seyðel.grindfail in driving the sheepel.the pilot whales (the latter into a bayorcreek);vera á rakstribe (busy) driving the sheep (into the fold);hetta var ein harður raksturthe driving of the sheep//the whales proved to be difficult;nú kom betri rakstur á grindinanow they were better able to drive in the school of pilot whales, the school of whales began to move more willingly2stretch through which the sheepel.pilot whales are driven3the extent of water over which a boat/fishing vessel is allowed to drift with the current from the fishing ground (mið) until one rows (sails) back towards it;hava ein góðan raksturhave good fishing on a drift4[flock of sheep which is driven at one time from the mountains to the sheepfold];slapp veðurlamb úr rakstrinum, mátti tað verða hundtikiðif a male lamb evaded being driven into the sheepfold it had to be caught by a dog5(handilsm.)working, running(t.d.the working/running of the factory); operation(s)(t.d.the operation(s)/working of a machine; operations are at a standstill);raksturin sýnir halloperations show a loss of profits
rakti	sírekja;raka
raktíð	lean year;tað var mongum hollur stuðul í raktíðiniit was valuable for many people during lean years
rala	utter a weak suppressed sound, rattle (in the throat);tað var, so tað ralaði í honumhis voice was so weak that I barely heard him
-rall	sísvøvn-
-rama	síhár-
raman	tersely, emphatically;hann tók so raman tilhe spoke briefly and to the point
ramaróp	síramaskríggj
ramaskríggj	outcry (of indignation), hue and cry
ramføroyskur	very Faroese;yrkingin er bæði í anda og í máli ramføroyskthe poem is very Faroese both in spirit and linguistically
rami	1disagreeable smell2disagreeable taste, after-taste, tang, smack3(sj.)dampness (í klæðumo.tíl)
-rami	síhár-
ramleiki	sharpness
ramligur	1powerful, (big and) strong, sturdy, solid, robust;ein ramligur óvitia sturdy boy;hann gav roysninginum eitt ramligt høgg í heysinhe gave the walrus a powerful blow on the head2[sumhj]ramliga; powerfully, strongly, sturdily, boldly; tersely, emphatically;høgga ramliga tilstrike powerfully (at sby);taka ramliga til (orðanna)speak tersely;teir tóku so ramliga undir, sum galt tað lív og deyðathey backed up/supported the proposal as enthusiastically as if it were a question of life and death;svara ramliga afturreply boldly;kúgvin er ramliga vaksinthe cow is powerfully built
ramma1	frame, (um alt vindeygað) frame, (um rút) casement; rammaer sett um myndinathe picture (the painting) has been framed;framsýningin hevur víðar rammur og er fyri fólk úr fleiri londum (fl.m.)the scope of the exhibition is all-embracing and includes people from many countries;felagið hevur fingið glæsiligar rammur at virka íthe framework within which the society works is excellent
ramma2	beat, strike, hit, land(t.d.land a blow on his nose);hann rammaði nevan í grótvegginhe struck the stone wall with his fist
rammi1	síramma1
rammi2	(stb.)íosb. (liggja//detta) fram eftir ramma(num);sírommum
rammuavtala	(handilsm.)framework agreement;eis.rammusáttmáli
rammubúskapur	(bú.)framework economy
rammur	íosb. fram eftir rommum,sírommum
rams	íosb. drekka í/við ramsi; (stb.) á ramsiswill(t.d.beer); inbibe; swig; swallow;(tlm.)mop up, put away(t.d.beer); gulp down, knock back(t.d.a glass of whisky); síramsi
ramsa1	long string of wordsel.names(o.tíl.),enumeration;(niðr.)rigmarole, screed;við einari ramsuwithin no time;læra síðu eftir síðu upp á ramsulearn one page after another by heart;hon dugdi alla ramsunashe knew everything by heart(eis.she knew what was coming)
ramsa2	list something (t.d.he listed all the things that he hoped to get for his birthday);reel something off (t.d.she reeled the German grammatical formulas off at the exam);rattle something off;her galt mest um at læra uttanat og ramsathe great (importantel.essential) thing was to know it by heart and to rattle it off
ramsaltur	extremely salty;hann fekk sjórokið so ramsalt oman yvir seghe was buried in the salty spray
ramsi	íosb. (drekka) við ramsaswill(t.d.beer); inbibe; swig; swallow;(tlm.)mop up, put away(t.d.beer); gulp down, knock back(t.d.a glass of whisky)
ramur	1strong, powerfull, skilful, able, competent;hann var ramur í øllum verki og av ítastu dugnamonnumhe was skilful in all his work and among the most capable of men;hann er ramur til althe is good at everything;tíkin er ramast í tonnunumthe teeth are the best weapons of a bitch;ramar rúnirpowerful runes;ramar risti hann rúnirnar (kvæð.)he carved powerful runes;ramur á málinumin a deep voice;í ramasta álvarain dead earnest(GG:I'm perfectly serious);ramur í gandiknow the art of magic/necromancy/black art;ramur illgerningurpowerful magic;húsið var ramtthe house was haunted;har var ramt1huldufólk (q.v.)lived there2the place was haunted2audacious, bold, frank, outspoken; gay, lively;blótan og bannan vóru tey ramari í enn í bókalestrithey were better at cursing and swearing than book-learning3(very) markedel.pronounced, very badel.nasty, cunning, crafty, shrewd; nothing but, all, pure, sheer, utter; ramurtjóvura cunning thief;tað rama hungura famine pure and simple;tað rama tvætlit was utter/sheer rubbish/nonsense4acrid, pungent, sharp, rank; ramurroykuracrid smell;ramur smakkursharp taste;luftin inni var tung og rom av tjøruroyki og gomlum togverkithe air was heavy/sultry and sharp of tar and old junk (cordage)
rand	1(stb.)ridgeel.drill in a potato field2(kvæð.)sírond
randa	1frame; encircle, wreathe; border(t.d.bordered by woods); fringe(t.d.fringed with a beard);tá randa rósur roðandi vín (skaldsk.)then glowing wine is fringed by roses2(stb.) randa uppmake a ridge/drill in a field of potatoes
randar	sírond
randarbygging	ribbon building, ribbon development
randarformur	sírandformur
randargný	íosb. í randargný (kvæð.)in battle;reið hann tá í randargnýhe then rode into battle
randarhús	terrace house in a ribbon development
randarný	(kvæð.)sírandargný
randarøki	(oljuv.)flank
randblóma	(plfr.)ray flower
randformur	circular mould, ring mould;stoyt deiggið í smurdan randformpour the dough into a buttered circular mould
randhár	(plfr.)cilia
randhvítur	(skaldsk.)(of breakers, surf) white-crested; with a white border, edgeel.rim;(skaldsk.) á vetri so randhvíttwhite-crested in winter
randhærdur	(plfr.)ciliate(d)(t.d.leaves)
randreyður	redrimmed;hann beindi síni randreyðu eygu móti loftinumhe turned his redrimmed eyes towards the ceiling
randseyma	(á skógvi) welt(t.d.welted footwear)
randseymur	(á skógvi) welt sewing, welting; (sjálvur seymurin) welt
ranga	the wrong side, the reverse, the back;troyggjan er á ranguniyou have turnede the wrong side out(ward) of the jersey;rangan á plaggithe wrong side;á rangunion the wrong side/on the back;plagg við ongari rangureversible material
rangaborð	(bát.)síbakborð
rangaeystur	(bát.)sírangarúm
rangarúm	(bát.)port well room
rangasnúður	sírangsnúður
rangastrúpi	`the wrong way'(i.e.down the windpipe instead of the oesophagus);hann fekk taðt í rangastrúpan1he choked on it, it went down the wrong way, it stuck in his throat2(fl.m.)he got it all wrong, he got hold of the wrong end of the stick
rangatoft	(bát.)sírongutoft
rangblak	[violent squallel.gust coming from an unexpected wind direction]
rangeyga	1(í binding, in knitting) purl stitch, purl2(niðr.)person who squintsel.is cross-eyed
rangeygutur	squinting, squint-eyed, crosseyed;vera rangeygutursquint, be cross-eyed
rangeysrúm	(bát.)sírangarúm
ranggerð	improper, unlawful action;vit mega vísa á ranggerðir teirrawe must draw/call/direct attention to their unlawful actions
ranghentur	left-handed;hann er ranghenturhe's left-handed
ranghugsan	(sálfr.)delusion;hann hevur ta ranghugsan athe is under the delusion that, he harbours the delusion that
rangla	rattle
ranglaðin	(bát.)wrongly loaded ([too heavy for'ard] so that the water in the bottom of the keel does not run to the well room)
rangleiki	wrongness
rangliga	wrongly, unjustly, wrongfully;seta spurning rangliga framask the question in a wrong way
ranglisin	misread; ranglisinorðformurmisread word form
ranglýsing	distorted descriptionel.account, distortion;ranglýsingar og beinleiðis ósannindi rapla úr teimumthey pour out distorted descriptions and lies
ranglæra	false doctrine, aberration
ranglæti	(bíbl.)wrong, injustice;við ranglætiby deceitful means
rangmintur	who remembers incorrectly
rangmynd	1(lmynd.)negative;myrk rangmynddense negative2(fl.m.)wrong picture;frágreiðingin sýndi rangmynd av tí, sum veruliga fór framthe account gives a wrong picture of what really happened
rangmæli	solecism
rangnevni	misnomen (misvísandiel.skeivt navnel.heiti)
rangnevnisrit	(rit sum sigast at vera eldri enn tey eru) pseudopigraphia
rangnýttur	wrongly applied, employedel.used
rangoygdur	squinting, squint-eyed, cross-eyed;vera rangoygdursquint, be cross-eyed
rangsali	sírangastrúpi
rangsettur	(bát.)síranglaðin
rangsinnaður	1(bíbl.)disobedient2angry, annoyed;konan mundi fara at verða rangsinnað, um eg ikki hevði fingið so frægt sum eitt kókmy wife would, no doubt, have been annoyed if I had not caught enough fish for a meal
rangsintur	(stb.)stubborn; sullen
rangskygdur	narrow-minded;hann bardist móti einari rangskygdari yvirvøldhe struggled with narrow-minded authorities
rangsnúður	(í tvinning, in windingortwisting) twisted the wrong way
rangsnúgva	turn sth inside out; distort(t.d.he distorted the facts), twist(t.d.the papers twisted everything that I said)
rangsnúgvin	distorted, twisted, abnormal, mentally deficient, unnatural
rangsovari	someone who sleeps on in the morning and is up (out) half the night; B-person
rangstaddur	(fótb.)offside;málið varð ikki viðurkent, tí leikarin var rangstaddurthe goal was disallowed because the player was in an offside position
rangstoyttur	(bát.)síranglaðin
rangstøða	(fótb.)offside, offside position
rangstøðufella	(ítr.)offside trap
rangsvøvntur	whose sleeping habits are upset;tey eru vorðin púra rangsvøvnt um jóliniChristmas has upset their sleeping habits
rangtrúgvin	(bíbl.)unbelieving, without faith, incredulous
rangtýða	misinterpret, misconstrue
rangtýðing	misinterpretation, misconstruction
rangur	1(sj.)bent, slanting, not straight; (um mat, of food)støkka rangtgo down the wrong way;fáa bitan í ranga hálsinswallow the food the wrong way2inside out, with the wrong side out, on the wrong side, on the reverse, on the back;rangt eyga(í binding, of knitting) purl stitch, purl;binda rangt og rættrib, ribbing, ribbed knitting);rangur kalvireversed flunder (black on the left side and white on the right side)3wrong, opposite;gjøgnum tann ranga endan á kikaranumthrough the wrong end of the fieldglasses4false, wrong; ranguratburðurwrong behaviour;rangur siðura false tradition;gera/svørja rangan eiðswear falsely, perjure oneself,commit perjury;fara við rongumtell lies;sig mær, hvat er rangt og hvat er rætttell me what's right and what's wrong;tú mást ikki bera rangan vitnisburð ímóti næsta tínum (bíbl.)thou shalt not bear false witness against thy neighbour5port;á ranga bøgion the port bow;sita rangursit on the port side (of a boat);tað er farið langt á ranga borð (fl.m.)it has taken a wrong direction6(um vind, sjógv, of wind, sea) coming from a different direction from that prevaling;rong hvirlasquall/gust coming from an unexpected wind direction;hann liggur rangurthe wind comes abeam;rangur (brota)sjógvurfreak wave
