u	(málfr.)vowel, /u:/
umbiðin	in demand, in request, popular; reserved, ordered, engaged;hann var so umbiðinhe was in great demand, he was very popular
umbiðing	order, requisition; application, petition
umbiðjari	(sj.)applicant, petitioner (for)
umbinding	1tying up2bandage, dressing(t.d.of a wound), ligature
umbjálving	packing, wrapping
umboð	1authority, power of attorney;kongur gav honum umboð at koyra prestar úr embætithe King gave him authority to defrock clergymen;hann fær honum í umboð at geva enska konginum skipiðhe gives him authority to hand over the ship to the King of England2representative, deputy, member, delegate, (fyri felageis.)agent;felagið sendir eitt umboð á fundinthe firm is going to send a representative to the meeting;umboð fyri politisku flokkarnarrepresentatives for the (Faroese) political parties;føroysku umboðini í Norðurlandaráðnumthe Faroese delegates at the meetings of the Nordic Council3(handilsm.)agent, dealer, representative; umboðfyri Ford í FøroyumFord's representative in the Faroes
umboða	represent, act for; umboðaeina bilverksmiðjurepresent a repair shop/garage;hon umboðar flokkin í stýrinumshe is the party's member of the board;ríkisumboðsmaðurin umboðar donsku stjórnina í Føroyumthe High Commissioner represents the Danish Government in the Faroes
umboðan	representation
umboðanarendurgjald	(handilsm.)entertainment allowance
umboðanarkonta	(handilsm.)entertainment account, (tíðum) expense account
umboðanarskylda	(handilsm.)obligation to entertain
umboðanarútreiðslur	(handilsm.)etertainment expenses/costs(flt),business entertainment costs(flt)
umboðanarviðbót	(handilsm.)entertainment allowance
umboðari	representative
umboðsbræv	(sø.)written authority
umboðsfulltrú	(handilsm.)authority to bind the company, the firmetc
umboðsfulltrúi	(handilsm.)sby who signs for the firm
umboðsgevi	mandator, principal
umboðshandil	1(handilsm.)(einstakur) commission transaction2commission business
umboðsjørð	administered land which is owned by someone else
umboðsmaður	1representative, deputy, member, delegate, (fyri yrkisfelag) official;felagið sendir ein umboðsmann á fundinthe firm is going to send a representative to the meeting;umboðsmaður fyri donsku stjórninaa representative for the Danish Government;ríkisumboðsmaðurthe Danish High Commissioner in the Faroes2agent, representative3(stjm.um Norðurlond) Ombudsman, (íBretl.)Parliamentary Commissioner4(gl.)man who administers land for others; administrator
umboðsmannafundur	meeting of delegates
umboðsmannagjald	(sigl.)agency fee
umboðsmannating	(stjm.) umboðsmannatingið(í USA) the House of Representatives; (í ymsum londum) Chamber of Deputies
umboðsnevnd	síumboðsráð
umboðsráð	(í enskum partafeløgum samsvarar taðuml.við) shareholders' committee; board of representatives; committee of representatives; assembly of delegates; (yrkisfelag) representative assembly
umboðsstjórn	(gl., stjm.)the central administration
umboðsstova	representation, mission (abroad)
umboðssøla	(sales) agency; representation
umboðsvald	1authority to bind the company, the firmetc.2(í ríki) the executive power;lóg um umboðsvald FøroyaFaroese Executive Power Act; eis.útinnandi vald
umborð	on board;vera umborðbe on board;fara umborðcome on board, embark;umborð á Norrønuon boardthe Norrøna(a ferry)
umbót	improvement, reform
umbótamaður	reformist, reformer
umbótastevna	reformism
umbrot	(prent.)make-up
umbroyta	1change, alter, transform, modify2(bíbl.)transfigure
umbroyting	1change, alteration, transformation, modification2(bíbl.)transfiguration(t.d.the Transfiguration of Jesus)
umbróting	(prent.)making up
umbundin	tied up, bandaged;við umbundnum høvdiwith bandaged head
umburðarlyndi	tolerance, toleration, permissiveness
umburðarsamur	tolerant (to), easy-going;hann er umburðarsamur og roynir at fata tey, ið hugsa øðrvísi enn hann sjálvurhe is tolerant and tries to understand those who think differently
umbúnaður	síumbúni
umbúni	preparation, planning, intending to; with the intention of -ing; meaning to; for the purpose of -ing;tað er í umbúnait is being contemplated;hava e-t í umbúnaentertain/harbour/revolve schemes of sth; plan something
umbúningur	1preparation2(handv.)architrave; backband
umbygdir	villages on the outskirts of a town;úr umbygdunum inn í býinfrom the neighbouring villages into the town
umbygging	rebuilding(t.d.a house); conversion(t.d.an old building converted into a house);(gera út við nýggjari útgerð) recondition(t.d.a yacht)
umbýtandi	transferable, negotiable
umbýti	exchange, replacement, (sínámillum) interchange; (handilsm.) swaps;eg fekk tað í umbýtiI got it in exchange (for sth);um ikki til støðugt brúk, so til umbýtisif not for permanent use then to be used from time to time
umbýtingar-	transfereable, negotiable
umbýting	(handilsm.) transfereable
umbýtisrættur	(bú., handilsm.)conversion privilege
umbæri	patience, tolerance, the ability to control oneself;hann hevur ikki umbæri at bíða longurhe is too impatient to wait any longer;eg havi ikki umbæri til at liggja í seingini longurI can't bear to stay in bed any longer;eg havi havt umbæri við tykkum til henda dagI have been patient with you up to now
umbæriligur	tolerant (to), easy-going;hann var umbæriligur og manngóður kongurhe was a tolerant and loving king
umbærisleysur	intolerant (of)
umbøn	application, petition; order, commission;hann hevur tveir bátar í umbøn í løtuni(um bátasmið, of a boat builder) he has two boats in commission at present
umbøting	improvement, reparation, reformation, (um tekst) emendation;bókin varð prentað við nøkrum umbøtingumthe book was printed with some emendations
umdystur	(ítr., framhalda av dysti)extra time; (nýggjur dystur) replay, play-off;spæla umdystplay off
umdømi	1sphere, field of activity; sphere (of authority), competence(t.dit is not within his competence)2reputation;gott//vánaligt umdømigood//bad reputation
umdømisvaldur	(stjm.)seat in the Faroese Parliament (Løgting) obtained by election in a multi-member constituency;nú eru 27 umdømisvaldir løgtingsmennthere are now 27 constituency seats in the Faroese Parliament (the Løgting); síeis.eykavaldur
umenn	even ifel.even though
umfar	1round, row, revolution, (um rennibreyt) lap, (í boksing) round, (íítr.)leg2(í binding) roundorrow of stitches in knitting3(bát., sigl.)a row of boards round a boat;umfar av plankum//plátum (uml.) eftir miðjuni á skipisheer strake4row of stones in a wall;tað niðasta umfarið var 20-24 tummar á breidd; tað ovasta 14 tummarthe width of the bottom row was 20 to 24 inches, the topmost row was 14 inches5attempt, try, occasion;eg skuldi bent hann niður í fyrsta umfariI should have bent him down at the first attempt;í fyrsta//øðrum umfarion the first//second occasion;í fyrsta umfari vunnu teir sakina/máliðthe first time (round) they won the case6epidemic;eitt umfar tók seg uppan epidemic broke out7circulation;silvur var tá eisini í umfariat the time silver was in circulation too8(stfr.)periphery9(ítr.)heat(fótb. eis.)round
umfaraskjal	(løgfr.)negotiableel.transferable document
umfaraskuldarbræv	(løgfr.)negotiable bond
umfarast	walk, goel.sail past each other without meeting; miss each other;bátarnir høvdu umfarist á vegnumthe boats had missed one another on their way (on the route)
umfarsljóð	(nýggjy.) surround sound
umfarssjúka	(lækn.)epidemic, infectiousorcontagious illness; eis.umfarssótt, farsótt
umfarsskriv	circular;umfarsskriv frá landsstýrismanni Government circular, departmental circular;senda limunum umfarsskriv (eis.)circularize the members
umfarssótt	(lækn.)epidemic; eis.umfarssjúka, farsótt
umfarsvinkul	(stfr.)peripheral angle
umfata	include(t.d.each district includes several parishes; this obligation does not include the duty of keeping the road in order); comprise(t.d.the book comprises more than 500 short biographies; the district comprises many places of interest); cover(t.d.the period covered by these statistics; the book covers the whole subject; cover a wide field); embrace(t.d.his studies embraced many subjects; the book embraces the whole history of the 18th century); comprehend(t.d.these subjects are not comprehended by the Treaty); take in(t.d.the catalogue takes in all books published after 1900)
umfatandi	sívíðfevndur,víðfatandi,víðfarin,víðlendur,djúptøkin
umferð	1cycle, rotation; umferðmánans um jørðinathe moon's rotation round the earth;seta fylgisvein í umferðorbit a satellite, bring/put a satellite into orbit, insert a space craft in orbit;í umferðin orbit;í umferð um mánanlunar orbit2visitation;prestur var á umferðthe clergyman was on visitation3(t.d.blóði, pengumviðv.)circulation;falskur peningur er í umferðcounterfeit money is in circulation;í umferðin circulation4(ravm.)circuit5(handilsm.)turnover, rate of turnover;last year the company had a turnover of £100,000í fjør hevði felagið £100.000 í umferð; velocity of circulation
umferðarogn	(handilsm.)current assets
umferðartíð	(stjfr.)time of rotation
umferma	(sigl.)reload(t.d.the cargo)
umferming	(sigl.)reloading(t.d.of the cargo)
umfermingarfarmur	(sigl.)goods for transshipment, transships(flt)
umfermingarhavn	(sigl.)port of transshipment
umfermingarkostnaður	transshipment charges
umfermingarstøð	transshipping station
umfermingarútreiðslur	transshipment charges(flt)
umfígging	(handilsm.)provision of new capital, refinancing, rescheduling(t.d. of payment periods)
umfíggja	(handilsm.)provide new capital for, refinance, reschedule(t.d.payments);umfíggja lánreschedule the payment periods
umformari	(ravm., tlm.)converter
umframt	1[sumfs] besides, in addition to, apart from; umframtalt hettain addition to all this; apart from to all this;umframt maðkar etur hann mýsit eats mice beside earthworms2[sumhj] in additon, besides, moreover, thrown in
umfylking	(herm.)regrouping, re-arrangement, redeployment
umgangari	candidate who presents himself for an examination a second time; (í skúlao.tíl.)repeater
umgangast	1associate with, consort with, frequent the company of, keep company with, mix with;fólk, sum hann umgongstpeople with whom he keeps company2be evadedoravoided;tað umgongst ikkiit is unavoidable3síumfarast;vit umgingustwe walked past each other without meeting4(stb.)treat badly, maltreat
umgangslærari	(gl.)peripatetic teacher; síferðalærari
umgangur	1(tlm.)beating, thrashing, hammering, drubbing;hann fekk ein ordans umganghe got a sound beating2(tlm.)dressing-down, telling-off; ticking-off3(gl.)in rotation, by turns;skúlin varð hildin upp á umgang í teimum ymsu húsunumthe houses (of the village) made room for the teaching in rotation;summi fóru upp á umgang í kommununisome poor people were taken on by turns by families of the parish
umgerð	1(húsasm.)covering; (á tekju) flashing;(t.dlens) mounting,(t.d.spectacle) frame;stór rundbogað vindeygu við gulari umgerðlarge round window with yellow covering2transformation, change, metamorphosis;lívrunnin evni, sum eru í umgerðorganic matter which are in a state of transformation3(jarðfr.)diagenesis
umgirdur	fenced in, enclosed, surrounded (withorby sth), encircled;húsini vóru umgird við garðithe house was surrounded with/by a wall/fence; síeis.umgyrdur
umgjørð	(bíbl.)síumgerð2
umgonga	1walk around sth;hann gjørdi eina umgongu runt um alla oynnahe walked round the entire island2síumgangur3;hann gekk til umgonguhe was taken on by turns by different families
umgrein	outline, contour;hann tekti í hálvamyrkrinum umgreinina av henniin the semi-darkness he could vaguely discern the outlines of her body
umgreining	outline, contour;umgreiningin av Sandoynni ók seg fram úr myrkrinumgradually (the island of) Sandoy stood out/was outlined in the darkness
umgyrdur	girded, strapped, buckled; síeis.umgirdur
umhang	hangings(flt),curtain
umheimur	surroundings(flt),outer world, surrounding world, outside world(t.d.cut off from the outside world); external environment;samband Føroya við umheiminthe Faroese commercial (trade/business) relations/connections/dealings/intercourse with foreign countries; (ferðasamband) communication(s)(t.d.communications between the Faroes and foreign countries);umheimurin fær ein myrkan og kargan dámthe surroundings become dark and bleak
umhildin	1popular;nógv//lítið umhildinpopular//unpopular2(stb.)miserable, wretched;hann sær so umhildin úthe looks miserable/wretched
umhugi	(sj.)síumhugsan
umhugsan	consideration, reflection, thoughtfulness, thought, contemplation; care, attention, caution;arbeiði, ið krevur góða umhugsanwork that requires consideration;hann hevði umhugsan fyri bátinumhe took well care of his boat;velja við umhugsanchoose cautiously;hava ein spurning til umhugsanartake up a problem for consideration
umhugsanarfreist	time to think it over, time for reflection, respite, cooling-off period(t.d.give him twenty-four hours to think it overel. t.d.he has till Monday to consider the offer)
umhugsin	1thoughtful, considerate2careful, attentive, prudent;hon var ikki umhugsin við børnunumshe neglected her children;hann var stórur og raskur, men umhugsin og røkjutur var hann ikkihe was strong and capable but he was neither prudent nor careful3intent, aware, observant
umhugsni	consideration, thoughtfulness
umhvarv	outline, contour, profile, silhouette;umhvarvið á fjøllunum stendur niður í fjørðinthe contours/the outline of the mountains are reflected in the waters of the fiord;hon sá bara umhvarvið av tekjunishe could only see the outline of the roof
umhvørvi	environment
umhvørvis	1in circumference, in perimeter;eitt hjól er umhvørvis 3 ma wheel which is 3 metres in perimeter2(a)round, about;her umhvørvisin the vincinity3on the outskirts of, on the fringe(s) of;fáa jørð umhvørvis Havninaget a plot of land on the outskirts of Tórshavn
umhvørvis-	environmental(t.d.environmental tax); environment(t.d.environment control); sít.d.: umhvørvisfelagsskapur, umhvørvisflokkur, umhvørvislógo.s.fr.
umhvørvisavgjald	environmental tax
umhvørvisávirkan	environmental impact(t.d.assess the environmental impact of a product); exposure
umhvørvisbólkur	environmental group
umhvørvisbrotsverk	environmental offence(s)
umhvørvisbúskaparfrøði	environmental economics
umhvørvisbúskaparfrøðiligur	umhvørvisbúskaparfrøðiligur vøksturenvironmentally sustainable economic growth
umhvørvisbúskaparfrøðingur	environmental economist
umhvørvisdálking	environmental pollution
umhvørvisdeild	environmental department
umhvørviseftirlit	environment control
umhvørviseitran	environmental poison
umhvørvisfelagsskapur	environmental movement
umhvørvisflokkur	green party, environmental party
umhvørvisflóttafólk	environmental refugee(t.d.environmental refugees in Africa)
umhvørvisfrøði	environmental studies(flt)
umhvørvisfyrilit	environmental considerations(flt)
umhvørvisgóður	environmentally friendlyel.soundel.correct
umhvørvisgranskari	environmentalist
umhvørvisjarðfrøði	environmental geology
umhvørviskrav	environmental requirements
umhvørvisligur	environmental
umhvørvislívfrøði	ecobiology
umhvørvislívfrøðiligur	ecobiological
umhvørvislívfrøðingur	ecobiologist
umhvørvislóggáva	environmental legislation, legislation concerning the environment
umhvørvislæra	(skúlam.)environmental education, environmental studies(flt)
umhvørvisma	environmentalism
umhvørvismálaráð	(stjm.)ministry of the environment, environment ministry; (íOngl.)Department of the Environment
umhvørvismálaráðharri	(stjm.)minister for the environment, environment minister; (íOngl.)Secretary of State for the Environment
umhvørvismeting	environmental appraisal
umhvørvispolitikkur	environmental policy
umhvørvisráðstevna	conference on the environment
umhvørvisreglur	environmental regulations(flt)
umhvørvisrøkt	environmental management
umhvørvisrørsla	environmental movement
umhvørvisskaddur	(sálfr.)maladjusted
umhvørvisskaði	environmental harmel.damage
umhvørvisskaðiligur	damaging to the environment
umhvørvisspiltur	(sálfr.)maladjusted
Umhvørvisstovan	The Environment Agency
umhvørvisstríðsfólk	environmentalist
umhvørvisstýring	environmental management
umhvørvistilvit	environmental consciousness, consciousness of the environment; ecoconsciousness
umhvørvistilvitandi	environmentally consciousel.aware; environment conscious, ecoconscious
umhvørvistreytaður	environmental (t.d. changes)
umhvørvistur	environmentalist
umhvørvistøkningur	environmental engineer
umhvørvisvanlukka	environmental disaster
umhvørvisvernd	environmental protection, protection of the environment
umhvørvisverndarfólk	environmentalist
umhvørvisvinaligur	environmentally friendly, environment friendly
umhyggin	careful, cautious;hann var umhyggin um tey fátækuhe took good care of the poor;teir skulu vera umhygnir um handilsvørurnarthey have been ordered to be careful with the merchandise
umhygni	carefulness, care, caution, attentiveness
umkast	1(fótb.)foul throw-in2(málfr.)metathesis;dømi um umkast er "høvla" til "hølva"an instance/example of metathesis is"høvla"becoming"hølva"
umkasting	(handarb.)sewing over the edge of a seam, oversewing
umkendur	(løgfr.)accused of sth, charged with sth
umkenning	(løgfr.)accusation, charge, imputation, allegation(t.d.allegations were made against him)
umkenningarsamur	(sj.)inclined to blame others;hon er so umkenningarsom
umkoma	(sj.)kill;umkoma e-mkill sby;umkomast1die, be killedorbe lost (by accident,espat sea)umkomast á sjónumbe lost at sea2(sj.,of a boat) overturn, capsize;teir umkomust við støðna, men allir bjargaðustthe boat capsized near the landing place but they were all saved
umkoyring	temporary detour due to road repairs(flt)
umkring	1(a)round, about;sita umkring eitt borðsit round a table2far and wide(t.d.travel far and wide); far around;ferðast umkringtravel widely;strúka umkringgad/knock about;eg gekk umkringI was walking about
umkringur	1(stb.) hygg, hvussu hatta gongur umkringurwhy is he//she gadding about in that way; síumkring2down, over;koyra umkringurthrow over, knock down
umlagari	(ravm.)converter
umland	(of a town) surrounding area, hinterland;har var einki umlandthere was no surrounding area; (um bý)umlandið er stórtserve a large area/hinterland
umlegging	re-laying; change, alteration, re-adjustment; rearrangement; reorganization; reorientation(t.d.a reorientation of our foreign trade)
umleið1	detour;eg gekk eina umleið fyri at sleppa fráI made a detour in order to avoid(t.d.doing sth)
umleið2	1about(t.d.about 2 o'clock; about a mile; about as high as...); (framman fyri tølumeis.)some(t.d.some 20 miles//persons//tons); in the neighbourhood of(t.d.a thousand tons); roughly(t.d.roughly half (of) the population are French-speaking)2(næstan, heldur minni enn) nearly(t.d.nearly succeeded); almost, approximately(t.d.approximately correct; approximately what I want); more or less(t.d.this is more or less what might be expected); síeis.næstan
umleiðis	síumvegis
umlendi	síumland
umlestur	(t.d. framman undan próvtøku)revision, re-reading
