М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
магистрату́ра1	If(чины юстиции)navn á dómstólum í summum londum
магистрату́ра2	IIf1.(обучение) magistaraútbúgving [-Ꞌkɪ-]ж0-ar(í Russlandi)2.(отделение) magistaradeild [-Ꞌkɪ-]ж0-ir(á hægri lærustovni)
магистрату́ра3	IIIf(степень магистра) magistaraheiti [-ˈkɪ-]сгл-i, magistarastig [-ˈkɪ-]с0о{0<>i}, magistargrad [-ˈkɪstaɹagɹaːt]ннкж0-ir
маги́ческий	adj1.(относящийся к магии) ganda-, gandakendurсогл2.fl.(необыкновенного воздействия) undursamurсогл{a/o}, undurfullur [-tl-]согл, magiskur [maːk-]ннксоглsk
ма́гия	fgandurмсогл-ar; чёрная ма́гия gandurмсогл-ar, svartikunsturмсогл-s,-ir, gandakynsturс0осн
ма́гма	fmagmaжгл-a(;0-ir), groytiлпсгл-aгеол.
магна́т	m1.søg.(феодал) magnatur [-Ꞌnaː-]мсогл-ar(í Polen og Ungarn)2.(крупный капиталист) magnatur [-Ꞌnaː-]ннкмсогл-ar, ríkmenniсгл-i, ríkiskroppurмсогл-arпрезр.; нефтяно́й магна́т oljukongurмсогл-ar
магнези́т	mmagnesitt [-Ꞌsɪʰtː]с0о({0<>i})
магне́зия	fmagnesia [-Ꞌneː-]с0гл-a
магнетизёр	mgml.hypnotisørur [hʏʰpnoːtiꞋsøː-]мсогл-ar
магнетизи́ровать	магнетизи́ру|ю, ~ешь, ~ютipf/pf Accgml.hypnotisera [hʏʰpnoːtiꞋseː-]aðiВин
магнети́зм	mmagnetisma [-Ꞌtʰɪ-]жгл-a=>земно́й,оста́точный
магнети́т	mmagnetitt [-Ꞌtʰɪʰtː]с0о({0<>i})
магнети́ческий	adjmagnetiskur [-Ꞌneː-]соглsk
магне́то	nmagnet [-Ꞌneːt]ж0-ir(í bilmotori o.tíl.), tendringsmagnetж0-ir
ма́гниевый	adjmagnium- [-iʊm-], magnesium- [-Ꞌneːsi-]; ма́гниевая вспы́шка magniumljósс0о
ма́гний	mmagnesium [-Ꞌneːsi-]с0o({0<>i}), magnium [-iʊm]с0o({0<>i})
магни́т	mmagnet [-Ꞌneːt]ж0-ir
магни́тка	plurмагни́т|ки, ~ок, ~камf tlm.1.(магнитная карточка) magnetkort [-ˈneːt-]с0о2.(магнитная полоса) magnetstrípa [-ˈneːt-]жгл-a
магни́тный	adjmagnetiskur [-Ꞌneː-]соглsk, magnet- [-Ꞌneː-]; магни́тное по́ле magnetfelt [-Ꞌneː-]; магни́тный по́люс magnetiskur pólur =>бу́ря,анома́лия,компа́с,наклоне́ние@
Магнитого́рск	mMagnitogorsk [-Ꞌkɔʂk]м0{дат.0}
магнито́ла	fkasetturadio [-Ꞌsεʰtːʊraː-]с0гл(num)
магнитофо́н	mbandupptakariмгл-ari=>записа́ть3
магнитофо́нный	adjband-; магнитофо́нная ле́нта (ljóð)band =>за́письB 2
магно́лия	f(Magnolia) magnolia [-Ꞌnoːlia]жгл-a
Магоме́т	mMuhammedм0{дат.0}@е́сли гора́ не идёт к Магоме́ту, то Магоме́т идёт к горе́orðt.kemur fjallið [-tlɪ] ikki til Muhammed, so má Muhammed koma til fjallið [-tlɪ]посл.
магомета́нин	plurмагомета́н|е, ~, ~амmmuhammedanari [-Ꞌtaː-]мгл-ari
магомета́нка	plurмагомета́н|ки, ~ок, ~камmmuhammedanari [-Ꞌtaː-]мгл-ari(konufólk)
магомета́нский	adjmuhammedanskur [-Ꞌtaː-]соглnsk
магомета́нство	nmuhammedanisma [-Ꞌnɪ-]жгл-a
Мадагаска́р	m1.(остров) Madagaskar [maːtaꞋka-]ж нескл.(oyggj)2.(страна) Madagaskar [maːtaꞋka-]с0{дат.0}(land)
мадагаска́рский	adjmadagaskiskur [maːtaꞋka-]согл
мада́м	f indeclgml.1.(в обращении) frúж нескл., madame [maꞋtamː]ж нескл.(б.ч. о женщинах из франкоязычных стран или в обращении к ним)2. (гувернантка) guvernanta [-Ꞌna-]жгл-a
мадапола́м	mmadapolam [matapʰolaːm]с0o{0<>i}
Маде́йра	[-дэ́-]fMadeira [maꞋteːɹa]ж нескл.
мадемуазе́ль	[мадмуазэ́ль]f1.(в обращении) frøkunж0-ir; mademoiselle [matmwaꞋsεlː]ж нескл.(о женщинах во франкоязычных странах или в обращении к ним)2.gml.(гувернантка) guvernanta [-Ꞌna-]жгл-a
маде́ра	[-дэ́-]fmadeira [-Ꞌteː-]с0-гл(num)
маджли́с	m síмеджли́с
мадо́нна	fMaria moy [maɹːijamɔi]жгл-a-жгл-ar, Jomfrú Maria [-ˈriːja ]жнепр-жгл-a; madonna [-Ꞌtɔ-]жгл-a(в католицизме)
Мадра́с	mMadras [-Ꞌtɹasː]м нескл.
мадрига́л	mmadrigalur [-Ꞌkaː-]мсогл-ar
Мадри́д	mMadrid [-Ꞌriːt]м0{дат.0}
мадья́р	mmagyari [maꞋtʃaː-]мгл-i,sbr.венгр
мадья́рка	plurмадья́р|ки, ~ок, к~амfmagyari [maꞋtʃaː-] мгл-i(konufólk), sbr.венге́рка I
мадья́рский	adjmagyariskur [maꞋtʃaː-]соглsk,sbr.венге́рский
маёвка	plurмаёв|ки, ~ок, ~камfsøg.1. mai [mai] fundurмсогл-ir(ólógligur,í Tsarrusslandi)
маета́	fóvkm.sjabbс0o, knossс0o, strevс0o
ма́етный	stfма́ет|ен, ~на, ~но, ~ныadj óvkm.strævinсоглосн, møðsamur [mœs-]согл{a/o}
ма́ж...	1.ма́жуo.s.fr. pres avма́зать2.ма́жусьo.s.fr. pres avма́заться
мажо́р	m1.(музыкальный лад) dururмсогл-ar{0<>i}; ля мажо́р A-durur [aː-]2.fl.(настроение): быть в мажо́ре vera í góðum lag3.fl., atf., jarg.(молодой, богатый человек ведущий беззаботную, разгульную жизнь)yvirklassaungdómur, ið livir eitt ekkaleyst ólátalív
мажордо́м	mhúshovmeistari [-hɔu-]мгл-ari
мажо́ристый	adj tlm. sum livir lívið hjá einumмажор 3
мажорита́рность	fmeirilutavalskipanж0-ir
мажорита́рный	adj: мажорита́рная систе́ма meirulutavalskipan
мажо́рный	adj1.mus.(кмажо́р 1) dur-2.fl.(в хорошем настроении) í góðum lag, glaðurгл{+}
мажо́рство	n jarg.ekkaleyst, ólátað lívс0o(hjá yvirklassaungdómi),síмажо́р3
МАЗ	[маз]ma) Ми́нский автомоби́льный заво́д bilverksmiðja í Minsk; b) (марка автомобиля) MAZ [masː]м нескл.(bilmerki)
ма́занка	plurма́зан|ки, ~ок, ~камfleirhúsс0о, leirsmáttaжгл-a(serl. í Ukraina og Suðurrusslandi)
ма́заный	adj1.tlm.(грязный,испачканный) skitinсоглосн, dálkaðurглaður2.(о мазанке)úr leiri ella smurdur við leiri(síма́занка)
ма́зать	ма́ж|у, ~ешь, ~утipf1.pfпома́затьпома́ж|у, ~ешь, ~ут, нама́затьнама́ж|у, ~ешь, ~ут, сма́затьсма́ж|у, ~ешь, ~ут,momenttlm.мазну́тьма́зн|у, ~ёшь, ~у́т Acc(чем-л.) (покрывать слоем жидкого,жирного) smyrjaнепрo-tupp áВин; smyrjaнепрВин við o-m; málaaðiВин við o-m(краской); ма́зать хлеб ма́слом smyrja breyð (við smøri); ма́зать ра́ну ма́зью smyrja salvu upp á sárið, smyrja sárið við salvu; ма́зать гу́бы smyrja varrarnar (við lepastift); ма́затьчто-л.кра́ской málaaðio-t2.pfвы́мазатьвы́маж|у, ~ешь, ~ут, зама́затьзама́ж|у, ~ешь, ~ут, изма́затьизма́ж|у, ~ешь, ~ут,momenttlm.мазну́тьмазн|у́, ~ёшь, ~у́т Acctlm.(пачкать) dálkaaðiВин; meiggjaaðiВинút (сильно грязнить)3.pfнама́затьнама́ж|у, ~ешь, ~утtlm.(плохо рисовать) meiggjaaði, ríslaaði(tekna illa)4.pfпрома́затьпрома́ж|у, ~ешь, ~уtlm.(промахиваться) rakaaðivið síðuna av, bummaaðiнеформ.=>дёготь
ма́заться	ма́ж|усь, ~ешься, ~утсяipf1.bert 3. pers brúktur(пачкать) kastaaðiꞋ av sær (lita onnur pløgg), smittaaðiꞋ av2.pfвы́мазатьсявы́маж|усь, ~ешься, ~утся, изма́затьсяизма́ж|усь, ~ешься, ~утся(пачкаться) dálkaaðiseg; meiggjaaðiseg út (сильно грязниться)3.pfнама́затьсянама́ж|усь, ~ешься, ~утся, пома́затьсяпома́ж|усь, ~ешься, ~утся(мазать тело,лицо) smyrjaнепрseg (мазью и т.п.,а также краситься); sminkaaðisær; málaaðisegпренебр., шутл.(краситься)
ма́зер	mmasari [maː-]мгл-ari
мази́ла	m/fóvkm.,atf.1.(грязнуля) grísurмсогл-ar, svínс0о(o-r,sum dálkar seg illa)2.(плохой художник) vánaligur málariмгл-ari3.(тот,кто часто промахивается) klomburс0осн(um fólk)
мази́лка	plur мази́л|ки, ~ок, ~кам1. ftlm. (кисть) (máingar)pensilм0осн-s,-ar2.m, f óvkm., atf. dim tilмази́ла 2
ма́зкий	stfма́зок, мазка́, ма́зк|о, ~иadjóvkm.sum smittaraðiav
мазну́ть	moment síма́зать
мазня́	ftlm.1.(плохая картина) meiggjс0о(vánaligur málningur); ríslс0о, krutlс0о(vánalig tekning) (плохой рисунок)2.niðr.(небрежная работа) ófantaligt [-Ꞌfa-] arbeiðiсгл-i
мазо́к1	IGenмазк|а́; plur~и́, ~о́в, ~а́мm1.(кистью) strokс0о(við pensli)2.lækn.(для микроскопического исследования) mikroskopiprøvi [-Ꞌpʰiː-]мгл-iпроф.(smurdur á glas)
мазо́к2	IIGenмазк|а́; plur~и́, ~о́в, ~а́мmóvkm.(промах) forbíari [-Ꞌpʊi-]ннкмгл-ari, bummariмгл-ariнеформ.(в стрельбе), kiksari [kʰɪ-]мгл-ari(в спортивных играх и др.)
мазохи́зм	mmasochisma [maːsoꞋkʰɪ-]жгл-a
мазохи́ст	mmasochistur [maːsoꞋkʰɪ-]мсогл-ar
мазохи́стский	adjmasochistiskur [maːsoꞋkʰɪ-]соглsk
мазу́рик	móvkm.tjóvurмсогл-ar(вор); kúllurмсогл-arнеодобр., skálkurмсогл-ar(плут); svindlari [svɪnl-]энкмгл-ariнеодобр.(мошенник)
мазу́рка	fmasurka [-Ꞌsʊ-]жгл-a(;0-ir);мгл-гл
мазу́т	m≈ tungoljaжгл-a, ≈ heavy fuel [hεvːi fjʉuεl]с нескл.проф.(serl. slag av russiskari tungolju)
мазу́тный	adjtungolju-,síмазу́т
мазь	f1.(наружное лекарство) salvaжгл-a; мазь от зага́ра sólkremс0о2.(вещество для смазки) feittс0о(at smyrja við); мазь для о́буви skókremс0о; колёсная мазь aksilfeitt@де́ло на мази́tlm.tað gongur sum smurtпог.; tað gongur sum eftir [εʰtː-] ánniпог.
мазю́кать	ipftlm.1.что-л.(пачкать) dálkaaðio-t; meiggjaaðio-t út(сильно грязнить)2.(пачкать при соприкосновении) smittaaðiꞋ av3.что-л.(плохо рисовать) meiggjaaðio-t, ríslaaðio-t(tekna illa)
маи́с	mmais [mais]с0о;ж0-ir
маи́совый	adjmais- [mais-]
май	m1.(месяц) mai [mai]м нескл.2.Майóvkm.síПервома́й@Пе́рвое ма́яfyrsti [fɪstɪ] mai=>а́вгуст
майда́н	mtorgс0о, marknaðurмсогл-ir(í Suðurrusslandi og Ukraina)
ма́йка	plurма́йки, ма́ек, ма́йкамf1.(нижнее бельё) undirtroyggjaжгл-a2.(спортивная) T-shirt [tʰiːʃœɹt]ж0-ir;жнепр(с короткими рукавами)
Майко́п	mMajkop [maiꞋkʰɔʰpː]м0{дат.0}
майла́ровый	adjBoPet- [poːpʰεt-]
ма́йна	interlora!
майо́лика	fmajolika [-Ꞌjoː-]с0гл-a
майо́ликовый	adjmajolika- [-Ꞌjoː-]
майоне́з	[-йянэс]mmajones [maijoꞋneːs]с0о, majonesa [maijoꞋneː-]жгл-a
майо́р	[-йё-]m1.(офицерское звание) majorur [-Ꞌjoː-]мсогл-ar2.sjóm.(тралмейстер) trolbassiмгл-i
майора́н	[-йёра́н]m(Origanum majorana,Majorana hortensis) merian [meːɹian]с0о({0<>i})
майора́т	[-йёра́т]m1.(система) arvarætturмсогл-irhjá elsta barni [-tn-]; frumburðarrætturмсогл-irбибл.2.(имущество) ognж0-ir, ið gongur í arv til elsta barnið [-tn-]
майо́рский	adjmajor- [-Ꞌjoː-]
ма́йский	adj1.(кмай) mai- [mai-]2.(первомайский) fyrsta [fɪsta] mai- [mai-]@ма́йская ры́баsíало́за;ма́йский жук(Melolontha melolontha) aldinboriмгл-i
ма́йя	m indeclmaya [maija]с нескл.
мак1	Im1.(цветок) (Papaver) valmuaжгл-a; dreymsóljaжгл-a2.(семена) valmuufræс0о{0<>i}мн; birkes [-kʰɪs]с0o{0<>i}(на хлебе и т.п.)
МАК2	[мак] IIm indeclМежгосуда́рственный авиацио́нный комите́т Millumlanda [-tl-] loftferðslunevndin
мака́ка	f(Macaca) makakkapa [-Ꞌkʰaʰkː-]жгл-a
Мака́о	m indeclMacao [-Ꞌkʰaːo]с нескл.,síАомы́нь
Мака́р1	Im:@куда́ Мака́р теля́т не гоня́лtilt.langt av leið;на бе́дного Мака́ра все ши́шки ва́лятсяorðt.(hatta) neyðardýrið fær alt oman Ꞌ yvir seg
мака́р2	IIm: каки́м мака́ром?óvkm.,skemt.hvussu, hvussuleiðis; таки́м мака́ромóvkm.,skemt.soleiðis
макаре́на	fmacarena [makʰaˈrː-]м нескл
макаро́нина	ftlm.makaronni [maːkaꞋrɔnːi]с0-i, makaronnirør [maːkaꞋrɔnːi-]с0о
макарони́ческий	adj málv., bókl. við nógvum ótillagaðum fremmandum orðum
макаро́нник	m1.matg.(запеканка) makaronnigratin [maːkaꞋrɔnːkɹatʰεŋk]ж0-ir2.óvkm., niðr. (итальянец) italienari [-tʰaːliꞋeː-]ннкмгл-ar
макаро́нный	adjmakaronni- [maːkaꞋrɔnːi-]
макаро́ны	f plurmakaronni [maːkːaꞋrɔnːi]с0-гл-iсобир.
мака́ть	ipf(momentмакну́тьмакн|у́, ~ёшь, ~у́т)что-л.(во что-л.) dyppaaðio-t(niður í o-t)
македо́нец	Gen, Accмакедо́нц|а; plur~ы́, ~ев, ~амmmakedoniari [maʰkːɪꞋtoː-]мгл-ari, makedonari [maʰkːɪꞋtoː-]мгл-ari
Македо́ния	fMakedonien [maʰkːɪꞋtoː-]ннкс0{дат.0}, Makedonia [maʰkːɪꞋtoː-]нпс нескл., Makedónia [maʰkːɪꞋtouː-]лпс нескл.; Бы́вшая Югосла́вская Респу́блика Македо́ния Fyrrverandi jugoslaviska [juːkoꞋslaː-] Lýðveldið Makedoniaофиц.
македо́нка	plurмакедо́н|ки, ~ок, ~амmmakedoniari [maʰkːɪꞋtoː-]мгл-ari, makedonari [maʰkːɪꞋtoː-]мгл-ari(konufólk)
македо́нский	adjmakedonskur [maʰkːɪꞋtoː-]соглnsk; македо́нский язы́к makedonskt [maʰkːɪꞋtoːn̊st]сприлskt=>Алекса́ндр
маке́т	m1.(модель) modell [-Ꞌtεlː]с0о(;0-ir)2.prent.(пробный экземпляр) royndareintakнпс0о{a/ø}
маке́тный	adj1.(кмаке́т 1) modell- [-Ꞌtεlː]2.(кмаке́т 2)prent.royndar-нп
макиавелли́зм	mmachiavellisma [makʰiːjavεˈlɪ-]жгл-a
макиавеллисти́ческий	adj machiavelliskur [makʰiːjaˈvεlːɪ-]соглsk
макинто́ш	mregnfrakkiмгл-i
макия́ж	m1.(действие;искусство гримирования) sminkingж0-ar2.(косметическое средство) sminkaжгл-a(тж в гримировании); makeup [mεikꞋɔʰpː]с0о;ж0-ir; пермане́нтный макия́ж permanent [-ˈnε-] makeup [mεikꞋɔʰpː]с0о;ж0-ir
Макке́нзи	f indeclMackenzie [maꞋkʰεn̊si]ж нескл.
макла́к	Gen, Accмаклак|а́; plur~и́, ~о́в, ~а́мmgml.,vanv.millummaður [-tl-]мнепр; spekulantur [-Ꞌla-]мсогл-ar(спекулянт)
ма́клер	mmeklari [-kl-]мгл-ari; биржево́й ма́клер børsmeklari; судово́й ма́клер skipsmeklari
ма́клерский	adjmeklara- [-kl-]
ма́клерство	nmeklaravirki [-kl-]сгл-i, meklaravirksemi [-kl-]сгл-i
ма́ко	m indecl: (аку́ла-)ма́ко (f-)m indecl(Isurus oxyrhinchus) makrelhávur [-Ꞌkʰɹeː-]мсогл-ar
ма́ков	adj:@как ма́ков цветreyðdæmdur [rεt-], [rεi-]согл;зарде́ться как ма́ков цветrodnaaðiupp, gerastнепрkorkareyður
ма́ковица	ftml.síма́ковка2
ма́ковка	plurма́ков|ки, ~ок, ~камf1.(плод мака) valmuuhylkiсгл-i2.tlm.(купол) kupulмоосн-s,-ar(á kirkju)3.tlm.(головы) krúllur [-tl-]мсогл-ar, skalli [-tlɪ]мгл-i
ма́ковый	adjvalmuu-
макраме́	[-мэ́]n indeclmacramé [-Ꞌmeː]с0гл(inum)
макрелещу́ка	f(Scomberesox saurus saurus) makrelgedda [-Ꞌkʰɹeːlkε-]жгл-a
макре́ль	f(Scomber scombrus) makrelur [-Ꞌkʰɹeː-]мсогл-ar
макро...	í samansmakro- [maː-]
макрокли́мат	mmakroklima [maː-]с0гл-aпроф.
макрокома́нда	fteld.síмакро́с
макроко́см	mmakrokosmos [maː-]с нескл.проф.
макроко́смос	m síмакроко́см
макроми́р	mmakrokosmos [maː-]с нескл.проф.
макро́с	mteld.makro [maː-]ж0-ir
макроскопи́ческий	adjmakroskopiskur [maːkɹoꞋskoː-]соглskпроф., sum sæst við berum eyga
макроэконо́мика	fmakrobúskapur [maː-]мсогл-irспец., makroøkonomi [maː-]ж0-irпроф.
макроэкономи́ческий	fmakrobúskapurligur [maː-]глigurспец., makroøkonomiskur [maː-]соглsk
макру́рус	m(сем. Macrouridae) langasporlс0о; се́верный макру́рус (Macrurus berglax) rísna langasporl; тупоры́лый макру́рус (Coryphaenoides rupestris) (kubbuta) langasporl
ма́кси	In indeclmaxifrakki [maʰksi-]мгл-i(пальто); maxikjóli [maʰksi-]мгл-i(платье); maxiskjúrtс0о(юбка)IIadj indeclmaxi- [maʰksi-]; ю́бка ма́кси maxiskjúrt
макси́м	mtlm.slag av maskinbyrsu
максимали́зм	mbókl.maksimalisma [-Ꞌlɪ-]жгл-aспец.
максимали́ст	mbókl.maksimalistur [-Ꞌlɪ-]мсогл-arспец.
максимали́стский	adjbókl.maksimalistiskur [-Ꞌlɪ-]соглskспец.
максима́лка	plurмаксима́л|ки, ~ок, ~камf tlm.1.(максимальная скорость) hægsta ferðж0-ir, hámarksferðж0-ir, maksimal [maʰksiˈmaːl]ннкferðж0-ir2.(максимальная пенсия) hægsta pensión [-ˈʃɔun]ж0-ir
максима́льно	ní mesta lagi; sum mest (как можно больше); maksimalt [-Ꞌmaː-]ннкпроф.
максима́льный	stfмаксима́лен, маскима́льн|а, ~о, ~ыadjhámarks-; hægstur [haʰkst-]согл; maksimalur [-Ꞌmaː-]ннксоглпроф., maksimum-ннкпроф.; максима́льная ско́рость hægsta ferð
ма́ксимум	Imstørsta [stœsta] nøgdж0-ir; maksimum [maʰksimʊm]ннкс0o({0<>i})проф.; получи́ть ма́ксимумот чего-л.fáa sum mestburtur úr[-Ꞌʉuɹ]o-mIIadví mesta lagi, maksimalt [-Ꞌmaː-]ннк, maksimum [maʰksimʊm]ннк
макулату́ра	f1.koll(использованные бумажные изделия) papírsburturkastс0о; makulaturur [maːkuːlaꞋtʰuː-]мсогл-arпроф.2.fl., tlm., niðr.(бездарное произведение) makkverkэнкс0опренебр.
маку́шка	plurмаку́ш|ки, ~ек, ~камf1.(дерева,горы) toppurмсогл-ar(av træ,fjalli)2.(головы) krúllur [-tl-]мсогл-ar, skalli [-tlɪ]мгл-i@у него́у́шки на маку́шкеskemt.hann lurtaraðialspentur [ɔls-], [als-]
мал	adj stf síма́лый
Мала́ви	n indeclMalawi {Malavi} [-Ꞌlaːvi]с нескл.
малави́ец	Gen, Accмалави́йц|а; plur~ы, ~ев, ~амmmalawiaria {malaviari} [-Ꞌlaːvi-]мгл-ari
малави́йский	adjmalawiskur {malaviskur} [-Ꞌlaː-]соглsk
мала́га	fmalagavín [maːlaka-]с0о
малагаси́ец	Gen, Accмалагаси́йц|а; plur~ы, ~ев, ~амmmadagaskari [maːtaꞋka-]мгл-ari, madagaskarbúgvi [maːtaꞋka-]мгл-i
малагаси́йка	plurмалага|си́йки, ~си́ек, ~си́йкамfmadagaskari [maːtaꞋka-]мгл-ari(konufólk), madagaskarbúgvi [maːtaꞋka-]мгл-(konufólk)
Малагаси́йская	Респу́бликаsøg.síМадагаска́р
малагаси́йский	adjmadagaskiskur [maːtaꞋka-]соглsk
мала́ец	Gen, Accмала́йц|а; plur~ы, ~ев, ~амmmalaiari {maleiari} [-Ꞌlai-]мгл-ari, malaii {maleii} [-Ꞌlai-]мгл-i
Мала́йзия	fMalaysia {Maleisiaлп} [-Ꞌlaisia]с нескл.
мала́йка	plurмала́йки, мала́ек, мала́йкамfmalaiari {maleiari} [-Ꞌlai-]мгл-ari, malaii {maleii} [-Ꞌlai-]мгл-ari(konufólk)
мала́йский	adjmalaiiskur {maleiiskur} [-Ꞌlai-]соглsk; мала́йский язы́к malaiiskt {maleiiskt}сприлskt
Мала́йя	fMalaya [-Ꞌlaija]с нескл.
Мала́кка	fMalakkahálvoyggin [-Ꞌla-]ж0-ar{+}опр.проф., Malakkanesið [-Ꞌla-]лпс0о{+}опр.
Мала́ккский проли́в	Malakkastretið [-Ꞌla-]ннкс0оопр.проф., Malakkafjørður [-Ꞌla-]лпмсогл-ir{ø/a/i}{+}
малафья́	f síмолофья́
малаха́й	mgml.slag av skinnhúgvu við oyraklaffum(sum bøndur gingu í)
малахи́т	mmalakitt [maːlaꞋkʰɪʰtː]с0о({0<>i})
малахи́товый	adj mmalakitt- [maːlaꞋkʰɪʰtː-]
малахо́льный	stfмалахо́лен, малахо́льн|а, ~о, ~ыadjóvkm.1.(грустный) tristurннксогл, illa [ɪtla] hýrdurсогл2.(глуповатый) tápuligurглigur; serurсогл, snedigurэнкглigur(странный)3.(слабосильный) veikurсогл; ómansligurглigur(немужественный)
Ма́лая А́зия	Lítlaasien [-aːsi-]ннкс0{дат.0}, Lítlaasia [-aːsi-]нпс нескл., Lítlaásiaлпс нескл., жгл-aкн.
Ма́ле	m indeclMalé [-Ꞌleː]м нескл.
Мале́	m indecl síМа́ле
малева́ть	малю́|ю, ~ешь, ~ютipf(pfнамалева́тьнамалю́|ю, ~ешь, ~ют)Acctlm.meiggjaaðiВин, ríslaВинaði@не так стра́шен чёрт, как его́ малю́ютorðt.ringt kann tað vera um ikki so ringtпог.
малева́ться	малю́|юсь, ~ешься, ~ютсяipfóvkm.málaaðisegпренебр.(sminka seg)
