Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
рабо́тать	ipf1.(трудиться) arbeiðair(d); с ним легко́ рабо́тать tað er lætt at arbeiða saman við honum; где ты рабо́таешь? hvar arbeiðir tú?2.кем-л.(иметь каку-л. должность) veraслнa-ó-eo-r, arbeiðair(d)sumo-r, vera í starvisum o-rофиц.; он рабо́тает учи́телем hann er lærari; кем он рабо́тает? - води́телем hvat ger hann? - hann koyrir bil3.над чем-л.(заниматься чем-л.) arbeiðair(d)við o-m, arbeiðair(d)upp á[ʊꞋpʰoː]o-t; рабо́тать над словарём arbeiða upp á eina orðabók, arbeiða við einari orðabók4.(с)чем-л.(пользоваться) brúkaar(t)o-t(применять)или переводится другим, подходящим глаголом; рабо́тать со словарём brúka orðabók; рабо́тать молотко́м hamraaði; рабо́тать вёслами rógvaнепр5.с кем-л.(воспитывать и т.п.) uppdragaннкслнó-ó-io-n; lærair(d)o-n(обучать)6.на Acc(в чью-л. пользу) arbeiðair(d)fyri Вин; рабо́тать на свою́ семью́ arbeiða fyri familjuna [-Ꞌmɪ-] hjá [tʃʰ-] sær; рабо́тать на себя́ arbeiða fyri seg sjálvan; рабо́тать на други́х arbeiða fyri onnur; заво́д рабо́тает на оборо́ну fabrikkin [-Ꞌpɹɪ-] arbeiðir fyri verjuna; вре́мя рабо́тает на нас tíðin arbeiðir fyri okkum7.(о механизмах и т.п.) virkaaði, gangaслнe-i-i; fungera [-Ꞌkeː-]ннкaðiпроф.; не рабо́тать a) ikki vera í gongd; b) (из-за неисправности) vera í ólagi; мото́р не рабо́тает a) motorurin [-Ꞌtʰoː-] er ikki í gongd, motorurin [-Ꞌtʰoː-] gongur ikki; b) motorurin [-Ꞌtʰoː-] er í ólagi, motorurin [-Ꞌtʰoː-] er í ´óordanнеформ.; телефо́н не рабо́тает telefonin [-Ꞌfoː-] er í ólagi, telefonin [-Ꞌfoː-] óordanнеформ.telefonin [-Ꞌfoː-] virkar ikki, telefonin [-Ꞌfoː-] fungerarннкikki; се́рдце рабо́тает с перебо́ями hjartað [ja-] slær óreguliga [-Ꞌrε-]; мото́р рабо́тает тяжело́ motorurin [-Ꞌtʰoː-] gongur illa [ɪtla]; мото́р рабо́тает хорошо́ motorurin [-Ꞌtʰoː-] gongur væl; желу́док не рабо́тает magin er í ólagi, magin fungerarннкikki8.на чём-л.(действовать с помощью чего-л.) gangaслнe-i-ivið o-m; дви́гатель рабо́тает на бензи́не motorurin koyrir við bensini [-Ꞌsiː-], motorurin gongur upp á bensin [-Ꞌsiːn]; заво́д рабо́тает на и́мпортном сырье́ fabrikkin [-Ꞌpɹɪ-] brúkar innflutt ráevni9.(быть в действии) vera opinсоглосн(быть открытым); по́чта рабо́тает с девяти́ утра́ до семи́ ве́чера posthúsið er opið frá klokkan níggju á morgni [mɔtnɪ] til klokkan sjey á kvøldi; конто́ра сего́дня не рабо́тает skrivstovanнпer ikki opin í dag10.bert 3. pers brúktur(действовать,быть в действии) virkaaði11.под Accóvkm.(стараться быть похожим на кого-л.) hermair(d)eftir[εʰtː-]Дат@рабо́тать голово́йbrúkaar(t)høvdið [hœtːɪ];рабо́тать над собо́йarbeiða við sær sjálvum =>де́сятеро,естьI @,ло́коть@,наём,одержи́мый,поклада́я
рабо́таться	ipf óp: не рабо́тается arbeiðið gongur ikki; по утра́м хорошо́ рабо́тается tað gongst væl at arbeiða um morgnarnar [mɔtn-], tað gongur væl í hond at arbeiða um morgnarnar [mɔtn-]; там пло́хо рабо́тается tað er ringt at arbeiða har
работёнка	ftlm.,niðr.síрабо́та
рабо́тник	m1.(человек,который работает) arbeiðariмгл-ari, medarbeiðariмгл-ari(сотрудник); рабо́тники печа́ти starvsfólkс0оá bløðunum; ≈ blaðfólkс0о; blaðmennмнепрмн; рабо́тники изда́тельства starvsfólkið á forlagnum, medarbeiðararnir á forlagnum, tey ansettuннксприлмнá forlagnum; рабо́тник у́мственного труда́ andans arbeiðari, andsarbeiðari2.: он хоро́ший рабо́тник hann er dugnaligur [tuːn-]; сего́дня я не рабо́тниктжtað er eingin nytta í mær í dag3.gml.(рабочий) arbeiðsmaðurмнепр; рабо́тники-батраки́ húskallar [hʏskʰatl-]мсогл-arмн=>нау́чный,физи́ческий2
рабо́тница	f1.(женщина-рабочий) arbeiðariмгл-ari(konufólk)2.(служащая) medarbeiðariмгл-ari, starvsfólkс0о(konufólk)@дома́шняя рабо́тницаarbeiðsgentaжгл-a
работого́лик	marbeiðsnarkomanur [-maː-]мсогл-arнеодобр.
работода́тель	marbeiðsgevariмгл-ari
работорго́вец	Gen, Accработорго́вц|а;plur~ы, ~ев, ~амmtrælahandlari [-hanl-]мгл-ari, slavuhandlari [slaːvʊhanl-]ннкмгл-ari(в нескандинавских странах)
работорго́вля	ftrælahandilм0осн-s,-ar, slavuhandil [slaː-]ннкм0осн-s,-ar(в нескандинавских странах)
работоспосо́бность	f1.(трудоспособность) arbeiðsføriсгл-i2.(трудолюбие) íðinskapurмсогл-ir, arbeiðsevnirсгл-iмн,
работоспосо́бный	stfработоспосо́б|ен, ~на, ~но, ~ныadj1.(трудоспособный) arbeiðsførurсогл2.(способный много работать) arbeiðssamurсогл{a/o}, íðinсоглоснð/d
работя́га	m/f1.tlm.(трудолюбивый человек) arbeiðsgrevс0о, arbeiðsjarn [-tn]с0о{a/ø}2.óvkm.(рабочий) arbeiðariмгл-ari
работя́щий	stfработя́щ, ~а, ~е, ~иadjtlm.arbeiðssamurсогл{a/o}, íðinсоглоснð/d
рабо́чая	farbeiðariмгл-ari(konufólk), arbeiðskvinnaжгл-a
рабо́че-крестья́нский	adjsøg.arbeiðara-og bónda-; Рабо́че-Крестья́нская Кра́сная А́рмияsøg.Tann reyði arbeiðara-og bóndaherurin
рабо́чий1	Imarbeiðariмгл-i; arbeiðsmaðurмнепр(неквалифицированный); verkamaðurмнепркн.;мн тжverkafólkс0окн.; лю́ковый рабо́чий lúkumaðurмнепр; профессиона́льный сою́з рабо́чих arbeiðsmannafelag =>квалифици́рованныйII
рабо́чий2	IIadj1.(относящийся к рабочим) arbeiðara-; verkamanna-кн.; рабо́чий класс arbeiðarastætt, verkamannastætt; arbeiðaraklassiннкпроф.; рабо́чий коллекти́в arbeiðsfólkiðопр.; рабо́чая власть arbeiðaravald2.(выполняющий работу) arbeiðs-, arbeiðis-; рабо́чая ло́шадь arbeiðsross; рабо́чие ча́сти маши́ны gangandiглandipartar á maskinuni, tað gangandi á maskinuni; рабо́чее колесо́ drívhjul [-juːl]ннкпроф.; рабо́чий ход arbeiðsslagс0о{a/ø}{0<>i}(hjá motori)3.(предназначенный для работы) arbeiðs-, arbeiðis-; рабо́чий день arbeiðsdagur; рабо́чее вре́мя arbeiðstíð; рабо́чий костю́м arbeiðsklæðir; рабо́чий инструме́нт arbeiðsamboð4.(живущий своим трудом): рабо́чий наро́д tað arbeiðandi fólkið; рабо́чий челове́к arbeiðari5.(служащий руководством для проведения работы) arbeiðs-, arbeiðis-; рабо́чий чертёж arbeiðstekning [-kn-]6.(относящийся к начальной стадии работы) arbeiðs-, arbeiðis-; рабо́чая гипо́теза arbeiðshypotesa [-hyː-]@рабо́чие ру́киarbeiðsfólkс0особир., arbeiðskraftж0-ir{a/e};рабо́чая си́лаa) (способность к труду) arbeiðsorka; b) (рабочие,работники) arbeiðskraft;рабо́чий язы́к(в международных организациях и т.п.) arbeiðsmál;в рабо́чем поря́дкеso hvørt (sum arbeitt verður) =>движе́ние3
рабси́ла	f1.(рабочая сила) arbeiðskraftж0-ir{а/е}2.tlm.(работающий на кого-л.)o-r, sum arbeiðirfyri o-n; я тебе́ не рабси́ла! eg eri ikki ansetturннкhjá tær!; eg arbeiði ikki fyri teg!
ра́бски	adv1.(как раб) sum trælur2. (беспрекословно) slaviskt [-aː-]ннк(treytaleyst), blint
ра́бский	adj1.(тяжёлый,непосильный) træla-, slavu-[-aː-]ннк; ра́бский труд trælaarbeiði2.(льстивый,угодливый) træla-, slavu- [-aː-]ннк; ра́бская нату́ра trælanatúr3.niðr.(беспрекословный) slaviskur [-aː-]ннксоглsk(treytaleysur); blindurсогл(слепой); ра́бское подража́ние slaviskннкeftirherming [εʰtː-]
ра́бство	n1.(положение раба) trældómur [tʰral-]мсогл-ar, slavarí [slaːvaꞋrʊi]ннкс0о{0<>i}(в нескандинавских странах); обрати́ть в ра́бствокого-л.geraнепрo-ntil træl2.fl.(состояние зависимости) trældómur [tʰral-]мсогл-ar, slavarí [slaːvaꞋrʊi]ннкс0о{0<>i}; он в ра́бстве у свои́х чувств hann er trælur av sínum kenslum =>цепь2
рабфа́к	mрабо́чий факульте́тserlig fyrireikingardeild til hægri útbúgving fyri bøndur og arbeiðarar, í Sovetsamveldinum 1919-1940
рабы́ня	f1.søg.(лишённая всех прав женщина) trælurмсогл-s,-ir;согл-ar(konufólk), trælkvinna [tʰral̥-]жгл-a; slava [slaːva]ннкжгл-a(konufólk), slavinda [slaːvꞋɪ-]ннкжгл-a(в нескандинавских странах)2.fl.(полностью подчиняющаяся обстоятельствам) trælurмсогл-s,-ir;согл-ar, slava [slaːva]ннкжгл-a(konufólk); рабы́ня свои́х привы́чек ein slavaннкav sínum vanum
равви́н	mrabbinari [-Ꞌpiː-]мгл-ari
ра́венство	n1.(полное сходство) líkheitннкж0-ir, líkskapurмсогл-ir2.(равное положение в обществе) javnstøðaжгл-a; javnaðurмсогл-irкн., публ.; líkheitннкж0-ir; ра́венство пе́ред зако́ном javnrættindi fyri lógini; социа́льное ра́венство sosial [-Ꞌaːl] javnstøða3.mat.(соотношение между величинами) líkheitннкж0-ir, javnaðurнпмсогл-ir; знак ра́венства líkheitstekn [-tʰεkn]ннк, javnatekn [-tʰεkn]нп(=)@ста́вить знак ра́венства ме́ждуInsseta líkheitstekn [-tʰεkn]ннкmillum [-tl-]Вин=>свобо́да@
равне́ние	nskipanж0-irá beina linju,sbr.равня́ться 1 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма); равне́ние нале́во! beint inn til vinstru!@держа́ть равне́ниена кого-л.havaнепрo-nsum fyrimynd
равни́на	f1.(ровная земная поверхность) slættiмгл-i, fløtaжгл-a, slættlendiсгл-i2.(участок дна моря) slætturсогл{æ/ø}botnurмсогл-ar, slættiмгл-i(á havbotninum)
равни́нный	adjslætturсогл{æ/ø}(um lendi), slættlendurсогл
равно...	í samans.javn-
равно́	Iadvbókl.líka, eins ... (og)нп; равно́ краси́вы го́ры и леса́ fjøllini [-tl-] og skógirnir er eins vøkurIIpred чему-л.ero-t, er lik viðo-tннктри плюс четы́ре равно́ семи́ trý pluss fýra er sjey; trý pluss fýra er lik viðннкsjeyIIIí týdn. conjравно́ как {равно́ как и}{а равно́ и}bókl.eins væl og; уча́стники конфере́нции, равно́ как и го́сти, обсужда́ли докла́ды luttakararnir á ráðstevnuni eins væl og gestirnir skiftu orð um fyrilestrarnar@всё равно́a) (безразлично) sama ger; мне всё равно́ mær ger tað tað sama; eg leggi líka í; eg leggi einki í; líka leggi eg í; ему́ всё равно́, придёт она́ или нет hann leggur líka í, um hon kemur; не всё равно́ ли? kann tað ikki gera tað sama?; ger tað nakran mun?; b) (несмотря на что) kortini, allíkavæl [-Ꞌlʊi-]ннк; он всё равно́ придёт hann kemur í hvussu so er; hann kemur kortini; c) (сравнение): всё равно́, что... { всё равно как} tað sama sum; э́то всё равно́, что ... hetta er tað sama sum at ...; всё равно́ что ничего́ at kalla [-tla] einki
равноапо́стольный	adjkirk.sum er ájavnt [-jan̊t], [-jam̊t] við apostil [-Ꞌpʰɔ-], líkurсоглapostli [-Ꞌpʰɔ-], apostlalíkur [-ˈpʰɔ-]согл(í tí russ. ortodoksu kirkjuni brúkt um ávís halgimenni)
равнобе́дренный	adjmat.javnbeinturсогл, líkabeinaðurннкглaður
равновели́кий	stfравновели́к, ~а, ~о, ~иadjbókl.javnstórurсогл, líka stórurсогл, eins stórurнпсогл
равнове́сие	n1.(состояние покоя) balansa [-Ꞌla-]ннкжгл-aпроф.,javnvágнпж0-ir; сохраня́ть равнове́сие halda balansunaннк,sbr.3; потеря́ть равнове́сие missa balansunaннкпроф., missa javnváginaнп,sbr.32.fl.(устойчивое соотношение между чем-л.) javnvágж0-ir, balansa [-Ꞌla-]ннкжгл-a; полити́ческое равнове́сие politisk [-Ꞌlɪʰtː-] javnvág; наруши́ть вое́нное равнове́сие oyðileggja ta hermálsligu javnvágina; сохраня́ть равнове́сие halda balansunaннк3.fl.(состояние спокойствия) balansa [-Ꞌla-]ннкжгл-a,javnvágнпж0-ir; сохраня́ть равнове́сие ikki missa tamarhaldið á sær sjálvum; ikki missa balansunaннк,sbr. 2; потеря́ть равнове́сие missa tamarhaldið á sær sjálvum; missa balansunaннк,sbr.1; вы́вести из состоя́ния равнове́сия fáa út av balansuннк; душе́вное равнове́сие sálarlig balansaннк, sálarlig javnvágнп
равноде́йствующая	fresultantur [-Ꞌtʰa-]мсогл-arспец., úrtøkumáttur [ʏɹ̥t-]лп
равноде́йствующий	adj: равноде́йствующая си́ла resultantur [-Ꞌtʰa-]мсогл-arспец., úrtøkumáttur [ʏɹ̥t-]лп
равноде́нствие	njavndøgurс0осн; весе́ннее равноде́нствие várjavndøgur; осе́ннее равноде́нствие heystjavndøgur
равноду́шие	nlíkasælaжгл-a
равноду́шно	advlíkasælt, uttan at lata við seg koma; равноду́шно относи́тьсяк Datvera líkaglaðurнепрvið Дат, vera óinteresseraðurннкглaðurí Дат
равноду́шный	stfравноду́ш|ен, ~на, ~но, ~ныadj1.(безразличный) líkaglaður, líkasælurсогл2.mest stf к Dat(не питающий склонности к чему-кому-л.) uttan áhugafyri Дат, líkaglaðurнепрvið Дат, óinteresseraðurннкглaðurí Дат, sum einki leggurí Вин
равнозна́чащий	adj síравнозна́чный
равнозна́чный	stfравнозна́ч|ен, ~на, ~но, ~ныadjbókl.sum merkir tað sama (с одним значением); javngildurсогл(эквивалентный); равнозна́чные величи́ны javnstórar støddir; равнозна́чные выраже́ния málberingar við somu merking; э́то равнозна́чно по́лному прова́лу hetta merkir fullkomiliga [-Ꞌkʰoː-] fiasko [-Ꞌa-]ннк, hetta er tað sama sum fullkomilig [-Ꞌkʰoː-] fiasko [-Ꞌa-]ннк
равноме́рно	advjavnt [jam̊t], [jan̊t]; равноме́рно распредели́тьчто-л.býtao-tjavnt
равноме́рный	stfравноме́р|ен, ~на, ~но, ~ныadjjavnurсогл{a/ø}; taktfasturсогл{a/ø}(ритмичный - тж)
равнопра́вие	njavnrættindiсгл-iмн, javnrætturмсогл-ir, javnstøðaжгл-a
равнопра́вный	stfравнопра́в|ен, ~на, ~но, ~ныadjvið sama rætti; javnsetturсогл; быть равнопра́внымс кем-л.hava somu rættindisum o-r; vera javnsetturvið o-n
равноси́льный	stfравноси́лен, равноси́льн|а, ~о, ~ыadj чему-л.sum merkir tað samasum o-t, sum er tað samasum o-t; молча́ние равноси́льно отка́зу tøgn er tað sama sum nei
равносторо́нний	adjmat.javnsíðaðurглaður
равноуго́льный	adjmat.javnvinklaðurглaður, líkavinklaðurннкглaður
равноце́нный	stfравноце́н|ен, ~на, ~но, ~ныadj1.(одинаковый по цене) við sama virði, sum hevur sama virði (kostnaður)2.Dat(по качеству) javngóðurнепрvið Вин, sum er javnbjóðisДат; javnurсогл{a/ø}við Вин(í dugnaskapi,styrki o.ø.)
ра́вный	Istfра́вен, равн|а́, ~о́, ~ы́adj1.(одинаковый) javnurсогл{a/ø}, javnstórurсогл; eins +пол., líka +пол.(stórur,nógvur o.s.fr.); sami (тот же самый); ра́вные си́лы eins kreftir, eins stórar kreftir, javnstórar kreftir; раздели́ть на три ра́вные ча́сти býta sundur í tríggjar líka stórar partar; э́ти доро́ги ра́вной длины́ hesir vegirnir eru líka langir; hesir vegirnir eru eins langirнп; с ра́вной ско́ростью við somu ferð (одинаковой); við javnari ferð (ровной); ему́ нет ра́вных hann eigur ikki sín (javn)líka2.(обладающий равными правами) einsнескл., tann sami, javnurсогл{a/ø}(um samfelagsstøðu o.a.); ра́вные права́ somu rættindi, eins rættindi, javnrættindi; ра́вные пе́ред зако́ном eins fyri lógini, líkaнескл.fyri lógini; мы здесь все равны́ vit eru øll [œtl] jøvn, vit eru øll [œtl] á jøvnum føti3.чему-л.(о величинах) likнескл. við o-tннк, javnstórurсоглvið o-t; су́мма угло́в треуго́льника равна́ двум прямы́м summurin av vinklum í einum tríkanti er lik viðннкtveir rættar vinklar; расстоя́ние, ра́вное пяти́ ме́трам ein teinur upp á fimm metrarIImlíkamaðurмнепр, javnlíkiмгл-i; говори́ть как с ра́вным tosa sum við ein líkamann, tosa sum við sín (javn)líka@на ра́вныхsum líkamenn, sum javnlíkar;ра́вным о́бразом {в ра́вной ме́ре}bókl.á sama hátt; í hvussu er (в любом случае);на ра́вной ноге́с кем-л.á jøvnum føtivið o-n=>ноль2,пе́рвый@,усло́виеA 3
равня́ть	ipf Acc1.pfсравня́ть (делать равным) geraнепрВинlíka2.с Ins(считать равноценным) javnmetair(t)Вин við Вин, metair(t)Винjavnt [jan̊t], [jam̊t]við Вин
равня́ться	ipf1.pfсравня́тьсяс Ins(быть равным кому-л.) kunnaнепрsamanberastслнa-ó-ovið Вин, standaслнó-ó-aДатmát2.по кому-л.,на кого-л.(стараться следовать примеру кого-л.) takaслнó-ó-ieftir [εʰtː-]o-m, brúkaar(t)o-nsum fyrimynd3.bert 3. pers brúktur чему-л.(быть равным) vera likнескл. við o-tннк, vera javnstórurсоглvið o-t; три́жды три равня́ется девяти́ tríggjar ferðir trý er níggju; расстоя́ние равня́ется пяти́ киломе́трам teinurin er upp á fimm kilometrar [kʰiː-]; небре́жность иногда́ равня́ется преступле́нию gáloysni kann við hvørt vera tað sama sum ein brotsgerð4.(в строю) skipaaðibeina linju, skipaaðibeina rekkju; равня́йсь! á rekkju!
ра́гга	m indeclraggaм нескл
рагу́	n indeclragout [raꞋkuː]ж0-ir
рад	ра́д|а, ~о, ~ыpred1.Dat(о чувчтве радости) glaðurнепрum Вин, glaðurнепрfyri Вин; feginсоглосн0/gum Вин; он был рад на́шему прихо́ду hann var fegin um, at vit komu; hann var glaður fyri, at vit komu; я тебе́ о́чень рад eg eri sera feginсоглоснgum, at tú ert her; tað er gott, at tú ert komin; я рад слу́чаю сказа́ть ... tað er mær ein gleði at (kunna) siga ...; я рад за тебя́ eg eri glaður tína vegna; eg gleðist tína vegna2.+ inf: рад тебе́ помо́чь tað er mær ein gleði at hjálpa [jɔ-] tær; eg eri glaður fyri at hjálpa [jɔ-] tær; рад бы отдохну́ть, но ... eg vildi gjarna hildið frí, men ...3.+ что...: она́ ра́да, что прие́хал сын hon er glað fyri, at sonurin er komin4.+ negtlm.(о чувстве сожаления) eg angri, at ...; eg iðri meg um, at ...; уж и не рад eg angri, at...@рад-радёхонек{рад-радёшенек}tlm.ovurfeginсоглоснg, findarglaðurнепр;рад стара́тьсяa)gml.(ответ в армии) eg var fegin um at gera tað (svar frá meinigum hermonnum upp á rós í tí russiska herinum); b)skemt.,spott.tað er mær ein gleði;рад не рад {хоть рад, хоть не рад}um tú so vilt ella [εtla] ikki; um tær so dámar tað ella [εtla] ikki =>бога́тый@
Ра́да	fRada [raːta]жгл-a(;0-ir)(ukrainska tjóðartingið)
рада́р	mradari [raːt-]мгл-ari=>парко́вочный
рада́рный	adjradar- [raːta-]; рада́рная ста́нция radarstøð
раде́ние	ngml.1.(усердие) ágrýtniсгл-i;жгл-i; nærlagni [naɹ-]сгл-i(прилежание)2.(обряд религиозных сект)ritual hjá nøkrum russ. trúarbólkum
раде́тель	mgml.,spott.o-r, sum hevur umsorganfyri o-m
раде́ть	ipfgml.1.pfпораде́тьDat, o чём-л.(заботиться) syrgjair(d){+}fyri Дат, havaнепрumsorganfyri Дат2.(совершать обряд)vera við í serl. rituali(hjá ym. russ. trúarbólkum)
ра́джа	plurра́дж|и, ~ей, ~амmraja [ratʃːa]м0-ar{дат.0}
раджа́	plurрадж|и́, ~е́й, ~а́мm síра́джа
ра́ди	prep + Gen1.(в интересах кого-л.,чего-л.) fyri +Вин, fyriпосс.skyld, fyriпосс.sakirкн.; ра́ди меня́ fyri mína skyld; fyri mínar sakirкн.; ра́ди дете́й fyri børnini [-tn-]; fyri barnanna [-tn-] skyldкн., выс.; ра́ди ста́рой дру́жбы sum gamal vinmaður ..., tí vit eru gamlir vinmenn2.(с какой-л. целью)часто переводитсяfyri at + глагол: ра́ди о́тдыха fyri at hvíla seg;3.чего-л.(по причине чего-л.): ра́ди чего?tlm.,atf.hví?; til hvat?@ра́ди того, что́бы....conjfyri at..., til tess at ...кн.;ску́ки ра́диtlm.av keðsemi =>бог@,шу́тка@
радиа́льный	adjradialur [raːtiꞋaːl-]согл, radial- [raːtiꞋaːl-]; радиа́льная покры́шкаbil.radialdekk [raːtiꞋaːl-]
радиа́тор	m1.tekn.,bil.(аппарат для охлаждения) kølariмгл-ari2.(отопления) radiatorur [raːtiaꞋtʰoː-]мсогл-ar
радиацио́нный	adjstrálings-, geislingarнп-
радиа́ция	fstrálingж0a-r, geislingнпж0a-r
ра́диевый	adjradium- [raː-]
ра́дий	mradium [raː-]с0о({0<>i})
ради́йщик	m tlm., fakm.útvarpsmedarbeiðariмгл-ari
радика́л1	Impolit.1.(сторонник радикализма) radikalur [raːʰaː-]мприл(viðhaldsmaður hjá radikalismuni, síрадикализм1)2.(приверженец крайних взглядов) víðgongdur [vʊi̯k-]мприл
радика́л2	IIm1.mat.(знак) rótж0-ur{ó/ø}2.kem.(группа атомов) radikalur [raːtiꞋkʰaː-]мсогл-ar
радикализа́ция	fbókl.radikalisering [raːtikʰaːliꞋseː-]ж0-ar
радикали́зм	m1.(политическое направление) radikalisma [raːtikʰaꞋlɪ-]жгл-a(politisk stevna)2.(решительный образ действий) radikalisma [raːtikʰaꞋlɪ-]ннкжгл-a, radikalitetur [raːtikʰaːliꞋtʰeː-]ннкмсогл-ar(avgjørd sjónarmið,avgjørdur atburður)
радикальность	mradikalisma [raːtikʰaꞋlɪ-]ннкжгл-a, radikalitetur [raːtikʰaːliꞋtʰeː-]ннкмсогл-ar(avgjørd sjónarmið,avgjørdur atburður)
радика́льный	stfрадика́лен, радика́льн|а, ~о, ~ыadj1.polit.(о политических взглядах и др.) radikalur [raːtiꞋkʰaː-]согл2.(о мерах,изменения) radikalur [raːtiꞋkʰaː-]ннксогл, róttøkinлпсоглосн
радикули́т	mradiculitis [raːtikʰuꞋliː-]с0{дат.0}спец., мед.
ра́дио	[-ио]n indecl1.(способ передачи) radio [raːtio]с0гл(-num), útvarpс0о{a/ø}(ljóðflutningur)2.(устройство для приёма) radio [raːtio]с0гл(-num)(tól at lurta við), útvarpstólнпс0о, útvarpslurtнпс0о; включи́ть ра́дио tendra radioið3.(звуковая вещательная передача) útvarpс0о{a/ø}, radio [raːtio]ннкс0гл(-num)(sending); слу́шать ра́дио lurta eftir [εʰtː-] útvarpi, lurta eftir [εʰtː-] radio; по ра́дио í útvarpinum, í radionum, í radioinum4.(учреждение) útvarpс0о{a/ø}, radio [raːtio]ннкс0гл(тк о нефарерских учреждениях) (stovnur)
радио...1	Iотносящийся кра́диои др. í samansradio-
