б	part síбы
бага́ж	Genбагажа́m1.(вещи) bagasja {bagaga} [-Ꞌkaː-]ннкжгл-а, viðføri [vɪf-]нпсгл-i; ferðagóðs [-kœsː]с0о(как правило,сдан отдельно); ручно́й бага́ж hondbagasja [hɔnp-]ннк, handviðføri [hanv-]нп; сдать (свои́) ве́щи в бага́ж lata bagasjunaннкinn, lata viðføriðнпinn; посла́ть {отпра́вить}что-л.багажо́м sendao-tsum ferðagóðs2.fl.(запас знаний и др.): у́мственный бага́ж andlig barlastж0-ir
бага́жная	f tlm.bagasjurún [-ˈkaː-]ннкс0о, viðførisrúmнпс0о(til goynslu av viðføri)
бага́жник	m1.(велосипеда,на крыше автомобиля и т.п.) bagasjuberari [-Ꞌkaː-]ннкмгл-ari, viðførisberi [vɪf-]нпмгл-i2.(автомашины) bagasjurúm [-Ꞌkaː-]ннкс0о, viðførisrúm [vɪf-]нпс0о
бага́жный	adjbagasju- [-Ꞌkaː-]ннк, viðføris- [vɪf-]нп; til ferðagóðs [-kœsː] (для сданного отдельно багажа); бага́жная квита́нция kvittan fyri bagasjuннк; бага́жный ваго́н bagasjuvognur [-Ꞌkaː-]ннк, viðførisvognurнп
Бага́мские острова́	Bahama [-Ꞌhaː-]с нескл., Bahamaoyggjarnar [-Ꞌhaː-]ж0-ar{+}мн опр.
бага́мский	adjbahama- [-Ꞌhaː-], bahamiskur [-Ꞌhaː-]соглsk
Бага́мы	f plur síБага́мскиеострова́
Багда́д	mBagdad [paktat]м0{дат.0}
баге́т	m(rammu)listiмгл-i
баге́тный	adj(rammu)lista-
баге́товый	adj(rammu)lista-
баго́р	Genбагр|а́;plur~ы́, ~о́в, ~а́мmkrókurмсогл-ar(amboð á skafti at krøkja við); goggurмсогл-ar, goggariмгл-ari, goksurмсогл-ar(крюк на тонком древке); kleppurмсогл-ar(большой крюк на коротком древке); пожа́рный баго́р brandhakiмгл-i; морско́й баго́р bátshakiмгл-i; рыболо́вный баго́р hakiмгл-i(at krøkja fisk við)
ба́грение	nkrøkingж0-ar, goggingж0-ar
ба́гренье	n síба́грение
ба́грить	ба́гр|ю, ~ишь, ~ятipf Acckrøkjair(t)Вин, goggaaðiВин
багрове́ть	ipf(pfпобагрове́ть) gerast blóðreyðurгл; rodnaaðiupp (густо краснеть); её лицо́ багрове́ет hon rodnar upp
багро́во	advalreytt [al-],  [ɔl], blóðreytt
багро́вый	stfбагро́в, ~ва, ~во, ~выadjblóðreyðurгл, droyrreyðurгл, alreyður [ɔl-], [al-]гл; korkareyðurгл, purpurreyðurгл(пурпурный)
багря́нец	Gen багря́нца mblóðreyður liturмсогл-ir, droyrreyður liturмсогл-ir, alreyður [ɔl-], [al-] liturмсогл-ir; korkareyður liturмсогл-ir, korkaliturмсогл-ir, purpurreyður liturмсогл-ir(пурпурный)
багря́ный	adjbókl.síбагро́вый
багу́льник	m runnur av slektini Ledum(en.Ledum; da.post)
БАД	[бат]f indeclбиологи́чески акти́вные доба́вки kosttilskotс0о, føðsluískoytiлпсгл-i(um ym. preparat)
бадминто́н	mbadmintonс0o{дат.0}
бадминтони́ст	mbadmintonspælariмгл-ari, badmintonleikariнпмгл-ari
бадья́	plurбадьи́, баде́й, бадья́мfstampurмсогл-ar(б.ч. из клёпок); baljaжгл-a(лохань); byttaжгл-a(деревянная) (ведро); spannж0-ir; pøsж0-ir(б.ч.мор.) (ведро)
бадя́га	f síбодя́га2
ба́за	f1.(основа) grundarlagс0o{a/ø}{0<>i}, undirstøðiсгл-i; støðiсгл-i; ба́за про́мысла veiðugrundarlag; экономи́ческая ба́за tað økonomiska [-Ꞌnoː-]ннкgrundarlagið; сырьева́я ба́за rávørugrundarlagið; энергети́ческая ба́за orkutilfeingiсгл-i; материа́льная ба́за tað materiella [-Ꞌεlː-] grundarlagið, materiellar [-Ꞌεlː-] resursur [-Ꞌsʊ-]инт; на ба́зечегo-л.viðo-umsum grundarlag, við støði ío-m; подводи́ть ба́зупод(о) что-л.førair(d)fram grundgevingfyri o-m, undirbyggjair(d)o-t; подвести́ (нау́чную) ба́зупод что-л.føra fram vísindaligt prógvfyri o-m, leggja (ta vísindaligu) grundinaundir o-t, undirbyggjao-tvísindaliga2.arkit.(памятника тж) fundament [-Ꞌmε-]ннкс0о(;0-ir)проф., undirstøðiсгл-i(undir standmynd o.tíl.); fóturмнепр(á súlu o.ø.) (колонны,памятника)3.herm.(для войск и др.) herstøðж0-ir; вое́нно-морска́я ба́за (her)flotastøðж0-ir, marinustøð [-Ꞌriː-]ж0-ir; возду́шная ба́за støð fyri loftvápnið4.ítr.(учреждение,центральный пункт) miðstøðж0-ir; тури́стская ба́за ferðamanna(mið)støðж0-ir5.(береговое предприятие) støðж0-ir; берегова́я китобо́йная ба́за hvalastøð6.(склад) goymslaжгл-a, lagur [laːk-]ннкс0оснпроф.@плаву́чая ба́заmóðurskipс0о=>да́нные1
база́льный	stfбаза́лен, база́льн|а, ~о, ~ыadjgrundleggjandi [kɹʊnl-]глandi, basalur [-ˈsaː-]соглпроф.@ база́льная мембра́наbasalmemran [-ˈsaː-]мед., спец.
база́льт	fbasalt [-Ꞌsa-]с0-o; blágrýtiсгл-i(тёмный); grágrýtiсгл-i, grásteinurмсогл-ar(серый и мелкозернистый)
база́льтовый	adjbasalt- [-Ꞌsa-], úr basalti [-Ꞌsa-]
база́р	f1.(рыбок) marknaðurмсогл-ir(sølutorg), torgс0о; basarur [-Ꞌsaː-]мсогл-ar(marknaður, torg í eystanlondum) (восточный); basarur [-Ꞌsaː-]мсогл-ar(til vælgerandi endamál o.tíl.) (благотворительный и т.п.); кни́жный база́р bókasølaжгл-a, bókamarknaður2.(шум) levindс0о, goragangurмсогл-s,-ir, larmurмсогл-ar, rokс0о, spektakkul [spɪꞋtʰa-]энкс0осн; устро́ить база́р fáaслнe-i-iupp á gos, fáaслнe-i-irumbul í@пти́чий база́рfuglabjørgс0o{a/ø}мн
база́рить	база́р|ю, ~ишь, ~ятipftlm.rópaar(t);aði; brúkaar(t)seg (громко обсуждать)
база́рный	adjtorg-; база́рная пло́щадь torgс0о@база́рная ба́баóvkm.groyggjс0о{+}{0<>i}пренебр., britaжгл-aпренебр., gívurж0оснпренебр., gorrс0опренебр.
базе́дов	[-зэ́-]adj: базе́дова боле́знь basedow [paːsɪtɔu]ж0-ir, basedowsjúka [paːsɪtɔu-]жгл-a
Ба́зель	[-зэ-]mBasel [paːsεl]м0{дат.0}
базили́к	m(Ocimum basilicum) basilikum [-Ꞌsiːli-]с0o
базили́ка	farkit.basilika [-Ꞌsiː-]жгл-a(;0-ir)
бази́лика	f síбазили́ка
бази́рование	nbasering [-Ꞌseː-]ннкж0-ar, støð (место размещения)ж0-ir
бази́ровать	бази́ру|ю, ~ешь, ~ютipf что-л. на чём-л.bókl.byggjair(d)o-t á o-t, grundaaðio-t á o-t, basera [-Ꞌseː-]ннкaðio-t á o-t
бази́роваться	бази́ру|юсь, ~ешься, ~ютсяipf1.на чём-л.(основываться) vera bygdurсоглá o-m, vera grundaðurглaðurá o-m, vera baseraður [-Ꞌseː-]ннкглaðurá o-m2.(размещаться) havaнепрstøð; бази́роватьсяна что-л.(чём-л.) hava støðá o-m; brúkaar(t)o-tsum móðurskip,síба́за@
ба́зис1	Im síба́за2
ба́зис2	IImfilos.basis [paː-]м0-ar{дат.0}спец.@ба́зис и надстро́йкаbasis og yvirbygningurмсогл-ar
ба́зисный	adjbasis- [paː-]спец.,síба́зис
ба́зовый	adjstøð-, grundarlag-,síба́за
ба́иньки	tlm.: хо́чешь ба́иньки? (við børn) vilt tú sova?; vilt tú lulla?детск.
бай	msøg.beyм0-ar{0<>i}(ríkur jarðareigari í Miðasia)
бай-ба́й	inter., barn.: идти́ бай-ба́й fara at lullaдетск., fara í lullunaдетск.; малю́тке пора́ бай-ба́й nú er tíð hjá [tʃʰ-] lítla(num) at sova, nú er tíð hjá lítla(num) at lullaдетск..
байба́к	Gen, Accбайбак|а́;plur~и́, ~о́в, ~а́мm1.(Marmota bobak) murmildýrс0о2.fl., tlm.(о человеке) letivættiсгл-i, letingiмгл-i(лентяй); døllс0о(неповоротливый человек)
байда́рка	plurбайда́р|ки, ~ок, ~камfkajakk [-Ꞌjaʰkː]ж0-ir(til ítrótt), грести́ на байда́рке rógva í kajakk
байда́рочник	mkajakkrógvari [-Ꞌjaʰkː-]мгл-ari
байда́рочный	adjkajakk- [-Ꞌjaʰkː]
байк	m jarg.1.(мотоцикл) motorsúkkla[-ˈtʰoː-]жгл-a2.(велосипед) súkklaжгл-a
ба́йка1	If(ткань) flonell [-Ꞌnεlː]с0o
ба́йка2	IIplurба́йки, ба́ек, ба́йкамftlm.(выдумка) (lygi)søgaжгл-a, skrøggс0о
Байка́л	mBajkalvatnið [pai-]с0о{a/ø}опр.
Байка́ло-Аму́рская (железнодоро́жная) магистра́ль	(styttБАМ) Bajkal-Amur [ˌpaikalaꞋmuːɹ] jarnbreytin [janp-]ж0-irопр.
ба́йкер	mbiker [paik-]м0-ar{дат.0}спец., bikari [paik-]мгл-ariспец.
байкер-клу́б	mbikarafelag [paik-]с0o{a/ø}{0<>i
байк-клу́б	m síбайкер-клу́б
ба́йковый	adjflonell- [-Ꞌnεlː], flonels- [-Ꞌnεls-], úr flonell [-Ꞌnεlː]
Байкону́р	mBajkonur [paikoꞋnuːɹ]с0о{дат.0}
байк-фе́ст	m síбайк-шо́у
байк-фестива́ль	bikarafestivalur [paikafestɪvaː-]мсогл-ar
байк-шо́у	n indeclbikarafestivalur [paikaɹafestivaː-]мсогл-ar
байрони́зм	mbókm.byronisma [paiɹoꞋnɪ-]жгл-а
байрони́ческий	adjbókm.byronskur [paiɹɔ-]соглsk
ба́йский	adjbey-,síбай
байт	plurба́йт|ы, ~, ~амmteld.byte [pait]с0o, býtлпс0o
ба́йтовый	adjbyte- [pait-], být-лп
бак1	Im1.(сосуд для жидкостей) tangi [tʰaɲtʃi]мгл-i; бак для бензи́на bensintangi [-Ꞌsiːn-]2.: бак для кипяче́ния белья́ vaskiketilм0осн-s,-ar; му́сорный бак ruskílatс0о{a/ø}=>отсто́йный
бак2	IIm(надстройка) bakkiмгл-i(á skipi); на ба́ке и на ю́те framman og aftan [aʰtː-]
бак3	IIImtlm.dollariмгл-ari
бакала́вр	mbachelor [paʰtʃːɪlɔɹ]м0-ar(опр-ur); сте́пень бакала́вра bachelorstig, bachelorgradur [-kɹaː-]ннк
бакалавриа́т	mbachelorútbúgving [paʰtʃːɪlɔɹ-]ж0-ar
бакале́йный	adjkolonial- [kʰoːloniꞋaːl-]; бакале́йный магази́н kolonialvøruhandil [kʰoːloniꞋaːl-]; бакале́йные това́ры kolonialvørur [kʰoːloniꞋaːl-]
бакале́йщик	mtlm.kolonialvøruhandlari [kʰoːːloniꞋaːl-]мгл-ari, keypmaðurмнепр(sum selur kolonialvøru)
бакале́я	f1.koll(товары) kolonialvørur [kʰoːloniꞋaːl-]жгл-aмн, kolonial [kʰoːloniꞋaːl]с0о{дат.0}2.(магазин) kolonialvøruhandil [kʰoːloniꞋaːl-]м0осн-s,-ar{+}
ба́кан	m síба́кен
бакау́т	m (род Guaiacum)pukkenholt [-ʰkε-]с0о{0<>i}, pokkenholt [-ʰkε-]с0о{0<>i}
ба́кен	m(ljós)boyaжгл-a(sjómerki)
бакенба́рды	f plurbakkenbartar [paʰkːɪn-]мсогл-arмн; kjálkaskeggс0оуст., кн., vangaskeggс0оуст., кн.
ба́кенщик	mumsjónarmaðurмнепрvið ljósboyum,síба́кен
ба́ки	f plurtlm.síбакенба́рды
баки́нский	adjBaku- [-Ꞌkʰuː] , sum er úr {i} Baku [-Ꞌkʰuː]
баккара́1	In indeclbaccarat [paʰkːaꞋraː]с нескл.(serl. fínt krystall)
баккара́2	IIadj indeclbaccarat- [paʰkːaꞋraː-], úr baccarat [paʰkːaꞋraː]; ва́за баккара́ baccaratvasi [paʰkːaꞋraːvaː-]
бакла́ва	fbaklava [-ˈkʰlaː-]ж0-ir(slag av søtum bakstri),sí eis.пахла́ва
бакла́га	fvatnfløska [van-]жгл-a(oftast áfløt), feltfløskaжгл-a
баклажа́н	m1.(Solanum melongena) aubergin [opεɹꞋʃiːn]ж0-ir, aubergina [opεɹꞋʃiː-]жгл-a(planta)2.(плод) aubergin [opεɹꞋʃiːn]ж0-ir, aubergina [opεɹꞋʃiː-]жгл-a
баклажа́нный	adjaubergin- [opεɹ̥Ꞌʃiːn-], auberginu- [opεɹ̥Ꞌʃiːnʊ-]; баклажа́нная икра́ auberginpure [opεɹ̥Ꞌʃiːnpʰureː], [opεɹ̥Ꞌʃiːnpʰyreː], aberginupure [opεɹ̥Ꞌʃiːnʊpʰureː], [opεɹ̥Ꞌʃiːnʊpʰyreː]
бакла́жка	plurбакла́ж|ки, ~ек, ~камf dim avбакла́га
бакла́н	m(Phalacrocorax) skarvurмсогл-ar; большо́й бакла́н (P. carbo) hiplingurмсогл-ar; длинноно́сый бакла́н (P. aristotelis) skarvur
баклу́ши	: бить баклу́шиtlm.gangaслнe-i-ifyri Ꞌ einki, dovnastaði, gangaслнe-i-iupp á Ꞌ danguldrív [taŋk-]; spilla [-tla]ir(t)tíðina burtur (тратить время)
бакс	mslangdollariмгл-ari
бактериа́льный	adj(болезнетворный) bakteriu- [-Ꞌtʰeː-]
бактери́йный	adj síбактериа́льный
бактерио́лог	mbakteriologur [-Ꞌloːk-]мсогл-ar
бактериологи́ческий	adjbakteriologiskur [-Ꞌloːk-]соглskпроф., bakteriufrøðligur [-Ꞌtʰeː-]нпглigur, bakteriu- [-Ꞌtʰeː-]
бактериоло́гия	fbakteriologi [-Ꞌkiː]ж0-irпроф., bakteriufrøði [-Ꞌtʰeː-]нпжгл-i
бактерици́дный	åstfбактерици́д|ен, ~на, ~но. ~ныadjbakteriudrepandi [-Ꞌtʰeː-]глandi
бакте́рия	fbakteria [-Ꞌtʰeː-]жгл-a
Баку́	m indeclBaku [-Ꞌkʰuː]м нескл.
бакшта́г	mskip.bakstakс0о
бакшто́в	mskip.endiмгл-iat binda bát o.a. í
бал	Prpо ба́ле,на балу́oggml.на ба́ле;plurбал|ы́, ~о́в, ~а́мmdansurмсогл-s,-ir(veitsla o.a.), dansiveitsla [-vai̯sla]жгл-a; ballс0о(dansiveitsla)@ко́нчен балtlm.hatta var so tað; ballið er búið [palːɪ eːɹ puːwɪ]исл.,шутл.
балабо́л	mtlm.síбалабо́лка
балабо́лить	балабо́л|ю, ~ишь, ~ятipfóvkm.sussaaði, hurraaði; tvætlaaði(говорить пустяки)
балабо́лка	plurбалабо́л|ки, ~ок, ~камm/ftlm.hurrikannaжгл-a, surrikannaжгл-a, sussс0о
балага́н	m1.gml.(торгoвый) skúrurмсогл-ar, (sølu)búðж0-ir2.gml.(зрелищный) leikpallur [-tl-]мсогл-ar(í fyribils búð,skúri o.tíl.)3.gml.(зрелище) (glantri)leikurмсогл-s,-ir4.fl.(шутовство и др.) glantrileikurмсогл-s,-ir, farsaжгл-a
балага́нить	балага́н|ю, ~ишь, ~ятipftlm.,atf.spælair(d)Ꞌ býtt, spæla Ꞌ klovn [kʰlɔun]ннк; fjantaaði
балага́нный	adjglantri-, farsu-,síбалага́н
балагу́р	mtlm.skemtariмгл-ari; íspegilм0осн-s,-ar, fívilм0осн-s,-arкн.(шутник)
балагу́рить	балагу́р|ю, ~ишь, ~ятipftlm.skemtaaði; komaслнo-o-ovið vittigheitumннк(говорить с шутками)
балагу́рство	ntlm.fjantс0о, skemtс0о
бала́кать	ipf tlm.snakkaaðiнеформ., sussaaði(болтать)
балала́ечник	mbalalaikaspælari [palːaꞋlai-]мгл-ari, balalaikuspælari [palːaꞋlai-]нпмгл-ari
балала́йка	plurбалала́|йки, ~ек, ~йкамfbalalaika [palːaꞋlai-]жгл-а(;0-ir)
баламу́т	mtlm.uppøsariмгл-ari
баламу́тить	баламу́чу, баламу́т|ишь, ~ятipf(pfвзбаламу́титьвзбаламу́чу, взбаламу́т|ишь, ~тят)1.что-л.(мутить) gruggaaðio-t, geraнепрo-tgruggut, rørair(d)(upp)í o-t2.pf eis.наламу́титьнабаламу́чу, набаламу́т|ишь, ~тятfl.øsair(d)Винupp; ørkymla [œɹ̥tʃʰ-]aðiВин(вызывать беспокойство)
бала́нда	fóvkm.skvatlс0опренебр.(tunn súpan), vatnskolс0опренебр, súpanarskolс0опренебр@трави́ть бала́ндуsjabbaaði, meylaaði
бала́нс1	Im1.(равновесие) balansa [-Ꞌla-]ннкжгл-а, javnvágнпж0-ir; бала́нс сил valdsjavnvágпубл., maktbalansannkжгл-а; бала́нс терро́ра terrorblansaннк, terrorjavnvág2.hand.(итог) balansa [-Ꞌla-]жгл-апроф., бухг., javniмгл-iбухг., status [sta-]мсогл-arбухг.; fíggjarjavnvágнпж0-ir; торго́вый бала́нс handilsjavnvág, handilsbalansaннк; годово́й бала́нс ársroknskapurмсогл-ir, ársuppgerðж0-ir=>подвести́@
бала́нс2	IIm kollskóg.(лесной материал) viðurмсогл-irat gera pappír av
балансёр	mlínudansariмгл-ari
баланси́р	m1.(шест) balansustong [-Ꞌla-]ннкж0-ur{o/a/e}, javnvágarstongлпж0-ur{o/a/e}2.tekn.(рычаг) vektstongж0-ur{o/a/e}3.(в часовом механизме) balansi [-Ꞌla-]мгл-i(í urum)
баланси́рование	nbalansugongd [-Ꞌla-]ннкж0-ir@баланси́рование на гра́ни войны́balansugongd [-Ꞌla-]ннкж0-irá eggini til kríggj
баланси́ровать	баланси́ру|ю, ~ешь, ~ютipf1.(сохранить равновесие) balansera [-Ꞌseː-]ннкaði, haldaслнe-i-ibalansuna [-Ꞌla-]ннк; (standaслнó-ó-aog) vigaaði, (standaслнó-ó-aog) vigaaðiá, ríðaслнei-i-i, ríðaслнei-i-iá (на краю и т.п.); баланси́ровать на гра́ни войны́ viga á á eggini til kríggj, balanseraннкá eggini til kríggj; balansera [-Ꞌseː-]ннкaði, javnvigaaði(быть в равновесии)2.(pfсбаланси́роватьсбаланси́ру|ю, ~ешь, ~ют)что-л.bókh.(подводить баланс) geraнепрo-tꞋ upp, saldera [-Ꞌteː-]aðio-tбухг.
балансиро́вка	favbalanseringж0-arспец.; балансиро́вка руля́ avbalansering av róðrinum
бала́нсовый1	Iadj(tilбала́нс I) status- [sta-]; бала́нсовый отчёт fíggjarstøðaжгл-a; годово́й бала́нсовый отчёт ársuppgerðж0-ir
бала́нсовый2	IIadj(tilбала́нс II): бала́нсовая древеси́на viðurмсогл-irat gera pappír av
балахо́н	f1.gml.(халат) kyrtilм0осн-s,-arуст.(víður og síður,sum bøndur gingu í)2.skemt.(об одежде) víð og síð klæðirсгл-iмн; пла́тье виси́т на ней как балахо́н ≈ kjólin hongur sum ein posabjølgur uttan um hana
балбе́с	mtlm.,vanv.neytс0опренебр.(drumbur), drumburмсогл-arпренебр.
балбе́сничать	ipf óvkm.spilla [-tla]ir(t)tíðina burtur
балда́	f1.óvkm.,illb.(дурак) býttlingurмсогл-arпренебр., neytс0опренебр., dylhøvd [-hœtː]с0опренебр.; dólgurмсогл-ar2.gml.(молот) stór sleggjaжгл-a@без балды́slangí (fullum [-tl-]) álvara;ему́ э́то до балды́slangtað ger honum so akkurát [-Ꞌrɔat]ннкtað sama, hann er so beint tilfriðs [-Ꞌfɹɪsː]энк; hann skítur á taðвульг.;от балды́slаngsum best ber til; eftir [εʰtː-] fummum
балдахи́н	mbaldakin [-Ꞌkʰiːːn]ннкж0-ir, seingjarhimmalм0осн-s,-ar(над кроватью тж); trónuhimmalм0осн-s,-ar, hásætishimmalлпм0осн-s,-ar(над троном тж)
балдёж	Gen, Accбалдеж|а́;plur~и́, ~е́й, ~а́мmjarg.1.(упоение) rúsurмсогл-ar; fyllskapur [fɪl̥s-]мсогл-ir(опьянение); балдёж! óført!; super!жарг.2.(смех,веселье) kætiсгл-i, stuttleikiмгл-i3.(удовольствие;праздное,приятное времяпрепровождение) avslapningннкж0-ar(расслабление); tíðsfordrívннкс0о(времяпрепровождение)
балдёжный	adjjarg.1.(вызывающий восхищение) hugtakandiглandi; óførurсогл, fantastiskur [-Ꞌtʰa-]ннксоглsk(замечательный)2.(пьяный) fullur [-tl-]согл(drukkin), skítнеск., тк неопредённоегрубо
балде́ть	ipf1.sípfобалде́ть2.pfзабалде́тьóvkm.(пьянеть) blíva fullur [-tl-]согл(ávirkaður av rúsdrekka), blíva skítнескл.грубо3.bert ipf(испытывать удовольствие) følair(d)njótilsi4.jarg.(курить марихуану) roykjair(t)marihuana [maːɹihuꞋaː-]
Балеа́рские острова́	Balearisku [paːlɪꞋaː-] oyggjarnarж0-ar{+}мн опр., Balearurnar [paːlɪꞋaː-]жгл-aмн опр.неофиц..
Балеа́ры	f plur síБалеа́рскиеострова́
балери́на	fballerina [palːɪꞋriː-]жгл-а(;0-ir), balettdansarinna [-Ꞌlεʰtːtan̊sarɪnta]жгл-а
бале́т	mbalett {ballett} [paꞋlεʰtː]ж0-ir
балетме́йстер	mbalettmeistari {ballettmeistari} [-Ꞌlεʰt-]мгл-ari
бале́тный	adjbalett- {ballett-} [-Ꞌlεʰt-]
балетома́н	mbalettomanur [-Ꞌmaː-]мсогл-arред., balettelskari [-Ꞌlεʰtː-]мгл-ari
балетома́ния	fbalettomani [-Ꞌniː]ж0-irред.
ба́лка1	Iplurба́лки, ~ок, ~камf(брус) bjálkiмгл-i, bitiмгл-i(поперечная в доме); dragari [tɹaːk-]мгл-ari(ферма); ásж0-ir(под крышей); ryggásж0-ir(конёк); а́нкерная ба́лка hanabjálki; накло́нная ба́лка sperraжгл-a; основна́я {несу́щая} ба́лка berandi bjálki; попере́чная ба́лка tvørbjálki, biti; решётчатая ба́лка gittardragari [kɪʰtːaɹtɹaːk-]; стальна́я ба́лка stálbjálki
ба́лка2	IIplurба́л|ки, ~ок, ~камf(овраг) kluftж0-ir(lítil gjógv), gjótaжгл-a, lítil gjógvж0-irнепр
Балка́нские го́ры	síБалка́ны
балка́нский	adjbalkan-, balkanskurсоглskсоглnsk,ред.; Балка́нские стра́ны Balkanlond
Балка́нский полуо́стров	Balkanс0о{дат.0}, Balkanhálvoygginж0-ar{+}опр.
Балка́ны	f plurBalkanfjøllini [-tl-]с0о{a/ø}мн
балка́рец	Gen, Accбалка́рц|а;plur~ы, ~ев, ~амmbalkarari [-Ꞌkʰaː-]мгл-ari
Балка́рия	fBalkarien [-Ꞌkʰaː-]ннкс0о{дат.0}, Balkaria [-Ꞌkʰaː-]нпс нескл.(partur avКабарди́но-Балка́рская Респу́блика)
балка́рка	plurбалка́р|ки, ~ок, ~камfbalkarari [-Ꞌkʰaː-]мгл-ari(konufólk)
балка́рский	adjbalkariskur [-Ꞌkʰaː-]соглsk
