Л	talvладья́ R, rókur
лавсто́ри	f indecl, tlm., skemt., spott.1.(любовные отношения; любовь) kærleikssøgaжгл-a, kerligheitssøgaннкжгл-a; fríggjс0о, tað at fríggja (шашни, роман)2.(фильм и др.) kærleikssøgaжгл-a, kerligheitssøgaннкжгл-a; kærleiksfilmurмсогл-ar;согл-s,-ir, kerligheitsfilmurннкмсогл-ar;согл-s,-ir(фильм)
лав-сто́ри	f indecl síлавсто́ри
лав сто́ри	f indecl síлавсто́ри
лавэ́	n indecl, koll jarg.pengarмгл-iмн
лавэ́шки	лавэ́ш|ек, ~камf indec (bert sing), dim. avлавэ́jarg. pengarмгл-iмн
ЛАГ1	I [лаг]f indeclЛи́га ара́бских госуда́рств Arabiska [-Ꞌraː-] samgongan, Arabiska [-Ꞌraː-] ligan [liːk-]
лаг2	IImloggс0о
лаг3	Im1.fakm.(промежуток времени) gloppс0о(í tíð); seinkingж0-ar(запаздывание по времени); tað at dragna afturúr [aʰtː-] (отставание)2.teld., jarg.(задержка) laggс0окомп., спец.
ла́га	f: (полова́я) ла́га undirslagс0о{a/ø}{0<>i}(bjálki)
ла́гать	ipf teld., jarg.laggaaðiкомп., спец.
ла́гер	mpilsnarølс0о
ла́герник	móvkm.o-r, ið situr í fangalegu
ла́герный	adjleir-ннк, legu-нп
ла́герь	m1.plurлагер|я́, ~е́й, ~я́мoggml.ла́гер|и, ~ей, ~ям(стоянка, учреждение) leirurннкмсогл-ar, lega [leːva]нпжгл-a; стоя́ть ла́герем liggjaслнá-ó-ií leiriннк, liggjaслнá-ó-ií leguнп; разби́ть ла́герем {стать} ла́герем sláaслнó-ó-ileirннк, setaur(t);ir(t)upp tjøldнп2.plurлагер|я́, ~е́й, ~я́м(место заключения) (fanga)leirurннкмсогл-ar, (fanga)legaнпжгл-a3.plurла́гер|и, ~ей, ~ям(группировка) leirurннкмсогл-ar; vongurмсогл-ir{+};-s,-ir{+}, bólkurмсогл-ar@де́йствовать на два ла́геряvera beggjatrællur [-tl-]ред., vera tvískinningurкн.=>концентрацио́нный
лагли́нь	mlogglínaжгл-a
ла́гман	m1.søg.(разн. должности в Исландии и на Фар. о-вах) løgmaður [lœk-]мнеприст.2.(с 1948 г. глава правительства фарерской автономии) løgmaður [lœk-]мнепр(oddamaður fyri landsstýrinum í Føroyum)
ла́гом	advskip.tvørur; á tvøran, tvørs; ла́гом к ве́тру við vindum tvørs; ла́гом у бо́рта síð um síð (um skip)
Ла́гос	mLagos [laːk-]м нескл.
лагпу́нкт	mgjøgnumfarsstaðс0о{a/ø}{0<>i}(fyri fangar, sum skulu víðari)
ла́гтинг	m1.søg.(судебный орган Норвегии и Фар. о-вов) løgting [lœʰktʰɪŋk]с0оист.2.(нижняя палата норвежского стортинга;законодательный орган Фар. о-вов) løgting [lœʰktʰɪŋk]с0о(deild í norska stórtinginum;lóggávuting í Føroyum)
лагу́на	m1.(морской залив) pollur [-tl-]мсогл-ar(við sandrivi uttanfyri)2.(у коралловых островов) laguna [-Ꞌkuː-]интжгл-a(við koralloyggjar)
лад1	IGenла́дa, ла́ду,Prpо ла́де, в ладу́; plurлад|ы́, ~о́в, ~а́мm1.(согласие, мир) sáttж0-ir; нет ла́ду в до́ме har er ikki húsfriður [hʏs-]; жить в ладу́ liva í sátt og semju; они́ в лада́х друг с дру́гом tey sita væl um sátt; tey eru væl í øgn hvørt við annað; они́ не в лада́х друг с дру́гом tey sita illa [ɪtla] um sátt; tey eru illa [ɪtla] í øgn hvørt við annað2.(способ) mátiмгл-i, hátturмсогл-ir;согл-ir{á/æ}; на друго́й лад øðrvísi, upp á ein annan máta; на ста́рый лад upp á tann gamla mátan; на ра́зные лады́ upp á ymiskar mátar, á ymsan hátt; перестро́ить всё на свой ладтжbroyta alt eftir sínum tykki, geraнепрalt eftir [εʰtː-] sínum høvdi [hœtːɪ]@идти́ {пойти́} на ладtlm.lagaaðiseg;нет ни ла́ду ни скла́дув чём-л.tað er einki fantilsiá o-m, har er hvørki høvd [hœtː] ella [εtla] haliá o-m
лад2	IIplurлад|ы́, ~о́в, ~а́мm1.(тональность) tónaartж0-irспец., проф.2.plur(у струнных инструментов) bandс0о{a/o}(á hálsi á streingjainstrumenti)3.plur(у гармоники и др.) tangentur [-Ꞌkε-]мсогл-ar(á harmoniku o.tíl.)@петь не в ладsyngja falskt [fal̥st]; онзапе́л на друго́й ладnú er annað lag komið áпог; nú er viðvent í holuniпог.
Ла́да1	IfLada [laː-]м нескл.(síЖигули́II)
ла́да2	IIfmunn.unnusti (возлюблённый)мгл-i, unnustaжгл-a(возлюблённая)
ла́дан	mroykilsiсгл-i@дыша́ть на ла́данvera komin á gravarbakkaпог.;боя́тьсяGenкак чёрт ла́данаræðastВинverri enn hin versta [vεsta]идиом.; бежа́тьот Genкак чёрт от ла́данаskýggjaaðiВинsum pestinaидиом.
ла́данка	plurла́дан|ки, ~ок, ~камfamulett [aːmʊꞋlεʰtː]ж0-ir(posi við roykilsi ella øðrum borin um hálsin)
ладе́йный	adjtalvróka-
ла́дить1	Iла́жу, ла́д|ишь, ~ятipf с кем-л.(быть в ладу) sitaur(t);ir(t)væl um sáttvið o-n; kláraaðivæl uppvið o-n; veraслнa-ó-evæl í øgnvið o-n
ла́дить2	IIла́жу, ла́д|ишь, ~ятipf1.что-л.óvkm.(приводить в порядок) orðnaaðio-tнеформ.2.(+ inf)óvkm.(намереваться) ætlaaði(o-t{+ инф.}); ла́дил в го́род е́хать eg ætlaði mær inn til býin
ла́дить3	IIIла́жу, ла́д|ишь, ~ятipf что-л.tlm.(повторять одно и то же) jabbaaðiupp í samanum o-t
ла́диться	ла́жусь, ла́д|ишься, ~ятсяipf1.bert 3. pers brúkturtlm.(удаваться) gangaслнe-i-ivæl, gangastслнe-i-ivæl; де́ло не ла́дится tað gongur illa [ɪtla] í hond2.dial., óvkm(стараться) roynair(d)3.dial., óvkm.(сговариваться) komaслнo-o-oásamt
ла́дно	Iadv1.(хорошо) væl2.(мирно) í sátt og semjuIIpart1.(хорошо) alt í lagi, fínt, ok [ɔuꞋkʰεi]неформ., ja (saman við sagnorði); íðan; íðan meðni; gott er (пусть будет так)2.(не надо,оставь): ла́дно тебе́+ infhalt so uppat [-Ꞌpʰεat] (við) at+ инф.; ла́дно вам спо́рить! haldið nú uppat [-Ꞌpʰεat] at skeldast!@ла́дно быa)conjtað er nóg ringt; ла́дно бы моро́з, ещё и ве́тер eitt er at tað er frost, men tað er eisini vindur; tað er nóg ringt at tað er frost, men tað er eisini vindur b)partfyrr enn ikki, av illum [ɪtl-]; За что ему́ плати́ть? Ла́дно бы хорошо́ рабо́тал hvat skal hann hava pengar fyri? hevði [hεijɪ] hann av illum [ɪtl-] verið vælgjørdur; hvat skal hann hava pengar fyri? hevði [hεijɪ] hann fyrr enn ikki verið vælgjørdur;ла́дно ... ноconj síла́днобы a);ла́дно же!íðan, meðni (hóttan)
ла́дный	stfла́ден, ладна́, ла́дн|о, ~ыadjtlm.1.(о фигуре) prúðurгл(vælvaksin), vælvaksinсоглосн, vælskapturсогл2.(исправный) góðurгл{+}, sterkurсогл3.(дружный) sum situr væl um sátt
Ла́дога	f: Ста́рая Ла́догаsøg.Staraja Ladoga [staːɹaija laːtoːka]м нескл.
Ла́дожское о́зеро	Ladoga [laːtoːka]с нескл., Ladogavatnið [laːtoːka-]с0o{a/ø}опр.
ладо́нь	flógviмгл-i@быть (ви́дным) как на ладо́ниliggjaслнá-ó-ipúra opin (sum sæst væl)
ладо́ши	f plur: хло́пать {бить, ударя́ть} в ладо́ши klappaaði(sum fagnaður ella fyri at sláa takt)
ла́душки	ла́душ|ек, ~камf plur barnaspæl, har klappað verður og sungið verðurГде бы́ли? - У ба́бушкиo.s.fr.
ладья́1	Iplurладьи́, ладе́й, ладья́мfgml.(лодка) báturмсогл-ar; skipс0о(судно)
ладья́2	IIplurладьи́, ладе́й, ладья́мftalv(шахматная фигура) rókurмсогл-ar(talvfólk)
ла́жа	fóvkm.,vanv.1.(обман) lumpingж0-ar2.(ерунда) møsnс0о, svassс0о
лажану́ться	лажану́сь, лажан|ёшься, ~у́тсяpfóvkm.komaслнo-o-oí rasshaftидиом., komaслнo-o-oí kløturидиом.
ла́жу	1.1. pers pres avла́дить2.1. pers pres avла́зить
лаз	mmannholс0о
ла́занье	nklintringж0-ar
лаза́нья	flasagna {lasanja} [-Ꞌsaɲja]жгл-a
лазаре́т	mlasarett [-Ꞌrεʰtː]с0о; sjúkrakamarс0осн{a/ø}(б.ч. на судне); у нас до́ма настоя́щий лазаре́тtlm.,skemt.hvør kleyv er løgst hjá okkum; øll [œtl] eru sjúk
Ла́зарь	mbíbl.Lázarus [lɔasa-]м0-ar({<>i}), Lazarus [laːsa-]м0-ar({<>i})@петь {тяну́ть} Ла́заряtlm.,spott.gremjaur(d){e/a}seg, klagaaði
ла́зать	ipftlm.síла́зить
лазе́йка	plurлазе́йки, лазе́ек, лазе́йкамf1.(отверстие) smogс0о{0<>i}, smoga [smoːva]жгл-a2.fl.(уловка) holс0о; лазе́йка в зако́не hol í lógini
ла́зер	[-зэр]m1.(устройство) lasari [laːs-] (реже[lεis-])мгл-ari2.(лучи) lasarastrálur [lεis-], [laːs-]жгл-aмн; лече́ние ла́зером lasaraviðgerð [lεisaɹavɪtʃ-], [laːsaɹavɪtʃ-]
ла́зерка	plurла́зер|ки, ~ок, ~камf tlm.fløgaжгл-a, CD [seˈteː]ннкмгл-гл
ла́зерник	m jarg.laserprintari [lεisεɹ-], [laːsεɹ-]мгл-ari
ла́зерный	adjlasara- [lεis-], [laːs-], laser- [lεis-], [laːs-]; ла́зерный при́нтер laserprintari
лазертерапе́вт	[-зэр-]mlaserterapeutur [laːsεɹtʰeːɹapʰœu-]мсогл-ar
лазертерапи́я	[-зэр-]flaserterapi [laː-]ж0-ir
ла́зить	ла́жу, ла́з|ишь, ~ятindef síлезть
лазо́ревка	plurлазо́рев|ки, ~ок, ~камf(Parus caeruleus) blámeisaннкжгл-a, blátítaлпжгл-aбиол.
лазо́ревый	adjmunn.,skald.síлазу́рный
ла́зский	adjlaziskur [laːs-]соглsk; ла́зский язы́к lazisktсприлskt
лазури́т	mlasursteinur [-Ꞌsuː]мсогл-ar, lasuritt [-Ꞌrɪʰtː]с0о
лазу́рный	stfлазу́р|ен, ~на, ~ноadjhimmalbláurгл, fagurbláurгл, asurbláur [-Ꞌsuː-]гл
лазу́рь	f1.(цвет) himmalbláttсприл, fagurbláttсприл, asurblátt [-Ꞌsuː-]сприл2.(краска) asurblá [-Ꞌsuː-] málingж0-ar
лазу́тчик	mgml.njósnariмгл-ari
ла́зящий	adj: ла́зящие расте́ния klivplantur
лай	mgoyggjс0о{+}
лайв	mjarg.live [laiv] konsert [-ˈsεɹ̥t]ж0-irнеформ., beinleiðis konsert [-ˈsεɹ̥t]ж0-ir
лайк	mlike [laik] с нескл, dámaс нескл(отметка)
ла́йка1	Iplurла́йки, ла́ек, ла́йкамf(собака)sløg av sletu-og veiðihundum, t.d. grønlendskur hundur o.a.
ла́йка2	IIf(кожа) geitarskinnс0о, glacé [-Ꞌseː]с0оспец.
ла́йкать	ipf(moment ла́йкнутьлайкн|у, ~ешь, ~ут)что-л.lika [laika]aðio-t, dámaar(d){+}o-t(отмечать лайком)
ла́йкнуть	moment síла́йкать
ла́йковый	adjgeitarskins-, glacé- [-Ꞌseː-]; ла́йковые перча́тки glacéhandskar [-Ꞌseːhan̊s-]
ла́йкра	felastan [-ˈstaːn]с0о{0<>i}
лайм	mlime [laim]ж0-ir,limefrukt [laim-]ж0-ir
ла́ймовый	adjlime- [lajm]
ла́йнер	m1.(судно) stórt skipс0о; linari [lain-]мгл-ariпроф.(б.ч. пассажирский)2.(самолёт) (stórt) flogfarс0о{a/ø}
ла́йнсмен	m ítr.linjuverjiмгл-iспорт.,офиц.
лайтбо́кс	mljóskassiмгл-i
лайт-конта́кт	m ítr. slag av kickboksing
лайфста́йл	m tlm. lívsstílurмсогл-ar
лайфха́к	m slanggóð ráð, snildir(at hjálpa móti tíðarspelli o.ø.); lifehack [laifhaʰkː]с0оаргоред.
лайфха́кер	m slang o-r, ið leitar eftir serligum viðurskiftum sær til fyrimunar
лайчо́нок	plurлайча́т|а, ~, ~амmhvølpurмсогл-arav slagnum ла́йка (sí)
лак1	Im(народ)síла́кец
лак2	IIm(раствор) lakkс0о; fernisс0о(б.ч. для полов); лак для ногте́й neglalakk, naglalakkнп; лак для воло́с hárlakk =>покры́ть3
лака́ть	ipf что-л.leppair(t)o-t
лаке́й	m1.(слуга) lakeiur [-Ꞌkʰai-]интмсогл-ar, tænariмгл-ari(í fínum húsum o.tíl.)2.fl., vanv.(приспешник,подхалим) skutilsveinurмсогл-arпренебр., ørindasveinurмсогл-arпренебр., leigusveinurмсогл-arпренебр., lakeiur [-Ꞌkʰai-]энкмсогл-arпрезр.
лаке́йский	adj1.(клаке́й 1) lakeia- [-Ꞌkʰai-]инт, tænara-2.fl.,niðr.(раболепный,угодливый) træla-, undirbrotligurглigur; лаке́йская душа́ trælalyndi
лаке́йство	nvanv.undirbrotligheitж0-ir, trælalyndiсгл-i
лаке́йствовать	лаке́йству|ю, ~ешь, ~ютipf(перед кем-л.)vanv.sleiskaaði(fyri o-m), krúpaслнey-u-o(fyri o-m)
ла́кец	Gen, Accла́кц|а; plur~ы, ~ев, ~амmlakari [laː-]мгл-ari, laki [laː-]мгл-i
лакиро́ванный	Ipartic avлакирова́тьIIlakk-; лакиро́ванные ту́фли lakkskógvar
лакирова́ть	лакиру́|ю,~ешь, ~ютipf(pfотлакирова́тьотлакиру́|ю, ~ешь, ~ют)что-л.1.(покрывать лаком) lakkera [-Ꞌkʰeː-]aðio-t, lakkaнпaði; fernisera [fεɹniꞋseː-]aðio-t,smyrjaнепрo-tvið fernisi (ос. полы)2.fl.(приукрашивать) pyntaaðiupp á o-t, fríðkaaðio-t3.fl., jarg.(выпивать алкоголь) drekkaслнa-u-u(rúsdrekka)4.fl., jarg. что-л. чем-л.(заедать) etaслнá-ó-eo-t aftur[aʰtː-]við o-m;drekkaслнa-u-uo-t aftur[aʰtː-]við o-m, skolaaðio-t niður við o-m(запивать)
лакиро́вка	f1.(действие) lakkering [-Ꞌkʰeː-]ж0-ar; fernisering [fεɹniꞋseː-]ж0-ar2.(слой лака) lakkс0о; fernisс0о3.fl.(приукрашение) tað at pynta upp á o-t, tað at geva ov [ɔ] vakra mynd avo-m
лакиро́вщик	m1. (специалист по лакировке) lakkerari [-ˈкʰеː-]мгл-ari2.fl., tlm., atf.(тот. кто приукрашивает что-л.)o-r, sum pyntar uppá o-t, o-r, sum fríðkarum o-t(ger tað betri, enn tað er)
Лаккади́вские острова́	Lakkadivoyggjar [-ˈtiːv-]нпж0-ar{+}
ла́кмус	mlakmusс0о
ла́кмусовый	adjlakmus-; ла́кмусовая бума́га lakmuspapír
ла́ковый	adjlakk-
ла́комиться	ла́комлюсь, ла́ком|ишься, ~ятсяipf(pfпола́комитьсяпола́комлюсь, пола́ком|ишься, ~ятся)чем-л.geraнепрsær til góðarav o-m
ла́комка	plurла́ком|ки, ~ок, ~камf, m o-r, ið er óður eftir [εʰtː-] góðgæti [kœkεa-]
ла́комство	n1.(сласти) góðgæti [kœkεa-]сгл-i, slikkarí [-Ꞌrʊi]ннкс0о2.(лакомое блюдо) góðbiti [kœp-]мгл-i, leskiligur bitiмгл-i,o-tforkunnigt
ла́комый	stfла́ком, ~а, ~о, ~ыadj1.(вкусный) lekkurннксоглосн, átuligurглigur2.до чего-л., на что-л.(падкий) vera óðurглeftir[εʰtː-]o-m@ла́комый кусо́к{кусо́чек}tlm.,atf.gloypubitiмгл-i; funnin fressurмсогл-ar
лакони́зм	mstutt og greið orðingж0-ar, lakonisma [-Ꞌnɪ-]интжгл-a
лакони́ческий	adj síлакони́чный
лакони́чность	fstutt og greið orðingж0-ar, lakonisma [-Ꞌnɪ-]интжгл-a
лакони́чный	stfлакони́ч|ен, ~на, ~но, ~ныadjstutturсоглog greiðurгл, stuttorðaðurглaður, lakoniskur [-Ꞌkʰoː-]интсоглsk
лакри́ца	f1.síлакри́чник2.(вещество) lakres [-Ꞌkʰɹeːs]с0о
лакри́чник	m(Glycyrrhiza glabra) lakresplanta [-Ꞌkʰɹeː-]жгл-a
ла́кский	adjlakiskur [laːk-]соглsk;ла́кский язы́к lakisktсприлskt
лакта́ция	fmyndanж0-irog úrskiljingж0-arav mjólk
лакто́за	fmjólkarsukurс0осн, laktosa [-Ꞌtʰoː-]жгл-a
лаку́на	fgloppс0о(í teksti o. tíl.)
ла́ма1	If(Lama) lama [laː-]жгл-a(;0-ir)
ла́ма2	IIm(буддийский монах) lama [laː-]мгл-гл(buddhistiskur munkur)
ламаи́зм	mlamaisma [laːmaꞋɪ-]жгл-a
ламаи́ст	mlamaistur [laːmaꞋɪ-]мсогл-ar
Ла-Ма́нш	mKanalin [-Ꞌnaː-]ннкж0-irопр.проф., Tann eingilska kanalin [-Ꞌnaː-]ннкж0-irопр.проф., Ermarsundлпс0о
ламба́да	flambada [-ˈpaː-]м нескл
ламе́ль	flamell [-ˈmεlː]ж0-ir
ла́мер	m jarg.sibbiмгл-i, dólgurмсогл-ar(serstakliga ein, ið hvørki tímir ella dugir at læra um teldur o.tíl.)
ламина́рия	f(Laminaria) tariмгл-i; (L. hyperborea) tonglatariмгл-i
ламина́т	mlaminat [laːmiˈnaːt]с0о
ламина́тный	adjlamineraður [laːmiˈneː-]глaður
ла́мна	f síаку́ла, (атланти́ческая) се́льдевая
ла́мпа	f1.(осветительный прибор) lampaжгл-aконтро́льная ла́мпа kontrolllampa [-Ꞌtʰrɔl-]2.(радио) rørс0о(í radio o.tíl.)3.síла́мпочка=>вися́чий,дневно́й1
лампа́да	fikonlampa [-Ꞌkʰoːn-]жгл-a(oljulampa framman fyri ikon)
лампа́дка	plurлампа́д|ки, ~ок, ~камf síлампа́да
лампа́дный	adjkonlampu- [-Ꞌkʰoːn-]
лампани́кт	m(Lampanyctus macdonaldi) MacDonalds [maʰkꞋtɔnː-] prikkafiskurмсогл-ar(verður eis. brúkt um Lampanyctus intricarius)
лампа́с	mstrípaжгл-a(á uniformsbuksum)
лампио́н	mpappírslampaжгл-a, glaslampaжгл-a
ла́мповый	adj1.(кла́мпа 1) lampu- 2.(радио) rør- (í radio o.ø.)
ла́мпочка	plurла́мпоч|ки, ~ек, ~камf1.dim avла́мпа2.(электрическая) (ljós)peraжгл-a@ему́ э́тодо ла́мпочкиóvkm.sektin liggur á tí; hann leggur ein hundans lort í taðгрубо., hann skítur á taðгрубо
ламу́т	mgml.síэве́н
ланге́т	mstoktar lundirж0-irмн
лангу́ст	m(Palinurus vulgaris) langustur [-Ꞌkʊ-]м0осн-s,-ar
лангу́ста	f síлангу́ст
лангусти́н	m(Nephros norvegicus) jomfrúhummariмгл-ari, hummariмгл-ari
ландскне́хт	msøg.leiguhermaðurмнепр
ландта́г	mlanddagurмсогл-ar{+}(í týskum deilríkjum)
ландша́фт	m1.(часть земной поверхности) lendiсгл-i, landslag [lan̊s-]с0о{a/ø}{0<>i}2.(пейзаж) landslag [lan̊s-]с0о{a/ø}{0<>i}, landskap [lan̊s-]ннкс0о
ла́ндыш	m(Convallaria) liljukonvallurмсогл-ar
лани́та	f gml.kinnж0-arб.ч.поэт.,выс.
ланки́ец	Gen, Accланки́йц|а; plur~ы, ~ев, ~амmsrilankabúgvi [-Ꞌla-]мгл-i
ланки́йский	adjsrilankiskur [-Ꞌlaŋ̊kɪ-]соглsk
ланоли́н	mlanolin [laːnoꞋliːn]с0о({0<>i})
ланце́т	mlansett [-Ꞌsεʰtː]ж0-ir
ланце́тник	m djór úr ættini Branchiostomidae(Branchiostoma sp.) (en.lancelet, da.lancetfisk)
ланце́тный	1.(кланце́т) lansett- [-Ꞌsεʰ-tː]2.бот. síланцетови́дный
ланцетови́дный	stf ланцетови́д|ен, ~на, ~но, ~ныadj adjváknvaksinсоглоснбот (о листьях)
ланч	mmorgunmaturмсогл-ir, frokostннкжo-irспец., frokosturннкмсогл-arспец.
лань	f(Dama dama) dádýrс0о
Лаокoо́н	mmyt.Laokoon [-Ꞌoːk-]м0{0<>i}
Лао́с	mLaos [laː-]с неск.
лао́сец	Gen, Accлао́сц|а;plur~ы, ~ев, ~амmlaotur [-Ꞌoː-]мсогл-ar, laosbúgvi [laː-]мгл-i
лао́ска	plurлао́с|ки, ~ок, ~камflaotur [-Ꞌoː-]мсогл-ar, laosbúgvi [laː-]мгл-i(konufólk)
лао́сский	adjlaotiskur [-Ꞌoː-]соглsk, laoskur [laː-]лпсоглsk; лао́сский язы́к laotisktсприлskt
лаотя́нский	adj síлао́сский
ла́па	f1.labbiмгл-i; (у птиц и др.), fóturмнепр(á fugli o.ø.);óvkm.(рука) hondж0-ur{o/a/e}, (нога) fóturмнепр2.(якоря) (akkers)flíggjс0о{0<>i}3.(фланец) flansi [flaŋ̊ksɪ]мгл-i(at spenna fast við o.a.)4.(ветвь) greinж0-ar;0-ir(av nálatræi)@попа́сть(к) кому-л.в ла́пыtlm.,atf.koma í klørnar [kʰlœtn-]á o-m;быть в ла́паху кого-л.vera í klónumhjá[tʃ-]o-m;наложи́ть свою́ ла́пуна что-л.tlm.,atf.leggjao-t inn undir seg;положи́ть {дать} в {на}ла́пукому-л.tlm.gevaслнa-ó-io-mmutur, mutraaðio-n;брать в ла́пуóvkm.taka ímóti [-Ꞌmɔu-] mutri;соса́ть ла́пуspenna reiminaперен.=>ку́рица@,подня́ться7
лапароскопи́я	flaparoskopi [-pʰaːɹoskoˈpʰiː]ж0-irмед.; kikaraoperatión [-ʃɔun]ннкж0-ir, kikaraskurðviðgerð [-vɪtʃeːɹ]нпж0-ir(av undirlívinum)
Ла-Па́с	mLa Paz [laꞋpʰasː]м несл.
ла́пать	ipf Accóvkm.sláaслнó-ó-iklørnar [kʰlœtn-]í Вин, trívaслнei-i-ií Вин
Лаперу́з	síПроли́вЛаперу́за
лапида́рность	fbókl.stutt og greið orðingж0-ar
лапида́рный	stfлапида́р|ен, ~на, ~но, ~ныadjbókl.stuttorðaðurглaður, stutturсоглog fyndigurглigur
ла́пка	plurла́п|ки, ~ок, ~камf1.dim avла́па2.tekn.(устройство) klógvжнепр3.(верёвка) hanafóturмнепр(endar); ла́пка распо́рной доски́ hanafótur á trollemmi@гуси́ная ла́пкаsíлапча́тка;ходить на за́дних ла́пкахперед кем-л.rennaслнa-u-uá leistumfyri o-mидиом., ganga á leistumfyri o-mидиом.;и ла́пки кве́рхуtlm.,skemt.o-rgevst á hondumидиом.,o-rgevur skarvin yvirпог.,o-rleggur konginпог.=>за́ячий@
лапла́ндец	plurлапла́ндц|ы, ~ев, ~амmlapplendingurмсогл-ar, lappiмгл-i
Лапла́ндия	fLapplandс0о{a/o}
лапла́ндка	plurлапла́нд|ки, ~ок, ~камflapplendingurмсогл-ar, lappiмгл-i(konufólk)
Ла-Пла́та	fLa Plata [laꞋpʰlaː-]ж нескл.
