т.	1.това́рищ2.том3.то́нна4.телефо́н5.тира́ж6.то́чка7.ты́сяча
табло́ид	mtabloidavís [tʰaːploˈiːt-]ж0-irспец.
табльдо́т	mtable d'hôte [tʰa:pɪlˈto:t]с нескл(slag av bíløgdum borði)
та́бор	m1.(цыган) sigoynaraflokkur [-Ꞌkɔi-]мсогл-ar; (sigoynara)lega ([-Ꞌkɔinaɹaleːva])мгл-a, (sigoynara)leirurннк([-Ꞌkɔi-])мсогл-ar(стан)2.(стоянка) lega [leːva]мгл-a, leirurннкмсогл-ar3.søg.(войсковой лагерь) hermannalega [-leːva]мгл-a
табу́	n indecltabu [tʰaːpu] (реже[-ˈpuː])с0о; наложи́ть табу́на что-л.leggjaнепрtabuá o-t
табуи́рование	n bókl.(чего-л.) tabuisering [tʰapuːwiˈseː-]интж0-ar(av o-m)
табуи́рованный	stfтабуи́рован, ~а, ~о, ~ыpartic avтабуи́ровать tabuiseraður [tʰapuːwiˈseː-]интглaður, sum tabu [tʰaːpu] er lagt á
табуи́ровать	табуи́ру|ю, ~ешь, ~ютipf/pftabuisera [tʰapu:wiˈseː-]интaðio-t, leggjaнепрtabu [tʰaːpu]á o-t
табу́н	Genтабун|а́; plur~ы́, ~о́в, ~а́мm1.(лошадей,скота) flokkurмсогл-ar, flotiмгл-i(av rossum,neytum o.ø.); flokkurмсогл-ar(av fugli) (птиц)2.tlm.,atf.(толпа) flokkurмсогл-ar, riðilм0осн
табу́нщик	m o-r, ið situr hjá rossum
табуре́т	mkrakkurмсогл-ar
табуре́тка	plurтабуре́т|ки, ~ок, ~камf síтабуре́т
таве́рна	fvertshúsс0о, krógvж0-ir{+}(í summum vestureuropeiskum londum, men eisini sum navn á summum vertshúsum o.tíl. í Russlandi), taverna [-Ꞌvε-]жгл-a(;0-ir)(в южной Европе)
та́волга	f(Filipendula) mjaðarurtж0-ir
Таво́р	m síФаво́рI
таври́ть	тавр|ю́, ~и́шь, ~я́тipf(pfзатаври́тьзатавр|ю́, ~и́шь, ~я́т)Accbrennimerkjair(t)Вин
Та́врия	f søg.Tauria [tʰauɹia]с нескл.(gamalt navn á Krim og landinum beint norðanfyri)
тавро́	plurта́вра, тавр, тавра́мn1.(клеймо) brennimerkiсгл-i2.(орудие) brennijarn [-tn]с0о{a/ø}
тавро́вый	adjT-skapaðurглaður, T-; тавро́вая ба́лка T-bjálki
тавтологи́ческий	adjtautologiskur [tʰautoꞋloːk-]соглskспец., проф., tvísagnarligurлпглigur, tvísagnar-лп
тавтоло́гия	ftautologi [ˌtʰautoloꞋkiː]ж0-irспец., проф., tvísøgnлпж0-ir{ø/a}
тага́н	Genтаган|а́; plur~ы́, ~о́в, ~а́мmtrífóturмнепр
Таганро́г	mTaganrog [tʰaːkanꞋrɔkː]м0{дат.0}
таджи́к	mtadjikur {tadsjikur} [-Ꞌtʃɪː]мсогл-ar, tadjikari {tadsjikari} [-Ꞌtʃɪː-]мгл-ari
Таджикиста́н	mTadjikistan [tʰaꞋtʃɪːki-]с0{дат.0}, Tadsjikistan [tʰaꞋtʃɪːki-]с0{дат.0}
Таджи́кская Сове́тская Социалисти́ческая Респу́блика	sovjet.Tadjikiska {Tadsjikiska} [-Ꞌtʃiːkɪ-] sovjetska [sɔujεska] sosialistiska [-Ꞌlɪ-] lýðveldið
таджи́кский	adjtadjikiskur [-Ꞌtʃiːkɪ-] {tadsjikiskur [-Ꞌtʃiːkɪ-]}соглsk; таджи́кский язы́к tadjikiskt {tadsjikiskt}сприлskt
таджи́чка	plurтаджи́ч|ки, ~ек, ~камftadjikur {tadsjikur} [-Ꞌtʃɪː-]мсогл-ar, tadjikari {tadsjikari} [-Ꞌtʃɪː-]мгл-ari(konufólk)
таёжник	mtajgabúgvi [tʰaika-]мгл-i,síтайга́
таёжный	adjtajga- [tʰaika-],síта́йга́
таз1	IPrpв тазу́;plurтаз|ы́, ~о́в, ~а́мm(сосуд) fatс0о{a/ø}; baljaжгл-a(для мытья)
таз2	IIPrpв та́зе, в тазу́; plurтаз|ы́, ~о́в, ~а́мmanat.(часть скелета) kokaжгл-a
та́зик	m dim avтаз I
тазобе́дренный	adj: тазобе́дренный суста́в mjadnarliður
та́зовый	adjkoku-
Таила́нд	mThailand [tʰai-]с0о{a/o}, Teilandлпс0о{a/o}
таила́ндец	Gen, Accтаила́ндц|а[-нц-]; plur~ы, ~ев, ~амmthailendingur [tʰai-]мсогл-ar, teilendingurлпмсогл-ar
таила́ндский	adjthailendskur [tʰailεn̊s-]соглndsk, teilendskur [-lεn̊s-]лпсоглndsk
таи́нственность	f1.(ктаи́нственный 1) hulinskapurмсогл-ir2.(секретность) gátuføriсгл-iкн., dulurмсогл-arкн., mystikkur [mʏꞋstɪ-]ннкмсогл-ar
таи́нственный	stfтаи́нственogтаи́нственен, таинственн|а, ~о, ~ыadj1.(заключающий в себе тайну) hulinсоглосн, hulisligurглigur; с таи́нственным ви́дом hulin á at líta2.(секретный) duldarfullur [-tl-]соглкн.; gátuførurсоглкн.; mystiskurннксоглsk
та́инство	n1.rel.(обряд) sakramenti [saːkɹaꞋmε-]сгл-i2.gml.,bókl.síта́йна
Таи́ти	m indeclTahiti [-Ꞌhiːti]ж нескл.
таи́ть	та|ю́, ~и́шь, ~я́тipf1.что-л.(от кого-л.) (скрывать) dyljaur(d){y/u}o-t(fyri o-m), krógvaaðio-t(fyri o-m), haldaслнe-i-io-tdult (fyri o-m); таи́тьчто-л.в душе́ beraслнa-ó-oo-tinni við seg sjálvan2.bert 3. pers brúktur что-л.(в себе) (заключать в себе) førair(d)o-tvið sær, inniberaннкслнa-ó-oo-t3.: таи́ть не́навистьк Datberaслнa-ó-ohaturtil Вин=>грех@,зло́ба
таи́ться	та|ю́сь, ~и́шься, ~я́тсяipf1.(скрываться, прятаться) krógvaaðiseg2.(скрываяь от других) dyljaur(d){y/u}o-t; не тая́сь uttan at dylja nakað3.bert 3. pers brúktur(быть,иметься)в чём-л.beraслнa-ó-ovið sær, inniberaннкслнa-ó-o
тайбо́кс	mthaiboksing [tʰai-]жо-ar
тай-бо́кс	m síтайбо́кс
тайбоксёр	mthaiboksari [tʰai-]мгл-ari
тай-боксёр	m síтайбоксёр
Тайбэ́й	mTaipei [tʰaiꞋpʰεi]м нескл.
Тайва́нь	m1.(остров) Taiwan [tʰaivan]ж нескл.(oyggj), Teivanлпж нескл.(oyggj)2.(государство) Taiwan [tʰaivan]с0o{дат.0}(land), Teivanлпс0o{дат.0}нескл.(land)
Тайва́ньский проли́в	Taiwanstretið [tʰaivan-]с0oопр.проф., Teivansundiðс0oопр.
тайга́	ftajga [tʰaika]жгл-a(;0-ir)(tøtt,ógongd nálaskóg í Sibiria o.a.)
тайко́м	adví loyndumнп, í duldumкн., loyniligaнп, hemmiligaннк; тайко́мот кого-л.uttan ato-rveit av tí, upp á nakkaná o-mидиом.; уйти́ тайко́м sleppa sær avstað [aꞋstεa]; он пьёт тайко́мтжhann er gardinpimpari [-Ꞌtiːn-]энкшутл.
тайм	mumfarс0о{a/ø}(í ítrótti)
тайм-а́ут	Genтайм-а́утаmtime-out [tʰaimꞋaut]с0о{0<>i}спорт., leikbráс0о{0<>i}спорт.
тайме́нь	m(Hucho tajmen) taimenlaksur [tʰaimεn-]мсогл-ar
та́ймер	mtimari [tʰaim-]мгл-ari
та́йминг	mtiming [tʰaimɪŋk]ннкж0-ar
таймла́пс	mtimelapse [tʰaimlaʰps]с0о{0<>i}спец., проф., tíðartódnлпж0-ir
тайм-ча́ртер	[-тэр]mtime charter [tʰaimtʃʰaɹ̥tεɹ]с0{дат.0}мор.
Таймы́р	mTajmyrhálvoyggin [tʰaiꞋmyːɹ-]ж0-arопр., Tajmyrnesið [tʰaiꞋmyːɹ-]лпс0оопр.
та́йна1	Ifhemmiligheitннкж0-ir, loyndarmálнпс0о, loynimálнпс0о, duldarmálнпс0о; loynaжгл-a, dulsmálс0о(секрет); госуда́рственная та́йна ríkisloyndarmál; глубо́кая та́йна stórt loyndarmál; храни́ть та́йну varðveita eitt loyndarmál; (со)держа́ть {храни́ть}что-л.в та́йне haldao-themmiligtннк, halda okkurt loyniligtнп; в та́йнеот кого-л.uttan ato-rveit av tí; та́йна перепи́ски brævatøgnж0-ir{ø/a}; вы́дать {раскры́ть} та́йну avdúka eitt loyndarmálнп; не де́лать та́йны изчего-л.ikki dylja fyrio-m; та́йна его́ успе́ха hemmiligheitннкvið hansara succes [sʏʰkꞋseː]ннк@не та́йна, что... tað er einki duslmál, at ...; tað er eingin loyna, at ...; tað er ikki yvir at dylja, at ... =>враче́бный,дове́рить3
та́йна2	IIf síта́йны
тайни́к	Genтайник|а́; plur~и́, ~о́в, ~а́мmskjólс0о; goymistaðurмсогл-ir{0<>i};с0о{a/ø}{0<>i}(тайный склад)@в тайника́х души́ {се́рдца}innast inni
та́йно	adví loyndum, í duldum, loyniliga, hemmiligaннк
та́йнопись	floyniskriftж0-ir
та́йны	та́ин, та́йнамf plur: святы́е та́йны altarsins sakramenti [saːkɹaꞋmε-]сгл-i
та́йный	adj1.(составляющий тайну) hemmiligurннкглigur, loyniligurглigur, loyni-; та́йный догово́р loynilig avtala; та́йное о́бщество loynifelag; та́йный язы́к hemmiligtннкmál2.(скрытый,таящий) duldurсогл; та́йная мечта́ duldur dreymur3.: та́йный сове́тникsøg.geheimiráð [keꞋhai-]с0оист., loyniráðс0окн., ист.(3. stig á tignastiganum;í Russlandi til 1917) =>ве́черя
та́йский	adj thailendskur [tʰailεn̊s-]соглndsk, teilendskur [-lεn̊s-]лпсоглndsk; tai- [tʰai-]; та́йский бокс taiboksing; та́йский масса́ж taimassasja [-masaːʃa]
тайфу́н	mtyfon [tʰyꞋfoːn]ж0-ir
так	Iadv1.(таким образом) so, soleiðis, upp á ein sovorðnan máta; так расска́зывал, что все смея́лись hann fortaldi [-Ꞌtʰa-]ннкsoleiðis, at øll [œtl] flentu; де́лать так, как ну́жно gera (soleiðis), sum ein eigur; gera (so), sum neyðugt er; так не должно́ быть soleiðis skal tað ikki vera, soleiðis eigur tað ikki at vera; сде́лать так же gera upp á sama máta; де́ло обстои́т так tað veit soleiðis við við hesum málinum; он сде́лал так: hann gjørdi soleiðis; он так и сде́лал tað var eisini tað, hann gjørdi; случи́лось так, что ...тжtað vildi soleiðis til, at ...; письмо́ звучи́т так brævið ljóðar soleiðis; е́сли {раз} так er tað so ...; um so er ... (не всегда переводится или переводится разными оборотами); раз так, я оста́нусь so verði eg verandi, meðni; он поступи́л так, как ему́ веле́ли hann gjørdi, sum hann var biðin; пусть так и бу́дет! lat tað so ver(ð)a so; так ли? ella [εtla] hvussu?; er tað so?; не так ли? er (tað) ikki (so)?; она́ согла́сна, не так ли? hon er samd, er hon ikki?; hon er samd, ha [haː]?; так же upp á sama máta, á sama háttкн.; и вам так же! í líka máta!; somuleiðis! (ответ на пожелание)2.(правильно) rætt, beint; не так a) (иначе) øðrvísi; b) (неправильно) skeivt; так я говорю́? sigi eg beint?, er tað beint, sum eg sigi?; мы говори́м не так vit siga tað ørðvísi, vit siga tað upp á ein annan máta; ты не так сде́лал э́то tú hevur gjørt tað skeivt; tú hevur ikki gjørt tað beint; tú hevur gjørt tað upp á skeivan máta; здесь что-то не так her er okkurt galið, her er okkurt áfatt; her er okkurt, sum tað ikki eigur at vera; her ruggar ikki rættидиом.3.(настолько) so; здесь так ти́хо her er so stilt; доро́га так плоха́, что ... vegurin er ro ringur, at ...; как же так? hvussu ber tað til?4.(в таком случае) so; е́сли ты не пойдёшь, так он пойдёт vissiннкtú ikki fert, so fer hann; когда́ речь идёт о деньга́х, так ... tá talan er um pengar, so...; tá talan er um pengar, tá ...IIpart1.(примерно) umleið, okkurt um; einir +числ.; лет так семь наза́д fyri einum sjey árum síðani; eini sjey ár herfyri [-Ꞌfiː-]2.(например) til dømis, eitt nú; так, он никогда́ не е́здит на такси́ eitt nú koyrir hann ongantíð við taxa [tʰaʰksa]3.(случайно и даром) bara soleiðis; so nøkulunda, toluliga (ничего особенного); э́тот певе́ц так себе́ hesin sangarin [saŋk-] er so nøkulunda; hesin sangarin [saŋk-] er einki serligt; что с тобо́й? - Так, ничего́ Hvat bagir tær? - Nei, einki soleiðis; nei, einki serligt; что ты пришёл? - Про́сто так {Да так} Hví ert tú komin? - Bara soleiðis, bara sum ellarsэнкнеформ.; он зашёл к нам про́сто так hann kom bara soleiðsnarнеформ.inn á gólvið; она́ сказа́ла э́то про́сто так hon segði tað bara so hissini, hon segði tað bara soleiðsniнеформ., hon segði tað bara sum ellarsэнкнеформ.; он силён в фи́зике? - Так себе́ Dugir hann væl í fysikk? - So nøkulunda; так э́то не пройдёт tað stendur ikki við hetta; э́то ему́ так не пройдёт hann sleppur ikki soleiðis (undan (tí)); боле́знь не пройдёт так sjúkan fer ikki upp á henda mátan, sjúkan fer ikki við hetta lag4.(следовательно, значит) sostatt, so ... meðni, altso [al̥soː]или не переводится; так ты его́ зна́ешь? so tú kennir hann, (meðni)?; tú kennir hann altso [al̥soː]?5.intensja; так, э́то он ja, tað er hann6.intenssum ber av; vorðið sum; вот э́то маши́на, так маши́на hetta er vorðið sum bilur7.ná [nɔː]ннк; так о чём я говори́л? ná, hvat var tað eg tosaði um?; так е́дем? ná, skulu vit fara?; так как же вас зову́т? hvussu var tað nú, tygum eita?IIIconj1.(тогда) so; е́хать так е́хать skulu vit (endiliga) fara, so lat okkum fara; не сего́дня, так за́втра um ikki í dag, so í morgin2.(но) men; (но) пое́хал бы, так де́нег нет eg vildi fegin farið, men eg eigi ongar pengarIVparentá ja [ajεa]; so so; eg ˈmeini ˈtað@за та́кóvkm.fyri einki, gratis [kɹaːtɪs]ннк;так какconjtí; vegna tess at...кн., офиц.; он не пошёл с на́ми, так как он был за́нят hann kom ikki við okkum, tí hann var upptikinннк;так чтоconjso; я не хочу́ идти́ туда́, так что не жди меня́ eg havi ikki hug at fara hagar, so tú skalt ikki bíða eftir [εʰtː-] mær;так что́быconjfyri at;не так ли? er tað ikki so?; passar tað ikki?; ты ведь э́того не зна́ешь, не так ли?тжtú veitst [vai̯st] tað ikki, gert tú?; ú veitst [vai̯st] tað ikki, ha [haː]?;так ... какeins ... og; так я́рко как со́лнце so bjartur sum sólin, eins bjartur og sólinнп;и такsum er, fyriuttan [-Ꞌʊʰtː-]; э́то я и так зна́ю hetta veit eg sum er; hetta visti eg frammanundan; я и так уста́л, а тут ещё собра́ние eg eri móður, sum er, og so er fundur harafturat [-atʰɹεat-];как бы не так!óvkm.eg kann ikki ætla!ирон.;та́к бы(и) пое́хал! so skuldi tú eisini farið!;так во́тíðan meðni; íðan so;та́к и ...слёзы так и льют tárini runnu; снег так и ва́лит hann mylur kavan niður;так и... (не иначе) я так {так я} и знал tað Ꞌ visti eg altíð; eg Ꞌ visti tað altíð; tað var tað, eg Ꞌ visti; я так {так я} и ду́мал tað var tað, eg helt; так и знай eitt skalt tú vita, gloym ikki eitt; (выражает итог): я так и не узна́л, как ... eg fekk tað heldur ongantíð at vita; он так и не пришёл hann kom ongantíð; hann kom heldur ikki; она́ так и не написа́ла мне из Му́рманска hon skrivaði slett ikki til mín úr Murmansk; hon skrivaði heldur ikki til mín úr Murmansk (soleiðis,sum hon hevði sagt,hon fór at gera);так и так (мол)(tað) er so og so;так на такóvkm.: поменя́ться так на так geraнепрjavnbýti;так не́т (же)conj tlm.ikki talan um, kortanei;так то́лькоtlm.bara soleiðsnarнеформ., einki soleiðis;так-то (оно́) та́к, но (да)tlm.tað er so, men ....;е́сли такum so er;вот так! a) (хвалебно) hatta er rætt!; hygga síggj!; ikki eiti á!; b) (пренебрежительно) ikki eiti á!; tað skal eg halda (við)!;не так, что́быikki so at skilja, at...; ikki so, at ...; ikki tí, at ...;так нет (же)slett ikki, ikki talingur um =>быть@,да́лее@,естьII @,ина́че@,как@,назва́тьI @,пройти́@,про́сто@,себе́I @,сказа́ть@,сяк,то́чноI I 1,ужII II,что́бы@
такела́ж	m1.skip.(совокупность снастей) rigningurмсогл-ar; бегу́чий такела́ж leypandi rigningur; стоя́чий такела́ж standandi rigningur2.(для подъёма) taljaжгл-a(at lyfta við) (blokkur og tog)
такела́жник	mriggariмгл-ari
та́кже	adveisini; hartil, harafturat [-tː-] (к тому же); somuleiðis (в равной мере); та́кже не heldur ikki; и тебе́ {вам} та́кже! í líka máta!; somuleiðis!; он та́кже пое́дет hann fer eisini; он та́кже не пое́дет hann fer heldur ikki
(-)таки	parttlm.allíkavæl [aꞋlʊi-]ннк, kortini; не зва́ли его́, таки пришёл hann var ikki boðin, men kom allíkavælннк; я-таки скажу́ ему́ всё eg ætli mær allíkavælннкat fortelja [-Ꞌtʰε-] honum alt
тако́в	таков|а́, ~о́, ~ы́pronsoleiðis; таково́ на́ше мне́ние tað er okkara meining; все они́ таковы́ soleiðis eru tey øll [œtl]; такова́ жизнь soleiðis er lívið; он не тако́в, что́бы сде́лать э́то soleiðis er hann ikki, at hann fer at gera tað,sbr. eis.тако́й@и был тако́вtlm.og burtur var hann =>поп@
таково́й	prongml.,alm.hesin, sovorðin; е́сли таковы́е име́ются um nakrir eru (til); таково́е бы́ло полу́чено 20-ого э́того ме́сяца hetta varð fingið 20. í hesum mánaði [mɔana]@как таково́йsum so; í sjálvum sær
тако́вский	adjóvkm.,spott.,vanv.: не тако́вский он челове́к hann er ikki tann, sum ...; не на тако́вского напа́ли eg eri ikki føddur í gjár, eg eri ikki heilt fyri ongum
тако́й	1.pron(именно этот,подобный данному) sovorðin; tílíkur; slíkur; тако́е пла́тье (как э́то) ein sovorðin kjóli (sum hesin); тако́го некраси́вого челове́ка я никогда́ не вида́л so ljótan mann havi eg ongantíð sæð;тжljótari mann havi eg ikki sæð; он тако́й лгун hann er ein sovorðin lygnari; он тако́й, каки́м был всегда́ hann er tann sami, sum hann altíð hevur verið; hann er, eins og hann altíð hevur verið; она́ всегда́ была́ тако́й то́лстой a) hon hevur altíð verið so tjúkk; b) (усилительно) hon hevur altíð verið líka tjúkk2.pron: тако́й же tann sami; ты всё тако́й же tú ert tann sami; она́ всё така́я же то́лстая hon er líka tjúkk sum altíð; тако́й же большо́й, как ... líka stórur sum ...; eins stórur og ...; э́то тако́й же га́лстук, како́й я купи́л в Москве́тжhetta er sama slag slips, sum eg keypti í Moskva; он тако́й же поэ́т как я (он не поэт) hann er ikki meira skald, enn eg eri; на нём бы́ло чёрное пальто́ и така́я же шля́па hann var í svørtum frakka og sama slag hatt, hann var í svørtum frakka og líka vorðnum hatti3.pron(saman við pronчто, кто, тако́й): кто он тако́й? hvør er hann?; что э́то тако́е? hvat er hetta (fyri nakað)?; что тако́е ДНК? hvat er DNA [teːεnːꞋaː] (fyri nakað)?; что тако́е? (что случилось) hvat bagir?; hvat er hent?4.pronso; тако́й хоро́ший so góður; сего́дня така́я хоро́шая пого́да tað er so gott veður í dag5.nsovorðið, slíkt; что я тако́го сде́лал? hvat havi eg gjørt?; и всё тако́е (про́чее)tlm.og alt (møguligt) sovorðið; что же тако́го? og hvat so?@до тако́й сте́пениso nógv(,at...);како́й-то не тако́йtlm.ikki, sum hann plagar (at vera) =>естьII,кто1,о́браз6,родII @,слу́чай1,2,спо́соб,что@
тако́й-сяко́й	adj tlm., oftastskemt.: ах, он тако́й-сяко́й! hann er eitt einki!
тако́й-то	prontann og tann; тако́го-то (о дате) tann og tann dag, tann og tann dato [taː-]@посла́тького-л.к тако́й-то ма́териbiðjaслнa-ó-o-nfara at [ɔa] fananum tilбран.
та́кса1	Iftaksturмсогл-s,-ir; плати́ть по та́ксе gjalda eftir [εʰtː-] taksti
та́кса2	IIfdjór.(собака) gravhundurмсогл-ar, grevlingahundurмсогл-ar
такса́тор	mmetingarmaðurмнепр, taksator [-Ꞌsaː-]м0-torпроф.
такса́ция	fmetingж0-ar, taksering [-Ꞌseː-]ж0-arспец.
такси́	n indecltaxa [tʰaʰksa]мгл-гл, taxabilur {taksabilur} [tʰaʰksa-]мсогл-ar, hýruvognurмсогл-ar; взять такси́ taka ein bil, taka eitn taksa; вы́звать такси́ ringja eftir [εʰtː-] einum bili, ringja eftir [εʰtː-] einum taksa =>маршру́тный
такси́ровать	такси́и́ру|ю, ~ешь, ~ютipf/pf что-л.metair(t)o-t, taksera [-Ꞌseː-]aðio-tспец.
такси́ст	mtaxasjaførur [tʰaʰksa-]мсогл-ar, hýruvognssjaførurмсогл-ar, hýruvognsførariмгл-ari
таксо́метр	mtaxametur [tʰaʰksaꞋmeː-]с0осн
таксомото́р	m gml. síтакси́
таксомото́рный	adj: таксомото́рный парк hýruvognstøðж0-ir
таксопа́рк	m síтаксомото́рныйпарк
таксофо́н	m síтелефо́н-автома́т1
та́к-ся́к	predtlm.so toluligur
такт1	Im1.mus.(музыкальная единица) taktж0-ir(partur í musikki;rytma); двудо́льный такт tvídeild takt; держа́ть такт halda taktina; выбива́ть {отбива́ть} такт sláa takt; в такт í takt; идти́ в такт счем-л.ganga í taktvið o-t2.tekn.(поршня и др.) taktж0-ir=>сби́ться2
такт2	IIm(о поведении) taktннкж0-ir(fólkaligur atburður), pliннкс нескл.(хорошие манеры); отсу́тствие та́кта mangul [maŋk-]ннкupp á taktннк; без та́кта taktleysurннк; держа́ть себя́ с та́ктом vera taktfullur [-tl-]ннк
та́к-таки	part1.(всё же) allíkavæl [-Ꞌlʊi-]ннк, kortini; та́к-таки уезжа́ешь? fert tú allíkavælннк?2.(действительно) (oftaspott.) virkuligaннк; та́к-таки нельзя́? ber tað virkuligaннкikki til?; он ге́ний hann er eitt flogvit - та́к-таки ге́ний? nei, virkuliga?; nei, álvara?
та́ктик	mtaktikariмгл-ari
та́ктика	ftaktikkur [-Ꞌtʰɪʰkː-]мсогл-ar
такти́ческий	adjtaktiskurсоглsk
такти́чно	advvið taktннк,sbr.такт II
такти́чность	ftaktннкж0-ir(fólkaligheit); проявля́ть такти́чность vísa taktннк
такти́чный	stfтакти́ч|ен, ~на, ~но, ~ныadjtaktfullur [-tl-]ннксогл
-та́ктный	í samans-takts-; двухта́ктный дви́гатель tveytaktsmotorur
та́к-то	partso, soleiðis; так-то (оно́) так, но ... tað er nú so, men ...; та́к-то он ей помога́ет! so tað er soleiðis, hann hjálpir [j-] henni!; он не та́к-то прост so tápuligur er hann ikki
та́ктовый	adjtakt-,sbr.такт I
таку́сенький	adjtlm.: (вот) таку́сенький (so) evarska lítil
тала́нт	m1.(дар;талантливость) gávurжгл-aмн, talent [-Ꞌlε-]интс0о; музыка́льный тала́нт musikalskar [-Ꞌkʰaː-] gávur, musikalskt [-Ꞌkʰaː-] talentинт; у него́ тала́нт к му́зыке hann hevur talentинтfyri musikki [-Ꞌsɪ-], hann hevur musikalskar [-Ꞌkʰaː-] gávur2.(человек) talent [-Ꞌlε-]интс0о; молоды́е тала́нты ung talentинт3.søg.(денежная единица;мера веса) talent [-Ꞌlε-]ж0-ir(peningaeind,vekteind) =>зары́ть@
тала́нтливость	fgávurжгл-aмн, talent [-Ꞌlε-]интс0о
тала́нтливый	stfтала́нтлив, ~а, ~о, ~ыadjgávuríkurсогл, gávaðurглaður, talentfullur [-Ꞌlεn̊tfʊtl-]ннксогл
талды́чить	талды́чlу, ~ишь, ~ат ipf(что-л.)óvkm., atf. jabbaaðio-tupp i saman
та́лер	m søg.dáliмгл-i(myntur í Týsklandi o.a.)
та́ли	та́л|ей, ~ямf plurtaljaж0о(tól at lyfta við)
тали́б	mtalebanur [tʰaːlɪꞋpaː-]мсогл-ar, talibanur [tʰaːlɪꞋpaː-]мсогл-ar
талиба́н	m síтали́б
тали́бский	adjtaleban- [tʰaːlɪꞋpaːn-], taliban- [tʰaːlɪꞋpaːn-]
талисма́н	mtalisman [tʰaːlɪsꞋmaːn]м0-ar(опр-ur)спец., проф., verndargripurлпмсогл-s,-ir
та́лия	fmiðjaжгл-a(á fólki); с то́нкой та́лией klænurсогл{æ/ø}um miðjuna; smekkurннксоглоснum miðjuna (о женщинах)@в та́лию(об одежде) taljeraður [-Ꞌjeː-]глaður
Та́ллин	mTallin [tʰalːiːn]м0{дат.0}(1219-1917Ре́вель;í 1980-unum eis.Та́ллинн)
Та́ллинн	m síТа́ллин
Талму́д1	Imrel.Talmud [tʰalmʊtː]ж0-ar
