ц	це́нтнер 100 kg
цари́ца	f1.tsaritsa [saꞋrɪ-] (реже[tʰsaꞋrɪ-])жгл-a(kona tsar ella ráðandi) (oс. в России); (о российской царице тж) keisarinna [-Ꞌɪnta] (реже[-Ꞌɪnːa])жгл-a(í Russlandi); drotningж0-ar(в других странах, в сказках и др.)2.fl.drotningж0-ar@цари́ца небе́сная!≈ hann náði okkum! =>небе́сный@
Цари́цын	msøg.Tsaritsyn [saꞋɾɪʰtsʏn] (реже[tʰsaꞋɾɪʰtsʏn])м0{дат.0},síВолгогра́д
ца́рский	adj1.(кцарь 1) tsar- [saːɹ-] (реже[tʰsaːɹ-])2.(во время царей) tsar- [saːɹ-] (реже[tʰsaːɹ-]), tsaristiskur [saꞋrɪ-] (реже[tʰsaꞋrɪ-])соглsk(ос. в России); keisara-; ца́рская Росси́я Tsarrussland, Russland undir tsarunum [saːɹ-] (реже[tʰsaːɹ-]), Russlandi undir keisarunum; ца́рский режи́м tsarstýri, tsarveldi, keisarastýri (б.ч. о России), keisaraveldi (б.ч. о России); в ца́рское вре́мя í tsartíðini3.fl.(великолепный) stórfingin [stœɹ̥-]соглосн; ца́рский у́жин ein stórfingin nátturði@ца́рская во́дкаkem.kongavatn;ца́рские врата́kirk.dyrnar í miðjuni av ikonvegginum, ið ganga inn í tað heilagsta í russ. ortodoksum kirkjum
Ца́рское Село́	nsøg.Tsarskoje Selo [Ꞌsaɹ̥skɔijε seꞋloː] (реже[Ꞌtʰsaɹ̥skɔijε seꞋloː])м нескл.,síПу́шкин
ца́рственный	stfца́рствен, ~на, ~но, ~ныadjtignarligurглigur, majestetiskur [maijɪꞋsteː-]ннксоглsk
ца́рствие	n: ца́рствие небе́сноеhátíð.síца́рствонебе́сное
ца́рство	n1.(государство) ríkiсгл-i; tsarríki [saːɹ-] (реже[tʰsaːɹ-])сгл-i(о России); keisararíkiсгл-i; kongaríkiсгл-i, kongadømiсгл-i2.síца́рствование; избра́тького-л.на ца́рство veljao-ntil tsar [tʰsaːɹ]; veljao-ntil kong; veljao-ntil keisara (б.ч. о России)3.fl.(область действительности) ríkiсгл-i; ца́рство приро́ды náttúrunnar [-Ꞌtʰʉu-] ríki; мёртвое ца́рство deyðans ríki@быть на ца́рствеgml.ráðaur(d){á/æ}{+};Пе́рвая кни́га ЦарствFyrra Sámuelsbók;Втора́я кни́га ЦарствSeinna [sai̯tna] Sámuelsbók;Тре́тья кни́га ЦарствFyrra Kongabók;Четвёртая кни́га ЦарствSeinna [sai̯tna] Kongabók =>венча́тьВ,венча́тьсяB,грёза1,живо́тный1,небе́сный1,подзе́мный@,расти́тельный1
ца́рствование	nstýriсгл-i, stjórnarár [-tn-]с0омн, stjórnartíð [-tn-]ж0-ir, ræðiсгл-i; в ца́рствование Петра́ Пе́рвого meðan Pætur tann Stóri ráddi
ца́рствовать	ца́рству|ю, ~ешь, ~ютipf1.(быть царём) ráðaur(d){á/æ}(sum tsarur)2.fl.síцари́ть
царь	Gen, Accцар|я́;plur~и́, ~е́й, ~я́мm1.(государь,монарх) tsarur [saː-] (реже[tʰsaː-])мсогл-ar(в России и др.); keisariмгл-i(í Russlandi) (о российском царе тж); kongurмсогл-ar(в других странах)2.fl.(о том,кто является первым) kongurмсогл-ar; царь звере́й kongur djóranna@онс царём в голове́{у него́царь в голове́}gml.knokkin hevur hann góðan;без царя́ в голове́tlm.tað er lítið skil í honum; он тамцарь и богhann ræður fyri borgum har;царь царе́йkonganna kongur =>Горо́х,небе́сный@
Царьгра́д	msøg.Miklagarðurмсогл-ar{a/ø}ист., балл.(средневековое сканд. назв.)
ца́ца	ftlm.,atf.bløðraжгл-aнеодобр., apuspjótс0опренебр., uppgerðс0о(fólk, ið heldur seg vera)
ца́цка	plurца́ц|ки, ~ек, ~камfóvkm.dinguldangul [-Ꞌta-]с0осннеформ.,пренебр.
ца́цкаться	ipf с кем-л.óvkm.,niðr.(нянчиться) geraнепрnógv roksburtur úr o-m; vera lagaligurглigurvið o-n, gevaслнa-ó-io-meftirlæti [εʰtː-] (церемониться); не ца́цкаться ikki faraслнó-ó-afram við mýkindum, ikki leggjaнепрfingrarnar ímillum [-Ꞌmɪtl-]
ЦБ	[цэ-бэ́]m indeclцентра́льный банк miðbanki [miːpaɲ̊tʃɪ]
цвести́	цвет|у́, ~ёшь, ~у́т;pretцвёл, цвел|а́, ~о́, ~и́ipf1.(распускаться,покрываться цветками) blomstraaði, blómaнпaði2.fl.(процветать) blómaaði, standaслн{+}í blóma; trívastслнei-i-i3.(покрываться водорослями) veksaннкслнa-u-o{a}av við slýggj, vaksaнпслнa-u-aav við slýggj (um vatn)
цвет1	Iplurцвет|а́, ~о́в, ~а́мm(окраска) liturмсогл-ir, farvaннкжгл-a; цвет пла́тья liturin á kjólanum; пальто́ се́рого цве́та ein gráur frakki, ein frakki gráur á liti; основны́е цвета́ grundlitir [kɹʊnl-], grundfarvur [kɹʊnf-]ннк; цвет глаз eygnalitur, litur á eygum; цвет воло́с hárlitur, litur á hári; како́го цве́та у него́ глаза́? hvussu vorðinсоглоснeygur hevur hann?; hvussu vorðinсоглоснeru eyguni á honum?; есте́ственный цвет ко́жи natúrligt [-Ꞌtʰʏɹ-] dæmi, natúrligur [-Ꞌtʰʏɹ-] húðarlitur; цвет лица́ dæmiсгл-i; у него́ хоро́ший цвет лица́ hann er væl dæmdur; одного́ цвета einlitturсогл, við sama liti, líka vorðinсоглосн; того́ же цве́та einlitturсогл, við sama liti, líka vorðinсоглосн; разли́чных цвето́в í ymiskum litum; (хорошо́) сочета́ться по цве́тус чем-л.hóska væl saman viðo-tí litum; цвета́ хорошо́ сочета́ются litirnir hóska væl saman@в цве́теsíцветно́йI 1
цвет2	IIGenцве́та, цве́ту;plurцвет|ы́, ~о́в, ~а́мm1.oftast plur, eis. koll (í týdn. singóvkm.)(цветы) blomsturс0оснмн, blómurнпжгл-aмн,sbr.цвето́к; я́блоневый цвет súreplablomstur, súreplablómurнп2.чего-л.fl.(самое лучшее) dastiðсгл-iопр. av o-m, blómanжгл-aопр. av o-m; цвет молодёжи dastið av ungdóminum, blóman av ungdóminum3.(цветение) blomstringж0-ar, blómiмгл-i; быть в цвету́ blomstra, standa í blómaнп@в(о) цве́те лет {сил}í bestu árum, upp á sítt besta;дать цветsíрасцвести́=>ли́повыйI @
цвета́стый	stfцвета́ст, ~а, ~о, ~ыadjblomstruturсогл; sprøkluturсогл(пёстрый)
цвете́ние	nblomstringж0-ar, blómiмгл-i;вре́мя цвете́ния blomstringstíðinннк, blómingarskeiðiðбот.,тж.перен.
цве́тень	Genцве́тняmóvkm.,gml.(flog)sáðс0о
цве́тик	m dim avцвето́к
цвети́стый	stfцвети́ст, ~а, ~о, ~ыadj1.(покрытый цветами) blomstur-, blómu-нп2.(разноцветный) sprøkluturсогл; blomstruturсогл(с цветочным узором)3.(о слоге и т.п.) blomstrandiглandi, blómandiглandi(um stíl o.a.)
цветко́вый	adj: цветко́вые расте́ния blómuplantur
цветни́к	Genцветник|а́;plur~и́, ~о́в, ~а́мm1.(место,где посажены цветы) (blomstur)bed [-peːt]ннкс0о, blómubeðнпс0о, blomsturteigurмсогл-ar, blomstursongж0-ur{o/e}спец.(клумба); havi [haː-]ннкмгл-i, blómugarðurнпмсогл-ar{a/ø}(сад); anleggннкс0о(большой - в парке и т.п.)2.(скопление женщин,девушек) mannfjøldж0-ir(serl. av konufólki el. børnum); оказа́ться в цветнике́skemt.(о мужчине в дамском обществе) ≈ komaслнo-o-oí konugildi; veraслнa-ó-eeinsamallur [-tl-] hani í høsnagarðinumшутл.
цветно́й	Iadj1.lit-, farvu-ннк;kulørtur [-Ꞌlœ-]согл(об одежде,белье и т.п.); farvulagdurннлсогл{a/ø}, litaðurглaður(раскрашенный); sprøkluturсогл(пёстрый); цветно́е фо́то farvufotografiннк, litmynd; цветно́й фильм filmur í litum, litfilmur, farvufilmurннк; цветно́е телеви́дение litsjónvarp; цветно́е стекло́ litað glas2.(о людях) litturсог(um fólk)3.: цветны́е мета́ллы ikki-jarnhavið [-tn-] metall [-Ꞌtʰalː]спец., farvað metall [-Ꞌtʰalː]спец.; цветна́я металлу́ргия farvumetallurgi [-kiː]IImlitturмприл=>капу́ста1
цветово́д	mblomsturdyrkariмгл-ari; blomsturgartnariмгл-ari, blómuurtagarðsmaðurмнепркн.(профессия)
цветово́дство	n1.(разведение цветов) blomsturdyrkingж0-ar, blómudyrkingнпж0-ar2.(предприятие) blomsturgartnarí [-Ꞌrʊi-]с0о
цветово́й	adjlit-, farvu-ннк; цветово́й контра́ст farvukontrasturннк, litmótsetningurлп; цветова́я слепота́ farvublindheitннкж0-ir, litblindniнпсгл-i, litblindleikiлпмгл-i; он страда́ет цветово́й слепото́й hann er farvublindurннк, hann er litblindurнп
цвето́к	Genцветка́1.plurцветк|и́, ~о́в, ~а́мogцвет|ы́, ~о́в, ~а́мm(орган размножения у растений) blomsturс0осн, blómaжгл-a(nøringargagn hjá plantum); же́нский цвето́к kvennblóma; мужско́й цвето́к kallblóma (тж[kʰatl-])2.plurцвет|ы́, ~о́в, ~а́мm(растение,головка) blomsturс0осн, blómaнпжгл-a;цветы́ в горшка́х pottaplantur =>иску́сственный1,полево́й1,собра́ть6,11,срыва́ть@
цветоло́же	nblómubotnurмсогл-ar
цветому́зыка	fljóð-og ljósshow [-ʃɔu]ннкс0опроф.
цветоно́жка	plurцветоно́ж|ки, ~ек, ~амfblómuleggurмсогл-ir
цветоно́сный	stfцветоно́с|ен, ~на, ~но, ~ныadjblómuberandiглandi
цвето́чек	Genцвето́чк|а;plur~и́, ~о́в, ~а́мm dim avцвето́к@э́то ещё {то́лько, всё} цвето́чки(, а я́годки впереди́)tilt.enn er ikki sloppið, tað ringasta er eftir [εʰtː-] enn
цвето́чница	fblomsturgentaжгл-a, blómugentaжгл-a
цвето́чный	adjblomstur-, blómu-нп; цвето́чная клу́мба (blomstur)bed [-peːt]ннк, (blómu)beðлп; цвето́чный магази́н blómuhandil; цвето́чный горшо́к urtapottur; цвето́чный чай blomsturte
цвету́щий	partic/adj1.(о растениях,саде и др.) blomstrandiглandi, blómandiглandi, í blóma2.fl.(находящийся в расцвете) blomstrandiглandi, blómandiглandi, upp á tað besta
цветы́	plur síцвето́к
ЦДК	[це-дэ-ка́]m indeclЦентра́льный дом культу́рыstørri mentanarhús
ЦДСА	[це-дэ-са́]m indeclЦентра́льный дом Сове́тской А́рмииsovjet.Hús sovjetska hersins (í Moskva)
ЦДХ	[цэ-дэ-ха́]m indecl stytt. fyriЦентра́льный дом худо́жникаframsýningarhølir o.a. í russ.býum
це́вка	plurце́в|ки, ~ок, ~камf1.klædn.(катушка) spoliмгл-i, rulla [-tla]жгл-a2.tekn.(деталь механизма) spinnilм0осн-s,-ar3.djór.(кость у птиц) fótleggurмсогл-ir(á fugli)
цевни́ца	f russ. blásiinstrument við fleiri pípum
цевьё	nforskeftiсгл-i(á byrsu)
цеди́лка	plurцеди́л|ки, ~ок, ~камftlm.sílж0-ir, sílaжгл-a
цеди́ть	цежу́, це́д|ишь, ~ятipf что-л.1.pfпроцеди́тьпроцежу́, проце́д|ишь, ~ят(пропускать через сито) sílaaðio-t2.pfнацеди́тьнацежу́, наце́д|ишь, ~ят(через узкое отверстие) tappaaðio-t3.tlm.:цеди́ть слова́ {цеди́ть сквозь зу́бы} tosaaðivið samanbitnum tonnum
це́дра	f(turkað) sitrónskal [-Ꞌtʰɹɔun-]с0о{a/ø}(лимонная); (turkað) appelsinskal [-Ꞌsiː-]с0о{a/ø}(апельсиновая)
Це́зарь	msøg.Cæsar [seːsaɹ]м0{дат.0}
це́зий	mcesium [seːsiʊm]с0о({0<>i})
цезу́ра	f(в стихах) cesurur [seꞋsuː-]мсогл-arлит.
Цейло́н	msøg.1.(остров) Ceylon [sailɔn], [sεilɔn]ж нескл.(oyggj);síШриЛа́нка2.(государство) Ceylon [sailɔn][sailɔn], [sεilɔn]с0о{дат.0}(land);síШриЛа́нка
цейло́нский	adjceylon- [sailɔn-], [sεilɔn-]; цейло́нски чай ceylonte [sailɔntʰeː], [sεilɔntʰeː]
цейтно́т	mtalvtíðarneyðж0-ir; попа́сть в цейтно́тbeinl.,fl.koma í tíðarneyð
цейхга́уз	[цейха́-]mherm., gml.(vápna)goymslaжгл-a
цека́	m indeclцентра́льный комите́т aðalstjórn [-tn]ж0-ir, centralkomité [sεnꞋtʰɹaːkʰoːmitʰeː]ннкж0-ir,síЦК
це́лая	fein heilurмприл; одна́ це́лая и три деся́тых ein heilur og tríggir tíggjundapartar; две це́лых tveir heilir
Це́лебес	mCelebes [seꞋleːpεs]ж0-ar,síСулаве́си
целе́бность	f(целительные качества) lekjandi eginskapirмсогл-irмн; lekidómurмсогл-ar, heilsubótж0-ur{ó/ø}кн.(лечение),sbr.целе́бный
целе́бный	stfцеле́бен, целе́бн|а, ~о, ~ыadjheilsugóðurгл{+}(полезный), leki-, lekjandiглandi, grøðandiглandi; целе́бный во́здух heilsugóð luft, heilsuberandi luft; целе́бное сре́дство grøðievni, heilivágurнпмсогл-ir; целе́бные тра́вы grøðiplantur, grøðiurtir, lekiplantur, lekiurtir; целе́бный исто́чник heilsubótarkeldaкн.; целе́бная си́ла lekidómurмсогл-ar, heilsubótжсогл-urкн.
целево́й	adj1.(направленный на осуществление цели) miðvísur [miːv-], [mɪv-]согл2.(предназначенный для какой-л. цели) ætlaðurглaðurávísum tørvi, ætlaðurглaðurávísum endamáli, oyramerkturсогл, oyramarkaðurнпглaður=>устано́вка4
целенапра́вленный	stfцеленапра́влен, ~на, ~но, ~ныadjmiðvísur [miːv-], [mɪv-]согл
целесообра́зность	fráðiligheitж0-ir, tað at vera hóskiligur;sbr.целесообра́зный
целесообра́зный	stfцелесообра́з|ен, ~на, ~но, ~ныadj(соответствующий поставленной цели) ráðiligurглigur, hóskiligurглigur(подходящий, практический полезный), líkligurглigur(надлежащий,должный)
целеустремлённость	fmiðvísiсгл-i, tað at vera miðvísur miðvísur [miːv-], [mɪv-]
целеустремлённый	stfцелеустремлён, ~на, ~но, ~ныadjmiðvísur [miːv-], [mɪv-]согл
целиба́т	mcølibat {sølibat} [søːliꞋpaːt]с0о{o<>i}(í katólsku kirkjuni)
целико́м	adv1.(полностью) heilt, fullkomiliga [-Ꞌkʰoː-],sí eis.по́лностью, соверше́нно 1; класс целико́м allur [atl-] klassin (sum hann er); он целико́м прав hann hevur púrasta rætt; целико́м за́нятый (о зале и т.п.) fult upptikin (høli o.a.); э́той вы́ставкой мы целико́м обя́заны тебе́ henda framsýning er í øllum [œtl-] tær at takka fyri; целико́м и по́лностью út í odd og egg, til fulnar, fullkomiliga2.(в целом виде) heilur, í heilum líki; зажа́ренный целико́м heilstoktur; кни́га напеча́тана целико́м bókin er prentað í síni heild
целина́	f1.(о земле) óvelt jørðж0-ir{+}, ódyrkað jørðж0-ir{+}; подня́ть {распаха́ть} целину́ veltair(t)upp úr nýggjum, brótaслнey-u-oupp úr nýggjum; по́днятая целина́ nývelt jørð2.óvelt land í Kazakhstan o.a., sum var tikið til dyrkingar 1954-603.(место,пространство) oyðaжгл-a, ótrott staðс0о{a/ø}{0<>i}; сне́жная целина́ kavaoyða
цели́нник	m ein, ið arbeiðir á ódyrkaðum landi,síцелина́2
цели́нный	adjóvelturсогл, ódyrkaðurглaður; цели́нные зе́мли ódyrkað land, óvelt land; осво́ить цели́нные зе́мли dyrkaaðinýtt land upp, brótaслнey-u-oupp úr nýggjum
Целиногра́д	msovjet.Tselinograd [seliːnoꞋkɹaːt]м0{дат.0}síНур-Султа́н
цели́тель	mgml.síисцели́тель
цели́тельница	fgrøðariмгл-ari(konufólk); ≈ natúrlækni [-ˈtʰʉuɹ-]мгл-i(konufólk)
цели́тельный	stfцели́те|лен, ~льна, ~льно, ~льныadjbókl.síцеле́бный
цели́тельство	nlekingж0-ar, grøðingж0-ar(við heimaráðum, natúrmedisini o.tíl.)
це́лить	це́л|ю, ~ишь, ~ятipf1.síце́литься2.fl.в кого-л.(что-л.), куда-л.(метить) miðaaðiímóti[-Ꞌmɔu-]o-m, miðaaðiímóti[-Ꞌmɔu-]at+инф.
це́литься	це́л|юсь, ~ишься, ~ятсяipf(pfприце́литьсяприце́л|юсь, ~ишься, ~ятся)1.(в Acc - eftir Дат,из Gen - við o-m) (метясь,направить оружие) siktaaði, miðaaði2.+ inf(готовиться сделать)tlm.ætlaaði(sær)at + инф., havaнепрí kvittanumat + инф
це́лка	plurце́л|ки, ~ок, ~камfóvkm.jomfrúжнепр(kynsliga óroynd kvinna)
целко́вый	móvkm.,gml.rubilм0осн-s,-ar
целлофа́н	mcellofan {sellofan} [sεlːoꞋfaːn]с0о
целлофа́новый	adjcellofan- {sellofan-} [sεlːoꞋfaːn-]с0о
целлуло́ид	mcelluloid {selluloid}[sεlːʊloꞋiːt]с0о
целлуло́идный	adjcelluloid-{selluloid-}[sεlːʊloꞋiːt-]
целлуло́идовый	adj síцеллуло́идный
целлюло́за	fcellulosa {sellulosa} [sεluꞋloː-]жгл-a
целлюло́зный	adjcellulosu- {sellulosu-} [sεluꞋloː-]
целова́льник	m1.søg.(должностное лицо) skattakrevjariмгл-ari2.gml.(продавец в кабаке) vertshúshaldari [vεʂ-]мгл-ari
целова́ть	целу́|ю, ~ешь, ~ютipf(pfпоцелова́тьпоцелу́|ю, ~ешь, ~ют)AccmussaaðiВин, kyssair(t)Винкн.; целова́тького-л.в щёку mussao-ná kjálkan@целу́ю(í endanum á persónligum brøvum, telefonsamtalum o.tíl) kærastu heilsur; farvæl [-Ꞌvεal]; bye-bye [ˌpaiꞋpai]неформ.=>губа́I 1
целова́ться	целу́|юсь, ~ешься, ~ютсяipf(pfпоцелова́тьсяпоцелу́|юсь, ~ешься, ~ются)1.(целовать друг друга) mussastaði, kyssastir(t)кн.2.tlm. (целовать) mussaaðio-n
це́лое	n1.(нечто единое) heildж0-ir; еди́ное це́лое ein samlað eindж0-ir; зако́нченное це́лое fullkomin heild2.mat.(о числе) heilt talс0o{a/ø}, heiltalс0o{a/ø}=>о́бщий@
целому́дренный	stfцелому́дрен, ~на, ~но, ~ныadj1.(не имевших половых сношений) kýskurсоглskкн.,выс.; kynsliga fráhaldandiглandi(обладающий целомудрием)2.(исполненный целомудрия(во 2 зн.) reinurсогл(í siðum og medferð)
целому́дрие	n1.(девственность) kýskheitж0-irкн.,выс.2.bókl.(нравстенная чистота) reinleikiмгл-i(í siðum og medferð)
це́лостность	fheildж0-ir; сохрани́ть (территориа́льную) це́лостность госуда́рства varðveita (tann territoriala [-Ꞌaːl-]) integritetin [-Ꞌtʰeː-]интмсогл-ar, varðveita ta territorialu [-Ꞌaːl-]) eindina hjá [tʃʰ-] einum ríki
це́лостный	stfце́лост|ен, ~на, ~но, ~ныadjbókl.heildar-, це́лостное впечатле́ние heildarinntrykkннк=>невреди́мый
це́лость	f1.: сохрани́ться в це́лости verða varðveittur óskalaður; komaслнo-o-oóskalaður fráo-m; лю́ди оста́лись в це́лости fólk sluppu óskalað2.(единство) heildж0-ir, eindж0-ir@в це́лости (и сохра́нности)heilskapaðurглaður, óskaddurсогл, óskalaðurглaður
це́лый	stfцел, цела́, це́л|о, ~ыadj1.(весь без изъятия) heilurсогл; allur [atl-]согл{a/ø}(весь); fullur [-tl-]согл(полный); це́лые величи́ны heilar støddir; я был там це́лую неде́лю eg var har eina heila viku, eg var har alla vikuna; мы быва́ли там це́лыми неде́лями vit vóru har í vikuvís; це́лыми то́лпами í hópatali; в це́лом ми́ре í allari verðini; це́лая корзи́нка ein full kurv2.(значительный,большой) heilurсогл; це́лый ряд вопро́сов ein rúgva av spurningum, nógvir spurningar, fitt av spurningum; це́лое собы́тие rættilig stórhending; ему́ це́лых 18 лет hann er heili átjan ára gamal3.(неповреждённый) heilurсогл(ikki brotin); óskalaðurглaður, óskaddurсогл; стака́н упа́л, но оста́лся це́лым glasið datt niður, men brotnaði ikki; це́лые носки́ heilir sokkar; но́ги це́лы føturnir eru óskaddir4.(цельный) heilurсогл, heilstoypturсогл5.: це́лое число́ heilt tal; це́лая но́та heilur nóti6.: це́лая ры́ба rundur fiskur (не потрошёная)@в це́ломyvirhøvur [-Ꞌhøː-], tá samanum [-Ꞌʊmː] kemur =>волк@,деньI,невреди́мый
цель	f1.(мишень) skotskivaжгл-a, skjótiskivaжгл-a, málс0о(at skjóta eftir)2.(предмет стремления) málс0о, miðс0о; endamálс0о; ætlanж0-ir(намерение); дости́чь свое́й це́ли vinna á mál, náa málinum; с како́ю це́лью? hvat er endamálið?; у него́ не́ было ино́й це́лиeis.hetta var tað einasta, hann hugsaði um@с це́льюGen{+inf}{в це́лях}Genvið tí endamáli at..., við tí fyri eyga ...; с той (еди́нственной) це́лью, что́бы... við tí eina endamáli at..., ... við tí fyri eyga at...; с це́лью обогаще́ния fyri at gerast ríkur, við tí endamáli at gerast ríkur; в ми́рных це́лях til friðarligt endamál; в це́лях самозащи́ты til sjálvverju, fyri at verja seg;ста́вить (себе́) {зада́ться} це́льюseta sær eitt mál, seta sær sum mál;пресле́доватькакую-л.цель{име́ть це́лью}hava eitt mál;це́ль опра́вдывает сре́дстваendamálið halgar gerðina; málið halgar mátan;без це́лиmiðleysurсогл, uttan mál og mið =>бить6,коне́чный2,попа́сть1,пораже́ние1,стреля́ть1
цельно...	í samans1.(цельный) (heil-, allur [atl-],t.d.цельнометалли́ческий allur úr metalli, metall-; цельносва́рочный heilsveisaður2.(о цельном молоке) úr søtmjólk; цельномоло́чный søtmjólks-, søtmjólkar-
це́льный	stfце́лен, це́льн|а, ~о, ~ыadj1.(из одного куска, вещества) heilurсогл; ósamansetturсогл(несоставной); из це́льного грани́та úr einum heilum granittpetti [-Ꞌnɪʰt-]2.(обладающий внутренним единством) heilurсогл, heilstoypturсогл; це́льная нату́ра ein heilstoypt persónligheit [-Ꞌsɔu-]3.(неразбавленный) ótynturсогл; ikki skúmaðurглaður(о молоке); це́льное молоко́ søtmjólk4.óvkm.síце́лый1, 3
Це́льсий	m: пять гра́дусов по Це́льсию fimm stig Celsius [sεl̥sijʊs], fimm gradir [kɹaːt-]ннкпроф.Celsius [sεl̥sijʊs]
цеме́нт	msement {cement} [seꞋmε-]с0о
цемента́ция	fsementering {cementering}[semεnꞋtʰeː-]ж0-ar
цементи́ровать	цементи́ру|ю, ~ешь, ~ютipf/pf1.pf eis. зацементи́роватьзацементи́ру|ю, ~ешь, ~ют что-л.(заполнить цементом) cementera {sementera} [semεnꞋtʰeː-]aðio-t2.Accfl.pf eis. сцементи́роватьсцементи́ру|ю, ~ешь, ~ют(сплотить) sjóðaaðiВинsaman, styrkjair(t)Вин
цеме́нтный	adjsement- {cement-} [seꞋmεn̊t-]; цеме́нтный пол sementgólv [seꞋmεn̊t-]; цеме́нтный заво́д sementfabrikk [seꞋmεn̊t-]ннк, sementverksmiðja [seꞋmεn̊t-]нп
