щaве́левый	adjsýru-; щаве́левые щи sýrusuppa, sýrusúpanж0-ir@щаве́левая кислота́oksalsyra [-Ꞌsaːlsyː-], oksalsýra [-Ꞌsaːl-]нп
щеголева́тый	stfщеголева́т, ~а, ~о, -ыadj1.síщегольско́й2.(о человеке) elegantur [eːlɪꞋka-]согл, fínurсогл; lapsuturсогл(франтоватый)
щеголи́ха	fmótadukkaжгл-a, pyntidukkaжгл-a, pyntireyvж0-arпренебр.
щёголь	m1.(франт) mótaprinsurмсогл-ar; lapsurмсогл-ar2.djór.(птица) (Tringa erythropus) svartstelkur [svaɹ̥s-]мсогл-ar
щегольну́ть	щегольн|у́, ~ёшь, ~у́тmoment síщеголя́ть
щегольско́й	adj1.(об одежде, виде) smarturсогл, eftir [εʰtː-] mótanum, modernaður [-Ꞌtε-]глaður(um klæðir)2.(молодцеватый) flotturсогл, elegantur [eːlɪꞋka-]согл
щегольство́	ntað at vera lapsutur, pyntisjúkaжгл-a
щеголя́ть	ipf1.(щегольски одеваться, франтить) pyntaaðiseg; klæðair(d)seg lapsut, vera lapsuturсогл2.в чём-л.tlm.(ходить одетым во что-л. щегольское) vísair(t)segí o-m(í klæðum av o-m slag); щеголя́ть в но́вом костюю́ме gangaслнe-i-iso spelkin í nýggjum klædningi, gangaслнe-i-iupp á rós í nýggjum klædningi; щеголя́ть в рва́ных брю́кахspott.vísa seg í kruvdum buksum3.чем-л.fl.,tlm.(выставлять напоказ;хвастаться) erpaaðisærvið o-m, geraнепрseg Ꞌ uppvið o-m, bravera [-Ꞌveː-]энкaðivið o-m; щеголя́ть ре́дкими иностра́нными слова́ми erpa sær við sjáldsomum [ʃɔl̥s-] fremmandum orðum, gera seg upp við sjáldsomum [ʃɔl̥s-] fremmandum orðum, bravera [-Ꞌveː-]энкvið sjáldsomum [ʃɔl̥s-] fremmandum orðum; щеголя́ть свои́ми зна́ниями erpa sær av sínum kunnskapum, gera seg upp við sínum kunnleika, bravera [-Ꞌveː-]энкvið sínum kunnleika
ще́дрость	fgávumildiжгл-i, stórtøkni [stœɹ̥t-]сгл-i
щедрота́	f síще́дрость
щедро́ты	Genщедро́тf plurgml.góðar gávur; от свои́х щедро́тspott.av síni hjartagóðsku [j-]
ще́дрый	stfщедр, щедра́, ще́дро, щедры́ogще́дрыadj1.(о дающем) gávumildurсогл; быть ще́дрымна что-л. vera stórtøkin [stœɹ̥̥-]соглоснvið o-m, vera rummiskurсоглskvið o-m; щедр на обеща́ния sum lovar nógv; ще́дрою руко́й við gávumildari hond2.(ценный,богатый) ríkurсогл, stórfingin [stœɹ̥̥-]соглосн; ще́дрые пода́рки ríkar gávur, mætar gávur; ще́дро награди́тького-л. чем-л.lønao-mríkiligavið o-m3.(богатый, обильный) gávumildurсогл; ще́драя приро́да gávumild natúr [-Ꞌtʰʉuɹ]; ще́дрые дожди́ ríkiligt regn, ov [ɔ] mikið av regni
щека́	Accщёку;plurщёки, щёк, щека́мfkjálkiмгл-i(бок головы по носу ниже головы), kinnж0-arкн., поэт., vangiмгл-i(включая верхнюю часть); поцелова́тького-л.в щёку mussao-ná kjálkan; уда́ритького-л.по щеке́ gevaслнa-ó-io-mein undir vangan; румя́нец на щека́х kinnaroði, roði á kinnum@уплета́ть {упи́сывать}(что-л.)за о́бе щеки́slúkaar(t), koyrair(d)Ꞌ í segнеодобр., skræðair(d)Ꞌ í segнеодобр., kveylaaðiꞋ í segнеодобр.(eta);подста́вить другу́ю щёку(кому-л.)bíbl.vendair(d)(o-m) hin vangan =>разду́ть3
щека́стый	stfщека́ст, ~а, ~о, ~ыadjtlm.við rundum kjálkum; við bollutumнеформ.kjálkum (б.ч. о детях)
щеко́лда	fklinkaжгл-a(á hurð), sláж0-ir
щекота́ние	n1.(кщекота́ть 1) kitlс0о, kitlanж0-ir2.fl.(кщекота́ть 3) eggjanж0-ir, kitlanж0-ir
щекота́ть	щекочу́, щеко́ч|ешь, ~утipf1.кого-л.(вызывать щекотку) kitlaaðio-n; diggaaðio-nдетск.2.bert 3. pers. (об ощущении лёгкого зуда и т.п.) kitlaaði; в носу́ щеко́четóptað kitlar í nøsini3.fl.: щекота́тьчьё-л.самолю́бие kitlaaðiforfeingiligheitina [-Ꞌfɔ-]ннкhjá o-m; щекота́ть не́рвы vera nervapirrandiннкглandi
щеко́тка	fkitlс0о, kitlanж0-ir; боя́ться щеко́тки kitlast (illa [ɪtla])
щекотли́вость	fviðkvæmi [viː- ], [vɪʰk-]сгл i(um spurningar o.a.)
щекотли́вый	stfщекотли́в, ~а, ~о, ~ыadj1.(требующий такта и т.п.) viðbrekin [vɪp-]соглосн, viðkvæmur [viː- ], [vɪʰk- ]согл; согл{æ/o}; щекотли́вый вопро́с ein viðbrekin spurningur, ein viðkvæmur spurningur; щекотли́вое де́ло eitt viðkvæmt mál, eitt viðbrekið mál2.gml., tlm.(чувствительный к щекотке) sum kitlast
щеко́тно	pred: мне щеко́тно tað kitlar
щекоч…	щекочу́o.s.fr. pres avщекота́ть
щелба́н	Genщелбана́;plurщелбан|ы́, ~о́в, ~а́мm tlm.títlingabresturмсогл-s,-ir
щелево́й	adj1.rivu-, sprungu-2.síфрикати́вный
щели́стый	stfщели́ст, ~а, ~о, ~ыadj tlm.rivuturсогл, sprunguturсогл, við sprekkkumннк
щёлк	Iinterbums!; bumm!; bang [paŋk]!IIpred: он щёлк коня́ кнуто́м hann sló hestin við pískinum; он щёлк его́ hann lammaði til hansara
щёлка	plurщёл|ки, ~ок, ~камfrivaжгл-a, sprekkaннкжгл-aпроф.
щёлкать	ipfАmomentщёлкнутьщёлкн|у, ~ешь, ~ут1.Acc(давать кому-л. щелчок) leggjaнепрtilВин, lammaaðitilВин, smekkaaðitilВин; klikkjair(t)Вин, hvistaaðiВин(лёгким ударом)2.чем-л.(производить щёлкающий звук) brestair(t)við o-m, smella [-tla]слнa-u-ovið o-m; щёлкать па́льцами bresta við fingrunum; щёлкать на счётахtlm.roknaaðiá kúlurammu (við at koyra ringarnar aftur og fram); щёлкать кнуто́м bresta við píski; щёлкали замки́ lásini smekkaðu (í); щёлкать языко́м bresta við tunguni3.Acctlm.(фотографировать) takaслнó-ó-ieina myndav Дат, fotografera [-Ꞌfeː-]aðiВин4.что-л.tlm.(быстро решать) loysair(t)o-talt í einum5.кого-л.óvkm.(убивать) plaffaэнкaðio-nniðurнеформ., knallaэнкaðio-nniðurнеформ.Bbert ipf1.что-л.(дробить - орехи и т.п.) knekkaнккaðio-t(nøtir o.tíl.)2.(о соловье) látaслнæ-ó-á, trillaaði(um náttargala)@щёлкать зуба́миа) glintaaðivið tonnunum (av kulda); b) (голодать) hungraaði
щёлкнуть	moment síщёлкать
щелкопёр	mgml.,vanv.blekksmyrjariмгл-ari, lættisoppaskaldс0о;0о{a/ø}
щелку́нчик	mnødduknekkariннкмгл-ari, nøtabrótariлпмгл-ari
щёлок	Genщёлкаmlúturмсогл-ar
щелочно́й	adjalkali- [-Ꞌkʰaː-]хим., alkaliskur [-Ꞌkʰaː-]соглskхим.; basiskur [paː-]соглskхим.
щёлочь	plurщёлочи, щелоч|е́й,~а́мfbasa [paː-]жгл-ахим., alkali [-Ꞌkʰaːli]с0-глхим.
щелчо́к	Genщелчк|а́;plur~и́, ~о́в, ~а́мm1.(удар) klikkс0о, bresturмсогл-s,-ir(slag), slagс0о{a/ø}{0<>i}; дать щелчка́кому-л.klikkjao-n2.(звук) smellur [-tl-]мсогл-s,-ir, bresturмсогл-s,-ir(ljóð); щелчки́ вы́стрелов brestirnir av skotum3.fl., tlm.(обида): э́то щелчо́к по его́ самолю́бию hetta er ein stoytur fyri sjálvsvirðingina [ʃɔl̥s-] hjá [tʃʰ-] honum, hetta er ein frammaná [-Ꞌɔa] til sjálvsvirðingina [ʃɔl̥s-] hjá [tʃʰ-] honum
щель	plurще́ли, щел|е́й, ~я́мf1.(отверстие) rivaжгл-a, sprekkaннкжгл-aпроф.; sprungaжгл-a(трещина)2.anat.(в органах и др.) rivaжгл-a; голосова́я щель málbandagloppлпс0оспец.(glottis); жа́берная щель táknariva; полова́я щель kynsriva, sprekkaжгл-aвульг.; gotс0о(у китов и др.)3.herm.(траншея) skýliсгл-i(í skotgrøv ella saman við henni)
щеми́ть	щем|лю́, ~и́шь, ~я́тipf1.Acc(сжимать) kleimair(d)Вин, kroystair(t)Вин2.óp(о ноющей боли) havaнепрsting, havaнепрpínu; у меня́ щеми́т в боку́ eg havi sting undir síðuni3.bert 3.pers.что-л.(наводить тоску и т.п.) skeraслнa-ó-oí o-t(í hjartað o.a.); уны́лый напе́в щеми́т ду́шу tað syrgna lagið sker í hjartað [j-];ópу меня́ се́рдце {ду́шу} щеми́т tað sker meg í hjartað [j-], tað nítur meg at hjartanum [j-]
щемя́щий	adj: щемя́щая боль ein nívandi pína; щемя́щее чу́вство ein nívandi kensla
щени́ться	щен|и́тся, ~я́тсяipf(pfощени́тьсяощен|и́тся, ~я́тся) leggjaнепр(hvølpar)
щено́к	Gen, Accщенк|а́;plur~и́, ~о́в, ~а́мogщеня́т|а, ~, ~амm1.(детёныш собаки и др.) (hunda)hvølpurмсогл-ar2.fl., óvkm.,illb.(мальчишка) nalvungiмгл-iпренебр., hvølpurмсогл-arпренебр.(um fólk)
щепа́	plurще́пы, щеп, щепа́мf1.(щепка) flísж0-ar, spønж0-irпроф., spónurмсогл-ir{ó/ø};-arкн.(av viði); ло́дка разби́лась в ще́пы báturin fór í spønir2.(дранка) takspónurмсогл-ir{ó/ø};-ar(tunn træpláta)
щепа́ть	щеплю́, ще́плешь, ще́плютogщепа́|ю, ~ешь, ~ютipf что-л.høggaur(d)flísarav o-m(viði), høggair(d)spønirav o-m(viði), klúgvaслнey-u-oflísarav o-m(viði), klúgvaслнey-u-ospønirav o-m(viði)
щепети́льность	f1.(скрупулёзная честность, корректность) tað at vera akkurátur [-Ꞌrɔa-], tað at vera umhyggin2.(щекотливость) viðkvæmi [viː-], [vɪʰk-]сгл-i(um spurningar o.a.)
щепети́льный	stfщепети́лен, шепети́льн|а, ~о, ~ыadj1.(скрупулёзный) akkurátur [-Ꞌrɔa-]согл, (um)hygginсоглоснgg; щепети́льный в де́нежных дела́х umhyggin í pengamálum; не быть щепети́льным вчём-л. ikki vera so noyaroknandi [nœija-]ннкvið o-m, ikki takao-tso noya [nœija]ннк2.(деликатный) viðbrekin [vɪp-]соглосн, viðkvæmur [viː-], [vɪʰk-]согл; согл{æ/o}; щепети́льный вопро́с eitt viðbrekið mál
ще́пка	plurще́п|ки, ~ок, ~камf(træ)flísж0-ar; spønж0-irпроф., spónurмсогл-ir{ó/ø};-arкн.(av viði); (træ)splinturс0оосн(заноза)@худо́й как ще́пкаdiddarak, sum ein strika í luftini;разби́ть {разнести́o.s.fr.}что-л.в ще́пкиsláaслнó-ó-io-tí (smæsta) smildur, sorlaaðio-tsundur, sláaaðio-tí spønir;лес ру́бят - ще́пки летя́тorðt.tá tú gert okkurt, fer okkurt eisini; ikki ber til at gera nakað uttan eisini at offra okkurt
щепо́тка	plurщепо́т|ки, ~ок, ~камfdustс0о(lítið sindur,millum fremstafingur og tummil), dismс0о(av salti o.ø.); щепо́тка ню́хательного табаку́ ein prísurмсогл-s,-irav snúsi
щепо́ть	f síщепо́тка
щерба́тый	stfщерба́т, ~а, ~о, ~ыadj1.(со щербинами) óslætturсогл{æ/ø}, ójavnurсогл{a/ø}(неровный); skørðuturсогл(в зазубринах); pokuturсогл, poknuturсогл(рябой)2.(о зубах) sum hevur mist eina tonn, sum manglar [maŋk-]ннкeina tonn (с выпавшим зубом); sum hevur glopp millum [-tl-] tenninar (с редкими зубами)
щерби́на	f1.(неровность) óslættiмгл-i, ójavniмгл-i; skarðс0о{a/ø}(зазубрина)2.(рябинка) arrс0оeftir [εʰtː-] pokum3.(пустота между зубами) gloppс0о(millum tenninar)
щерби́нка	plurщерби́н|ки, ~ок, ~камf síщерби́на
ще́рить	ще́р|ю, ~ишь, ~ятipf(pfоще́ритьоще́р|ю, ~ишь, ~ят)что-л.: ще́рить зу́бы vísair(t)tenn
ще́риться	ще́р|юсь, ~ишься, ~ятсяipf(pfоще́риться)1.(щерить зубы) vísair(t)tenn2.óvkm.(усмехнуться) glettair(t)á tonn
щети́на	f(шерсть, волосы) bustж0-ir(groft hár); strýggjс0о{0<<i}{+}(волосы); skeggstubbiмгл-i, (skegg)stapiмгл-i(борода)
щети́нистый	stfщети́нист, ~а, ~о, ~ыadjbustuturсогл; staputurсогл; ývinсоглосн(eygnabrýr o.a.) (небритый); stríðurгл, rísinсоглосн(жёсткий)
щети́ниться	щети́н|юсь, ~ишься, ~ятсяipf(pfощети́нитьсяощети́н|юсь, ~ишься, ~ятся)1.bert 3. pers brúktur(торчать) vera rísinсоглосн, vera ývinсоглосн; standaслнó-ó-aí andarisi (hár)2.tlm.(поднимать торчком щетину и др.) ývair(d);aðiseg3.fl.,tlm.(сердиться) ývair(d);aðiseg (í øði), rísnaaði, øsair(t)seg upp; reisair(t)uggafjaðrarnarидиом.; reisair(t)hárygginидиом.4.bert 3. pers brúkturfl.peiggjaaði, standaслнó-ó-aí andarisi; отря́д ощети́нился штыка́ми bajonettir [paijoꞋnε-] hjá [tʃʰ-] herdeildini peiggjaðu í allar [atl-] ættir
щётка	plurщёт|ки, ~ок, ~камf1.(изделие для чистки) bustж0-ir; skrubbaжгл-a(жёсткая щётка для полов и т.п.); зубна́я щётка tannbust [tʰamp-]; щётка для воло́с hárbust; щётка для́ о́буви skóbust; платяна́я щётка klædnabust; щётка для ногте́й naglabust; щётка для мытья́ поло́в gólvskrubba2.(у лошадей) hóvskeggс0о(á rossi)3.el.(электрического аппарата) bustж0-ir4.fl.(жёсткие,прямые волосы) bustж0-ir(stívt hár)
щец	Gen plur dim,kel. avщи
Ще́цин	mStettinм0{дат.0}(режеSzczecin [stεʰtː-]м0{дат.0})
щёчка	plurщёч|ки, ~ек, ~камf dim avщека́
щёчный	adjkjálka-, vanga-
щи	щей, щамplurkálsuppaжгл-a; ки́слые щи súrkálssuppaжгл-a; зелёные щи sýrusuppaжгл-a, sýrusúpanж0-ir@тех же щей, да пожи́же влейtilt.sama sjabbið =>профе́ссор@
щи́колка	plurщи́кол|ки, ~ок, ~камfóvkm.síщи́колотка
щи́колотка	plurщи́колот|ки, ~ок, ~камføkilм0осн-s,-ar; по щи́колотку upp um øklar; длино́й до щи́колотки øklasíður, sum gongur niður á øklar
щипа́ть	щиплю́, щи́плешь, щи́плютogtlm.щиплю́, щи́пешь, щи́пят;imperщипли́, щипли́теogtlm.щипи́, щипи́теipf(momentщипну́тьщипн|у́, ~ёшь, ~у́т)1.Acc(защемлять пальцами) klípair(t)Вин; щипа́ть ру́кукому-л.klípao-ní armin2.что-л. bert 3. pers. (вызывать жжение) svíðaслнei-i-i; пе́рец щи́плет язы́к piparið svíður á tunguni; в го́рле щи́плетóptað svíður í hálsinum; моро́з щи́плет щёки frostið bítur í kjálkarnar3.pfобщипа́тьобщиплю́, общи́плешь, общи́плютogtlm.общиплю́, общи́пешь, общи́пят;imper общипли́, общипли́теogtlm.общипи́, общипи́те, ощипа́тьощиплю́, ощи́плешь, ощи́плютogtlm.ощиплю́, ощи́пешь, ощи́пят;imper ощипли́, ощипли́теogtlm.ощипи́, ощупи́те что-л.(отделять) pilkaаðio-t; щипа́ть волокно́ tægaaðitrevjuna; щипа́ть ни́тки skiljaur(d);ir(d){+}træðrirnar [tʰɹakɹ-]; гу́си щи́плют траву́ gæsnar bíta grasið; щипа́ть лук takaслнó-ó-iꞋ upp leyk4.Acc(выдёргивать перья) roytair(t)Вин(fjaðrar, dún); щипа́ть ку́рицу royta eina hønu
щипа́ться	щиплю́сь, щи́плешься, щи́плютсяogtlm.щиплю́сь, щи́пешься, щи́пятсяipf1.(иметь повадку щипать) klípair(t)(við nevi o.ø.)2.(щипать друг друга) klípair(t)hvønn Ꞌ annan
щипе́ц	Genщипц|а́;plur~ы́, ~о́в, ~а́мm arkit.galvurмсогл-ar; skjøldurм0осн-ar,-ar{ø/a}(самая верхняя часть)
щипко́вый	adj: щипко́вые инструме́нтыstreingjainstrument, ið spælt verður á við at taka í streingirnar ella við plektаri(í móts. til strúkiinstrument)
щипко́м	advmus.pizzicato [pʰɪʰtsiꞋkʰaːto]муз.
щипну́ть	moment síщипа́ть
щипо́к	Genщипк|а́;plur~и́, ~о́в, ~а́мmklípс0о, klípingж0-ar
щипцы́	щипц|о́в, ~а́мm plurtongж0-ur{o/e}; щипцы́ для ками́на {пе́чки} kloviмгл-i; щипцы́ для са́хара sukurtong; щипцы́ для зави́вки krúllijarn [-tn]с0о{a/ø}; щипцы́ для оре́хов nødduknekkariннкмгл-ari, nøtabrótariлпмгл-ari; акуше́рские щипцы́ tong til føðing
щи́пчики	щи́пчик|ов, ~амm plur dim avщипцы́
щит	Genщит|а́;plur~ы́, ~о́в, ~а́мm1.søg.,fl.(предмет вооружения;защита) skjøldurм0осн-ar,-ar{ø/a}2.(для ограждения) skermurмсогл-ar, verjaжгл-a; снегово́й щит kavaverja; противокры́сный {шварто́вный} щит rottuverja, rottuskermur (á skipi)3.(стенд) talvaжгл-a(для показа); рекла́мный щит reklamuskelti [-Ꞌkʰlaː-]4.(доска для аппаратуры) talvaжгл-a; щит управле́ния kontroltalva [-Ꞌtʰɹɔl-]5.(у черепахи) skelж0-ar{+}(á skjaldbøku)6.(готовая часть в строительстве) sektión [sεʰkꞋʃɔun]ннкж0-irпроф.(í bygging av typuhúsum o.tíl.)7.(шлюза) slúsuporturс0осн@подня́тького-л.на щитrósaar(t)o-mtil skýggja;верну́ться на щите́hátíð.koma heim(aftur [-aʰtː-]) sum sigurharri; верну́ться со щито́мhátíð.koma heim(aftur [-aʰtː-]) sum tapari =>распредели́тельный
щитови́дка	plurщитови́дк|и, ~ок, ~камftlm.skjóldbróskkertilннкм0осн-s,-ar, skjaldkertilлпм0осн-s,-ar
щитови́дный	adj: щитови́дная железа́ skjóldbróskkertilннкм0осн-s,-ar, skjaldkertilлпм0осн-s,-ar; щитови́дный хрящ skjóldbróskннкс0о, skjaldbróskлпс0о
щито́к	Genщит|ка́;plur~ки́, ~ко́в, ~ка́мm1.dim avщит 2,3, 4; пере́дний {води́тельский} щито́к instrumentbretti [-Ꞌmε-]сгл-i2.(у велосипеда,мотоцикла) skermurмсогл-ar(á súkklu,motorsúkklu)3.(на трале)ásettur kantur ovast á forkanti á troli(til hydrodynamiskan effekt)
щитообра́зный	adjdánaður sum skjøldur, skjald-
щу́ка	f1.(пресноводная рыба) (Esox lucius) gedda [kε-]жгл-a2.(морская рыба): голуба́я морска́я щу́ка (Molva dipterygia) blálongaжгл-a; морска́я щу́ка (Molva molva) longaжгл-a=>пастьII @
щуп	msondaжгл-a(зонд); málipinnurмсогл-ar, peilistongж0осн{o/e}(для измерения уровня); (føli)blaðс0о{a/ø}(для измерения просвета); minuleitariмгл-ari, minusøkjariмгл-ari(миноискатель)
щу́пальце	plurщу́пальца, щу́палецogщу́пальцев, щу́пальцамn(у насекомых и др.) kampurмсогл-ar, horn [-tn]с0о, følihorn [-tn]ннкс0о(hjá insektum o.ø.); trevsa [-εfs-]жгл-a(hjá høgguslokki) (у кальмара)
щу́пать	ipf(pfпощу́пать)1.Acc(обследовать) følair(d)(upp á)Вин; trilvaaði(нашаривать); handla [hanla]aði(handfara) (ощупывать руками), kávaaðieftir[εʰtː-]Дат(нащупывать), krámaaðieftir[εʰtː-]Дат(нащупывать,лапать); щу́пать му́скулы merkjair(t)eftir [εʰtː-] vøddunum; щу́пать пульс føla pulsin; щу́пать глаза́миAcceygfara [εk-]слнó-ó-aВин, rennair(d)eyguni yvirВин2.что-л.(исследовать щупом) kannaaðio-tvið sonduo.ø,síщуп3.Accfl.(прощупывать) vitaaði, hvat dugur er íДат; kannaaðieftir [εʰtː-], hvat dugur er íДат, vurdera [-Ꞌteː-]ннкaðiВин
щу́плый	stfщу́пл, щупла́ogщу́пла, щу́пло, щу́плыadjtlm.klantrasligurглigur
щурёнок	Gen, Accщурёнка; plurщуря́т|а, ~, ~амm gml., ókvm. ung gedda [kε-]жгл-a
щу́рить	щу́р|ю, ~ишь, ~ятipf(pfсощу́ритьсощу́р|ю, ~ишь, ~ят, прищу́ритьприщу́р|ю, ~ишь, ~ят)что-л.: щу́рить глаза́ krympaaðieyguni saman
щу́риться	щу́р|юсь, ~ишься, ~ятсяipf(pfсощу́ритьсощу́р|юсь, ~ишься, ~ятся, прищу́ритьприщу́р|юсь, ~ишься, ~ятся)1.síщу́ритьглаза́2.bert 3. pers brúktur(прикрываться при сжимании век) krympastaðisaman (um eygur)
щу́рка	plurщу́р|ки, ~ок, ~камf:золоти́стая щу́рка (Merops apiaster) býflugubíturмсогл-ar
щуря́т...	síшурёнок
щу́чий	adjgeddu- [kε-]@по щу́чьему веле́ниюtlm.,skemt.av sær sjálvum, sum var tað gandað
щу́чка	plurщу́чк|и, ~ек, ~камf: морска́я щу́чкаsíнотоле́пис
