З	за́пад V, vestur
заарка́нить	зарка́н|ю, ~ишь, ~ятpf Acc1.síарка́нить2.fl., tlm.(захватить) fáaслнe-i-iklørnar [kʰlœtn-]í Вин
заарта́читься	заарта́ч|усь, ~ишься, ~атсяpftlm.verða tvørurсогл, verða treiskurсоглsk, verða stívrendurсогл; byrjaaðiat andøva ímóti, byrjaaðiat muta ímóti (не соглашаться)
заархиви́ровать	pf síархиви́ровать
заасфальти́ровать	pf síасфальти́ровать
заатланти́ческий	adjsum er handan Atlantshavið [aʰtlan̊s-]
заба́ва	fstuttleikiмгл-i; skemt(an)ж0-ir, gamanс0осн{+}кн.(веселье); де́тские заба́вы stuttleiki hjá [tʃʰ-] børnum [-tn-]; длячей-л.заба́вы til stuttleika hjá [tʃʰ-]o-m; мне не до заба́вы eg havi alvorligari [-Ꞌvɔ-]ннкting at hugsa um, eg havi annað at hugsa um enn at stuttleika mær
забавля́ть	ipf(pfпозаба́витьпозаба́в|лю, ~ишь, ~ят)кого-л. чем-л.stuttleikaaðio-m við o-m
забавля́ться	ipf(pfпозаба́витьсяпозаба́в|люсь, ~ишься, ~ятся)чем-л.stuttleikaaðisærvið o-m
заба́вник	m tlm.skemtari мг-ari,o-r, sum stuttleikarДат
заба́вно	Iadvstuttliga, stuttligtIIpredtað er stuttligt; мне заба́вно eg havi tað stuttligt, eg stuttleiki mær
заба́вный	stfзаба́вен, заба́вн|а, ~о, ~ыadjstuttligurглigur; kostiligurглigurнеформ.; он нахо́дит э́то заба́вным hann heldur tað vera ógviliga stuttligt; э́то о́чень заба́вно hetta er øðiliga stuttligt
Забайка́лье	nTransbajkal [-paiꞋkʰalː]с0{дат.0}
забаллоти́ровать	забаллоти́ру|ю, ~ешь, ~ютpf Accfella [-tla]ir(d)Вин(við atkvøðugreiðslu)
забальзами́ровать	pf síбальзами́ровать
заба́нить	pf síба́нить
забараба́нить	забараба́н|ю, ~ишь, ~ятpf1.(начать барабанить) faraслнó-ó-aat trumma, byrjaaðiat trumma, begynna [-Ꞌtʃɪ]ннкir(t)at trumma,sbr.бараба́нить2.(на рояле) hamraaði(á klaver)
забарахли́ть	забарахл|ю́, ~и́шь, ~я́тpf1.bert 3. p. brúktur(начать барахлить) blívaслнei-i-ií ólagi, blívaслнei-i-i´í óordanнеформ.2.что-л.(захламить) fylla [-tla]ir(t)o-tvið óruddi
забаррикади́ровать	pf síбаррикади́ровать
забаррикади́роваться	pf síбаррикади́роваться
забастова́ть	забасту́|ю, ~ешь, ~ютpf1.(начать бастовать) streika [-aika], [-εika]ннкaði, faraслнó-ó-aí streiku [-aikʊ], [-εikʊ]ннк, faraслнó-ó-aí verkfall [-tl]2.(перестать - напр. о моторе) streika [-aika], [-εika]энкaði(steðga - um motor o.a.)
забасто́вка	plurзабасто́в|ки, ~ок, ~камfstreika [-aika], [-εika]ннкжгл-a, verkfall [-tl-]с0о{a/ø};нача́ть забасто́вкуfara í verkfall ; объяви́ть забасто́вку lýsa verkfall; нача́ть сидя́чую забасто́вку fara í sitdownstreiku [sɪʰtꞋtaun-]ннк, fara í sitiverkfallнп; забасто́вка проте́ста mótmælisverkfall; забасто́вка солида́рности samhugaverkfall; голо́дная забасто́вка hungursverkfall, hungursstreikaннк=>всео́бщий,италья́нский@,подня́ть8
забасто́вочный	adjstreiku-, verkfals-
забасто́вщик	m o-r, sum er í verkfalli [-tlɪ]
забасто́вщица	f o-r, sum er í verkfalli [-tlɪ] (konufólk)
забве́ние	nbókl.gloymskaжгл-a; преда́тьчто-л.забве́нию latao-tfara í gloymskuna; быть пре́данным забве́нию farin í gloymskunnar hav; иска́ть забве́ния royna at gloyma@река́ забве́нияgloymskunnar á, Lethe [leːtε]ж нескл.
забе́г	mítr.umfarс0о{a/ø}(í kapprenning); (kapp)renningж0-ar; забе́г на 500 ме́тров 500 metra renning
забега́ловка	забега́лов|ки, ~ок, ~камfóvkm.bulaэнкжгл-a(vánalig drykkjustova)
забе́гать	pffaraсоглó-ó-aat renna, byrjaaðiat renna, begynna [-Ꞌtʃɪ-]ннкir(t)at renna; забе́гать (по чему-л.) faraсоглó-ó-aat reika (um o-t), byrjaaðiat reika (um o-t), begynnaннкir(t)at reika (um o-t); (о глазах) faraсоглó-ó-aat reika, byrjaaðiat reika, begynnaннкir(t)at reika, fara at skjótast til ymsar síður, byrjaaðiat skjótast til ymsar síður, begynna [-Ꞌtʃɪ-]ннкir(t)at skjótast til ymsar síður, fara at sveima, byrjaaðiat sveima, begynna [-Ꞌtʃɪ-]ннкir(t)}at sveima (um eygur)
забега́ть	ipf síзабежа́ть
забе́гаться	ipfrennaслнa-u-useg móðan
забежа́ть	забегу́, забежи́шь, забегу́т;imper забеги́, забеги́теpf(ipfзабега́ть)1.(бегом попасть) komaслнo-o-orennandi; komaслнo-o-orennandi inn (бегом войти); соба́ка забежа́ла в двор hundurin kom rennandi inn í garðin2.к кому-л.tlm.(зайти) støkkaслнa-u-oinntil o-n, hyggjaur(d){+}inn á gólviðhjá[tʃʰ-]o-m3.(убежать далеко) rennaслнa-u-ulangt burtur; де́ти забежа́ли далеко́ от до́ма børnini [-tn-] runnu langt burtur heimanífrá [haimanɪ-]4.tlm.(быстро зайти со стороны) rennaслнa-u-uframum [-Ꞌʊmː], rennaслнa-u-uuttanum [-Ꞌʊmː]; забежа́ть спра́ва koma rennandi framum høgrumegin frá5.за что-л.(бегом скрыться за чем-л.) faraслнó-ó-arennandi aftur [aʰtː-] Ꞌ umo-t(og krógva seg), komaслнo-o-orennandi aftur [aʰtː-] Ꞌ umo-t(og krógva seg)@забежа́ть вперёдa)beinl.rennaслнa-u-uframum [-Ꞌʊmː]; b) (опередить события) faraслнó-ó-aframum [-Ꞌʊmː] (í søgugongd o.ø.); c) (опередить кого-л.) veraслнa-ó-eundano-m, veraслнa-ó-eframman fyrio-n
забе́й...	забе́й, забе́йтеimper avзаби́ть
забеле́ть	pf bert 3. pers brúktur1. (начать белеть) faraслнó-ó-a{begynna [-Ꞌtʃɪ-]ннкir(t)ат, byrjaaðiat} hvítna2.. (показаться белым) síggjastслнá-ó-æhvítur, lýsair(t)hvítur; за реко́й забеле́ли дома́ посёлка handan ánna lýstu húsini í bygdini hvít, handan ánna sóust húsini í bygdini (so) hvít
забе́ливать	ipf síзабели́ть
забели́ть	забелю́, забе́л|ишь, ~ятogзабел|ю́, ~и́шь, ~я́тpf(ipfзабе́лывать)что-л.1.(покрасить) hvíttaaðio-t2.(довавить сметаны, молока) lataслнæ-ó-amjólkel.súrróma í suppu
забер...	заберу́o.s.fr. fut avзабра́ть
забере́менеть	pf síберемене́ть
забеспоко́иться	забеспоко́|юсь, ~ишься, ~ятсяipffáaслнe-i-ióttaá sær, verða óróligur [-Ꞌrɔu-]глigur, fáaслнe-i-iófrið á seg, faraслнó-ó-aat órógvast, begynna [-Ꞌtʃɪ-]ннкir(t)at órógvast, byrjaaðiat órógvast, fáaслнe-i-iampa á seg
забетони́ровать	pf síбетони́ровать
забива́ть	ipf síзаби́тьI
забива́ться	ipf síзаби́тьсяI
заби́вка	plurзаби́в|ки, ~ок, ~камfneglingж0-ar(гвоздей); rammingж0-ar(pelar o.a.) (сваи); neglingж0-aruppfyri [-Ꞌfiː-] (окна)
забинтова́ть	забинту́|ю, ~ешь, ~ютpf(ipfзабинто́вывать,ipf eis.бинтова́тьбинту́|ю, ~ешь, ~ют)Accbindaслнa-u-uumВин, leggjaнепрbind umo-t, forbinda [-Ꞌpɪ-]ннкслнa-u-uВин
забинто́вывать	ipf síзабинтова́ть
забира́ть	ipf síзабра́ть
забира́ться	ipf síзабра́ться
заби́тый	заби́т, ~а, ~о, ~ыIpartic avзаби́тьIIadjhildinсоглоснniðri [nɪɹːɪ] (kúgaður), kúgaðurглaður; óttafullur [-tl-]согл(запуганный)
заби́ть1	Iзабь|ю́, ~ёшь, ~ю́т;imperзабе́й, забейтеpf(ipfзабива́ть)1.что-л.(вколотить,вогнать) sláaслнó-ó-io-tinn, sláaслнó-ó-io-tniður, rekaслнa-ó-io-tinn, rekaслнa-ó-io-tniður; заби́ть гвоздь в сте́ну neglair(d){+}ein nagla inn í veggin, reka ein nagla inn í veggin; заби́ть сва́и rammaaðiспец.pelar niður2.что-л.(чем-л.) (заполнить) kjokkaaðio-t(við o-m), fylla [-tla]ir(t)o-tá tremur (við o-m), stappaaðio-t(við o-m); tippair(f)o-t(við o-m) (закупорить); blokera [plɔꞋkʰeː-]ннкaðio-t(við o-m) (блокировать); шкаф заби́т кни́гами skápið er kjokkfult av bókum; трубу́ заби́ло песко́мóprørið er tipt av sandi; проли́в заби́т льдом sundið er fult av ísi, sundið er tipt av ísi, sundið er sperrað av ísi; заби́ть ще́ли па́клей tettair(t)rivur við strýggi3.: заби́ть гол {мяч в воро́та} skjótaслнey-u-omál, skoraaði4.что-л.(досками и т.п.) neglair(d){+}aftur [aʰtː-], negla uppir(d){+}fyri (o-t); заби́ть я́щик negla ein kassa aftur [aʰtː-]; заби́ть о́кна доска́ми negla fjalar upp fyri vindeyguni5.кого-л.tlm.(превзойти) beraслнa-ó-oavo-m, sláaслнó-ó-io-nút (vera betri enn)6.Acc(зарезать) slaktaaðiВин, drepaслнa-u-iВин(djór); быть заби́тым leggjaнепрbeinini (б.ч. о гриндах и др. китах,убитых в заливах и т.п.)7.bert 3. pers brúktur что-л.(заглушить) køvair(d)o-t; сорня́к заби́л цветы́ ókrútið køvdi blomstrini8.Acc(измучить,запугать) kúgaaðiВин, haldaслнe-i-iДатniðri [nɪɹːɪ]@заби́тького-л.на́смертьberjair(d){e/a}{+}o-ntil deyðis;заби́ть себе́ в го́ловуsetaur(t);ir(t)særo-tí høvdið [hœtːɪ];заби́тькому-л.го́ловучем-л.fylla [-tla]ir(t)høvdið [hœtːɪ]á o-m við o-m
заби́ть2	IIзабь|ю́, ~ёшь, ~ю́т;imperзабе́й, забе́йтеpf1. (начать бить) faraслнó-ó-aat sláa, begynna [-Ꞌtʃɪ-]ннкir(t)at sláa, byrjaaðiat sláa; faraслнó-ó-aat banka, begynna [-Ꞌtʃɪ-]ннкir(t)at banka, byrjaaðiat banka; faraслнó-ó-aat buka, begynna [-Ꞌtʃɪ-]ннкir(t)at buka, byrjaaðiat buka},sbr.бить2.(о жидкости) goysair(t)upp (внезапно); sproyta [-œi-] (реже[-ɔi-])aðiupp, sprænair(d)upp (струёй); fossaaðiupp, fossaaðifram (сильно)3.: меня́ заби́ла дрожь skjálvti [ʃɔl̥tɪ] kom á meg, eg fór upp at ristast@жизнь заби́ла ключо́мtað var so yðjandi fult av lívi
заби́ться1	Iзабь|ю́сь, ~ёшься, ~ю́тся;imperзабе́йся, забе́йтесьpf(ipfзабива́ться) 1.tlm.(спрятаться) krógvaaðiseg, komaслнo-o-osær Ꞌ undan2.bert 3. pers brúktur(засориться) fyllast [-tl-]ir(t); tippastir(t)(закупориться)3.bert 3. pers brúktur(проникнуть) otaaðiseg inn í (um støv o.a.)
заби́ться2	IIзабь|ю́сь, ~ёшься, ~ю́тся;imperзабе́йся, забе́йтесьpf1.(о сердце и т.п.) faraслнó-ó-aat banka (um hjartað o.tíl.)2. (начать биться) byrjaaðiat kasta sær á, byrjaaðiat kippast; faraслнó-ó-aupp at skelvaслнa-u-o(содрогнуться); заби́ться в исте́рике liggjaнепрog kasta sær á av hysteri [hʏstɪꞋriː],sbr.би́ться
забия́ка	m/ftlm.klandursvættiсгл-i, bardagamaðurмнепр
заблаговре́менно	adví góðari tíð, til tíðina, betíðs [-ˈtʰʊi̯sː]ннк
заблаговре́менный	stfзаблаговре́мен|ен, ~на, ~но, ~ныadjsum er í góðari tíð, sum er nóg tíðliga [tʰʊʎja] (ранний)
заблагорассу́диться	заблагорассу́дитсяpfóphavaнепрhug til; всё что ей заблагорассу́дится alt, sum dettur henni í hug; alt, sum henni lystir; ему́ заблагорассу́дилось уе́хать hann fekk tað innskot at fara, hann helt tað vera best at fara
заблесте́ть	заблещу́, заблест|и́шь, ~я́тpf(faraслнó-ó-aat, begynna [-tʃɪ-]ir(t)at, byrjaaðiat glógvaaði, (faraслнó-ó-aat, begynna [-tʃɪ-]ir(t)at, byrjaaðiat) skínaслнei-i-i,sbr.блесте́ть
забле́ять	забле́|ет, ~ютpffaraслнó-ó-aat jarma, begynna [-Ꞌtʃɪ-]ннкir(t)at jarma, byrjaaðiat jarma
заблиста́ть	pfhátíð.síзаблесте́ть
заблоки́ровать	заблоки́ру|ю, ~ешь, ~ютpf что-л.blokera [plɔˈkʰeː-]aðio-t, sperraaðio-t(карту, счёт и т.п.)
заблоки́роваться	pf síблоки́роватьсяI
заблуди́ться	заблужу́сь, заблу́д|ишься, ~ятсяpfvillast [-tl-]ir(t); она́ поняла́, что заблуди́лась hon forstóð [-Ꞌstɔu]ннк, at hon var vilst; заблуди́вшийся vilsturсогл
заблу́дший	adjbókl.burturvilsturсогл@заблу́дшая овца́ein burturvilstur seyður, eitt burturvilst fárшутл.
заблужда́ться	ipffaraслнó-ó-askeivur, takaслнó-ó-ifeil
заблужде́ние	nvilla [-tla]жгл-a; ввести́кого-л.в заблужде́ние villa [-tla]aðio-n, leiðao-nav leið, villa [-tla]aðio-nav leið; находи́ться {пребыва́ть} в заблужде́нии faraслнó-ó-askeivur; вы́вестикого-л.из заблужде́ния fáaслнe-i-io-nfrá eini misfatan
забода́ть	pf(ipfбода́ть)кого-л.stangaaðio-ntil deyðis (насмерть)
забо́й1	Imnám.(в шахте)stað, har brotið verður(í námi)
забо́й2	IIm(скота) slaktс0о(tað at slakta); (живой рыбы) slaktingж0-ar(av fiski); предприя́тие для забо́я лосо́ся (laksa)kryvjivirki, (laksa)sláturvirki
забо́й3	IIIm (клавиша) backspace [paʰkspεis]м нескл
забо́йщик	mminuarbeiðariннкмгл-ari, námsarbeiðariнпмгл-ari, námsarbeiðsmaðurнпмнепр(sum fæst við at bróta málm,kol o.a.)
забола́чивание	ntað at gerast mýrilendiсгл-i, tað at gerast mýriжгл-i; забола́чивание озёр tað at vøtn fyllast [-tla] við gróðri
забола́чивать	ipf síзаболо́тить
забола́чиваться	ipf síзаболо́титься
заболева́емость	ntalс0о{a/ø}av sjúkutilburðum; заболева́емость гри́ппом сни́зилась talið av influensatilburðum [-Ꞌεn̊-] er minkað; заболева́емость дете́й сни́зилась talið av sjúkum børnum [-tn-] er minkað, heilsustøðan hjá børnunum [-tn-] er batnað
заболева́ние	n1.(болезнь) sjúkaжгл-a; профессиона́льное заболева́ние arbeiðssjúka2.(чем-л.) (возникновение болезни) tað at gerast sjúkur, tað at sjúklast; предотврати́ть забо́левание fyribyrgja, ato-rblívur sjúkur; слу́чаи заболева́ния гри́ппом influensatilburðir [-Ꞌεn̊-], influensatilfeldi [-Ꞌεn̊-]ннк,sbr.заболе́ть 1 =>амёбный
заболева́ть1	Iipf síзаболе́тьI
заболева́ть2	IIipf síзаболе́тьII
заболе́ть1	Ipf(ipfзаболева́ть) (стать больным) (чем-л.) blíva sjúkurсогл, gerast sjúkurсогл., leggjastнепрsjúkur; заболе́тьчем-л.leggjastvið o-m, gerast sjúkurсоглav o-m, fáaслнe-i-io-t; я заболе́л анги́ной eg havi fingið ilt í hálsin, eg havi fingið hálsbetendilsiннк
заболе́ть2	IIpf(ipfзаболева́ть,sbr.боле́ть II)bert 3. pers brúktur: у меня́ заболе́ла голова́ eg havi fingið ilt í høvdið [hœtːɪ], eg fekk ilt í høvdið [hœtːɪ], eg havi fingið høvuðpínu, eg fekk høvuðpínu; у неё заболе́л желу́док hon hevur fingið ilt í búkin, hon fekk ilt í búkin; у неё заболе́л зуб hon hevur fingið tannapínu, hon hevur fekk tannapínu; у него́ заболе́ло го́рло hann hevur fingið ilt í hálsin, hann fekk ilt í hálsin
за́болонь	fsplintviðurмсогл-ir, geitж0-ir(ytsta lagið av viði)
заболо́тить	заболо́чу, заболо́т|ишь, ~ятpf(ipfзабола́чивать)что-л .geraнепрo-ttil mýrilendi, geraнепрo-ttil mýr
заболо́титься	заболо́т|ится, ~ятсяpf(ipfзабола́чиваться) gerastнепрtil mýrilendi, gerastнепрtil mýri; о́зеро заболо́тилось vatnið er avvaksið við gróðri
заболо́ченный	adjmýruturсогл, bleytlendurсогл; váturсогл, vátlendur [vɔʰt-]согл(о луге,поле)
заболта́ть1	Ipftlm.faraслнó-ó-aat práta, begynna [-Ꞌtʃɪ-]ннкir(t)at práta, byrjaaðiat práta (беседовать); sussaaði, babbaaði(болтать)
