ч.	1.час tími; в 17 ч. 25 мин. kl. 17.252.часть partur3.síчел.4.число́ tal; dato [taːto]
чаепи́тие	ntedrekkingж0-ar
чаи́нка	plurчаи́н|ки, ~ок, ~камfteblaðс0о{a/ø}{0<>i}
чай1	IGenча́я, ча́юm1.(Thea) teс0о{0<>i}(planta), terunnurмсогл-ar(куст)2.(продукт) teс0о{0<>i}(vøra,drykkur); па́чка ча́ю tepakki, ein pakki av te; за ча́шкой ча́я yvir ein temunn; за ча́ем við teborðið@дава́ть на чайgeva drykkjupengar;чай да са́хар!óvkm.væl gagnist (sagt við fólk, sum drekka te);чай пить - не дрова́ руби́тьtilt.≈ ein drekkamunnur er altíð góður (skemtandi svar,tá te verður boðið) =>пусто́й2,жи́дкий2,кре́пкий5,сла́бый5
чай2	IIparentóvkm.1.(вероятно, наверное) helst; tað er líkt til2.(всё-таки,ведь) hóast alt
Ча́йка1	IplurЧа́йки, Ча́ек, Ча́йкамfTjajka [tʃʰaika]м нескл.(bilmerki,luksusbilur við sjey setrum)
ча́йка2	IIplurча́йки, ча́ек, ча́йкамf1.(род Larus) másiмгл-i; skuriмгл-i(молодая нек. родов); морска́я ча́йка (L. marinus) svartbakur [svaɹp-], [svaɹ̥t-]мсогл-ar; поля́рная {исла́ндская} ча́йка (L. glaucoides) lítil valmási [valm-]; серебри́стая ча́йка (L. argentatus) fiskimási, mási; си́зая ча́йка (L. canus) skatumási, gneggjusм0-ar; обыкнове́нная {речна́я, озёрная} ча́йка (L. ridibundus) fransaterna [о́tna]жгл-a2. (другие роды): бе́лая ча́йка (Pagophila eburnea) ísmásiмгл-iвилохвостая ча́йка (Xema sabini) ternumási [tʰεtn-]мгл-i
чай-клу́б	mteklubbi (fyri fólk, ið dámar te)
чайлдфри́	n indeclsjálvvalt [ʃɔlval̥t barnloysi [panl-]сгл-i
Чайна-та́ун	mkinesiskur [kʰiˈneː-] býlingurмсогл-ar,kinesarabýlingur [kʰiˈneː-]мсогл-ar; Chinatown [tʃʰainatʰaun]м нескл неформ.
ча́йная	ftestovaжгл-a(har te og okkurt smávegis at eta fáast til keyps)
ча́йник	mtekannaжгл-a(для заваривания); (te)ketilм0осн(для кипячения воды) =>ста́вить1
ча́йница	fteblikkс0о
ча́йный	adjte-; ча́йная ча́шка tekoppur; ча́йный куст terunnur; ча́йная планта́ция teplantasja [-tʰaː-]@ча́йная ро́за(Rosa chinensis) terósa =>ло́жка1,серви́з
чако́на	fchaconne [ʃaˈkʰɔnˑ]ж0-ir
ча́кра	жrel.chakra [tʃʰaʰkɹa]ж0-ir(;гл-a)
чал	m síча́лка
ча́лить	ча́л|ю, ~ишь, ~ятipf что-л.skip.bindaслнa-u-uo-t(skip), fortoya [-Ꞌtʰœija-] (реже[-Ꞌtʰɔija-])aðio-tмор.,sí eis.прича́лить
ча́лка	plurча́л|ки, ~ок, ~камffortoyning [-Ꞌtʰœi-] (реже[-Ꞌtʰɔi-])ннкж0-arпроф, endiмгл-i(at binda við), trossiмгл-i(at binda við)
чалма́	fturban [-Ꞌpaːn]ж0-ir, vavhúgvaлпжгл-a
ча́лый	Iadjøgnuturсогл(serl. við hvítum øgnum í gráum liti), gráskjóruturсоглIImgráskjórut rossс0о, øgnut rossс0о
чан	Prpв ча́не, в чану́;plurчан|ы́, ~о́в, ~а́мel.ча́н|ы, ~ов, ~амm1.(кадка) karс0o{a/ø}, baljaжгл-a2.(железнобетонный,кирпичный резервуар) karс0o{a/ø}(av betong ella múrsteini)
ча́нский	adjtjaniskur [tʃʰaː-]соглsk; ча́нский язы́к tjanisktсприлskt
ча́ра	fgml.,skald.bikarс0о;0о{a/ø}, steypс0о, skálж0-ir; kalikurмсогл-arцерк., kálkurмсогл-arцерк.
ча́рдаш	m(венгерский танец) csardas {czardas} [tʃʰaɹtaʃ]м0-ar({0<>i})(ungarskur dansur)
ча́рка	plurча́р|ки, ~ок, ~камfgml.,skald.bikarс0о;0о{a/ø}, steypс0о
чарльсто́н	mchrarleston [tʃʰaɹlstʰɔn]м0-ar
чарова́ть	чару́|ю, ~ешь, ~ютipf(pfочарова́тьочару́|ю, ~ешь, ~ют)Acctølair(d)Вин, dáraaðiВин
чароде́й	mgandakallur [-tl-]мсогл-ar{a/ø}
чароде́йка	plurчароде́йки, чароде́ек, чароде́йкамf1.(волшебница) gandakelling [-tl-]ж0-ar2.bókl.(пленительная женщина) tølandi kvinnaжгл-a
чароде́йство	n1. (волшебство) gandurмсогл-ar2.fl., bókl.(чарующая сила) tað at rúnabindaслнa-u-uВин кн, tað bergtakaслнó-ó-iВин кн,tølanж0-irкн., выс.(очарование)
чарт	m1.búsk.(диаграмма, график) diagramm [tiːjaˈkɹamː]с0о(;0-ir)2.mus.(рейтинг) hittlistiмгл-i, topplistiмгл-i(við best umtóktu løgunum)
ча́ртер	[-тэр]mcharter [tʃʰaɹ̥tεɹ]м0-ar{0<>i}мор.
ча́ртерный	[-тэр]adjcharter- [tʃʰaɹ̥tεɹ-]ннкпроф., leigu-; ча́ртерный рейс charterflúgvingж0-ar, leiguflúgvingж0-ar; chartertúrurмсогл-ar;-ir, leigutúrurмсогл-ar;-ir
´чартс	m síчарт2
чару́ющий	partic/adjbergtakandiглandi, tølandiглandi, hugtakandiглandi; charmerandi [ʃaɹꞋmeː-]ннкглandi(обаятельный)
ча́ры	чар, ча́рамf plur1.gml.(колдовство) gandurмсогл-ar2.(обаяние) útstrálingж0-ar; charma [ʃa-] {sjarma}жгл-a
час	Genча́са, ча́су,saman viðполтора́, че́твертьog grundtølum, ið krevja Gen singчаса́, Prpо ча́се, в часу́;plurчас|ы́, ~о́в, ~а́мm1.(промежуток времени) tímiмгл-i(klokkutími), klokkutímiмгл-i; че́рез два часа́ a) (по прошествии) um tveir tímar; b) tveir tímar seinni [саi̯тнɪ](в прошлом): c)) (каждые два часа) annanhvønn tíma; с час umleið [-Ꞌlai-] ein tíma; час за ча́сом tíma eftir [εʰtː-] tíma; час тому́ наза́д fyri einum tíma síðani; рабо́ты на час arbeiði til ein tíma; опозда́ние на три часа́ seinkan í tríggjar tímar, tríggja tíma seinkanофиц.; два часа́ езды́ tveir tímar at koyra, tveir tímar at ferðast; получа́ть 50 рубле́й в час fáa 50 rublar um tíman; три́дцать киломе́тров в час tretivu kilometrar [kʰiː-] um tíman; в тече́ние ча́са í ein tíma; он был там о́коло ча́са hann var har í umleið [-Ꞌlai] ein tíma; полтора́ часа́ hálvurannar [-Ꞌanː-] tími, hálvanannan [-Ꞌanː-] tíma; на час ра́ньше ein tíma fyrr2.(время по часам): кото́рый час? hvat er klokkan?; hvussu nógv er klokkan?; семь часо́в klokkan er sjey; в кото́ром часу́? Nær?; hvat klokkan?; в час (дня) klokkan eitt (um dagin); в семь часо́в ве́чера klokkan sjey um kvøldið; часа́ в три við trítíðina, umleið [-Ꞌlai] klokkan trý; ро́вно в час presist [pʰɹeꞋsiːst]ннкklokkan eitt; тепе́рь без трёх (мину́т) час nú er klokkan tríggjar minuttir [mɪꞋnʊ-] í eitt; чита́ть до ча́су но́чи lesa til klokkan eitt um náttina; в четвёртом часу́ millum (klokkan) trý og fýra; (сейча́с) восьмо́й час klokkan er farin av sjey, hon er farin av sjey; он пришёл о́коло ча́су hann kom um eitttíðina3.(учёбы,работы) (undirvísingar)tímiмгл-i, skúlatímiмгл-i(в школе); на пе́рвом ча́се í fyrsta [fɪsta] tíma; 5 часо́в в неде́лю fimm tímar um vikuna; час геогра́фии tími í landalæru4.(время,посвящённое чему-л.) tíðж0-ir; часы́ приёма viðtalutíð; часы о́тды́ха hvílitímar; час обе́да døgurðatíð; часы́ обе́да døgurðatíð; свобо́дные часы́ frítíð; в вече́рний час um kvøldið; часы́ рабо́ты skrivstovutíð, avgreiðslutíð (учреждения); upp- og afturlatingartíð [aʰtː-], «opið er» (на надписях) (магазина и др.)@стоя́ть на часа́хhaldaслнe-i-ivakt, veraслнa-ó-eá varðhaldiнп; пришёл его́после́днийчас hansara deyðastund var komin, hansara síðsta stund er komin;час в часstundisliga, precist {presist} [pʰɹeꞋsiːst]ннк;час о́т ча́суfyri hvønn tíma;с ка́ждым ча́сомfyri hvønn tíma;час о́т часу не ле́гчеtilt.tað versnar [vεsn-] í hvørjum;в свой часtá tann tíð kemur;до э́того {сего́} ча́саinntil nú;с ча́су на часa) (вот-вот) hvørja løtu; b) (с каждым часом) fyri hvønn tíma (,sum gongur) =>би́тый@,деньI @,до́брый3,@,мёртвый@,по́здний1,ра́нний1,по9,ро́вный@,ско́рость1,сме́ртный1,че́тверть2,часы́@
часа́ми	adví tímar, í tímavís
часо́вня	fkapell [-Ꞌpʰεlː]с0о
часово́й1	Imherm.vaktж0-ir(vaktarmaður); выставля́ть часовы́х seta vaktir =>развести́I 1
часово́й2	IIadj(о времени)1.(длящийся один час) sum varir ein tíma; tímalangurсоглang(длящийся долго, многочасовой); часова́я бесе́да ein samrøða í ein tíma; его́ часовы́е разгово́ры по телефо́ну hansara tímalangu telefonsamtalur2.(рассчитанный на час,получаемый за час) tíma-; часова́я опла́та tímagjald3.(назначенный на час или на 13 часов) eitt-; часово́й по́езд eitttokið, tokið klokkan eitt@часово́й по́ясtíðarsonaжгл-a, tíðarøkiсгл-i
часово́й3	IIIadj(кчасы́ I) ur-, klokku-,sbr.часы́ I; часовы́е стре́лки klokkupinnar; vísari (á uri); по часово́й стре́лке við sólini, sólarrætt; про́тив часово́й стре́лки móti sólini, sólarrangt, andsølis [ans-] =>ма́стер1
часовщи́к	Gen, Accчасовщик/а́;plur~и́, ~о́в, ~а́мmurmakariмгл-ari, ursmiðurмсогл-s,-ir
часо́к	Genчаск|а́;plur~и́, ~о́в, ~амmtlm.eintími ella [εtla] so, umleið [-Ꞌlai] ein tími
часосло́в	m bók við bønum o.ø. fyri hvønn tíma(írus. ortodoksu kirkjuni); ≈ breviar [pɹeːviˈaːɹ]с0о
часте́нько	advtlm.rættiliga ofta, nokk so ofta, ikki so sjáldan
ча́стик	m síчaсти́к
ча́стиковый	adj síчастико́вый
части́ть	чащу́, част|и́шь, ~я́тipf1.tlm.(делать что-л. торопливо,чаще чем нужно) geraнепрo-tskjótt; títtaaði; не части́, говори́ ясне́й ver ikki so títtmæltur, tosa skilligari2.óvkm.(часто посещать) ofta vitjaaðio-n{o-t}, veraслнa-ó-etíður gestur
части́ца	f1.(небольшая часть) lítil parturмсогл-ar{a/ø}2.(материи) partikkul [-Ꞌtʰɪʰkː-]м0осн, bitilлпм0оснфиз.; части́цы пы́ли (støv)puс0о3.máll.(служебное слово) partikkul [-Ꞌtʰɪʰkː-]м0оснграм., bitilлпм0оснграм.4.fl.(крупица) vetс0о, sindurс0осн; в его́ слова́х не́ было и части́цы пра́вды tað var ikki minsta vet av sannheit í tí, hann segði [sεijɪ] =>элемента́рный6
части́чка	plurчасти́ч|ки, ~ек, ~камf dim avчасти́ца 1, 2, 4
части́чно	advpartvíst, fyri ein part, lutvíst
части́чный	stfчасти́ч|ен, ~на, ~но, ~ныadjpartvísurсогл, lutvísurсогл; части́чное улучше́ние nakað av bata, ein ávísur bati; части́чное со́лнечное затме́ние lutvís sólarmyrking
ча́стник	[-сн-]m1.(частный торговец) sjálvstøðugur [ʃɔls-] vinnurekandiмприл, privatur [pʰɹiꞋvaː-] vinnulívsmaðurмнепр2.(автомобилист) bileigariмгл-ari(privatur)
частновладе́льческий	[-сн-]adjprivatur [pʰɹiꞋvaː-]согл
ча́стное	[-сн-]n mat.kvotientur [kʰvoˈʃε-]интмсогл-arпроф., deildtalлпс0о{a/ø}
частнопрактику́ющий	[-сн-]m: privatpraktiserandi [pʰɹiꞋvaː-]глandi, í sjálvstøðugari [ʃɔl̥s-] vinnu; частнопрактику́ющий врач privatpraktiserandi lækni
частнопредпринима́тельский	[-сн-]adj(sum er) hjá [tʃʰ-] privatum [-ˈvaː-] vinnurekandi
ча́стность	[-сн-]fdetalja [teꞋtʰaʎja]ннкжгл-aпроф., stakluturнпмсогл-ir, smáluturнпмсогл-ir@в ча́стностиparentmillum [-tl-] annað,сокр.m.a. (между прочим); serstakliga [sεɹꞋstεa-] (особенно)
ча́стный	[-сн-]adj1.(отдельный) einstakurсогл{a/ø}; ávísurсогл, konkretur [-Ꞌkʰɹeː-]ннксогл(конкретный); serstakurсогл{a/ø}, serligurглigur(особый); в ча́стных слу́чаях í einstøkum førum; от ча́стного к о́бщему frá tí serstaka til tað almenna; сли́шком ча́стный вопро́с ein heldur speciellur {spesiellur} [speːsiꞋεlː-]ннкspurningur2.(личный;принадлежащий отдельному лицу; выполняеный для отдельного лица) privatur [pʰɹiꞋvaː-], privat- [pʰɹiꞋvaː-]; ча́стная жизнь privatlív [pʰɹiꞋvaː-]; ча́стная кварти́ра a) (собственная квартира) eigaraíbúð, ognaríbúðнп, eigaraleiligheitннк(в Дании, на Фарерах и др.); b) privatíbúð [pʰɹiꞋvaː-], privatleiligheit [pʰɹiꞋvaː-]ннк(в СССР,в России); она́ живёт на ча́стной кварти́ре hon býr til leigu (í verilsi í íbúðini hjá o-m), hon leigar (verilsi el. tíl. í íbúðini hjá o-m); ча́стная инициати́ва tað privata initiativið [iːnitʰiːjaꞋtʰiː-], tað privata fyritaksemið; ча́стный капита́л privatkapitalur [[pʰɹiꞋvaːtkʰaːpitʰaː-]; в ча́стных рука́х á privatum hondum; в ча́стном владе́нии á privatum hondum, í privatari ogn; ча́стное лицо́ privatpersónur [pʰɹiꞋvaː-]; по ча́стному де́лу viðvíkjandi einum privatum máli; ча́стный зака́з ein privatur ordriннк; ча́стная пра́ктика (у врача) privat praksisннкпроф.@ча́стное обвине́ниеprivat [pʰɹiꞋvaːt] sakarmál, egin lógsøknлпюр.=>со́бственность1
ча́сто	adv1.(кча́стый) ofta; дово́льно ча́сто rættiliga ofta, ikki so sjáldan; о́чень ча́сто ógviliga ofta, ofta og tíðum2.(плотно,густо) tætt; гу́сто поса́женные дере́вья tætt plantað trø
частоко́л	m(steyra)girðingж0-ar
частота́	plurчасто́т/ы, ~, ~амf1.(кча́стый 1) títtleikiмгл-iкн.2.fys.(число повторений чего-л.) frekvensur [fɹeꞋkʰvε-]мсолг-ar, tíðleikiлпмгл-i, tíddлпж0-ir; ни́зкая частота́ lágfrekvensur, lágtíddлп; высо́кая частота́ háfrekvensur, hátíddлп; частота́ ка́дровsjónv.myndafrekvensur, bílætfrekvensurннк=>полоса́3
часто́тность	ffrekvensur [fɹeꞋkʰvε-]мсолг-ar, tíddлпж0-ir, títtleikiмгл-iкн.
часто́тный	stfчасто́т|ен, ~на, ~но, ~ныadjfrekvens- [fɹeꞋkʰvε-]; часто́тный диапазо́н frekvensband [fɹeꞋkʰvε-]; часто́тный слова́рь frekvensorðabók [fɹeꞋkʰvε-]спец., tíddarorðabókлп
часту́шка	plurчасту́ш|ки, ~ек, ~камf(stutt) vísaжгл-a(oftast við fýra ella tveimum reglum við skemtiligum ella spottandi innihaldi);с0осн. (б.ч.детская и т.п.)
ча́стый	stfчаст, часта́, ча́сто, ча́стыadj1.(повторяющийся) sum hendir javnan, sum hendir ofta; tíðurгл; ча́стый гость tíður gestur; ча́стые встре́чи fundir, sum eru ofta2.(густой) tætturсогл{æ/ø}; ча́стый лес tøtt skóg; ча́стый гре́бень tættkambur, fínkambur; ча́стая сеть smámeskað net; ча́стый дождь samregn; ча́стая и́згородь tætt hegn3.(быстрый) skjóturсогл; ча́стый пульс títturсоглpulsur
часть	plurча́сти, част|е́й, ~я́мf1.(доля целого) parturмсогл-ar, luturмсогл-ir; avdrátturм0осн-ar,-ir;согл-ir, rata [raː-]ннкжгл-aпроф.(об оплате и т.п.); бо́льшая часть meginparturinsíбольшинство́, бо́льший; бо́льшею ча́стью {по бо́льшей ча́сти}síбо́льший@; тре́тья часть triðingur; дели́тьчто-л.на 5 часте́й býta sundur í fimm partar; одна́ часть у́ксуса на три ча́сти воды́ ein partur av etiki til tríggjar partar av vatni; опла́та по частя́м avbetalingннкж0-ar, avgjaldнпс0о{a/ø}; с опла́той по частя́м gjald í avdráttum, gjald í ratum [raː-]; разобра́тьчто-л.на ча́сти takao-tsundur; рома́н в трёх частя́х skaldsøga [skals-] í trimum pørtum; втора́я часть annar partur; за́падная часть vestari partur; сре́дняя часть доро́гитжmiðjan á vegnum [veːn-]; в пере́дней ча́стичего-л.frammarlagaí {á} o-m, fremstпревосх. í {á} o-m, í fremraсравн.partiav o-m; в за́дней ча́стичего-л.aftarlaga [aʰtː-]í {á} o-m, aftastпревосх. í {á} o-m, í aftara [aʰtː-]сравн.partiav o-m,sbr. eis.ни́жний2.(составной элемент) parturмсогл-ar{a/ø}, luturмсогл-ir; deilurннкмсогл-s,-irпроф.(ос. о деталях машины и т.п.); ча́сти маши́н maskindeilir [-Ꞌʃiːn-]3.(пай) parturмсогл-ar, luturмсогл-ir; получи́ть свою́ часть fáa sín part, fáa sín lut4.(отдел) deildж0-ir5. (область деятельности) virkisøkiсгл-i; рабо́тать по администрати́вной ча́сти hann arbeiðir í fyrisitingini6.herm.(войска) (her)deildж0-ir7. mus. (музыкального произведения) satsurмсогл-s,-ir(í musikkverki)@часть ре́чиmáll.orðaflokkurмсогл-ar;э́то по его́ ча́стиa) (это его область) hetta er hansara øki, hetta hoyrir undir hann; b) (это по нему) hetta er nakað fyri hann; знато́к по э́той ча́сти serfrøðingur í hesum, serkønur í hesum; э́то не по мое́й ча́сти hetta er ikki mítt øki, hetta er ikki mítt borðнеформ.;по ча́стичего-л.tá ræður umo-t=>вне́шний1,вы́плата1,запасно́йI,разрыва́ться@,рватьI @,светII 1,составно́й2,те́ло1,уче́бный1
ча́стью	advlutvíst, partvíst, fyri ein part; summpart
часы́1	Iчас|о́в, ~а́мm plurklokkaжгл-a; urс0о(б.ч. карманные и т.п.); ручны́е часы́ armbandsur [-pan̊s-]; ба́шенные часы́ tornklokka, tornur [-uːɹ]; я без часо́в eg havi einki ur; поста́вить часы́ seta klokkuna; перевести́ вперёд часы́ flyta klokkuna fram; перевести́ наза́д часы́ flyta klokkuna aftur [aʰtː-]; часы́ отстаю́т klokkan saktaraði,sí eis.отста́ть2; часы́ спеша́т klokkan fortaraði; ско́лько вре́мени на твои́х часа́х? hvussu nógv er klokkan á tínum uri?; мои́ часы́ иду́т пра́вильно urið hjá [tʃʰ-] mær gongur rætt; по мои́м часа́м три klokkan er trý á mínum uri@как часы́(работать и т.п.) sum klokkan;по часа́мávísar tíðir =>вперёд@,завести́3,карма́нный1,песо́чный1,со́лнечный@,ста́вить16
часы́2	IIm plur síчас
чат	mjarg.chat [tʃʰaʰtː] {kjatt}с0о{+}; вы́йти в чат fara út á chattið; встре́титься в ча́те møtast á chatti; обсуди́ть в ча́те kjakast umo-tá chatti
ча́хлый	stfчахл, ~а, ~о, ~ыadj1.(о растении) smáligurглigur(плохо растущий), berurсогл(нагой), berligurглigur(нагой), fátæksligurглigur(скудный) (vøkstur); ча́хлый куст ein følnaður runnur; ча́хлая расти́тельность berligur vøkstur2.(о человеке) neyðarsligurглigur, skirvisligurглigur; ча́хлый ребёнок ússaligt barn, mistrivningurмсогл-ar
ча́хнуть	ча́хн|у, ~ешь, ~утipf(pfзача́хнутьзача́хн|у, ~ешь, ~ут)1.(о растении) vantrívastслнei-i-i, trívastслнei-i-iilla [ɪtla] (um plantur)2.(о человеке) hjána [tʃʰ-]aði, tærastir(d)burtur, hímastaðiburtur
чахо́тка	fgml.teringurмсoгл-arуст.=>скороте́чный2
чахо́точный	Iadj1.(о больном человеке) sjúkurсоглav teringi2.fl.,tlm.(скудный,чахлый) ússaligurглigur, neyðarsligurглigurIImsjúkurмприлav teringi
ча́ча	f slag av rúsdrekka gjørt úr avlopi av pressaðum víndrúvum(serl. í Georgia o.a.)
ча́ша	fbolli [-tlɪ]мгл-i; skálж0-ir, bikarс0о;0о{a/ø}; kalikurмсогл-ar,церк., kálkurмсогл-arвыс., церк.; ча́ша весо́в vektskál, vágskálнп@да мину́ет меня́ ча́ша сия́lat hesa skál fara um meg, lat henda kalik fara frá mær;положи́ть на ча́шу весо́вleggja á vektskálina, leggja í vágskálina;дом у них - по́лная ча́шаtey liva í yvirflóð =>перепо́лнить@
чашели́стик	mplant.bikarblaðс0о{a/ø}{0<>i}
ча́шечка	plurча́шеч|ки, ~ек, ~камf1.dim(маленькая чашка) lítil koppurмсогл-ar2.plant.(цветка) (blómu)bikarс0о;0о{a/ø}=>коле́нный
ча́шка	plurча́ш|ки, ~ек, ~камf1.(сосуд) koppurмсогл-ar; ча́йная ча́шка tekoppur; ча́шка ча́ю koppur av te, temunnurмсогл-ar2.(миска) skálж0-ir(ílat); (лифчика) skálж0-ir(á brósthaldara)3.(весов) vektskálж0-ir, vágskálнпж0-ir=>надколе́нный
ча́ща	fskógartættiмгл-iкн., tøtt skógж0-ir, tættur skógurмсогл-ir;-arкн.
ча́ще	compIavча́стыйIIavча́сто; ча́ще всего́ oftast, sum oftast; как мо́жно ча́ще oftast gjørligt, so ofta sum møguligt
чащо́ба	fskógartættiмгл-iкн., tøtt skógж0-ir, tættur skógurмсогл-ir;-arкн.
ча́яние	nbókl.vónж0-ir, væntanж0-ir@па́че ча́янияgml.,bókl.betur enn væntað;сверх вся́кого ча́янияgml.betur enn væntað
ча́ять	ча́/ю, ~ешь, ~ютipf чего, + infgml.væntaaðio-t{+инф}, vónaaðio-t{+инф}; не ча́яла и в живы́х заста́ть hon hevði [hεijɪ] mist allar [atl-] vónir um at finna hann á lívi@души́ не ча́ятьв ком-л.vera sera góðurглvið o-n, vera býtturсоглav o-m; он в ней души́ не ча́ет hon er eygnasteinurin hjá [tʃʰ-] honum
чва́ниться	чва́н|юсь, ~ишься, ~ятсяipf чем-л.breggjaaðisærav o-m, geraнепрseg Ꞌ uppav o-m, erpaaðisærav o-m
чванли́вый	stfчванли́в, ~а, ~о, ~ыadj síчва́нный
чва́нный	stfчва́н|ен, ~на, ~но, ~ныadjstóraktigur [-Ꞌaʰkt-]энкглigurнеодобр., stórurсоглí ondini, hástórurсогл; erpinсоглосн(гордый)
чва́нство	nstóraktigheit [-Ꞌaʰkt-]энкж0-irнеодобр.; erpniсгл-i(гордость); stórlæti [stœɹ-]сгл-iкн.
ЧВК	[чэ-вэ-ка́]f indeclча́стная вое́нная компа́ния privat [-ˈvaːt] hernaðarfyritøkaофиц.
Чебокса́ры	Чебокса́р, ~амf plurTjeboksary [tʃʰeːpɔʰkꞋsaːɹy]м нескл.
чебре́ц	Genчебрец||а́;plur~ы́,~о́в, ~а́мm síчабре́ц
чебуре́к	m slag av deiggjlumma við fyllu av lambskjøti o.ø., sum verður stoktur í olju
чебуре́чная	f lítil restauratión el. tíl., harчебурекverða  seldir
чегло́к	Gen, Accчеглока́; plurчеглок|и́, ~о́в, ~а́мm(Falco subbuteo) vákasmyrilм0осн-s,-ar
чего́1	[чево́] IGen avчто I
чего́2	[чево́] IIpron interrog,conjóvkm.hvat? ha [haː]?
чей	fчья,nчьё;plurчьиpron1.interroghvør eigur; чьё э́то пальто́? hvør eigur henda frakkan?; чья э́та кни́га a) hvør eigur hesa bókina; b) (кто написал) hvør hevur skrivað hesa bókina?; hvønn er henda bókin eftir [εʰtː-]?; чья (э́то) вина́? hvør hevur skyldina?; ты чей? (ребёнку) hvør eigur teg?2.relatsum, hvørsнп; челове́к, чью кни́гу вы взя́ли, рабо́тает у нас maðurin, sum tit læntu bókina frá, arbeiðir hjá [tʃʰ-] okkum; челове́к, чьё и́мя мы все зна́ем maðurin, sum vit øll [œtl] kenna navnið á; maðurin, hvørsнпnavn vit øll [œtl kenna; учёные, чьи рабо́ты всем изве́стны vísindamenn , sum øll [œtl] kenna verkini hjá [tʃʰ-]; vísindamenn, hvørsнпverk øll [œtl] kenna@чья взяла́?hvør vann?
че́й-либо	pron síче́й-нибудь
че́й-нибудь	pronhjá [tʃʰ-]o-m; взять че́й-нибудь каранда́ш taka blýantin hjáo-m
че́й-то	pron síче́й-нибудь
чек1	Im1.(банковский)kekkur (режеtjekkur)мсогл-ar; чек на 1000 крон kekkur upp á túsund [tʰʉusɪn] krónur2.(кассовый) (kassa)bon [-pɔŋk]ннкж0-ir=>вы́бить6,предъяви́тель
чек2	IIm(рисовое поле) rísakurм0осн, rísveltaжгл-a
Чека́1	If indeclЧрезвыча́йная коми́ссия по борьбе́ с контрреволю́цией и сабота́жем Tann serliga nevndin til bardaga móti mótkollvelting og sabotasju [saːpoꞋtʰaː-], Tjeka [tʃʰeːka]ж0-ir;(0-ir), sí eis.ЧК(tann russiska og sovjettiska trygdartænastan 1918-1922)
