о.	Iо́бластьIIо́стров
оба́биться	оба́блюсь, оба́б|ишься, ~ятсяpfóvkm1.(о мужчине) blíva viljaleysurсогл, blíva smáligurглigur(um mannfólk)2.(о женщине) blíva skitligсоглigur, blíva ótrivalig [-Ꞌtʰriː-]соглigur(um konufólk)
обагри́ть	обагр|ю́, ~и́шь, ~я́тpf(ipfобагря́ть)Acchátíð.litaaðiВинreyðan, beraслнa-ó-oreyðan litá Вин, roðaaði(í)Винпоэт.; восхо́д обагри́л облака́ sólin roðaði í skýggj; обагри́ть ру́ки кро́вью blóðdálkaaðihendurnar, dálkaaðihendurnar í blóði, blóðga [plœkːa]aðihendurnar, rjóðaaðiбалл.hendurnar (gerast drápsmaður)
обагри́ться	обагр|ю́сь, ~и́шься, ~я́тсяpf(ipfобагря́ться)hátíð.verða reyðurгл, rodnaaði; на зака́те со́сны обагри́лись furutrøini rodnaðu í setandi sól; ру́ки обагри́лись кро́вью hendurnar vórðu blóðdálkaðar, hendurnar vórðu blóðgaðar [plœkːa-]кн.(um drápsmann)
обагря́ть	ipf síобагри́ть
обагря́ться	ipf síобагри́ться
обалдева́ть	ipf síобалде́ть
обалде́лый	stfобалде́л, ~а, ~о, ~ыadjóvkm.(sum er) (púrasta) í ørviti
обалде́нный	stfобалде́н, ~на, ~но, ~ныadjóvkm.fínurсоглнеформ.(frálíkur), óførurсогл
обалде́ть	pf(ipfобалдева́ть)tlm.verðaслнa-ó-oí ørviti@обалде́ть!eg havi ikki hoyrt so skaft!; eg havi ikki vitað so galið!; eg havi ikki hoyrt sovorðið!
обалду́й	móvkm.,illb.toskurмсогл-arпренебр.(býttlingur), neytс0опренебр., dylhøvd [-hœtː]с0опренебр.
обандеро́ливать	ipf síобандеро́лить
обандеро́лить	обандеро́л|ю, ~ишь, ~ятpf(ipfобандеро́ливать)что-л.fakm. forsegla [-Ꞌsε-]aðio-tvið bandi (pakning o.tíl.)
обанкро́тить	обанкро́чу, обанкро́т|ишь, ~ятpf(ipfбанкро́титьбанкро́чу, банкро́т|ишь, ~ят)Acckoyrair(d)Винá húsagang, koyrair(d)Винafallitt [faꞋlɪʰtː]ннк, koyrair(d)Винkonkurs [kʰɔŋ̊Ꞌkʰʊʂ:]ннк; koyrair(d)Винf á heysinпренебр.
обанкро́титься	обанкро́чусь, обанкро́т|ишься, ~ятсяpf1.(стать банкротом) faraслнó-ó-aá húsagang, faraслнó-ó-aav knóranum; faraслнó-ó-afallitt [faꞋlɪʰtː]ннк, faraслнó-ó-akonkurs [kʰɔŋ̊Ꞌkʰʊʂ]ннк; faraслнó-ó-aá heysinпренебр., faraслнó-ó-arabundus [-Ꞌpʊ-]энкпренебр.2.fl.(потерпеть крах) spælair(d)fallitt [faꞋlɪʰtː]энкнеформ.
обая́ние	nsjarma {charma [ʃa-]}жгл-a; tølanж0-irкн., выс.(очарование)
обая́тельность	fsjarma {charma [ʃa-]}жгл-a; tølanж0-irкн.,выс.(очарование)
обая́тельный	stfобая́телен, обая́тельн|а, ~о, ~ыadjsjarmerandi {charmerandi} [ʃaɹꞋmeː-]глandi, dámligurглigur(располагающий)
обая́шка	plurобая́ш|ки, ~ек, ~камfóvkm.fitt fólkс0о, dámligt fólkс0о
обва́л	m1.(действие) tað at rapa, tað at leypa; зда́ние грози́т обва́лом bygningurin er um at rapa, bygningurin stendur at detta2.(обрушившиеся массы) omanlopс0о, skriðulopс0о, skriðaжгл-a; skalvalopс0о(снежный); сне́жный обва́л skalvalopс0о3.fíggj.(резкое снижение курса) (brádligT kursfall [-tl]с0о{a/ø}
обва́ливать1	Iipf síобвали́ть
обва́ливать2	IIipf síобваля́ть
обва́ливаться	ipf síобвали́ться
обвали́ть	обвалю́, обва́л|ишь, ~ятpf(ipfобва́ливать)что-л.1.(обрушить) koyrair(d)um koll [-tl]; fáaслнe-i-iat leypa (снег, горную породу)2.(обложить чем-л.) dungaaðio-tsamanum o-t, fylla [-tla]ir(t)o-tumo-t; обвали́ть огра́ду землёй skumpaaðijørð saman um stikið
обвали́ться	обва́л|ится, ~ятсяpf(ipfобва́ливаться)1.(обрушиться) dettaслнa-u-oꞋ niður (о потолке и т.п.); rapaaði, leypaслнey-u-o; ryðjaur(d){y/u}oman (о падающих камнях и т.п.)2.(осыпаться) flusnaaðiav, skallaннкaðiꞋavпроф.
обва́льный	adj1.(относящийся к обвалу) skriðu-2.fl.(проиходящий с большой силой) brádligurглigurog ógvisligurглigur; sum eitt óløgiпог.; обва́льное паде́ние ein brádlig og ógvislig lækking, eitt brádligt og ógvisligt fall [-tl]
обваля́ть	pf(ipfобва́ливать)Acc в чём-л.rulla [-tla]aðiВин í o-m; обваля́тького-л.в снегу́ rullao-ní kavanum; обваля́тьчто-л. в сухаря́х panera [-Ꞌneː-]aðio-t(í raspi); raspaaðio-t(б.ч. о рыбе на рыбзаводах и т.п.)
обва́ривать	ipf síобвари́ть
обва́риваться	ipf síобвари́ться
обвари́ть	обварю́, обва́р|ишь, ~ятpf(ipfобва́ривать)Acc1.(обдать кипятком) stoytair(t)kókandi vatná Вин2.(ошпарить) skáldaaðiВин(við kókandi løgi)
обвари́ться	обварю́сь, обва́р|ишься, ~ятсяpf(ipfобва́риваться) skáldaaðiseg
обве...	обве́й, обве́йтеimper avобви́ть
обвева́ть	ipf síобве́ять
обве́ивать	ipf síобве́ять
обвенча́ть	pf síвенча́тьA 1
обвенча́ться	pf síвенча́тьсяA 1
обверну́ть	обверн|у́, ~ёшь, ~у́тpf(ipfобвёртывать)síоберну́ть
обверну́ться	обверн|у́сь, ~ёшься, ~у́тсяpf(ipfобвёртываться)síоберну́ться
обверте́ть	обверчу́, обве́рт|ишь, ~ятpf Acctlm.1.чем-л.(обвить) vindaслнa-u-uo-tumВин2.(перехитрить) lumpaaðiВин
обвёртка	plurобвёрт|ки, ~ок, ~камf síобёртка3
обвёртывать	ipf síоберну́ть
обвёртываться	ipf síоберну́ться
обве́с1	Im(недовес) undirvektж0-ir; svikс0оvið vektini (обман в весе)
обве́с2	IImskip.: обве́с мо́стика leseglс0о(á brúgv)
обве́сить1	Iобве́шу, обве́с|ишь, ~ятpf(ipfобве́шивать)кого-л.(отпуститьс недовес) snýtair(t)o-nvið vekt
обве́сить2	IIобве́шу, обве́с|ишь, ~ятpf(ipfобве́шивать)Acc tlm.(обвешать) taglaaðiВин við o-t
обве́ситься	обве́шусь, обве́с|ишься, ~ятсяpf(ipfобве́шиваться) vigaaðiskeivt
обвести́	обвед|у́, ~ёшь, ~у́т;pretобвёл, обвел|а́, ~о́, ~и́pf(ipfобводи́тьобвожу́, обво́д|ишь, ~ят)1.Acc(вокруг чего-л.) førair(d)Винruntum o-t; leiðair(d)Винruntum o-t(за руку,уздечку); он обвёл ребёнка вокру́г до́ма hann leiddi barnið [-tnɪ] runt um húsið2.Acc(оглядеть,оглянуть): обвести́ глаза́ми lataслнæ-ó-aeyguni faraum Вин; он обвёл взгля́дом прису́тствующих hann læt eyguni fara um øll [œtl] tey hjástøddu [tʃʰ-]3.что-л. чем-л.(оградить чем-л. вокруг) umgirðair(d)o-t við o-m; обвести́ кре́пость рвом umgirða ein festning við einari grøv4.что-л. чем-л.(очертить,окаймить) tekna [tʰεkna]aðikontur [-Ꞌtʰuːɹ], tekna [tʰεkna]aðiumriss; kantaaðio-t við o-m(окаймить); обвести́ блю́дце обо́дком tekna ein borda á skálina, kanta skálina5.кого-л.(в спортивных играх) driblaaði(seg) framvið o-m6.кого-л.(обмануть) lumpaaðio-n=>па́лец@
обве́тренный	adj1.(о лице и др.) veðurbardurсогл2.(выветрившийся) molnaðurглaður, morknaðurглaður
обве́треть	pf síобве́триться
обве́тривать	ipf síобве́трить
обве́триваться	ipf síобве́триться
обве́трить	обве́тр|ю, ~ишь, ~ятpf(ipfобве́тривать)что-л.1.(выветрить) tærair(d)o-t, mataaðio-t(um vind)2.óp(сделать грубым,шершавым) geraнепрo-tveðurbart, geraнепрo-trúðrut, fáaслнe-i-iat skorpna [skɔʂna]; гу́бы обве́трило vindurin fekk varrarnar at skorpna [skɔʂna], varrarnar skorpnaðu [skɔʂn-] av vindinum3.oftast óp(обсушить ветром) turkaaðio-t, geraнепрo-tturt (um vind); по́сле дождя́ доро́гу обве́трило aftan [aʰtː-] á regnið tornaði [-tn-] vegurin upp av vindi
обве́триться	обве́тр|юсь, ~ишься, ~ятсяpf(ipfобве́триваться)1.(выветриться) matastaði, tærastir(d)2.(огрубеть, стать шершавым) verða veðurbardurсогл(о лице и т.п.); skorpna [skɔʂna]aði, torna [-tna]aðiupp (av vindi)
обветша́лый	stfобветша́л, ~а, ~о, ~ыadj1.(пришедший в ветхость) fallkomin, sum stendur at detta niður; skirvisligurглigur; avfallin [-tl-]соглосн{ll/l};avdankaðurглaður(о домах и т.п.)2.(устарелый,отживший) avoldaðurглaður
обветша́ть	pf síветша́ть
обве́шать	pf(ipfобве́шивать)Acc чем-л.heingjair(d){+}o-t upp á Вин, teyggjaaðio-t upp á Вин, taglaaðio-t upp á Вин; avtaglaaðiВин við o-m
обве́шаться	pf(ipfобве́шивать)чем-л.heingjair(d){+}o-t upp á seg, teyggjaaðio-t upp á seg, taglaaðio-t upp á seg; avtaglaaðiseg við o-m
обве́шивать1	Iipf síобве́ситьI, II
обве́шивать2	IIipf síобве́шать
обве́шиваться	ipf síобве́шаться
обве́ять	обве́|ю, ~ешь, ~ютpf(ipfобве́ивать)Acc чем-л.tlm.(обдать веянием,дуновением) fleyraaðium Вин, lotaaðium Вин; го́лову обве́яло ве́тромópvindurin streyk um høvdið [hœtːɪ]
обвива́ть	ipf síобви́ть
обвива́ться	ipf síобви́ться
обвине́ние	n1.в чём-л.(упрёки,укоры) skuldsetingж0-arfyri o-t, beskyldningur [-Ꞌʃɪln-]ннкмсогл-arfyri o-t; ákæraжгл-afyri o-t; обвине́ние во лжи́ skuldseting fyri lygn, skuldseting fyri at lúgva2.jur.(признание виновным) skuldsetingжгл-a, ákæraжгл-a; заде́ржан по обвине́нию в уби́йстве handtikin [hantʰ-] ákærdur fyri morð; возбуди́ть обвине́ние в уби́йстве противкого-л. reisa ákæru fyri morðmóti o-m; пу́нкты обвине́ния ákærupunkt, forholdс0омнюр.,проф.,публ.; снять обвине́ниес кого-л. в чём-л.takaслнó-ó-iákærunaum o-taftur [aʰtː-], sleppair(t)einari ákæruum o-t3.(приговор) dómurмсогл-ar; вы́нести обвине́ние fella [-tla] dóm4.koll(обвиняющая сторона) ákærinмгл-iопр.(í rættarmáli) =>бро́сить3,взвести́1,возвести́4,отвести́4,предъяви́ть2
обвини́тель	m1.(тот, кто обвиняет кого-л.)o-r, ið setur skuldsetingar fram (móti o-m);o-r, ið legguro-n undir o-t2.(лицо,поддерживающее обвинение) ákærariмгл-ari(í Russl. privapersónur,ið reisur ákæru)3.(должность) ákæriмгл-i, ákærariмгл-ari(í rættarmáli); госуда́рственный обвини́тель almennur ákæri; statsadvokaturin [staːtsatvokʰaː-]мсоглопр.(в Дании); обще́ственный обвини́тель ákæri (fyri ym. felagsskapir o.a.)
обвини́тельный	adjákæru- =>акт3,пригово́р1
обвини́ть	обвин|ю́,~и́шь,~я́тpf1.síобвиня́ть2.Acc в чём-л.(осудить) dømair(d)Винsekaní o-m
обвиня́емый	Ipartic avобвиня́тьIImskuldsetti [skʊls-]мприл, ákærdiмприл
обвиня́ть	ipf(pfобвинитьобвин|ю́, ~и́шь, ~я́т)1.кого-л. в чём-л.(считать виновным) leggjaнепрo-nundiro-t, gevaслнa-ó-io-mskyldina fyrio-t, beskylda [-Ꞌʃɪ-]ннкaðio-nfyrio-t, skuldseta [skʊls-]ur(t);ir(t)о-nfyrio-tофиц.,кн.тж.юр.; brigslaaðio-m o-t(упрекать)2.кого-л. в чём-л.(привлекать к судебному разбирательству) ákærair(d)o-n fyri o-t, reisair(t)ákæru mótimóti o-m fyri o-t(после следствия)3.bert ipfjur.(выступать обвинителем) veraслнa-ó-eákæri (í rættarmáli)
обвиса́ть	ipf síобви́снуть
обви́слый	stfобви́сл, ~а, ~о, ~ыadjtlm.hangandiглandi; leysurсогл(о коже и т.п.); обви́слые щёки kvapsutir kjálkar; обви́слые усы́тжlavandi yvirskegg; обви́слый живо́т hangandi búkur; обви́слые гру́ди hangibróstопр., hangiboppurжгл-aмннеформ.,пренебр.,шутл.; у него́ обви́слые пле́чи hann er slútakslaðurглaður
обви́снуть	обви́сн|ет, ~ут;pretобви́с, ~ла, ~ло, ~лиpf(ipfобвиса́ть) hangaслнe-i-i(linur) niður, (hangaслнe-i-iog) lavaaði
обви́сший	adj síобви́слый
обви́ть	обовь|ю́, ~ёшь, ~ю́т;pretобви́л, обвила́, обви́л|о, ~и;imperобве́й, обве́йтеpf(ipfобвива́ть)1.что-л. вокруг чего-л.(обернуть что-л. вокруг чего-л.) vindaслнa-u-uo-t um o-t; verða avtakinсоглосн, verða avvaksinсоглосн(быть покрытым растениями); vevjaur(d){e/a}{+}seg um (увить;о растениях о др.); обви́ть ко́сы вокру́г головы́ vinda flætturnar um høvdið [hœtːɪ]; сте́ны обви́ты плющо́м veggirnir eru avvaksnir við efeu [eːfœu]2.что-л.(покрыть,охватить) leggjastнепрum o-t; sígaслнei-i-iá o-t(о тумане и т.п.); перча́тка пло́тно обвила́ то́нкую ру́ку handskin [haɲ̊ʃtʃ-] lá tætt um (alla [atla]) ta klønu hondina; тума́н обви́л доли́ну mjørkin legðist [lεijɪst] um (allan [atlan]) dalin, mjørkin seig á dalin3.что-л.(обнять) fevnair(d)o-t, takaслнó-ó-ium o-t; обви́ть рука́ми его́ ше́ю sláa armarnar um hálsin á honum
обви́ться	обовь|ю́сь, ~ёшься, ~ю́тся;pretобви́лся, обвила́сь, обви́л|ось, ~ись;imperобве́йся, обве́йтесьpf(ipfобвива́ться)1.вокруг чего-л.(охватить,обмотать) vevjastur(d){e/a}{+}um o-t,vevjaur(d){e/a}{+}segum o-t, vindaслнa-u-usegum o-t; ringjair(d)segum o-t2.вокруг чего-л.(обнять,охватить)fevnair(d)o-t, takaслнó-ó-ium o-t
об-во	síо́бщество
обво́д	m1.(действие) tað at leiða runt; umgirðingж0-ar2.(линия,полоса,идущая вокруг чего-л.) linjaжгл-a(runt um o-t)3.herm.(линия укрепления) verjulinjaжгл-a, verjuringurмсогл-ar4.oftast plurskip.(очертания корпуса) linjurжгл-aмн(á skipi,skipsskrokki)
обводи́ть	ipf síобвести́
обводне́ние	nvatningж0-ar(av akrum o.ø.), veitingж0-arav vatniá o-t(akrar o.a.); veitingж0-arav vatnií o-t(í hyljar,veitir o.tíl. til vatning)
обводни́тельный	adjvatningar-, vatnveitingar- [vanv-]
обводни́ть	обводн|ю́, ~и́шь, ~я́тpf(ipfобводня́ть) veitair(t)vatná o-t, vatnair(t)o-t; veitair(t)vatní o-t(hyljar,veitir o.a. til vatning)
обводня́ть	ipf síобводни́ть
обвола́кивать	ipf síобволо́чь
обвола́киваться	ipf síобволо́чься
обволо́чь	обволочёт, обволоку́т;pretобволо́к, обволокл|а́, ~о́, ~и́pf(ipfобвола́кивать)что-л.breiðair(d)segút yvir o-t, sveipaaðisegum o-t, hyljaur(d){y/u}o-tкн.(um mjørka o.a.); не́бо обволокло́ ту́чамиóphimmalin varð fjaldur av skýggjum, skýggj løgdust [lœtː-] um himmalin; hann dró á luftina (перед грозой)
обволо́чься	обволочётся, обволоку́тся;pretобволо́кся, ~ла́сь, ~ло́сь, ~ли́сьpf(ipfобвола́киваться)чем-л.verða fjaldurсоглav o-m(um royk,mjørka o.tíl.); всё обволокло́сь ды́мом alt varð fjalt av royki
обвора́живать	ipf síобворожи́ть
обворова́ть	обвору́|ю, ~ешь, ~ютpf(ipfобворо́вывать)Acctlm.stjala [stjεa-] (реже[ʃεa-])слнó-ó-ofrá Дат, plúndraннкaðiВин
обворо́вывать	ipf síобворова́ть
обворожи́тельный	stfобворожи́телен, обворожи́тельн|а, ~о, ~ыadjhugtakandiглandi, bergtakandiглandiкн., tølandiглandiкн.
обворожи́ть	обворож|у́, ~и́шь, ~а́тpf(ipfобвора́живать)Acchugtakaслнó-ó-iВинкн., bergtakaслнó-ó-iВинкн.
обвяза́ть	обвяж|у́, обвя́ж|ешь, ~утpf(ipfобвя́зывать)1.Acc чем-л.(обмотать) vindaслнa-u-uo-t um Вин; bindaслнa-u-uo-t um Вин; surraaðio-t um Вин б.ч.мор.,strappaaðio-tмор.,спец.(короба и др.,лентой,проволокой); обвяза́ть го́лову платко́м vinda eitt turriklæði um høvdið [hœtːɪ]; обвяза́ть салфе́тку вокру́г ше́и binda ein serviett [-Ꞌεʰtː] um hálsin; обвяза́ть верёвку вокру́г ма́чты surra eitt tog um mastrina2.что-л. (крючком) hekklaaðirunt um o-t; kantaaðio-t
обвяза́ться	обвяж|у́сь, обвя́ж|ешься, ~утсяpf(ipfобвя́зываться)чем-л.bindaслнa-u-uo-t um seg; обвяза́ться платко́м binda eitt turriklæði um høvdið [hœtːɪ]
обвя́зка	plurобвя́з|ки, ~ок, ~камf1.(действие) umbindingж0-ar, strappingж0-arмор.,спец.(umbinding)2.(лента) strappingж0-arмор.,спец.(band)
обвя́зочный	adjstrappi-мор.; обвя́зочная маши́на strappimaskinaмор.
обвя́зывать	ipf síобвяза́ть
обвя́зываться	ipf síобвяза́ться
обга́дить	обга́жу, обга́д|ишь, ~ятpf(ipfобга́живать)Accóvkm.1.(испачкать) dálkaaðiВин, svínaaðiВинtil2.fl.(запятнать,испортить репутацию) dálkaaðiВин(út), svínaaðiВинtil (spilla umdømið o.a.)
обга́диться	обга́жусь, обга́д|ишься, ~ятсяpf(ipfобга́живаться)óvkm.1.(испачкаться) dálkaaðiseg, svínaaðiseg til2.fl.(запятнаться,испортить свою репутацию) dálkaaðiseg (spilla umdømið o.a.)
обга́живать	ipf síобга́дить
обгла́дывать	ipf síобглода́ть
обглода́ть	обгложу́, обгло́ж|ешь, ~утpf(ipfобгла́дывать)AccgnagaaðiВин; обглода́ть кость gnaga eitt bein; обглода́ть мя́со с ко́сти gnaga kjøtið av einum beini
обгло́док	Genобглодк|а́;plur~и́, ~о́в, ~а́мmóvkm.avgnagað pettiсгл-i, avgnagað beinс0о(кость)
обго́н	myvirhálingж0-ar(tað at fara framum); обго́н запрещён! yvirháling ikki loyvd
обгоня́ть	ipf síобогна́ть
обгора́ть	ipf síобгоре́ть
обгоре́лый	stfобгоре́л, ~а, ~о, ~ыadj1.(повреждённый огнём) brendurсогл; uppkolaðurглaður(обугленный)2.tlm.(обожжённый солнцем) skáldaðurглaður(av sólini)
обгоре́ть	обгор|ю́, ~и́шь, ~я́тpf(ipfобгора́ть)1.(сгореть) brennaслнa-u-u(uttanífrá,frá kantunum); kolastaði(обуглиться)2.(получить ожоги) verða brendurсогл, fáaслнe-i-ibrunasár3.tlm.(на солнце) verða skáldaðurглaður(av sólini)
обгрыза́ть	ipf síобгры́зть
обгры́зть	обгрыз|у́, ~ёшь, ~у́т;pretобгры́з, ~ла, ~ло, ~лиpf(ipfобгрыза́ть)что-л.gnagaaðio-t(av) (uttanífrá,frá kantinum); обгры́зть кость gnaga eitt bein; обгры́зть кору́ на де́реве gnaga barkið av trænum
обдава́ть	ipf síобда́ть
обда́лбываться	ipf jarg. síобдолба́ться
обда́ть	об|да́м, ~да́шь, ~даст; ~дади́м, ~дади́те, ~ду́т;pretо́бдалogtlm.обда́л, обдала́, о́бдал|о, ~и;imperобда́й, обда́йтеpf(ipfобдава́тьобда|ю́, ~ёшь, ~ю́т)Acc чем-л.1.(окатить) spruttaaðio-t á Вин, sproyta [-œi-] (реже[-ɔi-])aðio-t á Вин; stoytair(t)o-t á Вин(облить); обда́тьAccкипятко́м skáldaaðiВин(við heitum vatni); обда́тького-л.гря́зью sproyta runuá o-n, sprutta runuá o-n2.(охватить,пронизать)óp: его́ о́бдало хо́лодом hann varð (so) ísakaldur, kuldin neit at honum; его́ о́бдало тепло́м hann bleiv so heitur; его́ о́бдало за́пахом цвечу́щей сире́ни angin av blomstrandi syren [syꞋreːn] streyk um hann@обда́ть презре́ниемкого-л.vísair(t)o-mvanvirðing;обда́ть хо́лодомкого-л.veraслнa-ó-ekaldligur [kʰalːi-]móti o-m
обде́лать	pf(ipfобде́лывать)что-л.1.tlm.(подвергнуть обработке) geraнепрo-tꞋ til, virkaaðio-t, evnaaðio-t til; snøggaaðio-t, pussaaðio-tꞋav(почистить,поправить)2.(чем-л.)tlm.(обложить) leggjaнепрo-tuttanum o-t; обде́лать клу́мбу дёрном leggja flag uttan um blomsturbediðннк3.(вставить в оправу) setaur(t(;ir(t)o-tí innfatningннкпроф.4.óvkm.(ловко устроить что-л.) orðnaaðio-tнеформ.(til egnan fyrimun)
обде́латься	pf(ipfоде́лываться)pf1.óvkm.(прийти в порядок) koma í rættlsg, verðä í ordanннк2.óvkm.(испражниться под себя) geraнепрí Ꞌ buksurnar, kukkaaðií Ꞌ buksдетск.,эвф., skítaслнei-i-ií Ꞌ buksгрубо,вульг.
обдели́ть	обделю́, обде́л|ишь, ~ятpf(ipfобделя́ть)кого-л. чем-л.1.(ничего не дать,недодать) lataслнæ-ó-ao-nvera fyri vanbýtií o-m, lataслнæ-ó-ao-nvera við skerdan lutí o-mидиом., lataслнæ-ó-ao-nvera við sviðusoðидиом., forfordeilaннкir(d)o-n; его́ обдели́ли пода́ркамитжhann varð snýttur við gávunum; он не был обделён умо́м hann manglaði [-aŋk-]ннкikki vit; hann var ikki illa [ɪtla] fyri, hvat viti viðvíkur2.óvkm.(оделить) gevaслнa-ó-io-m o-t(nógvum ella nógv)
обде́лывать	ipf síобде́лать
обде́лываться	ipf síобде́латься
обделя́ть	ipf síобдели́ть
обдер...	1.обдеру́o.s.fr. fut avободра́ть2.обдери́, обдери́теimper avободра́ть
обдёргать	pf(ipfобдёргивать)что-л.tlm.skræðair(d)o-tav
обдёргивать	ipf síобдёргать, обдёрнуть
обдёрнуть	обдёрн|у, ~ешь, ~утpf(ipfобдёргивать)что-л.óvkm.toga [tʰuːwa]aðio-tꞋ niður
обдира́ла	m/fóvkm.,vanv.okrariмгл-ari, okurkallur [-tl-]мсогл-ar
обдира́ние	nflysingж0-ar, skrædlingж0-ar, flettingж0-ar(sí eis.ободра́ть)
обдира́ть	ipf síободра́ть
обдолба́ться	pf jarg.takaслнó-ó.-iov [ɔ] stóra dosisннкпроф.(av narkotika o.tíl.)
обдолби́ться	обдолбю́сь, обдолб|и́шься, ~я́тсяpf jarg.vera skeivurсоглжарг.(av narkotika), vera høgurглжарг.(av narkotika)
обдриста́ть	обдрищу́, обдри́щ|ешь, ~утpf(ipfобдри́щивать, обдри́стывать)Accóvkm.,óv.1.(запачкать испряжнениями) dálkaaðiВинí skræpu2.fl.(опозорить,опорочить) spilla [-tla]ir(t)Винút, dálkaaðiВинút
обдриста́ться	обдрищу́сь, обдри́щ|ешься, ~утсяpf(ipfобдри́щиваться, обдри́стываться)óvkm.,óv.1.(испражниться) geraнепрí buksurnar, skítaслнei-i-ií buksгурбо,вульг.(skræpu)2.(опозориться) geraнепрsær fyri skommum3.(испугаться) verða kløkkurсогл, verða banginсоглосн
обдри́стывать	ipfóvkm.,óvand.síобдриста́ть
обдри́стываться	ipfóvkm.,óvand.síобдриста́ться
обдри́щивать	ipf síобдриста́ть
