п.1	I паде́ж
па́дать	ipf1.pfупа́стьупад|у́, ~ёшь, ~у́т; pret упа́л, ~а, ~о, ~и;gml.па́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и(валиться вниз) dettaслнa-u-o(на что-л.(niður)á o-t;с чего-л.(niður)av o-m); па́дать в объя́тияк кому-л.kastaaðiseg í føvninginá o-m2.(грозить рухнуть) standaслнó-ó-aat rapa, veraслнa-ó-eum at detta (niður)3.(идти;об атмосферных осадках): па́дает снег tað kavar; там ре́дко па́дают дожди́ har regnar sjáldan; вчера́ пал мо́крый снег í gjár var vátakavi4.(выпадать) dettaслнa-u-oꞋ av (о волосах), dettaслнa-u-oꞋ út (о зубах); у меня́ па́дают зу́бы eg eri við at missa tenninar5.pfупа́стьупад|у́, ~ёшь, ~у́т; pret упа́л, ~а, ~о, ~и;gml.па́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и(склоняться вниз) falla [-tla]слнa-u-a; голова́ па́дает на грудь høvdið [hœtː-] hellir [-tl-] niður á bringuna; во́лосы па́дают на лоб hárið dettur niður í pannuna; ло́коны па́дают на пле́чи lokkarnir detta niður á herðarnar; пла́тье па́дало краси́выми скла́дками kjólin fellur [-tl-] í vøkrum faldum6.(круто спускаться вниз) hella [-tla]ir(t), skráaaði(omaneftir); у́лица па́дает к це́нтру vegurin hellir (nógv) оman móti miðbýnum; кру́то па́дать к мо́рю ganga bratt oman móti sjónum7.pfупа́стьупад|у́, ~ёшь, ~у́т; pret упа́л, ~а, ~о, ~и;gml.па́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и(ложиться на что-л., кого-л.,покрывать собой что-л., кого-л.): свет до́лжен па́дать сле́ва ljósið má koma vinstrumegin frá; взгляд па́дает на меня́ eyguni venda sær móti mær8.pfпа́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и на Acc(приходиться на чью-л. долю,выпадать на чью-л. долю) falla [-tla]слнa-u-aá Вин(um lutakast,illgruna o.a.); жре́бий пал на него́ tað lutaðist honum; подозре́ние па́дает на него́ illgrunin fellur [-tl-] á hann; тень па́дает на него́fl.ein skuggi fellur [-tl-] á hannперен.9.pfпа́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и на что-л.(об ударении) veraслнa-ó-eá o-m(um herðing); ударе́ние па́дает на пе́рвый слог herðingin er á fyrsta [fɪsta] stavilsi10.(уменьшаться) lækkaaði, faraслнó-ó-aꞋ niður, falla [-tla]слнa-u-a(снизиться); minkaaði(стать меньше;ослабеть - о ветре) linkaaði(ослабеть;о ветре, течении и др.); давле́ние па́дает trýstið minkar; у́ровень воды́ в реке́ па́дает vatnið í ánni minkar; баро́метр па́дает barometrið [paːɹoꞋmeː-] fellur, barometrið [paːɹoꞋmeː-] lækkar; ве́тер па́дает vindurin linkar; hann minkar vindin, hann makar vindin; до́ллар па́дает dollarin fellur, dollarin lækkar11.pfупа́стьупад|у́, ~ёшь, ~у́т; pret упа́л, ~а, ~о, ~и;gml.па́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и(становиться жуже;ухудшаться) versna [vεsna]aði; дисципли́на па́дает disciplinin [tɪsɪꞋpʰliː-]ннкversnar; настрое́ние па́дает hýrurin versnar12.pfпа́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и(опускаться) falla [-tla]слнa-u-a; нра́вы па́дают moralurin [-Ꞌraː-] fellur13.pfупа́стьупад|у́, ~ёшь, ~у́т; pret упа́л, ~а, ~о, ~и(утрачивать прежнее уважение) minkaaði(um virðing o.tíl.); па́дать в глаза́х колле́г minka í metum hjá [tʃʰ-] starvsfeløgunum [staʂf-], [staɹ̥fs-]нп14.pfпа́стьпад|у́, ~ёшь, ~у́т;pret пал, па́л|а, ~о, ~и(умирать,дохнуть;о скотине) doyggjaнепр(um neyt o.a.) =>дух3,коле́ноА 1,нога́@,стоя́ть@,ударе́ние1,цена́1
па́дающий	Ipartic avпа́датьIIadjtlm.lagghallur [-tl-]согл{a/ø}(о людях;с наклоном на бок), skeivurсогл; ходи́ть па́дающей похо́дкой ganga so lagghallur@па́дающая звезда́stjørnuskot [stjœtn-] (реже[ʃœtn])с0о
па-де-де́	[-дэдэ́]n indeclpas de deux [ˌpʰaːtœꞋtœː]с0гл(í ballett)
паде́ж1	IGenпадеж|а́;plur~и́, ~е́й, ~а́мmmáll.fall [fatl]с0о{a/ø}грам.; kasus [kʰaː-]с0о{0<>i}проф.; измене́ние по падежа́м fallbending [-tl-]; поста́вить сло́во в вини́тельном падеже́ seta orðið í hvønnfall =>вини́тельный,да́тельный,имени́тельный,предло́жный@,роди́тельный,твори́тельный
падёж2	IIGenпадеж|а́;plur~и́, ~е́й, ~а́мmfelli [-tlɪ]сгл-i(об овцах и т.п.); svartafelli [-tlɪ]сгл-i(массовый падёж)
паде́жный	adjfall- [fatl-]; паде́жное оконча́ние fallending
Па-де-Кале́	[-дэ-]m indeclDoverstretiðннксгл-iопр.проф., Doversundлпс0о, Calaissund [kʰaꞋleː-]лпс0оред.
паде́ние	n1.(кпа́дать, пасть) fall [fatl]с0о{a/ø}; døtturмсогл-s,-ir;0осн-ar,-ir(часто резкое)2.(понижение) lækkingж0-ar, fall [fatl]с0о{a/ø}; niðurgongdж0-ir(versnan,lækking); паде́ние баро́метра barometurfall [paːɹoꞋmeː-]; паде́ние цен prísfall, príslækking3.(города,крепости) fall [fatl]с0о{a/ø}, tað at falla [fatla] (býir,stýrir o.a.)4.(упадок) fall [fatl]с0о{a/ø}, forfall [-Ꞌfatl]ннкс0о{a/ø}; паде́ние нра́вов moralskt [-Ꞌraː-] forfallннк, siðspilla [-tla]жгл-aкн.5.opt.: у́гол паде́ния innfalsvinkulм0осн-s,-ar; innskotshorn [-tn]лпс0о
падиша́х	mpadishahur [pʰaːtiꞋʃaː-]м0-ar
па́дкий	па́д|ок, ~ка, ~ко, ~кина Acc, до Genoggml.к чему-л.óðurглeftir[εʰtː-]Дат, grammurсогл({а/о})eftir[εʰtː-]Дат; па́дкий на де́ньги óður eftir pengum, grammur eftir pengum, pengagrammur
па́дла	m/fóvkm., óf., óv.faniмгл-iгрубо, бран., svínhundurмсогл-arгрубо, бран.
па́дло	сóvkm.,óf., óv.síпа́дла
па́дуб	m(Ilex) kristtjørnннкж0-ir, kristtyrniлпмгл-i
паду́чая	fgml.líkfall [-tl]с0о{a/ø}уст., niðurfalssóttлпж0-ir
паду́чий	adjgml.síпа́дающий@паду́чая боле́зньgml.líkfall [-tl]с0о{a/ø}уст., niðurfalssóttлпж0-ir;па́дучая звезда́gml.stjørnuskot [stjœtn-] (реже[ʃœtn-])с0о
па́дчерица	fstjúkdóttir [ʃʏk-]жрод
па́дший	Igml.partic avпастьII 1.adj(морально) fallin [-tl-]соглосн{ll/l}; па́дшая же́нщина ein fallin kvinna2.gml.síпа́вшийII
паево́й	adjluta-
паёк	Genпайк|а́;plur~и́, ~о́в, ~а́мmransón [-Ꞌsɔun]ж0-irнеформ., проф., skamturмсогл-arкн.; сухо́й паёкransón, ið verður latin til nakrar dagar sum blikkamatur, breyð o.a.
паж	Gen, Accпаж|а́;plur~и́, ~е́й, ~а́мm1.søg.(в Западной Европе в средние века) hovtænariмгл-ari(í miðøld)2.søg.(в дореволюционной России) pasja [pʰaː-]жгл-a(í Russlandi frammanundan 1917;heiti hjá ungdómum,sum gingu í Па́жеский ко́рпус(sí))
па́жеский	adj: Па́жеский ко́рпусsøg.hermannaskúli fyri ungdómar av aðalsætt(í Russlandi innan 1917)
па́жить	fmunn.ong ongж0-ir{+}балл., поэт
паз	Prpо па́зе, в пазу́;plurпаз|ы́, ~о́в, ~а́мm1.(щель) rivaжгл-a(glopp millum fjalar o.tíl.)2.tekn.(выемка) notж0-ir
па́зик	mtlm.minibussurмсогл-ar(av merkinum ПАЗ)
пазл	mpuslispælннкс0о{æ/ø}, putlispælнпс0о{æ/ø}
па́зуха	f1.: за па́зуху millum [-tl-] skins og hold (millum klæðir og hold); за па́зухой millum [-tl-] skins og hold (millum klæðir og hold)2.anat.(полость) hjáhola [tʃʰ-]жгл-a; ло́бные па́зухи pannuholur@держа́ть ка́мень за па́зухойна кого-л.{против кого-л.} havaнепрaggtil o-n; житькак у Христа́ за па́зухойhava tað sum hønan í korninum [-tn-]пог., hava tað sum blomman í egginumпог.=>га́йморов
па́инька	plurпа́иньки, па́инек, па́инькамm,ftlm.skikkiligt barn [patn]с0о{a/ø}
пай1	IPrpо па́е, в паю́ogв па́е;plurпа|и́, ~ёв, ~я́мmluturмсогл-ir, parturмсогл-ar{a/ø}; на пая́х samanskots-; това́рищество на пая́х lutafelag
пай2	IIm, f indecl brúkt sum appositióntlm.пай-ма́льчик ein fittur drongur; па́й-де́вочка ein fitt genta
пайк...	пайка́o.s.fr. síпаёк
па́йка1	Iplurпа́йки, па́ек, па́йкамf(кпая́ть) loddingж0-ar(gerð,stað)
па́йка2	IIplurпа́йки, па́ек, па́йкамf(кпаёк)óvkm.síпаёк
па́йковый	adjsum er í ransónum  [-Ꞌsɔun]ж0-irнеформ., проф., skamtaðurглaður
пайо́л	mskip.dúrkpláturжгл-aмн
па́йщик	mlutahaviмгл-i
пак1	m(шайба) pukkurмсогл-ar(í íshockey)
пак2	m(лёд) pakkísurмсогл-ar
пакга́уз	mpakkhúsс0о
паке́т	m1.(сверток) pakkiмгл-i2.(бумажный мешок) (pappírs)posiмгл-i; pakkiмгл-i(из картона - для молока и др.)3.(конверт с официальным письмом) ≈ brævс0о{æ/ø}(alment)4.(законов и др.) pakkiмгл-i(um lógir o.tíl.)5.teld.: паке́т програ́мм programmpakki [-Ꞌkɹamː-]мгл-iпроф., softwarepakki [sɔːftvεaɹ-]мгл-iпроф.@индивидуа́льный перевя́зочный паке́тfyrstahjálpspakki [fɪstajɔ-]мгл-i;контро́льный паке́т (а́кций)partabrævameirilutiмгл-i
пакетбо́т	mgml.≈ postbáturмсогл-ar(ið flytur ferðafólk,góðs,post o.a. millum ávísar havnir)
паке́тик	m dim avпаке́т; (lítil) posiмгл-i; чай в паке́тикахte í brøvum, te í posum
пакети́ровать	пакети́ру|ю, ~ешь, ~ютчто-л. ipf/pffakm.pakkaaðio-t
Пакиста́н	mPakistan [pʰaːkistaːn]с0{дат.0}
пакиста́нец	Gen, Accпакиста́нц|а;plur~ы, ~ев, ~амmpakistanari [pʰaːkiꞋstaːn-]мгл-ari
пакиста́нка	plurпакиста́н|ки, ~ок, ~камmpakistanari [pʰaːkiꞋstaːn-]мгл-ari(konufólk)
пакиста́нский	mpakistanskur [pʰaːkiꞋstaːn-]соглnsk
па́кля	f bert singstrýggjс0о{+}
пакова́ть	паку́|ю, ~ешь, ~ютipf(pfзапакова́тьзапаку́|ю, ~ешь, ~ют, упакова́тьупаку́|ю, ~ешь, ~ют)что-л.1.(связывать в пакет) pakkaaðio-t2.teld.(архивироать) pakkaaðio-t
пако́вка	fpakkingж0-ar
пако́вочный	adjpakki-; пако́вочный материа́л pakkitilfar
па́ковый	adj: па́ковый лёд pakkísur
па́костить	па́кощу, па́кост|ишь, ~ятipftlm.1.pfзапа́коститьзапа́кощу, запа́кост|ишь, ~ят, испа́коститьиспа́кощу, испа́кост|ишь, ~ят что-л.(грязнить,пачкать) dálkaaðio-t; svínaaðio-ttil (гадить)2.pfнапа́коститьнапа́кощу, напа́кост|ишь, ~ят intr(испряжняться) skítaслнei-i-i(о людяхгрубо)3.pfиспа́коститьиспа́кощу, испа́кост|ишь, ~ят что-л.(портить) spilla [-tla]ir(t)o-t, oyðileggja [-Ꞌlε-]непрo-t; loypair(t)bronglí o-t(гадить)4.pfнапа́коститьнапа́кощу, напа́кост|ишь, ~ят кому-л.geraнепрeina beistagerðmóti o-m, geraнепрo-meina skálkheit
па́костливый	stfпа́костлив, ~а, ~о, ~ыadjtlm.1.(такой,который пакостит,см.па́костить 1) sum dálkar2.(такой,который пакостит,см.па́костить 4) sum ger beistagerðir
па́костник	mtlm.búrhundurмсогл-aнеодобр., бран., búrbeist [pʏɹp-]с0онеодобр., бран.
па́костница	mtlm.búrhundurмсогл-aнеодобр., бран., búrbeist [pʏɹp-]с0онеодобр., бран.(konufólk)
па́костный	stfпа́кост|ен, ~на, ~но, ~ныadjtlm.1.(о поступке и т.п.) andstyggiligur [anꞋstɪ-]глigur, ljóturсогл(гнусный)2.(скверный) ringurсогл, ótespiligur [-Ꞌtʰε-]глigur; па́костная пого́да eitt ótespiligt veður, eitt fúlt veður3.(о человеке) óreinurсогл, beistaktigur [-Ꞌa-]глigur
па́кость	ftlm.1.(нечто мерзкое,отвратительное) lorturмсогл-arвульг., lortэнкс0огрубо.(o-t vánaligt)2.(о поступке) beistagerðж0-ir; де́латькому-л.па́кости gera beistagerðirmóti o-m3.(выражение,слово) óflýggjaorðс0омн, fúl orðс0омн; говори́ть па́кости vera fúlurсоглí orðum
паксвиля́нт	mspottskrivariмгл-ari
пакт	msáttmáliмгл-i(millum lond o.tíl.); пакт о ненападе́нии ikki álopssáttmáli
пал...	пал, па́лаo.s.fr. pret avпасть
пал1	Iplurпал|ы́, ~о́в, ~а́мm(место степного и др. пожара) staðurмсогл-ir, har eldur hevur verið (á steppu, í skóg)
пал2	IImskip.(тумба) pullerturмсогл-arмор.(á kai); palur [pʰaː-]мсогл-ar(á spæli) (у шпиля)
палади́н	m1.søg.(придворный вельможа) hirðmaðurмнеприст., балл., кн., hovmaðurмнеприст., балл., кн.; riddariмгл-ari(рыцарь)2.søg.(у Карла Великого) tólvjavningur [tʰœlj-]мсогл-ar; riddariмгл-arium runda borðið (у короля Артура)3.søg.,gml., bókl., skald.(поборник) stríðsmaðurмнепр4.(в компьютерной игре и т.п.) riddariмгл-ari(í telduspæli o.tíl.)
паланки́н	mberistólurмсогл-ar
паланти́н	m slag av stórum hálsturriklæði ella stoia
пала́с	mteppiсгл-i(dupultsíðað,við ongari lógv)
пала́та	f1.(законодательное учреждение) (ting)deildж0-ir, kamarс0о{a/ø}{+}; Пала́та ло́рдов yvirhúsið; Пала́та о́бщин undirhúsið; Пала́та представи́телей umboðsmannatingið; ни́жняя пала́та niðara deild (í tingi)2.(назв. нек. государственных учреждений) kamarс0о{a/ø}{+}; пала́та мер и весо́в (eftirlits)stovnur ([εʰtː-])мсогл-arfyri mát og vekt; торго́вая пала́та handilskamar3.(в больнице) stovaжгл-a(á sjúkrahúsi), sjúkrastova (б.ч.[ʃʉuka-])жгл-a4.gml.(большое здание) høll [hœtl]ж0-ir{ø/a}выс.(borg)@у него́ума́ пала́таhann er gløggur;Обще́ственная пала́таóalmenn nevnd, ið heldur eyga við hendingum í samfelagnum=>казённый@,предродово́й@,счётный@
палатализа́ция	fpalatalisering [ˌpʰaːlatʰaːliꞋseː-]ж0-arспец., линг.
палатализо́ванный	adjpalataliseraður [ˌpʰaːlatʰaːliꞋseː-]глaðurспец., линг.
палатализова́ть	палатализу́|ю, ~ешь, ~ютipf/pf что-л.palatalisera [ˌpʰaːlatʰaːliꞋseː-]aðio-tспец., линг.
палата́льный	adjpalatalur [pʰaːlaꞋtʰaː-]соглспец., линг.
пала́тка	plurпала́тки, ~ок, ~камf1.(помещение) teltннкс0о, tjaldнпс0о{a/ø}; tjaldbúð [tʃʰalp-]ж0-irкн., выс.; поста́вить пала́тку sláaсоглó-ó-iteltннкupp, seta teltннкupp; пала́тка на четверы́х fýramansteltннк2.(ларёк) sølubúðж0-ir; kiosk [kʰiꞋɔsk]ж0-ir{+}
пала́точник	m tlm.kioskeigari [kʰiˈɔsk-]мгл-ari(владелец), seljari íмгл-arikiosk [kʰiˈɔsk] (продавец); eigariмгл-ariav sølubúð (владелец), seljariмгл-arií sølubúð (продавец)
пала́точный	adjtelt-ннк, tjald-нп
пала́ч	Gen, Accпалач|а́;plur~и́, ~е́й, ~а́мmbøðilм0осн-s,-arтжперен., skarprættariмгл-ari(который казнил топором,мечом;в прямом знач.уст.)тж перен
пала́ческий	adj1.(кпала́ч) bøðils-2.(жестокий) harðurсогл{a/ø}, miskunnarleysurсогл
пала́ш	Genпалаш|а́;plur~и́, ~е́й, ~а́мm beint, eineggjað svørð
па́левый	adjbleikgulurсогл(við farra av rósinreyðum)
па́ленка	plurпа́лен|ки, ~ок, ~камf slag av frukt- ella berjabrennivíni(úr Kekkia, Slovenia og Ungarn)
палёнка	plurпалён|ки, ~ок, ~камf tlm. forfalskað brennivín ella vín
палёный	adjsviðinсоглоснð/d, brendurсогл
палеоазиа́тский	adjpaleoasiatiskur [Ꞌpʰaːleoaːsiˌaː]соглsk; палеоазиа́тские наро́ды paleoasiatisk fólkasløg; палеоазиа́тские языки́ paleoasiatisk mál
палео́граф	mpaleografur [pʰaːleoꞋkɹaː-]мсогл-arпроф., fornskriftafrøðingur [-tn-]лпмсогл-ar
палеографи́ческий	mpaleografiskur [pʰaːleoꞋkɹaː-]соглskпроф., fornskriftar- [-tn-]лп
палеогра́фия	fpaleografi [pʰaːleokɹaꞋfiː]ж0-irпроф., fornskriftarfrøði [-tn-]лпжгл-i
палеозо́й	mfornøld [-tn-]ж0-ir{ø/a}(jarðar)
палеозо́йский	adj sum hoyrir til fornøld [fɔtn-] jarðar
палеоли́т	meldra steinøldж0-ir{ø/a}
палеолити́ческий	adj(sum er) úr eldri steinøld
палеонто́лог	mpaleontologur [ˌpʰaːleon̊toˈloːk-]мсогл-ar, fornverufrøðingur [fɔtnv-], [fɔnv-]лпмсогл-ar
палеонтологи́ческий	adjpaleontologiskur [ˌpʰaːleɔn̊toꞋloːk-]соглsk, fornverufrøðiligur [fɔtnv-], [fɔnv-]лпглigur
палеонтоло́гия	mpaleontologi [ˌpʰaːleɔn̊toloꞋkiː]ж0-ir, fornverufrøði [fɔtnv-], [fɔnv-]лпжгл-i
Палести́на	fPalestina [pʰaːlɪꞋstiː-]с нескл.
палести́нец	Gen, Accпалести́нц|а; plur~ы, ~ев, ~амmpalestinari [pʰaːlɪꞋstiː-]мгл-ari, palestinensari [pʰaːlɪstiꞋnε-]мгл-ari
палести́нка	plurпалести́н|ки, ~ок, ~камmpalestinari [pʰaːlɪꞋstiː-]мгл-ari, palestinensari [pʰaːlɪstiꞋnε-]мгл-ari(konufólk)
палести́нский	adjpalestinskur [pʰaːlɪꞋstiː-]соглnsk, palestinensiskur [pʰaːlɪstiꞋnε-]соглnsk
пале́та	mplatturмсогл-ar, palliмгл-i
па́лец	Genпа́льц|а;plur~ы, ~ев, ~амm1.(руки́,перчатки) fingurм0осн-s,-ar; táжнепр(ноги́); большо́й па́лец tummilм0осн-s,-ar, tummilfingur (руки́); stóratá (ноги́)2.tekn.: па́лец кривоши́па krumtapppinnurмсогл-ar; поршнево́й па́лец stempiltappurмсогл-ar@па́лец о па́лец не уда́рить {па́льцем не шевельну́ть {дви́нуть}}чтобы... ikki lyfta [-tːa] hond frá síðufyri at...идиом.;обвести́ {оберну́ть}кого-л.вокру́г па́льцаlumpaaðio-n;смотре́тьна что-л.сквозь па́льцыlátastслнæ-ó-aikki at síggjao-t, síggja gjøgnum fingrarnarvið o-mннк;знатьчто-л.как свои́ пять па́льцевkennao-tsum sín egna lumma;по па́льцам мо́жно пересчита́тьAcc Имkann teljast á einari hond;па́льцемкого-л.не тро́нутьikki verao-mat minsta meini; он па́льцем никого́ не тро́нет ≈ hann ger ikki haltari hønu meinпог. =>безымя́нный,вы́сосать@,не́бо@,отпеча́ток1,сре́дний@,счита́тьI A 2,указа́тельный
па́ли	m ineclpali [pʰaːli]с нескл
палиса́д	m1.síпалиса́дник12.søg.(ограда) steyragirðingж0-ar, palisada [pʰaːliꞋsaː-]ннкжгл-a
палиса́дник	m1.(забор) stakitt [-Ꞌkʰɪʰtː]с0о2.(сад) forhavi [-haː-]мгл-i
палиса́ндр	mpalisandur [pʰaːliꞋsa-]с0осн;0{дат.0}, palisandurviður [pʰaːliꞋsa-]мсогл-ir
палиса́ндровый	adjpalisandur- [pʰaːliꞋsa-]
пали́тра	f1.(дощечка) palettur [-Ꞌlεʰtː-]мсогл-ar, palett [-Ꞌlεʰtː]ж0-ir2.fl.(совокупность выразительных средств) registar [-Ꞌkɪ-]с0о, skala [skaː-]ж0-ir(hjá rithøvundi,listamanni o.tíl.)
пали́ть1	Iпал|ю́, ~и́шь, ~я́тipf1.pfопали́тьопал|ю́, ~и́шь, ~я́т Acc(обжигая,удалять покров,пух и т.д.) svíðaслнei-i-iВин(brenna uttaná); пали́ть гу́ся svíða eina gás2.pfспали́тьспал|ю́, ~и́шь, ~я́т что-л.tlm.(жечь) brennair(d)o-t(av)3.что-л.tlm.(заставлять гореть) lataслнæ-ó-ao-tloga [luːwa], lataслнæ-ó-ao-tbrenna; brennair(d)o-t(о костре); пали́ть костёр brenna bál4.pfспали́тьспал|ю́, ~и́шь, ~я́т что-л.tlm.(портить) brennair(d)(og oyðileggja); утю́г пали́т бельё strúkijarnið [-tnɪ] brennir klæðini5.bert 3. pers brúktur Acc, eis. intr(обдавать жаром) brennair(d), vera brennandi heitur (um sólina o.a.); со́лнце пали́т tað er brennandi sólskin; день пали́т dagurin er brennandi heitur6.Acc(мучить,терзать) pínair(d)Вин, nívair(d)Вин
пали́ть2	IIпал|ю́, ~и́шь, ~я́тipf(momentпальну́тьпальн|у́, ~ёшь, ~у́т)tlm.(стрелять) skjótaслнey-u-o, loysair(t)av (skot); пали́тьпо чему-л.skjótaeftir[εʰtː-]o-m
па́лица	fgml.gassiмгл-i, lurkurмсогл-ar
па́лия	f(Salvelinus fontenalis)slag av bleikju(en.brook trout; da.kildeørred)
па́лка	plurпа́л|ки, ~ок, ~камfstavurмсогл-ar;согл-s,-ir; па́лка метлы́ kustaskaftс0о{a/ø}; лы́жная па́лка skistavur [skiː-]ннк, skíðstavurнп@вставля́ть {ста́вить}кому-л.па́лки колёсаsetaur(t);ir)t)fótfyri o-n, komaслнo-o-oo-mtvørt fyri, veraслнa-ó-eo-mein meinbogi;из-под па́лкиtlm.noyddurсогл, tvingaðurглaður;па́лка о двух конца́хtlm.≈ tvíeggjað svørð;люби́ть как соба́ка па́лкуtlm.leggjaнепрlítið í, brýggjaaðiseg lítið um;худо́й как па́лкаklænur sum ein sperðilпог.=>перегну́ть@
Палла́да	fmyt. síАфи́на
палла́диевый	adjpalladium- [-ˈlaː-]
палла́дий	mpalladium [-Ꞌlaː-]с0o({0<>i})
палле́т	mskip.platturмсогл-ar
паллиати́в	mbókl.1.lækn.(лекарство) linnandi heilivágurнпмсогл-ir, palliativ [pʰalːija-]с0о(;0-ir)спец., мед.2.fl.(полумера) hálv loysnж0-ir, lappaloysnж0-irнеформ.
паллиати́вный	stfпалЛииати́в|ен, ~на, ~но. ~ныadjlinnandiглandi; palliativur [pʰalːija-]соглспец., мед.; паллиати́вная по́мощь palliatviv røktж0-ir, palliativ viðgerð [vɪtʃ-]ж0-ir, palliatión [pʰalːijaˈʃɔʊn-]жo-irмед., спец.; паллиати́вное отделе́ние palliativ deild
пало́мник	mpílagrímurмсогл-ar
пало́мница	fpílagrímurмсогл-ar(konufólk)
пало́мничать	ipffaraслнó-ó-aá pílagrímsferð
пало́мничество	npílagrímsferðж0-ir
па́лочка	plurпа́лоч|ки, ~ек, ~камf1.(маленькая,тонкая палка) (lítil) stavurмсогл-ar;согл-s,ir; pinnurмсогл-ar; spritaжгл-a(тонкая,для подвешивания туловища овцы и др.); па́лочки для еды́ pinnar (at eta við); дирижёрская па́лочка taktstokkurмсогл-ar, dirigentstokkur [-Ꞌkε-]мсогл-ar2.(что-л. в виде бруска) pettiсгл-i, stubbiмгл-i; па́лочка ме́ла kritstubbi; кра́бовые па́лочки crabsticks [krapstɪʰks]м нескл. мн; кукуру́зные па́лочки maispinnar [mais-]мсогл-arмн(av samanpressaðum,ristaðum maiskornum); ры́бные па́лочки fiskafingrarм0осн-s,-arмн3.tlm.(чёрточка) strikaжгл-a4.(бацилла) basilla [-Ꞌsɪlːa]жгл-a5.anat.(в глазу) stavurмсогл-ar;согл-s,ir(í eyga) =>бараба́нный,волше́бный1,капельме́йстерский,эстафе́тный
па́лочный	adj1.(кпа́лка): па́лочные уда́ры sløg við einum stavi, stokkasløg; па́лочная и́згородь stik (av steyrum)2. (в форме палки, похож на палку) stavskapaürглaðurспец.; па́лочные бакте́рии stavskapaðar bakteriur [-ˈtʰeː-]3.fl.(основанный на принуждении,жестокости) strangurсогл({a/o}), harðrendur [haɹ-]согл; па́лочная дисципли́на jarnhørð [-tn-] disciplin [tɪsɪꞋpʰliːn]ннк
