Ж	(знак на туалете) «для же́нщин»K, kvinnur (á hurð til toilett)
жа́дный	stfжа́ден, жа́дно, жадна́, жадны́ogжа́дныadj1.(к чему-л.,до чего-л. -eftir [[εʰtː-]o-m) (настойчивый в стремлении удовлетворить желание) grammurсогл{a/o}, óðurглeftir [εʰtː-]; жа́дный к деньга́м {до де́нег} óður eftir [εʰtː-] pengum, grammur eftir [εʰtː-] pengum, pengagrammur; жа́дный до еды́ matligur [maʰt-]глigur, átufrekurсогл; жа́дный на рабо́ту íðinсоглоснð/d, ágrýtinсоглосн(í arbeiði)2.(скупой) gírigurглigur, natinсоглосн, pírinсоглосн; kargurсогл{a/ø}(скупой)3.fl.(выражающий сильное желание чего-л.) grammligurглigur, grammurсогл{a/o}; жа́дное любопы́тство grammligt forvitni; жа́дными глаза́ми við grammum eygum
жадю́га	f, móvkm., vanv.kargapisaжгл-aпренебр., kargavættiсгл-i
жа́жда	f1.(желание пить) tostiмгл-i; испы́тывать жа́жду vera tysturсогл, tystair(t); я умира́ю от жа́жды eg doyggi í tosta2.чего-л.{+inf}(страстное желание) tráж0-ir, tráanж0-ir; hugurмсогл-ar;-ir; жа́жда сча́стья tráan eftir [εʰtː-] eydnu; жа́жда вла́сти maktgirndж0-ir; maktgreðiжгл-iпренебр.; жа́жда зна́ний kunnleikatrá; жа́жда приключе́ний ævintýrhugur =>утоли́ть
жа́ждать	жа́жд|у, ~ешь, ~утipf1.чего-л.,+ infbókl.(страстно желать) tráaaðieftir[εʰtː-]o-m, trákkastaðieftir[εʰtː-]o-m, tystair(t)eftir[εʰtː-]o-mвыс.; я жа́жду ме́сти eg trái eftir hevnd, eg brenniслнa-u-uav hevndarhuga; жа́ждать ми́ра tráa eftir friði, leingjastir(d)eftir friði2.gml.(испытывать жажду) tystair(t), vera tysturсогл=>а́лчущие1,кровь5
жаке́т	mjakkiмгл-i; (opna)troyggjaжгл-a(б.ч. вязаный)
жаке́тка	plurжаке́т|ки, ~ок, ~камf tlmsíжаке́т
жаку́зи	n indecl síджаку́зи
жале́йка	plurжале́/йки, ~ек, ~йкамf russ. blásiinstrument
жале́ть	ipf(pfпожале́ть)1.Acc(испытывать жалость) takaслнó-ó-isynd íДат, tykjastir(t){+}synd íДат, haldaслнe-i-itað vera synd íДат, harmaaðiВинкн.; я тебя́ не жале́ю eg taki ikki synd í tær2.оPrp,что-л.(сожалеть) vera keddurсоглav o-m, vera harmurсоглum o-t, vera forharmaður [-Ꞌha-]глaðurum o-t; angraaðio-t, iðraaðiseg umo-t(раскаиваться); syrgjair(d){+}o-t, harmastaðio-t(грустить об отсутствии); я (очень) жале́ю, что…eg eri (sera) harmur um, at...; я жале́ю, что сказа́л ей об э́том eg angri, at eg fortaldi [-Ꞌtʰa-]ннкhenni tað; жале́ть (о) проше́дшей мо́лодости syrgja farnan ungdóm, harmast farnan ungdóm3.Acc,чего-л.(беречь) sparair(d)(Вин, uppá o-t); не жале́ть себя́ ikki spara seg sjálvan; не жале́ть де́нег ikki spara upp á pengarnar; он жале́ет де́нег {де́ньги} hann er sparin við pengum; он труди́лся, не жале́я сил hann stríddist uttan at líva sær; не жале́ть жи́знидля Genvera fúsurсоглat leggja lívið við fyriВин=>голова́4
жа́лить	жа́л|ю, ~ишь, ~ятipf(pfужа́литьужа́л|ю, ~ишь, ~ят)Accstingaслнa-u-uВин(о насекомых); bítaслнei-i-iВин(о змеях,насекомых)
жа́лкий	stfжа́лок, жалка́, жа́лко, жа́лкиogжалки́;compжа́льчеadj1.(вызывающий жалость) syndarligurглigur; у неё жа́лкий вид tað er syndarligt at síggja hana; он мне жа́локbókl.mær tykir synd í honum2.(убогий) neyðarsligurглigur, syndarligurглigur; жа́лкое зре́лище ein syndarlig sjón; жа́лкая паро́дияfl.ein vánalig eftirlíkning [εʰtː-]; в жа́лком состоя́нии í einum neyðarsligum standi, í vána standi; име́ть жа́лкий вид síggja neyðarsligur út3.(презренный) neyðarsнескл., neyðarsligurглigur; жа́лкий трус ein elendigur [-Ꞌlε-]ннкглigurræðuskítur; игра́ть жа́лкую роль eigaнепрein neyðarsligum lut í (o-m)4.(ничтожный) vánaнескл., lúsaнескл.,грубо; жа́лкий результа́т eitt vána úrslit [ʏʂ-]; жа́лких 100 рубле́й lúsaгрубоhundrað rublar; жа́лкий челове́ктжneyðardýrс0о@жа́лкие слова́syndarlig tala;жа́лкая улы́бкаeitt neyðarsligt smíl =>влачи́ть
жа́лко	Iadvneyðarsliga, syndarliga,sí eis.жа́лкийIIpred síжаль
жа́ло	n(насекомого и др.) broddurмсогл-ar(hjá insektum o.ø.); tungaжгл-a(hjá slangu) (змеи)
жа́лоба	f1.(сетование) gremjanж0-ir, kvartanж0-irкн.; gremjingarж0-arмн2.(на Acc- umВин,в Acc- tilВин) (заявление) klaga [kʰlεava]жгл-a; kæraжгл-aюр.; пи́сьменная жа́лоба skrivlig klaga, klaguskriv; пода́ть жа́лобуна кого-л.klaga [kʰleːa]aðio-n; не име́ть никаки́х оснований для жа́лоб einki grundarlag hava fyri at klaga
жа́лобно	advsáran, sárliga; syndarliga, ønskriliga; жа́лобно проси́тьо чём-л.biðja so eymliga [εml-]um o-t
жа́лобный	stfжа́лоб|ен, ~на, ~но, ~ныadjklagu- [kʰlεavʊ-], syndarligurглigur, kvartandiглandiкн.; жа́лобным го́лосом sorgarbundin á málinum, syndarligur á málinum; жа́лобный крик klaguróp; жа́лобный писк eymkandi [εŋ̊k-] lát@жа́лобная кни́гаbók til klagur [kʰlεavʊɹ] (um vøru,tænastuveiting o.a.)
жа́лобщик	mjur.klagariмгл-ari, klagandiмприлюр.
жа́лобщица	fjur.klagariмгл-ari, klagandiжприлюр.(konufólk)
жа́лованный	adj:жа́лованная гра́мотаsøg. frælsis. og rættinbræv(hjа́ russ. stjórnini inntil 1917)
жа́лованье	ngml.lønж0-ir=>грошо́вый1
жа́ловать	жа́лу|ю, ~ешь, ~ютipf(pfпожа́ловатьпожа́лу|ю, ~ешь, ~ют)1.bert ipf Acctlm.(любить) vera góðurглviðВин, dámaar(d)Вин(агенс Дат); прошу́ люби́ть и {да} жа́ловать (его́)skemt.eg lati hann upp í tykkara hendur; halda lítiðum Вин(við neg) (с отрицанием); её не о́чень жа́ловали hon var ikki serliga væl lýdd, hon var ikki serliga væl dámd2.кого-л. чем-л.gml.(наградить) veitair(t)o-m o-t, gevaслнa-ó-io-m o-t3.к кому-л.gml.(соизволить прийти) vitjaaðio-n, komaслнo-o-oat vitjao-n
жа́ловаться	жа́лу|юсь, ~ешься, ~ютсяipf(pfпожа́ловатьсяпожа́лу|юсь, ~ешься, ~ются)1.на Acc(кому-л.) beklaga [-Ꞌkʰleːa]ннкaðisegum Вин, gremjaur(d){e/a}segum Вин, klagaaðium Вин, kæra segum Вин; жа́ловаться на бо́ли gremja seg um pínu; он жа́ловался мне, что ... hann gramdi seg um, at...; на что вы жа́луетесь? hvat bagir tygum? (lækni við sjúkling); на пого́ду нельзя (по)жа́ловаться ikki kann klagast um veðrið [vεkɹɪ]2.на Вин(подавать жалобу) klagaaðiAcc, kærair(d)Acc тжюр.; жа́ловаться в суд leggjaнепрsakmóti o-m, takaслнó-ó-iupp søksmálmóti o-mофиц.,юр.3.на кого-л. кому-л.(ябедничать) forklaga [-Ꞌkʰleːa]aðio-n fyri o-m, klagaaðio-n fyri o-m
жа́лостливый	stfжа́лостлив, ~а, ~о, ~ыadjtlm.sum følir samkenslu, samkennandiглandiкн.
жа́лостный	[-сн-]stfжа́лост|ен, ~на, ~но, ~ныadjtlm.1.síжа́лостливый2.síжа́лобный1
жа́лость	fsamkenslaжгл-a; из жа́лости tí einum tykir synd í (o-m), av samkenslu; не знать жа́лости vera eirindaleysurсогл@кака́я жа́лость!tað var spell [-tl]!; tað var synd!; tað var keðiligt!
жаль	Ipred1.(о сострадании,сочувствии) (кому-л.)Acc,чего-л., + инф.takaслнó-ó-isynd ío-m, tykjastir(t)synd ío-m, haldaслнe-i-itað vera synd ío-m, veraслнa-ó-esynd ío-m; жаль бра́та tað er synd í beiggja; мне жаль тебя́ eg taki synd í tær, eg haldi tað vera synd í tær, mær tykist synd í tær; мне жаль её до слёз eg kundi grátið, so synd haldi eg tað vera í henni; (мне) жаль смотре́ть на него́ eg haldi tað vera so synd í honum, tá eg síggi hann; eg taki synd í honum, tá eg hyggi at honum; mær tykist synd í honum, tá eg hyggi at honum2.(о сожалении,досаде):кому-л.жальчего-л. o-rharmastaðium o-t; мне жаль поте́рянных де́нег tað er keðiligt, at pengarnir eru farnir; tað er harmiligt, at pengarnir eru farnir; ему́ жаль куска́ хле́ба hann unnir ikki øðrum ein breyðmola [pɹεm-]; (мне) не жаль де́нег, мне жаль вре́мени eg gevi mær ikki far um pengarnar, tað er tíðina, eg treyðugt vil spilla [-tla]; eg leggi einki í pengarnar, tað er tíðina, eg treyðugt vil spilla [-tla]; хо́чется пое́хать, но жаль де́нег eg havi huga at fara. men unni mær ikki; ей жаль тра́тить на э́то де́ньги hon heldur tað vera keðiligt at spilla pengar upp á hetta; (мне) жаль нака́зывать его́ eg fái meg ikki til at revsa hann; мне жаль но́вого пла́тья a) (жаль,что оно пострадало) tað var synd. at tann nýggi kjólin skuldi fara so; b) (боюсь его испортить) eg nenni mær ikki at fara í tann nýggja kjólan; для тебя́ ей ничего́ не жаль hon vil gera alt fyri teg3.: жаль, что … tað er spell [-tl], at...; tað er keðiligt ..., tað er harmiligt ...; о́чень жаль, что… tað er stórt spell [-tl], at...; tað er (ógviliga) harmiligt, at...; tað er (grúliga) keðiligt, at...; жаль, е́сли он не придёт tað er spell [-tl], um hann ikki kemur, tað er keðiligt, vissннкhann ikki kemur; tað er harmiligt, kemur hann ikki; жаль, что он не придёт tað er spell [-tl], at hann ikki kemur; tað er harmiligt, at hann ikki kemur; tað er keðiligt, at hann ikki kemur; мне бу́дет жаль, е́сли ты опозда́ешь eg verði keddur, vissннкtú kemur for [fɔɹː]ннкseint, tað er keðiligt, vissннкtú kemur for [fɔɹː]ннкseintIIparent(к сожалению) tíverri [-Ꞌvε-]@как жаль!sum tað er harmiligt!;о́чень жаль!tað er stórt spell [-tl]!
жа́льче	comp avжа́лкий, жа́лко
жалюзи́	n indecljalousi [ʃaːluꞋsiː]с0{дат.0}(ставни); persiennur [pʰεʂiꞋεnː-]жгл-aмн(оконное из поперечных пластинок); rulligardina [-tl-]жгл-a(оконное,накручивающееся на горизонтальный валик)
жанда́рм	mgendarmur [ʃanꞋta-]мсогл-ar
жандарме́рия	fgendarmarí [ʃantaɹmaꞋrʊi]с0о
жанда́рмский	adjgendarm(a)- [ʃanꞋta-]
жанр	m1.(вид художественных произведений) genra [ʃaŋkɹa]ннкжгл-aпроф.(slag av bókmentum, málningum o.s.fr.), bókmentagreinж0-ar;-irспец.(литературный), listagreinж0-ar;-irспец.(в искусстве)2.list(живопись) málingж0-arav gerandismyndum, genrumálarí [ʃaŋkɹʊ-]с0опроф.3.(стиль) stílurмсогл-ar; mátiмгл-i(манера)
жанри́ст	mmálariмгл-ari, ið málar gerandismyndir, genrumálari [ʃaŋkɹʊ-]мгл-ariпроф.,síжанр2
жа́нровый	adj1.(кжанр 1) genru- [ʃaŋkɹʊ-]ннкпроф.; жа́нровый при́знак eyðkenni fyri eina genru [ʃaŋkɹʊ]2.list(кжанр 2) genru- [ʃaŋkɹʊ-]проф.; жа́нровая карти́на genrubílæt [ʃaŋkɹʊ-], gerandismynd,
жар	Genжа́ра, жа́ру,Prpо жа́ре, в жару́m1.(зной) hitiмгл-i2.(горячие угли) gløðurж0-ur{ó/ø}мн, eimurмсогл-ar3.(повышение температуры) fepurм0осн; у неё был (си́льный) жар hon hevði [hεijɪ] (nógvan) fepur; больно́й в жару́ tann sjúki hevur (nógvan) fepur; жар спал fepurin minkaði4.(горячность) ovurhugiмгл-i; с жа́ром yvriga, av ovurhuga; говори́ть с жа́ром hann tosar yvriga; рабо́тать с жа́ром arbeiða av ovurhuga@его́ бро́сило в жарhann bleiv heitur;её броса́ло {кида́ло} то в жар, то в хо́лодhon bleiv bæði køld og heit,sí eis.бро́сить5;чужи́ми рука́ми жар загреба́тьlataслнæ-ó-ao-nannan gera (tað skitna) arbeiðið fyri seg =>зада́ть5,подда́ть@
жара́	fhitiмгл-i(heitt veður o.tíl.); стои́т жара́ tað er heitt; кака́я сего́дня жара́! sum tað er heitt í dag!
жарго́н	mjargon [ʃaɹꞋkɔŋk]ж0-irпроф., лингв., bólkamálс0олингв.=>воровско́й
жаргони́зм	mjargonorð [ʃaɹꞋkɔŋk-]с0oпроф., лингв.
жарго́нный	stfжарго́н|ен, ~на, ~но, ~ныadjjargon- [ʃaɹꞋkɔŋk-]проф., лингв.
жа́рение	nsteikingжo-ar
жа́реное	n1.(жареная еда) stoktur maturмсогл-ir2.gml.síжарко́е@па́хнет жа́ренымtlm.,atf.her ero-tgott í væntu
жа́реный	adjstokturсогл; brendurсогл(um kaffi) (о кофе); ristaðurглaður(о хлебе,семечках,кофейных бобах); snerkturсогл; stiknaðurглaður(ос. о поджаренной баранине); grillaðurглaður(на решётке); жа́реный карто́фель stokt eplir; жа́реная теля́тина kálvasteik; жа́реный цыплёнок stoktur høsnarungi, stoktur kúllingurннк
жа́ренье	nsíжа́рение
жа́рить	жа́р|ю, ~ишь, ~ятipfApfзажа́ритьзажа́р|ю, ~ишь, ~ят, изжа́ритьизжа́р|ю, ~ишь, ~ят, поджа́ритьподжа́р|ю, ~ишь, ~ят что-л.steikjair(t){+}o-t; stiknaaðio-t(ос. о поджаренной баранине); grillaaðio-t(на решётке); brennair(d)o-t(kaffi,pf bertподжа́рить) (кофе); snerkjair(t)o-t; ristaaðio-t(хлеб,pf bertподжа́рить); жа́рить се́мечки rista fræBbert ipf1.: со́лнце жа́рит tað er brennandi sól(skin) ([sœl̥ʃɪn]); сего́дня жа́рит tað er so steikjandi heitt í dag2.óvkm.verður umsett við ym. sagnorðum um o-t skjótt,ágrýtið o.a.: он жа́рит на гармо́шке hann spennirir(t)seg ordiligaнеформ.út at spæla upp á harmoniku [-Ꞌmoː-]; он здо́рово жа́рит по-ру́сски hann snakkarннкaðirussiskt sum brent неформ.; дождь жа́рит tað oysirir(t)niður; жарь во всю! spelа avstað [aꞋstεa] tað dýrasta, tú orkar!; жарь! drív á!; koyr á!
жа́риться	жа́р|юсь, ~ишься, ~ятсяipf1.pfзажа́ритьсязажа́р|юсь, ~ишься, ~ятся, изжа́ритьизжа́р|юсь, ~ишься, ~ятся, поджа́ритьсяподжа́р|юсь, ~ишься, ~ятся(подвергаться жарению) blíva stokturсогл; blíva brendurсогл(о кофе); blíva ristaðurглaður(о хлебе,семечках, кофейных бобах); blíva snerkturсогл; blíva stiknaðurглaður(ос. о поджаренной баранине); blíva grillaðurглaður(на решётке)2.: жа́риться на со́лнце bakaaðiseg í sólini
жари́ща	fsteikjandi hitiмгл-i, glóðhitiмгл-i,; ну и жари́ща! sum tað er heitt!
жа́ркий	stfжа́рок, жарка́, жа́рко, жа́ркиogжарки́;compжа́рчеadj1.(знойный,горячий) heiturсогл; жа́ркие лучи́ heitar strálur; жа́ркие стра́ны heit lond; жа́ркий кли́мат heitt veðurlag2.fl.(страстный,бурный) logandi [luːwantɪ], [loːantɪ]глandi, brennandiглandi, heiturсогл; harðurсогл{a/ø}(бой и д.р.); жа́ркий спор harður orðadráttur; жа́ркий поцелу́й brennandi (heitur) kossur
жа́рко	Iadvheitt, hart,sbr.жа́ркийIIpred кому-л.жа́ркоo-rer heitur; мне ужа́сно жа́ркоeis.eg eri um at sálast av hita; за́втра бу́дет жа́рко tað verður heitt í morgin; бы́ло жа́рко tað var heitt (í veðrinum [vεkɹ-])@от э́того ни жа́рко, ни хо́лодноtað ger ongan mun, tað ger hvørki til ella [εtla] frá =>не́бо@
жарко́е	nsteikж0-ir
жаро́вня	plurжаро́в|ни, ~ен, ~нямf(сосуд) glóðkerс0о{+}кн.; kolovnurмсогл-ar(печка)
жаро́к	Genжарка́; plurжарк|и́, ~о́в, ~а́мm tlm. dim tilжар
жаропонижа́ющее	nfepurlækkandi medisin [-Ꞌsiːn]с0о
жаропонижа́ющий	adjfepurlækkandiглandi
жаросто́йкий	adjsum tolir hita; eldfasturсогл{a/ø}(огнеупорный)
жароупо́рный	adjsum tolir hita; eldfasturсогл{a/ø}(огнеупорный)
жар-пти́ца	ffólk.eldfuglurмсогл-ar(í russ. ævintýrum fuglur við gløðandi fjaðrum)
жа́рче	comp avжа́ркий, жа́рко
жары́нь	f óvkm.brennandi hitiмгл-i, steikjandi hitiмгл-i, glóðhitiмгл-i
жасми́н	m(Jasminum) jasmin [ʃasꞋmiːn]ж0-ir
жасми́нный	stfжасми́н|ен, ~на, ~nо, ~ныadjjasmin- [ʃasꞋmiːn-]
жасми́новый	adjjasmin-  [ʃasꞋmiːn-]
жа́тва	f1.(процесс) akurskurðurмсогл-ir2.(время,страда) akurskurðurмсогл-ir(tíð)3.(урожай) ávøksturм0осн-ar,-ir{ø/a};согл-ir{ø/a}, grøðiжгл-i, fruktж0-ir(ávøkstur)
жа́твенный	adj: жа́твенная маши́на heystingarmaskinaжгл-a
жа́тка	plurжа́т|ки, ~ок, ~камfheystingarmaskinaжгл-a
жать1	Iжм|у, ~ёшь, ~ут;imperжми, жми́теipf AccA 1.pfсжатьсожм|у́, ~ёшь, ~у́т; imper сожми́, сожми́те Acc(давить) trýstair(t)Вин, kroystair(t)Вин; klemmaaðiВин, kleimair(d)Вин(сдавливать); жатькому-л.ру́ку (pfпожа́тьпожм|у́, ~ёшь, ~у́т; imper пожми́, пожми́те) takaслнó-ó-ií hondinaá o-m; жму (ва́шу) ру́ку (фраза в конце письма) bestu heilsanir (síðst í brævi); жать проти́вника к реке́ (pfприжа́тьприжм|у́, ~ёшь, ~у́т; imper прижми́, прижми́те) rekaслнa-ó-ifíggindan móti ánni;2.(поджимать) vera knappurсогл{a/ø}(um tíð); сро́ки жмутtlm.vit hava knappa tíð3.bert ipf что-л.(быть тесным) vera ov [ɔ] trongur; сапо́г жмёт но́гу stivlin er ov trongur; пиджа́к жмёт под мы́шками jakkin er ov trongur undir hondunum4.pfвы́жатьвы́жм|у, ~ешь, ~ут; imper вы́жми, вы́жмите что-л.(выдавить) pressaaðio-t; жать виногра́д pressa víndrúvur; жать лимо́н pressa eina sitrón [-Ꞌtʰɹɔun]; жать сок из лимо́на pressa saft úr einari sitrón [-Ꞌtʰɹɔun]5.pfвы́жатьвы́жм|у́, ~ешь, ~ут; imper вы́жми, вы́жмите что-л.ítr.(о штангистах и др.) lyfta [lɪʰtːa]ir(t)o-t{o-m}, pressaaðio-tBbert ipf intróvkm.verður umsett við ym. sagnorðum um o-t skjótt,ágrýtið o.a.: drívaслнei-i-iá (at arbeiða o.a.); жать на всю кату́шку roynair(d)av øllum [œtl-] alvi@жать со́ки изкого-л.mergsúgvaслнey-u-oo-n
жать2	IIжн|у, ~ёшь, ~ут;imperжни, жни́теipf(pfсжатьсожн|у́, ~ёшь, ~у́т; imper сожни́, сожни́те)что-л.(серпом и др.) skeraслнa-ó-oo-t(korn); sláaслнó-ó-io-t(við líggja) (косить); heystaaðio-t, skeraслнa-ó-oakur (korn) (убирать)
жа́ться	жм|усь, ~ёшься, ~утся;imperжмись, жми́тесьipf1.к Dat(придвигаться близко к кому-л.,чему-л.) trýstair(t)seg uppat Дат2.(тесниться) trokastaði, skotrastaði; все жа́лись в углу́ øll [œtl] trokaðu seg saman í krókinum3.(съёжиться) skultraaðisær; жа́ться от хо́лода skultra sær av kulda; он жа́лся в углу́ hann sat í krókinum og skultraði sær4.tlm.(колебаться) himprastaði, dragaслнó-ó-iá Ꞌ bæði5.tlm.(экономить) sparair(d); píraaði, vera gírigurглigur(скупиться); не жмись! ver ikki so kargur!
жа́хнуть	жа́хн|у, ~ешь, ~утpf Аccóvkm.lammaaðitil Вин; жа́хнуть по спине́ gevaслнa-ó-io-mnevan um ryggin
жбан	mkannaжгл-a(stór,við loki)
жва́чка	plurжва́ч|ки, ~ек, ~камf1.(у жвачных живочных) jóturс0крн(тж действие); gorс0о(полупереваренная пища в желудке, б.ч. у жвачных); жева́ть {пережёвывать} жва́чку a) (о жвачных животных) jótraaði; b)fl.(повторять) jótraaði(upp í saman), njótraaði2.óvkm.(табак) skráж0-ir, tuggaжгл-a; tyggigummiс0гл(-inum)(о жевательной резинке)
жва́чные	plur(подотряд Ruminantia) jóturdýrс0омн
жва́чный	adjjótur-
жг…	1.жги́, жги́теimper avже́чь2.жгись, жги́тесьimper avже́чься3.жгу, жгу́тpres avже́чь4.жгусь, жгу́тсяpres avже́чься5.жглаo.s.fr. pret avже́чь6.жгласьo.s.fr. pret avже́чься
жгут	Genжгут|а́;plur~ы́, ~о́в, ~а́мm1.(закрученная полоса) bendilм0осн-s,-ar; соло́менный жгут hálmbendil2.lækn.(для остановки кровотечения) æðrapressa [akɹa-]жгл-a, (bregd løgd um arm o.a.), æðrabregd [akɹa-]с0oмед.; наложи́ть жгутна что-л.bindaслнa-u-ufyri o-t3.plur(шнуры) pyntisnórarмсогл-arмн(á akslum á uniformi o.a.)
жгу́тик	mbivhárс0o
жгу́чий	stfжгуч, ~а, ~е, ~иadjbrennandiглandi; gløðandiглandi(горячий); жгу́чее со́лнце brennandi sól; жгу́чий моро́з gellandi [-tl-] frost; жгу́чие слёзы brennandi tár; жгу́чая боль brennandi pína, sviðiмгл-i@жгу́чий брюне́тsvarthært fólk;жгу́чий вопро́сbrennandi spurningur
ж.д.	síжеле́знаядоро́гаsíжеле́зный
ж/д	síж.д.
ждать	жд|у, ~ёшь, ~ут;pretждал, ждала́, жда́л|о, ~иipf кого-л.,чего-л.bíðaaði, bíðaaðieftir [εʰtː-]Дат(ожидать); væntaaðiВин; væntaaðisæro-t(надеяться на что-л.); ждать авто́буса bíða eftir bussinum; мо́жно ждать бу́ри vit kunnu vænta okkum ódnarveður; я жду пока́ она́ оде́нется eg bíði eftir at hon skal verða liðug at lata seg í; жду сестру́ ка́ждую мину́ту eg vænti systur mína hvørja løtu; жду его́ за́втра eg vænti hann í morgin; мы ждём, что он прие́дет за́втра vit vænta, at hann kemur í morgin; vit vænta hann at koma í morgin; жда́ли её ско́рого прие́зда tey væntaðu hana at koma skjótt, tey væntaðu hana at vera skjóta; его́ ждут здесь tey bíða eftir honum her; tey vænta hann her; ждать госте́й vænta gestir; ребёнок о́чень ждёт дня рожде́ния barnið gleðir seg til føðingardagin; я о́чень жду встре́чи с ним eg gleði meg til at møta honum; я жду мно́гого от пое́здки eg vænti mær nógv av ferðini; ждать подде́ржкиот кого-л.vænta (sær) stuðul fráo-m; не ждать ничего́ хоро́шего ikki vænta (sær) nakað gott; я жду, что ты ей помо́жешь eg vænti, at tú hjálpir [j-] henni; э́того я ме́ньше всего́ ждал! hetta hevði [hεijɪ] eg minst av øllum [œtl-] væntað!; их ждёт блестя́щая карье́ра teir kunnu vænta sær eina strálandiннкkarrieru [kʰaɹːiꞋeː-]ннк; нас ждёт дли́нный путь vit hava langan veg fyri framman; ждатьчего-л.со стра́хом {с трево́гой}eis.stúrair(d)fyrio-m, kvíðair(d);aðifyrio-m; э́того мы жда́ли с больши́м нетерпе́ниемeis.vit ótolnaðustaði; ждать пока́что-л.не ко́нчится bíða eftir, ato-tverður liðugt; bíða, tilo-tverður liðugt; чего́ ждут? hvørjum bíða tey eftir? от него́ мо́жно ждать всего́ mannннкkann vænta sær alt av honum; придётся до́лго ждать, пока́ ... tað verður leingi at bíða, til...@вре́мя {де́ло} не ждётtað hevur skund, tað hastarннкaði; málið tolirir(d)ikki at bíða;не ждал не гада́лlítið vardiir(d)tað meg;того́ и ждиsíтого́и гляди́,síгляде́ть@;она́ ждёт ребёнкаhon skal hava smá, hon er upp á vegin =>дожда́ться@,заста́витьI,мо́ре@
же1	Iconj1.adversmen, meðan (harafturímóti [-tː-]); мы пойдём че́рез лес, остальны́е же - по доро́ге vit fara gjøgnum skógina, meðan hini fara eftir [εʰtː-] vegnum [veːn-]; vit fara gjøgnum skógina, hini fara harafturímóti [-aʰtː-] eftir [εʰtː-] vegnum [veːn-]; он - мечта́тель, брат же его́ - практи́чный челове́к hann er ein droymari, men beiggi hansara er ein praktiskur maður; hann er ein droymari, meðan beiggi hansara er ein praktiskur maður; hann er ein droymari, beiggi hansara er harafturímóti [-aʰtː-] ein praktiskur maður2.conjunog; (при указании причинных связей) júили не переводится/ella verður ikki umsett; когда́ мы прие́хали, прие́хали же мы ле́том tá vit komu, komu vit um summarið; спроси́ его́, он же зна́ет э́то spyr hann, hann veit tað jú
