ш.	síшоссе́
шаг1	IGenша́га, ша́гу(aftan á tølini tvey, trý og fýraшага́ogша́га),Prpо ша́ге, на {в} шагу́;plurшаг|и́, ~о́в, ~а́мm1.(движение ногой) fetс0о, skrittннкс0о(б.ч. в переносмом смысле), stigс0о{0<>i}(тж в переносном смысле), sporс0об.ч. мн(следы илиперен.), fótafetс0о(часто о звуке); сде́лать шаг вперёд faraслнó-ó-aeitt fet fram; сде́лать {пройти́} не́сколько шаго́в ganga nøkur (fóta)fet; изме́рить шага́ми fetaaði(máta í fótafetum); идти́ кру́пными шага́ми ginaaði; идти́ ме́лкими шага́ми titaaði; приба́вить ша́гу {уско́рить ша́г {уча́стить ша́г}} gangaслнe-i-iskjótari;тжtítta; заме́длить ша́г {уба́вить ша́гу} gangaслнe-i-ispakuligari, saktaaðigonguna; приба́вь ша́гу! skunda tær!; тяжёлые шаги́ tung fótafet; услы́шатьчьи-л.шаги́ hoyrao-nganga, hoyra fótafetinihjá[tʃʰ-]o-m; с ка́ждым ша́гом fyri hvørt fótaspor, fyri hvørt sporið2.(поступок) stigс0о{0<>i}; э́то но́вый шаг вперёд hetta er eitt nýtt stig frameftir [εʰtː-]; сде́лать ва́жный шаг gera eitt umráðandi stig; ло́жный шаг mistakс0о{a/ø}; сде́лать ло́жный шаг gera eitt mistak3.(у брюк и т.п.) klovс0о, gongdж0-ir(á buksum); брю́ки узки́ в шагу́ buksurnar eru for [fɔɹː]ннкtrongar í klovinum, buksurnar eru for [fɔɹː]ннкtrongar í gongdini@отчего-л.дочего-л.оди́н шагfráo-mtilo-ter bara eitt fet;шаг вперёдeitt stig frameftir [-tː-], eitt stig tann rætta vegin;шаг наза́дafturstig [aʰtː-];шаг за ша́гомstig fyri stig;на ка́ждом шагу́ { что ни шаг{шагу́ ступи́ть нельзя́, что́бы не встре́тить}}fyri hvørt spor, fyri hvørt fótafet; allastaðni [atl-]; á hvørjum geilarhorni [-tnɪ]идиом.;в не́скольких шага́х {в двух шага́х}от чего-л.beint viðo-t; он живёт в двух шага́х от шко́лы hann býr eitt hanagleiv frá skúlanum;ни на шаг: он из до́му ни на шаг hann fer ikki út um gáttina;ни ша́гу!rør teg ikki!;не отходи́ть отGenни на шагikki víkjair(t);слнei-i-ifráДат;ни на шаг не отстава́тьот кого-л.veraслнa-ó-eí hølunumá o-m;не отступа́ть ни на шагот чего-л.ikki víkjair(t);слнei-i-ifrá o-m=>гига́нтский@,печа́тать@,семими́льный,ступи́ть@,чека́нить2,широ́кий1
шаг2	IIGenша́га, ша́гу(aftan á tølini tvey, trý og fýraшага́ogша́га),Prpо ша́ге, на {в} шагу́; plurшаг|и́, ~о́в, ~а́мm tekn.:шаг винта́ (воздушного, гребного) skrúvustigningur [-stiːn-]мсогл-arспец.; винт переме́нного ша́га skrúva við umstýringспец., skrúva við vendbarum bløðumспец.
шаг3	IIIGenша́га, ша́гу(aftan á tølini tvey, trý og fýraшага́ogша́га),Prpо ша́ге, на {в} шагу́; plurшаг|и́, ~о́в, ~а́мm fisk.:шаг ячеи́ leggurсогл-ir(á meski)
шага́ть	ipf1.(идти) gangaслнe-i-i; широко́ шага́ть ginaaði, fetaaði, gleivaaði(stíga stórum), stígaслнei-i-istórum; он беспоко́йно шага́л по комна́те hann gekk óróliga [-Ꞌrɔu-] aftur [aʰtː-] og fram í verilsinumннк2.через что-л.(переступать) gleivaaðitvørtur um o-t; шага́ть че́рез две ступе́ньки taka tvey (trappu)trin í senn
шага́ющий	Iparticшага́тьIIadjtekn.: шага́ющий экскава́тор gravimaskina á beinum, eiturkoppurмсогл-arжарг.
шаги́стика	fatf.marsjvenjingж0-ar(ið verður gjørd fram um aðrar meira týðandi venjingar)
шагну́ть	moment(ipfшага́ть) geraнепрeitt fet@далеко́ шагну́тьgeraнепрstór framstig
ша́гом	adv1.(не бегом): идти́ ша́гом ganga (í mótsetning tilrenna); он пошёл ша́гом hann fór til gongu; ша́гом марш! (команда) framá [fɹamːɔa] marsj!; ша́гом! (команда) gongd!; на ме́сте ша́гом марш! marsj á staðnum!2.(аллюром) í feti (um ríðing o.a.); он е́хал ша́гом hann reið í feti; ло́шадь пошла́ ша́гом rossið gekk í feti3.(медленно) spakuliga (seint); е́хать ша́гом koyra spakuliga
шагоме́р	mfetmátariмгл-ari, fetteljariмгл-ari
шагре́нь	fchagrin [ʃaꞋkɹεŋk]с0о(leður)
шажко́м	advtritlandi, trippandiннк
шажо́к	Genшажк|а́;plur~и́, ~о́в, ~амm dim tilшаг 1
ша́йба	f1.tekn.(плоское колцьо) skivaжгл-a(í ym. týdn.)2.ítr.(в хоккее) pukkurмсогл-ar(í íshockey); забро́сить ша́йбу geraнепрmál, skoraaði(í íshockey); ша́йбу! kom nú!; koyrið á! (í íshockey)
ша́йка1	Iplurша́йки, ша́ек, ша́йкамf(банда) bandiмгл-i, harkaliðс0о{0<>i}
ша́йка2	IIplurша́йки, ша́ек, ша́йкамf(для мытья) (vaski)baljaжгл-a
шайта́н	m1.rel.(дьявол) d(j)evilм0осн, fjandiмгл-i(í islam)2.óvkm.(бранное) d(j)evilм0осн, faniмгл-i; шайта́н тебя́ побери́! fanin turki!; fanin brenni!
шака́л	m(Canis aureus) sjakalur [ʃaꞋkʰaː-]мсогл-ar, sjakálur [ʃaꞋkʰɔaː-]лпмсогл-arтжперен.
шала́ва	fillb. merж0-arпренебр.,horaжгл-aпренебр., грубо
шала́нда	f1.(вид баржи) (lítil) prámurмсогл-ar2.(рыболовная) flatbotnaður útróðrarbáturмсогл-ar(við Svartahavið)
шала́ш	Genшалаш|а́;plur~и́, ~е́й, ~а́мmleyvsmáttaжгл-a, greinasmáttaжгл-a
ша́левый	adj: ша́левый воротни́к sjalskragi
шале́ть	ipf(pfошале́ть)tlm.blíva ørurсогл, blíva óðurглí høvdinum [hœtː-]
шали́ть	шал|ю́, ~и́шь, ~я́тipf1.(баловаться) spælair(d)sær, geraнепрskálkabrøgd; skikkaaðisær illa [ɪtla], vera óskikkiligur [-Ꞌʃɪ-]глigur(вести себя плохо); gartera [-Ꞌtʰeː-]aði, gartaaði, beistastaði(резвиться); не шали́! ver nú ordiligur!; skikka tær nú væl!2.bert 3. pers brúkturtlm.(плохо работать) veraслнa-ó-oí ólagi, virkaaðiilla [ɪtla]; мои́ часы́ шаля́т okkurt er galið við urinum hjá mær; здоро́вье что-то шали́т heilsan er farin at bila3.gml.,tlm.(грабить,разбойничать) røvaaði, rænair(d); здесь шаля́т ≈ her er vandi á ferð4.: шали́шь nei, hin gamli; nei, mangt kanst tú billa [-tla] mær inn; tú lýgur; меня́ не проведёшь, шали́шь! tvætl, meg lumpar tú ikki!
шалма́н	móvkm.bulaжгл-aнеодобр.(vertshús)
шаловли́вость	f(веселие) kætiсгл-i; skálkheitж0-ir(проделка)
шаловли́вый	stfшаловли́в, ~а, ~о, ~ыadj1.(склонный к шалостям) villur [-tl-]согл, ovurkáturсогл, ovfarakátur [ɔfːa-]согл; bannsetturсогл; káturсогл(весёлый)2.(игривый) skálkaligurглigur; шаловли́вая улы́бка skálkabros
шалопа́й	mletivættiсгл-i, letingurмсогл-ar, letingiмгл-i
шалопа́йничать	ipf tlm. dovnastaði, letasaðit, gangae-i-i-Ifyri einki
шалопу́тный	stfшалопу́т|ен, ~на, ~но, ~ныadj óvkm.ørvitisligurглigur, forstýraður [-Ꞌstʊi]энкглaðurпренебр.; tankaleysur [tʰaŋ̊k-]согл(легкомысленный); sum lítið skil er í (бестолковый,безалаберный)
ша́лость	fskálkabragdс0о{a/ø}, pussс0о; де́тская ша́лость óvitalótirж0-irмн
шалу́н	mkúllurмсогл-ar, jassurмсогл-ar, gavstrikkur [kafs-]энкмсогл-ar; forherðingur [-Ꞌheː-]мсогл-ar(проказник,разбойник);
шалу́нья	mkúllurмсогл-ar, jassurмсогл-ar, gavstrikkur [kafs-]энкмсогл-ar; forherðingur [-Ꞌheː-]мсогл-ar(проказник,разбойник) (genta)
шалфе́й	m(Salvia) salviaжгл-a
ша́лый	stFшал, ~а, ~о, ~ыadj, óvkm.1. (сумасбродный) óðurглí høvdinum [hœtː-]пренебр., svakurсогл{a/ø}пренебр.2.(случайный) tilvildarligurглigur, tilfallandi [-tl-]глandiкн., óvart áberandiкн., tilfeldigur [-Ꞌfε-]ннкглigur; hendiligurглigur; (;(непостоянный)skiftandiглandi, óstøðugurглugur; umleypandiглandi(о погоде,ветре)
шаль	fsjal [ʃalː] (тж[ʃεal])с0о, sjálс0окн.; воротни́к ша́лью sjalskragi
шально́й	adj1.(сумасбродный) óðurглí høvdinum [hœtː-]пренебр., svakurсогл{a/ø}пренебр.2.(безрассудный) ørvitisligurглigur, ørvitis-; шально́й посту́пок о́ðamannaverkс0о@шальна́я пу́ляóvart áberandi kúla;шальна́я голова́ørvitisknokkur;шальны́е де́ньгиlætttjentir pengar
шаля́й-валя́й	adv óvkm.sum best ber til. onkursvegna
шама́н	msjamanur {shamanur} [ʃaꞋmaː-]мсогл-ar
шамани́зм	msjamanisma {shamanisma} [ʃaːmaꞋnɪ-]жгл-a
шама́нить	шама́н|ю, ~ишь, ~ятipfvera sjamanur {shamanur} [ʃaꞋmaː-], fást við sjamanismu {shamanismu} [ʃaːmaꞋnɪ-]
шама́нство	n1.(деятельность шамана)gandur o.a. virksemi hjá sjamani2.síшамани́зм
Ша́мбала	f rel.Shambhala [ʃampala]с нескл
ша́мкать	ipf(pfпроша́мкать) (говорить невнятно) balla [-tla]aði, bulla [-tla]aði(mest um tannleys fólk); lespaaði(говорить пришепётывая)
шамо́т	mchamotte [ʃaˈmɔʰtːɪ]сгл-i
шампа́нское	nsjampanja {champagna} [ʃamꞋpʰaɲja]жгл-a, kampavínлпс0о@кто не риску́ет, тот не пьёт шампа́нскогоorðt.,skemt.vágin vinnurпог.
шампиньо́н	m(Agaricus) champignon {sjampinjong} [ʃam̊pɪɲjɔŋk]ж0-ir;м0-ar{0<>i}; kampasoppurмсогл-arбот.
шампу́нь	mshampoo {sjampo} [ʃam̊po]с0гл(-inum){0<>i}
шампу́р	mspritaжгл-a(at steikja kjøtbitar o.a. á), (steiki)teinurмсогл-ar, sneisж0-ar(at steikja kjøtbitar o.a. á)
ша́нец	Genша́нц|а; ~ы, ~ев, ~амmtlm.,skemt.шанс
шанкр	mchanker [ʃaŋ̊kεɹ]м0-ar{дат.0}мед.; мя́гкий ша́нкр bleytur chanker; твёрдый ша́нкр harður chanker
шанс	mkjansurмсогл-s,-ir; ша́нсына что-л.kjansirfyri o-m; име́ть все ша́нсы hava góðar kjansir; нет никаки́х ша́нсов har eru eingir kjansir; нет ни мале́йшего ша́нса har er ikki ein kjansur; ша́нсы 1 про́тив 10 kjansirnir eru ein móti tíggju
шансо́н	m1.(французская песня) chanson [ʃanˈsɔŋk]мсогл-s,-ir2.(эстрадная песня) vísaжгл-a, sangur [saŋg-]мсогл-s,-ir
шансоне́тка	plurшансоне́т|ки, ~ок, ~камf1.(песня) vísaжгл-a(sangur)2.(певица) vísusangarinna [-saŋkaɹɪnta]жгл-a
шансонье́	m indeclvísusangari [-saŋk-]мгл-ari
шанта́ж	Genшантажа́mavpressingннкж0-ar, útpressingннкж0-ar; pengaavpressingннкж0-ar, penganoyðslaнпжгл-aпубл.(с целью получения денег)
шантажи́ровать	шантажи́ру|ю, ~ешь, ~ютipf AccavpressaннкaðiВин; hóttair(t)Вин til o-t(угрозами заставлять)
шантажи́ст	mavpressariннкмгл-ari; pengaavpressariннкмгл-ari, penganoyðariлпмгл-ari(с целью получения денег)
шантрапа́	f, m óvkm., illb.óvættiсгл-i;eis. kollpakkс0опрезр., harkaliðс0о{0<>i}, partaníggjс0о{0<>i}пренебр.
Шанха́й1	ImShanghai [ʃaŋkꞋhai]м0{дат.0}
шанха́й2	IImtlm., skemt.(об окраинном посёлке)slumm í útjaðri í býi
ша́пка	plurша́п|ки, ~ок, ~камf1.(головной убор) húgvaжгл-a; без ша́пки hattleysurсогл; в ша́пке í húgvu; мехова́я ша́пка pelshúgva, skinnhúgva2.fl.(то, что покрывает что-л.) kollur [-tl-]мсогл-ar; ша́пка воло́с stórt hár; ледо́вая ша́пка ískollur; сне́жная ша́пка kavafonn (t.d. ovast á fjalli); ша́пка пе́ны на молоке́ froða [fɹuːwa]жгл-aoman á mjólkini3.(заголовок) fleirteigað yvirskriftж0-ir@лома́ть ша́пкуперед кому-л.gml.. tlm.bukkaaðifyri o-m;датькому-л.по ша́пкеa) sláaслнó-ó-io-n; b) (прогнать, уволить) gevaслнa-ó-io-msekkin; получи́ть по ша́пкеóvkm.а) (получить нагоняй) fáaслнe-i-iꞋ av at vita; b) (быть уволенным) fáaслнe-i-isekkinнеформ.;ша́пками закида́тьkláraaðisum ein royk =>вор@,невиди́мка@
шапова́л	mgml.hattamakariмгл-ari
ша́почка	plurша́поч|ки, ~ек, ~камf dim avша́пка@Кра́сная Ша́почкаReyðhettaжгл-a
ша́почник	[-шн-]mhattamakariмгл-ari
ша́почный	[-шн-]adjhúgvu-@ша́почное знако́мствоleysligur [lεsl-] kennskapur; у меня́ с ним ша́почное знако́мство vit kennast leysliga;прийти́ к ша́почному разбо́руtilt.≈ liggjaслнá-ó-isjóvarfallið [-tl-] av særпог.
шар	Genша́ра(aftan á 2,3, og 4 Genшара́);plurшар|ы́, ~о́в, ~а́мm1.(предмет) kúlaжгл-a; возду́шный шар luftballón [-palɔun]ж0-ir2.pluróvkm.(глаза) eygurсгл-aмн@выпуска́тьпро́бный шарroynair(d)at skatta dýpið frammanundan;хоть шаро́м покати́tilt. tlm.tey eiga ikki matartugguna =>земно́й1
шараба́н	m charabanc [ʃaːɹaˈpaŋk]м0-ar
шара́га	f1.sovjet., jarg.(конструкторское бюро тюремного режима) teknistova [tʰεknɪ-]жгл-a(í fongsli, legu o.a.)2.(жульническое предприятие) svindilfyritøkaжгл-aнеодобр., fuppfyritøkaжгл-aнеодобр.3.(предприятие и др., занимающееся чем-л. ненужным)fyritøka, ið fæst við óneyðugt arbeiði
шара́да	forðagátaжгл-a, stavingargátaжгл-a
шара́хать	ipf síшара́хнуть
шара́хаться	ipf1.síшара́хнуться2.от кого-л.fl.(сторониться) skýggjaaðio-n; шара́хатьсяот кого-л.как от чумы́ skýggjao-nsum hin versta [vεsta]3.fl.: шара́хаться из одно́й кра́йности в другу́ю fara frá einum ekstremi [-Ꞌstɹe-ː]ннкtil annan
шара́хнуть	шара́хн|у, ~ешь, ~утpf(ipfшара́хать)óvkm.1.(швырнуть) sleingjair(d)Вин; шара́хнуть ка́мнем в забо́р hirðaaðiein stein móti garðinum, ripaaðiein stein móti garðinum2.(ударить) sláaслнó-ó-iВин; шара́хнутького-л.lammaaðitil o-n
шара́хнуться	шара́хн|усь, ~ешься, ~утсяpf(ipfшара́хаться)1.(неожиданно тронуться с места и т.п.) brennair(d) +доп., faraслнó-ó-aí skundi; шара́хнуться наза́д støkkaслнa{ø}-u-oaftur [aʰtː-] eftir[εʰtː-] hæli; шара́хнуться в сто́рону leypaслнey-u-otil viks ; (о лошади)eis.blíva styggurсогл(um ross)2.(броситься) tuskaaði, tvísporaaði, stórleypaслнey-u-o; tveitair(t)seg3.(удариться) rennair(d)seg ímóti [-Ꞌmɔu-], smekkaaðiseg í; шара́хнутьсяобо что-л.renna segímóti o-m, smekka segí o-t; шара́хнуться голово́й в шкаф sláaслнó-ó-ihøvdið [hœtːɪ] móti skápinum
шара́шка	plurшара́ш|ки, ~ек, ~камf1.(неофициальный заработок) lønж0-ir(sum ikki er almenn)2.síшара́га1
шара́шкин	adj: шара́шкина конто́раóvkm., niðr.fuppfyritøkaжгл-aнеодобр., svindilfyritøkaжгл-aнеодобр.
шарж	mskemtitekning [-tʰεkn-]ж0-ar, karikaturur [kʰaːɹikaꞋtʰuː-]интмсогл-ar
шаржи́ровать	шаржи́ру|ю, ~ешь, ~ютipf Аccgeraнепрskemtitekningav Дат, karikera [kʰaːɹiꞋkʰeː-]aðiВин
шариа́т	msharia [ʃaːɹia]с нескл.
шариа́тский	adjeftir [εʰtː-] sharia [ʃaːɹia-], sambært sharia [ʃaːɹia-], sharia- [ʃaːɹia-] (síшариа́т)
шарива́ри	n indecl.1.gml.(пение) kattamusikkurмсогл-arпренебр.; levindс0о(гам); goragangurмсогл-s,-ir(кутерьма); spektakkul [spetʰaʰkː-]с0осннеформ.(галдёж)2.(номер в цирке)serligt slag av akrobatikknummari í sirkus
ша́рик	m dim avшар@бе́лые кровяны́е ша́рикиhvít blóðlikamннкс0омнпроф., hvítir blóðkropparнпмсогл-arмн, hvít blóðkorn [-tn]нпс0омн;кра́сные кровяны́е ша́рикиreyð blóðlikamннкс0омнпроф., reyðir blóðkropparнпмсогл-arмн, reyð blóðkorn [-tn]с0омн;у него́ ша́риков не хвата́етóvkm.har er lágt millum syllar(nar) [-tl-]пог.,шутл., hann hevur lítið til
ша́риковый	adjkúlu-; ша́риковы́й подши́пникsíшарикоподши́пник=>подши́пник,ру́чка4
шарикоподши́пник	mkúluleigiннксгл-iпроф., kúlulega [-leːva]нпжгл-a, knattlega [-leːva]лпжгл-a
ша́рить	ша́р|ю, ~ишь, ~ятipf1.(искать ощупью) trilvaaði2.(искать) leitaaði
ша́рканье	nskavanж0-ir
ша́ркать	ipf(momentша́ркнутьша́ркн|у, ~ешь, ~ут)1.(производить шорох) skavaaði; идти́, ша́ркая нога́ми dragaслнó-ó-iføturnar; сапоги́ ша́ркали tað skróvaði í stivlunum; он ша́ркал ту́флями hann skavaði við skónum2.: ша́ркать но́жкой {ного́й}gml.sláaслнó-ó-ihælarnar saman3.óvkm.Acc(ударять) sláaслнó-ó-iВин, lammaaðitil Вин(сильнее)
ша́ркнуть	moment síша́ркать
шарлата́н	mcharlatanur {sjarlatanur} [ʃaɹlaꞋtʰaː-]интмсогл-ar
шарлата́нство	ncharlatanarí {sjarlatanarí} [ʃaɹlatʰaːnaꞋrʊi]интс0о
шарло́тка	plurшарло́т|ки, ~ок, ~камfcharlottekøka [ʃaɹˈlɔ-]жгл-a
шарм	m sjarma {charma [ʃa-]}жгл-a
шарма́нка	plurшарма́н|ка, ~ки, ~окflirukassiмгл-i; игра́ть на шарма́нке spæla á lirukassa@завести́ шарма́нкуkomaслнo-o-ovið tí sama gamla sjangrinum
шарма́нщик	mlirukassamaðurмнепр
шарни́р	mliðurмсогл-s,-ir=>шарово́й
шарова́ры	шарова́р, ~амf plurvíðar buksurжгл-aдистр(brøkurnar samanryktar í neðra,brúktar t.d. í eystanlondum)
шарови́дный	stfшарови́д|ен, ~на, ~ныadjkúluskapaðurглaður
шарово́й	adjkúlu-; шарово́й кла́пан kúluventilur; шарова́я мо́лния kúlusnarljós [-snaɹ-]; шарово́й шарни́р kúluliður
шароголо́вый	adj síдельфи́н
шаромы́га	f, móvkm.snultariмгл-ari, snultigesturмсогл-s,-ir
шаромы́жник	móvkm.snultariмгл-ari, snultigesturмсогл-s,-ir
шарообра́зный	stfшарообра́з|ен, ~на, ~ныadj síшарови́дный
шарф	m(háls)turriklæðiсгл-i, (háls)turrklæðiсгл-i(б.ч. склоняется по произношению[tʰʊɹklεa]с0о{a/ø}{0<>i}), hálsklúturмсогл-arуст.
шасси́	n indecl(автомобиля) undirstellс0о(á bili); landingsstellс0о(á flogfari) (самолёта); berandi rammaжгл-a(á radiomóttakara) (радиоприёмника); колесо́ шасси́ (самолёта) landingshjul [-juːl]ннкпроф.с0о, lendingarhjól [-tʃʰɔul]нпс0о
ша́стать	ipfóvkm.,atf.gangaслнe-i-iog malaслнó-ó-a, gangaслнe-i-iog dreivaaði
шата́ние	n1.(действие) riðanж0-ir, vagganж0-ir2.fl.(колебание) vinglс0о, vingulс0осн
шата́ть	ipf(momentшатну́тьшатн|у́, ~ёшь, ~у́т)Acc1.(раскачивать) riðaaðiВин; vaggaaðiДат; ristair(t)Дат(трясти); шата́ть столб riða pelan; ваго́н шата́ло (из стороны́ в сто́рону)ópvognurin slongdist2.: его́ шата́етóphann sløðraraði, hann vinglaraði
шата́ться	ipf(momentшатну́тьсяшатн|у́сь, ~ёшься, ~у́тся)1.(качаться) ridlaaði; vaggaaði, sveiggjaði; skinklaaði; (um tonn, nagla o.a.) vera leysur (о зубе, гвозде и т.п.); skinklaaði; стул шата́ется stólurin skinklar; болт шата́ется bolturin er leysur2.(при ходьбе) sløðraaði, vinglaaði3.fl.(колебаться) vinglaaði(draga á bæði)4.(слоняться) malaслнó-ó-aaftur [aʰtː-] og fram, rekastслнa-ó-i
шате́н	[-тэ́н]mmannfólkс0оvið ljóst brúnum hári, mannfólkс0оvið jørpumкн.hári; он шате́н hann er brúnhærdur, hann hevur jarpt [jaɹ̥t]кн.hár
шате́нка	[-тэ́н]plurшате́н|ки, ~ок, ~камfkonufólkс0о(ljóst) brúnum hári, konfólkс0оvið jørpum hári; она́ шате́нка hon er brúnhærd, hon hevur jarpt [jaɹ̥t]кнhár
шатёр	Genшатр|а́;plur~ы́, ~о́в, ~а́мm1.(палатка) (stórt) teltннкс0о, (stórt) tjaldнпс0о{a/ø}2.arkit.(крыша)pyramiduskapað tak við fýra ella fleiri síðum(í russ. bygging 16.-18. øld)
ша́тия	fóvkm.pakkс0опрезр., harkaliðс0о{0<>i}, partaníggjс0о{0<>i}пренебр.
ша́ткий	stfша́т|ок, ~ка, ~ко, ~киadj1.(неустойчивый,шатающий) óstøðugurглugur, ridluturсогл, óstútturсогл, skinkluturсогл; ша́ткий стул skinklutur stólur; ша́ткие шаги́ óstútt gongulag, sløðrut gongulag2.(ненадёжный) svikaligurглigur, vøkkultтк с; ша́ткое основа́ние svikaligt grundarlag, vøkkult grundarlag; ша́ткое положе́ние ein svikalig støða, ein ótrygg støða; ша́ткое здоро́вье ring heilsa; ша́ткое доказа́тельство ivasamt prógv
ша́тко	adv avша́ткий@ни ша́тко ни ва́лкоtilt.(so) nøkulunda, so dánt; де́ло идёт ни ша́тко ни ва́лко tað gongur so nøkulunda, tað gongur so dánt
шатну́ть	moment síшата́ть
шатну́ться	moment síшата́ться
шатро́вый	adj1.(кшатёр 1) telt-ннк, tjald-нп2.(кшатёр 2)dánaður sum pyramida,síшатёр2
шаттл	m1.(косми\ескийкорабль) rúmdarferjaжгл-a2.(танспортное средство)shuttlebussur [ʃɔʰtːɪl-]мсогл-ar
шату́н	Genшатун|а́;plur~ы́, ~о́в, ~а́мmpleylstongж0-ur{o/e}
шау́рма	fshawarma [ʃaꞋva-]ж нескл.;с нескл.
ша́фер	plurшафер|а́, ~о́в, ~а́мm≈ brúðmaður [pɹʏm-]мнепр(sum undir vígslu í russ. ortodoksari kirkju heldur ein krans yvir høvdinum á brúður ella brúðgómi)
шафра́н	m1.plant.(Crocus sativus) safranlilja [saꞋfɹaːn-]жгл-a2.(пряность) safran [saꞋfɹaːn]с0о
шафра́нный	adjsafran- [saꞋfɹaːn-]; safrangulur [saꞋfɹaːn-]согл(о цвете)
шафра́новый	adj síшафра́нный
шах1	Im(титул) shahur [ʃaːʊɹ]мсогл-ar
шах2	IImtalvskákс0о; шах! skák!; шах королю́ kongurin er skákaður; объяви́ть шах skákaaði; под ша́хом skák; ве́чный шах ævigt skák; шах и мат skák og mát
ша́хер-ма́хер	m mest plurtlm.,atf.rossahandilм0осн; sovorðið, sum ikki tolir dagsins ljós; sovorðið, sum fer fram í skúmaskotum
шахи́д	msjálvmorðsbumbari [ʃɔlm-]мгл-ari=>по́яс1
шахи́дка	plurшахи́д|ки, ~ок, ~камfsjálvmorðsbumbariмгл-ari(konufólk),síшахи́д
шахи́ня	fdrotningж0-ar(kona shah)
шахмати́ст	mtelvariмгл-ari
шахмати́стка	plurшахмати́ст|ки, ~ок, ~камftelvariмгл-ari(konufólk)
ша́хматный	adjtalv-; ша́хматная зада́ча talvuppgáva; ша́хматная па́ртия talvс0о; ша́хматные фигу́ры talvfólkс0омн; ша́хматная олимпиа́да talvolympiada [-olym̊piaːta]; ша́хматный сто́лик borð at telva á; ша́хматный ход leikur (í talvi)@быть располо́женнымв ша́хматномпоря́дкеvera puntuturсогл(sum talvborð), vera sum eitt talvborð =>доска́2
ша́хматы	f plur1.(игра) talvс0о; игра́ть в ша́хматы telvaaði2.(фигуры) talvfólkс0омн=>хорошо́I
ша́хта	f1.(место подземной добычи) minaннкжгл-aпроф., námнпс0о; каменноуго́льная ша́хта kolaminaннкпроф., kolanámнп2.(удлиннённая полость) skaktж0-irспец.; ша́хта турби́ны turbinuskakt [-Ꞌpiː-]спец; ша́хта ли́фта elevatorskakt [-Ꞌvaː-] спец.; ша́хта для вы́борки я́русаfisk.dragibrunnurмсогл-arмор., moon-pool [muːnpʰuːl]м0-arмор.
ша́хтенный	adjminu-ннкпроф., náms-нп
шахтёр	mminuarbeiðariннкмгл-ari, námsarbeiðariнпмгл-ari, námsarbeiðsmaðurнпмнепр; kolamaðurмнепр(в каменноугольной шахте)
