Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
набалова́ть	набалу́|ю, ~ешь, ~ют pftlm.síизбалова́ть
наба́лтывaть	ipfI, IIsíнаболта́тьI, II
набальзами́ровать	pf síбальзами́ровать
наба́т	malarmklokka [-Ꞌla-]жгл-a(ljóðið); бить в наба́тbeinl.,fl.sláa alarm [-Ꞌla-]прям., перен.; geraнепрꞋ róp íперен.
наба́тный	adj: наба́тныйsíко́локолнаба́т; наба́тный звон ringing við alarmklokku [-Ꞌla-]
набе́г	m(snar)álopс0о; strandhøggс0оист.(на берег)
набе́гать	pf что-л.tlm.rennaслнa-u-usærtil o-t; набе́гать (себе́) оды́шку renna sær til (anda)trongd
набега́ть	ipf1.síнабежа́ть2.óp bert3. perstlm.(морщиться) rukkastaði, verða rukkuturсогл
набе́гаться	ipf tlm.(бегая утомиться)rennaслнa-u-useg móðan; rennaслнa-u-utað, einum lystir (вдоволь побегать)
набедоку́рить	pf síбедоку́рить
набе́дренный	adj: набе́дренная повя́зка lendaklæðiсгл-i
набежа́ть	набегу́, набежи́шь, набегу́т; imperнабеги́, набеги́теpf(ipfнабега́ть)A 1.на Acc(натолкнуться) rennair(d)segí Вин; skolaaðiímóti[-Ꞌmɔu-]Дат(о волне)2.: набежа́ли ту́чи tað bøklaði upp á luftina; hann dró á luftina (перед непогодой); набежа́л ве́тер hann øtlaði vindin3.: на её глаза́ набежа́ли слёзы eyguni á henni fyltust við tárumB 1.bert 3. pers brúkturtlm.(собраться) samlastaði; tyrpastir(t)(столпиться); наро́ду набежа́ло!óphar var eitt fólk komið saman!2.bert 3. pers brúkturtlm.(накопиться) leggjastнепрafturat [aꞋtʰɹεat]; набежа́ли проце́нты на ссу́ду renta er komin upp á lánið, renta er løgst aftur at láninum
набезобра́зничать	ipf síбезобра́зничать
набе́й	набе́й, набе́йтеimper avнаби́ть
набекре́нь	advá skrá, á skák (um húgvu o.tíl.)@мозги́ набекре́ньу кого-л.tlm.tað er lítið skilí o-m, tað er einki fantilsiá o-mнеформ.
набели́ть	pf síбели́ть3
набели́ться	pf síбели́ться
на́бело	adv: переписа́тьчто-л.на́бело reinskrivaaðio-t
набер...	1.наберу́o.s.fr. fut avнабра́ть2.наберу́сьo.s.fr. fut avнабра́ться3.набери́, набери́теimper avнабра́ть4.набери́сь, набери́тесьimper avнабра́ться
на́бережная	f(laðaður) áarbakkiмгл-i(ofta við múri,garði) (речной берег); kai [kʰai]ж0-ir(fram við á,kanal), kai [kʰai]ж0-ir(в порту); strandarvegurмсогл-ir{+}, gonguvegurмсогл-ir{+}fram við sjóvarmála (дорога вдоль берега)
набзде́ть	pf síбздеть1
набива́ть	ipf síнаби́ть
набива́ться	ipf síнаби́ться
наби́вка	наби́в|ки, ~ок, ~камf1.(действие) fylling [-tl-]ж0-ar(av dýnum o.tíl.); polstringж0-ar(мебели)2.(действие,отпечатание) stoffprentingж0-ar3.(материал) fylla [-tla] (í dýnum o.tíl.); polstringж0-ar(мебели); pakningurмсогл-ar, pakkitilfarс0о(í pakkdósum o.tíl.) (сальников и т.п.)4.(узор) stoffprentс0о(mynstur)
набивно́й	adjprentaðurглaður(um toy)
набира́ть	ipf síнабра́ть
набира́ться	ipf síнабра́ться
наби́тый	stfнаби́т, ~а, ~о, ~ыIpartic avнаби́тьIIadjstúvandi fullur [-tl-]согл, stappandi fullur [-tl-]согл; ту́го наби́тый stúvandi fullur, stappandi fullur@оннаби́тый дура́кtlm.hann er so skítbýtturвульг., hann er so fratbýtturвульг.=>битко́м
наби́ть	набь|ю́, ~ёшь, ~ю́т; imperнабе́й, набе́йтеpf(ipfнабива́ть)1.что-л. чем-л.(наполнить) fylla [-tla]ir(t)o-t við o-m; stappaaðio-t í o-t; наби́ть портфе́ль бума́гами fylla mappuna við papírum [-Ꞌpʰʊi-], stappa papír [-Ꞌpʰʊi-] í mappuna; наби́ть (табаку́) в тру́бку stappa pípuna; наби́ть чу́чело stappa fugl út, stappa djór út; ко́мната была́ наби́та людьми́ verilsiðннкvar pinnpakkað við fólki2.что-л.tekn.(сальники и т.п.) pakkaaðio-t(pakkdósir o.tíl.)3.что-л.(отпечатать ткань) prentaaðio-t(á stoff)4.что-л. на что-л.(вколотить;надеть) neglair(d){+}o-t (upp) á o-t; наби́ть гвозде́й в сте́ну sláa (nógvar) seymir í veggin; наби́ть о́бручи на бо́чку leggjaнепрgjarðir um eina tunnu5.: наби́ть себе́ ши́шку fáaслнe-i-ieina kúlu (kýli)6.Acc(настрелять) skjótaслнey-u-oВин(í ávísum tali); наби́ть гусе́й skjóta nógvar gæs, skjóta fult av gásum@наби́ть ру́куна чём-л.tlm.fáaнепрhegnitil o-t, fáaнепрhandalagiðtil o-t;наби́ть це́нуsetaur(t);ir(t)prísin upp; skrúvaaðiprísin uppнеодобр.;наби́ть себе́ це́нуatf.geraнепрseg kostbaranэнкирон., неодобр.;наби́ть мо́рдукому-л.óvkm.gevaслнa-ó-io-mframmaná [-Ꞌɔa]; gevaслнa-ó-io-mupp á Ꞌ kjaftinгрубо=>битко́м,брю́хо2,карма́н@,хо́лка@
наби́ться	набь|ю́сь, ~ёшься, ~ю́тся; imperнабе́йсь, набе́йтесьpf(ipfнабива́ться)1.bert 3. pers brúkturtlm.(скопиться) samlastaði, tyrpastir(t); fyllast [-tl-]ir(t); в ко́мнату наби́лось мно́го наро́ду verilsiðннкvar pinnpakkað við fólki, verilsiðннкvar kjokkfult av fólki2.в Ins, с + inftlm.(навязаться,напроситься) trokaaðiseginn á Вин; otaaðiseg seginn á Вин; наби́ться на приглаше́ние noyðair(d)o-nat bjóða sær; наби́ться в друзья́кому-л.noyðair(d)sítt vinalagupp á o-n
наблюда́тель	meygleiðari [εkl-]мгл-ari; eftirlitsmaður [εʰtː-]мнепр(над вооружием,по разоружению и т.п.)
наблюда́тельность	ftað at vera gáinсоглосн{0}кн., tað at gáa eftir [εʰtː-]
наблюда́тельный	stfнаблюда́телен, наблюда́тельн|а, ~о, ~ыadj1.bert lf(служащий для наблюдения) eftirlits- [εʰtː-] (осуществляющий надзор); útkiks- [-kʰɪʰks-]ннкпроф.(б.ч. о судах и т.п.), kag-лп; наблюда́тельная коми́ссия eftirlitsnevnd; Обще́ственная наблюда́тельная коми́ссияserlig nevnd í Russlandi, sum hevur eftirlit við viðurskiftum og rættindum hjá fangum o.ø.; наблюда́тельная вы́шка útkikstorn [-kʰɪʰks-]ннкпроф., kagtornлп2.(о человеке) sum leggur væl til merkis, gáinсоглосн0кн., grannsígginсоглоснggкн.
наблюда́ть	ipf1.Acc, за Ins, + чтоel.как(внимательно следить) eygleiða [εk-]ir(d)Вин, eygbera [εk-]слнa-ó-oВинкн.;eygfara [εk-]слнó-ó-aВин(внимательно осматривать); hyggjaur(d){y/u}{+}eftir [εʰtː-]Дат(смотреть); gevaслнa-ó-iДатgætur (обращать внимание)2.Acc(видеть) síggjaслнá-ó-æВин; иногда́ мо́жно наблюда́ть, как ... við hvørt sæst, hvussu ...3.Acc(изучать) kannaaðiВин4.за Ins(осуществлять надзор) ansaaðieftir[εʰtː-]Дат, hava eftirlit [εʰtː-]við Дат, hava umsjónvið Дат
наблюда́ться	ipf1.(быть под наблюдением) vera kannaðurглaður2.(встречаться, обнаруживаться) síggjastслнá-ó-æ; hendair(d){+}(иметь место)
наблюде́ние	n1.(действие) eygleiðing [εk-]ж0-ar; observatión [-Ꞌʃɔun]ннкпроф.ж0-ir; под наблюде́нием врача́ undir læknaobservatiónпроф.2.(за Ins) (надзор) eftirlit [εʰtː-]с0о, umsjónж0-ir(við Дат)3.(то,что замечено) eygleiðing [εk-]ж0-ar; observatión [-Ꞌʃɔun]проф.ж0-ir
на́божность	fgudrøkniсгл-i, frommheitннкж0-ir, frómleikiмглл-iкн.; gudiligheitэнкж0-irпренебр.
на́божный	stfна́бож|ен, ~на, ~но, ~ныfgudrøkinсоглосн, trúgvandiглandi(верующий); frommurннксогл, frómurсоглкн.; gudiligurглigurпренебр.
набо́йка	plurнабо́йки, набо́ек, набо́йкамf1.(на каблуке) bótж0-ur{ó/ø}) upp undir Ꞌ hæl; ста́вить набо́йки leggjaнепрupp undir Ꞌ hæl2.(ткань,узор) stofftrykkс0о(klæði)
на́бок	advskeivt (косо); á skák, á skrá (набекрень); склони́ть го́лову на́бок leggjaнепрhøvdið [hœtːɪ] á skák, hella [-tla]ir(t)vanga; га́лстук съе́хал на́бок slipsið situr skeivt
наболе́вший	Ipartic avнаболе́тьIIadjviðkvæmurсогл{æ/o}, eymurсогл@наболе́вший вопро́сátrokandiглandispurningur
наболе́ть	наболе́|ет, ~ютogнабол|и́т, ~я́тpf1.наболи́т(стать болезненным) verða eymurсогл, verða sárurсогл, sárkastaði2.: у него́ душа́ наболе́ла гляде́тьна что-л.hann harmaðist um at hyggjaat o-m, tað var honum sárt at hyggjaat o-m; на душе́ наболе́лоóphann var tungur um hjartað [ja-]
наболта́ть1	Ipf(ipfнаба́лтывать)что-л.ogчего-л. во что-л.tlm.(намешать) rørair(d)o-t út í o-t, blandaaðio-t í o-t
наболта́ть2	IIpf(ipfнаба́лтывать)что-л.ogчего-л.tlm.(наговорить) babbaaðio-t, vøsaaðio-t, roksaaðio-t
наболта́ться	pftlm.(наговориться) fáaнепрeitt langt prát
набо́р1	Im1.(приём) upptøkaжгл-a(учеников,студентов); setanж0-ir(рабочих,работников); innkalling [-tl-]ж0-ar, útskrivingж0-ar(солдат); набо́р но́вых ученико́в upptøka av nýggjum næmingum2.(контингент) holdннкс0о, flokkurмсогл-ar(av lesandi o.ø.)3.(комплект) settс0о; набо́р га́ечных ключе́й eitt sett av skrúvulyklum4.prent.(литеры) satsurмсогл-s,-ir@набо́р словorðaskvaldurс0осн
набо́р2	IImskip.(шпангоуты) spantс0омнмор., bondс0омнмор.
набо́рный	adjseti-; набо́рная маши́на setimaskina
набо́рщик	msetariмгл-ari
набра́сывать1	Iipf síнаброса́ть
набра́сывать2	IIipf síнабро́сить
набра́сываться	ipf síнабро́ситься
набра́ть	набер|у́, ~ёшь, ~у́т;pretнабра́л, набрала́, набра́л|о, ~иpf(ipfнабира́ть)1.Gen, что-л., чего-л.(собрать) samlaaðio-t; hentaaðio-t(о цветах,ягодах и т.п.); набра́ть корзи́ну я́год henta ein (fulla [-tla]) kurv av berum, fylla [-tla]ir(t)eina kurv við berum; набра́ть горю́чего taka bensin [-Ꞌsiːn], fylla [-tla]ir(t)bensin [-Ꞌsiːn] á; набра́ть ведро́ воды́ fylla [-tla]ir(t)eina spann við vatni; набра́ть во́здух в лёгкие fylla [-tla]ir(t)lunguni við luft; ло́дка набира́ет во́ду báturin drekkur; набра́ть очко́в samla stig2.кого-л.(нанять,навербовать,принять) takaслнó-ó-io-nupp (учеников,студентов); setaur(t);ir(t)o-n(рабочих и др.); kalla [-tla]aðio-ninn (солдат и т.п.)3.что-л.prent.(составить для печатания) setaur(t);ir(t)o-t4.что-л.(достичь нужной степени) komaслнo-o-ouppí o-t(um ferð o.tíl.); speeda [spyːta]aðiuppнеформ.(об автомобиле и др.); набра́ть ско́рость fáaслнe-i-iferð á seg, takaслнó-ó-iꞋ dik á seg; accelerera [aʰksʰksɪlɪꞋreː-]aði(о машинах и др.); набра́ть оборо́ты komaслнo-o-oupp í umdreyningumпроф..; набра́ть высоту́ koma upp í hædd, flúgva upp í ... hædd5.: набра́ть но́мер телефо́на snaraaðieitt telefonnummar [-Ꞌfoː-]6.что-л.(укомплектовать) samlaaðio-t(seta saman); набра́ть моза́ику samla ein mosaikk [-Ꞌɪʰkː]@набра́ть воды́ в ротsteintigaнепр
набра́ться	набер|у́сь, ~ёшься, ~у́тся;pretнабра́лся, набрала́сь, набра́лосьogнабрало́сь, набра́лисьpf(ipfнабира́ться)1.bert 3. pers brúktur(скопиться) samlastaði; rúgvaaðiseg Ꞌ upp (нагромоздиться); набрало́сь мно́го претенде́нтов har vóru nógvir umsøkjarar; набрало́сь мно́го рабо́ты arbeiðið hevur rúgvað seg upp2.чего-л.tlm.(найти в себе силы): набра́ться хра́брости herðair(d)seg upp; набра́ться сил erraaðiseg upp; takaслнó-ó-især um reiggj; набра́ться терпе́ния brynjaaðiseg við toli3.чего-л.tlm.(приобрести,усвоить) fáaслнe-i-io-t; набра́ться дурны́х привы́чек fáa sær ringar vanar; набра́ться ума́ blíva klókari, vitkast [vɪʰkːast]aði4.чего-л.tlm.(напастись) leggjaнепрo-tinn Ꞌ undir seg5.óvkm.(напиться) drekkaслнa-u-useg Ꞌ fullan [-tl-], drekkaслнa-u-useg Ꞌ skítвульг.=>дух3,повести́сь@
набреда́ть	ipf síнабрести́
набрести́	набред|у́, ~ёшь, ~у́т; pretнабрёл, набрел|а́, набре́л|о, ~иpf(ipfнабреда́ть)1.на Acc(натолкнуться) komaслнo-o-oframá Вин, rennair(d)segí Вин2.oftast óp bert 3. pers brúkturtlm.(собраться) komaслнo-o-osaman; набре́ло мно́го наро́ду har var nógv fólk komið saman
набреха́ть	набрешу́, набре́ш|ешь, ~утpf(чего-л. о Prp, что + inf)óvkm.lúgvaслнey-u-o(o-t um Вин, at + инф.)
набронзирова́ть	pf síбронзирова́ть
набронзи́ровать	pf síбронзи́ровать
наброса́ть	pf(ipfнабра́сывать)1.что-л., чего-л.(бросать) blakaaðio-t(í stórari nøgd); наброса́ть в ку́чучего-л.blakao-tsaman í rúgvu2.Acc(намечать) skitsera [skɪʰtꞋseː-]aðiВин; skrivaaðio-tupp, notera [-Ꞌtʰeː-]ннкaðio-t(наскоро записать)
набро́сить	набро́шу, набро́с|ишь, ~ятpf(ipfнабра́сывать)что-л.tveitair(t)o-t; набро́сить покрыва́ло на крова́ть tveita teppið á seingina; набро́сить на себя́что-л.sleingjair(d)o-tuttan á seg, sleingjair(d)o-tyvir seg (надеть); набро́сить ко́фточку rívaслнei-i-iseg í eina troyggju, sleingja eina troyggju uttan yvir seg
набро́ситься	набро́шусь, набро́с|ишься, ~ятсяpf(ipfнабра́сываться)1.на Acc(напасть) leggjaнепрá Вин, leggjaнепрeftir[εʰtː-]Дат2.на что-л.tlm.(с усердием приняться за что-л.) leggjastнепрá o-t; набро́ситься на еду́ leggjast á matin3.на Acctlm.(упрекать,бранить) loysair(t)av at skeldaВин, leggjastá Вин(at skelda)
набро́сок	Genнабро́ск|а; plur~и, ~ов, ~амm1.(рисунок) skitsa [skɪ-]жгл-a(tekning)2.(черновик) skitsa [skɪ-]жгл-a, uppkastнпс0о{a/ø}
набры́згать	pf(ipfнабры́згивать)что-л., чего-л., чем-л.slettair(t)o-t; набры́згать во́ду {воды́, водо́й} на́ пол sletta vatn á gólvið
набры́згивать	ipf síнабры́згать
набрю́шник	mmagabeltiсгл-i
набряка́ть	ipf síнабря́кнуть
набря́кнуть	набря́кн|у, ~ешь, ~ут;pretнабря́к, ~ла, ~ло, ~лиpf(ipfнабряка́ть)tlm.1.(разбухнуть) trútnaaði(um við o.tíl.)2.(распухнуть и отяжелеть) bólgna [pœlna]aðiupp, túsnaaðiupp
набузи́ть	pf síбузи́ть
набуха́ть	ipf síнабу́хнуть
набу́хнуть	набу́хн|ет, ~ут;pretнабу́х, ~ла, ~ло, ~лиpf(ipfнабуха́ть) bólgna [pœlna]aði(upp); hovnaaði(ос. как последствие воспаления и т.п.)
набуя́нить	набуя́н|ю, ~ишь, ~ятpftlm.geraнепрrok, loypair(t)Ꞌ rumbul í
набы́чиваться	ipf síнабы́читься
набы́читься	набы́ч|усь, ~ишься, ~атсяpf(ipfнабы́чиваться)óvkm.bolaaði
набь...	набью́o.s.fr. fut avнаби́ть
нава́га	f(Elegina navaga)fiskur av toskaslektini(en.navaga; da.navaga)
наважде́ние	ngyklс0о, yvirsjónж0-ir(serl. íbirt av illum andum o.tíl.)@что за наважде́ние?tlm.hvat er nú hetta fyri nakað?;э́то про́сто наважде́ние!hetta er sum forgjørt [-Ꞌtʃœ-]!
нава́ксить	pf síва́ксить
нава́л	mskip.ásiglingж0-ar; tað at taka í (касание); нава́л су́днана что-л.ásiglingin hjá [tʃʰ-] einum skipiá o-t; tað at eitt skip rennir á o-t
нава́ливать1	Iipf síнавали́ть
нава́ливать2	IIipf síнаваля́ть
нава́ливаться	ipf síнавали́ться
