Ю	юг S, suður
юли́ть	юл|ю́, ~и́шь, ~я́тipf1.(вертеться) vimsaaðiíkring [-Ꞌkʰɹɪ-], dartaaði, ongan frið havaнепрá sær; ikki havaнепрsessuró, havaнепрstertидиом.,неформ., havaнепрkviksilvur [kʰvɪʰk-] í reyviniидиом.,грубо2.перед кем-л.(заискивать,лебезить) krúpaслнey-u-ofyri o-m, sleiskaaðifyri o-m, sleikjair(t){+}o-m3.(изворачиваться) skákaaðisær undan; не юли́! tosa ikki uttanum!
ю́мор	mhumor [huːmoːɹ]м0-ar({0<>i}); чу́вство ю́мора humoristiskur [-Ꞌrɪ-] sansur; то́нкий ю́мор fínur humor; чёрный ю́мор svartur humor; отде́л ю́мора skemtiteigurмсогл-ar(í blað) (в газете)@ю́мор ви́сельникаgálgahumorм0-ar({0<>i})ред.
юморе́ска	plurюморе́с|ки, ~ок, ~камf1.bókm.(литературное произведение) skemtisøgaжгл-a(рассказ); skemtiyrkingж0-ar(стихи); humoreska [-Ꞌrε-]жгл-aспец.2.mus.(музыкальное произведение) humoreska [-Ꞌrε-]жгл-aмуз.
юмори́ст	m1.(человек) humoristur [-Ꞌrɪ-]мсогл-ar, humoristiskt [-Ꞌrɪ-] fólkс0о2.(писатель) humoristur [-Ꞌrɪ-]мсогл-ar(høvundur)
юмори́стика	f1.(вид произведений) humoristisk [-Ꞌrɪ-] verkс0омн(søgur,greinar o.a.)2.tlm.(нечто смешное,комическое) skemtilig hendingж0-ar
юмористи́ческий	adj1.(кю́мор, юмори́стика) humoristiskur [-Ꞌrɪ-]соглsk, skemti-2.síюмористи́чный
юмористи́чный	stfюмористи́ч|ен, ~на, ~но, ~ныadjhumoristiskur [-Ꞌrɪ-]соглsk, skemtingarsamurсогл{a/ø}
юмори́ть	юмор|ю́, ~и́шь, ~я́тipftlm.tosaaðivið humor, vera humoristiskur [-Ꞌrɪ-]соглsk; skemtaaði(шутить); fjantastaði(дурачиться)
юморно́й	adjtlm.humoristiskur [-Ꞌrɪ-]соглsk, skemtingarsamurсогл{a/ø}
юнарме́ец	Gen, Accюнарме́йц|а;~ы, ~ев, ~амm sovjet. ein, sum er við í einum serl. hernaðarligum barnaspæli
ю́нга	mskipsdrongurмсогл-ir{+}, prentisм0-arуст.(на рыболовных судах); jungmaðurмнепр(младший матрос)
ЮНЕ́СКО	[юнэ́ско]n indeclОрганиза́ция Объединённых На́ций по вопро́сам образова́ния, нау́ки и культу́ры UNESCO [jʉuꞋnεsko]с нескл.(англ.United Nations' Educational, Scientific and Cultural Organization) ST-stovnurin fyri útbúgving, vísindum og mentan
юне́ц	Gen,Accюнц|а́;plur~цы́, ~о́в, ~ца́мmtlm.ungur drongurмсогл-ir{+}=>зелёный3
юнио́р	m.unglingiмгл-i(í ítrótti), juniorur [-iꞋoː-]мсогл-ar; чемпиона́т юнио́ров meistaraskapur í unglingadeildini;
юнио́рка	plurюнио́р|ки, ~ок, ~камfgentaжгл-a(í ítrótti), juniorur [-iꞋoː-]мсогл-ar(genta)
ЮНИСЕ́Ф	[юнисэ́ф]m indeclЧрезвыча́йный фонд по́мощи де́тям при ООН UNICEF [jʉunisεf]с0{дат.0}(англ.United Nations' Intenational Children's Emergency Fund) Barnahjálpargrunnur [-tnajɔl̥p-] ST
ю́нкер	1.plurю́нкеры, ~ов, ~амmsøg.(прусский помещик) junkariмгл-ari(proysiskur góðseigari)2.plurюнкер|а́, ~о́в, ~а́мogю́нкеры, ~ов, ~амmsøg.(в царской России) kadettur [-Ꞌtε-]мсогл-ar(í Russlandi fyri 1917)
ю́нкерский	adj1.søg.(кю́нкер 1) junkara- (síю́нкер1)2.søg.(кю́нкер 2) kadetta- [-Ꞌtε-] (síю́нкер2)
юнко́р	msovjet.ю́ный корреспонде́нт ungt fólkс0о, ið sendir tilfar til ungdómsblað o.tíl.
ЮНКТА́Д	[юнкта́д]mКонфере́нция ООН по торго́вле и разви́тию UNCTAD [uŋ̊ktʰat]с нескл.(англ.United Nations' Conference on Trade and Development) ST-ráðstevnan um handil og menning
юнна́т	mю́ный натурали́ст limurмсогл-irí ungdómsfelagsskapi, ið kannar nátturuna
Юно́на	fmyt.Junoж нескл.
ю́ность	f1.(период жизни;возраст) ungdómurмсогл-ar, ungdómsárс0омн; с ю́ности frá ungum árum; друг ю́ности ungdómsvinur; го́ды ю́ности ungdómsár2.kollhátíð.síю́ношество2
ю́ноша	plurю́нош|и, ~ей, ~амmungur drongurмсогл-ir{+}, unglingiмгл-iкн.,выс.; tannáringurмсогл-ar, teenagari [tʰiːnεitʃ-]ннкмгл-ari(13-19 лет);plurungdómarмсогл-arмн
ю́ношеский	adjungdóms-; ungdómligurгл-igur(свойственный юноше,юношеству)
ю́ношество	n1.(период жизни;возраст) ungdómurмсогл-ar, ungdómsárс0омн2.koll(юноши и девушки) ungfólkс0омн, ungdómurмсогл-ar(ungfólk); кни́га для ю́ношества ungdómsbók
ю́ный	stfюн, юна́, ю́н|о, ~ыadj1.(молодой) ungurсогл; с ю́ных лет frá ungum árum2.(юношеский) ungdóms-, ungdómligurглigur, ungurсогл(hjá ungdómi)@ю́ный натурали́стsíюнна́т
Юпи́тер	m1.astr.(планета) Jupiterж нескл.2.myt.(бог) Jupiterм0{дат.0}
юпи́тер	mtlm.ljóskastariмгл-ari(til filmsupptøku o.tíl)
юр	m: на (са́мом) юру́ а) (на открытом месте) í andgletti [ank-], har ábært er; b)fl.(на бойком месте) har árent er
юриди́чески	advjuridiskt [-ˈriː-], løgfrøðiliga [lœkf-]нпофиц.
юриди́ческий	adjjuridiskur [-Ꞌriː-]соглsk, løgfrøðiligur [lœkf-]нпглigurофиц.; до́ктор юриди́ческих нау́к dr. jur. [tɔʰktoɹ Ꞌjuːɹ] (doctor juris), doktari í løgfrøði [lœkf-]офиц.@юриди́ческое лицо́juridiskur [-Ꞌriː-] persónur [-Ꞌsɔu-], løgfrøðiligur [lœkf-] persónurофиц.=>консульта́ция3,факульте́т
юрисди́кция	fjurisdiktión [juːɹɪstɪʰkꞋʃɔun]ж0-irюр., lógsøgnлпж0-ir{ø/a}юр.; подлежа́тьчей-л.юрисди́кции hoyra undir jurisdiktióninahjá[tʃʰ-]o-m
юриско́нсульт	mjuridiskur [Ꞌriː] ráðgevariмгл-ari, løgfrøðiligur [lœkf-]нпráðgevariмгл-ari
юриспруде́нция	fløgfrøði [lœkf-]нпжгл-i(vísindi), rættarvísindiсгл-iмн, juraж0-ir(vísindi)
юри́ст	mjuristur [-Ꞌrɪ-]мсогл-ar, løgfrøðingur [lœkf-]нпмсогл-ar
ю́рк	predtlm.: он юрк в дверь hann fór sum eitt fok inn um dyrnar [-tn-]; юрк в но́рку kjums niður í holuna; юрк под одея́ло eftir [εʰtː-] høvdinum [hœtː-] undir teppið (við fúkandi ferð)
ю́ркать	ipf síю́ркнуть
ю́ркий	stfю́рок, юрка́, ю́р|ко, ~ки;compю́рчеadjkvikurсогл, knappurсогл{a/ø}
ю́ркнуть	ю́ркн|у,~ешь, ~утpf(ipfю́ркать) smúgvaслнey-u-o, smettaслнa-u-o, smoyggjair(d)sær
юркну́ть	юркн|у́, ~ёшь, ~у́тpf síю́ркнуть
юрлицо́	plurюрли́ц|а, ~, ~амnюриди́ческое лицо́ juridiskur [-ˈriː-] persónur [-ˈsɔu-]
юро́дивая	Iadj f síюро́дивый IIIf gml. fjakkandi býttlingur o.a. (konufólk), sum fyrr í Russlandi var hildin at hava guddómligar, profetiskar gávur
юро́дивый	Iadjikki rættsiktaðurглaður, svakurсогл{a/ø}пренебр., klikkaðurглaðurнеформ., шутл., пренебр.IIm gml. fjakkandi býttlingur o.a.,sum fyrr í Russlandi varð hildin at hava serligar guddómligar, profetiskar gávur
юро́дство	n1.(поведение,свойственное юродивому) atburður sum hjá юро́дивый II2.(нелепый поступок) óðamannverkс0о, ørskapurмсогл-ir
юро́дствовать	юро́дству|ю, ~ешь, ~ютipf1.(вести себя как юродивый) beraслнa-ó-oseg at sum юро́дивый II2.atf.(вести себя ненормально,придурковато) vera ørligurглigur, vera býttisligurглigur
юро́к	Gen, Accюрка́;plurюрк|и́, ~о́в ~а́мm síвьюро́к
ю́рский	adj: ю́рский пери́од juratíðinопр.
ю́рта	f slag av filttelti hjá asiatiskum nomadum
юрфа́к	mtlm.юриди́ческий факульте́т
ю́рче	comp síю́ркий
Ю́рьев1	Imsøg.Dorpatм0{дат.0}ист.,síТа́рту
Ю́рьев2	IIadj: вот тебе́, ба́бушка, и Ю́рьев день!tlm.,skemt.≈ hetta var eitt verri skil!; tað er ein standur!
юстирова́ть	юстиру́|ю, ~ешь, ~ютipf/pf что-л.stilla [-tla]aðio-t, justera [-Ꞌsteː-]aðio-t
юсти́ровать	юсти́ру|ю, ~ешь, ~ютipf/pf síюстирова́ть
юстиро́вка	fjustering [-Ꞌsteː-]ж0-ar
юстиро́вочный	adjjusterings- [-Ꞌsteː-]
юсти́ция	fdómsmálс0омн, løgmál [lœkm-]с0омн; министе́рство юсти́ции løgmálaráðнпофиц., justitsministerium [-Ꞌstɪ-]ннк; мини́стр юсти́ции løgmálaráðharriнпофиц., justitsministari [-Ꞌstɪ-]ннк
ют	mpuppur {poopur} [pʰuː-]мсогл-arмор., afturdekk [aʰtː-]с0омор.; lyftingж0-arист.
юти́ться	ючу́сь,ют|и́шься,~я́тсяipftrunkastaði(saman), tyrpastir(t), skotrastaði
ютла́ндец	Gen,Accютла́ндц|а;plur~ы, ~ев, ~амmjydi [jyː-]мгл-i, jútiмгл-iкн.,выс.
Ютла́ндия	fJylland [jʏlːant]с0о, Jútlandс0окн.,выс.
ютла́ндский	adjjútskur [jʏsk-]соглsk
юфть	frussaraleðurс0осн{+}
