к1	I коньtalvriddari
кабарди́нец	Gen, Accкабарди́нц|а; plur~ы, ~ев, ~амmkabardinari [kʰaːpaɹꞋtɪː-]мгл-ari, kabardini [kʰaːpaɹꞋtɪː-]мгл-i
кабарди́нка	plurкабарди́н|ки, ~ок, ~камmkabardinari [kʰaːpaɹꞋtiː-]мгл-ari, kabardini [kʰaːpaɹꞋtiː-]мгл-i(konufólk)
Кабарди́но-Балка́рия	fKabardino-Balkaria [kʰaːpaɹˌtiːnopalꞋkʰaː-]с нескл.
Кабарди́но-Балка́рская Автоно́мная Сове́тская Социалисти́ческая Респу́блика	sovjet.Kabardino-Balkariska [kʰaːpaɹˌtiːnopalꞋkʰaː-] sjálvstýrandi [ʃɔl̥s-] sovjetska [sɔujεska] sosialistiska [-Ꞌlɪ-] lýðveldiðофиц., Sjálvstýrandi [ʃɔl̥s-] sovjetska [sɔujεska] sosialistiska [-Ꞌlɪ-] lýðveldið Kabardino-Balkaria [kʰaːpaɹˌtiːnopalꞋkʰaː-]офиц.
Кабарди́но-Балка́рская Респу́блика	Lýðveldið Kabardino-Balkaria [kʰaːpaɹˌtiːnopalꞋkʰaː-]
кабарди́но-черке́сский	adj:кабарди́но-черке́сский язы́кsíкабарди́нскийязы́к
кабарди́нский	adjkabardinskur [kʰaːpaɹꞋtiː-]соглsk; кабарди́нский язы́к kabardinskt [kʰaːpaɹꞋtiː-]сприлskt, kabardinskt-tjerkessiskt [kʰaːpaɹꞋtiːn̊sttʃʰεɹꞋkʰε-]сприлskt
кабаре́	[-рэ́]n indeclkabaret [kʰaːpaꞋreː]ж0-ir
каба́тчик	mgml.vertsthúshaldari [vεʂh-]мгл-ari, verturмсогл-s,-ir(á vertshúsi)
каба́цкий	asdj1. (kkabа́k) vertshús- [vεʂh-]2. fl., tlm. (грубый, неприличный) fúlurсогл, ónærisligur [-ˈnεa-]глigur@ голь каба́цкайgml. pakkс0опренебр., partaníggjс0о{0<>}пренебр., harkalið с0о{0<>}ренебр
кабачо́к1	IGenкабачк|а́; plur~и́, ~о́в, ~а́мm(Cucurbita pepo) courgetta [kʰʊɹꞋʃε-]жгл-a, squash [skvɔʃː]с0о
кабачо́к2	IIGenкабачк|а́; plur~и́, ~ о́в, ~ а́мm1.dim avкаба́к2.(небольшой ресторан) lítil restauratión [-Ꞌʃɔun]ж0-ir
ка́бель	m1. (проводник) kápilмсоглосн-s,-ar, kaðalнпм0осн-s,-ar; подво́дный ка́бель sjókápil, sjókaðalнп2.fisk.(бридель) breiiilм0осн-s,-arмор-(трала) 3. tlm. (кабельное телевидение) kaðalsjónvarp
ка́бельный	adjkápil-, kaðal-нп; ка́бельная тра́сса kápilrørс0оэл., kápilbani [-Ꞌpaː-]мгл-iэл.; ка́бельное телеви́дение kaðalsjónvarp
ка́бельтов	plurка́бельтов|ы,~ых, ~амm1.skip.(мера) kápillongdж0-irмор.2.(трос) trossiмгл-i
ка́бель-тра́сса	fkápilrørс0оэл., kápilbani [-Ꞌpaː-]мгл-iэл.
кабеста́н	mkapstannurмсогл-arмор.
каби́на	fførarahúsс0о(á lastbili, krana) (грузовика, крана), stýrihúsс0о(á lastbili) (грузовика, самолета); cockpit [kʰɔʰkpʰɪʰtː]с0опроф.(самолёта); stólurмсогл-ar(í elevatori) (лифта); телефо́нная каби́на telefonboks [-Ꞌfoːn-]ж0-ir; душева́я каби́на brúsikabinaжгл-a; каби́на для голосова́ния atkvøðurúmс0о
кабине́т	m1.(в учреждении) kontór [-Ꞌtʰɔuɹ]ннкс0о, kantór [-Ꞌtʰɔuɹ]ннкс0о, skrivstovaнпжгл-a2.(в квартире) arbeiðsverilsiннксгл-i, kontór [-Ꞌtʰɔuɹ]ннкс0о, kantór [-Ꞌtʰɔuɹ]ннкс0о(í sethúsum,íbúð)3.(специальный) serhøliсгл-i; konsultatión [-Ꞌʃɔun]ж0-ir, konsultatiónsrúm [-Ꞌʃɔun-]с0о, viðtalurúmнпс0о(врача); serhøliсгл-i(в школе); зубовраче́бный кабине́т tannlæknastovaжгл-a4.(в ресторане) privat [-Ꞌvaːt] rúmс0о(í restauratión)5. (правительство) stjórn [stjœtn]ж0-ir; формирова́ние кабине́та skipan av stjórn6.(комплект мебели) einir møblarм0осн-s,-arмн(til skrivstovu,arbeiðsrúm) =>физи́ческий1
кабине́тный	adjkantór- [-Ꞌtʰɔuɹ]ннк, kontór- [-Ꞌtʰɔuɹннк, skrivstovu-нп;кабине́тный учёный bóklærdurсоглmaður@кабине́тный портре́тfoto, fotomynd (uml. 10 x 15 cm)
каби́нка	plurкаби́н|ки, ~ок, ~амf1.dim avкаби́на2.(на пляже) skiftingarrúmс0о(á baðistrond)
каблогра́мма	fkápiltelegrammс0о, kaðalfjarritнпс0о(um sjókaðal)
каблу́к	Genкаблук|а́; plur~и́, ~о́в, ~а́мmhælurмсогл-ar;согл-s,-ir(tann harði, aftasti parturin av sóli); ни́зкий каблу́к lágur hælur; на высо́ком каблуке́ høghælaðurглaður; щёлкнуть каблука́ми sláaслнó-ó-ihælarnar saman@быть под каблуко́мvera undir tufluniидиом.
кабми́н	mкабине́т мини́стров
Ка́бо-Ве́рде	[-дэ]indecl plur síЗелёногомы́са острова́
ка́болка	plurка́бол|ки, ~ок,~ камf skip.tátturмсогл-ir{á/æ};согл-ar, kordelur [-ˈteˑ-]мсогл-arмор.
кабота́ж	mstrandferðsla [stɹanf-]жгл-a
кабота́жник	m tlm.1.(моряк) (sjó)maðurмнепрumborð [-ˈpoːɹ] á standfaraskipi [stɹanf-]2.(судно) strandfaraskip [stɹanf-]с0о
кабота́жный	adjstrandfara- [stɹanf-]; кабота́жное су́дно strandfaraskip [stɹanf-]; кабота́жное пла́вание strandferðsla [stɹanf-]
кабриоле́т	m(экипаж,автомашина) kabriolett [kʰaːpɹioꞋlεʰtː]ж0-ir(hestavognur,bilur)
Кабу́л	mKabul [kʰaːpʊl], [kʰaꞋpʊlː]м0{дат.0}
кабы́	(verður í samanhangi tó oftast úttalað uttan herðing)óvkm.Iconjum, viss(i)ннкпереводится тж при помощи обратного порядка слов,síе́сли; кабы зна́ла, не пошла́ бы hevði [hεijɪ] eg vitað tað, so var eg ikki farinIIpart sí eis.лишьбы; кабы я знал! hevði [hεijɪ] eg bara vitað tað!; кабы знать э́то ра́ньше! hevði mannннк(bara) vitað hetta fyrr!@е́сли бы да кабы́tlm.um so var, hevði [hεijɪ] alt verið øðrvísi; vissннкomma tín hevði [hεijɪ] hjul [juː-], var hon ein súkklaпог.,шутл.
кавале́р1	Im1.(на танцах и т.п.) kavalerur [kʰaːvaꞋleː-]мсогл-ar(í dansi o.tíl.)2.gml.(поклонник) tilbiðjariмгл-ari, kavalerur [kʰaːvaꞋleː-]мсогл-ar
кавале́р2	IIm(награждённый орденом) riddariмгл-ari(ein,ið er heiðraður við heiðursmerki); кавале́р о́рдена Ле́нинаsovjet.riddari av Leninheiðursmerkinumнп, riddari avLeninordaninumннк; кавале́р о́рдена Даннебро́га riddari av Dannebrog [tanːɪpɹoːk] (датский орден)
кавалерга́рд	msøg.hestgardisturмсогл-ar
кавалери́йский	adjkavalerí- [kʰaːvaleꞋrʊi-]ннк, reiðliðs-кн., hestliðs-кн.; кавалери́йский полк kavaleríregiment [-Ꞌruɪrekiˌmεn̊t]ннк, reiðliðкн.
кавалери́ст	mkavaleristur [kʰaːvaleꞋrɪ-]ннкмсогл-ar, reiðhermaðurмнепркн.
кавале́рия	fkavalerí [kʰaːvaleꞋrʊi]ннкс0о, reiðliðс0о{0<>i}кн.
кавалька́да	fliðс0оav reiðmonnum
каварда́к	Genкавардак|а́;plur~и́, ~о́в, ~а́мmtlm.hurlivasiмгл-i, óruddс0о(беспорядок); в до́ме был по́лный каварда́к inni var alt eitt rokilsi
кавати́на	fcavatina {kavatina} [kʰaːvaꞋtʰiː-]жгл-aмуз.
ка́вер	m síка́вер-ве́рсия
ка́вер-ве́рсия	f муз.coverlag [kʰɔ-]с0o{a/ø}{0<>i}mus.
ка́верза	ftlm.fella [-tla] (ловушка); óreint pussс0о, neisurжгл-aмн(злая шутка); skarnsgerð [skan̊s-]ж0-ir(подвох); lokabrøgdс0о{a/ø}мнкн.,высок., svikaráðс0омнкн., svikalistж0-irкн.(козни); intriga [-Ꞌtʰɹiːka]ннкжгл-a, ráðagerðж0-irкн.(интриги); стро́итькому-л.ка́верзу leggjaнепрráð uppmóti o-m
ка́верзник	mtlm.lúnskt [lʏŋ̊kst], [lʏn̊st] fólkс0о
ка́верзный	stfка́верз|ен, ~на, ~но, ~ныadj1.bert lf(о человеке) lúnskurсоглnsk; óreinurсогл(злостный); slyngskur [slɪn̊sk-]соглnsk(коварный)2.(о вопросе) lúnskurсоглsk, útspekuleraðurэнкглaður(spurningur o.tíl.)
каве́рна	f1.lækn.(в лёгких) holrúmс0о(í lungavevnað)2.jarðf.(в горных породах) poknaжгл-a
Кавка́з	mKaukasus {Kavkakus} [kʰaukasʊs]с нескл.; на Кавка́з til Kaukasus; на Кавка́зе í Kaukasus
кавка́зец	Gen, Accкавка́зц|а; plur~ы, ~ев, ~амmkaukasiari [kʰauꞋkʰaː-]мгл-ari, kaukasusbúgvi {kavkasusbúgvi} [kʰaukasʊs-]мгл-i
кавка́зский	adjkaukasiskur {kavkasiskur} [kʰauꞋkʰaː-]соглsk; кавка́зские языки́ kaukasisk {kavkasisk} mál
кавы́чки	кавы́ч|ек, ~камf plurgásareyguсгл-aмн(в форме "); anførilsisltekn [-tʰεkn]ннкс0омн; взять {поста́вить}что-л.в кавы́чки setao-tí gásareygu; в кавы́чках í gásareygum; закры́ть кавы́чки! citat [siꞋtʰaːt] slutt!неформ.; anførilsisteknннкslutt!неформ.@в кавы́чкахspott.sonevndur, sum skal eitast at vera, sum vera skal
каго́р	m1.(сухое красное вино) cahors [kaˈoˑɹ]с0о{0<>i}, cahorsvín [kaˈoˑɹ-]с0o2.(креплёное десертное вино) slagav reyðum desertvíni
кагэ́бшник	m síкагэбэ́шник
кагэбэ́шник	mtlm.KGB-maður [kʰɔakeꞋpeː-]мнепр
кагэбэшный	adjKGB- [kʰɔakeꞋpeː-]
када́нс	m síкаде́нция
када́стр	mmatrikul [-Ꞌtʰrɪʰkː-]м0осн-s,-ar; jarðarbókж0-ur{ó/ø}ист.(ос. опись королевских земель на Фар. о-вах)
када́стровый	adjmatrikul- [-ˈtʰɹɪʰkː-]; ognar-; када́стровая оце́нка ognarmeting (av fastari ogn)
каде́нция	[-дэ́-]fkadence {kadansa} [kʰaꞋtan̊sa]жгл-aмуз.
каде́т1	IGen, Acc plurкаде́тogкаде́товmkadettur [-Ꞌtε-]мсогл-ar
каде́т2	IIGen, Acc plurкаде́тов(sjáldnariкаде́т)m limur av flokkinumКонституцио́нно-демократи́ческая па́ртия (1905-1917;1991-); па́ртия каде́тов (Конституцио́нно-демократи́ческая па́ртия) kadettaflokkurin [-Ꞌtε-] (1905-1917; 1991-)
каде́тский1	Iadj(tilкаде́т I) kadetta- [-Ꞌtε-]; каде́тский ко́рпус kadettaskúliмгл-i
каде́тский2	IIadj søg.(tilкаде́т II) kadetta- [-Ꞌtε-]; каде́тская па́ртия kadettaflokkurin (síкаде́тII)
кади́ло	nkirk.roykilsiskerс0о{+}
кади́ть	кажу́, кад|и́шь, ~я́тipf1.kirk.(курить ладаном и др.) brennair(d)roykilsi2.кому-л.fl., tlm.(льстить) smikraaðifyri o-m
ка́дка	plurка́д|ки, ~ок, ~камfstampurмсогл-ar
ка́дмий	mkadmiumс0о({0<>i})
кадр1	Im1.(отдельный снимок) myndж0-ir, bílætннкс0о{æ/ø}(einstøk mynd)2.(сцена) klippс0о, brotс0о, sekvensur [-Ꞌkʰvε-]мсогл-ar3.: не в ка́дре sum ikki kemur við (á myndina)@за ка́дромí duldum; í loynd
кадр2	IImtlm.,skemt.(о человеке) fýrurмсогл-ar, stavnurмсогл-ar
кадри́ль	fkvadrilja [-Ꞌtɹɪʎja]мгл-a(dansur)
кадрови́к	Gen, Accкадровик|а́; plur~и́, ~о́в, ~а́мmtlm.1.(кадровый военный) soldatur [-Ꞌtaː-]мсогл-arí tí fasta herinum; офице́р-кадрови́к yvirmaður í tí fasta herinum2.(работник отдела кадров) starvsfólkс0оí starvsfólkadeildini
ка́дровый	adj1.(в составе чего-л.): ка́сдровый рабо́чий faklærdurсоглarbeiðari; ка́дровый соста́в starvsfólkс0омн, medarbeiðararмгл-ariмн2.(постоянный) fasturсогл{a/ø}(um her o.tíl.); ка́дровый офице́р fastur heryvirmaður; yrkisheryvirmaður; ка́дрова́я а́рмия {ка́дровые войска́} fastur herur
ка́дры	ка́др|ов, ~амm plur1.(состав работников) starvsfólkс0о(fólk á sama arbeiðsplássi), personali [-Ꞌnaː-]ннксгл-i,starvsliðс0о{0<>i}офиц.,medarbeiðararмгл-ariмн; kjarni [-tnɪ]мгл-i(í politiskum flokki) (в политической партии); преподава́тельские ка́дры lærararnirмгл-ariмн опр.(við ein skúla o.tíl.), lærarastápurinмсогл-arопр.неформ.; руководя́щие ка́дры leiðandi starvsfólk, leiðslaжгл-a; подгото́вка ка́дров útbúgving av starvsfólki2.herm.(постоянный состав) føst manningж0-ar(í heri,flota o.ø.)@отде́л ка́дровstarvsfólkadeildinопр.;нача́льник отде́ла ка́дровstarvsfólkastjóri [-stj-]
каду́шка	plurкаду́ш|ки, ~ек, ~камflítil stampurмсогл-ar
кады́к	Genкадык|а́;plur.~и́, ~о́в, ~а́мmbarkakýliсгл-i
каёмка	plurкаём|ки, ~ок, ~камf dim avкайма́
каёмочка	plurкаёмоч|ки, ~ек, ~камdim f tilкайма́
каёмчатый	adjborduturсогл, við borda
каж...	1.кажу́1. pers pres avкади́ть2.кажу́1. pers pres avказа́ть
каждодне́вный	adj1.(бывающий каждый день) dagligurглigur, dag-2.(повседневный) hvønndags- [-taʰks-], gerandis-
ка́ждый	Ipron1.hvør; hvør einasti; ка́ждый день hvønn dag; с ка́ждым го́дом fyri hvørt ár (, ið fer); на ка́ждый день til gerandisbrúk; тако́е быва́ет не ка́ждый день sovorðið hendir ikki hvønn dag, sovorðið er ikki gerandiskosturпог.; он мо́жет быть здесь ка́ждую мину́ту hann kann verða her hvørja løtu2.при сочетаниях количественных числительных переводится порядковым числительным num ord+ hvør, hvønnи т.д.; ка́ждые пять дней fimta hvønn dag; ка́ждые две неде́литжfjúrtanda [-ɪnta] hvønn dag; ка́ждые три неде́ли triðju hvørja viku; ка́ждый тре́тий челове́к triði hvør maðurIImøll [øtl], ein og hvør, hvørt menniskja; э́то ка́ждый зна́ет hetta vita øll, hetta veit ein og hvør, hetta veit hvørt menniska; э́то не ка́ждому дано́ tað er ikki øllum [œtl-] givið; они́ се́ли ка́ждый в свою́ маши́ну teir settust í hvør sín bil; каждому своё hvørjum sítt; э́то каса́ется всех и ка́ждого hetta kemur øllum [øtl] við; от ка́ждого по спосо́бности, ка́ждому по потре́бности frá hvørjum eftir [εʰtː-] evnum, hvør fær eftir [εʰtː-] tørvi =>бо́жий@,отде́льность,разI 1
ка́жется	Isíказа́тьсяIIparent(pretказа́лось) (eg) haldi, tað er líkt til, tað sær út til, tað tykist sum, tað sær út sum; его́, ка́жется, нет до́ма hann sær ikki út til at vera inni; ка́жется, бу́дет дождь tað kundi verið líkt til, at tað fer at regna; ка́жется, хо́лодно eg haldi, tað er kalt; всё, каза́лось, шло хорошо́ alt tóktist ganga væl; каза́лось, он всегда́ недово́лен hann sá altíð út til at vera ónøgdur
кажи́сь	parentóvkm.,dial.síка́жетсяII
ка́жущийся	Ipartic avказа́тьсяIIadjsum bert er at síggja til, sum er eitt eiti
каза́к	Gen, Accказак|а́; plur~и́, ~о́в, ~а́мogказа́к|и, ~ов, ~амmkosakkur [-Ꞌsа-]мсогл-ar@терпи́, каза́к, атама́ном бу́дешьorðt.≈tolin trívstпосл.
казаки́н	mgml.sítt ella hálvsítt mannfólkayvirplagg við hektum og rykt aftantil
каза́лось	Isíказа́тьсяIIsíка́жетсяII
каза́н	Genказана́;plurказан|ы́, ~о́в, ~а́мm tlm.stórur potturмсогл-ar, stór grýtaжгл-a
казано́к	Gen казанка́;plurказанк|и́, ~о́в, ~а́мdim tilказа́н
Каза́нь	fKazan {Kasan} [-Ꞌsanː]м0{дат.0}
каза́рка	plurказа́р|ки, ~ок, ~камf(Branta): белощёкая каза́рка (B. leucopsis) brandgás [pɹank-]жнепр;кана́дская каза́рка (B. canadensis) kanadagás [kʰaːnata-]жнепр, øshvít gásжнепр; чёрная каза́рка (B. bernicla) helsigásжнепр
каза́рма	f1.herm.(для воинксих частей) kaserna [-Ꞌsε-]ннкжгл-a,hermannabúðнпж0-ir2.gml.(общежитие) skúrurмсогл-artil arbeiðsfólk, húsс0оtil arbeiðsfólk
каза́рменный	adjkasernu- [-Ꞌsε-]ннк; каза́рменное положе́ние bannс0оfyri at fara til hús (í krígstíð o.ø. bann fyri arbeiðsfólki,hermonnum o.ø. at fara av kasernu,arbeiðstað o.ø.)
каза́ть	кажу́, ка́ж|ешь, ~утipf Accóvkm.vísair(t)Вин@не каза́ть но́су{глаз} ikki vísa seg
каза́ться	кажу́сь, ка́ж|ешься, ~утсяipf(pfпоказа́тьсяпокажу́сь, пока́ж|ешься, ~утся)1.(Ins) (иметь вид) sýnastir(t), tykjastir(t){y/ó}{+}, síggjaслнá-ó-æút; он ка́жется уста́лым hann sær móður út, hann tykist móður; каза́ться ста́рше свои́х лет síggja eldri út, enn mannннкer2.óp(представляться) haldaслнe-i-i; мне э́то каза́лось стра́нным eg helt tað vera løgið, tað tóktist mær løgið; кни́га ка́жется ему́ ску́чной hann heldur bókina vera keðiliga; мне ка́жется, что ... eg haldi, at ...; eg hugsi (næstan), at ...; мне показа́лось, что он уста́л eg helt meg síggja, at hann var móður3.óp: мне ка́жется, что кто-то стучи́т в дверь tað kemur mær fyri, at onkur bankar uppá [ʊꞋpʰɔa]; eg haldi meg hoyra onkran banka uppá [ʊꞋpʰɔa]; э́то тебе́ (то́лько) ка́жется tað er bara nakað, tú heldur4.ка́жется II@каза́лось быmannннкskuldi trúð
каза́х	mkasakari [-Ꞌsaʰkː-]мгл-ari, kasaki [-Ꞌsaʰtʃːɪ]мгл-ari
Каза́хская Сове́тская Социалисти́ческая Респу́блика	(КазССР)sovjet.Кasakiska [-Ꞌsaʰkː-] sovjetska [sɔujεska] sosialistiska [-Ꞌli-] lýðveldiðофиц.
каза́хский	adjkasakiskur [-Ꞌsaʰkː-]соглsk; каза́хский язы́к kasakisktсприлskt
Казахста́н	mKasakstan {Kazakhstan} [kʰaꞋsaʰkstaːn] {тж[kʰaːsaʰkˈstaːn]}с0{дат.0}
каза́цкий	adjkosakka- [-Ꞌsa-]
каза́чество	n kollkosakkar [-Ꞌsaː-]мсогл-arмн
каза́чий	adjkosakka- [-Ꞌsa-]
каза́чка	plurказа́ч|ки, ~ек, ~камfkosakkagenta [-Ꞌsa-]жгл-a(девушка), kosakkakona [-Ꞌsa-]жгл-a(женщина)
казачо́к1	IGen, Accказачк|а́; plur~и́, ~о́в, ~а́мm1.dim avказа́к2.gml.(слуга) tænastudrongurмсогл-ir{+}
казачо́к2	IIGenказачка́m slag av fólkadansi
каза́шка	plurказа́ш|ки, ~ек, ~камfkasakari [-Ꞌsaʰkː-]мгл-ari, kasaki [-Ꞌsaʰtʃːɪ]мгл-i(konufólk)
Казбе́к	mKazbek [kʰasꞋpeːk]с0о{дат.0}
казеи́н	mkasein [kʰaːseꞋiːn]с0оспец., ostastoffннкс0о, ostaevniнпс0о
казема́т	m1.herm.(оборонительное сооружение)verjuskjól í verjuvirkjum av ym. sløgum2.søg.(в старых тюрьмах) einasellaннкжгл-a, einakliviнпмгл-i(í gomlum fongslum)
казённый	adj1.(государственный) ríkis-, stats- [staː-], almennurсогл(общественный); kongs- (в нек. монархиях); казённое иму́щество ríkisogn, statsogn (на Фар. о-вах об имуществе датского государства в отличие от имущества фарерской автономии); landsogn [lan̊s-] (б.ч. об имущетве фарерской автономии); almenn ogn; казённые зе́мли almenn jørð; kongs [kɔŋ̊ks]с0оист., kongsjørð [kɔŋ̊ks-]ист.(о казённых землях на Фар. о-вах); казённая кварти́ра embætishús; на {за} казённый счёт fyri rokningina hjá [tʃʰ-] statinum, fyri rokningina hjá [tʃʰ-] tí almenna2.(бюрократический) bureaukratiskur [pyːɹoꞋkʰɹaː-]соглsk; formellur [-Ꞌmεlː-]согл; svinnurсогл, stívurсогл(формальный,бездушный); banalur [-Ꞌnaː-]согл, fortugdur [-Ꞌtʰʊ-]согл(шаблонный)@казённая часть(оружия и др.) botnstykki [pɔn̊s-]сгл-i;казённая пала́таsøg.fíggjardeildж0-ir(í russ. guvernementum til fyrst í 20. øld);казённый крестя́нинsøg.ríkisbóndi (bóndi,ið var ogn hjá tí almenna,í Russlandi til seinast í 19. øld)
казёнщина	fatf.formalisma [-Ꞌlɪ-]жгл-a(формализм); bureaukrati [pyːɹokʰɹaꞋtʰiː]с0о(бюрократизм)
казино́	n indeclkasino [-Ꞌsiː-]с0гл(-inum); spælihúsс0о
казна́	fgml.1.(государственное имущество,oбщественное имущество и др.) (almennur) kassiмгл-i; госуда́рственная казна́ ríkiskassin, statskassin [staː-]2.(государство как владелец средств,имущества) staturin [staː-]мсогл-s,-irопр., tað almenna; krúnanжгл-aопр.(в нек. монархиях)3.(деньги) pengarмгл-iмн
казначе́й	m1.(кассир) kassameistariмгл-ari2.skip.(на судне) pursari [pʰœːʂ-]мгл-ariспец., проф.
казначе́йский	adj: казначе́йский биле́т pengaseðil
