д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
дава́ться	да|ю́сь, ~ёшься, ~ю́тся;imperдава́йся;gerдава́ясьipf síдать;кому-л.даётсячто-л. o-tliggur væl fyri hjá [tʃʰ-]o-m,o-rhevur lætt viðo-t;кому-л.не даётсячто-л. o-tliggur ikki væl fyri hjá [tʃʰ-]o-m,o-rhevur ikki lætt viðo-t; языки́ ему́ даю́тся легко́ mál liggja væl fyri hjá [tʃʰ-] honum, hann hevur lætt við at læra mál; э́тот звук мне не даётся eg havi ilt við at fáa hetta ljóðið at lukkast
да́веча	adv gml., óvkm.nýliga, fyri løtu síðani, í áðni [ʊꞋjɔanɪ]
да́вешний	adjóvkm.sum var nýliga, sum var stutt síðani, sum hendi nýliga, sum hendi stutt síðani
Дави́д	mbíbl.Dávid [tɔaviːt]м0{0<>i}@звезда́ Дави́даdávidsstjørna [tɔaviːtstjœtna]
дави́ло	nvínpersaжгл-a, vínpressaжгл-a
дави́льня	plurдави́|льни, ~лен, ~льнамfvínpersaжгл-a, vínfargс0o{a/ø}
дави́ть	давлю́, да́в|ишь, ~ятipf1.на Acc(прижимать тяжестью) trýstair(t)áВин; сне́г да́вит на кры́шу kavin tyngirir(d)á tekjuna, kavin trýstir niður á tekjuna2.pfсдави́тьAcc(сжимать) klemmaaðiВин, strammaннкaði; сапо́г да́вит но́гу stivlin kleimir fótin; (um klæðir) stramma (oб одежде); да́вить друг дру́га (в толпе́) kroystair(t)hvønn Ꞌ annan, trokastaði3.pfраздави́тьAcc(угнетать, притеснять) køvair(d)Вин; дави́ть инициати́ву køva framtak; дави́тького-л.kúgao-n; дави́ть накого-л.leggja trýst áo-n; э́та мысль да́вит его́ hesin tankin [tʰaɲ̊tʃ-] nívir hann4.pfвы́давитьчто-л.(выдавливать) kroystair(t)o-t, pressaaðio-t; вы́давить лимо́н kroysta eina sitrón [siꞋtʰɹɔun], pressa eina sitrón [siꞋtʰɹɔun]; вы́давить сок из лимо́на pressa saftina úr einari sitrón [siꞋtʰɹɔun]; (svull o.tíl.) kroysta (нарыв и т.п.)5.pfраздави́ть;tlm.pfзадави́тьAcc(убивать) drepaслнa-u(ó)-iВин(við at sláa, insekt o.tíl.); дави́ть мух smekkaaðiflugur6.pfзадави́тького-л.(при езде) koyrair(d)o-nyvir7.pfудави́тьудавлю́, да́в|ишь, ~ят;tlm.pfзада́витького-л.(душить) kvalair(d)o-n@у меня́да́вит в груди́eg eri so trongur fyri bróstinum
дави́ться	давлю́сь, да́в|ишься, ~ятсяipf1.pfудави́тьсяудавлю́сь, уда́в|ишься, ~ятсяtlm.(повеситься) heingjair(d){+}seg2.(при глотании) fáaслнe-i-ií rangastrúpan, setaur(t);ir(t)í hálsin; дави́ться ко́стью seta eitt bein í hálsin, fáaслнe-i-ieitt bein í rangastrúpan3.pfподави́ться (жадно есть) stappaaðií seg, skræða [skɹeːa]ir(d){+}í seg; keksaaði(глотать с трудом)4.pfподави́ться: дави́ться от ка́шля vera um at kvalastir(d){+}av hosta, vera um at kódnaaðiav hosta; дави́ться от сме́ха {сме́хом} vera um at kódna í látri5.(в давке и т.п.)óvkm.skotrastaði, trokastaði; дави́ться в авто́бусе trokast í einum bussi, skumpast í einum bussi@хоть дави́сь!um tú so skrædnar!
да́вка	да́в|ки, ~ок, ~камftrokс0о, trokanж0-ir, skotranж0-ir; trunkanж0-ir
давле́ние	n1.(действие) trýstс0о2.fys.(сила действия) trýstс0о, trykkннкс0о; давле́ние во́здуха lufttrýst; давле́ние в ши́нах (luft)trýstið í dekkunum; давле́ние в две атмосфе́ры eitt (luft)trýst upp á tvær atmosferur [aʰtmɔsꞋfe-]; высо́кое давле́ние høgt trýst; hátrýstмет.; ни́зкое давле́ние lágt trýst; lágtrýstмет.; о́бласть высо́кого давле́ния hátrýstsøki; о́бласть ни́зкого давле́ния lágtrýstsøki; пони́женное (кровяно́е) давле́ние lágt blóðtrýst; у него́ (повы́шенное) давле́ние hann hevur for [fɔɹː]ннкhøgt blóðtrýst3.fl.(принуждение) trýstс0о, pressннкс0о; ока́зывать давле́ниена кого-л.leggjaнепрtrýstá o-n, leggjaнепрpressннкá o-n; streingjair(d)á o-n; под давле́ниемGenundir pressiннкfráДат, undir trýsti fráДат; под давле́нием обстоя́тельств я… umstøðurnar noyddu meg at... =>гре́бень6,па́дать10,спад
да́вленый	adjtlm.1.(мятый) kleimdurсогл, kroysturсогл2.(о дичи) kipturсогл(um fugl,smærri veiðidjór)
давне́нько	advtlm.rættiligа langt síðani
да́вний	adj1.(бывший давно) liðinслносн{ð/d}, fornur [-tn-]согл; да́вние времена́ farnar tíðir; да́вний слу́чай nakað, sum hendi langt síðani; с да́вних пор frá gamlari tíð, frá fyrndartíð [fɪnt-] (издавна)2.(давно существующий) gamalслносн{а/о}; да́вний обы́чай ein gamal siður, ein fornur [-tn-] siður; да́вний друг ein gamal vinur
давни́шний	adj síда́вний
давно́	adv1.(много времени назад) (tað er) langt síðani; э́то бы́ло давно́ hetta var fyri langari tíð síðani, hetta var langt síðani; о́чень давно́ øgiliga langt síðani; дово́льно давно́ rættiliga lant síðani; (нам) уже́ давно́ пора́ уходи́ть vit áttu langt síðani at verið farin2.(в течение долгого времени) leingi, í langa tíð, í longri tíð; вы давно́ меня́ ждёте? hava tit bíðað leingi eftir [εʰtː-] mær?; мы давно́ не ви́делись vit hava ikki sæðst leingi, vit hava ikki sæðst í langa tíð; давно́ не ви́делись {не встреча́лись} tað er langt síðan seinast (sagt tá fólk møtast) ; я давно́ там не́ был eg havi ikki verið har í langsamiliga [-Ꞌsea-] tíð; она́ давно́ живёт здесь hon hevur búð her leingi@давно́ бы так!betri seint enn ongantíð!
давнопроше́дший	adjfyri langari tíð síðani, fjarurсогл@давнопроше́дшее вре́мяtáliðin tíðграм., pluskvamperfektum [pʰlʊs-]с0о{дат.0}грам., проф.
да́вность	f1.(отдалённость по времени) aldurмсогл-ar; годи́чной да́вности ársgamalсоглосн{a/o}; име́ть большу́ю да́вность, быть большо́й да́вности vera gamalсоглосн{a/o}, langt síðani vera íkomin; соглаше́ние десятиле́тней да́вности ein tíggju ára gomul avtala [εav-]; несмотря́ на да́вность э́тих собы́тый hóast so langt var umliðið, síðan hetta fór fram; за да́вностью лет {вре́мени} я забы́л… tað er so langt síðani, at eg havi gloymt...2.jur.(срок) fyrning [-tn-]ж0-arюр.; срок да́вности fyrningarfreist [-tn-]; утра́та си́лы за да́вностью fyrning; утра́тить си́лу за да́вностью fyrnast [-tn-]ir(d), foreldast [-Ꞌεl-]ннкaði; пра́во да́вности hevdж0-ir, hevdarrætturмсогл-ir; по пра́ву да́вности við hevd; приобрести́что-л.по пра́ву да́вности vinnao-tvið hevd; искова́я да́вность fyrning (í sivilrættarmálum); fyrningarfreistж0-ir(í sivilrættarmálum) (срок); да́вность преступле́ния fyrningarfreist fyri brotsgerð
давны́м-давно́	adv tlm.langt, langt síðani; fyri langari, langari tíð síðani
Дагеста́н	mDagestan [taːkɪꞋstaːn]с0{дат.0}; Респу́блика Дагеста́н Lýðveldið Dagestan
дагеста́нец	Gen, Accдагеста́нц|а;plur~ы, ~ев, ~амmdagestanari [taːkɪꞋstaːn-]мгл-ari, dagestani [taːkɪꞋstaːnɪ]мгл-i
дагеста́нка	plurдагеста́н|ки, ~ок, ~камmdagestanari [taːkɪꞋstaːn-]мгл-ari, dagestani [taːkɪꞋstaːnɪ]мгл-i(konufólk)
Дагеста́нская Автоно́мная Сове́тская Социалисти́ческая Респу́блика	sovjet.Sjálvstýrandi [ʃɔlst-] sovjetska sosialistiska [soːsiaꞋlɪ-] lýðveldið Dagestan [taːkɪꞋstaːn], Dagestanska [taːkɪꞋstaːn-] sjálvstýrandi [ʃɔlst-] sovjetska sosialistiska [soːsiaꞋlɪ-] lýðveldið
дагеста́нский	adjdagestanskur [taːkɪꞋstaːn-]соглnsk
Да́го	m indeclDagö [taːkøː]ж нескл.,síХи́ума
дагоме́ец	Gen, Accдагомейц|а;plur~ы, ~ев, ~амmfólkс0оúr Dahomey
Дагоме́я	fDahomey [taːhoːꞋmeː]с нескл.,síБени́н
дад...	дади́мo.s.fr. fut plur avдать
даё…	даёшьo.s.fr. pres avдава́ть
Да́жбог	mmyt.Dazjbog [taʃpɔkː]м0{дат.0}(fornslaviskur sól- og eldgudur)
да́же	partsjálvt [ʃɔl̥t]; enntá; да́же я удиви́лась sjálvt eg varð bilsin; пришли́ все, да́же де́ти øll [œtl] komu, sjálvt børnini [-tn-]; он да́же про́бовал hann royndi enntá; да́же не ikki so frægt [fɹaʰtː] at, ikki eingong [-Ꞌkɔŋk]ннк; он да́же не попроща́лся tað var ikki so frægt [fɹaʰtː], at hann segði [sεijI] farvæl [-Ꞌvεal], hann segði [sεijI] ikki eingong [-Ꞌkɔŋk]ннкfarvæl [-Ꞌvεal]; я да́же не узна́л её eg kendi hana ikki eingong [-Ꞌkɔŋk]ннкaftur [aʰtː-]; да́же е́сли sjálvt um@о́чень да́же {да́же о́чень}tlm.serstakliga [-Ꞌstεa-] (nógv); (ja,) tað er so heilt sikkurtннк, í allarhægsta [-Ꞌha-] grad [kɹaːt]ннк
дай...	дай, да́йтеimper avдать
да́йвер	mfroskmaðurмнепр
да́йвинг	mfroskmannakavingж0-ar
да́йвинг-клу́б	mfroskmannafelagс0о{a/ø}{0<>i}
да́йвинг-це́нтр	m depil fyri upplæru í froskmannakaving; ≈kavaraskúli мгл-i
да́йджест	m1.(журнал) tíðarritс0о(við úrdráttum og samandráttum)2.(телепередача,радиопередача) endursendingж0-ar(við ym. upptøkum um okkurt evni)
да́йка	plurда́йки, да́ек, да́йкамf jarðf.gongж0-irгеол.
дактили́ческий	adjdaktyliskur [-ˈtʰyː-]соглsk
дактилоло́гия	ffingramálс0о, teknmál [tʰεkn-]с0о(hjá deyvum og deyvstummum)
дактилоскопи́я	fvísindiсгл-iмнum fingramerkir, granskingж0-arav fingramerkjum, daktyloskopi [taʰktʰyːloskoꞋpʰiː]ж0-irспец.
да́ктиль	mdaktyl [-Ꞌtʰyːl]ж0-ir, daktylur [-Ꞌtʰyːl-]мсогл-ar, rættur tríliðurлпмсогл-s,-irспец.
да́лее	adv síда́льшеII@и так да́лее(и т.д.) og so framvegis (o.s.fr.)
далёкий	stfдалёк, далека́, далеко́ далёко;compда́льшеadj1.(удалённый;давний) fjarurсогл, fjarskotin [fjaɹ̥-], [fjεaɹ-]соглосн; sum er langt burtur; далёкие стра́ны fjarskotin lond; разда́лся далёкий вы́стрел eitt skot ljóðaði langt burturi; далёкое про́шлое ein fjar fortíð; далёкое бу́дущее ein fjar framtíð; в не о́чень далёком бу́дущем í eini ikki serliga fjarari framtíð; на далёком расстоя́нии langt burtur frá, upp á langan avstandннк; э́то де́ло далёкое hetta er ikki komið so langt enn, tað er ov tíðliga [tʰʊʎ̩ja] at tosa um tað2.(длинный) langurсоглang; далёкий путь langur vegur, long leið; далёкое путеше́ствие long ferð3.(чуждый) fremmandurсогл; они́ далёкие друг дру́гу лю́ди tey standa langt frá hvørjum Ꞌ øðrum, tey standa langt hvør frá øðrumкн.; tey eru fremmand fyri hvørjum Ꞌ øðrum, tey eru fremmand hvør fyri øðrumкн.; tey hava lítið í felag (у них мало общего); он далёк от нау́ки hann stendur langt frá vísindunum; далёкий от жи́зни lívsfjarur4.: я далёк от предложе́ния, что… tað veri langt frá mær at halda, at...; она́ далека́ от тако́й мы́сли tað er langt frá henni at halda slíkt, slíkir tankar [-aŋ̊k-] (реже[-εŋ̊k-]) eru henni fjarir; я далёк от мы́сли упрека́ть его tað veri langt frá mær at lasta hann fyri..., eg skal ikki upp á nakran máta brigsla honum.; я не далёк от мы́сли +infeg kundi væl hugsað mær at +суп.5.bert saman við neg og adv sumсли́шком, о́чень, весьма́o.ø.(умный)tlm.klókurсогл; gløggurсогл(сообразительный); он не сли́шком далёкий hann hevur ikki for [fɔɹː]ннкnógv til
далеко́	(eis. sjálds.далёко)Iadvlangt; далеко́ вперёд langt fram; далеко́ позади́ langt aftanfyri [aʰtː-]; он живёт далеко́ hann býr langt burtur; он ви́дит далеко́ hann sær langt; е́хать далеко́ fara langt; он далеко́ продви́нулся hann er komin langt; далеко́ от до́ма langt frá húsum, langt burtur heimanífrá [haimanɪ-]; он живёт далеко́ от го́рода hann býr langt burtur frá býnumIIpred:1.река́ далеко́ áin er langt burtur (hiðani); туда́ далеко́ (идти́) tað er langt (at ganga) hagar; как далеко́ отсю́да до Москвы́? hvussu langt er hiðani til Moskva?; отту́да далеко́ до реки́ tað er langt til ánna hiðani; ещё далеко́? er langt eftir [εʰtː-] enn?; далеко́ ли ещё до го́рода? er langt eftir [εʰtː-] enn til býin?; до тако́го результа́та ещё далеко́ enn er langt eftir [εʰtː-] til eitt sovorðið úrslit [ʏʂ-]; до обе́да далеко́ tað er leingi enn til døgurðan [tøːvɹan]; до его́ прие́зда ещё далеко́ enn er leingi, til hann kemur2.:fl.ему́ до неё далеко́ hann stendur langt aftan [aʰtː-] fyri hana, hann stendur henni ikki kurlпог.; до э́того ещё далеко́ enn er langt eftir [εʰtː-]прям., перен., tað er langt at síggja ímóti [-Ꞌmɔu-]@далеко́ неtlm.langt frá, als ikkiнп, slettннкikki; verri enn so; он далеко́ не мо́лод hann er alt annað enn ungur, hann er langt frá ungur; он далеко́ не дура́к hann er eingin dummur hundurнеформ., hann er minni enn so býttur, hann er alt annað enn býttur, hann er langt frá býttur; я далеко́ не бога́т eg eri alt annað enn ríkur; далеко́ не так МНо́ГО ikki nær til so nógv; далеко́ не все minnin ennn so øll [œtl]; он далеко́ не так начи́тан, как ты hann er langt frá so belisin [-Ꞌliː-]ннкsum tú; рабо́та далеко́ не зако́нчена arbeiðið er langt frá liðugt; tað er verri enn so, at arbeiðið er liðugt;далеко́ зачто-л.yviro-t, eftir [εʰtː-]o-t; ему́ далеко́ за со́рок hann er nógv yvir fjøruti; далеко́ за по́лдень langt aftan [aʰtː-] á middag; вре́мя сейча́с далеко́ за два klokkan er nógv yvir tvey;далеко́ не такals ikki so(leiðis);далеко́ завести́havaнепрálvarsligar avleiðingar; э́то завело́ бы (нас) сли́шком далеко́ hetta [hεijɪ] ført okkum út í óføri;далеко́ пойти́náaнепрlangt; он далеко́ пойдёт hann fer at koma langt, hann fer at klára tað væl;далеко́ иду́щийsum røkkur langt, víðfevnandi; далеко́ иду́щие после́дствия víðfevnandi avleiðingar;далеко́ не ходи́тьза чем-л. tlm.ikki fara langteftir[εʰtː-]o-m;далеко́ не уе́дешь {уйдёшь}с чем-л.{на чём-л.}tlm.tú kemur ikki langt viðo-m, man(n)ннкkemur ikki langt viðo-m; с э́тим вы далеко́ не уйдёте {уе́дете} hesum koma tit ikki langt við =>зайти́@,заходи́тьI @
Дали́ла	fbíbl.Dalila [-Ꞌliː-]жгл-a
Да́ллас	mDallasм нескл.
даль	Prpо да́ли, в дали́f1.(видимое вдалеке) firraжгл-a, fjarleiki [fjaɹ-], [fjεaɹ-]мгл-i; вдаль океа́на tað fjarlagna [fjaɹ-], [fjεaɹ-] havið; голубы́е да́ли blániмгл-i; в сине́ющей дали́ í blánanum; из да́ли веко́в úr fjarum øldum2.tlm.(отдалённое мeсто) avpláss [af-]с0о; э́то така́я даль! tað er so langt av leið!; не пойду́ в таку́ю даль! eg fari ikki so langt! еg fari ikki alla [atla] hasa longu leið!
дальневосто́чный	adj1.(в России) fjareystur-, úr Fjareystri, í Fjareystri (eystasta parti av Russlandi),síДа́льнийВосто́к 1; дальневосто́чные по́рты stillahavshavnirnar [-tl-] (hjá Russlandi)2.(восточноазиатский) eysturasiatiskur [-aːsiaːt-]
дальне́йший	adjframhaldandiглandi(продолжающийся); seinni [sai̯tnɪ]сравн.,eftirfylgjandiглandi[εʰtː-] (последующий); дальне́йшее разви́тие tann eftirfylgjandi gongdin; ожида́ется дальне́йшее паде́ние цен prísirnir væntast framhaldandi at lækka; дальне́йший рост framhaldandi vøkstur; дальне́йшие собы́тия hendingarnar sum komu aftaná [aʰtː-]; дальне́йшая рабо́та arbeiðið í framtíðini@в дальне́йшемa) (в будущем) í framtíðini, seinni [sai̯tnɪ] (позднее); framyvirннк; b) (ниже в тексте) hereftir [εʰtː-] (í tí sum kemur seinni í teksti)
да́льний	adj1.(отдалённый,далёкий) fjarurсогл, fjarskotin [fjaɹ̥-], [fjεaɹ-]соглосн; sum er langt burtur, sum er liggur burtur; fjarlagdur [fjaɹ-]согл{a/ø}кн., fjarstaddur [fjaɹ̥-]согл{a/ø}кн.; да́льние стра́ны fjarskotin lond; да́льний бе́рег о́зера (vatn)bakkin longst burtur, tann handasti bakkin; са́мое да́льнее окно́ vindeygað [vɪntaijɪ] (реже[vɪntεija]) longst burtur2.(длинный) langurсоглang; да́льний путь long ferð, langur vegur; да́льнее пла́вание langferð, langfarturннкпроф.; уйти́ в да́льнее пла́вание fara á langferð, fara upp á langfartннкпроф; да́льнее расстоя́ние a) (часть дороги) langur teinur; b) (пространство) stór frástøðaнп, stórur avstandurннк3.lang-, fjar-; по́езд да́льнего сле́дования fjartok; да́льний перелёт langferðarflúgving; да́льнего де́йствия (о ракетах т.п.) langberandiглandi(um rakettir o.a.)4.(о родстве) fjarskyldurсогл, skyldurсоглlangt burtur (um skyldskap)5.fíggj., fakm.(о ценных бумагах и т.п.) langfreistaðurглaður@без да́льних слов {разгово́ров}uttan meira hóvasták;да́льний светbil.fjarljós =>зарубе́жье1,сле́дование
Да́льний Восто́к	1.(в России) Fjareysturс0осн(eystasta land í Russlandi), kyrrahavsstrondinж0-ur{a/e}(í Russlandi)2.(часть Азии) Fjareysturс0осн(partur av Eysturasia)
дальнобо́йность	fskotmál [skɔʰt-]с0o
дальнобо́йный	adjið ber langt (vápn), langberandiглandi
дальнобо́йщик	mtlm. lastbilførari, ið koyrir langar túrar
дальнови́дность	fframskygniсгл-i
дальнови́дный	stfдальнови́д|ен, ~на, ~но, ~ныadjframskygdurсогл, forútsíggjandiннкглandi
дальнозо́ркий	stfдальнозо́р|ок, ~ка, ~ко, ~киadj1.(о недостатке зрения) langsýnturсогл, langskygdurсоглкн.2.fl.(дальновидный) framskygdurсогл
дальнозо́ркость	ftað at vera langsýntur, langskygniсгл-iкн.; ста́рческая дальнозо́ркость gamlamannasjónж0-ir
дальноме́р	mavstandsmálariннкмгл-ariпроф., frástøðumátariлпмгл-ariтехн., fjarstøðumátariлпмгл-ariтехн.
да́льность	f1.(расстояние) avstandurннкмсогл-s,-ir; (vega)longdж0-ir, teinurмсогл-ar(протяжённость); да́льность пути́ vegalongd, teinur; да́льность родства́ tað at vera skyld langt burtur; за да́льностью расстоя́ния vegna tann stóra avstandinннк, vegna ta stóru frástøðunaнп2.tekn.(расстояние действия и т.п.) (longsti) teinurмсогл-ar(um skotmál o.a., um vápn o.a.); да́льность полёта teinur,o-tber (granatir o.a.); да́льность де́йствия aktiónsradius [aʰkꞋʃɔunsraːtiʊs]ннкмсогл-arпроф.; да́льность стрельбы́ skotmál [skɔʰt-]с0o; сре́дней да́льности miðberandiпубл.(rakettir) =>РМД,РСД
дальтони́зм	mfarvublindheitннкж0-ir, litblindniлпс0o, litblindiлпс0o
дальто́ник	m(o-r, sum er) farvublindurннк, (o-r, sum er) litblindurнп; он дальто́ник hann er farvublindurннк, hann er litblindurнп
да́льше	I 1.comp avдалёкий longri2.comp avдалеко́ longri (о пространстве); longur (дольше)IIadv1.: досю́да и не да́льше higar og ikki longri; он не хо́чет чита́ть да́льше hann vil ikki lesa longur; идти́ {е́хать} да́льше fara longri; он хо́чет учи́ться да́льше hann ætlar at halda fram við at lesa; чита́йте, пожа́луйста, да́льше ger so væl at lesa (eitt sindur) longri; да́льше! víðari! (приказание); halt á!; forsetннк! (продолжай); да́льше {да́лее} harafturat [-aʰtː-], harumframt2.(затем) so; что да́льше? hvat so?; hvat nú?; что бы́ло да́льше? hvat hendi so?; что да́льше бу́дет? hvat fer nú at henda?; hvussu verður nú?; а да́льше? og so? og hvat so?@(чем)да́льше-бо́льшеtlm.tað versnar [vεsn-] í hvørjum;чем да́льше, темлу́чше jú longri, jú betri; tess longri, tess betri; чем да́льше, тем ху́же jú longri, jú verri; tess longri, tess verri; чем да́льше, тем доро́га ху́же jú longri (,vit komu), jú verri var vegurin; tess longri (, vit komu), tess verri var vegurin;не да́льше как {чем} вчера́tað er ikki longri síðani enn í gjár; so seint sum í gjár =>не́куда2
Даля́нь	mDalian [taːliꞋanː]м0{дат-0}
дам	1. pers avдать
да́ма	f1.(женщина) dama [taː-]жгл-a; frúaжгл-a; да́мы и господа́! mínar damur og harrar!; подня́ть тост за дам drekka skál fyri kvinnunum2.kort.(игральная карта) dama [taː-]ннкжгл-a, frúgvжнепр; пи́ковая да́ма spaðarfrúgv [-Ꞌfɹɪkv]@его да́ма се́рдцаskemt.unnustaжгл-ahansara
Дама́ск	mDamaskus [-Ꞌma-]м0-ar{дат.0}
дама́сский	adjdamaskus- [-Ꞌma-], damascenara- [taːmaꞋseː-]; дама́сская сталь damascenarastál [taːmaꞋseː-], damaskusstál [-Ꞌma-]
да́мба	fbyrgingж0-ar
да́мка	plurда́м|ки, ~ок, ~камfdammfólkс0o; провести́ в да́мки gera til damm; пройти́ {вы́йти} в да́мки blíva damm;eis.fl,tlm.hava eydnuna við sær; быть в да́мкахeis.fl.,gml.,tlm.vera vinnari
дамо́клов	adj: дамо́клов меч damoklessvørð [-Ꞌmɔ-]
да́мочка	plurда́моч|ки, ~ек, ~камf1.síда́ма2.spott.(женщина) konufólkс0o
да́мпинг	mburturkastingж0-ar(av burturkasti, serl. á sjógv), dumpingж0-arпроф.(av burturkasti, serl. á sjógv)
да́мский	adjdamu- [taː-], konufólka-; да́мский портно́й damuskraddari; да́мская оде́жда damuklæðir, konufólkaklæðir; да́мский парикма́хер damufrisørur =>уго́дник@
данаи́ды	f plurmyt.danaidur [taːnaꞋiːt-]жгл-амн; бо́чка данаи́д karið hjá [tʃʰ-] danaidunum
дана́йцы	m plur:дары́ дана́йцевbókl.danaagáva [-Ꞌnaːa-]
Дана́я	fmyt.Danaë [taːnaeː]ж нескл.
Дании́л	mbíbl.Dánjalм0o{0<>i}
