ф	1.ферзь frúgv, drotning (í talvi)2.фара́да F farad [faː-]
факси́миле	In indeclljósprentс0о, faksimile [-Ꞌsiːmilε]с нескл.проф.IIadjljósprentaðurглaður, í faksimile [-Ꞌsiːmilε]проф.; ру́копись факси́миле ljósprentað handrit [hanɹ-], handrit [hanɹ-] givið út í faksimileпроф.IIIadví ljósprenti, í faksimile [-Ꞌsiːmilε]проф.; изда́ть факси́миле geva út í ljósprenti, geva út í faksimileпроф.
факси́мильный	adj: факси́мильное изда́ние ljósprentс0о, faksimile [-Ꞌsiːmilε]с нескл.проф., faksimileútgáva [-Ꞌsiːmilε-]проф.
факс-маши́на	ftelefax [-faʰks]{telefaks}с0о, fax [faʰks] {faks}с0о(apparat)
факс-моде́м	[-дэ́м]mfaxmodem [faʰks-] {faksmodem}с0о{0<>ir}
факсова́ть	факсу́|ю, ~ешь, ~ютipf что-л.sendair(d)o-t sum fax [faʰks] {faks},faxa[faʰksa] {faksa}aðio-t
факт	Imfaktumс0о{+}, kensgerningurннкмсогл-ar, sannroyndж0-ir; доказа́тьчто-л.на фа́ктах prógva okkurt við fakta; фа́кты говоря́т за себя́ fakta tala fyri seg sjálvi, kensgerningarnirннкtala fyri seg sjálvar; печа́льно, но факт tað er syrgiligt, men satt; невероя́тно, но факт tað er ótrúligt [-Ꞌtʰɹʉu-], men sannheitннк; остаётся фа́ктом, что ... tað stendur fast, at ...; tað svitast ikki, at...; tað umrindast ikki, at ...кн.; ста́витького-л.пе́ред сверши́вшимся фа́ктом stilla [-tla]o-nframman fyri einum fait accompli [fεʰtakʰɔm̊Ꞌpʰliː]ннкпубл.; э́то факт! tað passar!неформ.; tað er heilt pálítiligt [-Ꞌlʊi-]энк!IIpredфакт , что ... (действительно, верно) tað er royndur lutur, at ...; tað svitast ikki, at ...; факт, что кома́нда выи́грывает tað er einki at taka seg aftur [aʰtː-] í, at liðið er við at vinna; tað er sikkurtннк, at liðið er við at vinna; факт тот, что ... (дело в том,что) tað, sum er ...или не переводится/ella verður ikki umsett; факт тот, что вре́мени оста́лось ма́ло lítil tíð var eftir [εʰtː-]@фактparentóvkm.tað er heilt sikkurtннк, tað er heilt vist; он, факт, не придёт tað er heilt sikkurtннк, hann ikki kemur;фактpartóvkm.jú, неуже́ли действи́тельно е́дет? - факт! álvara, kemur hann? - ja!
факти́ческий	adjfaktiskurннксоглsk; veruligurглigur, virkuligurннкглigur(действительный); факти́ческие да́нные faktiskarннкupplýsingar; факти́ческое положе́ние tann veruliga støðan, tey faktiskuннкviðurskiftini; факти́ческая сто́имость realvirði [-Ꞌaː-]
факти́чный	stfфакти́ч|ен, ~на, ~но, ~ныadj bókl.faktuellur[-ˈεlˑ-]интсогл, samsvarandiглandifaktaннк
фактогра́фия	fbókl. faktuell [-ˈεlː]интlýsingЖ0-ar
фа́ктор	mfaktorur [-Ꞌtʰoː-]ннкмсогл-arпубл.; фа́ктор вре́мени tíðarfaktorurinннкпубл.; уче́сть все фа́кторы, игра́ющие роль rokna við øllum [œtl-] faktorumннкпубл., sum spæla inn
фа́кторинг	mfactoring [faʰkt-]ж0-ar, lánс0оupp á faktura [-ˈtʰuː-]торг., спец.
фа́кторинговый	adjfactoring- [faʰkt-]торг., спец.
факто́рия	fgml.handilsstøðж0-ir
факту́ра1	If(накладная) faktura [-Ꞌtʰuː-]жгл-a(;0-ir), fakturi [-Ꞌtʰuː-]мгл-i; предвари́тельная факту́ра proformafaktura [-Ꞌfɔ-] =>профо́рма@
факту́ра2	IIf1.(отделка) hagreiðing [hak-]ж0-arav tilfari, yvirflatuviðgerð [vɪtʃ-]ж0-ir(поверхности); strukturur [-Ꞌtʰuː-]ннкмсогл-arпроф.(í yvirflatu)2.list,bókm.(художественное своеобразие) strukturur [-Ꞌtʰuː-]ннкмсогл-arпроф., teksturur [-Ꞌtʰuː-]мсогл-arспец., tilgerðж0-ir(оформление); skapс0о{a/ø}(форма)3.fl.(внешние данные)útsjónd [ʏʰt-]ж0-ir(yvirbragd, likamsburður o.a. á fólki)
факту́рный1	If(кфакту́ра I) faktura- [-ˈtʰuː-]
факту́рный2	IIstfфакту́р|ен, ~на, ~но, ~ныadj1.(кфакту́ра (() struktur- [-Ꞌtʰuːɹ-]ннк, tekstur-[-Ꞌtʰuːɹ-]м спец, yvriflatu-, í skapi2.(характеризуемый ярко выраженной фактурпй) sermerkturсогл(í skapi o.ø.), eyðkendur (εʰtʃ-íсогл(í skapi o.ø.)
факультати́в	mtlm.vallærugreinж0-ar;0-ir
факультати́вный	stfфакультати́в|ен, ~на, ~но, ~ныadjikki kravdurсогл, valfríurгл; факультати́вные предме́ты vallærugreinar
факульте́т	mfakultet [-Ꞌtʰeːt]с0о, megindeildлпж0-ir(á universiteti o.ø.); учи́ться на юриди́ческом факульте́те lesa jura, lesa til sakføraraнеформ.=>медици́нский
факульте́тский	adjfakultets- [-Ꞌtʰeː-], megindeildar-лп
фал	mfallс0о(на кораблях), dragс0о{a/ø}(ос. на фар. лодке)
фала́нга1	If1.søg.(строй пехоты) falanks [-Ꞌlaŋ̊ks]ж0-ir(herfylking í gamla Grikkalandi)2.(партия) falangistaflokkur [-Ꞌkɪ-]мсогл-ar
фала́нга2	IIfanat.fingrabeinс0о, kongurмсогл-ar
фала́нга3	IIIfdjór.(отряд Solifugae)hópur av liðdjórum(en.solifugae; da.solifuger)
фаланги́ст	mfalangistur [-Ꞌkɪ-]мсогл-ar
фа́лда	f1.(сюртука,фрака и т.п.) velс0о(á klæðum)2.(складка) lekс0о(на одежде,шторах и т.д.)
фа́линь	mfanglínaжгл-a
фалли́ческий	adjfalliskurсоглsk
фаллоимита́тор	mdildoж0-ir,мгл-гл
фалло́пиев	adj: фалло́пиева труба́anat.eggjaleiðariннкмгл-ariпроф., egggørn [-tn]лпж0-ar{ø/a}
фа́ллос	m bókl.fallosм0-arкн.
фалре́п	m skip.gelendari [keꞋlε-]мгл-ari(av tog,á landgangi o.tíl.)
фальсифика́т	mfalsumинтс0o({0<>i}), forfalsking [-Ꞌfa-]ннкж0-ar
фальсифика́тор	mforfalskari [-Ꞌfa-]ннкмгл-ari, falsariнпмгл-ari; фальсифика́торы исто́рии søguforfalskararннк, søgufalsararнп
фальсифика́ция	f1.(действие) forfalsking [-Ꞌfa-]ннкж0-ar, falsanнпж0-ir2.(что-то подделанное) forfalsking [-Ꞌfa-]ннкж0-ar, falsumинтс0o({0<>i}),o-tfalsaðнп
фальсифици́ровать	фальсифици́ру|ю, ~ешь, ~ютipf/pf что-л.forfalska [-Ꞌfa-]ннкaðio-t, falsaнпaðio-t
фальста́рт	mtjóvstarturмсогл-ar; взять фальста́рт tjóvstartaaða
фальц	m1.tekn.(выемка) notж0-ir2.tekn.(шов) falsurмсогл-ar3.prent.(место сгиба) brotс0о, falsurмсогл-ar
фальцева́льный	adjfalsi-; фальцева́льная маши́на falsimaskina
фальцева́ть	фальцу́|ю, ~ешь, ~ютipf(pfсфальцева́тьсфальцу́|ю, ~ешь, ~ют)что-л.tekn.,prent.falsaaðio-t
фальце́т	mfalsett [-Ꞌsεʰtː]ж0-ir; петь фальце́том syngja falsett
фальцо́вка	plurфальцо́в|ки, ~ок, ~камftekn.,prent.falsingж0-ar
фальцо́вщик	mtekn., prent.falsariмгл-ari
фальшбо́рт	mskansaklædningurмсогл-arмор.
фальши́вить	фальши́в|лю, ~ишь, ~ятipf(pfсфальши́витьсфальши́в|лю, ~ишь, ~ят)1.(быть неискренним) vera falskurсогл{a/ø}, hyklaaði2.(производить фальшивые звуки) syngjaслнa-u-ufalskt [fal̥st] (при пении); spælair(d)falskt [fal̥st] (при игре)
фальши́вка	plurфальши́в|ки, ~ок, ~камftlm.falsað skjalс0o{a/ø}, falsaður teksturмсогл-s,-ir, falsumинтс0o(skjal, tekstur), forfalsking [-Ꞌfa-]ннкж0-ar(skjal,tekstur)
фальшивомоне́тчик	mfalskmyntariннкмгл-ari, pengafalsariмгл-ari
фальши́вый	stfфальши́в, ~а, ~о, ~ыadj1.(поддельный) falskurсоглsk{a/ø}; фальши́вые де́ньги falskir pengar; фальши́вые зу́бы forlornar [-Ꞌlɔɹ-]ннкtenn, handilstennкн.,уст.2.(неискренний) falskurсоглsk{a/ø}; tilgjørdurсогл(искусственный); фальши́вая улы́бка falskt [fal̥st] smíl3.(в музыке) falskurсоглsk{a/ø}; фальши́вая но́та falskur tóni@фальши́вое положе́ниеtvítýdd støðaкн.;фальши́вая ма́чтаneyðmastur
фальшки́ль	mstrákjølurмсогл-ir{ø/a}{+};согл-s,-ir;согл-arkjøldragс0о{a/ø}{0<>i}(б.ч. на фар. лодке и т.п.)
фальшь	ffalskheitж0-ir; hyklarí [hʏʰklaꞋrʊi]ннкс0о, hyklс0о(лицемерие); kávalótirж0-irмн(притворство)
фами́лия	f1.(семейное нименование) eftirnavn [εʰtː-]с0о{a/ø}; как ва́ша фами́лия? hvussu eita tygum til eftirnavn?2.(род) ættж0-ir, slektж0-ir3.gml.(семья) familja [-Ꞌmɪ-]жгл-a=>деви́чий@,и́мя1,смени́ть1,спроси́ть1
фами́льный	adjfamilju- [-Ꞌmɪ-], ættar-; фами́льная черта́ ættarbregði [-pɹeːjɪ]сгл-i; фами́льное схо́дство familjulíkheit; фами́льный портре́т familjumynd
фамилья́рничать	ipf с кем-л.geraнепрsær dæltvið o-nкн., veraслнa-ó-e(ov [ɔ]) familjerur [-Ꞌjeː-]ннксоглvið o-n
фамилья́рность	ffamiliaritetur [-Ꞌtʰeː-]ннк, tað at gera sær dælt (við o-n)кн.; framligheitж0-ir(бесцеремонность)
фамилья́рный	stfфамилья́р|ен, ~на, ~но, ~ныadjfamilierur [-Ꞌjeː-]согл; framligurглigur(бесцеремонный)
фан	mjarg.fan [fanː]м0-ar (опр-ur){+}неформ., fjeppariмгл-ari
фанабе́рия	fgml.,tlm.stóraktigheit [-Ꞌa-]энкж0-ir, errinskapurмсогл-ar(заносчивость); arrogansa [-Ꞌka-]ннкжгл-a(надменность); snobbс0о, snobbarí [-Ꞌrʊi]с0о(снобизм)
фана́т	mtlm. fan [fanː]м0-ar(опр-ur){+}неформ., fjeppariмгл-ari
фанати́зм	mfanatisma [-naꞋtʰɪ-]жгл-a
фана́тик	mfanatikari [-Ꞌnaː-]мгл-ari
фанати́ческий	adjfanatiskur [-Ꞌnaː-]соглsk
фанати́чка	plurфанати́ч|ки, ~ек, ~камffanatikari [-Ꞌnaː-]мгл-ari(konufólk)
фанати́чный	adjfanatiskur [-Ꞌnaː-]соглsk
фана́тка	plurфана́т|ки, ~ок, ~камf tlm.fan [fanː]м0-ar(опр-ur){+}неформ., fjeppariмгл-ari(konufólk)
фана́тский	adjtlm. fan- [fanː-]неформ.,fjeppara-
фан-брига́да	ffanbólkurмсогл-arнеформ.. fjepparabólkurмсогл-ar(lokalur)
фан-гру́ппа	ffanbólkurмсогл-arнеформ.. fjepparabólkurмсогл-ar
фан-группиро́вка	plurфан-группиро́в|ки, ~ок, ~камffanbólkurмсогл-arнеформ.. fjepparabólkurмсогл-ar(lokalur)
фан-движе́ние	nfjeppararørsla жгл-a
фане́ра	f1.(тонкая пластинка дерева) finer [-Ꞌneːɹ]с0о2.(клеёная) krússfiner [-neːɹ]с0о, krossviðurлпмсогл-ir
фане́рный	adjkrússfiner- [-neːɹ], úr krússfineri [-neːɹ]
фанерова́ть	фанеру́|ю, ~ешь, ~ютipf/pf что-л.klæðair(d)o-tvið fineri [-Ꞌneː-]
фа́нза	f1.(изба) bóndahúsс0о(í Kina og Korea)2.argot(дом) húsс0о
фанк	mfunk [fɔɲ̊k]с0о{0<>i}муз.
фанк...	funk- [fɔŋ̊k-]
фанк-бе́нд	[-бэ́-]m síфанк-бэ́нд
фанк-бэ́нд	mfunkbólkur [fɔŋ̊k-]мсогл-ar
фанк-гру́ппа	ffunkbólkur [fɔŋ̊k-]мсогл-ar
фанк-коллекти́в	mfunkbólkur [fɔŋ̊k-]мсогл-ar
фанк-компози́ция	f funkkompositión [fɔŋ̊kkʰɔmpʰoːsiʃɔʊn]ж0-ir, kompositión [ˈ-ʃɔʊn]ж0-irí funkstíli [fɔŋ̊k-]
фан-клу́б	mstuðulsfelagс0о{a/ø}{0<>i}
фанк-ро́к	mfunk-rokkur [fɔŋ̊k-] {funk-rockur [fɔŋ̊krɔʰkː-]}мсогл-ar
фан-са́йт	mstuðulssíðaжгл-a
фан-се́ктор	mpartur av stadion og øðrum, har fjepparar sita
фант	mgml.1.plur(игра) pantspælс0о{æ/ø}; игра́ть в фа́нты spæla pantspæl; игра́ в фа́нты pantspæl2.(предмет) pantс0о(í pantspæli)3.(задание) uppgávaжгл-a(sum luttakari í pantspæli fær)
фантазёр	msveimariмгл-ari; droymariмгл-ari(мечтатель); fantastur [-Ꞌtʰa-]интмсогл-ar(далеко от действительности)
фантазёрка	plurфантазёр|ки, ~ок, ~камfsveimariмгл-ari; droymariмгл-ari(мечтатель); fantastur [-Ꞌtʰa-]интмсогл-ar(konufólk)
фа́нтази	n indecl síфэ́нтази
фантази́ровать	фантази́ру|ю, ~ешь, ~ютipf(pf сфантази́рватьсфантази́ру|ю, ~ешь, ~ют)1.(предаваться фантазиям) fantasera [-Ꞌseː-]ннкaði; droymair(d)(мечтать), dagdroymair(d)(грезить)2.pfсфантази́роватьсфантази́ру|ю, ~ешь, ~ют(о Prp)tlm.(выдумывать) spinnaслнa-u-u(о-t) í (um Вин), pentaaði(о-t) saman (um Вин), bjóraaði(о-t) saman (um Вин)3.mus.(о музыкальном произведении) fantasera [-Ꞌseː-]aðiмуз., improvisera [-Ꞌseː-]aðiмуз.
фанта́зия	f1.((способность воображения) fantasiur [-Ꞌsiː-]ннкмсогл-s,-ir, fantasi [-Ꞌsiː-]ннкж0-ir; hugflogс0о{0<>i}; бога́тая фанта́зия lívligur fantasiurннк, hugflog; лишённый фанта́зии fantasileysur [-Ꞌsiː-]ннк, uttan fantasiннк;тжturrgeldurсоглпренебр.; дать во́лю фанта́зии geva fantasiinumннкleysar teymar2.(мечта) dreymurмсогл-ar, dagdreymurмсогл-ar(грёза); предава́ться фанта́зиямsíфантази́ровать13.(нечто надуманное) heilaspuniмгл-i, fantasi [-Ꞌsiː-]ннк, fantasiur [-Ꞌsiː-]ннкмсогл-s,-ir; плод фанта́зии heilaspuni, fantasifostur [-Ꞌsiː-]ннкс0осн4.(прихоть) grillaннкжгл-a, lúnurжгл-aмн, ríggjurжгл-aмн; что за фанта́зия пришла́ тебе́ в го́лову!eis.hvat er tað, sum er stungist upp á teg!; hvat er tað, sum er skotist upp á teg!5.mus.(музыкалльное произведение) fantasi [-Ꞌsiː-]ж0-irмуз.
фантасмаго́рия	ffantasifostur [-Ꞌsi-]ннкс0осн, heilaspuniсгл-i; yvirsjónж0-ir(галлюцинация)
фанта́ст	m1.(человек с богатой фантазией) fantastur [-Ꞌtʰa-]интмсогл-ar; droymariмгл-ari, sveimariмгл-ari(мечтатель)2.(писатель) høvundurмсогл-arat science-fiction [saiεn̊sꞋfɪʰkʃɔn],síфанта́стика
фанта́стика	f1.(представления,образы) fantasi [-Ꞌsiː-]ннкж0-ir(o-t íspunnið o.tíl.)2.koll(литературные произведения) fantastiskar [-Ꞌtʰa-] bókmentirж0-irмн, fantasy [-siː]с нескл.; нау́чная фанта́стика science fiction [saiεn̊sꞋfɪʰkʃɔn]ннкж0-irпроф., vísindaskaldskapur [-skalsk-]лпмсогл-ir3.fl.: э́то про́сто фанта́стика tað er heilt fantastiskt [-Ꞌtʰa-]энк,tað er heilt ótrúligt [-Ꞌtʰɹʉu-]
фантасти́чески	advfantastiska [-Ꞌtʰa-]ннк; фантасти́чески бога́тый fantastiskaннкríkur
фантасти́ческий	adj1.(проникнутый фантастикой) fantastiskur [-Ꞌtʰa-]соглsk(um bókmentir o.a.),síфанта́стика2.(похожий на фантазию) fantasi- [-Ꞌsiː-]ннк3.(невероятный) ótrúligur [-Ꞌtʰɹʉu-]глigur, fantastiskur [-Ꞌtʰa-]ннксоглsk4.tlm.(исключительный) einastandandi [-Ꞌsta-], einastandandi [-Ꞌsta-] +пол., sjáldsama [ʃɔl̥s-] +пол., fantastiska [-Ꞌtʰa-]ннк+пол.
фантасти́чный	stfфантасти́ч|ен, ~на, ~но, ~ныadj síфантасти́ческий
фа́нтик	m1.síфант22.tlm.(обёртка) bommpappírс0о(brúkt í spæli)
фанто́м	m1.bókl.(привидение) fantom [-Ꞌtʰoːm]интс0оред.; dreygurмсогл-ar, hamurмсогл-s,-ir, spøkilsiсгл-i(призрак)2.lækn.(модель тела) fantom [-Ꞌtʰoːm]с0омед.
фанфа́ра	f1.(инструмент) trompet [-Ꞌpʰeːt]ж0-ir2.(сигнал) fanfara [-Ꞌfaːɹa]жгл-a
фанфаро́н	mtlm.gabbс0о, gabbariмгл-ari, skrøggariмгл-ari
фанфаро́нство	ntlm.gabbс0о, skrøggс0
ФАО	[фа́о]f indeclПродово́льственная и сельскохозя́йственная организа́цияя ООН FAO [faːo]с нескл., Food and Agricultural Organization of the United Nationsангл., Matvøru-og landbúnaðarfelagsskapur [lanp-] ST
ФАПСИ́	nФедера́льное аге́нтство прави́тельственной свя́зи и информа́ции при Президе́нте Росси́йской Федера́ции Stjórnarnevndin [stjœtn-] fyri samskifti og kunning hjá forsetanum í Russisкka Sambandsríkinum [-pan̊s-]
ФАР	[фар]n indeclФедера́льное аге́нтство (sí) по рыболо́вству
фа́ра	f(bil)lyktж0-ir
Фара́д	m indecl(styttФ) Farad [-ˈradː]жнескл(сокр.F)
Фара́да	f síФара́д
фарао́н1	Im1.søg.(египетский монарх) farao [faː-]м0-ar{дат.0}(режеfáraoм0-ar{дат.0})2.vanv.(полицейский) politimaður [-ˈtiː-]мнепр
фарао́н2	IImfaraospæl [faː-]с0{æ/ø}(kortspæl)
фарва́тер	[-тэр]mfarvatn [faɹ-]с0о{a/ø}@быть {плыть} в фарва́теречего-л.fl.eltair(t)o-tперен.,sigla í kjalarvørrinumá o-mперен.
Фарве́ль	[-вэ́-]mKappinмгл-iопр.мор., Hvarviðсгл-iопр.кн.
Фаренге́йт	[-ре-] og [-рэ]m: 200опо Фаренге́йту 200 stig Fahrenheit [faːɹɪnhait], 200 gradir [-aː-]ннкпроф.Fahrenheit [faːɹɪnhait]
фаре́рец	[-рэ́р-]Gen, Accфаре́рц|а;plur~ы, ~ев, ~амmføroyingur [føːɹɪŋk-]мсогл-ar
фаре́рка	[-рэ́-]plurфаре́р|ки, ~ок, ~камfføroyingur [føːɹɪŋk-]мсогл-ar(konufólk);она́ фаре́ркатжhon er føroysk [føːɹɪsk], hon er úr Føroyum [fœɹjʊn]
Фаре́ро-Шетла́ндский кана́л	[-рэ́-]síФаре́рско-Шетла́ндскийкана́л
Фаре́рская ба́нка	[-рэ́-] Føroyabanki [fœɹjapaɲ̊tʃɪ]мгл-i(grynna) =>жёлоб@
Фаре́рские острова́	[-рэ́-] Føroyar [fœɹjaɹ]ж0-arмн; на Фаре́рские острова́ til Føroyar [fœɹjaɹ], til Føroya [fœɹja]кн.; на Фаре́рских острова́х í Føroyum [fœɹjʊn]; с Фаре́рских острово́в úr Føroyum [fœɹjʊn] (об отходе судна и др. тжfrá Føroyum [fœɹjʊn]мор.,спец.); догово́р был заключён ме́жду Росси́ей и Фаре́рскими острова́ми ein avtala varð gjørd millum [-tl-] Russland og Føroyar
фаре́рский	[-рэ́-]adjføroyskur [føːɹɪsk-]соглsk; фаре́рский язы́к føroyskt [føːɹɪst]сприлskt; на фаре́рском языке́ á føroyskum =>ФЭЗ
Фаре́рско-Шетла́ндский кана́л	[-рэ́-] Hetlandsrennan [-lan̊s-]жгл-aопр.
Фаре́ры1	[-рэ́-] If plurtlm.Føroyar [fœɹjaɹ]ж0-arмн; на Фаре́ры til Føroyar [fœɹjaɹ], til Føroya [fœɹja]кн.; на Фаре́рах í Føroyum [fœɹjʊn]; с Фаре́р úr Føroyum [fœɹjʊn] (об отходе судна и др. тжfrá Føroyum [fœɹjʊn]мор.,спец.)
Фаре́ры2	[-рэ́-] IIm plurtlm.síФаре́рыI
фаринги́т	mhálsbruniнпмгл-i, hálsbtendilsiннксгл-i
фарисе́й	m1.bíbl.(представитель религиозной группы) fariseari [faːɹɪꞋseː-]мгл-ari2.fl.(лицемер) fariseari [faːɹɪꞋseː-]мгл-ari, hyklari ([hʏʰkl-]ннк), [hiː-]мгл-ari(ханжа)
фарисе́йский	adj1.(кфарисе́й 1) fariseiskur [faːɹiꞋseː-]соглsk,síфарисе́й12.fl.(лицемерный,жанжеский) fariseiskur [faːɹiꞋseː-]соглsk, skinhelligur [ʃɪnꞋhεlː-]энкглigur
фарисе́йство	n1.(учение)læran hjá farisearum,síфарисе́й12.fl.(лицемерие, ханжество) hyklarí [hʏʰklaꞋrʊi]ннкс0о{0<>i}, hyklс0о, skinnhelligheit [ʃɪnꞋhεlː-]энкж0-ir(ханжество), fariseisma [faːɹɪseːꞋɪ-]жгл-a
фармако́лог	mfarmakologur [-Ꞌloːk-]мсогл-ar
фармакологи́ческий	adjfarmakologiskur [-Ꞌloːk-]соглsk
фармаколо́гия	ffarmakologi [-Ꞌkiː]ж0-ir, heiliráðfrøðiлпжгл-i
фармакопе́я	ffarmakopé [-Ꞌpʰeː]ж0-irспец.
фармаце́вт	ffarmaceutur {farmaseutur} [-Ꞌsœut-]мсогл-ar
фармаце́втика	ffarmaci {farmasi} [-Ꞌsiː-]ж0-ir
фармацевти́ческий	adjfarmaceutiskur {farmaseutiskur} [-Ꞌsœu-]соглsk;фармацевти́ческий препара́т farmaceutiskt preparat [-ˑraˑt]
фармаци́я	ffarmaci {farmasi} [-Ꞌsiː-]ж0-ir
фармпрепара́т	m síфармацевти́ческий, препара́т
