ха1	In indecl navn á bókstavinumх
хами́ть	хамлю́, хам|и́шь, ~я́тipf(pfнахами́тьнахамлю́, нахам|и́шь, ~я́т) (кому-л.)1.(вести себя по-хамски) vera grovurсогл, vera ófólkaligur [-Ꞌfœ-]глigur2.(говорить грубости) vera ljóturсоглí munninum (móti o-m), brúkaar(t)seg (móti o-m)
хамло́	nóvkm., óf.síхам
хамса́	f(Engraulis encrasicholus) ansjós [-Ꞌʃɔus]ж-ir
ха́мский	adjgrovurсогл, ófólkaligur [-Ꞌfœ-]глigur, óhølvaðurглaður
ха́мство	ngrovheitж0-ir, ófólkaligheit [-Ꞌfœ-]ж0-ir
хамьё	n koll. óf. síхамло́
хан	mkhanur [kʰaːn-]мсогл-ar
хана́	pred Датóvkm.: ему́ хана́ tað er úti við honum; аккумуля́тору хана́ battaríið [-Ꞌrʊijɪ] er kaputt [-Ꞌpʰʊʰtː]энк
хандра́	ftunglyndiсгл-i, ringur hýrurмсогл-ar; spleen [spliːn]интс0оред.
хандри́ть	хандр|ю́, ~и́шь, ~я́тipfvera tungurсоглí huga, kúrair(d)
ханжа́	plurханж|и́, ~е́й, ~а́мm/fhyklari ([hʏʰkl-]ннк)мгл-ari
ха́нжеский	adjhyklandiглandi, fariseiskur [faːɹiꞋseː-]соглsk, skinhelligur [ʃɪnꞋhεlː-]ннкглigur
ханжеско́й	adj síха́нжеский
ха́нжество	nhyklс0о, hyklarí [hʏʰklaꞋrʊi]ннкс0о; kávalætiсгл-i, kávalótirж0-irмн(притворство)
ханжество́	ngml.síха́нжество
ханжи́ть	ханж|у́, ~и́шь, ~а́тipf tlm. hykla (тж[hʏʰkl-]ннк)aði, vera hyklandi (тж[hʏʰkl-]ннк)глandi, vera fariseiskur [faːɹiꞋseː-]соглsk, vera skinhelligur [ʃɪnꞋhεlː-]ннкглigur
ха́нка	f saft frá óbúnum valmuufræum(verður brúkt til framleiðslu av narkotika)
Хано́й	mHanoi [haːnɔi]м0{дат.0}
ха́нский	adjkhan- [kʰaːn-]
ха́нство	nkhanat [kʰaꞋnaːt]с0о
ха́нты	m/f indecl(eis. plur Genха́нтов) khanti [kʰa-]мгл-и(fólkaslag við ánna Ob)
ханты́ец	Gen, Accханты́йц|а; plur~ы, ~ев, ~амmkhanti [kʰa-]мгл-i(fólkaslag við ánna Ob)
ханты́йка	plurханты́йки, ханты́ек, ханты́йкамfkhanti [kʰa-]мгл-i(konufólk) (fólkaslag við ánna Ob)
ханты́йский	adjkhantiskur [kʰa-]соглsk,síха́нты
Ха́нты-Манси́йский автоно́мный о́круг	Khanti-Mansi [kʰa-] sjálvstýrandi [ʃɔl̥st-] økið
Ха́нты-Манси́йский автоно́мный о́круг - Югра́	Khanti-Mansi [kʰa-] sjálvstýrandi [ʃɔl̥st-] økið - Jugra [-Ꞌkɹaː] (almenna navnið síðani 2003)
ханы́га	mtlm., atf.fyllibytta [-tl-]жгл-a, brennivínshítж0-ir
ха́ос	m1.myt.(неорганозованная стихия) kaos [kʰaːɔs]с0о2.gml.síхао́с
хао́с	m(беспорядок) ruðuleikiмгл-i, hurlivasiмгл-i, fløkjaмгл-a, kaos [kʰaːɔs]ннкс0о
хаоти́ческий	adjkaotiskur [kʰaꞋoː-]ннксоглsk
хаоти́чный	stfхаоти́ч|ен, ~на, ~но, ~ныadj síхаоти́ческий
хап	pred,óvkm.treiv í, goggaði,síха́пнуть
ха́пать	ipf(pfсха́пать,momentха́пнутьха́пн|у, ~ешь, ~ут)óvkm.1.Acc(схватить) trívaслнei-i-iíВин, grabbaaðiВиннеформ.2.что-л.(деньги и т.п.) krámaaðio-tinn undir seg, kraddaaðio-tinn undir seg
ха́пнуть	moment síха́пать
хапу́га	móvkm., vanv.krókurмсогл-ar(kraddut fólk)
хараки́ри	n indeclharakiri [haːɹaꞋkʰiːɹi]с0-гл-i
хара́ктер	m1.(совокупность психических свойств и др.) lyndiсгл-i, muraжгл-a, kynс0о{+}кн.; тяжёлый хара́ктер tungt lyndi; твёрдый хара́ктер viljastyrkiжгл-i; у него́ скве́рный хара́ктер tað flættastaðiikki við hann, muran í honum er ring; hann er grundarringur; у него́ хоро́ший хара́ктер hann er viðeiriligurглigur, hann er lættur at fáast við; hann er grundargóður; у него́ серьёзный хара́ктер hann er álvarsamurсогл{a/o}av lyndi; у него́ твёрдый хара́ктер hann er viljasterkurсоглav lyndi; у него́ весёлый хара́ктер hann er glaðurглav lyndi; челове́к с хара́ктером viljasterkurсоглmaður; без хара́ктера viljaveikurсогл, nakkleysurсоглкн.,ред.; си́льные хара́ктерыeis.fl.fólk við viljastyrki2.(свойство) skapс0о{a/ø}, natúr [-Ꞌtʰʉuɹ]ж0-ir, eyðkenni [εʰtʃ-], [εitʃʰ-]сгл-i, slagс0о{a/ø}{0<>i}; хара́ктер ме́стности skapið á landslagnum [lan̊slεnʊn]; затяжно́й хара́ктер боле́зни tann drúgva gongdin hjá [tʃʰ-] sjúkuni; име́ть делово́й хара́ктер viðvíkja forrætningum [-Ꞌra-]; бесе́да делово́го хара́ктера forrætningssamtala [-Ꞌra-], arbeiðssamtala; спор носи́л бу́рный хара́ктер orðaskiftið var harðligt; рабо́та но́сит иссле́довательский хара́ктер arbeiðið ber dám av at vera kanning, her er talan um kanningararbeiði; сомни́тельного хара́ктера av ivasamari natúr, av ivasomum slag; приня́ть хара́ктерчего-л.fáa dámav o-m,sbr.приня́ть 12; прида́ть хара́ктерчего-л.geva dámav o-m3.bók.,list(тип человека) typa [tʰyː-]жгл-a, karakterur [-Ꞌtʰeː-]мсогл-arпроф.; коме́дия хара́ктеров karakterkomedia [-Ꞌtʰeː-]проф.@э́то у него́ в хара́ктереtað er honum í kjøtið borið, tað liggur til hansara;э́то не в его́ хара́ктереtað liggur ikki til hansara =>вы́держать@,лёгкий8,мя́гкий4,си́ла3,складII,сла́бость3,сла́бый4,черта́3
характеризова́ть	характеризу́|ю, ~ешь, ~ютipf/pf(pf eis.охарактеризова́тьхарактеризу́|ю, ~ешь, ~ют)Acc1.bert ipf(быть характерным) eyðkenna [εʰtʃ-], [εitʃʰ-]ir(d)Вин2.pf eis.охарактеризова́ть (давать характеристику) lýsair(t)Вин, karakterisera [kʰaːɹaʰktʰeːɹɪꞋseː-]ннкaðiВин
характеризова́ться	характеризу́|юсь, ~ешься, ~ю́тсяipf чем-л.vera eyðkendur [εʰtʃ-], [εitʃʰ-]av o-m; beraслнa-ó-obráav o-m(напоминать)
характери́стика	f1.(определение основных черт) lýsingж0-ar, karakterisering [kʰaːɹaʰktʰeːɹiꞋseː-]ннкж0-ar2.(документ) vitnisburðurмсогл-ir, váttanжгл-ir, attest [-Ꞌtʰε-]ннкжгл-ir(um dugnaskap o.a. eginleikar); viðmæli [vɪm-]сгл-i3.tekn.(изображение свойств) karakteristikkur [kʰaːɹaʰktʰeːɹɪsꞋtʰɪʰkː-]мсогл-arспец.
характеристи́ческий	adjgml., fakm.síхаракте́рный
характе́рно	Iadveyðkent [εʰtʃ-], [εitʃʰ-], karakteristiskt [kʰaːɹaʰktʰeꞋrɪ-]ннк, typiskt [tʰyː-]ннкIIpredхаракте́рнодля Gen: tað er eyðkent [εʰtʃ-], [εitʃʰ-]fyri Вин, tað er typiskt [tʰyː-]ннкfyri Вин; характе́рно, что... tað er eyðkent, at..., er typisktннк, at...
хара́ктерный	stfхара́ктер|ен, ~на, ~но, ~ныadj1.óvkm.(упрямый) tvørurсогл, treiskurсоглsk2.: хара́ктерная рольsíхаракте́рнаяроль
характе́рный	stfхаракте́р|ен, ~на, ~но, ~ныadj1.(для Gen) (свойственный) eyðkendur [εʰtʃ-], [εitʃʰ-]согл(fyri Вин), karakteristiskur [kʰaːɹaʰktʰɪꞋrɪ-]ннксоглsk(fyri Вин), typiskur [tʰyː-]ннксоглsk2.(своеобразный) sermerkturсогл3.bert lf: характе́рная роль karakterrolla [-Ꞌtʰeː-]ннкпроф., karakterleiklutur [-Ꞌtʰeː-]нп; характе́рный та́нец karakterdansur [-Ꞌtʰeː-]ннкпроф.; актёр на характе́рные ро́ли karakterleikari [-Ꞌtʰeː-]нп
Хара́ре	[-рэ]m indeclHarare [-Ꞌraːɹε]м нескл.(til 1982Со́лсбери)
Харби́н	mHarbin [-Ꞌpɪnː]м0{дат.0}
хард1	Im teld.1.slang(жёсткий диск) harddiskurннкмсогл-arпроф., harður diskurнпмсогл-ar2.slang(аппаратное обеспечение) hardware [haɹtvεaɹ]с0о;ж0-ir, tólbúnaðurлпмсогл-ir
хард2	IIm mus., jarg.(хард-рок) hardrockur [-rɔʰkː-] {hardrokkur}мсогл-ar, harður rokkurмсогл-ar
хард-ди́ск	mharddiskurннкмсогл-arпроф., harðdiskurнпмсогл-ar
хардко́р	mhard core [haɹtkɔːɹ]м нескл
хардко́рный	adjhard core- [haɹtkɔːɹ-]
хардкор-па́нк	m hard core punk [haɹtkɔːɹpʰɔɲ̊k]с0о
хард-ро́к	mhardrockur [-rɔʰkː-] {hardrokkur}мсогл-ar, harður rokkurмсогл-ar
Хари́бда	fmyt.Charybdis [kʰaꞋrʏptɪs]м0{дат.0}, Karybdis [kʰaꞋrʏptɪs]м0{дат.0}=>Сци́лла
хари́зма	fbókl.karisma [-Ꞌrɪ-]ннкжгл-a(;0-ir);с0гл-a
харизмати́ческий	adjkarismatiskur [kʰaːɹɪsꞋmaː-]соглsk
ха́риус	m(Thymallus)slag av laksafiski(en.grayling,umber; da.stalling)
харизмати́чный	stf харимати́ч|ен, ~на, ~но, ~ныadjkarismatiskur [kʰaːɹɪsꞋmaː-]соглsk
ха́рканье	nharkanж0-ir
ха́ркать	ipf(momentха́ркнутьха́ркн|у, ~ешь, ~ут) harkaaði; ха́ркать кро́вью hostaaðiblóð
ха́ркнуть	moment síха́ркать
Харо́н	mmyt.Karon [kʰaː-]м0{дат.0}
ха́ртия	f1.(старинная рукопись) fornbræv [fɔtn-], [fɔn-]с0о{æ/ø}, fornskjal [fɔtn-], [fɔn-]с0о{a/ø}2.(документ) sáttmáliмгл-i, avtalaжгл-a, charter [tʃʰaɹ̥tɪɹ]с0o({0<>i})проф.; Ха́ртия Объединённых На́ций ST-sáttmálin; Вели́кая ха́ртия во́льностейsøg.Magna Carta [ˌmaknaꞋkʰa-]с нескл.; Олимпи́йская ха́ртия Olympiska [-Ꞌlʏ-] Skjalið
Харту́м	mKhartoum [kʰaɹ̥Ꞌtʰuːm]м0{дат-0}
харче́вня	fgml.vertshús [vεʂ-]с0о, krógvж0o{+}
харчи́	харч|е́й, ~а́мm pluróvkm.maturмсогл-ar
харчи́ться	харч|у́сь, ~и́шься, ~а́тсяipf óvkm.fáaслнe-i-især at eta
харчо́	n indecl kryddrað súpan við lambskjøti
Ха́рьков	mKharkiv [kʰaɹ̥kʰɪv]м0{дат.0}, Kharkov [kʰaɹ̥kʰɔf], [kʰaɹ̥kʰɔu]м0{дат.0}
ха́ря	fóvkm.,illb.gronж0-irгрубо, skorturмсогл.arгрубо,skonж0-irгрубо(andlit)
ха́ски	m, f indeclhuskyhundur [hɔski-[мсогл-ar
ХАССП	m indeclHACCP [hasːaʰp]снескл.(сокр. англ. Hazard Analysis and Critical Control Points; фар. название Vandamálsgreining og viðbreknir stýringarliðir офиц.)
ха́та	f1.(крестьянский дом)bóndahús í Suðurrusslandi og Ukraina2.óvkm.(дом,квартира) húsс0о, heimс0о@моя́ ха́та с кра́ю (ничего не зна́ю)orðt.tað liggur vertin á; tað liggur sektin á; tað rakar ikki meg; líka leggi eg í
ха́ус	mhouse [haus]с нескл
ха́ус-му́зыка	f síха́ус
ха-ха́	interha, ha [haːhaː]
ха́халь	móvkm. fríggjariмгл-ari, sjeikurмсогл-arнеформ.
хач	Gen, Accхача́;plurхач|и́, ~е́й, ~а́мm niðr.(армянин) armenari [-ˈmeː-]мгл-ar; kaukasari [kʰauˈkʰaː-]мгл-ar; (лицо кавказской национальности)
ха́чик	m niðr.(армянин) armenari [-ˈmeː-]мгл-ar; kaukasari [kʰauˈkʰaː-]мгл-ar; (лицо кавказской национальности)
ха́юшки	inter jarg.halló [-ˈlɔu], hey
ха́ять	ха́|ю, ~ешь, ~ютipf(pfоха́ятьоха́|ю, ~ешь, ~ют)Accóvkm.veraслнa-ó-eeftir [εʰtː-]Дат, høggaur(d)niður íВин, høggaur(d)niður í áВин, rakkaэнкВинniðurнеодобр.
х/б	[ха-бэ́] хлопчатобума́жный bummuls-ннк, bummullar [-tl-]нп, úr bummull [-tl-],síхабэ́/
хвала́	fhátíð.lovс0овыс., библ., prísс0овыс., библ.; heiðurм0осн(честь); воздава́ть хвалу́кому-л.lovaaðio-mвыс., библ., lovprísaaðio-mвыс., библ.; хвала́ тебе́! veri tú heilur og sælurвыс.! ; хвала́ ему́!eis.hann leingi livi!; хвала́ тебе́ и честь! fái tú tøkk og heiður!выс.
хвале́бный	stfхвале́б|ен, ~на, ~но, ~ныadjrósandi; lov-; хвале́бная реце́нзия rósandi ummæli; хвале́бная песньDatlovsongurtil Винвыс.(til Род с личн. мест. , иначекн.,уст.); хвале́бная речь lovtala
хвалёный	adjspott.hálovaðurглaður, rósturсогл
хвали́ть	хвалю́, хва́л|ишь, ~ятipf(pfпохвали́тьпохвалю́, похва́л|ишь, ~ят)Acc(за что-л.) rósaаr(t);aðiДат(fyri o-t); lovaaðiДатвыс.
хвали́ться	хвалю́сь, хва́л|ишься, ~ятсяipf(pfпохвали́тьсяпохвалю́сь, похва́л|ишься, ~ятся) (чем-л.) rósaar(t);aðisær (av o-m); reypaaði(av o-m) (хвастаться)
хва́статься	ipf(pfпохва́статься) (чем-л. перед кем-л.) reypaaði(av o-m fyri o-m), breggjaaðisær (av o-m fyri o-m); не хва́стаясь uttan at reypa; не́чем хва́статься tað er einki at reypa av; он хва́стался, что сде́лает э́то за́ день hann reypaði av, at hann kundi gera tað upp á ein dag
хвастли́вость	ftað at vera reyputur
хвастли́вый	stfхвастли́в, ~а, ~о, ~ыadj1.(содержащий хвастовство) reypandiглandi, skrøggandiглandi, gabbandiглandi2.(склонный к хвастовству) reyputurсогл, gabbuturсогл
хвастовство́	nreypс0о, gabbс0о
хвасту́н	Gen, Accхвастун|а́;plur~ы́, ~о́в, ~а́мmreypariмгл-ari, reypс0о(reypari), gabbariмгл-ari, gabbс0о(gabbari)
хвасту́нья	freypariмгл-ari, reypс0о(reypari), gabbariмгл-ari, gabbс0о(gabbari) (konufólk)
хват1	Imtlm.1.(бойкий,удалой человек) djarvur maðurмнепр2.(ловкач)o-r, ið dugir at snúgva sær
хват2	IImítr.takс0о{a/ø}, grepннкс0о
хвата́тельный	adjbiol.tøku-
хвата́ть1	Iipf(pfсхвати́тьсхвачу́, схва́т|ишь, ~ят)1.pf eis.óvkm.хвати́тьхвачу́, хва́т|ишь, ~ят Acc(брать резким движением) trívaслнei-i-ií Вин, takaслнó-ó-i(í)Вин, grípaслнei-i-iВин; trívaслнei-i-ieftir[εʰtː-]Дат(пытаться схватить); glepsaaðieftir[εʰtː-]Дат, hvessair(t)í Вин(um hund) (о собаке); loftaaðiДат(хватать на лету)2.Acctlm.(поймать) takaслнó-ó-iВин, takaслнó-ó-iВинá hondum; fáaслнe-i-ií Вин, fáaслнe-i-ihendurá Дат3.что-л.tlm.(товары и т.п.) skræða [skɹeːa]ir(d)o-tburtur (vøru o.a.)4.что-л.tlm.(получить нежеланное) fáaслнe-i-io-t; хвата́ть двойки fáa tveytøl (ringur karakterur í russ. skúlum); хвата́ть вы́говор fáa átalu@хвата́ть во́здухkikkaaðieftir [εʰtː-] ondini;хвата́ет за́ сердце {за се́рдце} {за́ душу}кого-л. o-rhitnar um hjartað [j-], tað fløvar hjartað [j-]á o-m=>верх7,звезда́@
хвата́ть2	IIipf síхвати́тьI+ neg; не хвата́тьGen; a) mangla [maŋk-]ннкaði, vantaaði, restaaðií; мне не хвата́ет де́нег eg mangliннкpengar, mær manglarннкpengar, mær vantar pengar, eg havi ikki nóg nógv av pengum; у нас не хвата́ет люде́й vit manglaннкfólk, okkum manglarннкfólk, okkum vantar fólk; ей не хвата́ет бума́ги hon manglarннкpappír; ему́ не хвата́ет уве́ренности hann manglarннкsjálvsálit [ʃɔl̥s-], honum tørvar sjálvsálit [ʃɔl̥s-]кн.; чего́ не хвата́ет? hvat manglarннк?; ско́лько не хвата́ет до ты́сячи? hvussu nógv restar í túsund?; до рубля́ не хвата́ет пяти́ копе́ек tað manglaннкfimm kopekar í einum rubli; b) (отсутствовать) ikki vera til staðar, manglaннк; кого́ не хвата́ет? hvør manglarннк?; c) (ощущать отсутствие Gen,тосковать по Dat) saknaaðiВин; её ему́ о́чень не хвата́ет hann saknar hana nógv@э́того ещё не хвата́ло!illa [ɪtla] var!; fyrr var illa [ɪtla]!; (это уж слишком) nú ber Ꞌ av!; nú gongur av skriðuni!идиом.=>глаз@,дух3
хвата́ться	ipf1.pfсхвати́тьсясхвачу́сь, схва́т|ишься, ~ятся за Acc(хватать рукой) takaслнó-ó-ium Вин; fáaслнe-i-ifaturá Дат(схватывать); trívaслнei-i-ieftir[εʰtː-]Дат(пытаться ухватиться); krøkjair(t)segí Вин(зацепиться); хвата́ться за́ голову {за го́лову; за́ волосы}beinl.,fl.taka um høvdið [hœtːɪ]2.pfхвати́тьсяхвачу́сь, хва́т|ишься, ~ятся за что-л.óvkm.(браться за какое-л. дело) faraслнó-ó-aí holtvið o-t, faraслнó-ó-aundir o-t, faraслнó-ó-aí gongdvið o-t=>соло́минка@
хвати́ть1	Iхвачу́, хва́т|ишь, ~ятIpf(ipf síхвата́тьII)1.(кому-л.,у кого-л.) (быть достаточным) veraслнa-ó-enóg nógv, veraслнa-ó-enóg mikið, veraслнa-ó-enokkннк, røkkaслнa-u-o(til); ей {у неё} хва́тит муки́ hon hevur nóg nógv av mjøli, hon hevur nokkннкav mjøli; хвати́ть надо́лго (о запасе,деньгах и т.п.) røkka leingi; хвати́ть ненадо́лго ikki røkka leingi, vera ódrúgt [-tɹʏʰtː]; одного́ грузовика́ хвати́ло ein lastbilur var nokkннк; (тебе́) сорока́ крон хва́тит? eru fjøruti krónur nokkннк(hjá [tʃʰ-] tær)?; де́нег вряд ли хва́тит pengarnir røkka neyvan; двух ме́тров не хвати́ло на пла́тье tveir metrar vóru ikki nokkннкtil kjólan; вре́мени хвати́ло har var nóg nógv tíð; у нас хвати́ло вре́мени vit høvdu [hœtːʊ] nóg nógva tíð; ча́ю на всех хвати́ло har var nokkннкav te til øll [œtl]; у меня́ не хвати́ло му́жества на э́то eg hevði [hεijɪ] ikki dirvi til tað; его́ сил не хвати́ло kreftirnar gingu undan2.tlm.(быть в состоянии): меня́ на э́то хва́тит eg skal nokkннкklára tað, eg megniкн.tað; хва́тит ли его́ на тако́е де́ло? er hann mentur at gera tað?; er hann maður fyri tí?3.: хва́тит! (довольно) nú er nokkннк!; nú er nóg mikið!; с меня́ хва́тит! eg havi fingið nokkннк!; хва́тит об э́том nokkннкum tað; хва́тит тебе́ пла́кать! nú er nóg nógv grátið!; halt so uppat [ʊꞋpʰεat] við hasum grátinum! =>со́весть@
хвати́ть2	IIхвачу́, хва́т|ишь, ~ятpf Acc1.síхвата́тьI 12.óvkm.(ударить) lammaaði(til Вин), langa [laŋka]энкaði(til Вин); хвати́тького-л.па́лкой по голове́ lamma ein stav í høvdið [hœtɪ]á o-m3.чего-л.óvkm.(выпить) kulkaaðio-tí seg; drekkaслнa-u-uo-tí ein toyg, drekkaслнa-u-uo-tvið ramsa (разом)4.чего-л.tlm.(испытать) tolair(d){+}o-t, útstandaслнó-ó-ao-t; он хвати́л го́ря hann hevur tolt nógv, hann hevur útstaðið nógv@его́ хвати́л уда́рhann fekk eitt slagtilfeldiннкпроф., hann fekk eitt slag;куда́ хвати́л!nú gert tú Ꞌ av!; tú lýgur!;хвати́ть ли́шнегоdrekkaслнa-u-usær eina stíva kenning, fáaслнe-i-inakað væl upp í høvdið [hœtːɪ] =>край@
