г.	1.год2.го́род3.грамм g4.гора́5.господи́н hr.6.госпожа́
га́вкнуться	pfга́вкн|усь, ~ешься, ~утсяóvkm.faraслнó-ó-afyri ˈbakkaидиом., dettaслнa-u-oniðurfyri [-ˈfiː-], faraслнó-ó-aaftur [aʰtːː-] í ˈmammu sínaидиом., неформ.; ganga ˈfyriслнe-i-i(о механизмах и др.)
гаво́т	mgavotta [-Ꞌvɔʰtːa]жгл-а
Гавр	mle Havre [leꞋaːvrε]м нескл.
га́врик	mtlm.kúllurмсогл-ar, orragoggurмсогл-ar, stavnurмсогл-ar
га́га	f(Somateria mollissima) æða [εava]жгл-а; (æðu)blikur [εav-]мсогл-ar(самец)
га́га-гребену́шка	plurга́ги-гребену́шки, га́г-гребену́шек, га́гам-гребену́шкамf-f(Somateria spectabilis) æðukongur [εav-]мсогл-ar
гага́ра	f: гага́ры (отряд Gaviiformes, сем. Gaviidae) lómarмсогл-arмн; краснозо́бая гага́ра (Gavia stellata) lómurмсогл-ar; поля́рная {темноклю́вая} гага́ра (G. immer) havgás [hau-]жнепр, imbrimilм0осн-s,-ar; чернозо́бая гага́ра (G. arctica) øssvartur lómurмсогл-ar
гага́рка	plurгага́р|ки, ~ок, ~камf(Alca torda) álkaжгл-а; бескры́лая гага́рка (Pinguinus impennis) gorfuglur [kɔɹ̥-]мсогл-ar
гага́т	mgagat [-ˈkaːt]с0о, jet [jεʰtː]с0о
гагау́з	mgagauzur [kaːkaꞋuːs-]мсогл-ar
гагау́зка	plurгагау́з|ка, ~ок, ~камfgagauzur [kaːkaꞋuːs-]мсогл-ar(konufólk)
гагау́зский	adjgagauziskur [kaːkaꞋuːs-]соглsk; гагау́зский язы́к gagauzisktсприлskt
гага́чий	adjæðu- [εav-]; гага́чий пух æðudún
гад	m1.mest plur(пресмыкающиеся) skriðdjórс0омн, skriðdýrс0омн2.fl. óvkm.,vanv.(мерзкий человек) lortendiмгл-iгрубо, lorthundurмсогл-arгрубо, bakbeist [pak-]с0обран., bartrog [paɹ̥-]с0о{0<>i}бран., vittuggi [vɪtʰʊ-]]сгл-iбран.
гада́лка	plurгада́л|ки, ~ок, ~камfspákonaжгл-а, spákvinnaжгл-акн.,библ.
гада́льный	adj: гада́льные ка́рты kort at spáa við
гада́ние	n1.(на чём-л.-í o-m) tað at spáa; гада́ние по звёздам tað at spáa í stjørnunum [stjœtn-] (реже[ʃœtn-]); гада́ние по руке́ tað at spáa í hondini, tað at lesa í hondini2.(догадка) gitingarж0-arмн, gjøtlс0о@гада́ние на кофе́йной гу́щеgitingж0-ar, gjøtlс0о
гада́тельный	stfгада́телен, гада́тельн|а, ~о, ~ыadj1.síгада́льный2.(сомнительный) ivingarsamurсогл{a/o}, problematiskur [pʰɹoplɪꞋmaː-]ннксоглsk
гада́ть	ipf1.pfпогада́ть (предсказать будущее) spáaaði;ar(d); гада́ть на ка́ртах spáa í kortum; гада́ть по руке́ spáa í hondini, lesaслнa-ó-ií hondini2.(строить догадки) (о чём-л.) gjøtlaaðium o-t, roynair(d)at gita særtil o-t; гада́тьо чьих-л.наме́рениях royna at gita sær til ætlanirnarhjá[tʃʰ-]o-m; я гада́ю про себя́, зна́ет ли он… eg spekuleri [speːkʊꞋleː-]энкaðiupp á [ʊꞋpʰɔa], um hann man vita, at ...@я не ду́мал {не гада́л}, что… tað kom mær ikki til hugs [hʊʰks], at ... =>гу́ща@,ждать@
га́джет	m gadget [katʃːɪʰt]мнепр,снепрнеформ., dimsurмсогл-arнеформ.
гади́кул	m síтресо́чка, большегла́зая
га́дина	f óvkm.,vanv.bakbeist [pak-]с0обран., bartrog [paɹ̥-]с0о{0<>i}бран., vittuggi [vɪtʰʊ-]]сгл-iбран.; га́дина! eitt úthálað reyvarhol!вульг.
га́дить	га́жу, га́д|ишь, ~дятipftlm..1.pfнага́дитьнага́жу, нага́д|ишь, ~дят(пачкать) svínaaðitil, dálkaaði2.pfизга́дитьизга́жу, изга́д|ишь, ~ят(портить) loypair(t)brongl í, forbrongla [-Ꞌpɹɔ-]aði, spilla [-tl-]ir(t)3.pfнага́дитьнага́|жу, нага́д|ишь, ~ят кому-л.(делать гадости) geraнепрbeistaktigheit [-Ꞌaʰkt-]móti o-m, vera beistaktigur [-Ꞌaʰkt-]móti o-m; geraнепр.o-mfortreð [-Ꞌtʰɹeː]неформ., verao-mat meiniкн., vinnaслнa-u-uo-mneisirкн.(вредить)4.pfнага́дитьнага́|жу, нага́д|ишь, ~ят(испражняться) skítaслн.ei-i-i(о людяхвульг.); skvettair(t)(о птицах), drítaслнei-i-i(б.ч. о птицах)
га́дкий	stfга́док, гадка́, га́дк|о, ~и;compга́жеadj1.(вызывающий отвращение) andstyggiligur [anꞋstɪ-]глigur; vemmiligurннкглigur;Nom кому-л.га́докo-rhevur andstygd [an̊stɪ-] fyriДат,o-mstendst [stεnst]viðВин2.(очень плохой) sera vánaligurглigur; га́дкая пого́да ótespiligt [-Ꞌtʰε-] veður, ótýdligt [-Ꞌtʰʊi̯-] veður3.(низкий,грязный) andstyggiligurглigur[anꞋstɪ-], ljóturсогл, ótýdligur [-Ꞌtʰʊi̯-]глigur; га́дкий посту́пок ein andstyggilig gerð, svínagerð; га́дкий челове́к lortendiмгл-iгрубо, lorthundurмсогл-arгрубо =>утёнок@
гадли́вость	fandstygd [an̊stɪ-]ж0-ir, mótboðс0о{0<>i}
гадли́вый	stfгадли́в, ~а, ~о, ~ыadjfullur [-tl-]соглav andstygd [an̊stɪ-]; гадли́вое чу́вство andstygd [an̊stɪ-]ж0-ir, mótboðс0о{0<>0}; э́то вызыва́ет гадли́вое чу́вство eg fái vaml av hesum, hetta býður mær ímóti [-Ꞌmɔu-], mær stendst [stεn̊st] við hettaкн.
га́достный	[-сн-]stfга́дост|ен, ~на,~но[-сн-] ,~ны[-сн-]adj tlm.1.(вызывающий отвращение) andstyggiligur [anꞋstɪ-]глigur; vemmiligurннкглigur; 2.(низкий,грязный) andstyggiligurглigur[anꞋstɪ-], ljóturсогл, ótýdligur [-Ꞌtʰʊi̯-]глigur; га́достный посту́пок ein andstyggilig gerð, svínagerð
га́дость	ftlm.1.(дрянь) lorturмсогл-arвульг.(o-t vánaligt); я не ста́ну есть э́ту дрянь eg vil ikki hava henda lortinвульг.(at eta)2.(о поступке) ljót gerðж0-ir, svínagerðж0-ir; де́лать га́достикому-л.beraслнa-ó-oseg ljótt atmóti o-m; говори́ть га́дости tosa illavorðið [-tl-] (некрасиво;непристойно), tosa óflýggjaliga [-Ꞌflʊ-], tosa grovt, tosa ónæriliga [-Ꞌnεa-] (непристойно); tosa ljótt (um onkran) (некрасиво)
гадю́ка	f1.(змея) (Vipera berus) høggormurмсогл-ar2.fl.tlm.(о человеке) lortendiмгл-iгрубо, lorthundurмсогл-arгрубо, bakbeist [pak-]с0обран., bartrog [paɹ̥-]с0о{0<>i}, vittuggi [vɪʰttʰ-]сгл-iбран.
гадю́чий	adjhøggorma-; гадю́чий уку́с høggormabit@гадю́чий лук(Muscari) perluhyasint [-yːja-]ж0-ir
гадю́чник	m síгадю́шник
гадю́шник	m1.tlm.(место обитания гадюк) slangubøli [-aŋk-]сгл-i, bøliсгл-ihjá [tʃʰ-] høggormumo.tíl.2.óvkm.(враждебный коллектив) slangureiður [-aŋk-]с0оснпрезр.(arbeiðspláss o.a. við ringum viðurskiftum millum fólk)3.óvkm.,niðr.(плохая закусочная и др.) bulaэнкжгл-aпрезр.(б.ч. о кабаке и т.п.)
га́ер	mgml.gekkurмсогл-ar, fívilм0осн-s,-arкн., klovnurмсогл-ar, íspegilм0осн-s,-ar(шут)
га́ерство	ngml.tað at spæla klovnннк
га́ерствовать	га́ерству|ю, ~ешь, ~уютipfgml.spælair(d)Ꞌ klovnннк
га́ечный	adj: га́ечный ключ skrúvilykilм0осн-s,-ar, skrúvulykilм0осн-s,-ar
га́ж…	(га́жу)pres avга́дить
га́же	comp avга́дкийogга́дко
ГАЗ1	I [газ]m1.sovjet.Го́рьковский автомоби́льный заво́д Gorkijbilverksmiðjanнп[kɔɹ̥kʰiː-]2.(автомобиль этого завода) GAZ (bilmerki); ГАЗ-24 GAZ-24
газ2	IIGenга́заogга́зуm1.(тип вещества) gassс0о(тж хим. как топливо, горючее и т.п.); гото́вить на га́зе gera mat við gassi; жи́дкий газ flótandi gass; ота́пливаемый га́зом gassfýrdur; дать газ geva gass; дать по́лный газ koyra full speed [fʊl̥spiːt]энкнеформ., geva gass2.tlm.(педаль для газа) gasspedal [-aːl]ж0-ir3.(углекислота в лимонаде и т.п.) kolsyra [syːɹa]ннкжгл-аkolsýraнпжгл-а4.plur(в кишечнике) luftж0-irí tarmunum; пуска́ть га́зы prumpaaðiдетск., эвф.@на по́лном газу́í fullari [-tl-] ferð, í full speed [fʊl̥spiːt]энкнеформ.=>отравля́ющий,парнико́вый@,перцо́вый,приро́дный1,сжи́женный2
газ3	IIIm(ткань) gasa [kaː-]жгл-а(stoff)
Га́за	fGasa {Gaza} [kaːsa]м нескл.(býur); се́ктор Га́за Gasageirin {Gazageirin}мгл-iопр., Gasa {Gaza}с нескл.
газава́т	mheilagt kríggjс0о{0<>i}{+}(hjá muslimum), jihad [tʃiꞋhatː]с0о{дат.0}
газго́льдер	[-дэр]mgasstangi [-aɲtʃɪ]мгл-i
газе́ль	f(Gazella) gasella [-Ꞌsεlːa]жгл-а
газе́та	fblaðс0о{a/ø}(avís o.tíl.), avís [avʊis], [aꞋvʊis]ннкжгл-ir, tíðindablaðнпс0о{a/ø}; ежедне́вная газе́та dagblað [tak-], [tεa-]; у́тренняя газе́та morgunblað; выпи́сывать газе́ту halda eitt blað =>стенно́й
газе́тный	adjblað-, avís- [aꞋvʊis]; газе́тная статья́ blaðgrein
газе́тчик	m1.(сотрудник газеты) blaðmaðurмнепр, blaðfókс0омн(тж собир.)2.gml.(продавец газет) blaðseljariмсогл-ari
га́зик	mtlm.slag av jeepi(av merkinum ГАЗ)
газиро́ванный	adj: газиро́ванная вода́ sodavatnс0о
гази́ровать	гази́ру|ю, ~ешь, ~ютipf/pf что-л.mettaaðio-tvið kolsyru [-syːɹʊ]ннкжгл-а, mettaaðio-tvið kolsýruнпжгл-а
газиро́вка	ftlm.sodavatnс0о
газифика́ция	f1.(установление газовых проводов) innleggingж0-arav gassi; veitingж0-arav gassi (снабжение газом)2.tekn.(превращение в газ) forgassing [-Ꞌka-]ж0-arтехн.; газифика́ция у́гля gerðж0-irav koksi,sí eis.газифици́ровать2 (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
газифици́ровать	газифици́ру|ю, ~ешь, ~ютipf/pf что-л.1.(провести газ) leggjaнепрgass inní o-t, veitair(t)o-mgass (снабдить газом)2.tekn.(превратить в газ) forgassa [-Ꞌka-]aðio-t, geraнепрgass burturúr [-Ꞌʉuɹ]o-m
газобето́н	mgassbetongс0о
газова́ть	газу́|ю, ~ешь, ~ютipfóvkm.1.(давать «газ») speeda [spyːta], [spiːta]aðiꞋ uppнеформ., setaur(t);ir(t)ferð á, gevaслнa-ó-igass2.(мчаться) fúkaслнey-u-o-avstað [aꞋstεa]
газови́к	m1.Gen, Accгазовика́;plurгазовики́, Gen, Accгазовик|о́в, ~а́мtlm. (работник газовой промышленности)  starvsfólkс0оí gassídnaðinum2.Genгазовика́;plurгазовик|и́, ~о́в, ~а́мtlm.(газовый пистолет) gasspistólurмсогл-ar
га́зовый1	Iadjgass-; га́зовое месторожде́ние fyrikoming av gassi; га́зовый заво́д gassverk; га́зовый пистоле́т gasspistólur: га́зовая плита́ gasskomfýrur; га́зовая пли́тка gasspláta, gassapparat [-raːt]; га́зовая коло́нка vatnhitariмгл-ari(ið brennur gass); га́зовая турби́на gassturbina; га́зовая ре́зкаsíгазоре́зка; га́зовая сва́ркаsíгазосва́рка=>балло́нчик,гангре́на@,горе́лка,са́жа@
га́зовый2	IIadj(о ткани) gasu- [kaː-]
газогенера́тор	mgassgeneratorur [-keː-]мсогл-ar, gassgenerator [-keː-]м0-tor
газо́йль	mgassoljaжгл-a
газоли́н	mgasolin [kaːsoꞋliːn]с0о
газоме́р	mgassmátariмгл-ari, gassmálariмгл-ari
газомото́р	mgassmotorurмсогл-ar
газо́н	m(gras)plenaннкжгл-а, (gras)vøllurмсогл-ir{ø/a}; «по газо́ну {газо́нам} не ходи́ть» (skelti) ikki er loyvt at ganga í grasinum
газонепроница́емый	adjgasstætturсогл{æ/ø}
газонокоси́лка	plurгазо́нокоси́л|ки, ~ок, ~камfplenuklippariмгл-ari, sláimaskinaжгл-a
газоно́сный	stfгазоно́с|ен, ~на, ~но, ~ныadjgassførandiглandi
газообра́зный	stfгазообра́з|ен, ~на, ~но, ~ныadjgasskendurсогл; в газообра́зном состоя́нии í gassformiннк, í gasslíkiкн.
газообразова́ние	nkem.forgassing [-Ꞌka-]ж0-arтехн.
газопрово́д	mgassleiðingж0-ar, gassleidningurмсогл-ar
газопрово́дный	adj: газопрово́дные рабо́ты innleggingж0-arav gassi; газопрово́дная труба́ gassrør; газопрово́дная сеть gassleiðinganet
газопроница́емый	stf газонроницаем, ~а, ~о, ~ыadjsum gass sleppur ígjøgnum [-ˑtʃœgnʊn]
газоре́зка	fgassskeringж0-ar(við skeribrennara)
газосва́рка	fgasssveisingж0-ar
газосва́рщик	mgasssveisariмгл-ari
газотурби́нный	adjgassturbinu-, gassturbinudrivin, við gassturbinu
газоубе́жище	ngassskýliсгл-i
газохрани́лище	ngassgoymslaжгл-a
ГАИ	[гаи́]f indeclгосуда́рственная автомоби́льная инспе́кция ferðslupolitiiðс0о{0<>i}опр.(í Sovjettsamveldinum og Russlandi)
Гаи́ти	n indecl1.(на - á) (остров) Haiti [haꞋiːti]ж нескл.(oyggj)2.(в - í) (государство) Haiti [haꞋiːti]с нескл.(land)
гаитя́нин	plurгаитя́н|е, ~, ~амmhaitianari [haiːtiꞋaː-]мгл-ari, haitibúgvi [haꞋiːti-]нпмгл-i
гаитя́нка	plurгаитя́н|ки, ~ок, ~камfhaitianari [haiːtiꞋaː-]мгл-ari, haitibúgvi [haꞋiːti-]нпмгл-i(konufólk)
гаитя́нский	adjhaitiskur [haꞋiːt-]соглsk
гаи́шник	mtlm.ferðslupolitisturмсогл-ar(í Sovjettsamveldinum og Russlandi, síГАИ)
Гайа́на	fGuyana [kaiꞋjaː-]с нескл., Gujana [kuꞋjaː-]лпс нескл.(land í Suðuramerika);sbr.Гвиа́на
га́йка	plurга́йки, га́ек, га́йкамf1.(репежная деталь) møtrikurмсогл-ar2.jarg.(кольцо) ringurмсогл-ar(á fingri)@закрути́ть га́йкиtlm.herðair(d)krøvini; у него́га́йка слаба́óvkm. hann er ikki maður fyri tí
гаймори́т	mbiholubetendilsiннксгл-i, hjáholubruni [tʃʰ-]лпмгл-i
га́йморов	adj: га́йморова па́зуха {по́лость} kjálkaholaжгл-a, hjáhola [tʃʰ-]жгл-aанат., biholaннкжгл-aпроф., bihulaннкжгл-a
гайтя́н	m fisk.koddlína (тж[kʰɔlʊina])жгл-a
гак1	Imskip.(крюк) krókurмсогл-ar
гак2	IImóvkm.(í samb. við nøgd av ym. slag) stívliga, reiðiliga; со́рок лет с га́ком nøkur og fjøruti ár, stívliga fjøruti ár, reiðiliga fjøruti ár
гала́	f indecl переводится сложн. сgalla-; конце́рт гала́ gallakonsert
гала-конце́рт	mgallakonsertж0-ir
гала́ктика	fstjørnutoka [stjœtn-] (реже[ʃœtn-])жгл-a, stjørnubreyt [stjœtn-] (реже[ʃœtn-])лпж0-irспец., galaksa [-Ꞌla-]интжгл-a; скопле́ние гала́ктик stjørnuhópur [stjœtn-] (реже[ʃœtn-])
галакти́ческий	adjstjørnutoku- [stjœtn-] (реже[ʃœtn-]), stjørnubreytar- [stjœtn-] (реже[ʃœtn-])лпспец., galaktiskur [-Ꞌla-]интсоглsk
галантере́йный	adj1.:галантере́йный магази́нsíгалантере́я2; галантере́йные това́рыsíгалантере́я12.gml.el.skemt.(чрезвычайно любезный) (ovur)galanturинтсогл(á uppgjørdan hátt)
галантере́я	f1.(товары) galanterívarur [-Ꞌrʊi-]жгл-aмн2.(магазин) galanteríhandil [-Ꞌrʊi-]м0осн-s,-ar
гала́нтность	ftað at vera galantur [-Ꞌla-]инт, galantarí [-Ꞌrʊi]ннкс0о
гала́нтный	stfгала́нт|ен, ~на, ~но, ~ныadjgalantur [-Ꞌla-]интсогл; riddaraligurглigur(kurteisligur)
Гала́пагос	mGalapagosoyggjarnar [-Ꞌlaːpakɔs-]ж0-ar{+}мн опр.
гала-шо́у	n indeclgallawhow [-.ʃɔu]с0опроф.
галдёж	Genгалдежа́mtlm.gangurмсогл-ar(шум), spektakkul [speꞋtʰaʰkː-]энкс0осннеформ.(шум), surrс0о(жужжание), garterilsi [-Ꞌtʰeː-]сгл-iнеформ.(шумиха); rómurмсогл-ar(шумиха)
галде́ть	ipf bert 3. pers brúkturtlm.haldaслнe-i-igang, haldaслнe-i-ispektakkul [speꞋtʰaʰkː-]неформ., lammitera [-Ꞌtʰeː-]aðiнеформ., gartera [-Ꞌtʰeː-]aðiнеформ.
гале́ра	fsøg.galei [-Ꞌlai]ж0-ir; ссыла́ть на гале́ры døma til galeiirnar
галере́я	f1.bygg.(помещение,проход) gallarí [-Ꞌrʊi]с0о{0<>i}спец.2.sjónl.(в театре) ovastu og bíligastu sessirnir, gallarí [-Ꞌrʊi]ннкс0о{0<>i}3.: карти́нная галере́я gallarí [-Ꞌrʊi]с0о{0<>i}(við myndum); национа́льная галере́я tjóðlistasavnс0о{a/ø}4.nám.(в шахте) (náms)gongdж0-ir5.fl.(вереница) raðс0о{a/ø}, røðж0-ir{ø/a}, rekkjaннкжгл-a
галере́я-сало́н	fgallarí [-Ꞌrʊi]с0о{0<>i}(har list verður seld)
галёрка	plurгалёр|ки, ~ок, ~камf1.síгалере́я22.(публика) áskoðararnirмгл-ariмн опр.á bíligastu sessunum, gallaríið [-Ꞌrʊi-]ннкс0о{0<>i}опр.,síгалере́я2@на галёркеskemt.aftarlaga [aʰtː-], á aftastu [aʰtː-] beinkjumeis. fl.
гале́та	fskipskeks [-kʰε-]ж0-ir;непр
га́лечник	m1.(горная порода) grúsс0о, eyrurмсогл-ar(более мелкий)2.koll(галька) mаlargrótс0особир.(морской); áargrótс0особир. (речной)
га́лечный	adjmalargróts-
Галиле́я	fbíbl.Galilea [kaːliꞋleːa]с нескл.;жгл-aбибл.
галиматья́	ftlm.ørvitisskapurмсогл-ir, ørvitiсгл-i; нести́ галиматью́ tvætlaaði, svassaaði
Га́лифакс	mHalifax [haːlifaʰks]м нескл.
галифе́	[-фэ́]n indecl, plur indeclríðibuksurжгл-aмн
галици́зм	m síгаллици́зм
Гали́ция	fsøg.Galicien [kaꞋliːsi-]ннкс0о{дат.0}ист., Galicia [kaꞋliːsi-]нпс нескл.ист.(í Ukraina og Polen)
га́лка	plurга́л|ки, ~ок, ~камf(Corvus monedula) rókurмсогл-ar
галл	msøg.gallariмгл-ari, galliнпмгл-i
Галле́й	m: коме́та Галле́я halastjørna [-stjœtna] (реже[-ʃœtna]) Halleys [halːiːs]кн., Halleys [halːiːs] komet [-Ꞌmeːt]ннк
га́ллий	mgalliumс0о({0<>i})
галлици́зм	mgallicisma {gallisisma} [-Ꞌsɪ-]жгл-алингв.
Га́ллия	fsøg.Gallienннксо{дат.0}, Galliaнпс нескл.
галлома́н	mgallomanur [-Ꞌmaː-]интмсогл
галлома́ния	fgallomani [-ˈniː]ж0-i
галло́н	mgallon ж нескл
галлофо́б	mgallofobur [-Ꞌfoː-]интмсогл-ar
га́лльский	adj1.(кгалл) galliskurсоглsk; га́лльская война́ gallarakríggiðопр.2.(французский) galliskurсоглsk(franskur); га́лльское остроу́мие galliskt esprit [εꞋspɹiː]с0{дат.0}; га́лльский пету́х tann galliski hanin
галлюцина́ция	fhallucinatión {hallusinatión} [halːusiːnaꞋʃɔun]ннкпроф.ж0-ir; yvirsjónж0-ir(зрительная), hvørvisjónж0-ir(зрительная)
галлюцини́ровать	галлюцини́ру|ю, ~ешь, ~ютipfhavaнепрhallucinatiónir {hallusinatiónir} [halːusiːnaꞋʃɔun-]ннкпроф; síggjaслнá-ó-æyvir seg (зрительная), hoyrair(d)yvir seg (слуховая)
гало́	n indeclveðurgarðurмсогл-ar{a/ø}
галоге́н	mhalogen [haːloꞋkeːn]с0о{0<>i}
галоге́нный	adjhalogen- [haːloꞋkeːn-]; галоге́нная фа́раbil.halogenlykt [haːloꞋkeːn-], halogenljós [haːloꞋkeːn-]
гало́п	m1.(аллюр) tvísporс0о2.(танец) galopp [-Ꞌlɔʰpː]м0-ar(dansur)
галопи́рующий	adjgalopperandi [-Ꞌpʰeː-]энкнеформ. (sera stórur,sera nógvur)
гало́пом	advtvísporandiглandi, galopperandi [-Ꞌpʰeː-]ннкглandi; мча́ться гало́пом tvísporaaði;eis.fl.tlm.tvísporaaði, stórleypaслнey-u-o, galoppera [-Ꞌpʰeː-]ннкaði; он гало́пом пронёсся по галере́е hann fór tuskandi gjøgnum listasavnið@гало́пом по Евро́памtlm.í skundi (uttan at fara djúpt)
га́лочий	adjróka- (síга́лка)
га́лочка	plurга́лоч|ки, ~ек, ~камf1.dim avга́лка2.(помeтка) hakkс0о, merkiсгл-i(sum verður sett t.d. úti á breddanum at vísa t.d., at o-t er lisið); flugubeinс0о(поставлена в квадратик и т.д., тж в эвм); поста́вить га́лочку seta hakk (við); seta eitt flugubein@для га́лочкиbara sum eitt eiti; av navni; upp á kvamsvís
гало́ша	fgalossja [-Ꞌlɔʃːa]жгл-a@сесть в гало́шуtlm.geraнепрseg til láturs; geraнепрsær fyri skommum; komaслнo-o-oꞋ lort í býinнеформ.,грубо(потерпеть неудачу)
галс	m1.(направление): лечь на друго́й галс {перемени́ть галс} hálsaaðium, leggjaнепрá annan bógv (í sigling)2.(снасть) hálsurмсогл-ar(á segli)
га́лстук	mslipsс0о; завя́зывать {повя́зывать} га́лстук binda eitt slips@заложи́ть {зали́ть} за га́лстукóvkm., skemt.drekkaслнa-u-u; smakkaaðisær Ꞌ á (brennivín);пионе́рский га́лстукsovjet.pionerturriklæði [pʰiːoꞋneːɹ-] (síпионе́р)
га́лстучник	m(Charadrius hiaticula) svarthálsaжгл-a
галу́н	mpyntisnórurжсогл-ar(á uniformum o.ø.)
галу́шка	plurгалу́ш|ки, ~ек, ~камfmatg.kókaður mjølbolli;serl. í ukrainskari matgerð
галча́т...	síгалчо́нок
галчо́нок	Gen, Accгалчо́нка;plurгалча́т|а, ~, ~амmungiмгл-ihjá [tʃʰ-] róki
гальваниза́ция	ftekn.,lækn.galvanisering [kalvaniꞋseː-]ж0-ar
гальванизи́ровать	гальванизи́ру|ю, ~ешь, ~ютipf/pf Acc1.Acclækn.(в лечебных целях) galvanisera [kalvaniꞋseː-]aðiВин2.tekn.что-л.(в технических целях) galvanisera [kalvaniꞋseː-]aðio-t@гальванизи́ровать трупbókl., spott.(roynair(d)at) kveikja lív aftur [aʰtː-]í o-t, (roynair(d)at) birta lív aftur [aʰtː-]í o-t, (roynair(d)at) vekjao-tupp frá deyðumирон.
гальвани́ческий	adjgalvaniskur [kalꞋvaːn-]соглsk
гальвано́метр	mgalvanometur [kalvanoꞋmeː-]с0осн
гальванопла́стика	fgalvanoplastikk [kalꞋvaː-]ж0-ir
гальваносте́гия	fkem., tekn.tað at dekka við elektroplett [-Ꞌpʰlεʰtː]
га́лька	plurга́л|ьки, ~ек, ~ькамfmalarsteinurмсогл-ar,eis. kollmalargrótс0о(морская)собир., áargrótс0о(речная)собир
гам	Genга́маogга́муmtlm.levindс0о(галдёж, шум); lammiterilsi [lamꞋtʰeː-]сгл-iнеформ., rómurмсогл-ar(шумиха)
гама́к	Genгамак|а́;plur~и́, ~о́в, ~а́мmheingikoyggjaжгл-a
гама́ши	plur(singгама́ша)fgamassjur [-Ꞌmaʃː-]жгл-aмн
гамби́ец	Gen, Accгамби́й|ца;plur~цы, ~цев, ~цамmgambiari [-pi-]мгл-ari
гамби́йский	adjgambiskurсоглsk
гамби́т	mtalvbragdс0o{a/ø}=>короле́вский,фе́рзевый
Га́мбия	f1.(река) Gambia [-pi-]ж нескл.(á)2.(государство) Gambia [-pi-]с нескл.(land)
Га́мбург	mHamburgм0{дат.0}
га́мбургер	mhamburgariмгл-ari(bolli)
га́мбургский	adjhamburg-, hamburgar-, hamborgar-ист.
га́мбуржец	Gen, Accга́мбуржц|а;plur~ы, ~ев, ~амmhamburgariмгл-ari(íbúgvi í Hamburg)
Га́млет	mHamlet [hamlεʰt]м0{дат.0}
га́мма1	If1.mus.(в музыке) skala [skaː-]ж0-ir;м0гл-гл{+}, tónastigiнпмгл-i; tónarøðж0-ir, -ir{ø/|a}(ряд тонов); мажо́рная га́мма durskala; игра́ть га́ммы spæla skalair2.fl.(ряд) skala [skaː-]ннкж0-ir;м0гл-гл; га́мма кра́сок farvuskalaннк, litskalaнп; вся га́мма чувств alt raðið av kenslum; allur [atl-] skalainннкav følilsumнкк
га́мма2	IIf(греческая буква) gammaс0-гл(grikskur bókstavur)
га́мма-глобули́н	mgammaglobulin [-Ꞌliːn]с0о(({0<>i}))мед.
